,Article,Date,Symbol,Time,Title,Url
0,"  May 15 Auto parts retailer Advance Auto Parts Inc reported a 21 percent rise in quarterly profit, helped by the acquisition of the biggest operator of the Carquest chain of auto repair shops and car parts stores.Advance Auto completed the acquisition of General Parts International Inc in January, making the company the largest auto parts retailer by sales in the United States. Advance Auto's net income as reported rose to $147.7 million, or $2.01 per share, in the first quarter ended April 19 from $121.8 million, or $1.65 per share, a year earlier.  Revenue rose 47 percent to $2.97 billion. Same store sales rose 2.4 percent.    (Reporting by Rohit T. K. in Bangalore; Editing by Savio D'Souza)",2014-05-15,AAP,"Thu May 15, 2014 | 9:15am EDT",Advance Auto profit up as repair chain acquisition boosts sales,http://www.reuters.com//article/advance-auto-results-idUSL3N0NZ4QR20140515?type=companyNews
1,"  Activist investor Starboard Value LP disclosed a 3.7 percent stake in automotive parts retailer Advance Auto Parts Inc on Wednesday and urged the company consider steps including a ""substantial"" dividend or buyback.Advance Auto shares could be worth more than $350 each if the company took steps to improve margins, Starboard said in a letter to Chief Executive Darren Jackson. Advance Auto's shares jumped 10.4 percent to $188.34 in early trading.The company, though well-positioned, has ""materially underperformed"" peers AutoZone Inc and O'Reilly Automotive Inc, Starboard said in a presentation that it planned to make at an investor conference in Toronto later in the day. ""Advance Auto has substantially underperformed peers on almost any measure, including operating margins, revenue growth, and total shareholder return,"" Starboard said.The company should also consider ""pursuing further industry consolidation"" and working capital improvements that could generate $1 billion or more, Starboard said.The hedge fund, run by Jeffrey Smith, urged Advance Auto to  increase margins by 600 to 750 basis points and focus on driving commercial sales. Starboard's holding makes it Advance Auto's sixth biggest shareholder, according to Thomson Reuters data.Roanoke, Virginia-based Advance Auto's sales have missed market expectations in four of the past six quarters. The company, which sells car accessories, batteries and replacement parts, makes more money from service stations than from sales directly to consumers at its more than 5,000 stores. Advance Auto's stock has fallen about 11 percent since touching a record high in August, when it reported better-than-expected quarterly profit.Starboard, which revealed a 4.5 percent stake in Media General Inc on Tuesday, also pushed for changes at the regional TV broadcaster and warned that it was prepared to nominate an alternative slate of directors. The hedge fund successfully replaced the entire board of restaurant operator Darden Restaurants Inc last year.The Wall Street Journal first reported that Starboard had bought a stake in Advance Auto. (Reporting by Richa Naidu in Bengaluru; Editing by Anil D'Silva and Ted Kerr)",2015-09-30,AAP,"Wed Sep 30, 2015 | 10:38am EDT","Starboard takes stake in Advance Auto, urges changes",http://www.reuters.com//article/us-starboard-value-advance-auto-idUSKCN0RU0AV20150930?type=companyNews
2,"  * Starboard discloses 3.7 pct stake in auto parts retailer* Says company has ""materially underperformed""* Shares jump 10.4 pct   (Adds details, shares prices)Sept 30 Activist investor Starboard Value LP disclosed a 3.7 percent stake in automotive parts retailer Advance Auto Parts Inc on Wednesday and urged the company consider steps including a ""substantial"" dividend or buyback.Advance Auto shares could be worth more than $350 each if the company took steps to improve margins, Starboard said in a letter to Chief Executive Darren Jackson. Advance Auto's shares jumped 10.4 percent to $188.34 in early trading.The company, though well-positioned, has ""materially underperformed"" peers AutoZone Inc and O'Reilly Automotive Inc, Starboard said in a presentation that it planned to make at an investor conference in Toronto later in the day. (bit.ly/1PNaDP9) ""Advance Auto has substantially underperformed peers on almost any measure, including operating margins, revenue growth, and total shareholder return,"" Starboard said.The company should also consider ""pursuing further industry consolidation"" and working capital improvements that could generate $1 billion or more, Starboard said.The hedge fund, run by Jeffrey Smith, urged Advance Auto to  increase margins by 600 to 750 basis points and focus on driving commercial sales. Starboard's holding makes it Advance Auto's sixth biggest shareholder, according to Thomson Reuters data.Roanoke, Virginia-based Advance Auto's sales have missed market expectations in four of the past six quarters. The company, which sells car accessories, batteries and replacement parts, makes more money from service stations than from sales directly to consumers at its more than 5,000 stores.Advance Auto's stock has fallen about 11 percent since touching a record high in August, when it reported better-than-expected quarterly profit.Starboard, which revealed a 4.5 percent stake in Media General Inc on Tuesday, also pushed for changes at the regional TV broadcaster and warned that it was prepared to nominate an alternative slate of directors.The hedge fund successfully replaced the entire board of restaurant operator Darden Restaurants Inc last year.The Wall Street Journal first reported that Starboard had bought a stake in Advance Auto.    (Reporting by Richa Naidu in Bengaluru; Editing by Anil D'Silva and Ted Kerr)",2015-09-30,AAP,"Wed Sep 30, 2015 | 10:33am EDT","UPDATE 2-Starboard takes stake in Advance Auto, urges changes",http://www.reuters.com//article/starboard-value-advance-auto-idUSL3N1204KP20150930?type=companyNews
3,  Sept 30 Activist investor Starboard Value LP said it has bought a 3.7 percent stake in automotive parts retailer Advance Auto Parts Inc.Starboard said in a letter to Advance Auto Chief Executive Darren Jackson that the company's shares could be worth more than $350 each if it improved margins. Advance Auto's shares closed at $170.53 on Tuesday.  The Wall Street Journal first reported that Starboard had bought a stake in Advance Auto.    (Reporting by Richa Naidu in Bengaluru; Editing by Ted Kerr),2015-09-30,AAP,"Wed Sep 30, 2015 | 8:28am EDT",Starboard takes 3.7 pct stake in Advance Auto Parts,http://www.reuters.com//article/starboard-value-advance-auto-idUSL3N1204JT20150930?type=companyNews
4,"  Sept 30 Activist investor Starboard Value LP has built a 3.7 percent stake in automotive parts maker Advance Auto Parts Inc, the Wall Street Journal reported.Starboard, which has met with Advance Auto's management including Chief Executive Darren Jackson, is urging the company to push margins higher, the Journal said.Starboard Value plans to disclose the stake at an investment conference in Toronto on Wednesday, the Journal said, citing a presentation it reviewed. (on.wsj.com/1KQofVj) The presentation details Starboard's view that Advance Auto is lagging behind peers AutoZone Inc and O'Reilly Automotive Inc in profit margins, the Journal said.Starboard also says in the presentation that Advance Auto could top $360 per share, the Journal said. Shares of the auto parts maker closed at $170.53 on Tuesday on Nasdaq. Reuters has not verified the presentation and could not immediately reach Advance Auto and Starboard for comment outside regular U.S. business hours.Starboard Value disclosed 4.5 percent stake in regional TV broadcaster Media General Inc on Tuesday and urged the company to sell itself to Nexstar Broadcasting Group Inc  and scrap its plan to buy Meredith Corp.     (Reporting by Sangameswaran S in Bengaluru; Editing by Anupama Dwivedi)",2015-09-30,AAP,"Wed Sep 30, 2015 | 12:43am EDT",Activist investor Starboard builds 3.7 pct stake in Advance Auto-WSJ,http://www.reuters.com//article/starboard-value-advance-auto-idUSL3N1201JX20150930?type=companyNews
5,"  Auto parts retailer Advance Auto Parts Inc (AAP.N) reported lower-than-expected quarterly results, hurt by a stronger dollar, and the company cut its 2015 profit forecast.Shares of Advance Auto, which sells products such as batteries, air fresheners and engine parts, fell nearly 12 percent to $171.47 in premarket trading.The company cut its current-year adjusted profit forecast to $7.75-$7.90 per share, from $8.10-$8.30, partly due to costs related to its purchase of rival General Parts International Inc.Advance Auto bought General Parts for just over $2 billion in January 2014.Excluding items, Advance Auto earned $1.95 per share on revenue of $2.30 billion in the third quarter ended Oct. 10. Analysts had expected earnings of $2.09 per share on revenue of $2.33 billion, according to Thomson Reuters I/B/E/S.The company also appointed activist investor Starboard Value LP's chief executive to its board, taking the total member count to 13. The move comes after Starboard had disclosed a 3.7 percent stake in the automotive parts retailer and urged the company in September to consider steps including a ""substantial"" dividend or buyback.Jeffrey Smith, Starboard's CEO, will head Advance Auto's nominating and corporate governance committee and be a member of the compensation and finance committees, Advance Auto said. The Roanoke, Virginia-based auto retailer appointed its president, George Sherman, as the interim chief executive to succeed CEO Darren Jackson, who will retire on Jan. 2. (Reporting by Arunima Banerjee in Bengaluru; Editing by Maju Samuel)",2015-11-12,AAP,"Thu Nov 12, 2015 | 9:07am EST","Advance Auto Parts third-quarter profit misses Street, shares fall",http://www.reuters.com//article/us-starboard-value-m-a-advance-auto-idUSKCN0T11PT20151112?type=companyNews
6,"  (Adds forecast, Q3 results, share activity)Nov 12 Auto parts retailer Advance Auto Parts Inc reported lower-than-expected quarterly results, hurt by a stronger dollar, and the company cut its 2015 profit forecast.Shares of Advance Auto, which sells products such as batteries, air fresheners and engine parts, fell nearly 12 percent to $171.47 in premarket trading.The company cut its current-year adjusted profit forecast to $7.75-$7.90 per share, from $8.10-$8.30, partly due to costs related to its purchase of rival General Parts International Inc. Advance Auto bought General Parts for just over $2 billion in January 2014.Excluding items, Advance Auto earned $1.95 per share on revenue of $2.30 billion in the third quarter ended Oct. 10. Analysts had expected earnings of $2.09 per share on revenue of $2.33 billion, according to Thomson Reuters I/B/E/S.The company also appointed activist investor Starboard Value LP's chief executive to its board, taking the total member count to 13. The move comes after Starboard had disclosed a 3.7 percent stake in the automotive parts retailer and urged the company in September to consider steps including a ""substantial"" dividend or buyback.Jeffrey Smith, Starboard's CEO, will head Advance Auto's nominating and corporate governance committee and be a member of the compensation and finance committees, Advance Auto said.The Roanoke, Virginia-based auto retailer appointed its president, George Sherman, as the interim chief executive to succeed CEO Darren Jackson, who will retire on Jan. 2.   (Reporting by Arunima Banerjee in Bengaluru; Editing by Maju Samuel)",2015-11-12,AAP,"Thu Nov 12, 2015 | 9:00am EST","UPDATE 1-Advance Auto Parts Q3 profit misses Street, shares fall",http://www.reuters.com//article/starboard-value-ma-advance-auto-idUSL3N1374CT20151112?type=companyNews
7,"  Nov 12 Auto parts retailer Advance Auto Parts Inc appointed activist investor Starboard Value LP's chief executive to its board, taking the total member count to 13.The move comes after Starboard had disclosed a 3.7 percent stake in the automotive parts retailer and urged the company in September to consider steps including a ""substantial"" dividend or buyback. Jeffrey Smith, Starboard's CEO, will head Advance Auto's nominating and corporate governance committee and be a member of the compensation and finance committees, Advance Auto said.  The Roanoke, Virginia-based auto retailer also appointed its president, George Sherman, as the interim chief executive to succeed CEO Darren Jackson, who will retire on Jan. 2.   (Reporting by Arunima Banerjee in Bengaluru; Editing by Maju Samuel)",2015-11-12,AAP,"Thu Nov 12, 2015 | 7:33am EST",Advance Auto Parts adds Starboard CEO to its board,http://www.reuters.com//article/starboard-value-ma-advance-auto-idUSL3N13747520151112?type=companyNews
8,"  (Adds Banif, Microchip, Halliburton and Advance Auto Parts)Dec 15 The following bids, mergers, acquisitions and disposals were reported by 2100 GMT on Tuesday:** The chief executive of Banif is confident the Portuguese bank will find a buyer for the state's 60.5 percent stake and the Bank of Portugal will guarantee stability of the financial system and Banif's deposits.** Microchip Technology Inc is the semiconductor manufacturer which made the $3.8 billion unsolicited offer for peer Atmel Corp that was disclosed last week, a person familiar with the matter said.** Halliburton Co and Baker Hughes Inc said U.S. antitrust officials were not satisfied with the concessions they offered to win approval for their proposed merger, and that officials said they would assess further proposals.** U.S. auto parts retailer Advance Auto Parts Inc  is exploring a potential sale after being approached by at least one possible suitor, StreetInsider reported on Tuesday.** Sanofi SA and Boehringer Ingelheim are in exclusive talks over a $20 billion swap of the French pharmaceuticals company's animal health business for the family-owned German group's consumer health operation.** Sumitomo Mitsui Financial Group Inc agreed to buy General Electric Co's Japanese leasing business for $4.8 billion.** Canada's largest oil and gas company Suncor Energy Inc  urged shareholders of Canadian Oil Sands Ltd to tender their shares in its offer for the company. ** Dell Inc said in a filing on Monday that it had the flexibility to buy back at least $3 billion in VMWare Inc  tracking stock, the special class of shares the computer maker plans to issue to help finance its acquisition of EMC Corp .** UBM Plc said it would sell its press release distributor PR Newswire to Cision, a business controlled by GTCR Canyon Holdings, for $841 million, to focus on its events business.** Yahoo Japan Corp said it offered to take over travel website Ikyu Corp for around 100 billion yen ($828 million), as the Japan-based e-commerce company aims to expand its travel and restaurant reservation business. ** Private Chinese firm CEFC Energy has agreed to take control of a unit of Kazakhstan's state oil and gas company which mainly owns assets in Europe as China boosts business with its resource-rich but cash-strapped neighbor.** City Developments Ltd said it had entered into an agreement with Alpha Investment Partners Ltd to create an investment vehicle that would acquire three of CDL's prime office assets valued at about S$1.1 billion ($783 million).** At least eight companies have contacted Brazil's state-run utility Centrais Eletricas Brasileiras SA  to express interest in the planned sale of its Celg-D power distribution unit, a source with direct knowledge of negotiations told Reuters on Monday.** Private equity house Fajr Capital is in talks to buy a majority stake in Gulf food and beverage franchising group Cravia, sources aware of the matter said on Tuesday. ** Italy's Stevanato Group has made an 80 million euros ($88 million) bid to take over the operational business of medical injection molder Balda AG, more than an offer from autosupplier Heitkamp & Thumann, Balda said on Monday.** Slovenian steel construction products maker Trimo was sold to Polish investment fund Innova Capital, Slovenia's largest bank Nova Ljubljanska Banka (NLB), which coordinated the sale, said on Tuesday.** France's Schneider Electric SE has pulled out of the planned acquisition of Britain's Aveva Group Plc, saying the two companies had mutually agreed that the proposed deal would be too risky and expensive.** Valeant Pharmaceuticals International Inc  , which has been accused of price gouging, said it would offer its skin and eye products at a discount in more than 8,000 Walgreens Boots Alliance Inc's retail pharmacy locations.** French agricultural group InVivo is looking to acquire a wine distributor in the United States and could open up to 200 food shops in its home market as part of plans to double in size within a decade, InVivo's CEO said on Tuesday.** A merger between German armored vehicles maker KMW and its French counterpart Nexter has been completed, the companies said in a joint statement on Tuesday, following more than a year of talks on a tie-up.** Telecom Italia SpA's proposal to convert its more than 6 billion saving shares into ordinary ones was blocked on Tuesday after top investor Vivendi SA, which holds a 20.5 percent stake, decided to abstain from the vote.($1 = 120.79 yen)  ($1 = 0.91 euros)  ($1 = S$1.41)   (Compiled by Anet Josline Pinto and Amrutha Penumudi in Bengaluru)",2015-12-15,AAP,"Tue Dec 15, 2015 | 3:41pm EST",Deals of the day-Mergers and acquisitions,http://www.reuters.com//article/deals-day-idUSL3N1443I220151215?type=companyNews
9,"  Dec 15 U.S. auto parts retailer Advance Auto Parts Inc is exploring a potential sale after being approached by at least one possible suitor, StreetInsider reported on Tuesday.A successful deal could be worth up to $200 per Advance Auto share, the financial website said, citing a source familiar with the matter. (bit.ly/1MfvaYB) StreetInsider cautioned the sale process is in the early stages and may not lead to a deal. Advance Auto Parts could not immediately be reached for comment. The company's stock was up 6.1 percent at $156.63 in late afternoon trading on Tuesday.   (Reporting by Arathy S Nair in Bengaluru; Editing by Savio D'Souza)",2015-12-15,AAP,"Tue Dec 15, 2015 | 2:57pm EST",Advance Auto Parts explores sale - StreetInsider,http://www.reuters.com//article/advance-auto-ma-idUSL3N14458H20151215?type=companyNews
