,Article,Date,Symbol,Time,Title,Url
0,"  * Raises FY forecast for second time in 2014* Second-quarter core EPS $2.90 cents vs est $2.73* Revenue at LoyaltyOne up 62 pct* Shares up 3 pct   (Updates share movement, background)July 17 Credit card processor Alliance Data Systems Corp bumped up its full-year earnings forecast for the second time this year after posting a better-than-expected quarterly profit, helped by strong sales in its customer loyalty programs business.Sales at the unit, LoyaltyOne, jumped 62 percent to $355.6 million in the second quarter, accounting for about 28 percent of the total revenue.Alliance Data's shares were up 1 percent at $278.09 midday on the New York Stock Exchange. LoyaltyOne owns and operates the Air Miles Reward Program, one of the top loyalty programs in Canada.The company's private-label credit cards business also performed well during the quarter.Revenue from the business, which provides services to retailers such as Ann Taylor and Buckle Inc, rose 16 percent to $557.3 million.The company's online marketing unit, which has partnerships with Twitter Inc and Facebook Inc, reported an 8 percent increase in revenue to $357.1 million. Facebook entered into a partnership with Epsilon, Alliance Data's online marketing unit, last year to help advertisers better target customers through loyalty programs.The unit followed that up with a similar deal with Twitter this January.The company raised its full-year revenue forecast to $5.30 billion from $5.25 billion and core earnings forecast to $12.35 Per share from $12.25. Analysts were expecting earnings of $12.35 per share on revenue of $5.27 billion, according to Thomson Reuters I/B/E/S.The company's net income attributable to shareholders rose to $137.4 million, or $2.19 per share.The company reported core earnings of $2.90 per share, topping the average analyst estimate of $2.73 per share.Total revenue rose 23 percent to $1.27 billion, edging past analyst's average estimate of $1.25 billion.Total operating expenses rose 29 percent to $982.7 million for the quarter.Alliance Data's shares have risen about 5 percent this year. Shares of the Dallas-based company closed at $275.17 on Wednesday on the New York Stock Exchange.   (Reporting By Neha Dimri in Bangalore; Editing by Saumyadeb Chakrabarty)",2014-07-17,ADS,"Thu Jul 17, 2014 | 11:52am EDT",UPDATE 2-Alliance Data boosts forecast for second time this year,http://www.reuters.com//article/alliance-data-results-idUSL4N0PS3BW20140717?type=companyNews
1,"  July 17 Credit card processor Alliance Data Systems Corp reported an 18 percent rise in quarterly profit, helped by strong sales in its customer loyalty programs business.The company's net income attributable to shareholders rose to $137.4 million, or $2.19 per share, in the quarter ended June 30, from $116.4 million, or $1.71 per share, a year earlier.  Revenue rose 23 percent to $1.27 billion.   (Reporting By Neha Dimri in Bangalore; Editing by Saumyadeb Chakrabarty) ",2014-07-17,ADS,"Thu Jul 17, 2014 | 7:41am EDT",Alliance Data Systems profit rises 18 pct,http://www.reuters.com//article/alliance-data-results-idUSL4N0PS3AT20140717?type=companyNews
2,"  Credit card processor Alliance Data Systems Corp (ADS.N) said it will buy Conversant Inc CNVR.O for about $2.3 billion in cash and stock to boost its digital marketing business.The $35 per share offer comprises $16.80 in cash and the rest in stock, based on a fixed exchange ratio, Alliance Data said. The offer represents a 31 percent premium to Conversant's stock price on the Nasdaq before its trading was halted on Thursday.Shares of Conversant, formerly known as ValueClick, were trading at $35.50 after markets closed. Alliance shares were up 3.5 percent in extended trading. Conversant will be part of Epsilon, Alliance Data's online marketing unit that has partnered with Twitter Inc (TWTR.N) and Facebook Inc (FB.O) to help advertisers better target customers through loyalty programs.Alliance said it expects Epsilon to generate about 35 percent — or more than $2 billion — of revenue and more than 500 million in adjusted earnings before interests, tax, depreciation and amortization, following the acquisition. The Dallas, Texas-based company also expects the acquisition to add about 50 cents to core earnings per share in the first year after the deal's close and about 75 cents in the next, excluding transaction costs. The deal is subject to regulatory approval and is expected to close by the year-end. (Reporting by Amrutha Gayathri in Bangalore; Editing by Joyjeet Das)",2014-09-11,ADS,"Thu Sep 11, 2014 | 5:08pm EDT",Alliance Data to buy Conversant for $2.3 billion,http://www.reuters.com//article/us-conversant-offer-idUSKBN0H62CH20140911?type=companyNews
3,"  (Adds details)Sept 11 Credit card processor Alliance Data Systems Corp said it will buy Conversant Inc  for about $2.3 billion in cash and stock to boost its digital marketing business.The $35 per share offer comprises $16.80 in cash and the rest in stock, based on a fixed exchange ratio, Alliance Data said.The offer represents a 31 percent premium to Conversant's stock price on the Nasdaq before its trading was halted on Thursday. Shares of Conversant, formerly known as ValueClick, were trading at $35.50 after markets closed. Alliance shares were up 3.5 percent in extended trading. Conversant will be part of Epsilon, Alliance Data's online marketing unit that has partnered with Twitter Inc and Facebook Inc to help advertisers better target customers through loyalty programs.Alliance said it expects Epsilon to generate about 35 percent - or more than $2 billion - of revenue and more than 500 million in adjusted earnings before interests, tax, depriciation and amortisation, following the acquisition. The Dallas, Texas-based company also expects the acquisition to add about 50 cents to core earnings per share in the first year after the deal's close and about 75 cents in the next, excluding transaction costs.The deal is subject to regulatory approval and is expected to close by the year-end.   (Reporting by Amrutha Gayathri in Bangalore; Editing by Joyjeet Das)",2014-09-11,ADS,"Thu Sep 11, 2014 | 4:58pm EDT",UPDATE 1-Alliance Data to buy Conversant for $2.3 bln,http://www.reuters.com//article/conversant-offer-idUSL3N0RC58S20140911?type=companyNews
4,  Sept 11 Credit card processor Alliance Data Systems Corp said it will buy digital marketing company Conversant Inc for about $2.3 billion in cash and stock.Alliance Data will acquire Conversant for $35 per share. The deal is expected to close by year end.  (Reporting by Amrutha Gayathri in Bangalore; Editing by Joyjeet Das) ,2014-09-11,ADS,"Thu Sep 11, 2014 | 4:13pm EDT",Alliance Data to buy Conversant for $2.3 bln,http://www.reuters.com//article/conversant-offer-idUSL3N0RC58I20140911?type=companyNews
5,"  April 14 Alliance Data Systems Corp* Says march average receivables $13.52 billion versus $13.54 billion * Says march net charge-offs $57.6 million versus $ 176.4 million * Alliance data provides card services performance update for march 2016 * Delinquency rate as of march 31, 2016 was 4.3 percent versus 3.9 percent last year  Source text for Eikon:  Further company coverage:",2016-04-14,ADS,"Thu Apr 14, 2016 | 8:19am EDT",BRIEF-Alliance Data announces March card services performance,http://www.reuters.com//article/idUSL5N17H3G5?type=companyNews
6,  April 14 Alliance Data Systems Corp* Alliance data provides card services performance update for march 2016 * Qtrly average receivables $13.51 billion versus $13.54 billion * Qtrly net charge-offs $57.6 million versus $ 176.4 million * March delinquency rate    4.3% versus 3.9%  Source text for Eikon:  Further company coverage:    (Bengaluru Newsroom: +1-646-223-8780),2016-04-14,ADS,"Thu Apr 14, 2016 | 8:10am EDT",BRIEF-Alliance Data reports qtrly net charge-offs of $57.6 mln vs $176.4 mln,http://www.reuters.com//article/idUSASC08L4I?type=companyNews
7,"  May 16 Alliance Data Systems Corp* April net charge-offs $56,744 * Says april delinquency rate 4.2 % versus 3.8% - sec filing * April net charge-offs as a percentage of average receivables 5.1 percent * Company is tracking to its guidance of a 5.1% principal loss rate for q2 of 2016  Source text for Eikon:  Further company coverage:    (Bengaluru Newsroom: +1-646-223-8780)",2016-05-16,ADS,"Mon May 16, 2016 | 7:44am EDT","BRIEF-Alliance Data Systems April net charge-offs $56,744",http://www.reuters.com//article/idUSFWN18D0K2?type=companyNews
8,  May 19 Alliance Data Systems Corp* Confident this new credit and loyalty program will be a key driver of incremental and top-line sales  * Alliance data's card services business signs new long-term agreement to provide branded credit card programs for fast-growing retailer forever 21  Source text for Eikon:  Further company coverage:    (Bengaluru Newsroom: +1-646-223-8780) ,2016-05-19,ADS,"Thu May 19, 2016 | 7:43am EDT",BRIEF-Alliance Data says card services business signs new long-term agreement,http://www.reuters.com//article/idUSASC08QGV?type=companyNews
9,  June 7 Alliance Data Systems Corp : * Says its card services business and Bed Bath & Beyond to launch loyalty-driven co-brand credit card  Source text for Eikon:  Further company coverage:    (Bengaluru Newsroom: +1-646-223-8780)  ,2016-06-07,ADS,"Tue Jun 7, 2016 | 7:35am EDT",BRIEF-Alliance Data Systems to launch loyalty-driven co-brand credit card,http://www.reuters.com//article/idUSFWN18Z0AD?type=companyNews
