,Article,Date,Symbol,Time,Title,Url
0,"  CALGARY, Alberta, April 25 Alberta Investment Management Corp, one of Canada's largest   pension funds, said on Friday that it has begun searching for a replacement for Chief Executive Officer Leo de Bever, who is retiring.AIMCo, which manages about C$70 billion ($63.5 billion) of government and retirement funds from Alberta public servants, said it will take as long as necessary to replace de Bever, who has been CEO since April 2008.De Bever will stay on the job until his successor is found. ""A critical part of the CEO's job is to effectively pass the torch to the next generation of leadership,"" de Bever said in a statement. ""I am confident that AIMCo is very well positioned for continued success."" Prior to his appointment at AIMCo, de Bever had been chief investment officer at Victorian Funds Management Corporation, which managed Australian public sector pension funds. He has also served as executive vice president at Manulife Financial Corp and as a senior vice president at the Ontario Teachers' Pension Plan. ($1 = 1.1030 Canadian dollars)   (Reporting by Scott Haggett; Editing by Tom Brown)",2014-04-25,AIV,"Fri Apr 25, 2014 | 6:43pm EDT",Canadian fund manager AIMCo looks to replace retiring CEO,http://www.reuters.com//article/canada-aimco-idUSL2N0NH1XT20140425?type=companyNews
1,"  AIMCO CLO, Series 2005-A For the full text of this story please click the following link: here ",2014-05-29,AIV,"Thu May 29, 2014 | 3:56am EDT","Update-Moody's upgrades ratings on $38.6 million of notes issued by AIMCO CLO, Series 2005-A",http://www.reuters.com//article/idUSL3N0OF1Z020140529?type=companyNews
2,"  TORONTO Aug 15 Canada's Alberta Investment Management Corp said on Friday it had acquired a C$520.3 million ($477 million) mortgage portfolio from the Ontario Municipal Employees Retirement System (OMERS).AIMCO, one of Canada's largest pension funds with over C$75 billion assets under management, including some C$3 billion in loans, is already a leading mortgage lender. The acquisition of high-quality, geographically dispersed mortgages fits well with AIMCO's existing holdings of income producing properties, said AIMCO in a statement.  (1 US dollar = 1.0906 Canadian dollar)   (Reporting by Euan Rocha; Editing by Tom Brown)",2014-08-15,AIV,"Fri Aug 15, 2014 | 11:43am EDT",Canada's Alberta Investment Management buys OMERS mortgage portfolio,http://www.reuters.com//article/aimco-omers-idUSL2N0QL17Y20140815?type=companyNews
3,"  * Aimco, allianz and hastings successfully bid for acquisition of porterbrook* Allianz says parties have contractually agreed not to disclose the purchase price * Allianz says transaction is expected to complete by the end of october  Related news",2014-10-14,AIV,"Tue Oct 14, 2014 | 5:50am EDT","BRIEF-Aimco, Allianz, Hastings successfully bid for Porterbrook",http://www.reuters.com//article/allianz-porterbrook-rail-idUSFWN0S801K20141014?type=companyNews
4,"  April 28 Apartment Investment And Management Co  :* AIMCO reports first quarter results, raises 2016 guidance* Qtrly FFO per share  $ 0.57* Qtrly pro forma FFO per share $ 0.57* Q1 adjusted FFO per share $0.51 * Sees Q2 pro forma FFO per share $0.54 to $0.58* Sees Q2 AFFO per share $0.45 to $0.49 * Sees FY 2016 pro forma FFO per share $2.24 to $2.34* Sees FY 2016 AFFO per share $1.92 to $2.0 * Sees Q2 2016 NOI change compared to q1 2016 0.25% to 1.25%* Q1 FFO per share view $0.55 -- Thomson Reuters I/B/E/S* Q2 FFO per share view $0.58 -- Thomson Reuters I/B/E/S* Fy2016 FFO per share view $2.29 -- Thomson Reuters I/B/E/S  Source text for Eikon:  Further company coverage:    (Bengaluru Newsroom: +1 646 223 8780)",2016-04-28,AIV,"Thu Apr 28, 2016 | 6:06pm EDT",BRIEF-Apartment Investment And Management Q1 FFO per share  $0.57,http://www.reuters.com//article/idUSASD08G2I?type=companyNews
5,  June 2 Wpt Industrial Real Estate Investment Trust* WPT Industrial REIT announces further investment by AIMCO  * Alberta Investment Management Corporation purchased an additional 4.5 million trust units at price of $11.75/unit    Source text for Eikon:    Further company coverage:    (Bengaluru Newsroom: +1 646 223 8780) ,2016-06-02,AIV,"Thu Jun 2, 2016 | 8:34am EDT",BRIEF-WPT Industrial says Alberta Investment Management bought 4.5 mln trust units,http://www.reuters.com//article/idUSFWN18U0AF?type=companyNews
6,"  Real estate investment trust Dream Office REIT (D_u.TO) said it would sell a 50 percent interest in Scotia Plaza, Canada's second tallest office building, to KingSett Capital and AIMCo.KingSett Capital and AIMCo, as Alberta Investment Management Corp is known, would buy the interest in the building from Dream Office REIT and H&R REIT (HR_u.TO).Under the deal, KingSett and AIMco will buy a 16.67 percent stake in Scotia Plaza from Dream Office and H&R REIT's 33.3 percent stake.  Dream Office, which would continue to own a 50 percent interest in Scotia Plaza, said it will receive net proceeds of about $115 million before closing costs and adjustments.  The 68-story Scotia Tower is in the heart of Toronto's financial district and a prominent landmark.       (Reporting by Rama Venkat Raman in Bengaluru; Editing by Leslie Adler)",2016-06-20,AIV,"Mon Jun 20, 2016 | 7:29pm EDT","Dream Office REIT to sell 50 percent interest in Scotia Plaza to KingSett, AIMCo",http://www.reuters.com//article/us-dream-offc-reit-divestiture-kingsett-idUSKCN0Z62NF?type=companyNews
7,"  Real estate investment trust Dream Office REIT (D_u.TO) said it would sell a 50 percent interest in Scotia Plaza, Canada's second tallest office building, to KingSett Capital and AIMCo.KingSett Capital and AIMCo, as Alberta Investment Management Corp is known, would buy the interest in the building from Dream Office REIT and H&R REIT (HR_u.TO).Under the deal, KingSett and AIMco will buy a 16.67 percent stake in Scotia Plaza from Dream Office and H&R REIT's 33.3 percent stake.  Dream Office, which would continue to own a 50 percent interest in Scotia Plaza, said it will receive net proceeds of about $115 million before closing costs and adjustments.  The 68-story Scotia Tower is in the heart of Toronto's financial district and a prominent landmark.       (Reporting by Rama Venkat Raman in Bengaluru; Editing by Leslie Adler)",2016-06-20,AIV,"Mon Jun 20, 2016 | 7:29pm EDT","Dream Office REIT to sell 50 pct interest in Scotia Plaza to KingSett, AIMCo",http://www.reuters.com//article/dream-offc-reit-divestiture-kingsett-idUSL4N19C4RY?type=companyNews
8,  June 20 Dream Office Real Estate Investment Trust :* Dream Office REIT announces New Scotia Plaza co-ownership arrangement with Kingsett Capital and AIMCO* Kingsett and AIMCO have agreed to acquire a 16.67% ownership interest in Scotia Plaza from trust * Kingsett and AIMCO will be assuming a 50% share of existing financing on properties * Trust expects to receive net proceeds of approximately $115 million before closing costs and adjustments * Kingsett and AIMCO will concurrently acquire 33.33% interest currently owned by H&R REIT  Source text for Eikon:  Further company coverage:    (Bengaluru Newsroom: +1-646-223-8780),2016-06-20,AIV,"Mon Jun 20, 2016 | 6:09pm EDT","BRIEF-Dream Office REIT announces New Scotia Plaza co-ownership arrangement with Kingsett Capital, AIMCO",http://www.reuters.com//article/idUSFWN19C0LT?type=companyNews
9,"  July 28 Apartment Investment And Management Co  :* Qtrly FFO per share $ 0.59* As part of its portfolio strategy, Aimco seeks to sell each year lowest-rated 5% to 10% of its portfolio* Apartment investment and management co sees FY 2016 AFFO earnings per share $1.94 to $2.02* Raised full year 2016 guidance* Sees q3 pro forma ffo per share $0.52 to $0.56 * Sees Q3 AFFO per share $0.43 to $0.47* Sees fy revenue change compared to prior year 4.50% to 5.00%* Fy2016 FFO per share view $2.31 -- Thomson Reuters I/B/E/S * Aimco reports second quarter results, raises 2016 guidance* Q2 adjusted FFO per share $0.50* Apartment investment and management co sees fy 2016 pro forma FFO per share $2.26 to $2.34 * Apartment investment and management co sees Q3 AFFO earnings per share $0.52 to $0.56* Sees fy pro forma ffo per share $2.26 to $2.34* Sees fy affo per share $1.94 to $2.02* Q3 FFO per share view $0.57 -- Thomson Reuters I/B/E/S* Q2 FFO per share view $0.57 -- Thomson Reuters I/B/E/S  Source text for Eikon:  Further company coverage:    (Bengaluru Newsroom: +1-646-223-8780)",2016-07-28,AIV,"Thu Jul 28, 2016 | 5:31pm EDT",BRIEF-Aimco Q2 adjusted FFO per share $0.50,http://www.reuters.com//article/idUSASC08ZBD?type=companyNews
10,  Aug 17 Apartment Investment And Management Co* Aimco finalizes acquisition of luxury apartment community in Redwood City  * $320 million acquisition was primarily funded with §1031 like-kind exchange proceeds from sales completed earlier this year  Source text for Eikon:  Further company coverage: ,2016-08-17,AIV,"Wed Aug 17, 2016 | 9:05am EDT",BRIEF-Aimco finalizes acquisition of luxury apartment community in Redwood City,http://www.reuters.com//article/idUSFWN1AY0HW?type=companyNews
11,"  Aug 22 Alberta Investment Management Corporation* Certain clients have agreed to sell 1.8 million common shares each of TMX Group Limited* Common shares are being sold on underwritten block trade basis at gross price of $57.70 per share, through a syndicate of underwriters * Each of AIMCO, CDPQ and OTPPB will continue to hold approximately 5% of issued and outstanding common shares of tmx * Each of AIMCO, CDPQ and OTPPB will continue to have a nominee on board of directors of TMX * AIMCO, CDPQ and Ontario Teachers' Pension Plan board agreed to sell an  aggregate of about 9.9% of common shares of TMX as of Aug 2* Caisse de Depot et Placement du Quebec,  Ontario Teachers' Pension Plan board to sell shares of TMX Group Ltd  Source text for Eikon:",2016-08-22,AIV,"Mon Aug 22, 2016 | 5:34pm EDT",BRIEF-Alberta Investment Management says certain clients have agreed to sell 1.8 mln shares each of TMX Group,http://www.reuters.com//article/idUSFWN1B30GF?type=companyNews
12,"  Oct 6 Journey Energy Inc :* AIMco's investment into co made through private placement of 30,000 units at $1,000 per unit for aggregate proceeds of $30 million * Journey Energy Inc. Announces new financing  * Entered into a strategic financing partnership with alberta investment management corporation  Source text for Eikon:  Further company coverage:",2016-10-07,AIV,"Thu Oct 6, 2016 | 11:07pm EDT",BRIEF-Journey Energy announces new financing from AIMCo,http://www.reuters.com//article/idUSASC09AI3?type=companyNews
13,"  Nov 28 Savanna Energy Services Corp* Savanna provides update to AIMCo financing* Savanna Energy says Alberta Investment Management Corp (AIMCo) has advised it that AIMCo does not intend to consent to a change of control of Savanna * Savanna Energy Services says corp, AIMCo agreed to fix exercise price of 7 million share purchase warrants to be issued to AIMCo on initial draw under term loan at $2.50 * Savanna Energy says corp, AIMCo agreed to fix exercise price of 7 million common share warrants to be issued to aimco on initial draw under term loan at $2.50 * Savanna Energy says AIMCo has advised Savanna that it remains supportive of Savanna, fully committed to completing previous financings  Source text for Eikon:  Further company coverage:",2016-11-28,AIV,"Mon Nov 28, 2016 | 4:53pm EST",BRIEF-Savanna provides update to AIMCo financing,http://www.reuters.com//article/idUSASC09KS9?type=companyNews
