,Article,Date,Symbol,Time,Title,Url
0,"  * Sale of insurance broking, premium funding businesses for A$1.01 bln* Wesfarmers to exit entire insurance business after the sale* Gallagher to become one of the biggest insurance brokers in Australia, NZ   (Adds comments from Wesfarmers, Arthur J. Gallagher, analyst, share prices)SYDNEY, April 7 Australian conglomerate Wesfarmers Ltd has agreed to sell its remaining insurance units for A$1.01 billion ($938.74 million) as the operator of the Coles supermarket chain streamlines its businesses and focuses more on retail.Wesfarmers, founded a hundred years ago in Western Australia as a farmers' cooperative, said on Monday that it is selling its insurance broking and premium funding businesses to U.S.-based Arthur J. Gallagher & Co.The sale comes at a time when Arthur J. Gallagher, one of the world's largest insurance brokers, is trying to grab a bigger share of the Australian market. The U.S. firm, which already operates in the country, will be contending with domestic players such as IAG, Suncorp Group, and QBE Insurance Group, and other international names including Marsh & McLennan and Aon.""It's an interesting development for the Australian broking market, because it's quite a significant move by an offshore player,"" said Toby Langley, a Sydney-based insurance analyst at Nomura.""The entry of a large offshore operator may create renewed interest in the broking space, and potentially the broader Australian commercial insurance market as well,"" he said. Arthur J. Gallagher said in a separate statement that the acquisition was ""an important strategic step"" to expand in Australia and New Zealand.""Together we will have a tremendous platform for growth as we expand throughout Australasia,"" said Chief Executive J. Patrick Gallagher. ""Our combined operations will become one of the largest insurance brokers in Australia and New Zealand.""The Wesfarmers insurance broking unit reported A$331.1 million in revenue in the year ended June 30, 2013, Gallagher said.Shares in Wesfarmers gained 1.0 percent in Sydney trade on Monday morning, against a 0.2 percent slip in the broader market. GOOD BUSINESSES Wesfarmers expects to record a pre-tax profit of about A$310 million to A$350 million from the deal with Arthur J. Gallagher. In addition, Wesfarmers would receive A$150 million to repay financing of the premium funding operations.The Arthur J. Gallagher deal comes four months after Wesfarmers announced the sale of its insurance underwriting business to Insurance Australia Group Ltd (IAG) for A$1.85 billion. The IAG deal has received approval from the Australian Competition and Consumer Commission. ""The businesses have been good businesses for Insurance Australia Group, and Gallagher, but there are some aspects of the business we think that they will be better able to run than we were,"" Wesfarmers Managing Director Richard Goyder said in a telephone interview, without elaborating.Local media reported in March that Wesfarmers planned to sell the insurance broking business via an initial public offering worth around A$1.12 billion.Goyder said the trade sale was a ""good outcome"", when asked why the IPO did not go ahead.The Arthur J. Gallagher deal is subject to regulatory approvals that include the go-ahead from Australia's Foreign Investment Review Board, Wesfarmers said. It expected to get the approvals in several months.The two sales, which could generate pre-tax proceeds of about A$3 billion and a pre-tax profit of A$1.01 billion to A$1.085 billion for the group, are consistent with the company's focus on disciplined portfolio management, Goyder said in a statement on Monday.Wesfarmers in February reported a 11.2 percent rise in its first-half profit, underpinned by its strong retail businesses that include the Coles supermarket chain, Officeworks, Bunnings and Kmart.Wesfarmers' Coles and the country's largest supermarket chain Woolworths Ltd, which together control 80 percent of Australia's supermarket sector, are expecting improved trading this year as consumer sentiment recovers from a tough 2013.  ($1 = 1.0759 Australian Dollars)   (Reporting by Maggie Lu Yueyang; Editing by Ryan Woo)",2014-04-07,AJG,"Sun Apr 6, 2014 | 11:25pm EDT",UPDATE 2-Wesfarmers exits insurance with sale of broking unit to U.S. insurer,http://www.reuters.com//article/australia-wesfarmers-arthur-gallagher-idUSL3N0MZ00T20140407?type=companyNews
1,"  SYDNEY Australia's Wesfarmers Ltd (WES.AX) has agreed to sell its insurance broking and premium funding businesses to Arthur J. Gallagher & Co (AJG.N) for A$1.01 billion ($938.74 million), the company said on Monday.The sale, following another deal for Wesfarmers to sell its insurance underwriting businesses to Insurance Australia Group Ltd (IAG.AX) for A$1.85 billion, is subject to regulatory approvals that include Australia's Foreign Investment Review Board, Wesfarmers said.  (Reporting by Maggie Lu Yueyang; Editing by Paul Tait) ",2014-04-07,AJG,"Sun Apr 6, 2014 | 8:30pm EDT",Wesfarmers to sell insurance broking unit to Arthur J. Gallagher,http://www.reuters.com//article/us-australia-wesfarmers-arthur-gallagher-idUSBREA3600120140407?type=companyNews
2,"  SYDNEY, April 7 Australia's Wesfarmers Ltd  has agreed to sell its insurance broking and premium funding businesses to Arthur J. Gallagher & Co for A$1.01 billion ($938.74 million), the company said on Monday.The sale, following another deal for Wesfarmers to sell its insurance underwriting businesses to Insurance Australia Group Ltd for A$1.85 billion, is subject to regulatory approvals that include Australia's Foreign Investment Review Board, Wesfarmers said.  ($1 = 1.0759 Australian Dollars)   (Reporting by Maggie Lu Yueyang; Editing by Paul Tait) ",2014-04-07,AJG,"Sun Apr 6, 2014 | 8:07pm EDT",Wesfarmers to sell insurance broking unit to Arthur J. Gallagher,http://www.reuters.com//article/australia-wesfarmers-arthur-gallagher-idUSL3N0MZ00920140407?type=companyNews
3,"   By Aashika Jain  British insurer RSA Insurance Group Plc (RSA.L) said on Monday it had reached agreement to sell its majority-owned Canadian brokerage business - Noraxis Capital Corp - to U.S. insurance brokerage Arthur J. Gallagher & Co (AJG.N) for C$500 million ($460.60 million).One of the top 100 insurers on the FTSE said in a statement it expects to receive cash consideration of C$441 million ($406.25 million) subject to closing adjustments on completion.The acquisition, which is subject to regulatory approval, is expected to close in July and to result in a gain of approximately 140 million pounds ($235 million).Upon the completion of the transaction, Gallagher will hold approximately 87 percent of the equity interests in Noraxis, while 13 percent will continue to be owned by various management employees of Noraxis. ""This disposal represents further progress against our aim of tightening the strategic focus of the Group, and brings to around 540 million pounds the announced sales since our new strategy and action plan was unveiled in February,"" RSA chief executive Stephen Hester said in a statement late Monday.He added that the group ""would continue to evaluate further non-core disposals, some of which it expect to agree during 2014."" The transaction is expected to add approximately 225 million pounds to RSA's tangible net assets, improving the group's capital strength, the insurer said.Under its financial restructuring plan, RSA announced the sale of three Baltic businesses and one Polish operation in April. The troubled UK insurer has been seeking to boost its capital base by up to 1.6 billion pounds ($2.7 billion) after it was hit by a series of weather-related claims and an accounting scandal at its Irish unit.""By adding Canada to our recent expansion in Australia, New Zealand and the U.K., we are now well positioned in those countries to replicate our successful acquisition strategy..,"" J. Patrick Gallagher, chief executive of New York-listed Gallagher's said in a presentation on its website.Noraxis, founded by RSA Canada in 1999, provides commercial, personal and employee benefits services on a retail basis.(Reporting by Aashika Jain in Bangalore; Editing by Ken Wills)",2014-05-20,AJG,"Mon May 19, 2014 | 9:35pm EDT",RSA to sell Canadian brokerage unit Noraxis for $460 million,http://www.reuters.com//article/us-rsa-ins-grp-noraxiscapital-sale-idUSBREA4J02620140520?type=companyNews
4,"   By Aashika Jain  May 20 British insurer RSA Insurance Group Plc  said on Monday it had reached agreement to sell its majority-owned Canadian brokerage business - Noraxis Capital Corp - to U.S. insurance brokerage Arthur J. Gallagher & Co  for C$500 million ($460.60 million).One of the top 100 insurers on the FTSE said in a statement it expects to receive cash consideration of C$441 million ($406.25 million) subject to closing adjustments on completion.The acquisition, which is subject to regulatory approval, is expected to close in July and to result in a gain of approximately 140 million pounds ($235 million).Upon the completion of the transaction, Gallagher will hold approximately 87 percent of the equity interests in Noraxis, while 13 percent will continue to be owned by various management employees of Noraxis. ""This disposal represents further progress against our aim of tightening the strategic focus of the Group, and brings to around 540 million pounds the announced sales since our new strategy and action plan was unveiled in February,"" RSA chief executive Stephen Hester said in a statement late Monday.He added that the group ""would continue to evaluate further non-core disposals, some of which it expect to agree during 2014."" The transaction is expected to add approximately 225 million pounds to RSA's tangible net assets, improving the group's capital strength, the insurer said.Under its financial restructuring plan, RSA announced the sale of three Baltic businesses and one Polish operation in April. The troubled UK insurer has been seeking to boost its capital base by up to 1.6 billion pounds ($2.7 billion) after it was hit by a series of weather-related claims and an accounting scandal at its Irish unit.""By adding Canada to our recent expansion in Australia, New Zealand and the U.K., we are now well positioned in those countries to replicate our successful acquisition strategy..,"" J. Patrick Gallagher, chief executive of New York-listed Gallagher's said in a presentation on its website.Noraxis, founded by RSA Canada in 1999, provides commercial, personal and employee benefits services on a retail basis.         ($1 = 1.0855 Canadian Dollars) ($1 = 0.5943 British pounds)   (Reporting by Aashika Jain in Bangalore; Editing by Ken Wills)",2014-05-20,AJG,"Mon May 19, 2014 | 9:33pm EDT",RSA to sell Canadian brokerage unit Noraxis for $460 mln,http://www.reuters.com//article/rsa-ins-grp-noraxiscapital-sale-idUSL3N0O60AV20140520?type=companyNews
5,"  March 15 Arthur J Gallagher & Co* Arthur j. Gallagher & co. Acquires bomford, couch & wilson, inc.  * terms of transaction were not disclosed.  Source text for Eikon:  Further company coverage: ",2016-03-15,AJG,"Tue Mar 15, 2016 | 3:08pm EDT","BRIEF-Arthur j. Gallagher & co. Acquires Bomford, Couch & Wilson, Inc.",http://www.reuters.com//article/idUSASC08GU1?type=companyNews
6,  March 30 Arthur J Gallagher & Co :* Arthur J. Gallagher & Co acquires Joseph Distel & Co Inc  * Terms of transaction were not disclosed  Source text for Eikon:  Further company coverage: ,2016-03-30,AJG,"Wed Mar 30, 2016 | 3:04pm EDT",BRIEF-Arthur J. Gallagher & Co buys Joseph Distel & Co Inc,http://www.reuters.com//article/idUSASC08IZL?type=companyNews
7,  March 31 Arthur J Gallagher & Co* Says CEO Pat Gallagher's 2015 total compensation was $5.5 million versus $5.6 million in 2014 - SEC filing  * Says CFO Doug Howell FY 2015 total compensation $3.2 million versus $3.6 million in FY 2014 - SEC filing  Source - 1.usa.gov/1SpCzYW Further company coverage: ,2016-03-31,AJG,"Thu Mar 31, 2016 | 2:46pm EDT",BRIEF-Arthur J Gallagher CEO Pat Gallagher's 2015 total compensation $5.5 million,http://www.reuters.com//article/idUSFWN1730U3?type=companyNews
8,  April 5 (Reuters) -* Arthur J. Gallagher & Co. acquires Capitol Benefits Group  * Arthur J. Gallagher & Co says terms of transaction were not disclosed  Source text for Eikon:  Further company coverage:    (Bengaluru Newsroom: +1-646-223-8780) ,2016-04-05,AJG,"Tue Apr 5, 2016 | 2:36pm EDT",BRIEF-Arthur J. Gallagher & Co buys Capitol Benefits Group,http://www.reuters.com//article/idUSASC08JWD?type=companyNews
9,"  April 8 Arthur J Gallagher & Co* Arthur j. Gallagher & co. Announces new credit facility and planned private placement debt transaction* Arthur j gallagher & co says facility replaces a $600 million unsecured revolving credit facility that was due to expire on september 19 , 2018 * Arthur j gallagher & co says entered into an $800 million unsecured credit facility, expiring on april 8, 2021 * Announced that it anticipates closing a private placement of $275 million of senior unsecured notes in june 2016 * Entered into an $800 million unsecured credit facility with a group of financial institutions led by bank of montreal* At gallagher's request, facility may be increased to $1.1 billion upon satisfaction of certain conditions  Source text for Eikon:  Further company coverage:    (Bengaluru Newsroom: +1-646-223-8780)",2016-04-08,AJG,"Fri Apr 8, 2016 | 5:04pm EDT",BRIEF-Arthur J. Gallagher & Co announces new credit facility,http://www.reuters.com//article/idUSASC08KE1?type=companyNews
