,Article,Date,Symbol,Time,Title,Url
0,"  Applied Materials Inc (AMAT.O), the biggest maker of equipment used to make semiconductors, reported a 39 percent jump in first-quarter revenue as higher demand from manufacturers of flash memory chips helped to offset weak sales to makers of logic chips.Applied Materials, which also provides equipment to make flat panel displays and solar cells, said it expected adjusted earnings of 25-29 cents per share in the current quarter.Analysts were expecting a profit of 27 cents per share, according to Thomson Reuters I/B/E/S.The company said it expected revenue to increase 3-10 percent sequentially in the current quarter, implying revenue of $2.25 billion-$2.40 billion. Analysts expected $2.32 billion.Orders in the company's silicon systems segment, which brings in about two-thirds of total sales, rose 13 percent to $1.57 billion, buoyed by demand from contract chip manufacturers and makers of flash memory chips.Demand has been strong for flash memory, which is used in everything from memory cards to digital cameras and portable devices such as smartphones and tablets.But spending by logic chipmakers such as Intel Corp (INTC.O) has been hit by lackluster demand for PCs. ""The foundries remain the biggest component of wafer fabrication equipment as they ramp new factories to fulfill demand for advanced mobile chips,"" Chief Executive Gary Dickerson said on a conference call with analysts on Wednesday.""We expect foundry investment to grow 10 percent to 20 percent this year,"" Dickerson said.Taiwan Semiconductor Manufacturing Co Ltd (TSMC) (2330.TW), the world's biggest contract chipmaker, said it expects double-digit percentage growth in sales and profit in 2014 based on a protracted boom in the mobile device sector.TSMC, one of Applied Materials' biggest customers, also said it was investing billions of dollars to pack more processing power into chips. Applied Materials said orders for logic and DRAM chips declined in the first quarter.""In logic, we anticipate investment levels (in 2014) to be flat to down relative to 2013,"" Dickerson said.Applied Materials, which also supplies chipmaking gear to Samsung Electronics Co Ltd (005930.KS), agreed in September to buy No. 3 chip equipment maker Tokyo Electron Ltd in an all-stock deal worth more than $10 billion as the number of major customers making logic chips declines. The company's net income rose to $253 million, or 21 cents per share, in the first quarter ended January 26 from $34 million, or 3 cents per share a year earlier.Excluding items, the company earned 23 cents per share.Revenue rose 39 percent to $2.19 billion.Analysts had expected earnings of 22 cents per share on revenue of $2.13 billion.Applied Materials' shares were little changed at $17.92 in extended trading on Wednesday.(Reporting By Lehar Maan and Supantha Mukherjee in Bangalore; Editing by Ted Kerr)",2014-02-12,AMAT,"Wed Feb 12, 2014 | 6:25pm EST",Applied Materials boosted by demand for flash memory chips,http://www.reuters.com//article/us-appliedmaterials-results-idUSBREA1B2D920140212?type=companyNews
1,"  * Expects second-qtr adj EPS $0.25-$0.29/shr vs est $0.27* Expects second-qtr rev to increase 3-10 pct sequentially* First-qtr adj EPS $0.23/shr vs est $0.22* Revenue $2.19 bln vs est $2.13 blnFeb 12 Applied Materials Inc, the biggest maker of equipment used to make semiconductors, reported a 39 percent jump in first-quarter revenue as higher demand from manufacturers of flash memory chips helped to offset weak sales to makers of logic chips.Applied Materials, which also provides equipment to make flat panel displays and solar cells, said it expected adjusted earnings of 25-29 cents per share in the current quarter.Analysts were expecting a profit of 27 cents per share, according to Thomson Reuters I/B/E/S.The company said it expected revenue to increase 3-10 percent sequentially in the current quarter, implying revenue of $2.25 billion-$2.40 billion. Analysts expected $2.32 billion.Orders in the company's silicon systems segment, which brings in about two-thirds of total sales, rose 13 percent to $1.57 billion, buoyed by demand from contract chip manufacturers and makers of flash memory chips. Demand has been strong for flash memory, which is used in everything from memory cards to digital cameras and portable devices such as smartphones and tablets.But spending by logic chipmakers such as Intel Corp  has been hit by lackluster demand for PCs.""The foundries remain the biggest component of wafer fabrication equipment as they ramp new factories to fulfill demand for advanced mobile chips,"" Chief Executive Gary Dickerson said on a conference call with analysts on Wednesday.""We expect foundry investment to grow 10 percent to 20 percent this year,"" Dickerson said. Taiwan Semiconductor Manufacturing Co Ltd (TSMC), the world's biggest contract chipmaker, said it expects double-digit percentage growth in sales and profit in 2014 based on a protracted boom in the mobile device sector.TSMC, one of Applied Materials' biggest customers, also said it was investing billions of dollars to pack more processing power into chips.Applied Materials said orders for logic and DRAM chips declined in the first quarter.""In logic, we anticipate investment levels (in 2014) to be flat to down relative to 2013,"" Dickerson said. Applied Materials, which also supplies chipmaking gear to Samsung Electronics Co Ltd, agreed in September to buy No. 3 chip equipment maker Tokyo Electron Ltd in an all-stock deal worth more than $10 billion as the number of major customers making logic chips declines.The company's net income rose to $253 million, or 21 cents per share, in the first quarter ended Jan. 26 from $34 million, or 3 cents per share a year earlier.Excluding items, the company earned 23 cents per share.Revenue rose 39 percent to $2.19 billion.Analysts had expected earnings of 22 cents per share on revenue of $2.13 billion.Applied Materials' shares were little changed at $17.92 in extended trading on Wednesday.",2014-02-12,AMAT,"Wed Feb 12, 2014 | 6:23pm EST",UPDATE 1-Applied Materials boosted by demand for flash memory chips,http://www.reuters.com//article/appliedmaterials-results-idUSL3N0LH65320140212?type=companyNews
2,  NEW YORK Feb 12 Applied Materials Inc :  * Shares down 1.2 percent after the bell following results   ,2014-02-12,AMAT,"Wed Feb 12, 2014 | 4:22pm EST",BRIEF-Applied Materials shares down 1.2 percent after the bell following results,http://www.reuters.com//article/appliedmaterials-brief-idUSWEN00CJJ20140212?type=companyNews
3,"  Chip-equipment maker Applied Materials Inc (AMAT.O) reported a 39 percent jump in quarterly revenue as higher spending by contract chip manufacturers and memory-chip makers offset muted demand from companies making logic chips.Revenue rose to $2.19 billion in the first quarter ended January 26 from $1.57 billion a year earlier.Net income rose to $253 million, or 21 cents per share, from $34 million, or 3 cents per share. Excluding items, the company earned 23 cents per share. Applied Materials supplies chip-making gear to companies such as Samsung Electronics Co Ltd (005930.KS) and Taiwan Semiconductor Manufacturing Co Ltd (2330.TW). (Reporting By Lehar Maan and Supantha Mukherjee in Bangalore)",2014-02-12,AMAT,"Wed Feb 12, 2014 | 4:19pm EST",Applied Materials revenue jumps as chip gear demand rises,http://www.reuters.com//article/us-appliedmaterials-results-idUSBREA1B25R20140212?type=companyNews
4,"  Feb 12 Chip-equipment maker Applied Materials Inc reported a 39 percent jump in quarterly revenue as higher spending by contract chip manufacturers and memory-chip makers offset muted demand from companies making logic chips.Revenue rose to $2.19 billion in the first quarter ended Jan. 26 from $1.57 billion a year earlier. Net income rose to $253 million, or 21 cents per share, from $34 million, or 3 cents per share. Excluding items, the company earned 23 cents per share. Applied Materials supplies chip-making gear to companies such as Samsung Electronics Co Ltd and Taiwan Semiconductor Manufacturing Co Ltd.",2014-02-12,AMAT,"Wed Feb 12, 2014 | 4:18pm EST",Applied Materials revenue jumps as chip gear demand rises,http://www.reuters.com//article/appliedmaterials-results-idUSL3N0LH5XS20140212?type=companyNews
5,  April 1 Taiwan Semiconductor Manufacturing Co Ltd * Says orders machinery equipment worth T$512 million ($16.81 million) from Applied Materials South East Asia PacificSource text on Eikon: Further company coverage:    ($1 = 30.4525 Taiwan Dollars)   (Reporting by Hong Kong and Singapore newsrooms)  ,2014-04-01,AMAT,"Tue Apr 1, 2014 | 1:58am EDT",BRIEF-TSMC orders machinery equipment worth T$512 mln from Applied Materials South East Asia Pacific,http://www.reuters.com//article/tsmc-brief-idUSL4N0MT1KZ20140401?type=companyNews
6,  April 9 Taiwan Semiconductor Manufacturing Co Ltd* Says orders machinery equipment worth T$559.5 million ($18.53 million) from Applied Materials South East Asia Pacific * Says orders facility and engineering equipment worth T$300.6 million from United Integrated Services Source text on Eikon: Further company coverage:     ($1 = 30.1935 Taiwan Dollars)   (Reporting by Hong Kong and Singapore newsrooms),2014-04-09,AMAT,"Wed Apr 9, 2014 | 2:51am EDT","BRIEF-TSMC orders equipment from Applied Materials, United Integrated Services totalling T$860 mln",http://www.reuters.com//article/tsmc-brief-idUSL3N0N11PB20140409?type=companyNews
7,"  (Adds details from analyst call, comment; updates stock move)By Noel RandewichSAN FRANCISCO May 15 Top chip gear-maker Applied Materials on Thursday posted higher fiscal second-quarter revenue as investments to make more smartphones and memory chips helped offset a slow personal computer market.Shares of the company rose after its report reassured investors who were cautious following recent disappointing quarterly forecasts from other companies.""We've had a lot of mixed commentary through earnings season and some pretty concerning outlooks,"" said Pacific Crest analyst Weston Twigg. ""That's particularly true for (semiconductor capital) names where there's been concern about demand dropping off.""Leading contract chipmaker Taiwan Semiconductor Manufacturing Co Ltd and its rivals are working on new cutting-edge manufacturing technology that will allow them to make more advanced chips for mobile gadgets. But due to the complexity of the new technology, the timing of each company's investments and eventual launch of new production lines has remained unclear to investors.On a conference call with analysts on Thursday, Chief Executive Officer Gary Dickerson said he expects contract chip manufacturers to increase their investments by up to 20 percent this year, driven by smartphones and other connected mobile devices. While a slow PC market is muting demand for Intel Corp's  processors, the growth of mobile devices is driving more investment in NAND and DRAM memory chips.Applied Materials agreed in September to buy No. 3 chip equipment maker Tokyo Electron Ltd in an all-stock deal worth more than $10 billion as the number of major customers making advanced chips declines. Dickerson said he continues to expect regulatory approval in the second half of 2014.Applied Materials said its revenue for the quarter ended in April was $2.35 billion, up from $1.97 billion in the year-ago period. Analysts expected second-quarter revenue of $2.349 billion, according to Thomson Reuters I/B/E/S. The company had a net profit for the quarter of $262 million, or 21 cents a share, compared with a net loss of $129 million, or 11 cents, in the same quarter last year.Excluding items, the company earned 28 cents per share, in line with expectations.The company said it expected revenue in the current quarter to be flat or down 5 percent from the previous quarter, implying revenue of $2.23 billion to $2.35 billion. Analysts on average expected $2.318 billion.Shares of Applied Materials rose 3.26 percent after closing down 1.37 percent at $18.69 on Nasdaq.   (Reporting by Noel Randewich; Editing by Marguerita Choy and Mohammad Zargham)",2014-05-15,AMAT,"Thu May 15, 2014 | 5:48pm EDT","UPDATE 2-Applied Material posts higher quarterly revenue, stock gains",http://www.reuters.com//article/appliedmaterials-results-idUSL1N0O120620140515?type=companyNews
8,"  SAN FRANCISCO May 15 Top chip gear-maker Applied Materials on Thursday posted higher fiscal second-quarter revenue that met analysts' expectations as a slow personal computer market weighed against demand for smartphones and memory chips. Applied Materials said its revenue for the quarter ended in April was $2.35 billion, up from $1.97 billion in the year-ago period. Analysts expected second-quarter revenue of $2.349 billion, according to Thomson Reuters I/B/E/S.   (Reporting by Noel Randewich)  ",2014-05-15,AMAT,"Thu May 15, 2014 | 4:05pm EDT",Applied Material's second-quarter revenue meets expectations,http://www.reuters.com//article/appliedmaterials-results-idUSL1N0O11HO20140515?type=companyNews
9,"  * Tokyo Electron jumps after Applied Materials soars     * BOJ meeting, US and China data awaited this week     * Exporters weak as dollar trades below 102 yen      By Ayai Tomisawa     TOKYO, May 19 Japan's Nikkei share average was flat on Monday morning as a stronger yen capped investors' risk appetite, while the market was awaiting a series of major events this week including a Bank of Japan policy meeting.     Tokyo Electron Ltd jumped 6.3 percent after shares in chip gear maker Applied Materials - which agreed in September to buy the Japanese firm - soared Friday on strong earnings results.      The Nikkei was flat at 14,096.88 in midmorning trade after opening a tad higher. On Friday, it dropped 1.4 percent.     Analysts said investors were staying on the sidelines as they awaited events this week including the BOJ meeting, U.S. economic data and a Chinese PMI report.     ""Since the majority of companies' earnings are over, investors are trying to find cues from these events,"" said Hikaru Sato, a senior technical analyst at Daiwa Securities.     Maruetsu Inc soared as much as 14 percent to 382 yen, its highest level since March 2013. The Nikkei newspaper said Aeon will consolidate its supermarket operations in greater Tokyo by bringing three grocery store chains, including Maruetsu, under a joint venture with trading house Marubeni Corp.     Major exporters were weak as the dollar traded at 101.54 , not far from a two-month low of 101.31 set on Thursday. Toyota Motor Corp dropped 0.5 percent, Sony Corp  shed 1.9 percent and Panasonic Corp fell 1.4 percent.     The broader Topix declined 0.1 percent, while the new JPX-Nikkei Index 400 was flat at 10,564.05.   (Editing by Chris Gallagher)   ",2014-05-19,AMAT,"Sun May 18, 2014 | 9:58pm EDT",Nikkei flat as stronger yen caps risk appetite; Tokyo Electron shines,http://www.reuters.com//article/markets-japan-stocks-idUSL3N0O50AF20140519?type=companyNews
