,Article,Date,Symbol,Time,Title,Url
0,"  (Adds Citi, HSBC, W.P. Carey, U.S. Bank Wealth Management)March 25 The following financial services industry appointments were announced on Tuesday. To inform us of other job changes, email moves@thomsonreuters.com.** CARLYLE GROUP LP ** JPMORGAN CHASE & CO Private equity firm Carlyle said it appointed Mike Cavanagh, co-head of JPMorgan Chase's corporate and investment bank, as co-president and co-chief operating officer.Daniel Pinto will become the sole CEO of JPMorgan's corporate and investment bank after Cavanagh's departure, the bank said in a separate statement.** AFFILIATED MANAGERS GROUP INC The asset manager said it appointed Jeffrey Cerutti to the newly created position of chief executive officer of AMG Funds. Cerutti joins from Virtus Investment Partners Inc, where he most served as executive vice president, head of distribution of investment products.** MARSH & MCLENNAN CO Marsh, the insurance broking and risk-management unit of Marsh & McLennan, named Madam Zhao Shuxian as chairman of Marsh China with immediate effect. She most recently served as executive vice president for People's Insurance Co of China's (PICC) property and casualty insurance unit. ** STANDARD CHARTERED PLC The Asia-focused lender named Barnaby Nelson as managing director and regional head of investors and intermediaries, North East Asia and Greater China. Nelson joins from BNP Paribas, where he was head of client development, Asia-Banks, broker dealers and corporate issuers.** BNP PARIBAS SECURITIES SERVICES The global custodian and securities services provider appointed Linda Morsia as head of its depositary banking business in the UK. Morsia joins from State Street Trustees, where she was head of client management, sales and business development. ** SANLAM PRIVATE INVESTMENTS The company's corporate finance and broking arm, Sanlam Securities UK, appointed Adrian Kearsey as head of small cap research. Kearsey joins from Hardman Research where he was a research analyst specialising in the support services sector and a member of the executive board.** XTRAKTER LTD The London-based provider of capital market data, trade matching and regulatory reporting services to the global securities market hired Kevin Swann as head of data, responsible for the development and commercial direction of Xtrakter's data products. Swann had held various positions at Thomson Reuters, DirectFN, TradeWeb and Bloomberg. ** HSBC HOLDINGS PLC The British bank's unit, HSBC Commercial Banking, appointed Stuart Nivison global head of business banking, overseeing the development and delivery of services for small and medium enterprises (SME) customers in 27 countries. Nivison will relocate to London from Hong Kong, where he most recently served as global head of audit for commercial banking.** W. P. CAREY INC The real estate investment trust specializing in corporate sale-leaseback and build-to-suit financing and the acquisition of single-tenant net-lease properties, appointed Jennifer Lucas  executive director. Lucas joined W. P. Carey in 2005 and has been responsible for structuring and closing numerous long-term sale-leaseback financing transactions across Europe.** U.S. BANK WEALTH MANAGEMENT The wealth management unit of U.S. Bancorp said Alex Kramer has been appointed Milwaukee market leader for the private client reserve of U.S. Bank. The private client reserve is a provider of wealth management services for individuals, families and foundations with investable assets of more than $1 million. The company also named Sara Dorosti as trust relationship manager in San Francisco for the private client reserve. She was an associate attorney with Pillsbury Winthrop Shaw and Pittman, LLP in Palo Alto.** CITIGROUP INC The company said Heather Cox has been named chief client experience, digital and marketing officer for global consumer banking. Heather joins Citi from Capital One.   (Compiled by Neha Dimri and Sampad Patnaik in Bangalore)",2014-03-25,AMG,"Tue Mar 25, 2014 | 4:07pm EDT","MOVES- Carlyle, JPMorgan, Marsh & McLennan, Affiliated Managers",http://www.reuters.com//article/financial-moves-idUSL4N0MM2BY20140325?type=companyNews
1,"  LONDON, March 28 Aviva* Aviva sells us equity manager river road * Aviva Investors, the asset management business of Aviva plc announces a definitive agreement to sell US equity manager River Road Asset Management to Affiliated Managers Group, Inc.  * The sale represents a modest premium to group NAV and will increase both the IGD solvency surplus and economic capital surplus by £0.1bn.  Source text for Eikon:  Further company coverage:    (Reporting by Paul Sandle)",2014-03-28,AMG,"Fri Mar 28, 2014 | 3:16am EDT",BRIEF-Aviva sells River Road to Affiliated Managers,http://www.reuters.com//article/aviva-brief-idUSASM00067S20140328?type=companyNews
2,"  (Adds Affiliated Managers Group, TSB Bank, Presidio Group and KPMG)April 23 (Reuters) -The following financial services industry appointments were announced on Wednesday. To inform us of other job changes, email to moves@thomsonreuters.com.CANTOR FITZGERALD WEALTH PARTNERS Cantor Fitzgerald Wealth Partners, launched in November 2013 by institutional trading firm Cantor Fitzgerald LP, has hired Lowell ""Bob"" Serhus as chief investment officer to guide the firm's financial advisers on portfolio and risk management, with a focus on alternative investments.BANK OF AMERICA CORP Lisa Carnoy has joined U.S. Trust, the private banking unit of Bank of America, as division executive for its Northeast and metropolitan New York region. AMP CAPITAL The specialist investment manager said it appointed Kate Campbell as institutional director, Europe, at the firm's London office. Campbell will report to Richard Shields, managing director for Europe, Middle East and Africa. Before this, Campbell worked with J.P. Morgan where she was executive director, capital introduction, in the prime brokerage area.AFFILIATED MANAGERS GROUP INC The investment management company said it appointed Niall Ferguson to its board of directors. Ferguson is Laurence A. Tisch professor of history at Harvard University, and a senior fellow at the Hoover Institution, Stanford University. He is a member of the board of trustees of the American Academy in Berlin, the Museum of American Finance and the New York Historical Society. Ferguson is also the founder of Greenmantle, a macroeconomic and geopolitical advisory firm based in Cambridge, Massachusetts.TSB BANK PLC The British bank said it appointed Mark Fisher as a non-executive director. Fisher, currently director of group operations at Lloyds Banking Group, is expected to leave his position on 31 May 2014. THE PRESIDIO GROUP LLC The provider of financial advisory services said it named eight of the firm's professionals as equity partners, bringing the total number of employee-partners to 15.The new employee-partners are Bruce Brugler, Colin Carter, Antonio Casal, Jerry Deren, Tom Emig, Pablo Ferreri, Kelly Lawson and Barry Rudolph.The company also said it had formed a new, five-member board of directors including Presidio Group executives CEO Karl Schade, executive chairman and head of the firm's auto and truck investment banking group, Brodie Cobb, managing director Colin Carter, and independent directors Glenn Darden and William Price III.KPMG LLP The audit, tax and advisory firm said it appointed Conor Moore national co-leader of the company's venture capital practice. Moore will be based in San Francisco and succeeds Packy Kelly, who has been appointed the leader of KPMG's Global Semiconductor practice, the company said.In his new role, Moore will drive strategy and client services, broaden KPMG relationships with venture capital firms, venture-backed companies and start-ups, and serve as the lead partner on several large client engagements, the company said.   (Compiled by Avik Das in Bangalore)",2014-04-23,AMG,"Wed Apr 23, 2014 | 3:58pm EDT","MOVES- Cantor Fitzgerald, Bank of America, AMP Capital",http://www.reuters.com//article/financial-moves-idUSL3N0NF2KJ20140423?type=companyNews
3,"  June 15 Investment firm Affiliated Managers Group Inc (AMG) has reached an in-principle agreement to buy a stake in hedge fund manager D.E. Shaw & Co LP from the estate of Lehman Brothers Holdings Inc, the Wall Street Journal reported on Sunday.The deal is the latest sign of an asset manager coveting a slice of a hedge fund manager's fees as banks that have traditionally backed hedge funds retrench due to regulations implemented in the aftermath of the 2008 financial crisis.AMG has bid more than $500 million for the 20 percent stake for sale by Lehman, the financial newspaper reported on its website, citing people familiar with the matter it did not identify. A final deal is not imminent and talks could still fall apart, it added. Lehman, a U.S. investment bank whose collapse was a major contributor to the 2008 crisis, paid between $750 million and $800 million for the stake in 2007, the Wall Street Journal said.AMG and D.E. Shaw representatives did not respond to requests for comment while a Lehman estate spokeswoman declined to comment. New York-based D.E. Shaw has about $32 billion in investment capital, according to its website. It was founded in 1988 by David Shaw, a former Columbia University computer science professor. Boston-based AMG has $594 billion in assets under management. These assets including stakes in hedge fund managers BlueMountain Capital Management LLC, ValueAct Capital Management LP and AQR Capital Management LLC, according to its website.Lehman emerged from bankruptcy in 2012 and its estate has been gradually unwinding its assets since.   (Reporting by Greg Roumeliotis in New York; Editing by Eric Walsh)",2014-06-16,AMG,"Sun Jun 15, 2014 | 9:32pm EDT",Affiliated Managers nears deal for Lehman's stake in D.E. Shaw-WSJ,http://www.reuters.com//article/amg-deshaw-idUSL2N0OX01X20140616?type=companyNews
4,"  (The following statement was released by the rating agency) NEW YORK, June 18 (Fitch) Fitch Ratings has completed a peer review of five  rated traditional investment managers (IMs). Based on this review, Fitch has  affirmed the following Long-term Issuer Default Ratings (IDR): Affiliated  Managers Group, Inc. (AMG) at 'BBB', AllianceBernstein L.P. (AB) at 'A+',  Invesco Ltd. (IVZ) at 'A-', Aberdeen Asset Management PLC (AAM) at 'A', and  Schroders Plc (Schroders) at 'A+'. The Rating Outlook for AMG has been revised  to Positive from Stable, while the Rating Outlooks for the remaining traditional  IMs are Stable. Please refer to company specific rating action commentary published today, and  available on Fitch's website, for further rating rationale. INDUSTRY OUTLOOK The operating environment for traditional IMs remains favorable, driven by  improved global equity markets that have lifted assets under management (AUM)  levels and attracted investor flows. This has resulted in good fee revenue  generation, improved investment performance and stable operating margins,  supported by continued cost discipline.  Leverage levels have generally declined, and in some cases been reduced to zero,  driven by improved cash flow generation and debt repayment. Many traditional IMs  have taken advantage of favorable capital markets and low interest rates to  refinance debt at attractive spreads, which should improve interest coverage.  Liquidity remains strong, with most traditional IMs operating at or near  negative net debt position. These positive trends are tempered by the cyclical nature of market value  appreciation, potential performance and reputational risks in a rising interest  rate environment and regulatory uncertainty surrounding IMs and/or their funds.  MARKET APPRECIATION Market appreciation over the last several years has increased the value assets  under management, attracted asset inflows, improved margins given scale  efficiencies and driven higher levels of management fees. These dynamics result  in improved cash flow leverage (debt/EBITDA) metrics, even without changes in  debt levels, given that EBITDA is the denominator. Fitch views lower leverage  levels positively, but recognizes that with market value declines at other  stages in the economic cycle, such cash flow leverage improvements can reverse  themselves.  INTEREST RATE SENSITIVITY Potential tightening of monetary policy by central governments could have a  negative impact on equity and fixed income flows depending on the pace of which  it occurs. Interest rate risk remains for managers with high exposure to fixed  income AUM from unexpected rise in rates, which could potentially hurt  investment performance and pressure flows. The magnitude of the interest rate  impact for a given manager will depend on the extent to which their AUM is  concentrated in fixed income offerings, the characteristic of such funds in  terms of their interest rate sensitivity and the composition of the investor  base. AB, with 56% of its AUM in fixed income assets as of March 31, 2014, has  an above average exposure. However, Fitch believes AB's product and client  diversity along with good investment performance in fixed income should help  mitigate some of this pressure.  At a minimum, market value depreciation or outflows as a result of rising rates  would reduce management fees and thus increase cash flow leverage. It could also  create reputational risk for managers if performance is materially worse than  peers. However, in the long term, rising rates accompanied by sustained economic  growth should benefit equity assets and flows. REGULATORY UNCERTAINTY Traditional investment managers have historically avoided broad regulatory  scrutiny due to the advisory nature of their business. However, the Financial  Stability Oversight Council (FSOC) in the U.S. and the Financial Stability Board  (FSB) in Europe are looking into possible systemic risks posed by large  investment management firms and/or their funds, and whether such risks could be  addressed through regulatory measures. While the outcome is highly uncertain,  Fitch believes that increased regulation could be a positive for debtholders if  higher explicit capital and liquidity requirements resulted, although it may  necessitate material equity raises given the limited equity positions of most  managers and negative tangible equity positions in certain instances.  Profitability could also be adversely impacted depending on the extent to which  increased capital/liquidity requirements or heightened transparency requirements  affect IMs or their funds.   Contact:  Primary Analyst - AMG, AB, IVZ Mohak Rao, CFA Director +1-212-908-0559 Fitch Ratings, Inc. 33 Whitehall St New York, NY 10004 Primary Analyst - AAM, Schroders Denzil De Bie Director Financial Institutions +44 20 3530 1592 Fitch Ratings Limited 30 North Colonnade London E14 5GN Secondary Analyst - AMG and AB Yuriy Layvand Director  +1-212-908-9191 Secondary Analyst - AAM, Schroders Alan Milne Associate Director Financial Institutions +44 20 3530 1491 Secondary Analyst - IVZ Russ Thomas Director  +1-312-368-3189 Committee Chairperson  Nathan Flanders Managing Director +1-212-908-0827 Media Relations: Brian Bertsch, New York, Tel: +1 212-908-0549, Email:  brian.bertsch@fitchratings.com. Additional information is available on www.fitchratings.com Applicable Criteria and Related Research: --'Global Financial Institutions Rating Criteria' (Jan. 31, 2014); --'Investment Manager and Alternative Funds Criteria' (Dec. 12, 2013); --'Treatment and Notching of Hybrids in Nonfinancial Corporates and REIT Credit  Analysis ' (Dec. 23, 2013); --2014 Outlook: Investment Managers and BDCs (November 2013); --Traditional U.S. Investment Managers - A Comparative Analysis (July 2013). ALL FITCH CREDIT RATINGS ARE SUBJECT TO CERTAIN LIMITATIONS AND DISCLAIMERS.  PLEASE READ THESE LIMITATIONS AND DISCLAIMERS BY FOLLOWING THIS LINK:  here. IN ADDITION, RATING  DEFINITIONS AND THE TERMS OF USE OF SUCH RATINGS ARE AVAILABLE ON THE AGENCY'S  PUBLIC WEBSITE 'WWW.FITCHRATINGS.COM'. PUBLISHED RATINGS, CRITERIA AND  METHODOLOGIES ARE AVAILABLE FROM THIS SITE AT ALL TIMES. FITCH'S CODE OF  CONDUCT, CONFIDENTIALITY, CONFLICTS OF INTEREST, AFFILIATE FIREWALL, COMPLIANCE  AND OTHER RELEVANT POLICIES AND PROCEDURES ARE ALSO AVAILABLE FROM THE 'CODE OF  CONDUCT' SECTION OF THIS SITE. FITCH MAY HAVE PROVIDED ANOTHER PERMISSIBLE  SERVICE TO THE RATED ENTITY OR ITS RELATED THIRD PARTIES. DETAILS OF THIS  SERVICE FOR RATINGS FOR WHICH THE LEAD ANALYST IS BASED IN AN EU-REGISTERED  ENTITY CAN BE FOUND ON THE ENTITY SUMMARY PAGE FOR THIS ISSUER ON THE FITCH  WEBSITE.   ",2014-06-18,AMG,"Wed Jun 18, 2014 | 5:25pm EDT",Fitch Completes Traditional IM Peer Review; Affirms Ratings; Revises AMG's Outlook to Positive,http://www.reuters.com//article/fitch-completes-traditional-im-peer-revi-idUSFit70500920140618?type=companyNews
5,  June 24   * S&P Dow jones indices says Affiliated Managers Group Inc  to replaceForest Laboratories Inc in S&P 500  * S&P Dow jones indices says change to be made after close of trading on June 30  * S&P Dow jones indices says Forest is being acquired by S&P 500 component  Actavis PLC,2014-06-24,AMG,"Tue Jun 24, 2014 | 5:23pm EDT","BRIEF-S&P 500 to add Affiliated Managers Group, drop Forest Labs",http://www.reuters.com//article/sp500-brief-idUSWEN00DHW20140624?type=companyNews
6,"  (Adds Moelis & Co, BNP Paribas, Fortress Investment Group, Robert W. Baird & Co, Citigroup Inc)July 6 The following financial services industry appointments were announced on Monday. To inform us of other job changes, email moves@thomsonreuters.com.CITIGROUP INC The bank promoted Michael Lavelle to head of UK and Ireland corporate and investment banking and vice chairman of EMEA CIB with immediate effect, according to an internal memo seen by Reuters.JPMORGAN CHASE & CO The bank said Stacey Friedman, 47, would succeed Steve Cutler as the bank's general counsel early next year.BNP PARIBAS Head of corporate finance in Germany, Peter Voelker-Albert, has left the French bank to join Santander as head of global banking & markets for Germany, Austria and Switzerland, starting on Oct. 1, according to an internal memo seen by Reuters. ROBERT W. BAIRD & CO Financial services firm Robert W. Baird & Co appointed Chase Sanders as managing director in the technology and services team of its global investment banking business.MOELIS & CO The boutique investment bank has hired veteran oil and gas investment banker David Cunningham in its Houston office, according to an internal memo seen by Reuters on Monday. FORTRESS INVESTMENT GROUP LLC'sJeff Feig, co-chief investment officer of hedge fund Fortress Investment's macro fund, is leaving the company after less than a year, with Michael Novogratz becoming sole CIO, three sources with knowledge of the changes said.TULLETT PREBON PLC  The alternative investments arm of the interdealer broker appointed Michael McKell head of real estate secondaries to trade open-ended and specialist real estate funds.AFFILIATED MANAGERS GROUP INC The asset manager appointed Robert Bee as director, head of distribution, in the UK.BLUEBAY ASSET MANAGEMENT LLP The London-based fixed income manager appointed Soumyanshu Bhattacharya as institutional portfolio manager in its emerging markets sovereign team.SHAWBROOK GROUP PLC The new British bank said it had appointed Iain Cornish as chairman with immediate effect.    (Compiled by Natalie Grover and Lehar Maan)",2015-07-06,AMG,"Mon Jul 6, 2015 | 3:44pm EDT","MOVES-Citigroup, JP Morgan, Tullett Prebon, AMG, BlueBay",http://www.reuters.com//article/financial-moves-idUSL3N0ZM4N920150706?type=companyNews
7,"  (Adds AMG)  (Adds AMG)July 6 The following financial services industry appointments were announced on Monday. To inform us of other job changes, email moves@thomsonreuters.com.TULLETT PREBON PLC The alternative investments arm of the interdealer broker appointed Michael McKell head of real estate secondaries to trade open-ended and specialist real estate funds. AFFILIATED MANAGERS GROUP INC The asset manager appointed Robert Bee as director, head of distribution, in the UK. BLUEBAY ASSET MANAGEMENT LLP  The London-based fixed income manager appointed Soumyanshu Bhattacharya as institutional portfolio manager in its emerging markets sovereign team.SHAWBROOK GROUP PLC The new British bank said it had appointed Iain Cornish as chairman with immediate effect.    (Compiled by Natalie Grover)",2015-07-06,AMG,"Mon Jul 6, 2015 | 9:13am EDT","MOVES-Tullett Prebon, AMG, BlueBay",http://www.reuters.com//article/financial-moves-idUSL3N0ZM3PQ20150706?type=companyNews
8,"  (Adds dropped word ""of"" in second paragraph)July 6 Asset manager Affiliated Managers Group Inc appointed Robert Bee as director, head of distribution, in the UK. Bee will be based in London and lead the UK distribution team on behalf of AMG's affiliates.  He joins AMG, which manages about $638 billion in assets, from Ashmore Group Plc, where he oversaw UK Institutional new business, consultant relations and key client accounts.   (Reporting by Natalie Grover in Bengaluru)",2015-07-06,AMG,"Mon Jul 6, 2015 | 8:42am EDT",REFILE-MOVES- AMG hires Robert Bee to lead UK distribution team,http://www.reuters.com//article/amg-moves-bee-idUSL3N0ZM49U20150706?type=companyNews
9,"  Nov 3 Methorios Capital SpA :* Affiliated company, Astrim SpA, renews interest-bearing financing of 1.85 million euros  ($2.03 million) * Financing to have interest rate of 5.5 percent on an annual basis   Source text for Eikon:  Further company coverage:   ($1 = 0.9134 euros)   (Gdynia Newsroom)",2015-11-03,AMG,"Tue Nov 3, 2015 | 12:22pm EST",BRIEF-Affiliated company of Methorios Capital renews financing of EUR 1.85 mln,http://www.reuters.com//article/idUSFWN12Y01O20151103?type=companyNews
