,Article,Date,Symbol,Time,Title,Url
0,"  * Shares rise as much as 6.4 percent* Jackson warns of high inventories* Analyst says slow January sales will pressure auto dealer groupsBy Bernie WoodallJan 30 AutoNation Inc, the largest U.S. automobile dealer group, sped by Wall Street's quarterly earnings expectations on robust sales of luxury cars like Mercedes-Benz and BMW, and its shares rose as high as 6.4 percent.AutoNation said on Thursday that its fourth-quarter income from what it calls new premium-luxury vehicles increased 28 percent to $102.7 million. The segment accounted for 46 percent of total new-vehicle income.""The shining star really's got to be Mercedes-Benz for introducing two new products simultaneously at different ends of the spectrum with the CLA and the S-Class,"" AutoNation Chief Operating Officer Mike Maroone said in a telephone interview. ""Demand for those products was extraordinary.""The CLA is an entry-level vehicle costing about $30,000, and the S-Class sedan is the flagship of Daimler AG's  Mercedes-Benz brand. The average purchase price for an S-Class sedan is $94,000, according to TrueCar.com.Mercedes-Benz vehicles accounted for 10 percent of AutoNation's new-vehicle sales in the quarter, and BMW  accounted for 5.6 percent. They were followed by Toyota Motor Corp's namesake brand at 18.6 percent; Ford Motor Co , 16.5 percent; Honda Motor Co's namesake brand, 11 percent; and Nissan Motor Co's namesake brand, 10 percent. AutoNation's net income rose to $109.4 million, or 89 cents per share, in the quarter from $83.2 million, or 67 cents per share, a year earlier.Excluding a tax benefit and gains from changes in owning property, earnings of 83 cents per share beat analysts' expectations of 76 cents, according to Thomson Reuters I/B/E/S.Revenue rose 8 percent to $4.52 billion, but missed analysts' expectations of $4.59 billion.Shares of Fort Lauderdale, Florida-based AutoNation were up 5 percent at $49.38 on Thursday morning after rising as high as $50.02. Morgan Stanley analyst Ravi Shanker said a higher-than-expected margin of 4.5 percent was a key reason that the stock rose.WARNING AUTOMAKERS AGAIN AutoNation Chief Executive Officer Mike Jackson, who used to run the Mercedes-Benz brand for Daimler in the United States, has been warning for several months that high inventories could bite into profits for automakers and dealer groups. He did so again in a telephone interview on Thursday. ""I'm overall very optimistic, very positive,"" said Jackson. ""I'm just observing that taking inventories to these levels is an inefficiency that we should really focus on this year and bring it back in line.""Some vehicle dealers and auto company executives as well as most industry analysts are worried that inventories will rise beyond demand this year. That is because auto plants have returned to full production and have been churning out cars and trucks at a greater clip than just after the 2008-2010 downturn in U.S. sales.Jackson said he feared that automakers, particularly those targeting the mass market, would produce too many vehicles, which could cause them to offer heavy consumer incentives to move product on dealer lots.Jeff Schuster, senior vice president of forecasting at LMC Automotive, said that while there should be concern, he was confident that automakers will be disciplined on incentives, which they generally have been since the 2008-2010 downturn in the U.S. new-vehicle business.""Even if we have a weather-induced slowdown from January, which I think we will have, I don't think over-inventory is going to plague the auto industry this year,"" Schuster said.But Buckingham Research analyst Joseph Amaturo said slow January sales would put pressure on corporate auto dealer groups, of which AutoNation is the largest by a wide margin.Automakers will report their U.S. sales for January on Monday.",2014-01-30,AN,"Thu Jan 30, 2014 | 11:26am EST",UPDATE 2-AutoNation profit rises as Mercedes sales jump,http://www.reuters.com//article/autonation-results-idUSL2N0L41AO20140130?type=companyNews
1,"  (Corrects paragraph 3 to show premium-luxury segment accounted for 46 percent of total new-vehicle income, not revenue)By Bernie WoodallJan 30 AutoNation Inc, the largest U.S. automobile dealer group, sped by Wall Street earnings expectations on Thursday on robust sales of luxury cars like Mercedes-Benz and BMW.""The shining star really's got to be Mercedes-Benz for introducing two new products simultaneously at different ends of the spectrum with the CLA and the S-Class,"" said AutoNation Chief Operating Officer Mike Maroone in a telephone interview. ""Demand for those products was extraordinary.""AutoNation said its fourth-quarter income from what it calls premium-luxury new vehicles increased 28 percent to $102.7 million. The segment accounted for 46 percent of total new-vehicle income.The CLA is an ""entry-level"" vehicle costing about $30,000 and the S-Class sedan is the flagship of Daimler AG's  Mercedes-Benz brand. The average purchase price for an S-Class sedan is $94,000, according to TrueCar.com. Mercedes-Benz vehicles accounted for 10 percent of AutoNation's new-vehicle sales in the quarter, and BMW accounted for 5.6 percent. Toyota Motor Corp's namesake brand were 18.6 percent of the company's quarterly new-vehicle sales, followed by Ford Motor Co products at 16.5 percent, Honda Motor Co's namesake brand at 11 percent, Nissan Motor Co's  Nissan brand at 10 percent.AutoNation showed net income of $109.4 million, or 89 cents per share, in the fourth quarter, versus $83.2 million, or 67 cents per share a year ago.Adjusted income excluding a tax benefit of 3 cents per share and gains linked to changes in owning property of 4 cents per share was 83 cents per share and beat analysts' expectations of 76 cents per share, according to a survey by Thomson Reuters I/B/E/S. Revenue was $4.52 billion, which missed analysts' expectations of $4.59 billion, but beat year-ago results of $4.17 billion. AutoNation is based in Fort Lauderdale, Florida.CEO WARNS AUTOMAKERS AGAIN  AutoNation Chief Executive Mike Jackson, who used to run the Mercedes-Benz brand for Daimler in the United States, has been warning for several months that high inventories can bite into profits for automakers and dealer groups. He did so again in a telephone interview on Thursday.""I'm overall very optimistic, very positive,"" said Jackson. ""I'm just observing that taking inventories to these levels is an inefficiency that we should really focus on this year and bring it back in line. One of the reasons to speak up is to make sure that we don't end up with even higher inventories.""Jackson fears that automakers, particularly the mass-market brands, will exceed demand with production, which could cause them to layer on heavy consumer incentives to move product on dealer lots.Jeff Schuster, senior vice president of forecasting at LMC Automotive, said while there should be concern, he is confident that automakers will be disciplined on incentives, which they generally have been since the 2008-2010 downturn in the U.S. new-vehicle business.""Even if we have a weather-induced slowdown from January, which I think we will have, I don't think over-inventory is going to plague the auto industry this year,"" Schuster said in a telephone interview on Thursday.       (Reporting by Bernie Woodall; Editing by Jeffrey Benkoe and Chizu Nomiyama)",2014-01-30,AN,"Thu Jan 30, 2014 | 11:22am EST",CORRECTED-UPDATE 1-AutoNation handily beats Street Q4 earnings expectations,http://www.reuters.com//article/autonation-results-idUSL2N0L40ML20140130?type=companyNews
2,"  Jan 30 AutoNation Inc, the largest U.S. automobile dealer group, sped by Wall Street earnings expectations on Thursday on robust sales of luxury cars like Mercedes-Benz and BMW.AutoNation showed net income of $109.4 million, or 89 cents per share, in the fourth quarter, versus $83.2 million, or 67 cents per share a year ago. Analysts expected 76 cents per share, according to a survey by Thomson Reuters I/B/E/S.  Revenue was $4.52 billion, which missed analysts' expectations of $4.59 billion, but beat year-ago results of $4.17 billion. AutoNation is based in Fort Lauderdale, Florida. ",2014-01-30,AN,"Thu Jan 30, 2014 | 7:19am EST",AutoNation handily beats Street Q4 earnings expectations,http://www.reuters.com//article/autonation-results-idUSL2N0L40JQ20140130?type=companyNews
3,"  DETROIT Mike Jackson, chief executive officer of AutoNation, the largest U.S. auto dealer group, said on Wednesday he was bullish on auto sales and the economy in general now that what he called an ""epic winter"" is over.""I'm happy to declare the epic winter of 2014 officially over,"" said Jackson on CNBC. ""Business in the last 10 days of March was simply phenomenal, and that follows 10 weeks of very quiet showroom traffic and very quiet sales.""I think this is final proof that this epic winter of 2014 really did disrupt the entire economy.""On Tuesday, automakers said March sales rose 5.7 percent from a year earlier, well above expectations of a 2 percent increase. This translates into an annualized selling rate of 16.4 million vehicles.""This is confirmation that the consumer is coming out of hibernation,"" Jackson said.Monthly auto sales are seen as an early indicator of consumer spending, particularly for big-ticket items. Sales of those products are often tied to the confidence consumers have in the economy and of being able to hold onto their jobs. Jackson said all aspects of Fort Lauderdale, Florida-based AutoNation's customer business, including new cars, used cars and automotive service, were down before the last third of March.He also said he expected U.S. auto sales this year to top 16 million for the first time since pre-recession 2007, when they were 16.1 million.For the 10 years that ended in 2007, auto sales averaged 16.7 million vehicles, then bottomed out at 10.4 million in 2009 and have been steadily gaining since. LMC Automotive analyst Jeff Schuster said on Wednesday that the industry research firm was keeping its forecast for the year at 16.1 million new vehicles.""If we get a couple more months like March, then that may change things,"" Schuster said in a telephone interview. Jackson said pent-up demand from consumers who have been delaying new-vehicle purchases during economic uncertainty and a cold winter played into the strength expected for auto sales in the coming months.Americans are driving older cars and trucks, on average 11 years old, than ever before.AutoNation said it had sidelined all of the cars in the General Motors Co (GM.N) recall several weeks ago. The automaker has recalled 2.6 million vehicles that potentially have faulty ignition switches.An AutoNation spokesman said on Wednesday that those cars were a small part of the company's business, at less than 100 vehicles. AutoNation sold about 205,000 used and 293,000 new vehicles in 2013.(Reporting by Bernie Woodall; Editing by Lisa Von Ahn)",2014-04-02,AN,"Wed Apr 2, 2014 | 11:51am EDT","AutoNation CEO declares 'epic winter' over, economy thawing",http://www.reuters.com//article/us-autos-consumers-autonation-idUSBREA311FJ20140402?type=companyNews
4,"  DETROIT, April 2 Mike Jackson, chief executive officer of AutoNation, the largest U.S. auto dealer group, said on Wednesday he was bullish on auto sales and the economy in general now that what he called an ""epic winter"" is over.""I'm happy to declare the epic winter of 2014 officially over,"" said Jackson on CNBC. ""Business in the last 10 days of March was simply phenomenal, and that follows 10 weeks of very quiet showroom traffic and very quiet sales.""I think this is final proof that this epic winter of 2014 really did disrupt the entire economy.""On Tuesday, automakers said March sales rose 5.7 percent from a year earlier, well above expectations of a 2 percent increase. This translates into an annualized selling rate of 16.4 million vehicles.""This is confirmation that the consumer is coming out of hibernation,"" Jackson said.Monthly auto sales are seen as an early indicator of consumer spending, particularly for big-ticket items. Sales of those products are often tied to the confidence consumers have in the economy and of being able to hold onto their jobs. Jackson said all aspects of Fort Lauderdale, Florida-based AutoNation's customer business, including new cars, used cars and automotive service, were down before the last third of March.He also said he expected U.S. auto sales this year to top 16 million for the first time since pre-recession 2007, when they were 16.1 million. For the 10 years that ended in 2007, auto sales averaged 16.7 million vehicles, then bottomed out at 10.4 million in 2009 and have been steadily gaining since.LMC Automotive analyst Jeff Schuster said on Wednesday that the industry research firm was keeping its forecast for the year at 16.1 million new vehicles.""If we get a couple more months like March, then that may change things,"" Schuster said in a telephone interview. Jackson said pent-up demand from consumers who have been delaying new-vehicle purchases during economic uncertainty and a cold winter played into the strength expected for auto sales in the coming months.Americans are driving older cars and trucks, on average 11 years old, than ever before.AutoNation said it had sidelined all of the cars in the General Motors Co recall several weeks ago. The automaker has recalled 2.6 million vehicles that potentially have faulty ignition switches.An AutoNation spokesman said on Wednesday that those cars were a small part of the company's business, at less than 100 vehicles. AutoNation sold about 205,000 used and 293,000 new vehicles in 2013.   (Reporting by Bernie Woodall; Editing by Lisa Von Ahn)",2014-04-02,AN,"Wed Apr 2, 2014 | 11:46am EDT","AutoNation CEO declares 'epic winter' over, economy thawing",http://www.reuters.com//article/autos-consumers-autonation-idUSL1N0MU16K20140402?type=companyNews
5,"   By Ben Klayman | DETROIT  DETROIT AutoNation Inc (AN.N), the largest U.S. automobile dealer group, on Thursday posted a stronger-than-expected first-quarter profit despite the severe winter weather that slowed sales.The company still expects the U.S. auto industry's new-vehicle sales this year to rise 3 to 5 percent, ending above 16 million, Chief Executive Mike Jackson said. Last year, the industry sold 15.6 million new cars and light trucks.""It was one of the most unusual quarters I've ever seen where the first 10 weeks of the year we're struggling with this epic winter and the consumer went into hibernation, and you wondered when and if they would ever come out,"" he said in a telephone interview.""Then at the end of March, they emerged in a phenomenal pace and business just boomed the last two weeks in March and we've seen that same level of intensity continuing into the beginning of the spring market with April,"" he added. ""A lot of the business that was lost in the first quarter will be recaptured in the spring.""U.S. industry auto sales in March rose a stronger-than-expected 5.7 percent, raising expectations that April could be even stronger. Auto sales are an early indicator of U.S. consumer demand for big-ticket items. The economy sagged in the first two months of the year, as did auto sales, amid massive snowstorms over much of the United States, but there have been signs of a pickup since then.AutoNation's net income in the first quarter rose more than 14 percent to $95.1 million, or 78 cents a share, compared with $83 million, or 67 a share, in the year earlier period.Excluding one-time items, it earned 75 cents a share, two cents above what analysts polled by Thomson Reuters I/B/E/S had expected. Income increased in the company's domestic and premium luxury segments in the quarter by 9 percent and 21 percent, respectively, and fell 8 percent for imports.Sales in the quarter rose 7 percent from last year to $4.36 billion, slightly above the $4.32 billion analysts had expected. retail new-vehicle sales rose 4 percent on a same-store basis and 6 percent overall. AutoNation has seen ""little impact"" on sales from the fallout surrounding General Motors Co's (GM.N) defective ignition switches linked to at least 13 deaths and the recall of 2.6 million vehicles, Chief Operating Officer Mike Maroone said. AutoNation has begun to receive ""a pretty good cadence"" of the replacement parts to repair the cars, he added.Jackson also said AutoNation also will move away from paying third-party lead providers such as Cars.com and TrueCar.com as the company looks to build its own digital business one year into rebranding all its stores under the AutoNation name.The company's web sites are generating more than the business from the third-party providers combined, and AutoNation will invest $100 million over the next several years to boost its digital offerings further, he said. AutoNation will continue to use third-party lead providers, but will migrate away from them over time depending on their pricing.While he believes Tesla Motors Inc (TSLA.O) will ultimately sell through dealers, Jackson said the electric carmaker should be allowed to sell directly to consumers. Tesla has been fighting legislation in several states that require car sales take place through a dealer network.(Reporting by Ben Klayman in Detroit; Editing by Sofina Mirza-Reid)",2014-04-17,AN,"Thu Apr 17, 2014 | 8:51am EDT",AutoNation posts higher profit despite severe winter weather,http://www.reuters.com//article/us-autos-autonation-results-idUSBREA3G12E20140417?type=companyNews
6,"  (Adds executives' comments, details of results, background on auto sector, byline)By Ben KlaymanDETROIT, April 17 AutoNation Inc, the largest U.S. automobile dealer group, on Thursday posted a stronger-than-expected first-quarter profit despite the severe winter weather that slowed sales.The company still expects the U.S. auto industry's new-vehicle sales this year to rise 3 to 5 percent, ending above 16 million, Chief Executive Mike Jackson said. Last year, the industry sold 15.6 million new cars and light trucks.""It was one of the most unusual quarters I've ever seen where the first 10 weeks of the year we're struggling with this epic winter and the consumer went into hibernation, and you wondered when and if they would ever come out,"" he said in a telephone interview.""Then at the end of March, they emerged in a phenomenal pace and business just boomed the last two weeks in March and we've seen that same level of intensity continuing into the beginning of the spring market with April,"" he added. ""A lot of the business that was lost in the first quarter will be recaptured in the spring."" U.S. industry auto sales in March rose a stronger-than-expected 5.7 percent, raising expectations that April could be even stronger.Auto sales are an early indicator of U.S. consumer demand for big-ticket items. The economy sagged in the first two months of the year, as did auto sales, amid massive snowstorms over much of the United States, but there have been signs of a pickup since then.AutoNation's net income in the first quarter rose more than 14 percent to $95.1 million, or 78 cents a share, compared with $83 million, or 67 a share, in the year earlier period. Excluding one-time items, it earned 75 cents a share, two cents above what analysts polled by Thomson Reuters I/B/E/S had expected.Income increased in the company's domestic and premium luxury segments in the quarter by 9 percent and 21 percent, respectively, and fell 8 percent for imports. Sales in the quarter rose 7 percent from last year to $4.36 billion, slightly above the $4.32 billion analysts had expected. retail new-vehicle sales rose 4 percent on a same-store basis and 6 percent overall.AutoNation has seen ""little impact"" on sales from the fallout surrounding General Motors Co's defective ignition switches linked to at least 13 deaths and the recall of 2.6 million vehicles, Chief Operating Officer Mike Maroone said. AutoNation has begun to receive ""a pretty good cadence"" of the replacement parts to repair the cars, he added.Jackson also said AutoNation also will move away from paying third-party lead providers such as Cars.com and TrueCar.com as the company looks to build its own digital business one year into rebranding all its stores under the AutoNation name.The company's web sites are generating more than the business from the third-party providers combined, and AutoNation will invest $100 million over the next several years to boost its digital offerings further, he said. AutoNation will continue to use third-party lead providers, but will migrate away from them over time depending on their pricing.While he believes Tesla Motors Inc will ultimately sell through dealers, Jackson said the electric carmaker should be allowed to sell directly to consumers. Tesla has been fighting legislation in several states that require car sales take place through a dealer network.   (Reporting by Ben Klayman in Detroit; Editing by Sofina Mirza-Reid)",2014-04-17,AN,"Thu Apr 17, 2014 | 8:48am EDT",UPDATE 1-AutoNation posts higher profit despite severe winter weather,http://www.reuters.com//article/autos-autonation-results-idUSL2N0N90G820140417?type=companyNews
7,"  DETROIT AutoNation Inc (AN.N), the largest U.S. automobile dealer group, on Thursday posted a higher first-quarter profit despite the severe winter weather that slowed sales.The company still expects the U.S. auto industry's new-vehicle sales this year to rise 3 to 5 percent, ending above 16 million, Chief Executive Mike Jackson said in a statement. Last year, the industry sold 15.6 million new cars and light trucks.Jackson previously said business in the last 10 days of March was ""simply phenomenal. AutoNation's net income in the first quarter rose to $95.1 million, or 78 cents a share, compared with $83 million, or 67 a share, in the year earlier period. Excluding one-time items, it earned 75 cents a share, two cents above what analysts polled by Thomson Reuters I/B/E/S had expected. Sales in the quarter rose 7 percent from last year to $4.36 billion, slightly above the $4.32 billion analysts had expected.(Reporting by Ben Klayman in Detroit; Editing by Sofina Mirza-Reid)",2014-04-17,AN,"Thu Apr 17, 2014 | 7:19am EDT",AutoNation posts higher profit despite severe winter weather,http://www.reuters.com//article/us-autos-autonation-results-idUSBREA3G0R020140417?type=companyNews
8,"  DETROIT, April 17 AutoNation Inc, the largest U.S. automobile dealer group, on Thursday posted a higher first-quarter profit despite the severe winter weather that slowed sales.The company still expects the U.S. auto industry's new-vehicle sales this year to rise 3 to 5 percent, ending above 16 million, Chief Executive Mike Jackson said in a statement. Last year, the industry sold 15.6 million new cars and light trucks.Jackson previously said business in the last 10 days of March was ""simply phenomenal."" AutoNation's net income in the first quarter rose to $95.1 million, or 78 cents a share, compared with $83 million, or 67 a share, in the year earlier period. Excluding one-time items, it earned 75 cents a share, two cents above what analysts polled by Thomson Reuters I/B/E/S had expected. Sales in the quarter rose 7 percent from last year to $4.36 billion, slightly above the $4.32 billion analysts had expected.   (Reporting by Ben Klayman in Detroit; Editing by Sofina Mirza-Reid)",2014-04-17,AN,"Thu Apr 17, 2014 | 7:17am EDT",AutoNation posts higher profit despite severe winter weather,http://www.reuters.com//article/autos-autonation-results-idUSL2N0N81CT20140417?type=companyNews
9,"   By Bernie Woodall | DETROIT  DETROIT Shares of AutoNation Inc (AN.N), the largest U.S. auto dealer group, fell as much as 8 percent on Thursday after its earnings missed analysts' expectations.Analyst Joseph Amaturo of the Buckingham Research Group said he was ""unimpressed"" with AutoNation's results and that the company was not expanding its share of the U.S. new-vehicle market.Amaturo said some investors had expected the additional recalls by most automakers this year, led by General Motors Co (GM.N), to boost AutoNation's sales and margins, but this didn't transpire. Indeed, this factor could be a negative for other U.S. auto dealer groups that are due to report earnings later in the month.Mike Jackson, the company's chief executive, told Reuters that Wall Street analysts had underestimated the pace at which AutoNation would spend $100 million to upgrade its online presence over the next few years.Jackson, who had announced the digital investment in April, declined Thursday to say how much of that amount was spent on its online operations in the second quarter.In an interview with Reuters, Jackson said that the massive recall of General Motors vehicles will be ""a wash"" for AutoNation and unlikely to impact its earnings. On an conference call with analysts, AutoNation Chief Operating Officer Mike Maroone said the company ""missed some opportunities"" in selling used cars in the quarter because of lighter inventory than desired. In the quarter, the proportion of revenue linked to used vehicle sales fell to 22.6 percent from 23.9 percent a year earlier.  Indeed, dealers such as AutoNation may face further expenses linked to recalls. While automakers such as GM pay dealers for recall expenses, Maroone told Reuters the company needed to hire more technicians to handle the recalls. Maroone said that while AutoNation had already planned to hire 400 additional auto technicians for their 273 franchises in 15 U.S. states, the GM recall necessitated the hiring of ""hundreds"" more than that this year.Jackson said AutoNation and its dealers ""have a long way to go"" in fixing all of the GM cars recalled. So far, he said, about 500,000 of them have been fixed.Of nearly 29 million GM recalls worldwide this year, 25.7 million of them are registered in the United States. The company reported second-quarter net income from continuing operations of 83 cents per share, missing analysts' expectations of 87 cents.Net income per share was also 83 cents a share, up 14 percent from a year ago on stronger new vehicle sales. Net income was $100.4 million, up 12 percent from a year ago.Second-quarter revenue was $4.79 billion, as expected, and up 8 percent from $4.43 billion a year ago.Shares had regained a bit of strength after falling as much as 8.4 percent earlier on Thursday. By late morning, AutoNation shares were trading at $56.42, down 7.2 percent. (Editing by Bernadette Baum)",2014-07-17,AN,"Thu Jul 17, 2014 | 11:42am EDT","AutoNation profit misses expectations, shares drop",http://www.reuters.com//article/us-autonation-results-idUSKBN0FM1WN20140717?type=companyNews
