,Article,Date,Symbol,Time,Title,Url
0,"  (Adds details, background, share price)By Deena BeasleyJan 8 Health insurer Anthem Inc on Thursday said it reached a deal under which Gilead Sciences Inc's hepatitis C drug Harvoni will be the primary treatment for patients infected with the most common strain of the liver-destroying virus.Anthem said the deal effectively lowers its hepatitis C treatment costs. ""We were able to achieve a very competitive rate and a freeze on retail pricing for 2015,"" the insurer said in an emailed statement. ""That does favorably impact plan costs for 2015.""Gilead has come under fire for the high cost of Harvoni, as well as predecessor drug Sovaldi, which was launched in late 2013 at a price of $1,000 per pill. Harvoni has a list price of $94,500 for 12 weeks of treatment, or $1,125 per daily pill. Last month, AbbVie Inc began sales of a competing drug, Viekira Pak, at a similar list price. Express Scripts Holding Co, the largest manager of prescription drug plans for U.S. employers, subsequently chose AbbVie's drug as the exclusive option for patients in its largest commercial plan, covering 25 million people.Anthem said Harvoni is covered for members of its affiliated health plans who are infected with genotype 1 hepatitis C, the strain that accounts for around 75 percent of all chronic hepatitis C infections in the United States.The insurer attributed its decision to favorable pricing and clinical differences, including the fact that Harvoni does not require additional medication, and offers a less complex treatment regimen than the AbbVie drug. CVS Health Corp, the nation's second-largest pharmacy benefit manager, said this week it had selected Gilead's drugs as its exclusive option for patients on commercial plans as well as those covered under its healthcare exchange plans, Medicare and Medicaid.Anthem declined to comment on the number of customers affected by its deal with Gilead but said it affects patients covered under its commercial/employer-based plan. Anthem said hepatitis C drugs sit on the highest coverage tiers, which means patients are required to pay for a certain percentage of the drug cost. Deutsche Bank analyst Robyn Karnauskas said Anthem is a client of Express Scripts, covering between 8.5 million and 13.5 million patients.""We see the Anthem deal as positive, however note that discounts are now key to play in the HCV space,"" Karnauskas said in a research note. She models hepatitis C sales for Gilead using a 30 percent discount to list prices.Shares of Gilead, which rose nearly 3 percent in regular trading, were up another 2.1 percent at $104.49 after hours.More than three million people in the United States are believed to be infected with hepatitis C.   (Reporting by Deena Beasley; Editing by James Dalgleish)",2015-01-08,ANTM,"Thu Jan 8, 2015 | 5:45pm EST",UPDATE 1-Anthem selects Gilead as primary supplier of hepatitis C drugs,http://www.reuters.com//article/anthem-gilead-hepatitis-idUSL1N0UN2LD20150108?type=companyNews
1,"  Jan 8 Health insurer Anthem Inc on Thursday said it reached a deal under which Gilead Sciences Inc's hepatitis C drug Harvoni will be the primary treatment for patients infected with the most common strain of the liver-destroying virus.Anthem said the deal effectively lowers its hepatitis C treatment costs. ""We were able to achieve a very competitive rate and a freeze on retail pricing for 2015,"" the insurer said in an emailed statement. ""That does favorably impact plan costs for 2015.""Gilead has come under fire for the high cost of Harvoni, as well as predecessor drug Sovaldi, which was launched in late 2013 at a price of $1,000 per pill. Harvoni has a list price of $94,500 for 12 weeks of treatment, or $1,125 per daily pill. Last month, AbbVie Inc began sales of a competing drug, Viekira Pak, at a similar list price. Express Scripts Holding Co, the largest U.S. pharmacy benefit manager, subsequently chose AbbVie's drug as the exclusive option for patients in its largest commercial plan, covering 25 million people. CVS Health Corp, the nation's second-largest pharmacy benefit manager announced earlier this week it had selected Gilead's drugs as its exclusive option for patients on commercial plans as well as those covered under its healthcare exchange plans, Medicare and Medicaid. More than three million people in the United States are believed to be infected with hepatitis C.   (Reporting by Deena Beasley; Editing by James Dalgleish)",2015-01-08,ANTM,"Thu Jan 8, 2015 | 5:03pm EST",Anthem selects Gilead as primary supplier of hepatitis C drugs,http://www.reuters.com//article/anthem-gilead-hepatitis-idUSL1N0UN2IV20150108?type=companyNews
2,"  (Corrects Anthem ticker symbol in text)By Deena BeasleyJan 8 Health insurer Anthem Inc on Thursday said it reached a deal under which Gilead Sciences Inc's hepatitis C drug Harvoni will be the primary treatment for patients infected with the most common strain of the liver-destroying virus.Anthem said the deal effectively lowers its hepatitis C treatment costs. ""We were able to achieve a very competitive rate and a freeze on retail pricing for 2015,"" the insurer said in an emailed statement. ""That does favorably impact plan costs for 2015.""Gilead has come under fire for the high cost of Harvoni, as well as predecessor drug Sovaldi, which was launched in late 2013 at a price of $1,000 per pill. Harvoni has a list price of $94,500 for 12 weeks of treatment, or $1,125 per daily pill. Last month, AbbVie Inc began sales of a competing drug, Viekira Pak, at a similar list price. Express Scripts Holding Co, the largest manager of prescription drug plans for U.S. employers, subsequently chose AbbVie's drug as the exclusive option for patients in its largest commercial plan, covering 25 million people.Anthem said Harvoni is covered for members of its affiliated health plans who are infected with genotype 1 hepatitis C, the strain that accounts for around 75 percent of all chronic hepatitis C infections in the United States.The insurer attributed its decision to favorable pricing and clinical differences, including the fact that Harvoni does not require additional medication, and offers a less complex treatment regimen than the AbbVie drug. CVS Health Corp, the nation's second-largest pharmacy benefit manager, said this week it had selected Gilead's drugs as its exclusive option for patients on commercial plans as well as those covered under its healthcare exchange plans, Medicare and Medicaid.Anthem declined to comment on the number of customers affected by its deal with Gilead but said it affects patients covered under its commercial/employer-based plan. Anthem said hepatitis C drugs sit on the highest coverage tiers, which means patients are required to pay for a certain percentage of the drug cost. Deutsche Bank analyst Robyn Karnauskas said Anthem is a client of Express Scripts, covering between 8.5 million and 13.5 million patients.""We see the Anthem deal as positive, however note that discounts are now key to play in the HCV space,"" Karnauskas said in a research note. She models hepatitis C sales for Gilead using a 30 percent discount to list prices.Shares of Gilead, which rose nearly 3 percent in regular trading, were up another 2.1 percent at $104.49 after hours.More than three million people in the United States are believed to be infected with hepatitis C.   (Reporting by Deena Beasley; Editing by James Dalgleish)",2015-01-09,ANTM,"Fri Jan 9, 2015 | 11:33am EST",CORRECTED-UPDATE 1-Anthem selects Gilead as primary supplier of hepatitis C drugs,http://www.reuters.com//article/anthem-gilead-hepatitis-idUSL1N0UN2LD20150109?type=companyNews
3,"  Health insurer Anthem Inc (ANTM.N) reported a better-than-expected quarterly profit, helped by an increase in premium revenue and memberships for its government plans, particularly in the Medicaid program.The second-largest U.S. health insurer also forecast 2015 earnings above analysts' average estimate, but said that medical costs will rise in the year.Anthem, which operates Blue Cross Blue Shield health plans in 14 states, said its fourth quarter medical benefit ratio of 84.5 percent represented a decline of 330 basis points from a year ago. The measure represents the percentage of premiums paid out in medical claims and is closely watched by investors. Anthem also increased its quarterly dividend by 43 percent to 62.5 cents per share. ""Overall, Anthem produced a solid quarter as expected, but we expect the market to be pleased with the guidance and dividend raise,"" Oppenheimer analyst Michael Wiederhorn said in a research note.The company forecast 2015 adjusted earnings to be more than $9.70 per share and operating revenue of between $78 billion-$78.5 billion. The adjusted earnings per share figure does not include more than 40 cents of amortization of assets. Analysts on average were expecting earnings of $9.45 per share and revenue of $79.5 billion, according to Thomson Reuters I/B/E/S.The vast majority of Anthem's business is in employer-based insurance, but the company is also one of the biggest players on the individual exchanges created under the national healthcare reform law, or Obamacare. It also operates Medicare and Medicaid plans.It had 37.5 million medical members at the end of December and medical membership is expected to be in the range of 38 million to 38.2 million in 2015, the company said.  The company's net profit rose to $506.7 million, or $1.80 per share, in the fourth quarter ended Dec. 31 from $148.2 million, or 49 cents per share, a year earlier.  The year-earlier quarter included loss from discontinued operations of $160.7 million.Excluding items, the company earned $1.73 per share.   Total revenue rose 6 percent to about $19 billion. Analysts on average had expected a profit of $1.72 per share and revenue of $19 billion, according to Thomson Reuters I/B/E/S.  (Reporting by Amrutha Penumudi in Bengaluru and Caroline Humer in New York; Editing by Kirti Pandey, Sriraj Kalluvila and Chizu Nomiyama)",2015-01-28,ANTM,"Wed Jan 28, 2015 | 8:29am EST",Health insurer Anthem's profit beats as enrollments rise,http://www.reuters.com//article/us-anthem-results-idUSKBN0L117620150128?type=companyNews
4,"  (Adds medical cost benefit ratio, analyst comment)Jan 28 Health insurer Anthem Inc  reported a better-than-expected quarterly profit, helped by an increase in premium revenue and memberships for its government plans, particularly in the Medicaid program.The second-largest U.S. health insurer also forecast 2015 earnings above analysts' average estimate, but said that medical costs will rise in the year.Anthem, which operates Blue Cross Blue Shield health plans in 14 states, said its fourth quarter medical benefit ratio of 84.5 percent represented a decline of 330 basis points from a year ago. The measure represents the percentage of premiums paid out in medical claims and is closely watched by investors.Anthem also increased its quarterly dividend by 43 percent to 62.5 cents per share.""Overall, Anthem produced a solid quarter as expected, but we expect the market to be pleased with the guidance and dividend raise,"" Oppenheimer analyst Michael Wiederhorn said in a research note. The company forecast 2015 adjusted earnings to be more than $9.70 per share and operating revenue of between $78 billion-$78.5 billion. The adjusted earnings per share figure does not include more than 40 cents of amortization of assets.Analysts on average were expecting earnings of $9.45 per share and revenue of $79.5 billion, according to Thomson Reuters I/B/E/S.The vast majority of Anthem's business is in employer-based insurance, but the company is also one of the biggest players on the individual exchanges created under the national healthcare reform law, or Obamacare. It also operates Medicare and Medicaid plans. It had 37.5 million medical members at the end of December and medical membership is expected to be in the range of 38 million to 38.2 million in 2015, the company said.The company's net profit rose to $506.7 million, or $1.80 per share, in the fourth quarter ended Dec. 31 from $148.2 million, or 49 cents per share, a year earlier. The year-earlier quarter included loss from discontinued operations of $160.7 million.Excluding items, the company earned $1.73 per share.Total revenue rose 6 percent to about $19 billion.Analysts on average had expected a profit of $1.72 per share and revenue of $19 billion, according to Thomson Reuters I/B/E/S.(Reporting by Amrutha Penumudi in Bengaluru and Caroline Humer in New York; Editing by Kirti Pandey, Sriraj Kalluvila and Chizu Nomiyama)",2015-01-28,ANTM,"Wed Jan 28, 2015 | 8:27am EST",UPDATE 2-Health insurer Anthem's profit beats as enrollments rise,http://www.reuters.com//article/anthem-results-idUSL1N0V70X920150128?type=companyNews
5,"  (Corrects  fourth-quarter analysts' profit estimate in next-to-last paragraph to $1.72 per share)Jan 28 Health insurer Anthem Inc  reported a better-than-expected quarterly profit, helped by an increase in premiums and memberships for its plans.The second-largest U.S. health insurer also forecast 2015 earnings above analysts' average estimate, but said medical costs will rise in the year.Anthem, which operates Blue Cross Blue Shield health plans in 14 states, forecast 2015 adjusted earnings to be more than $9.70 per share and operating revenue of between $78 billion-$78.5 billion.Analysts on average were expecting earnings of $9.45 per share and revenue of $79.5 billion, according to Thomson Reuters I/B/E/S. Anthem is one of the biggest players on the individual exchanges created under the national healthcare reform law, or Obamacare. It also operates Medicare and Medicaid plans.Medical membership is expected to be in the range of 38 million to 38.2 million in 2015, the company said.Total enrollments rose by about 1.8 million to 37.5 million members in 2014, with the most growth in Medicaid. The company's net profit rose to $506.7 million, or $1.80 per share, in the fourth quarter ended Dec. 31 from $148.2 million, or 49 cents per share, a year earlier.The year-earlier quarter included loss from discontinued operations of $160.7 million. Excluding items, the company earned $1.73 per share.Total revenue rose 6 percent to about $19 billion.Analysts on average had expected a profit of $1.72 per share and revenue of $19 billion, according to Thomson Reuters I/B/E/S.Anthem also increased its quarterly dividend by 43 percent to 62.5 cents per share.   (Reporting by Amrutha Penumudi in Bengaluru and Caroline Humer in New York; Editing by Kirti Pandey and Sriraj Kalluvila)",2015-01-28,ANTM,"Wed Jan 28, 2015 | 7:49am EST",CORRECTED-UPDATE 1-Health insurer Anthem's profit beats as enrollments rise,http://www.reuters.com//article/anthem-results-idUSL4N0V74KG20150128?type=companyNews
6,"  Jan 28 Health insurer Anthem Inc's  quarterly profit more than tripled due to a rise in enrollments.The company's net profit rose to $506.7 million, or $1.80 per share, in the fourth quarter ended Dec. 31 from $148.2 million, or 49 cents per share, a year earlier. Excluding items, the company earned $1.73 per share.  Total revenue rose 6 percent to about $19 billion.    (Reporting by Amrutha Penumudi in Bengaluru and Caroline Humer in New York; Editing by Kirti Pandey)",2015-01-28,ANTM,"Wed Jan 28, 2015 | 6:23am EST",Health insurer Anthem's profit rises on higher enrollments,http://www.reuters.com//article/anthem-results-idUSL4N0V64XV20150128?type=companyNews
7,"   By Karen Freifeld | NEW YORK  NEW YORK Several U.S. states are investigating a massive cyberattack on No. 2 U.S. health insurer Anthem Inc  that a person familiar with the matter said is being examined for possible ties to China.Anthem disclosed the attack late Wednesday, saying unknown hackers had penetrated a database with some 80 million records. The insurer said it suspected they had stolen information belonging to tens of millions of current and former customers as well as employees.Attorneys general of Connecticut, Illinois, Massachusetts, Arkansas and North Carolina are looking into the breach, according to representatives of their offices and internal documents. California's Department of Insurance said it will review Anthem's response to the data attack.Connecticut Attorney General George Jepsen asked Anthem Chief Executive Joseph Swedish to provide by March 4 detailed information about the cyberattack, the company's security practices and privacy policies, according to a letter obtained by Reuters on Thursday.""We hope and expect to work in close coordination with other attorneys general,"" said Jaclyn Falkowski, a spokeswoman for Jepsen. A source familiar with the probe told Reuters that a possible connection to China was being investigated, and the Wall Street Journal reported that people close to the investigation say some tools and techniques used against Anthem were similar to ones used in previous attacks linked to China.Late on Wednesday, the FBI said it was looking into the matter but did not discuss suspects. ""As far as China being involved, I don't know,"" said FBI spokesman Paul Bresson. ""I don't think we know yet. Our investigation is ongoing.""On Friday, Anthem officials are scheduled to brief the House Energy and Commerce Committee on the breach.""This latest intrusion into patients' personal information underscores the increasing magnitude and evolving nature of cyber crimes,"" Fred Upton, the committee's chairman, said in a statement. ""Every business is at risk and American consumers are anxious."" President Barack Obama's cybersecurity adviser, Michael Daniel, speaking at a seminar in Washington, called the data breach ""quite concerning"" and warned consumers to change their passwords and monitor their credit scores.Connecticut has worked with other states to investigate some of the biggest U.S. data breaches reported to date, including ones at retailers Target Corp and Home Depot Inc. The office of Connecticut's attorney general said Anthem has agreed to two years of credit monitoring for customers there.A representative for New York Attorney General Eric Schneiderman declined to say whether he planned to work with Connecticut but noted his office had contacted Anthem to discuss protecting its customers in the wake of the data breach.A representative with FireEye Inc, which was investigating the attack on behalf of Anthem, declined comment.        (Additional reporting by Caroline Humer, Jim Finkle, Joseph Menn and Deena Beasley)",2015-02-05,ANTM,"Thu Feb 5, 2015 | 6:51pm EST",UPDATE 3-U.S. states probe massive data breach at health insurer Anthem,http://www.reuters.com//article/anthem-cybersecurity-idUSL1N0VF36K20150205?type=companyNews
8,"  (Adds Arkansas to list of investigating states, California insurance commissioner is reviewing Anthem's response, FBI response on possible China link)By Karen FreifeldNEW YORK Feb 5 Several U.S. states are investigating a massive cyberattack on No. 2 U.S. health insurer Anthem Inc that a person familiar with the matter said is being examined for possible ties to China.Anthem disclosed the attack late Wednesday, saying unknown hackers had penetrated a database with some 80 million records. The insurer said it suspected they had stolen information belonging to tens of millions of current and former customers as well as employees.Attorneys general of Connecticut, Illinois, Massachusetts, Arkansas and North Carolina are looking into the breach, according to representatives of their offices and internal documents. California's Department of Insurance said it will review Anthem's response to the data attack.Connecticut Attorney General George Jepsen asked Anthem Chief Executive Joseph Swedish to provide by March 4 detailed information about the cyberattack, the company's security practices and privacy policies, according to a letter obtained by Reuters on Thursday. ""We hope and expect to work in close coordination with other attorneys general,"" said Jaclyn Falkowski, a spokeswoman for Jepsen.A source familiar with the probe told Reuters that a possible connection to China was being investigated, and the Wall Street Journal reported that people close to the investigation say some tools and techniques used against Anthem were similar to ones used in previous attacks linked to China.Late on Wednesday, the FBI said it was looking into the matter but did not discuss suspects. ""As far as China being involved, I don't know,"" said FBI spokesman Paul Bresson. ""I don't think we know yet. Our investigation is ongoing.""On Friday, Anthem officials are scheduled to brief the House Energy and Commerce Committee on the breach. ""This latest intrusion into patients' personal information underscores the increasing magnitude and evolving nature of cyber crimes,"" Fred Upton, the committee's chairman, said in a statement. ""Every business is at risk and American consumers are anxious.""President Barack Obama's cybersecurity adviser, Michael Daniel, speaking at a seminar in Washington, called the data breach ""quite concerning"" and warned consumers to change their passwords and monitor their credit scores.Connecticut has worked with other states to investigate some of the biggest U.S. data breaches reported to date, including ones at retailers Target Corp and Home Depot Inc. The office of Connecticut's attorney general said Anthem has agreed to two years of credit monitoring for customers there.A representative for New York Attorney General Eric Schneiderman declined to say whether he planned to work with Connecticut but noted his office had contacted Anthem to discuss protecting its customers in the wake of the data breach.A representative with FireEye Inc, which was investigating the attack on behalf of Anthem, declined comment.        (Reporting by Karen Freifeld. Additional reporting by Caroline Humer, Jim Finkle, Joseph Menn and Deena Beasley; Editing by Lisa Von Ahn, Steve Orlofsky and Ken Wills)",2015-02-05,ANTM,"Thu Feb 5, 2015 | 6:48pm EST",UPDATE 3-U.S. states probe massive data breach at health insurer Anthem,http://www.reuters.com//article/anthem-cybersecurity-idUSL1N0VF2LP20150205?type=companyNews
9,"   By Supriya Kurane and Jim Finkle  Health insurer Anthem Inc (ANTM.N), which has nearly 40 million U.S. customers, said late on Wednesday that hackers had breached one of its IT systems and stolen personal information relating to current and former consumers and employees.The No. 2 health insurer in the United States said the breach did not appear to involve medical information or financial details such as credit card or bank account numbers.The information accessed during the ""very sophisticated attack"" did include names, birthdays, social security numbers, street addresses, email addresses and employment information, including income data, the company said.Anthem said that it immediately made every effort to close the security vulnerability and reported the attack to the FBI. Cybersecurity firm FireEye Inc FEYE. said it had been hired to help Anthem investigate the attack. The company did not say how many customers and staff were affected, but the Wall Street Journal earlier reported it was suspected that records of tens of millions of people had been taken, which would likely make it the largest data breach involving a U.S. health insurer.Anthem had 37.5 million medical members as of the end of December.""This attack is another reminder of the persistent threats we face, and the need for Congress to take aggressive action to remove legal barriers for sharing cyber threat information,"" U.S. Rep. Michael McCaul, a Republican from Texas and chairman of the Committee on Homeland Security, said in a statement late Wednesday. The FBI had warned last August that healthcare industry companies were being targeted by hackers, publicizing the issue following an attack on U.S. hospital group Community Health Systems Inc (CYH.N) that resulted in the theft of millions of patient records.Medical identity theft is often not immediately identified by patients or their provider, giving criminals years to milk such credentials. That makes medical data more valuable than credit cards, which tend to be quickly canceled by banks once fraud is detected. Security experts say cyber criminals are increasingly targeting the $3 trillion U.S. healthcare industry, which has many companies still reliant on aging computer systems that do not use the latest security features.Anthem said it would send a letter and email to everyone whose information was stored in the hacked database. It also set up an informational website, www.anthemfacts.com, and will offer to provide a credit-monitoring service. (Reporting by Supriya Kurane in Bengaluru, Jim Finkle in Boston and Deena Beasley in Los Angeles; Editing by Ken Wills and Alex Richardson)",2015-02-05,ANTM,"Thu Feb 5, 2015 | 4:43pm EST",Health insurer Anthem hit by massive cybersecurity breach,http://www.reuters.com//article/us-anthem-cybersecurity-idUSKBN0L907J20150205?type=companyNews
