,Article,Date,Symbol,Time,Title,Url
0,"   By Svea Herbst-Bayliss and Ernest Scheyder | NEW YORK  NEW YORK Billionaire investor William Ackman said there is room for Air Products and Chemicals Inc's (APD.N) stock price to double in the next few years if the industrial gas producer hires the right chief executive.""This is a $200 plus stock over the next three years with new management,"" Ackman said at an investment conference. Ackman's Pershing Square Capital Management is Air Products' biggest shareholder with a 9.71 percent stake.The company has been looking for a new leader since Chief Executive Officer John McGlade said in September that he would retire this year. McGlade plans to stay on as chairman of the board for a limited time as the new CEO settles in.Air Products is one of the world's largest industrial gas companies, breaking down air to form oxygen, nitrogen and other components used in construction, healthcare, oil refining and scores of other industries.McGlade's replacement will have to turn around a corporate culture that has long had a reputation as top-down and bureaucratic. That inefficiency has cost the company market share and dented margins, which badly trail Praxair Inc (PX.N) and other rivals. Air Products also has invested capital in unrelated businesses, including specialty chemicals for electronics makers and liquefied natural gas heat exchangers, that Ackman and others have said diverts the company from its core mission.Since McGlade's announcement, the company's stock price has moved up and down and is now trading only about 2 percent higher at $112.04 then where it was in late September. As an activist investor, Ackman knows firsthand how selecting the right person for the top job can make or break investments.Watching Ron Johnson's vision for remaking J.C.Penney (JCP.N) fall apart cost his hedge fund $500 million, but installing Hunter Harrison at Canadian Pacific (CP.TO) helped him earn more than $2 billion in less than two years.""The risk at Air Products is whether or not they are going to choose the right CEO,"" Ackman said at the 2014 Harbor Investment Conference, which he runs with Mark Axelowitz. Pershing Square does not sit on the Air Products board and will have no official say in who ends up getting the job, Ackman said.But as the biggest shareholder, the hedge fund does have significant influence over the decision.""No one would be willing to take the job without having the biggest shareholder on their side,"" Ackman said.(Editing by Jonathan Oatis)",2014-02-13,APD,"Thu Feb 13, 2014 | 1:14pm EST",Ackman: Air Products shares could double with right CEO,http://www.reuters.com//article/us-hedgefunds-ackman-idUSBREA1B1CQ20140213?type=companyNews
1,"   By Svea Herbst-Bayliss and Ernest Scheyder | NEW YORK  NEW YORK Feb 13 Billionaire investor William Ackman said there is room for Air Products and Chemicals Inc's  stock price to double in the next few years if the industrial gas producer hires the right chief executive.""This is a $200 plus stock over the next three years with new management,"" Ackman said at an investment conference. Ackman's Pershing Square Capital Management is Air Products' biggest shareholder with a 9.71 percent stake.The company has been looking for a new leader since Chief Executive Officer John McGlade said in September that he would retire this year. McGlade plans to stay on as chairman of the board for a limited time as the new CEO settles in.Air Products is one of the world's largest industrial gas companies, breaking down air to form oxygen, nitrogen and other components used in construction, healthcare, oil refining and scores of other industries. McGlade's replacement will have to turn around a corporate culture that has long had a reputation as top-down and bureaucratic. That inefficiency has cost the company market share and dented margins, which badly trail Praxair Inc  and other rivals.Air Products also has invested capital in unrelated businesses, including specialty chemicals for electronics makers and liquefied natural gas heat exchangers, that Ackman and others have said diverts the company from its core mission.Since McGlade's announcement, the company's stock price has moved up and down and is now trading only about 2 percent higher at $112.04 then where it was in late September. As an activist investor, Ackman knows firsthand how selecting the right person for the top job can make or break investments.Watching Ron Johnson's vision for remaking J.C.Penney  fall apart cost his hedge fund $500 million, but installing Hunter Harrison at Canadian Pacific helped him earn more than $2 billion in less than two years. ""The risk at Air Products is whether or not they are going to choose the right CEO,"" Ackman said at the 2014 Harbor Investment Conference, which he runs with Mark Axelowitz.Pershing Square does not sit on the Air Products board and will have no official say in who ends up getting the job, Ackman said.But as the biggest shareholder, the hedge fund does have significant influence over the decision.""No one would be willing to take the job without having the biggest shareholder on their side,"" Ackman said.",2014-02-13,APD,"Thu Feb 13, 2014 | 12:59pm EST",Ackman: Air Products shares could double with right CEO,http://www.reuters.com//article/hedgefunds-ackman-idUSL2N0LI1DH20140213?type=companyNews
2,"   By Kanika Sikka  Industrial gas producer Air Products & Chemicals Inc named Seifi Ghasemi as chief executive, amid pressure from Bill Ackman to overhaul its management, sending its shares up 8 percent to a record high.Ghasemi, who resigned as CEO of Rockwood Holdings Inc to accept his role in Air Products, is known for successfully executing deals.""His hiring could signal that APD may be open to divestitures,"" Oppenheimer & Co analyst Edward Yang said in a note to investors.Under Ghasemi, Rockwood recently sold its ceramics business and is in the process of selling its paint pigment unit to Huntsman Corp. The company also recently bought a 49 percent stake in Talison Lithium Pty Ltd for $475 million.Activist investors have called Air Products, one of the largest industrial gas companies, to divest volatile units.Suntrust Robinson Humphrey analyst James Sheehan, however, said divesture may not be as large a part of Ghasemi's strategy as it was at Rockwood. ""I think it will be more about operational execution and discipline on capital spending."" Activist investor Ackman has been saying Air Products was undervalued and was underperforming its peers. His Pershing Square Capital Management is the largest shareholder of the company with a 6.7 percent stake.Ackman has pushed for a new management at Air Products, saying hiring the right CEO can double the stock's price in the next few years. Air Products announced the resignation of CEO John McGlade last September and appointed three independent directors, including Ghasemi.""I think it was incorrectly presumed (in September)... that he (Ghasemi) wasn't going to become the CEO, even though he was the best candidate,"" UBS Analyst John Roberts said. It is safe to assume he is relatively well familiar with Air Products' business, Roberts said.Pershing Square's spokesman declined to comment on Wednesday's announcement.Ghasemi was a senior executive at industrial gas company BOC Group, a company that Air Products unsuccessfully attempted to take over in 2000. BOC was later acquired by Linde AG. The mechanical engineer from Stanford University, known for his industry knowledge, has also worked with British industrial company GKN Plc.Ghasemi, currently on the boards of battery maker EnerSys and specialty chemicals company Chemetall GmbH, will receive an annual base salary of $1.2 million, Air Products said in a regulatory filing on Wednesday.Air Product's shares rose 7.5 percent to close at $130.72, after touching a high of $131.48, on the New York Stock Exchange on Wednesday.Shares of Rockwood, which appointed Chief Financial Officer Robert Zatta acting CEO, were down 3.5 percent at $73.31. (Editing by Joyjeet Das)",2014-06-18,APD,"Wed Jun 18, 2014 | 5:26pm EDT",Air Products appoints new CEO; shares at life-high,http://www.reuters.com//article/us-air-prdcts-chem-ceo-idUSKBN0ET2D120140618?type=companyNews
3,"  * Seifi Ghasemi to replace John McGlade* Shares rise as much as 8 percent   (Adds closing stock price, Breakingviews link)By Kanika SikkaJune 18 Industrial gas producer Air Products & Chemicals Inc named Seifi Ghasemi as chief executive, amid pressure from Bill Ackman to overhaul its management, sending its shares up 8 percent to a record high.Ghasemi, who resigned as CEO of Rockwood Holdings Inc  to accept his role in Air Products, is known for successfully executing deals.""His hiring could signal that APD may be open to divestitures,"" Oppenheimer & Co analyst Edward Yang said in a note to investors.Under Ghasemi, Rockwood recently sold its ceramics business and is in the process of selling its paint pigment unit to Huntsman Corp. The company also recently bought a 49 percent stake in Talison Lithium Pty Ltd for $475 million.Activist investors have called Air Products, one of the largest industrial gas companies, to divest volatile units. Suntrust Robinson Humphrey analyst James Sheehan, however, said divesture may not be as large a part of Ghasemi's strategy as it was at Rockwood. ""I think it will be more about operational execution and discipline on capital spending.""Activist investor Ackman has been saying Air Products was undervalued and was underperforming its peers. His Pershing Square Capital Management is the largest shareholder of the company with a 6.7 percent stake.Ackman has pushed for a new management at Air Products, saying hiring the right CEO can double the stock's price in the next few years. Air Products announced the resignation of CEO John McGlade last September and appointed three independent directors, including Ghasemi.""I think it was incorrectly presumed (in September)... that he (Ghasemi) wasn't going to become the CEO, even though he was the best candidate,"" UBS Analyst John Roberts said.It is safe to assume he is relatively well familiar with Air Products' business, Roberts said.Pershing Square's spokesman declined to comment on Wednesday's announcement. Ghasemi was a senior executive at industrial gas company BOC Group, a company that Air Products unsuccessfully attempted to take over in 2000. BOC was later acquired by Linde AG.The mechanical engineer from Stanford University, known for his industry knowledge, has also worked with British industrial company GKN Plc.Ghasemi, currently on the boards of battery maker EnerSys  and specialty chemicals company Chemetall GmbH, will receive an annual base salary of $1.2 million, Air Products said in a regulatory filing on Wednesday.Air Product's shares rose 7.5 percent to close at $130.72, after touching a high of $131.48, on the New York Stock Exchange on Wednesday.Shares of Rockwood, which appointed Chief Financial Officer Robert Zatta acting CEO, were down 3.5 percent at $73.31.(Editing by Joyjeet Das)",2014-06-18,APD,"Wed Jun 18, 2014 | 5:24pm EDT",UPDATE 3-Air Products appoints new CEO; shares at life-high,http://www.reuters.com//article/air-prdcts-chem-ceo-idUSL4N0OZ2ZI20140618?type=companyNews
4,"  June 18 Industrial gas producer Air Products & Chemicals, under pressure from Bill Ackman to overhaul its management, said it has appointed Seifi Ghasemi chief executive.Ghasemi, who is currently CEO of specialty chemicals maker Rockwood Holdings Inc, will replace John McGlade.Air Products & Chemicals announced McGlade's retirement last September and appointed three independent directors, including Ghasemi, to avoid a fight over board membership with Ackman's Pershing Square Capital Management. The activist investor has said Air Products is undervalued and is underperforming its peers. Pershing Square is Air Products' largest shareholder, with a 9.7 percent stake. Ghasemi will take on his new role on July 1, a day after he leaves Rockwood, the companies said on Wednesday. Rockwood appointed Chief Financial Officer Robert Zatta acting CEO.   (Reporting By Kanika Sikka in Bangalore; Editing by Joyjeet Das)",2014-06-18,APD,"Wed Jun 18, 2014 | 7:27am EDT",Air Products appoints Rockwood's Seifi Ghasemi CEO,http://www.reuters.com//article/air-prdcts-chem-ceo-idUSL4N0OZ2X920140618?type=companyNews
5,"   By Kanika Sikka and Anannya Pramanick  Air Products and Chemicals' new chief executive said he would aim to improve the operational performance of the company's businesses and generate cash before deciding on the sale of any unit.The industrial gas supplier's shares rose 4 percent to a life-high of $135.97.Seifi Ghasemi, who successfully executed a number of deals as CEO of Rockwood Holdings Inc, was appointed to the top position at Air Products last month and analysts expect him to divest some of the company's businesses.""Nothing is on sale right now. We are focused on improving performance of all of our businesses"", Ghasemi said on a conference call on Wednesday. The CEO's messages were ""well-received by investors who were looking for changes in the company and ways to improve margins,"" SunTrust Robinson analyst James Sheehan said. Air Products reported a 9 percent rise in third-quarter profit to $314 million, or $1.46 per share.The company, however, tightened its continuing operations profit forecast range for 2014. Air Products expects profit of $5.72 to $5.77 per share, compared with $5.70 to $5.85 it forecast earlier.Lower industrial activity in Latin America and moderating growth in emerging markets is expected to weigh on the company's profit this year, Sheehan said. Bigger rival Praxair Inc, also cut the upper end of its full-year profit forecast. The company's second-quarter growth was hurt by weak sales volume in South America, mainly due to negative industrial production in Brazil.Industrial output in Brazil, once one of the most dynamic of emerging economies, has slumped over the last three months and is on track to shrink more than 1 percent this year. Praxair earned 16 percent of its total quarterly revenue from Latin American countries.Air Products, which has a relatively lower exposure to the region, is depending on improvement of economic activity in the United States.Air Products shares were trading up 3 percent at $134.56 on Wednesday on the New York Stock Exchange, while that of Praxair were down less than a percent. (Additional reporting by Sneha Banerjee, Writing by Sayantani Ghosh in Bangalore; Editing by Savio D'Souza and Sriraj Kalluvila)",2014-07-23,APD,"Wed Jul 23, 2014 | 3:25pm EDT","Air Products CEO to focus on performance for now, not sale",http://www.reuters.com//article/us-praxair-results-idUSKBN0FS23N20140723?type=companyNews
6,"  (Adds details from conference call, analyst comment, background, share movement)By Kanika Sikka and Anannya PramanickJuly 23 Air Products and Chemicals' new chief executive said he would aim to improve the operational performance of the company's businesses and generate cash before deciding on the sale of any unit.The industrial gas supplier's shares rose 4 percent to a life-high of $135.97.Seifi Ghasemi, who successfully executed a number of deals as CEO of Rockwood Holdings Inc, was appointed to the top position at Air Products last month and analysts expect him to divest some of the company's businesses.""Nothing is on sale right now. We are focused on improving performance of all of our businesses"", Ghasemi said on a conference call on Wednesday. The CEO's messages were ""well-received by investors who were looking for changes in the company and ways to improve margins,"" SunTrust Robinson analyst James Sheehan said.Air Products reported a 9 percent rise in third-quarter profit to $314 million, or $1.46 per share. The company, however, tightened its continuing operations profit forecast range for 2014. Air Products expects profit of $5.72 to $5.77 per share, compared with $5.70 to $5.85 it forecast earlier.Lower industrial activity in Latin America and moderating growth in emerging markets is expected to weigh on the company's profit this year, Sheehan said.Bigger rival Praxair Inc, also cut the upper end of its full-year profit forecast. The company's second-quarter growth was hurt by weak sales volume in South America, mainly due to negative industrial production in Brazil. Industrial output in Brazil, once one of the most dynamic of emerging economies, has slumped over the last three months and is on track to shrink more than 1 percent this year.Praxair earned 16 percent of its total quarterly revenue from Latin American countries.Air Products, which has a relatively lower exposure to the region, is depending on improvement of economic activity in the United States.Air Products shares were trading up 3 percent at $134.56 on Wednesday on the New York Stock Exchange, while that of Praxair were down less than a percent.   (Additional reporting by Sneha Banerjee, Writing by Sayantani Ghosh in Bangalore; Editing by Savio D'Souza and Sriraj Kalluvila)",2014-07-23,APD,"Wed Jul 23, 2014 | 3:14pm EDT","UPDATE 1-Air Products CEO to focus on performance for now, not sale",http://www.reuters.com//article/praxair-results-idUSL4N0PY2YN20140723?type=companyNews
7,"  July 23 Industrial gas producer Air Products and Chemicals Inc reported a 9 percent rise in quarterly profit, driven by higher sales by its merchant gases, and electronics and performance materials divisions.The company's net profit rose to $314 million, or $1.46 per share, in the third quarter ended June 30 from $288.4 million, or $1.36 per share, a year earlier.  Sales rose just over 3 percent to $2.64 billion.   (Reporting by Kanika Sikka in Bangalore; Editing by Kirti Pandey) ",2014-07-23,APD,"Wed Jul 23, 2014 | 6:14am EDT",Industrial gas producer Air Products' profit rises 9 pct,http://www.reuters.com//article/air-prdcts-chem-results-idUSL4N0PY2X120140723?type=companyNews
8,"  KHOBAR, Saudi Arabia A joint venture between Saudi Arabia's Acwa Holding and U.S.-based Air Products has been awarded a contract to build, own and operate the world's largest industrial gas complex by Saudi Aramco, a statement said on Thursday.The $2 billion project will supply 55,000 metric tonnes per day of nitrogen and 20,000 metric tonnes per day of oxygen to Aramco's refinery and integrated gasification power plant at Jizan in the southwest of the kingdom.The air separation complex is expected be completed in June 2018, the statement said. Under the deal, Saudi Aramco will buy the nitrogen and oxygen for 20 years, with Acwa owning 75 percent of the joint venture and Air Products the remaining 25 percent stake. Saudi Aramco expects to start the first units of its 400,000 barrels per day Jizan oil refinery in 2017, with an aim to be fully operational in 2018.  (Reporting by Reem Shamseddine; Editing by David French)",2015-04-23,APD,"Thu Apr 23, 2015 | 8:14am EDT",Air Products JV gets $2 billion contract for world's biggest industrial gas plant,http://www.reuters.com//article/us-air-prdcts-chem-acwa-idUSKBN0NE1C320150423?type=companyNews
9,"  KHOBAR, Saudi Arabia, April 23 A joint venture between Saudi Arabia's Acwa Holding and U.S.-based Air Products  has been awarded a contract to build, own and operate the world's largest industrial gas complex by Saudi Aramco, a statement said on Thursday.The $2 billion project will supply 55,000 metric tonnes per day of nitrogen and 20,000 metric tonnes per day of oxygen to Aramco's refinery and integrated gasification power plant at Jizan in the southwest of the kingdom. The air separation complex is expected be completed in June 2018, the statement said. Under the deal, Saudi Aramco will buy the nitrogen and oxygen for 20 years, with Acwa owning 75 percent of the joint venture and Air Products the remaining 25 percent stake. Saudi Aramco expects to start the first units of its 400,000 barrels per day Jizan oil refinery in 2017, with an aim to be fully operational in 2018.    (Reporting by Reem Shamseddine; Editing by David French)",2015-04-23,APD,"Thu Apr 23, 2015 | 8:11am EDT",Air Products JV gets $2 bln contract for world's biggest industrial gas plant,http://www.reuters.com//article/air-prdcts-chem-acwa-idUSL5N0XK2WV20150423?type=companyNews
