,Article,Date,Symbol,Time,Title,Url
0,"   By Sruthi Ramakrishnan  Chipmaker Avago Technologies Limited (AVGO.O) said it expects current-quarter sales to decline 3-6 percent from the first quarter as it lost revenue from a smartphone maker, which analysts said could be Apple Inc (AAPL.O).The company, which designs and develops analog semiconductors, said in a statement on Tuesday the revenue decline was due to annual product transition at a ""major smartphone OEM customer.""Avago did not name the manufacturer in the statement. Its customers also include Samsung Electronics Co Ltd (005930.KS) and LG Electronics Inc (066570.KS).""I believe they are referring to Apple and the seasonal nature of the Apple's handset and iPad production schedules,"" RBC Capital Markets analyst Doug Freedman told Reuters.D. A. Davidson & Co analyst Thomas Diffely said it was a combination of weak sales at Apple in the fourth quarter and slowing sales of Samsung's phones ahead of the launch of the company's new Galaxy phone. Apple, which accounted for more than 10 percent of Avago's revenue for the year ended November 3, reported lower-than-expected iPhone sales in the holiday quarter.While Apple is widely expected to launch a new iPhone as early as next year, Samsung will roll out its Galaxy S5 smartphone globally on April 11. Avago gets nearly half its revenue from its wireless business, which makes radio frequency, power amplifier and other chips used in smartphones.The company's net income rose to $134 million, or 53 cents per share, in the quarter ended February 2, from $125 million, or 50 cents per share, a year earlier.Excluding items, the company earned 84 cents per share. Revenue rose 23 percent to $709 million.Analysts on average had expected earnings of 78 cents per share on revenue of $705.3 million, according to Thomson Reuters I/B/E/S.Shares of the company were little changed in extended trading after closing at $59 on the Nasdaq on Tuesday.(Reporting by Sruthi Ramakrishnan in Bangalore; Editing by Saumyadeb Chakrabarty)",2014-02-25,AVGO,"Tue Feb 25, 2014 | 5:58pm EST",Chipmaker Avago says it lost revenue from smartphone maker,http://www.reuters.com//article/us-avago-results-idUSBREA1O1V420140225?type=companyNews
1,"  By Sruthi RamakrishnanFeb 25 Chipmaker Avago Technologies Limited  said it expects current-quarter sales to decline 3-6 percent from the first quarter as it lost revenue from a smartphone maker, which analysts said could be Apple Inc .The company, which designs and develops analog semiconductors, said in a statement on Tuesday the revenue decline was due to annual product transition at a ""major smartphone OEM customer.""Avago did not name the manufacturer in the statement. Its customers also include Samsung Electronics Co Ltd  and LG Electronics Inc.""I believe they are referring to Apple and the seasonal nature of the Apple's handset and iPad production schedules,"" RBC Capital Markets analyst Doug Freedman told Reuters. D. A. Davidson & Co analyst Thomas Diffely said it was a combination of weak sales at Apple in the fourth quarter and slowing sales of Samsung's phones ahead of the launch of the company's new Galaxy phone.Apple, which accounted for more than 10 percent of Avago's revenue for the year ended Nov. 3, reported lower-than-expected iPhone sales in the holiday quarter. While Apple is widely expected to launch a new iPhone as early as next year, Samsung will roll out its Galaxy S5 smartphone globally on April 11.Avago gets nearly half its revenue from its wireless business, which makes radio frequency, power amplifier and other chips used in smartphones.The company's net income rose to $134 million, or 53 cents per share, in the quarter ended Feb. 2, from $125 million, or 50 cents per share, a year earlier. Excluding items, the company earned 84 cents per share.Revenue rose 23 percent to $709 million.Analysts on average had expected earnings of 78 cents per share on revenue of $705.3 million, according to Thomson Reuters I/B/E/S.Shares of the company were little changed in extended trading after closing at $59 on the Nasdaq on Tuesday.",2014-02-25,AVGO,"Tue Feb 25, 2014 | 5:39pm EST",UPDATE 1-Chipmaker Avago says it lost revenue from smartphone maker,http://www.reuters.com//article/avago-results-idUSL3N0LU51Y20140225?type=companyNews
2,"  Feb 25 Chipmaker Avago Technologies Limited  said it expects second-quarter sales to decline 3-6 percent from the first quarter as it lost revenue from a smartphone manufacturer.The company, which designs and develops analog semiconductors, said in a statement the revenue decline was due to annual product transition at a ""major smartphone OEM customer.""Avago's customers include Apple Inc, Samsung Electronics Co Ltd, LG Electronics Inc  and Huawei Technologies Co Ltd. The company's net income rose to $134 million, or 53 cents per share, in the quarter ended Feb. 2, from $125 million, or 50 cents per share, a year earlier.Excluding items, the company earned 84 cents per share. Revenue rose 23 percent to $709 million. Analysts on average had expected earnings of 78 cents per share on revenue of $705.3 million, according to Thomson Reuters I/B/E/S.Shares of the company were little changed in extended trading after closing at $59 on the Nasdaq on Tuesday.",2014-02-25,AVGO,"Tue Feb 25, 2014 | 4:35pm EST",Chipmaker Avago forecasts sequential revenue decline,http://www.reuters.com//article/avago-results-idUSL3N0LU4UE20140225?type=companyNews
3,  May 5   * S&P Dow jones indices says Avago Technologies Ltd to replace LSICorp in S&P 500 after close of trading on may 7  * S&P Dow jones indices says Avago is buying LSI in deal expected to be  completed on may 6 ,2014-05-05,AVGO,"Mon May 5, 2014 | 5:18pm EDT",BRIEF-Avago to join S&P 500 after buying LSI,http://www.reuters.com//article/sp500-brief-idUSWEN00D7J20140505?type=companyNews
4,"  Analog chipmaker Avago Technologies Ltd (AVGO.O) reported a 25 percent rise in quarterly revenue, helped by higher demand for its radio frequency chips used in smartphones.The company's net income increased to $158 million, or 61 cents per share, in the second quarter from $113 million, or 45 cents per share, a year earlier.Revenue rose to $701 million from $562 million.    (Reporting By Lehar Maan in Bangalore; Editing by Sriraj Kalluvila)",2014-05-29,AVGO,"Thu May 29, 2014 | 4:23pm EDT",Chipmaker Avago's revenue jumps 25 percent,http://www.reuters.com//article/us-avago-results-idUSKBN0E927820140529?type=companyNews
5,"  May 29 Analog chipmaker Avago Technologies Ltd  reported a 25 percent rise in quarterly revenue, helped by higher demand for its radio frequency chips used in smartphones.The company's net income increased to $158 million, or 61 cents per share, in the second quarter from $113 million, or 45 cents per share, a year earlier. Revenue rose to $701 million from $562 million.  (Reporting By Lehar Maan in Bangalore; Editing by Sriraj Kalluvila)",2014-05-29,AVGO,"Thu May 29, 2014 | 4:21pm EDT",Chipmaker Avago's revenue jumps 25 pct,http://www.reuters.com//article/avago-results-idUSL3N0OF43920140529?type=companyNews
6,"   By Diane Bartz | WASHINGTON  WASHINGTON Avago Technologies Ltd's LSI and Seagate Technology do not violate patented technology owned by Realtek Semiconductor Corp, the U.S. International Trade Commission said on Monday. Taiwan-based Realtek accused the companies of violating a patent to make an integrated circuit with high frequency and low noise.The commission found that Seagate and LSI, which was purchased by Avago this year, used the same technology as in the patent. But it also found that Realtek does not have a U.S. business and thus could not enforce the patent using the ITC.    The ITC can rule that a patent has been violated if the accused company infringes the patent and if the patent owner uses the patent in the United States.     Realtek filed a complaint with the ITC in September 2012 accusing the two companies of infringing on two of its patents for making integrated circuits used in a wide array of electronics. One of the patents was dropped during the course of litigation. None of the three companies could immediately be reached for comment.     Realtek and Avago's LSI make semiconductors while Seagate,  based in California, specializes in disk drives and storage.    The ITC is a popular venue for patent lawsuits because it will ban products from the United States if they infringe on a patent. The case at the International Trade Commission is No. 337-859. (Reporting by Diane Bartz; Editing by Ros Krasny, Chris Reese and Cynthia Osterman)",2014-07-21,AVGO,"Mon Jul 21, 2014 | 5:49pm EDT","U.S. panel rules Seagate, Avago's LSI do not violate Realtek patent",http://www.reuters.com//article/us-avago-seagate-technolo-realtek-semico-idUSKBN0FQ24D20140721?type=companyNews
7,"  (Adds background on the case)By Diane BartzWASHINGTON, July 21 Avago Technologies Ltd's LSI  and Seagate Technology do not violate patented technology owned by Realtek Semiconductor Corp, the U.S. International Trade Commission said on Monday.Taiwan-based Realtek accused the companies of violating a patent to make an integrated circuit with high frequency and low noise. The commission found that Seagate and LSI, which was purchased by Avago this year, used the same technology as in the patent. But it also found that Realtek does not have a U.S. business and thus could not enforce the patent using the ITC.The ITC can rule that a patent has been violated if the accused company infringes the patent and if the patent owner uses the patent in the United States. Realtek filed a complaint with the ITC in September 2012 accusing the two companies of infringing on two of its patents for making integrated circuits used in a wide array of electronics. One of the patents was dropped during the course of litigation.None of the three companies could immediately be reached for comment. Realtek and Avago's LSI make semiconductors while Seagate,  based in California, specializes in disk drives and storage.The ITC is a popular venue for patent lawsuits because it will ban products from the United States if they infringe on a patent.The case at the International Trade Commission is No. 337-859.   (Reporting by Diane Bartz; Editing by Ros Krasny, Chris Reese and Cynthia Osterman)",2014-07-21,AVGO,"Mon Jul 21, 2014 | 5:46pm EDT","UPDATE 1-U.S. panel rules Seagate, Avago's LSI do not violate Realtek patent",http://www.reuters.com//article/avago-seagate-technolo-realtek-semicon-idUSL2N0PW1Z520140721?type=companyNews
8,"  WASHINGTON, July 21 Avago Technologies Ltd's LSI  and Seagate Technology do not violate patented technology owned by Realtek Semiconductor, the U.S. International Trade Commission said on Monday.Realtek accused the companies of violating a patent to make an integrated circuit with high frequency and low noise.  The case at the International Trade Commission is No. 337-859.   (Reporting by Diane Bartz; Editing by Chris Reese) ",2014-07-21,AVGO,"Mon Jul 21, 2014 | 5:11pm EDT","Seagate, Avago subsidiary LSI do not violate Realtek patent-US ITC",http://www.reuters.com//article/avago-seagate-technolo-realtek-semicon-idUSL2N0PW1X620140721?type=companyNews
9,"  Avago Technologies Ltd (AVGO.O) said it agreed to sell LSI's Axxia Networking Business to chipmaker Intel Corp (INTC.O) for $650 million in cash.The Axxia business mainly includes networking and infrastructure products for wireless networks and enterprise gateways.Avago bought LSI in December last year for $6.6 billion, and has been divesting units as it seeks to counter volatility in its main wireless business and focus on the fast-growing storage chip market.  The company, which designs and develops analog semiconductors and was once part of Hewlett-Packard Co (HPQ.N), said in May it would sell LSI's flash storage business to hard drive maker Seagate Technology Plc (STX.O) for $450 million in cash. The companies said the deal is expected to close in the fourth calendar quarter of 2014.   (Reporting by Ramkumar Iyer in Bangalore; Editing by Lisa Shumaker)",2014-08-13,AVGO,"Wed Aug 13, 2014 | 7:51pm EDT",Avago to sell LSI's Axxia Networking Business to Intel for $650 million,http://www.reuters.com//article/us-intel-avago-idUSKBN0GD2AF20140813?type=companyNews
