,Article,Date,Symbol,Time,Title,Url
0,"  WASHINGTON Bank of America Merrill Lynch remained the top underwriter in a shrinking U.S. municipal bond market in 2013, while California sold the most debt in the year, Thomson Reuters data released on Thursday showed.Altogether debt sales fell 15.1 percent to $311.8 billion from the prior year, as rising interest rates brought the refunding trend to a grinding halt. Preliminary Thomson Reuters data released last week had estimated total issuance for the year at $311.7 billion.BofA underwrote $45 billion of bonds sold by states, cities and authorities, representing 14 percent of the market. It was also top underwriter in 2012. J.P. Morgan Securities followed at $38.5 billion, or 12.4 percent of the market. California issued the most municipal debt in 2013, $8.45 billion, followed by New York City at $5.4 billion. New York State Dormitory Authority had been the top issuer in 2012, but fell to eighth place last year. Negotiated sales continued to dominate the market, totaling $242.41 billion last year. But they shrank 17.3 percent from 2012. Competitive sales also fell, by 6.4 percent, to $69.36 billion. (Reporting by Lisa Lambert; Additional reporting by Jim Christie in San Francisco; Editing by Chizu Nomiyama and James Dalgleish)",2014-01-02,BAC,"Thu Jan 2, 2014 | 3:42pm EST",BofA Merrill Lynch still top U.S. municipal underwriter,http://www.reuters.com//article/us-municipals-volume-idUSBREA010UJ20140102?type=companyNews
1,"  WASHINGTON Jan 2 Bank of America Merrill Lynch  remained the top underwriter in a shrinking U.S. municipal bond market in 2013, while California sold the most debt in the year, Thomson Reuters data released on Thursday showed.Altogether debt sales fell 15.1 percent to $311.8 billion from the prior year, as rising interest rates brought the refunding trend to a grinding halt. Preliminary Thomson Reuters data released last week had estimated total issuance for the year at $311.7 billion. BofA underwrote $45 billion of bonds sold by states, cities and authorities, representing 14 percent of the market. It was also top underwriter in 2012. J.P. Morgan Securities  followed at $38.5 billion, or 12.4 percent of the market. California issued the most municipal debt in 2013, $8.45 billion, followed by New York City at $5.4 billion. New York State Dormitory Authority had been the top issuer in 2012, but fell to eighth place last year. Negotiated sales continued to dominate the market, totaling $242.41 billion last year. But they shrank 17.3 percent from 2012. Competitive sales also fell, by 6.4 percent, to $69.36 billion.",2014-01-02,BAC,"Thu Jan 2, 2014 | 3:10pm EST",UPDATE 1-BofA Merrill Lynch still top U.S. municipal underwriter,http://www.reuters.com//article/municipals-volume-idUSL2N0KC10H20140102?type=companyNews
2,"  WASHINGTON Jan 2 Bank of America Merrill Lynch remained the top underwriter for U.S. municipal bond deals in 2013, even as debt sales fell 15.1 percent to $311.8 billion from the prior year, according to Thomson Reuters final data released on Thursday.BofA underwrote $45 billion of bonds sold by states, cities and authorities, representing 14 percent of the market. It was also top underwriter in 2012. J.P. Morgan Securities followed at $38.5 billion, or 12.4 percent of the market. California issued the most municipal debt in 2013, $8.45 billion, followed by New York City at $5.4 billion.  Preliminary Thomson Reuters data released last week had estimated total issuance for the year at $311.7 billion.",2014-01-02,BAC,"Thu Jan 2, 2014 | 2:38pm EST",Bank of America Merrill Lynch remains top US municipal underwriter,http://www.reuters.com//article/municipals-volume-idUSL2N0KC0Y420140102?type=companyNews
3,"  * Closure due to low demand for power, gas hedging* Carbon desk to be reduced but not closed* Long-term energy management contracts to be soldBy Karolin Schaps and David SheppardLONDON, Jan 7 Bank of America-Merrill Lynch shut its European power and gas sales and trading operation on Tuesday, the fourth major player to close parts of its commodities business as tighter regulation and fewer arbitrage opportunities erode profits.Last month Morgan Stanley sold its main physical oil trading unit to Russian state-run oil major Rosneft, and Deutsche Bank said it was largely exiting commodities trading. In July, JPMorgan put its physical trading operations up for sale.The sector is now dominated by commodities trading houses and utilities, with Barclays, Citi and Goldman Sachs among the only remaining large banks with a significant presence.Difficulties around speculative trading in the growing renewables market has also dented profitability, traders say. BofA-ML had been scaling back its trading presence in the European power and gas market over the past few months, said a trading source, who has done business with the firm.The group had not been a big player in the markets since Bank of America took over Merrill Lynch in 2008, the source said.""The decision follows a recent review of its broader commodities activities and reflects the combined impact of lower client demand for European power and gas hedging and recent regulatory changes,"" a BoA-ML spokesperson said in a statement. The bank's European carbon trading desk will also be reduced but will not be shut entirely, a source familiar with the matter said.Employees affected by the power and gas desk closure were told of the news on Tuesday, with a low double-digit number of staff affected, the source said.BofA-ML will continue trading power and gas in the United States as well as coal, commodity indexes, oil and metals trading, the spokesperson said, and the bank will dispose of its power and gas inventory through a formal sales process.The bank has also let go three natural gas traders on its Houston desk, SparkSpread.com reported later in the day. A bank spokesman declined to comment on the departures or say whether they were related to winding down the European desks. Long-term sales and trading arrangements with power clients will be wound down, according to a person familiar the matter.The bank has supply and sales arrangements with both the coal-fired 1,960-megawatt (MW) Eggborough plant in Yorkshire and a 1,000-MW gas-fired plant in Barking, also in Britain.Barking Power declined to comment and no one at Eggborough Power was immediately available for comment.Reuters reported in October the bank has been waiting for more than three years for permission from the Federal Reserve to enter into so-called ""tolling"" arrangements with power plants, which would allow them to take a greater operational role in electrical utilities.The bank has made a number of hires in other parts of its commodities business over the past year, however, including Barclay's former oil chief George Cultraro, to run its global crude and products trading business.",2014-01-07,BAC,"Tue Jan 7, 2014 | 6:09pm EST",UPDATE 3-BoA-Merrill Lynch shuts European power and gas trading desk,http://www.reuters.com//article/boaml-commodities-powergas-idUSL6N0KH1KN20140107?type=companyNews
4,"   By Karolin Schaps and David Sheppard | LONDON  LONDON Bank of America-Merrill Lynch shut its European power and gas sales and trading operation on Tuesday, the fourth major player to close parts of its commodities business as tighter regulation and fewer arbitrage opportunities erode profits.Last month Morgan Stanley (MS.N) sold its main physical oil trading unit to Russian state-run oil major Rosneft, and Deutsche Bank (DBKGn.DE) said it was largely exiting commodities trading. In July, JPMorgan (JPM.N) put its physical trading operations up for sale.The sector is now dominated by commodities trading houses and utilities, with Barclays, Citi and Goldman Sachs among the only remaining large banks with a significant presence.Difficulties around speculative trading in the growing renewables market has also dented profitability, traders say.BofA-ML had been scaling back its trading presence in the European power and gas market over the past few months, a trading source, who has done business with the firm, said. The group had not been a big player in the markets since Bank of America took over Merrill Lynch in 2008, the source said.""The decision follows a recent review of its broader commodities activities and reflects the combined impact of lower client demand for European power and gas hedging and recent regulatory changes,"" a BoA-ML spokesperson said in a statement.The bank's European carbon trading desk will also be reduced but will not be shut entirely, a source familiar with the matter said. Employees affected by the power and gas desk closure were told of the news on Tuesday, with a low double-digit number of staff affected, the source said.BofA-ML will continue trading power and gas in the United States as well as coal, commodity indexes, oil and metals trading, the spokesperson said, and the bank will dispose of its power and gas inventory through a formal sales process.Long-term sales and trading arrangements with power clients will be wound down, according to a person familiar the matter. The bank has supply and sales arrangements with both the coal-fired 1,960 megawatt (MW) Eggborough plant in Yorkshire and a 1,000 MW gas-fired plant in Barking, also in Britain.Barking Power declined to comment and no one at Eggborough Power was immediately available for comment.Reuters reported in October the bank has been waiting for more than three years for permission from the Federal Reserve to enter into so-called ""tolling"" arrangements with power plants, which would allow them to take a greater operational role in electrical utilities.The bank has made a number of hires in other parts of its commodities business over the past year, however, including Barclay's former oil chief George Cultraro, to run its global crude and products trading business.(Editing by Louise Ireland)",2014-01-07,BAC,"Tue Jan 7, 2014 | 2:54pm EST",BoA-Merrill Lynch shuts European power and gas trading desk,http://www.reuters.com//article/us-boaml-commodities-powergas-idUSBREA0612520140107?type=companyNews
5,"  LONDON Bank of America Merrill Lynch has closed its European power and gas desk following low demand for power and gas hedging and regulatory changes, a company spokesperson said on Tuesday.""The bank will continue to trade coal, commodity indices, oil, metals and US power & gas from its Houston, London, New York and Singapore offices,"" the spokesperson said.  (Reporting by Karolin Schaps; editing by Keiron Henderson) ",2014-01-07,BAC,"Tue Jan 7, 2014 | 7:17am EST","Bank of America Merrill Lynch shuts European power, gas desk",http://www.reuters.com//article/us-boa-powergas-idUSBREA060FR20140107?type=companyNews
6,"  LONDON Jan 7 Bank of America Merrill Lynch has closed its European power and gas desk following low demand for power and gas hedging and regulatory changes, a company spokesperson said on Tuesday. ""The bank will continue to trade coal, commodity indices, oil, metals and US power & gas from its Houston, London, New York and Singapore offices,"" the spokesperson said.  ",2014-01-07,BAC,"Tue Jan 7, 2014 | 7:13am EST","Bank of America Merrill Lynch shuts European power, gas desk",http://www.reuters.com//article/boa-powergas-idUSL6N0KH1JA20140107?type=companyNews
7,"   By Peter Rudegeair  Bank of America Corp's (BAC.N) credit card unit did something surprising in the third quarter: it grew.The second largest U.S. bank has been cleaning up and shrinking its credit card portfolio since 2009, after getting burned by bad loans. Now that the bank has shed its worst accounts and cut its total loans by 62 percent, it is ready to dial up its lending.The bank is focused on selling credit cards to its existing customers. This will insure the bank knows more about the customers it is lending to and save money on marketing.""That was our biggest strategic choice,"" said Titi Cole, a senior executive for retail products, referring to the bank's decision to focus on existing customers. ""The card business will be smaller, but less volatile and more profitable.""So far, its efforts seem to be paying off. Average U.S. credit card balances at the Charlotte, North Carolina bank rose 0.32 percent, from $89.7 billion to $90.0 billion, between the end of June and the end of September. That's a small increase, but it's the first in at least three years. (An accounting change starting in 2010 makes it difficult to compare quarterly balances from recent years to 2009 and earlier periods.)The bank also issued 1 million new cards in the quarter, the highest number since 2008, and new card issuance in the fourth quarter should continue to be strong, chief executive Brian Moynihan said at an investor conference on December 10.Banks in general are looking to boost their credit card portfolios now — they mailed out 45 percent more credit card offers in November than they did a year earlier, according to Credit Suisse and Mintel Comperemedia data—and some, most notably Wells Fargo & Co (WFC.N) are focusing on marketing to existing customers.The benefits of offering cards to current customers is clear - Bank of America executives have calculated that if clients who already have a checking account sign up for a credit card or other loan from the bank, it will take in over $1,000 in additional revenue per household. It calls this strategy the ""stairstep approach"". The bank has broadly been struggling to boost revenue. Cole said in an interview that while competition in the credit card space is heating up, the size of the bank's current customer base will set it apart. Bank of America has relationships with one out of every two American households, giving the bank more relationships to use to gain new accounts, she said.""The opportunity ahead of us is tens of millions of customers still. It is not a small little opportunity,"" Moynihan said at a November investor conference.The bank does not disclose how much of its quarterly revenues or income come from credit cards.IMPORTANT SOURCE OF REVENUE  Bank of America invented the credit card in the late 1950s, building both a credit card network that turned into what is now Visa Inc. (V.N) and a portfolio of loans as well.In 2006, the bank bought MBNA, which had been the world's largest independent credit card issuer, a step that swelled Bank of America's credit card portfolio just before the financial crisis. Losses from cards jumped in 2008 and 2009, which prompted the bank to sell most of its foreign portfolios and write off many billions of dollars in loans, known as ""charging off"" in the credit card industry.Since then, the unit's credit quality has improved - Bank of America's credit card charge-offs have fallen by 80 percent since 2010, and loss rates have fallen from 12.8 percent to 3.5 percent. With a smaller portfolio, even if losses double from current rates, ""that is not a life-threatening event at all,"" Moynihan said at a news event in November.U.S. consumers are in the best position to pay their bills and increase their borrowing in years. Household debt payments as a share of disposable income are the lowest level they have been since the Federal Reserve began keeping track in 1980. Banks make money from credit cards in two ways: from the interest payments borrowers make on their loans, and from fees they receive from merchants and cardholders.Fee income has been falling across the industry. Lawmakers and regulators, spurred by lending practices that consumer advocates and merchants viewed as abusive, have limited many of the kinds of fees that banks can charge through the 2009 CARD Act and the 2010 Dodd-Frank Act.At Bank of America, non-interest income from cards, a measure of fee income, fell 12 percent in the third quarter from the same period a year earlier.Banks now have less fee income to rely on, so they are hoping to increase their interest income, which can be relatively high on a loan. The average interest rate the bank earned on credit card loans in the third quarter was 9.81 percent, over 2.5 times higher than other consumer loans like mortgages or home equity.As other businesses like mortgage refinancing slow down, credit cards could prove to be an important source of revenue for the bank, said David Robertson, the publisher of The Nilson Report.""What they've decided to do as a company is invest in the card business. Looking at the disaster that is the mortgage business, it's a good call,"" Robertson said.(Editing by Dan Wilchins and Stephen Powell)",2014-01-08,BAC,"Wed Jan 8, 2014 | 11:45am EST",Bank of America ramps up credit card loans,http://www.reuters.com//article/us-bankofamerica-credit-idUSBREA070V420140108?type=companyNews
8,"   By Peter Rudegeair  Jan 8 Bank of America Corp's credit card unit did something surprising in the third quarter: it grew.The second largest U.S. bank has been cleaning up and shrinking its credit card portfolio since 2009, after getting burned by bad loans. Now that the bank has shed its worst accounts and cut its total loans by 62 percent, it is ready to dial up its lending.The bank is focused on selling credit cards to its existing customers. This will insure the bank knows more about the customers it is lending to and save money on marketing.""That was our biggest strategic choice,"" said Titi Cole, a senior executive for retail products, referring to the bank's decision to focus on existing customers. ""The card business will be smaller, but less volatile and more profitable.""So far, its efforts seem to be paying off. Average U.S. credit card balances at the Charlotte, North Carolina bank rose 0.32 percent, from $89.7 billion to $90.0 billion, between the end of June and the end of September. That's a small increase, but it's the first in at least three years. (An accounting change starting in 2010 makes it difficult to compare quarterly balances from recent years to 2009 and earlier periods.)The bank also issued 1 million new cards in the quarter, the highest number since 2008, and new card issuance in the fourth quarter should continue to be strong, chief executive Brian Moynihan said at an investor conference on Dec. 10.Banks in general are looking to boost their credit card portfolios now - they mailed out 45 percent more credit card offers in November than they did a year earlier, according to Credit Suisse and Mintel Comperemedia data-and some, most notably Wells Fargo & Co are focusing on marketing to existing customers.The benefits of offering cards to current customers is clear - Bank of America executives have calculated that if clients who already have a checking account sign up for a credit card or other loan from the bank, it will take in over $1,000 in additional revenue per household. It calls this strategy the ""stairstep approach"". The bank has broadly been struggling to boost revenue. Cole said in an interview that while competition in the credit card space is heating up, the size of the bank's current customer base will set it apart. Bank of America has relationships with one out of every two American households, giving the bank more relationships to use to gain new accounts, she said.""The opportunity ahead of us is tens of millions of customers still. It is not a small little opportunity,"" Moynihan said at a November investor conference.The bank does not disclose how much of its quarterly revenues or income come from credit cards. IMPORTANT SOURCE OF REVENUE Bank of America invented the credit card in the late 1950s, building both a credit card network that turned into what is now Visa Inc. and a portfolio of loans as well.In 2006, the bank bought MBNA, which had been the world's largest independent credit card issuer, a step that swelled Bank of America's credit card portfolio just before the financial crisis. Losses from cards jumped in 2008 and 2009, which prompted the bank to sell most of its foreign portfolios and write off many billions of dollars in loans, known as ""charging off"" in the credit card industry.Since then, the unit's credit quality has improved - Bank of America's credit card charge-offs have fallen by 80 percent since 2010, and loss rates have fallen from 12.8 percent to 3.5 percent. With a smaller portfolio, even if losses double from current rates, ""that is not a life-threatening event at all,"" Moynihan said at a news event in November. U.S. consumers are in the best position to pay their bills and increase their borrowing in years. Household debt payments as a share of disposable income are the lowest level they have been since the Federal Reserve began keeping track in 1980.Banks make money from credit cards in two ways: from the interest payments borrowers make on their loans, and from fees they receive from merchants and cardholders.Fee income has been falling across the industry. Lawmakers and regulators, spurred by lending practices that consumer advocates and merchants viewed as abusive, have limited many of the kinds of fees that banks can charge through the 2009 CARD Act and the 2010 Dodd-Frank Act.At Bank of America, non-interest income from cards, a measure of fee income, fell 12 percent in the third quarter from the same period a year earlier.Banks now have less fee income to rely on, so they are hoping to increase their interest income, which can be relatively high on a loan. The average interest rate the bank earned on credit card loans in the third quarter was 9.81 percent, over 2.5 times higher than other consumer loans like mortgages or home equity.As other businesses like mortgage refinancing slow down, credit cards could prove to be an important source of revenue for the bank, said David Robertson, the publisher of The Nilson Report.""What they've decided to do as a company is invest in the card business. Looking at the disaster that is the mortgage business, it's a good call,"" Robertson said.",2014-01-08,BAC,"Wed Jan 8, 2014 | 10:42am EST",Bank of America ramps up credit card loans,http://www.reuters.com//article/bankofamerica-credit-idUSL2N0KI17720140108?type=companyNews
9,"  LONDON Jan 10 Bank of America Merrill Lynch  has detailed how it intends to improve working conditions for its junior bankers after one of its summer interns died.In a memo sent to staff on Friday and seen by Reuters, Bank of America said an internal review had outlined measures to ensure such staff take days off and to improve support and supervision.The review was announced after 21-year-old Moritz Erhardt died in August towards the end of a seven-week internship at the U.S. bank's investment division in London.The new measures are designed to increase ""the efficient use of our time and resources, support work-life balance, increase our junior banker staffing levels and enhance the overall work experience,"" the memo said.Erhardt's death highlighted concerns about interns working excessive hours and even through the night after newspaper reports suggested that the German student had worked for 72 hours without sleep before he died. An inquest into Erhardt's death found he died of natural causes.Effective immediately, analysts and associates are recommended to take a minimum of four weekend days off per month. Any exceptions must be pre-approved by senior managers, the memo said. The memo, from Christian Meissner, head of the bank's Global Corporate and Investment Banking (GCIB) unit, said it would make a current staffer position - responsible for how projects get allocated - into a full time post in some regions. The staffer will closely monitor work volume, hours and assignments, making sure junior bankers work on a variety of projects and develop key skills.The role of human resources and development officers will also be beefed up. The new rules will also apply to those taking up summer internships at the bank.""We are importantly committed to broader cultural change in terms of how we manage our time and how we best serve our clients,"" Meissner wrote in the memo.Bank of America declined to comment.",2014-01-10,BAC,"Fri Jan 10, 2014 | 12:48pm EST",Bank of America seeks to ensure work limits after intern's death,http://www.reuters.com//article/bankofamerica-workingconditions-idUSL6N0KK2LR20140110?type=companyNews
10,"   By Peter Rudegeair and Anil D'Silva  Bank of America Corp said on Wednesday its quarterly profit surged by nearly $3 billion as revenue increased and mortgage losses plunged, the clearest sign yet the bank was shaking off the impact of the financial crisis.The results for the second largest U.S. bank were strong across most businesses, with consumer banking having its best quarter since 2011 and the wealth management and global banking divisions posting record revenues.""They're showing some positive momentum on growing their customer base and their revenues,"" said Jonathan Finger of Finger Interests Ltd, a Houston investment firm that owns shares in the bank. ""Certainly the stock has been performing very well.""Bank of America's shares rose 2.3 percent to $17.15 on Wednesday, after earlier rising to $17.42, the highest level since May 2010. The bank's shares rose 34.6 percent last year, outpacing the broader market, and have risen some 250 percent from their post-crisis nadir in December 2011.Bank of America has been groaning under the weight of bad mortgages it took on when it bought Countrywide Financial Corp in 2008, just before the housing crisis turned into a full-blown banking meltdown. The purchase has cost it more than $45 billion in write-downs and legal settlements.On Wednesday, the bank said losses in its mortgage unit fell to $1.1 billion in the fourth quarter from $3.7 billion in the same period in 2012. In the year-earlier quarter, the bank reached several settlements totaling more than $5 billion with the federal government and mortgage finance giant Fannie Mae over foreclosures and bad loans.Results in the most recent quarter were hurt by an industry-wide drop in mortgage refinancing activity, as rates have risen. The bank made $11.6 billion in home loans, down 49 percent from the third quarter.Not all of the lingering problems from the financial crisis are behind the bank. Litigation expenses jumped to $2.3 billion in the fourth quarter from $916 million in the same period a year earlier. Chief Financial Officer Bruce Thompson said the increase was tied to mortgage securities litigation, but declined to elaborate. Even so, the company is in a much stronger position than it was during the financial crisis, when it took two bailouts from the federal government. A measure of its capital that regulators look at, known as the Basel III capital ratio, rose to 9.96 percent from 9.25 percent in the fourth quarter of 2012, and the bank said it could last 38 months without having to tap the debt markets again.Overall, fourth-quarter net income for common shareholders rose to $3.18 billion, or 29 cents per share, from $367 million, or 3 cents per share, in the same quarter of 2012, when profit was dented by about $5 billion in mortgage-related charges. Revenues increased 14 percent to $22.3 billion. Analysts estimated earnings of 26 cents per share, according to Thomson Reuters I/B/E/S.""There's a company emerging from what was a pile of trouble,"" said Nancy Bush, a banking analyst at NAB Research LLC.Other banks are doing well now, too. JPMorgan Chase & Co and Wells Fargo & Co both reported better-than-expected quarterly earnings on Tuesday. Bank of America's improvement has been helping one investor in particular: Warren Buffett, whose Berkshire Hathaway Inc bought $5 billion of preferred shares and warrants from the bank in 2011, when investors were panicking about its mortgage holdings. Buffett has said he has no plans to exercise the warrants until near their expiration date in 2021; if he exercised them at current prices, he could sell the shares for an immediate $7 billion profit.LITTLE TERRIER Bank of America's chief executive officer, Brian Moynihan, has focused on cutting costs at the bank since he took the top job in 2010 and announced plans in 2011 to save the bank $8 billion per year. The bank is making progress toward his goals - operating costs in the fourth quarter fell by 6 percent to $17.3 billion.""If you think back three years when he got there, nobody believed that he could do what he's done,"" said Bush. ""He's like a little terrier. When you set him on a task, he's going to keep digging and digging till he finds the bone."" Credit costs have also been falling. The bank set aside $336 million to cover bad loans in the quarter, compared with $2.2 billion a year earlier. It released $1.2 billion from reserves to cover bad loans, compared with $900 million a year earlier and $1.4 billion in the third quarter.As the bank's executives get other issues under control, Moynihan said last April, boosting revenue has to be the main focus.Those efforts may be paying off. For the fourth quarter, Bank of America's global wealth and investment management business posted a 7 percent increase in revenue, to $4.5 billion, driven by higher fee income and customers depositing more funds into their accounts. Net income rose 35 percent to a record $777 million.Revenue also rose in investment banking, where fees increased 9 percent to $1.7 billion as companies around the world took advantage of record high stock prices to raise equity capital. Bank of America executives were optimistic the bank would benefit as dealmaking activity and debt and equity underwriting increased.""There's not one piece we look at within the pipelines that we don't feel good about,"" Thompson said on the call.Revenue for global banking as a whole rose 9 percent to $4.31 billion, but net income dropped 9 percent to $1.27 billion as the company set aside more funds to cover possible losses on commercial loans.Equity trading revenue jumped 27 percent to $904 million from a year earlier, and bond trading revenue rose 16 percent to $2.08 billion, excluding accounting adjustments linked to changes in the value of the company's debt. In bond trading, stronger results in credit and mortgage products offset weakness in rates and commodities.(Reporting by Peter Rudegeair in New York and Anil D'Silva in Bangalore; Editing by Dan Wilchins, Ted Kerr, Jeffrey Benkoe and Leslie Adler)",2014-01-15,BAC,"Wed Jan 15, 2014 | 5:10pm EST",Bank of America fourth-quarter profit rises as bank shakes off financial crisis,http://www.reuters.com//article/us-bofa-results-idUSBREA0E0OQ20140115?type=companyNews
