,Article,Date,Symbol,Time,Title,Url
0,"   By Dominique Vidalon | PARIS  PARIS Shares in Remy Cointreau (RCOP.PA) surged on Friday on speculation that Brown-Forman (BFb.N), the U.S. maker of Jack Daniel's whiskey, was eyeing the French cognac producer, though prospects of a near-term deal looked slim.Many drinks groups could afford to buy Remy Cointreau, which has a stock market valuation of 2.9 billion euros ($4.0 billion) against $19 billion for Brown-Forman and is seen as vulnerable at the moment as it grapples with falling sales due to slowing demand in China.""Remy is definitely being peddled about as there is an opportunity now, it's down on its knees. The timing is right although I still think it's overvalued. I don't think the problems in China are over, it's not hit bottom yet,"" a banker said.Remy shares have lost 18 percent since November when the maker of Louis XIII luxury cognac issued a profit warning due to weak demand in China. In January its chief executive quit and it is still searching for a permanent replacement.Like rivals Diageo (DGE.L) and Pernod Ricard (PERP.PA), Remy has been hit by a government crackdown on luxury gift-giving and personal spending by civil servants in China, as well as by slowing economic growth in the world's second-biggest economy.Cognac makes up 80 percent of Remy's operating profit and China half of that total.Remy Cointreau shares rose as much as 10 percent early on Friday before trimming gains to trade up 4.5 percent by 1330GMT. Traders cited an article on the British financial blog ""Betaville"" as the source of the speculation. Remy Cointreau declined comment. Brown-Forman officials were not immediately available outside business hours in the U.S.""The idea is that Brown-Forman is desperate to get hold of Remy Cointreau because it doesn't want to get left behind in the global consolidation game that re-ignited at the beginning of the year when Japan's Suntory snapped up U.S. bourbon specialist Beam BEAM.N for $16 billion,"" the blog said.Tentative discussions had been held between investment banking advisers to both companies, with Lazard said to be representing Remy Cointreau and its controlling shareholders.There were however no formal discussions taking place between the companies, the blog added.""In this industry everybody talks to everybody. It would not be surprising if bankers talked to bankers but it may be all very preliminary,"" said Bernstein analyst Trevor Stirling. Another banker said that banks were trying to persuade Remy to sell ""but there are no signs that they're sellers"".A GOOD MATCH Remy was also likely to attract interest from the likes of Japan's Suntory and privately-held Bacardi, the second banker said.Industry bankers and analysts said Remy and Brown-Forman would be a good match, since they are both family-controlled, both derive a significant proportion of their profit from a single, brown spirits brand, and they complement each other geographically.Brown-Forman, based in Louisville, Kentucky is best known for its Jack Daniel's Tennessee whiskey, which accounts for about half its revenue, but has smaller brands including Southern Comfort and Herradura tequila. It is itself often seen as a target for the likes of Diageo, Pernod Ricard or Bacardi.In its latest quarter Brown-Forman reported strong sales growth in China despite the anti-extravagance campaign. Analysts said this was partly due to Jack Daniel's being a ""premium"" brand rather than an ""ultra luxury"" brand like Louis XIII.It was unclear if the Herard Dubreuil family, which controls over 60 percent of Remy's voting rights, would be a seller.""The family would be a reluctant seller but if the price was right that could change. At the moment they are 100 percent focused on the cognac recovery,"" said Bernstein's Stirling.Societe Generale analysts said in a note on Friday that given the attractiveness of Remy's portfolio, which includes century-old cognac eaux de vie inventories, a deal could fetch multiple of 22 times estimated 2014 EBITDA, or 85 euros per share, topping the 20 times of the Suntory/Beam deal.A very complicated shareholding structure with different family members holding different stakes may also be a hurdle to a deal with some family members likely to want cash.Societe Generale analysts said it was likely a future deal would be a combination of cash and shares.($1 = 0.7291 Euros)(Reporting by Alistair Smout, Dominique Vidalon, Martinne Geller, Anjuli Davies; Editing by Catherine Evans and John Stonestreet)",2014-04-04,BFB,"Fri Apr 4, 2014 | 8:59am EDT",Remy Cointreau shares soar on talk of Brown-Forman interest,http://www.reuters.com//article/us-shares-in-remy-cointreau-idUSBREA330C820140404?type=companyNews
1,"  * ""Betaville"" blog says Jack Daniel's maker mulling a bid* Remy declines comment, Brown-Forman not immediately available* Remy Cointreau vulnerable as faces China challenge   (Bankers, analysts, Remy, updates shares)By Dominique VidalonPARIS, April 4 Shares in Remy Cointreau  surged on Friday on speculation that Brown-Forman , the U.S maker of Jack Daniel's whiskey, was eyeing the French cognac producer, though prospects of a near-term deal looked slim.Many drinks groups could afford to buy Remy Cointreau, which has a stock market valuation of 2.9 billion euros ($4.0 billion) against $19 billion for Brown-Forman and is seen as vulnerable at the moment as it grapples with falling sales due to slowing demand in China.""Remy is definitely being peddled about as there is an opportunity now, it's down on its knees. The timing is right although I still think it's overvalued. I don't think the problems in China are over, it's not hit bottom yet,"" a banker  said.Remy shares have lost 18 percent since November when the maker of Louis XIII luxury cognac issued a profit warning due to weak demand in China. In January its chief executive quit and it is still searching for a permanent replacement.Like rivals Diageo and Pernod Ricard, Remy has been hit by a government crackdown on luxury gift-giving and personal spending by civil servants in China, as well as by slowing economic growth in the world's second-biggest economy.Cognac makes up 80 percent of Remy's operating profit and China half of that total.Remy Cointreau shares rose as much as 10 percent early on Friday before trimming gains to trade up 4.5 percent by 1330 GMT. Traders cited an article on the British financial blog ""Betaville"" as the source of the speculation.Remy Cointreau declined comment. Brown-Forman officials were not immediately available outside business hours in the U.S.""The idea is that Brown-Forman is desperate to get hold of Remy Cointreau because it doesn't want to get left behind in the global consolidation game that re-ignited at the beginning of the year when Japan's Suntory snapped up U.S bourbon specialist Beam for $16 billion,"" the blog said.Tentative discussions had been held between investment banking advisers to both companies, with Lazard said to be representing Remy Cointreau and its controlling shareholders.There were however no formal discussions taking place between the companies, the blog added. ""In this industry everybody talks to everybody. It would not be surprising if bankers talked to bankers but it may be all very preliminary,"" said Bernstein analyst Trevor Stirling.Another banker said that banks were trying to persuade Remy to sell ""but there are no signs that they're sellers"".A GOOD MATCH Remy was also likely to attract interest from the likes of Japan's Suntory and privately-held Bacardi, the second banker said. Industry bankers and analysts said Remy and Brown-Forman would be a good match, since they are both family-controlled, both derive a significant proportion of their profit from a single, brown spirits brand, and they complement each other geographically.Brown-Forman, based in Louisville, Kentucky is best known for its Jack Daniel's Tennessee whiskey, which accounts for about half its revenue, but has smaller brands including Southern Comfort and Herradura tequila.It is itself often seen as a target for the likes of Diageo, Pernod Ricard or Bacardi.In its latest quarter Brown-Forman reported strong sales growth in China despite the anti-extravagance campaign. Analysts said this was partly due to Jack Daniel's being a ""premium"" brand rather than an ""ultra luxury"" brand like Louis XIII.It was unclear if the Herard Dubreuil family, which controls over 60 percent of Remy's voting rights, would be a seller.""The family would be a reluctant seller but if the price was right that could change. At the moment they are 100 percent focused on the cognac recovery,"" said Bernstein's Stirling.Societe Generale analysts said in a note on Friday that given the attractiveness of Remy's portfolio, which includes century-old cognac eaux de vie inventories, a deal could fetch multiple of 22 times estimated 2014 EBITDA, or 85 euros per share, topping the 20 times of the Suntory/Beam deal.A very complicated shareholding structure with different family members holding different stakes may also be a hurdle to a deal with some family members likely to want cash.Societe Generale analysts said it was likely a future deal  would be a combination of cash and shares.($1 = 0.7291 Euros)   (Reporting by Alistair Smout, Dominique Vidalon, Martinne Geller, Anjuli Davies; Editing by Catherine Evans and John Stonestreet)",2014-04-04,BFB,"Fri Apr 4, 2014 | 8:57am EDT",UPDATE 2-Remy Cointreau shares soar on talk of Brown-Forman interest,http://www.reuters.com//article/remy-brownforman-idUSL5N0MW1FW20140404?type=companyNews
2,"  LONDON, April 4 Shares in Remy Cointreau  surged in early deals, with traders citing speculation that Brown-Forman is mulling a bid for the luxury drinks company.Remy Cointreau rose as much as 10 percent, before trimming gains to trade 5.9 percent higher. Traders cited an article on the ""Betaville"" blog as the source of the speculation.  Remy Cointreau officials were not immediately available for comment.    (Reporting by Alistair Smout; Editing by Catherine Evans) ",2014-04-04,BFB,"Fri Apr 4, 2014 | 3:12am EDT","Shares in Remy Cointreau surge, traders cite bid speculation",http://www.reuters.com//article/idUSL5N0MW17H20140404?type=companyNews
3,"   By Martinne Geller | LONDON  LONDON U.S. drinks company Brown-Forman (BFb.N) is one of several parties considering second-round bids for the Whyte & Mackay whisky business, expected to fetch around 350 million pounds ($581 million), said three people familiar with the matter.The bulk of Whyte & Mackay is being sold by United Spirits (UNSP.NS) to satisfy antitrust concerns arising from Diageo's (DGE.L) purchase of a controlling stake in the Indian drinks firm. Diageo is already the leader in the UK Scotch market, where Whyte & Mackay's business is centered.Also expected to move into the second round of bidding is private equity firm Lion Capital, said the sources, who declined to be identified because the process is private.There are thought to be five parties in the second round, the sources added, but it was not immediately clear who the others were. Reuters last month reported that SPI Group, owner of Stolichnaya vodka, Italy's Campari (CPRI.MI) and private equity firms Lion Capital and TPG Capital Management TPG.UL were among the interested parties. Other media have reported that KKR (KKR.N) was also bidding.Second-round bids are due on April 17, said the sources. Representatives for Brown-Forman and Lion Capital declined to comment. United Spirits and Diageo were not immediately available.Brown-Forman came into the spotlight last week after a financial blog reported that the U.S. maker of Jack Daniel's whiskey was eyeing French cognac maker Remy Cointreau (RCOP.PA). In addition to Jack Daniel's, the Louisville, Kentucky-based company owns Southern Comfort and Herradura tequila.($1 = 0.6028 British Pounds)(Editing by Mark Potter)",2014-04-07,BFB,"Mon Apr 7, 2014 | 8:13am EDT",Brown-Forman among those eyeing Whyte & Mackay: sources,http://www.reuters.com//article/us-brown-formn-whytemackay-idUSBREA360SE20140407?type=companyNews
4,"   By Martinne Geller | LONDON, April 7  LONDON, April 7 U.S. drinks company Brown-Forman  is one of several parties considering second-round bids for the Whyte & Mackay whisky business, expected to fetch around 350 million pounds ($581 million), said three people familiar with the matter.The bulk of Whyte & Mackay is being sold by United Spirits  to satisfy antitrust concerns arising from Diageo's  purchase of a controlling stake in the Indian drinks firm. Diageo is already the leader in the UK Scotch market, where Whyte & Mackay's business is centred.Also expected to move into the second round of bidding is private equity firm Lion Capital, said the sources, who declined to be identified because the process is private. There are thought to be five parties in the second round, the sources added, but it was not immediately clear who the others were.Reuters last month reported that SPI Group, owner of Stolichnaya vodka, Italy's Campari and private equity firms Lion Capital and TPG Capital Management were among the interested parties. Other media have reported that KKR  was also bidding. Second-round bids are due on April 17, said the sources.Representatives for Brown-Forman and Lion Capital declined to comment. United Spirits and Diageo were not immediately available. Brown-Forman came into the spotlight last week after a financial blog reported that the U.S. maker of Jack Daniel's whiskey was eyeing French cognac maker Remy Cointreau.In addition to Jack Daniel's, the Louisville, Kentucky-based company owns Southern Comfort and Herradura tequila.($1 = 0.6028 British Pounds)   (Editing by Mark Potter)",2014-04-07,BFB,"Mon Apr 7, 2014 | 8:11am EDT",Brown-Forman among those eyeing Whyte & Mackay - sources,http://www.reuters.com//article/brown-formn-whytemackay-idUSL2N0MY0B320140407?type=companyNews
5,"  * Jamaica's anti-doping process questioned* Errors made in Campbell-Brown's case, CAS says* WADA confident mistakes will not be repeated* Jamaican officials say changes have been made   (Adds WADA, Jamaican comments)April 15 The Court of Arbitration for Sport (CAS) blasted Jamaican anti-doping officials on Tuesday for the mishandling of a drug test by sprinter Veronica Campbell-Brown that led to a successful appeal of the three-time Olympic gold medallist's two year ban.In a scathing 58-page report explaining the decision to uphold Campbell-Brown's appeal, a CAS panel cited errors in the collection and handling of the sprinter's urine sample last year that could have resulted in its contamination, calling into question the entire Jamaican anti-doping operation.""In this case, the evidence before the panel establishes that the JAAA (Jamaica Athletic Administrative Association) has persistently failed to comply with the mandatory partial testing,"" said CAS.""That systematic and knowing failure, for which no reasonable explanation has been advanced, is deplorable and gives rise to the most serious concerns about the overall integrity of the JAAA's anti-doping processes, as exemplified in this case by the flaws in JADCO's (Jamaica Anti-Doping Commission) sample collection and its documentation.""The World Anti-Doping Agency (WADA), while concurring mistakes were made in Campbell-Brown's case that were fundamental to the integrity of the testing process, said it was confident the errors would not be repeated.""WADA responded to past concerns in Jamaica by initiating a partnership with the Canadian Centre for Ethics in Sport (CCES) to mentor and assist JADCO in developing their anti-doping programs,"" the global agency said in a statement to Reuters.""As a result, WADA is confident that such mistakes will not be repeated again.""CHANGES MADE  Jamaica's anti-doping efforts underwent a major overhaul in late 2013, a year in which eight Jamaicans failed doping tests.The entire JADCO board resigned and a new executive director was appointed and Jamaican athletics federation president Warren Blake said on Tuesday the problems were now in the past.""This speaks to the situation that existed last year and the question was the use of partial sample kits,"" Blake told Reuters. ""My understanding is that JADCO does in fact have partial sample kits now....so there's really not a problem.""He also questioned why the Jamaica Athletic Administrative Association was mentioned in the report when the testing was done by JADCO.Noted coach Stephen Francis, whose athletes once included Asafa Powell and Sherone Simpson, recently called for Jamaican officials to disband their anti-doping agency and contract testing to agencies in other countries.But Blake and Natalie Neita-Headley, the Jamaican minister responsible for sports, disagreed. ""Absolutely not,"" Neita-Headley told Reuters. ""With a sporting programme like ours, with the success we have attained; we need to have a anti-doping commission that works and that's what we are working at.""Said Blake: ""Many things have changed with JADCO and I'm not going to be supporting taking our testing out of our country and giving it to strangers, certainly not.""But doping concerns in the world's top sprinting nation resurfaced last week when former 100 metres world record holder Powell and Simpson were banned for 18 months by a Jamaican panel after they tested positive for a banned stimulant in 2013.Both have appealed their suspensions to CAS.Olympic discus thrower Allison Randall, was also handed a two-year ban for using the prohibited diuretic hydrochlorothiazide. APPEALS DECISION Campbell-Brown also returned a positive test for hydrochlorothiazide at the Jamaica International Invitational meeting in Kingston on May 4 and in October was given a public reprimand by a JAAA disciplinary panel.But after a doping review board of the International Association of Athletics Federations (IAAF) recommended a two-year doping ban, the Jamaican panel put the suspension in place in February.Campbell-Brown appealed the ban, her lawyers arguing that international standards were violated during her sample collection, thus compromising the integrity of the samples.The three member CAS panel agreed that serious errors were made in the collection process noting that Campbell-Brown took her partial sample with her in a covered, but unsealed, collection vessel and went to the waiting room where several other athletes were present.It was noted that Campbell-Brown placed the sample on the floor while she went to collect more water and did various exercises in an effort to produce more urine.CAS said the errors left open the possibility of Campbell-Brown's sample being contaminated by water or sweat through the spout of the collection bottle.""In this case, the evidence before the panel establishes that the JAAA has persistently failed to comply with the mandatory partial testing,"" summed up the CAS report.""The panel notes the contradictory explanations provided by the JADCO witnesses to the JAAA Disciplinary Panel in September 2013, which cause further concern about the reliability of the evidence adduced against the athlete.""The panel's assessment of the athlete's testimony fortifies its conclusion that the evidence is insufficient to establish a doping violation to the requisite standard of proof.""The panel concludes that the athlete's appeal should be allowed on the ground that the panel is not comfortably satisfied that the athlete committed the charged anti-doping violation.""   (Reporting by Steve Keating in Toronto and Kayon Raynor in Kingston, Jamaica; Editing by Gene Cherry)",2014-04-15,BFB,"Tue Apr 15, 2014 | 7:26pm EDT",UPDATE 1-Doping-CAS blasts Jamaica over sloppy anti-doping procedures,http://www.reuters.com//article/doping-jamaica-idUSL3N0N74F520140415?type=companyNews
6,"  (The following statement was released by the rating agency) LONDON, December 02 (Fitch) Fitch Ratings has published its new Rating  Navigators for Anheuser Busch InBev NV/SA, AmBev S.A., Brown Forman Corporation,  Carlsberg Breweries A/S, Compania Cervecerias Unidas S.A. (CCU), Constellation  Brands, Inc., Diageo plc, Molson Coors Brewing Company and SABMiller plc. These reports should be read in conjunction with the ""Introducing Rating  Navigators for Corporates"" report dated 5 November 2014 and ""Alcoholic  Beverages: Ratings Navigator Companion"" dated 14 November 2014. For more information, please visit  corporatesshowcase.fitchratings.com/navigator.htm. Contact:  Giulio Lombardi Senior Director Corporates +39 02 8790 87214  Fitch Italia SpA Via Privata Maria Teresa 20123 Milan Bill Densmore  Senior Director +1 312 368 3125 Ching Mei Chia Director +44 20 3530 1068 Johnny Da Silva  Director +1 212 908 0367 Cristina Madero Associate Director +1 312 368 2080 Media Relations: Peter Fitzpatrick, London, Tel: +44 20 3530 1103, Email:  peter.fitzpatrick@fitchratings.com. Additional information is available at www.fitchratings.com. ALL FITCH CREDIT RATINGS ARE SUBJECT TO CERTAIN LIMITATIONS AND DISCLAIMERS.  PLEASE READ THESE LIMITATIONS AND DISCLAIMERS BY FOLLOWING THIS LINK:  here. IN ADDITION, RATING  DEFINITIONS AND THE TERMS OF USE OF SUCH RATINGS ARE AVAILABLE ON THE AGENCY'S  PUBLIC WEBSITE 'WWW.FITCHRATINGS.COM'. PUBLISHED RATINGS, CRITERIA AND  METHODOLOGIES ARE AVAILABLE FROM THIS SITE AT ALL TIMES. FITCH'S CODE OF  CONDUCT, CONFIDENTIALITY, CONFLICTS OF INTEREST, AFFILIATE FIREWALL, COMPLIANCE  AND OTHER RELEVANT POLICIES AND PROCEDURES ARE ALSO AVAILABLE FROM THE 'CODE OF  CONDUCT' SECTION OF THIS SITE. FITCH MAY HAVE PROVIDED ANOTHER PERMISSIBLE  SERVICE TO THE RATED ENTITY OR ITS RELATED THIRD PARTIES. DETAILS OF THIS  SERVICE FOR RATINGS FOR WHICH THE LEAD ANALYST IS BASED IN AN EU-REGISTERED  ENTITY CAN BE FOUND ON THE ENTITY SUMMARY PAGE FOR THIS ISSUER ON THE FITCH  WEBSITE.   ",2014-12-02,BFB,"Tue Dec 2, 2014 | 10:46am EST",Fitch Publishes Ratings Navigator for 9 Alcoholic Beverages Companies,http://www.reuters.com//article/fitch-publishes-ratings-navigator-for-idUSFit84690020141202?type=companyNews
7,"   By Lauren Hirsch and Freya Berry | NEW YORK/LONDON  NEW YORK/LONDON Brown-Forman Corp (BFb.N), the maker of Jack Daniel's whiskey,  has hired Goldman Sachs Group Inc (GS.N) to explore the sale of brands that include liqueur labels Southern Comfort and Chambord, according to people familiar with the matter. The Louisville, Kentucky-based company wants to focus on its core whiskey business, centered on its top-selling Jack Daniel's Tennessee Whiskey brand, the sources said this week. The process is at an early stage, though Brown-Forman has already reached out to potential buyers, the sources said. Collectively, the brands could be valued in the hundreds of millions of dollars, the sources added, asking not to be named because the matter is confidential.  Goldman Sachs and Brown-Forman declined to comment.Southern Comfort's net sales declined 7 percent in the company's most recent fiscal year, hit by competition from flavored whiskeys. In the same period, the Jack Daniel's business increased sales by net 5 percent.      Brown-Forman purchased the Jack Daniel Distillery in Lynchburg, Tennessee, in 1956. The company’s other whiskey brands include Woodford Reserve, Old Forester, Early Times and Canadian Whisky.  The company's third liqueur brand is Tuaca. It also sells tequila, including Don Eduardo and vodka, including Finlandia. It purchased Southern Comfort in 1979 and Chambord in 2006.  (Reporting by Lauren Hirsch in New York and Freya Berry in London; Additional reporting Martinne Geller in London; Editing by Carmel Crimmins and Lisa Shumaker)",2015-09-29,BFB,"Tue Sep 29, 2015 | 5:38pm EDT","Brown-Forman seeks to sell Southern Comfort, Chambord: sources",http://www.reuters.com//article/us-brown-formn-divestiture-idUSKCN0RT2SA20150929?type=companyNews
8,"   By Lauren Hirsch and Freya Berry | NEW YORK/LONDON, Sept 29  NEW YORK/LONDON, Sept 29 Brown-Forman Corp , the maker of Jack Daniel's whiskey,  has hired Goldman Sachs Group Inc to explore the sale of brands that include liqueur labels Southern Comfort and Chambord, according to people familiar with the matter.The Louisville, Kentucky-based company wants to focus on its core whiskey business, centered on its top-selling Jack Daniel's Tennessee Whiskey brand, the sources said this week. The process is at an early stage, though Brown-Forman has already reached out to potential buyers, the sources said. Collectively, the brands could be valued in the hundreds of millions of dollars, the sources added, asking not to be named because the matter is confidential.Goldman Sachs and Brown-Forman declined to comment. Southern Comfort's net sales declined 7 percent in the company's most recent fiscal year, hit by competition from flavored whiskeys. In the same period, the Jack Daniel's business increased sales by net 5 percent. Brown-Forman purchased the Jack Daniel Distillery in Lynchburg, Tennessee, in 1956. The company's other whiskey brands include Woodford Reserve, Old Forester, Early Times and Canadian Whisky.The company's third liqueur brand is Tuaca. It also sells tequila, including Don Eduardo and vodka, including Finlandia. It purchased Southern Comfort in 1979 and Chambord in 2006.    (Reporting by Lauren Hirsch in New York and Freya Berry in London; Additional reporting Martinne Geller in London; Editing by Carmel Crimmins and Lisa Shumaker)",2015-09-29,BFB,"Tue Sep 29, 2015 | 5:26pm EDT","Brown-Forman seeks to sell Southern Comfort, Chambord -sources",http://www.reuters.com//article/brown-formn-divestiture-idUSL1N11Y2UE20150929?type=companyNews
9,"  Brown-Forman Corp, the maker of Jack Daniel's whiskey, said it would sell its liqueur brands, Southern Comfort and Tuaca, to alcohol maker Sazerac for $543.5 million. Brown-Forman said the sale would contribute about $475 million to its fiscal 2016 operating income.Reuters reported in September, citing sources, that the company had hired Goldman Sachs Group Inc to explore a sale of some brands as it wanted to focus on its core whiskey business.Brown-Forman Chief Executive Paul Varga said on Thursday the decision to sell these brands reflected the company's ""evolving portfolio strategy."" The Louisville, Kentucky-based company acquired Southern Comfort in 1979 and Tuaca in 2002. Brown-Forman shares were unchanged at $91.51 in premarket trading. Goldman Sachs and Gibson, Dunn & Crutcher LLP advised Brown-Forman, while Wells Fargo Securities is Metairie, Louisiana-based Sazerac's financial adviser.  (Reporting by Subrat Patnaik in Bengaluru; Editing by Kirti Pandey)",2016-01-14,BFB,"Thu Jan 14, 2016 | 9:36am EST","Jack Daniel's owner to sell Southern Comfort, Tuaca brands",http://www.reuters.com//article/us-brown-formn-divestiture-sazerac-idUSKCN0US1RB20160114?type=companyNews
