,Article,Date,Symbol,Time,Title,Url
0,"  Sangamo Biosciences Inc said it would collaborate with Biogen Idec Inc to develop treatments for a group of inherited blood disorders in a deal for up to $320 million.Sangamo shares jumped as much as 30 percent to a six-year high of $17.73 on the Nasdaq on Thursday morning.Biogen will use Sangamo's genome-editing technology to develop drugs targeting sickle cell disease and beta-thalassemia.It will provide Sangamo $20 million upfront and reimburse costs related to research and development.Sangamo will also be eligible for milestone payments of about $300 million, as well as double digit royalties on product sales. The upfront payment and the terms of the milestone payments and the double digit royalties were pretty high, Wedbush analyst Liana Moussatos said.""The deal terms are very lucrative for a pre-clinical platform. So I think Biogen must have been impressed with the pre-clinical data that Sangamo presented last month.""Sangamo presented the data last month at the annual meeting of the American Society of Hematology. The company will be responsible for research and development for the first proof-of-concept study for beta-thalassemia, according to Thursday's deal.Beta-thalassemia impairs the body's ability to produce hemoglobin, the protein in red blood cells (RBC). Sickle cell disease changes the shape RBCs, tending to block blood flow.Moussatos said Sangamo also had a promising HIV program, with a patient to stay with undetectable viral load for six months.""That's another viable treatment and I won't be surprised if they announce another partnership for that,"" Moussatos said.(Reporting by Shailesh Kuber; Editing by Joyjeet Das)",2014-01-09,BIIB,"Thu Jan 9, 2014 | 11:47am EST",Sangamo to develop blood disorder drugs with Biogen,http://www.reuters.com//article/us-sangamo-biogen-blooddisorderdrugs-idUSBREA080LC20140109?type=companyNews
1,"  (Adds deal details, analyst comments; updates share movement)Jan 9 Sangamo Biosciences Inc said it would collaborate with Biogen Idec Inc to develop treatments for a group of inherited blood disorders in a deal for up to $320 million.Sangamo shares jumped as much as 30 percent to a six-year high of $17.73 on the Nasdaq on Thursday morning.Biogen will use Sangamo's genome-editing technology to develop drugs targeting sickle cell disease and beta-thalassemia.It will provide Sangamo $20 million upfront and reimburse costs related to research and development. Sangamo will also be eligible for milestone payments of about $300 million, as well as double digit royalties on product sales.The upfront payment and the terms of the milestone payments and the double digit royalties were pretty high, Wedbush analyst Liana Moussatos said.""The deal terms are very lucrative for a pre-clinical platform. So I think Biogen must have been impressed with the pre-clinical data that Sangamo presented last month."" Sangamo presented the data last month at the annual meeting of the American Society of Hematology.The company will be responsible for research and development for the first proof-of-concept study for beta-thalassemia, according to Thursday's deal. Beta-thalassemia impairs the body's ability to produce hemoglobin, the protein in red blood cells (RBC).Sickle cell disease changes the shape RBCs, tending to block blood flow.Moussatos said Sangamo also had a promising HIV program, with a patient to stay with undetectable viral load for six months.""That's another viable treatment and I won't be surprised if they announce another partnership for that,"" Moussatos said.   (Reporting by Shailesh Kuber; Editing by Joyjeet Das)",2014-01-09,BIIB,"Thu Jan 9, 2014 | 11:43am EST",UPDATE 1-Sangamo to develop blood disorder drugs with Biogen,http://www.reuters.com//article/sangamo-biogen-blooddisorderdrugs-idUSL3N0KJ4IS20140109?type=companyNews
2,"  Jan 9 Sangamo Biosciences Inc said it would collaborate with Biogen Idec Inc to develop treatments for a group of inherited blood disorders.Sangamo shares rose about 8 percent to $14.74 in premarket trading.Biogen will pay Sangamo $20 million upfront, and use Sangamo's gene-based technology to develop drugs targeting sickle cell disease and beta-thalassemia. Sangamo will also be eligible for additional payments of about $300 million in milestones, as well as double digit royalties on product sales. The company will be responsible for research and development activities for the first proof-of-concept study for beta-thalassemia. Biogen will pay for research costs incurred by Sangamo and market drugs developed during the collaboration.    (Reporting By Vrinda Manocha in Bangalore; Editing by Joyjeet Das)",2014-01-09,BIIB,"Thu Jan 9, 2014 | 7:28am EST",Sangamo Biosciences to develop blood disorder drugs with Biogen,http://www.reuters.com//article/sangamo-biogen-blooddisorderdrugs-idUSL3N0KJ3RK20140109?type=companyNews
3,"   By Bill Berkrot  Biogen Idec Inc said on Wednesday its new, high-profile oral multiple sclerosis drug Tecfidera had sales of $398 million in the fourth quarter, easily exceeding estimates for a third successive quarter and keeping it on track to top $1 billion in its first year on the market.Some of those sales were due to U.S. inventory stocking ahead of a 10 percent Tecfidera price increase in December. Biogen said underlying patient demand for the drug represented about $348 million of the U.S. sales, still ahead of analysts' consensus expectations of about $335 million.Biogen provided forecasts for 2014 that were likely to be viewed as a mixed bag, with revenue growth projections ahead of Wall Street expectations but an earnings outlook that fell short of the current analysts' view.The company forecast revenue growth of about 22 percent to 25 percent and earnings of $11 to $11.20 per share, excluding items. Analysts, on average, were looking for revenue growth of about 20 percent and earnings of $11.63 per share, according to Thomson Reuters I/B/E/S.""The guidance was very robust on the top line,"" said Cowen and Co analyst Eric Schmidt. ""A conservative management team like Biogen starting the year off with guidance that's significantly above consensus, that's a strong signal.""The earnings forecast shortfall was likely due to $200 million in the research and development budget that the company has earmarked for future business development, Schmidt said. ""The EPS guidance appears conservative in light of revenue growth expectations,"" Sanford Bernstein analyst Geoffrey Porges said in a note. ""Historically, Biogen has been able to beat initial guidance by 7 percent in the top line and 12 percent in the bottom line.""Investors gave Biogen management the benefit of the doubt, sending shares up nearly 2 percent on a down day for the broader markets. Biogen was one of the best performers of 2013, with the stock soaring more than 90 percent.Investor focus has been squarely on the performance of Tecfidera, which has become the top-selling oral MS treatment in the United States despite being third to market. The company expects European approval in the coming days or weeks, which would be another major catalyst for sales.Biogen said it was set to begin selling the drug in Germany as soon as European Union approval comes through with subsequent launches on a country-by-country basis as reimbursement is secured. The drug is already approved in Australia and Canada. Biogen said more than 6,000 doctors have prescribed Tecfidera so far, and that more than 30 percent of new patients in the fourth quarter had not been on prior therapies, such as Biogen's injectable MS drugs Avonex and Tysabri.Biogen said its fourth-quarter profit jumped 57 percent, fueled by Tecfidera. The net profit rose to $457.3 million, or $1.92 per share, from $292.1 million, or $1.23 per share, a year earlier. Excluding special items, Biogen earned $2.34 per share, topping analysts' average expectations by 6 cents, according to Thomson Reuters I/B/E/S.Total revenue rose 39 percent to $1.97 billion, edging past the average analyst estimate of $1.93 billion. Avonex sales were flat at $751 million, but were about 3 percent ahead of analysts' expectations.Tysabri sales of $427 million fell well short of Wall Street estimates of about $470 million, in part due to an Italian reimbursement dispute that was expected to be settled in the quarter but carried over to 2014.Biogen said Tysabri discontinuation rates improved in the quarter, but that it remained under pressure in Europe due to competition from oral medicines sold by Novartis and Sanofi.The company said it continued to expect approvals this year for hemophilia drugs Eloctate and Alprolix, putting Biogen into that market for the first time. It sees a mid-year launch of Plegridy, a new interferon drug for relapsing MS.Biogen Idec shares rose $5.79 to $311.44 in afternoon trading on Nasdaq.(Reporting by Bill Berkrot in New York and Esha Dey in Bangalore; Editing by Savio D'Souza and Jeffrey Benkoe)",2014-01-29,BIIB,"Wed Jan 29, 2014 | 1:05pm EST",Biogen profit rises as new multiple sclerosis drug shines,http://www.reuters.com//article/us-biogen-results-idUSBREA0S0UE20140129?type=companyNews
4,"  By Bill BerkrotJan 29 Biogen Idec Inc said on Wednesday its new, high-profile oral multiple sclerosis drug Tecfidera had sales of $398 million in the fourth quarter, easily exceeding estimates for a third successive quarter and keeping it on track to top $1 billion in its first year on the market.Some of those sales were due to U.S. inventory stocking ahead of a 10 percent Tecfidera price increase in December. Biogen said underlying patient demand for the drug represented about $348 million of the U.S. sales, still ahead of analysts' consensus expectations of about $335 million.Biogen provided forecasts for 2014 that were likely to be viewed as a mixed bag, with revenue growth projections ahead of Wall Street expectations but an earnings outlook that fell short of the current analysts' view.The company forecast revenue growth of about 22 percent to 25 percent and earnings of $11 to $11.20 per share, excluding items. Analysts, on average, were looking for revenue growth of about 20 percent and earnings of $11.63 per share, according to Thomson Reuters I/B/E/S.""The guidance was very robust on the top line,"" said Cowen and Co analyst Eric Schmidt. ""A conservative management team like Biogen starting the year off with guidance that's significantly above consensus, that's a strong signal."" The earnings forecast shortfall was likely due to $200 million in the research and development budget that the company has earmarked for future business development, Schmidt said.""The EPS guidance appears conservative in light of revenue growth expectations,"" Sanford Bernstein analyst Geoffrey Porges said in a note. ""Historically, Biogen has been able to beat initial guidance by 7 percent in the top line and 12 percent in the bottom line.""Investors gave Biogen management the benefit of the doubt, sending shares up nearly 2 percent on a down day for the broader markets. Biogen was one of the best performers of 2013, with the stock soaring more than 90 percent.Investor focus has been squarely on the performance of Tecfidera, which has become the top-selling oral MS treatment in the United States despite being third to market. The company expects European approval in the coming days or weeks, which would be another major catalyst for sales. Biogen said it was set to begin selling the drug in Germany as soon as European Union approval comes through with subsequent launches on a country-by-country basis as reimbursement is secured. The drug is already approved in Australia and Canada.Biogen said more than 6,000 doctors have prescribed Tecfidera so far, and that more than 30 percent of new patients in the fourth quarter had not been on prior therapies, such as Biogen's injectable MS drugs Avonex and Tysabri.Biogen said its fourth-quarter profit jumped 57 percent, fueled by Tecfidera. The net profit rose to $457.3 million, or $1.92 per share, from $292.1 million, or $1.23 per share, a year earlier. Excluding special items, Biogen earned $2.34 per share, topping analysts' average expectations by 6 cents, according to Thomson Reuters I/B/E/S. Total revenue rose 39 percent to $1.97 billion, edging past the average analyst estimate of $1.93 billion.Avonex sales were flat at $751 million, but were about 3 percent ahead of analysts' expectations.Tysabri sales of $427 million fell well short of Wall Street estimates of about $470 million, in part due to an Italian reimbursement dispute that was expected to be settled in the quarter but carried over to 2014.Biogen said Tysabri discontinuation rates improved in the quarter, but that it remained under pressure in Europe due to competition from oral medicines sold by Novartis and Sanofi.The company said it continued to expect approvals this year for hemophilia drugs Eloctate and Alprolix, putting Biogen into that market for the first time. It sees a mid-year launch of Plegridy, a new interferon drug for relapsing MS.Biogen Idec shares rose $5.79 to $311.44 in afternoon trading on Nasdaq.",2014-01-29,BIIB,"Wed Jan 29, 2014 | 1:04pm EST",UPDATE 3-Biogen profit rises as new multiple sclerosis drug shines,http://www.reuters.com//article/biogen-results-idUSL2N0L31KX20140129?type=companyNews
5,"  (Corrects to shares fell, rather than rose, in last paragraph)By Bill BerkrotJan 29 Biogen Idec Inc said on Wednesday its new, high-profile oral multiple sclerosis drug Tecfidera had sales of $398 million in the fourth quarter, easily exceeding estimates for a third successive quarter and keeping it on track to top $1 billion in its first year on the market.Some of those sales were due to U.S. inventory stocking ahead of a 10 percent Tecfidera price increase in December. Biogen said underlying patient demand for the drug represented about $348 million of the U.S. sales, still ahead of analysts' consensus expectations of about $335 million.Biogen provided forecasts for 2014 that were likely to be viewed as a mixed bag, with revenue growth projections ahead of Wall Street expectations but an earnings outlook that fell short of the current analysts' view.The company forecast revenue growth of about 22 percent to 25 percent and earnings of $11 to $11.20 per share, excluding items. Analysts, on average, were looking for revenue growth of about 20 percent and earnings of $11.63 per share, according to Thomson Reuters I/B/E/S.""The guidance was very robust on the top line,"" said Cowen and Co analyst Eric Schmidt. ""A conservative management team like Biogen starting the year off with guidance that's significantly above consensus, that's a strong signal."" The earnings forecast shortfall was likely due to $200 million in the research and development budget that the company has earmarked for future business development, Schmidt said.""The EPS guidance appears conservative in light of revenue growth expectations,"" Sanford Bernstein analyst Geoffrey Porges said in a note. ""Historically, Biogen has been able to beat initial guidance by 7 percent in the top line and 12 percent in the bottom line.""Investor focus has been squarely on the performance of Tecfidera, which has become the top-selling oral MS treatment in the United States despite being third to market. The company expects European approval in the coming days or weeks, which would be another major catalyst for sales. Biogen said more than 6,000 doctors have prescribed Tecfidera so far, and that more than 30 percent of new patients in the fourth quarter had not been on prior therapies, such as Biogen's injectable MS drugs Avonex and Tysabri.Biogen said its fourth-quarter profit jumped 57 percent, fueled by Tecfidera. The net profit rose to $457.3 million, or $1.92 per share, from $292.1 million, or $1.23 per share, a year earlier.Excluding special items, Biogen earned $2.34 per share, topping analysts' average expectations by 6 cents, according to Thomson Reuters I/B/E/S. Total revenue rose 39 percent to $1.97 billion, edging past the average analyst estimate of $1.93 billion.Avonex sales were flat at $751 million, but were about 3 percent ahead of analysts' expectations.Tysabri sales of $427 million fell well short of Wall Street estimates of about $470 million, in part due to an Italian reimbursement dispute that was expected to be settled in the quarter but carried over to 2014.Biogen said Tysabri discontinuation rates improved in the quarter, but that the drug remained under pressure in Europe due to competition from oral medicines.The company said it continued to expect approvals this year for hemophilia drugs Eloctate and Alprolix, putting Biogen into that market for the first time. It sees a mid-year launch of Plegridy, a new interferon drug for relapsing MS.Biogen Idec shares fell to $298.71 in premarket trading from Tuesday's Nasdaq close at $305.65.   (Reporting by Bill Berkrot in New York and Esha Dey in Bangalore; Editing by Savio D'Souza and Jeffrey Benkoe)",2014-01-29,BIIB,"Wed Jan 29, 2014 | 9:13am EST",CORRECTED-UPDATE 2-Biogen profit rises as new multiple sclerosis drug shines,http://www.reuters.com//article/biogen-results-idUSL3N0L33NR20140129?type=companyNews
6,"  (For more market insights, including options activity, click on  ; for the Day Ahead newsletter link.reuters.com/mex49s)** BOEING CO, Tuesday close $137.09The planemaker's reported strong fourth-quarter results.** DOW CHEMICAL CO, Tuesday close $43.06, +7.76 pct premarketThe largest U.S. chemical maker by sales raised its dividend 15 percent and expanded its share buyback program to $4.5 billion from $1.5 billion after posting a fourth-quarter profit.** TUPPERWARE BRANDS CORP, Tuesday close $83.77The kitchen storage container maker reported lower-than-expected quarterly results hurt by weak sales in established markets such as Germany, United States and Canada.** ROCKWELL AUTOMATION INC, Tuesday close $115.01The company, which makes systems that help factories run smoothly, posted a 23 percent rise in quarterly profit, partly due to sales increases in the United States and Asia Pacific.** EMC CORP, Tuesday close $25.38, -2.13 pct premarketProfit rose 17 percent in the fourth quarter due to higher sales of the company's data storage equipment.** BIOGEN IDEC INC, Tuesday close $305.65, -0.21 pct premarketThe company said fourth-quarter profit soared 57 percent, helped by strong sales of its new multiple sclerosis drug, Tecfidera.** PRAXAIR INC, Tuesday close $125.7, +0.37 pct premarketThe largest industrial gas supplier in the Americas raised its dividend by 8 percent and said it would buy back stock worth $1.5 billion, after reporting a 15 percent rise in quarterly profit.** SOUTHERN CO, Tuesday close $83.77The power company reported a 6 percent rise in fourth-quarter revenue.** AT&T INC, Tuesday close $33.7, -2.94 pct premarketThe telecom company's fourth-quarter wireless subscriber growth and its free cash flow target lagged well behind analyst estimates. Chief Executive Randall Stephenson said a U.S. spying scandal was hurting the company's business.At least one brokerage cut its rating on the stock.** FORD MOTOR CO, Tuesday close $15.72, -0.57 pct premarket The company reported higher-than-expected quarterly results on Tuesday as earnings in its core North American market fell less steeply than Wall Street expected, but declining vehicle prices there raised concerns about 2014.Ford joined a growing number of multinational companies expressing concern that economic turmoil in Venezuela and Argentina could spell trouble for 2014 profits. High inflation in the two countries, along with concern about how their governments will try to steady their economies has Ford rethinking its annual forecasts for South America.** PFIZER INC, Tuesday close $30.42The company reported better-than-expected fourth-quarter results on Tuesday, helped by higher sales of drugs for cancer, nerve pain and arthritis, and forecast 2014 earnings in line with Wall Street estimates.** VERIZON COMMUNICATIONS INC, Tuesday close $47.36** VODAFONE GROUP PLC, Tuesday close $37.17, +0.35 pct premarketShareholders of both Vodafone and Verizon approved Verizon's $130 billion takeover of their Verizon Wireless venture on Tuesday, paving the way for the third-biggest deal in corporate history.** WAL-MART STORES INC, Tuesday close $74.67, +1.25 pct premarketThe U.S. retailer said it will upgrade its vendor compliance process in China, requiring more documentation and making use of a computer-based system to help suppliers manage associated paperwork.** APPLE INC, Tuesday close $506.5, +0.15 pct premarketThe company may have to wait a little longer for its watershed moment in China. A disappointing March-quarter revenue forecast, coupled with surprisingly weak holiday iPhone sales, suggest pundits may have over-estimated initial demand from China Mobile's 700 million-plus subscribers, a key factor that has pushed its shares 18 percent higher in the fourth quarter. ** CIRRUS LOGIC INC, Tuesday close $18.74, -5 pct after marketThe company, whose audio chips are used in Apple's iPhones and iPads, forecast current-quarter revenue that missed analysts' average estimate.** VMWARE INC, Tuesday close $94.94, +0.06 pct premarketThe virtualization software maker reported a slightly better-than-expected quarterly profit helped by higher revenue from license sales.At least four brokerages raised their price targets on the stock.** ELECTRONIC ARTS INC, Tuesday close $24.87, +4.54 pct premarketThe videogame publisher lowered its 2015 revenue forecast on Tuesday as the arrival of new Xbox One and PlayStation 4 consoles has hurt sales of games for older consoles sooner than the industry had anticipated.At least two brokerages raised their price targets on the stock.** CHECK POINT SOFTWARE TECHNOLOGIES LTD, Tuesday close $65.93, +3.14 pct premarketThe computer security specialist topped fourth-quarter profit and revenue forecasts and said it sees growth continuing into 2014 on strong demand for high-end products that protect data centers.** AMGEN INC, Tuesday close $120.7, +2.4 pct after market The world's biggest biotechnology company on Tuesday reported a quarterly profit that beat Wall Street forecasts as it gained full control of its blockbuster rheumatoid arthritis drug Enbrel and recorded solid growth in sales of newer products. The company also announced another positive result from a late-stage study of its high-profile experimental cholesterol drug, evolocumab.At least four brokerages raised their price targets on the stock.** ABERCROMBIE & FITCH CO, Tuesday close $36.27The teen apparel retailer stripped Chief Executive Mike Jeffries of his chairman duties, bowing to investor pressure to reduce his control over the struggling company.** YAHOO INC, Tuesday close $38.22, -4.50 pct premarketThe company's online ad prices slid again in the fourth quarter and Alibaba, the Chinese e-commerce giant in which it owns a big stake, saw revenue growth decelerate from its recent rip-roaring pace. Overall revenue fell 6 percent in the last three months of the year, the company said.At least two brokerages cut their price targets on the stock.** QUALCOMM INC, Tuesday close $71.99, -1.93 pct premarketThe world's biggest cellphone chip maker may be hit with a record fine exceeding $1 billion in a Chinese antitrust probe, raising the specter of harsh penalties for foreign firms facing an increasingly aggressive regulator.** NOVARTIS AG, Tuesday close $79.56, -100.00 pct premarketThe Basel-based company is looking at options, such as joint ventures, for three smaller businesses to bring them in line with its world-leading pharmaceutical operations, it said, in a review due to be completed by the end of summer.** TEVA PHARMACEUTICAL INDUSTRIES, Tuesday close $44.1, +3.40 pct premarketTeva's shares open higher after the company said  U.S. regulators approved its three-times-a-week multiple sclerosis drug Copaxone. The world's largest generics drugmaker has been banking on a three-times-a-week version of Copaxone ahead of possible competition from generic rivals of the drug this year.** MEDIVATION INC, Tuesday close $75.78, +13.49 pct premarketThe company's drug for advanced prostate cancer significantly delayed progression of the disease and extended survival in a large, late stage study of patients who had not yet received chemotherapy, likely paving the way for an expanded approval of the medicine.** FACEBOOK INC, Tuesday close $55.14, +0.11 pct premarketThe company's executive in charge of revolutionizing data centers on Tuesday lauded low-energy server technology that is expected to compete against heavyweight Intel Corp.** COMMVAULT SYSTEMS, Tuesday close $76.1The company, which makes software applications to manage data and information, is scheduled to report third-quarter results before the bell.** MEREDITH CORP, Tuesday close $44.49The media and marketing company is expected to report second-quarter results before the bell.   (Compiled by Natalie Grover in Bangalore; Editing by Joyjeet Das)",2014-01-29,BIIB,"Wed Jan 29, 2014 | 7:43am EST","MARKET PULSE-Boeing, Dow, Tupperware, EMC, Biogen, Praxair, Rockwell",http://www.reuters.com//article/markets-usa-stocks-pulse-idUSL3N0L24SU20140129?type=companyNews
7,"  Jan 29 Biogen Idec Inc on Wednesday said fourth-quarter profit soared 57 percent, helped by strong sales of its new multiple sclerosis drug, Tecfidera.The U.S. biotechnology company's net profit rose to $457.3 million, or $1.92 per share, in the quarter ended Dec. 31, from $292.1 million, or $1.23 per share, a year earlier. Excluding special items, Biogen earned $2.34 per share. Analysts on average expected $2.28 per share, according to Thomson Reuters I/B/E/S.  The high-profile multiple sclerosis drug had sales of $398 million for the period. Total sales rose 39 percent to $1.97 billion, beating the analysts' average estimate of $1.93 billion.",2014-01-29,BIIB,"Wed Jan 29, 2014 | 6:50am EST",Biogen Idec profit rises as new multiple sclerosis drug shines,http://www.reuters.com//article/biogen-results-idUSL3N0L33GR20140129?type=companyNews
8,"   By Bill Berkrot  Biogen Idec Inc's high profile new multiple sclerosis drug Tecfidera won European approval, the company said on Monday, opening the door for its launch in one of the world's largest markets for MS treatments.The approval was widely expected after the European Medicines Agency endorsed the drug in November. European health regulators typically follow EMA recommendations within a couple of months.Tecfidera will be the third oral MS drug available in Europe. However, if its impressive early performance in the United States is any indication, the Biogen drug is likely to surpass sales of Novartis' Gilenya and Aubagio from Sanofi.Tecfidera has consistently shattered Wall Street sales forecasts and is well on the way to racking up more than $1 billion in sales in its first year on the market.Biogen reported Tecfidera sales of $398 million for the fourth quarter of 2013, only the medicine's third full quarter since winning U.S. approval. It is also approved for sale in Canada and Australia. The introduction in Europe will start in the coming weeks, although its full roll-out will take place over the course of this year and next as Biogen must negotiate reimbursement for the treatment on a country by country basis.First up will be Germany, ""where you can get pricing reimbursement rather quickly,"" Tony Kingsley, Biogen's head of global commercial operations, said in a telephone interview. ""We're ready to go,"" said Kingsley, adding that Biogen's Germany sales force for the new drug has been in place for months.Tecfidera's prospects in Europe had been in doubt at one stage because of uncertainty about protection against generic copies. This issue was resolved in November when Biogen won 10 years of regulatory exclusivity.There are an estimated 400,000 people in Europe with multiple sclerosis. Biogen declined to comment on what type of market share Tecfidera was likely to seize in Europe. ""We're very encouraged by our U.S. experience,"" Kingsley said.Robert W Baird analyst Christopher Raymond forecast 2014 Tecfidera sales outside the United States of $291 million.Looking further ahead, analysts on average forecast annual worldwide sales of the drug reaching some $6 billion by 2019, with more than a third of that coming from Europe and other non-U.S. markets, according to consensus forecasts compiled by Thomson Reuters Pharma.(Additional reporting by Ben Hirschler)",2014-02-03,BIIB,"Mon Feb 3, 2014 | 9:29am EST",Biogen multiple sclerosis drug Tecfidera wins European approval,http://www.reuters.com//article/us-biogen-europe-idUSBREA120V920140203?type=companyNews
9,"   By Bill Berkrot  Feb 3 Biogen Idec Inc's high profile new multiple sclerosis drug Tecfidera won European approval, the company said on Monday, opening the door for its launch in one of the world's largest markets for MS treatments.The approval was widely expected after the European Medicines Agency endorsed the drug in November. European health regulators typically follow EMA recommendations within a couple of months.Tecfidera will be the third oral MS drug available in Europe. However, if its impressive early performance in the United States is any indication, the Biogen drug is likely to surpass sales of Novartis' Gilenya and Aubagio from Sanofi.Tecfidera has consistently shattered Wall Street sales forecasts and is well on the way to racking up more than $1 billion in sales in its first year on the market. Biogen reported Tecfidera sales of $398 million for the fourth quarter of 2013, only the medicine's third full quarter since winning U.S. approval. It is also approved for sale in Canada and Australia.The introduction in Europe will start in the coming weeks, although its full roll-out will take place over the course of this year and next as Biogen must negotiate reimbursement for the treatment on a country by country basis.First up will be Germany, ""where you can get pricing reimbursement rather quickly,"" Tony Kingsley, Biogen's head of global commercial operations, said in a telephone interview. ""We're ready to go,"" said Kingsley, adding that Biogen's Germany sales force for the new drug has been in place for months.Tecfidera's prospects in Europe had been in doubt at one stage because of uncertainty about protection against generic copies. This issue was resolved in November when Biogen won 10 years of regulatory exclusivity. There are an estimated 400,000 people in Europe with multiple sclerosis. Biogen declined to comment on what type of market share Tecfidera was likely to seize in Europe.""We're very encouraged by our U.S. experience,"" Kingsley said.Robert W Baird analyst Christopher Raymond forecast 2014 Tecfidera sales outside the United States of $291 million.Looking further ahead, analysts on average forecast annual worldwide sales of the drug reaching some $6 billion by 2019, with more than a third of that coming from Europe and other non-U.S. markets, according to consensus forecasts compiled by Thomson Reuters Pharma.",2014-02-03,BIIB,"Mon Feb 3, 2014 | 9:27am EST",Biogen multiple sclerosis drug Tecfidera wins European approval,http://www.reuters.com//article/biogen-europe-idUSL5N0L82ID20140203?type=companyNews
