,Article,Date,Symbol,Time,Title,Url
0,"  (Adds Breaking Views link)By Esha Vaish and Sagarika JaisinghaniFeb 5 British drinks can maker Rexam Plc  said it is in talks to be bought by U.S. rival Ball Corp  for 4.3 billion pounds ($6.6 billion), a deal that would form an industry giant better equipped to withstand rising aluminium costs.Rexam said it had received a proposal from Broomfield, Colorado-based Ball valuing it at 610 pence per share. Rexam's London-traded shares closed significantly lower, at 541.5 pence.Under UK takeover rules, Ball has until March 5 to say whether it will make a formal offer or walk away. Ball executives declined to take questions about the proposal during a post-earnings conference call on Thursday.Packaging deals are heating up as low interest rates and robust cash flows coincide with growing demand. Last week, corrugated box makers MeadWestvaco Corp and Rock-Tenn Co  agreed to form a $16 billion company. Rexam and Ball, suppliers to Coca-Cola Co and Anheuser-Busch InBev, are two of the three big players in the global beverage can market. Each controls slightly more than a fifth of the market.Their nearest competitor, Crown Holdings Inc, has a 19 percent share, according to Vertical Research Partners. ""The combination, strategically, just makes a ton of sense,"" said Macquarie Research analyst Albert Kabili.It might also, however, spark antitrust concerns. Kabili said both companies would probably have to divest some assets given the potential size of their combined market share in the United States, Brazil and Europe.Jonathan Klarfeld, partner at law firm Ropes & Gray LLP, said consolidation in the U.S. packaging industry was ""one of the ways to bring additional value"" out of a sector with modest growth prospects. Can makers are also contending with record-high aluminium premiums. The cost of getting the metal out of storage is expected to peak again by mid-2015 due to a supply deficit in the United States and Europe.Ball's cash-and-stock proposal values Rexam at 4.3 billion pounds, based on Rexam's 704.8 million outstanding shares. Rexam had net debt of 1.1 billion pounds as of June 30.Jefferies & Co analyst Philip Ng said the proposal, at a premium of 36 percent to Rexam's Wednesday close, was more expensive than other deals in the metal packaging sector.Ball would be paying 10 times Rexam's expected 2014 enterprise value to EBITDA, said Baird Equity Research analyst Ghansham Panjabi.  ($1 = 0.6538 pounds)   (Editing by Savio D'Souza and Robin Paxton)",2015-02-05,BLL,"Thu Feb 5, 2015 | 6:58pm EST",UPDATE 4-Drinks can maker Ball in talks to buy UK rival Rexam,http://www.reuters.com//article/rexam-ma-idUSL4N0VF57S20150205?type=companyNews
1,"   By Esha Vaish and Sagarika Jaisinghani  Feb 5 British drinks can maker Rexam Plc  said it is in talks to be bought by U.S. rival Ball Corp  for 4.3 billion pounds ($6.6 billion), a deal that would form an industry giant better equipped to withstand rising aluminium costs.Rexam said it had received a proposal from Broomfield, Colorado-based Ball valuing it at 610 pence per share. Rexam's London-traded shares closed significantly lower, at 541.5 pence.Under UK takeover rules, Ball has until March 5 to say whether it will make a formal offer or walk away. Ball executives declined to take questions about the proposal during a post-earnings conference call on Thursday.Packaging deals are heating up as low interest rates and robust cash flows coincide with growing demand. Last week, corrugated box makers MeadWestvaco Corp and Rock-Tenn Co  agreed to form a $16 billion company. Rexam and Ball, suppliers to Coca-Cola Co and Anheuser-Busch InBev, are two of the three big players in the global beverage can market. Each controls slightly more than a fifth of the market.Their nearest competitor, Crown Holdings Inc, has a 19 percent share, according to Vertical Research Partners.""The combination, strategically, just makes a ton of sense,"" said Macquarie Research analyst Albert Kabili. It might also, however, spark antitrust concerns. Kabili said both companies would probably have to divest some assets given the potential size of their combined market share in the United States, Brazil and Europe.Jonathan Klarfeld, partner at law firm Ropes & Gray LLP, said consolidation in the U.S. packaging industry was ""one of the ways to bring additional value"" out of a sector with modest growth prospects. Can makers are also contending with record-high aluminium premiums. The cost of getting the metal out of storage is expected to peak again by mid-2015 due to a supply deficit in the United States and Europe.Ball's cash-and-stock proposal values Rexam at 4.3 billion pounds, based on Rexam's 704.8 million outstanding shares. Rexam had net debt of 1.1 billion pounds as of June 30.Jefferies & Co analyst Philip Ng said the proposal, at a premium of 36 percent to Rexam's Wednesday close, was more expensive than other deals in the metal packaging sector.Ball would be paying 10 times Rexam's expected 2014 enterprise value to EBITDA, said Baird Equity Research analyst Ghansham Panjabi.  ($1 = 0.6538 pounds)",2015-02-05,BLL,"Thu Feb 5, 2015 | 3:43pm EST",Drinks can maker Ball in talks to buy UK rival Rexam,http://www.reuters.com//article/rexam-ma-idUSL1N0VF2PN20150205?type=companyNews
2,"   By Esha Vaish and Sagarika Jaisinghani  British drinks can maker Rexam Plc REX.L said it is in talks to be bought by U.S. rival Ball Corp (BLL.N) for 4.3 billion pounds ($6.6 billion), a deal that would form an industry giant better equipped to withstand rising aluminum costs.Rexam said it had received a proposal from Broomfield, Colorado-based Ball valuing it at 610 pence per share. Rexam's London-traded shares closed significantly lower, at 541.5 pence.Under UK takeover rules, Ball has until March 5 to say whether it will make a formal offer or walk away. Ball executives declined to take questions about the proposal during a post-earnings conference call on Thursday.Packaging deals are heating up as low interest rates and robust cash flows coincide with growing demand. Last week, corrugated box makers MeadWestvaco Corp MWV.N and Rock-Tenn Co RKT.N agreed to form a $16 billion company.Rexam and Ball, suppliers to Coca-Cola Co (KO.N) and Anheuser-Busch InBev (ABI.BR), are two of the three big players in the global beverage can market. Each controls slightly more than a fifth of the market. Their nearest competitor, Crown Holdings Inc (CCK.N), has a 19 percent share, according to Vertical Research Partners.""The combination, strategically, just makes a ton of sense,"" said Macquarie Research analyst Albert Kabili.It might also, however, spark antitrust concerns. Kabili said both companies would probably have to divest some assets given the potential size of their combined market share in the United States, Brazil and Europe. Jonathan Klarfeld, partner at law firm Ropes & Gray LLP, said consolidation in the U.S. packaging industry was ""one of the ways to bring additional value"" out of a sector with modest growth prospects.Can makers are also contending with record-high aluminum premiums. The cost of getting the metal out of storage is expected to peak again by mid-2015 due to a supply deficit in the United States and Europe. Ball's cash-and-stock proposal values Rexam at 4.3 billion pounds, based on Rexam's 704.8 million outstanding shares. Rexam had net debt of 1.1 billion pounds as of June 30.Jefferies & Co analyst Philip Ng said the proposal, at a premium of 36 percent to Rexam's Wednesday close, was more expensive than other deals in the metal packaging sector.Ball would be paying 10 times Rexam's expected 2014 enterprise value to EBITDA, said Baird Equity Research analyst Ghansham Panjabi. ($1 = 0.6538 pounds) (Editing by Savio D'Souza and Robin Paxton)",2015-02-05,BLL,"Thu Feb 5, 2015 | 2:27pm EST",Drinks can maker Ball in talks to buy UK rival Rexam,http://www.reuters.com//article/us-rexam-m-a-idUSKBN0L91GH20150205?type=companyNews
3,"  Feb 5 The following bids, mergers, acquisitions and disposals were reported by 1200 GMT on Thursday:** Beverage can maker Rexam Plc said it was in talks to be potentially bought by U.S. rival Ball Corp in an offer that values the company at about 4.29 billion pounds ($6.54 billion).** Private equity firm Apollo Global Management LLC  is exploring a sale or initial public offering of Great Wolf Resorts Inc, the largest U.S. operator of indoor water parks, according to people familiar with the matter.** The Canadian province of Ontario has sold its remaining shares in General Motors Co for C$1.1 billion ($878.31 million), the Canadian Broadcasting Corp said on its website on Wednesday.** CBS Corp Chief Executive Leslie Moonves is discussing ways to buy out the broadcaster's controlling shareholder, National Amusements Inc, ahead of a potential deal with Viacom Inc, the New York Post reported, citing sources. ** Mike's Hard Lemonade Co, owner of one of the best known malt beverage brands in the United States, is in the early stages of exploring a sale that could value it at more than $1 billion, according to two people familiar with the matter.** The chairman of Hyundai Motor Co and his son on Thursday offered to sell a $1 billion stake in logistics affiliate Hyundai Glovis, a month after a similar attempt failed because investors questioned its rationale.** Italian mobile phone operator Wind, which is controlled by Russia's Vimpelcom, has started exclusive talks to sell its towers to Spain's Abertis, three sources close to the matter said on Thursday ** China's Anbang Insurance Group Co has signed an initial agreement to buy a controlling stake in South Korea's Tong Yang Life Insurance for around 1.1 trillion won ($1.01 billion), a South Korean newspaper reported on Thursday.** Ant Financial Services Group, an affiliate of China's Alibaba Group Holding Ltd, has agreed to buy 25 percent of Indian payment services provider One97 Communications, tapping into the country's smartphone and online industry boom. ** The UK government intends to place at least 40 million shares in Greencoat UK Wind Plc, a fund that invests in wind farms, via an accelerated bookbuilding to be launched immediately, one of the bookrunners on the deal said.* Verizon Communications is close to selling wireline assets worth $10 billion to regional telephone operator Frontier Communications Corp, a person familiar with the matter said on Wednesday.** AstraZeneca said on Thursday it would buy Actavis' branded respiratory drug business in the United States and Canada for an initial $600 million as it reported disappointing fourth-quarter earnings.** Banque Heritage said on Thursday it will buy client assets from British bank Standard Chartered for an undisclosed price, in a bid by the Swiss private bank to expand in emerging markets, Europe and the Middle East.** Under Armour Inc, which provides sports clothing and accessories, has acquired two mobile apps for about $560 million, moving deeper into the trendy ""connected fitness"" and wearable devices sphere.($1 = 1.2524 Canadian dollars)   (Compiled by Anannya Pramanick in Bengaluru)",2015-02-05,BLL,"Thu Feb 5, 2015 | 7:19am EST",Deals of the day- Mergers and acquisitions,http://www.reuters.com//article/deals-day-idUSL4N0VF4OY20150205?type=companyNews
4,"   By Robert Cole | LONDON  LONDON (Reuters Breakingviews) - London-listed Rexam  is going out on a limb over sale talks with U.S. rival Ball . Beyond disclosing discussions that may or may not go anywhere, the UK company revealed the deal price under consideration, some 4.3 billion pounds ($6.6 billion). The decision looks brave - or designed to force Ball's hand.Rexam could have simply acknowledged that discussions were taking place, as Ball did. Instead it mentioned a price of 610 pence per share and possible consideration that is two-thirds cash and one-third new Ball stock.As a result, investors seem to think a deal is more likely to be done than not. Rexam's shares rocketed about 90 pence or 20 percent on Thursday, more than halfway to the mooted offer price from their 447.60 pence closing level on Wednesday.Alongside the uncertainty of whether the two companies can agree a deal, there are huge potential antitrust issues. Rexam and Ball are two of the three largest drinks can makers in the world, each with around 20 percent market share according to Reuters. Jefferies analysts reckon that in some markets - including North America, Europe (excluding Russia), and Brazil, the two companies share as much as two-thirds of the business.The fact that Ball is even considering paying a premium approaching 40 percent above Rexam's undisturbed trading price suggests chunky synergies would be in the offing. But huge cost cuts imply heavily overlapping activities. That could be a red flag for competition authorities. The protagonists may think they can find ingenious ways to jump antitrust hurdles while preserving the commercial and operational logic of merging. But watchdogs in different jurisdictions tend to interpret similar data in different ways. Even in a single market, the United States, AT&T a few years back underestimated trustbusters' determination to prevent it taking over T-Mobile US, a rival top-four cellphone carrier.AT&T had to pay the Deutsche Telekom subsidiary a huge break fee. Securing one of those from Ball if a deal founders on antitrust concerns could be one goal of Rexam's bold announcement. Having had their hopes built up, investors in the UK group may extract a penalty of a different sort if the full-on tactics turn sour.  CONTEXT NEWS - U.S. packaging company Ball said on Feb. 5 that it is in talks with UK-based Rexam about a possible takeover.- Rexam said it was ""in discussions with (Ball) which may or may not lead to a formal offer being made."" It said that the proposal ""values Rexam at 610 pence per each Rexam share based on a consideration of approximately two-thirds in cash and one-third in new Ball shares."" That would value Rexam at 4.3 billion pounds ($6.6 billion).- Rexam shares rose 90.4 pence, or 20.2 percent, to 538 pence on Feb. 5. Stock in Colorado based Ball climbed about 9 percent to around $72 a share in afternoon trade in New York.(The author is a Reuters Breakingviews columnist. The opinions expressed are his own.)",2015-02-06,BLL,"Fri Feb 6, 2015 | 9:56am EST",Breakingviews: Can maker dons tin hat to reveal $6.6 bln approach,http://www.reuters.com//article/rexam-ma-breakingviews-idUSL1N0VG14U20150206?type=companyNews
5,"   By Esha Vaish and Sagarika Jaisinghani  British drinks can maker Rexam Plc REX.L said it is in talks to be bought by U.S. rival Ball Corp (BLL.N) for 4.3 billion pounds ($6.6 billion), a deal that would form an industry giant better equipped to withstand rising aluminum costs.Rexam said it had received a proposal from Broomfield, Colorado-based Ball valuing it at 610 pence per share. Rexam's London-traded shares closed significantly lower, at 541.5 pence.Under UK takeover rules, Ball has until March 5 to say whether it will make a formal offer or walk away. Ball executives declined to take questions about the proposal during a post-earnings conference call on Thursday.Packaging deals are heating up as low interest rates and robust cash flows coincide with growing demand. Last week, corrugated box makers MeadWestvaco Corp MWV.N and Rock-Tenn Co RKT.N agreed to form a $16 billion company.Rexam and Ball, suppliers to Coca-Cola Co (KO.N) and Anheuser-Busch InBev (ABI.BR), are two of the three big players in the global beverage can market. Each controls slightly more than a fifth of the market. Their nearest competitor, Crown Holdings Inc (CCK.N), has a 19 percent share, according to Vertical Research Partners.""The combination, strategically, just makes a ton of sense,"" said Macquarie Research analyst Albert Kabili.It might also, however, spark antitrust concerns. Kabili said both companies would probably have to divest some assets given the potential size of their combined market share in the United States, Brazil and Europe. Jonathan Klarfeld, partner at law firm Ropes & Gray LLP, said consolidation in the U.S. packaging industry was ""one of the ways to bring additional value"" out of a sector with modest growth prospects.Can makers are also contending with record-high aluminum premiums. The cost of getting the metal out of storage is expected to peak again by mid-2015 due to a supply deficit in the United States and Europe. Ball's cash-and-stock proposal values Rexam at 4.3 billion pounds, based on Rexam's 704.8 million outstanding shares. Rexam had net debt of 1.1 billion pounds as of June 30.Jefferies & Co analyst Philip Ng said the proposal, at a premium of 36 percent to Rexam's Wednesday close, was more expensive than other deals in the metal packaging sector.Ball would be paying 10 times Rexam's expected 2014 enterprise value to EBITDA, said Baird Equity Research analyst Ghansham Panjabi. ($1 = 0.6538 pounds) (Editing by Savio D'Souza and Robin Paxton)",2015-02-06,BLL,"Thu Feb 5, 2015 | 7:12pm EST",Drinks can maker Ball in talks to buy UK rival Rexam,http://www.reuters.com//article/us-rexam-m-a-idUSKBN0L91GH20150206?type=companyNews
6,"  Beverage can maker Ball Corp (BLL.N) is close to a deal to buy UK-based Rexam Plc REX.L this week, according to people familiar with the matter, the Wall Street Journal reported.Rexam said on Feb. 5 it was in talks with Ball Corp for a cash-and-stock deal that valued Rexam at 610 pence per share. That would value Rexam at about 4.3 billion pounds ($6.63 billion).Rexam and Ball, suppliers to Coca-Cola Co (KO.N) and Anheuser-Busch InBev (ABI.BR), are two of the three big players in the global beverage can market. Each controls slightly more than a fifth of the market. Rexam and Ball Corp executives were not immediately available for comment. Rexam reports results on Thursday.  ($1 = 0.6484 pounds)  (Reporting by Rohit T. K. in Bengaluru)",2015-02-18,BLL,"Wed Feb 18, 2015 | 1:46pm EST","Ball Corp, Rexam deal likely this week: WSJ",http://www.reuters.com//article/us-rexam-m-a-ball-idUSKBN0LM1WX20150218?type=companyNews
7,"  Feb 18 Beverage can maker Ball Corp is close to a deal to buy UK-based Rexam Plc this week, according to people familiar with the matter, the Wall Street Journal reported.Rexam said on Feb. 5 it was in talks with Ball Corp for a cash-and-stock deal that valued Rexam at 610 pence per share. That would value Rexam at about 4.3 billion pounds ($6.63 billion). Rexam and Ball, suppliers to Coca-Cola Co and Anheuser-Busch InBev, are two of the three big players in the global beverage can market. Each controls slightly more than a fifth of the market.  Rexam and Ball Corp executives were not immediately available for comment. Rexam reports results on Thursday.  ($1 = 0.6484 pounds)   (Reporting by Rohit T. K. in Bengaluru)",2015-02-18,BLL,"Wed Feb 18, 2015 | 1:44pm EST","Ball Corp, Rexam deal likely this week - WSJ",http://www.reuters.com//article/rexam-ma-ball-idUSL4N0VS3TS20150218?type=companyNews
8,"  (Adds Telecom Italia)Feb 19 The following bids, mergers, acquisitions and disposals were reported by 2115 GMT on Thursday:** British drinks can maker Rexam Plc said U.S. rival Ball Corp offered to buy the company in a cash-and-stock deal valued at about 4.43 billion pounds ($6.85 billion).** General Electric Co's 12.4-billion-euro ($14.08 billion) bid for Alstom SA's power equipment business is likely to face a full-scale investigation by EU antitrust regulators, three people familiar with the matter said.** German auto supplier Mahle GmbH said it agreed to buy rival Delphi Automotive Plc's air conditioning business, to expand its thermal management expertise as cars make greater use of electric motors and batteries which need special cooling. In a separate statement, Delphi said it had sold the business to Mahle for about $727 million.** Italian phone group Telecom Italia said on Thursday it would incorporate its Telecom Italia Media  unit after a buyout offer in shares, which it expects to complete by the end of September. ** French investment bank Natixis SA said it plans to buy a controlling stake in French asset manager DNCA for 549 million euros ($626 million) as it shifts focus to investment management and insurance.** German broadcaster ProSiebenSat 1 Media AG is in talks to buy Internet portal Verivox in a deal that could value the asset at up to 300 million euros ($343 million), Germany's Sueddeutsche Zeitung reported, citing industry sources.** Russian investment firm Proxima Capital Group said it did not plan to make an offer for JKX Oil & Gas Plc, two weeks after announcing its intention to consider an offer. ** Telecom Italia SpA will discuss a buyout of its TV broadcasting unit at a board meeting on Thursday, two sources familiar with the plan said, a move that could simplify the Italian phone group's corporate structure and help cut costs.** Morocco Attijariwafa Bank SA is in talks with the Ivory Coast government to buy an additional stake in Societe Ivoirienne de Banque (SIB), Attijariwafa's chief executive said. ** Brazil's antitrust regulator has reached a preliminary deal with Telefonica SA and the local broadband unit of Vivendi SA that could clear the way for their merger, according to a note published in the official gazette.** Samsung Electronics Co Ltd has bought U.S. mobile wallet startup LoopPay, signaling its intention to launch a smartphone payments service to compete with a recent offering from rival Apple Inc.** China's Anbang Insurance Group is buying an office tower in New York City from Blackstone Group LP for an undisclosed amount, Crain's New York Business reported, citing sources familiar with the deal.** Food distributing company Sysco Corp has hired top Washington litigators to defend itself if U.S. regulators file a lawsuit to stop its merger with rival US Foods , two sources close to the deal said.** Swedish private equity firm Ratos AB may sell Nordic Cinema Group, business daily Dagens Industri reported.     (Compiled by Amrutha Gayathri in Bengaluru)",2015-02-19,BLL,"Thu Feb 19, 2015 | 4:17pm EST",Deals of the day- Mergers and acquisitions,http://www.reuters.com//article/deals-day-idUSL4N0VT1BQ20150219?type=companyNews
9,"   By Esha Vaish and Roshni Menon  U.S. drinks can maker Ball Corp (BLL.N) agreed to buy British rival Rexam Plc REX.L in a sweetened 4.43 billion pounds ($6.9 billion) deal, creating an industry giant that can better manage capital spending and costs as aluminum premiums rise.The cash-and-stock deal would merge the world's two largest beverage can makers by volume into a combined entity that could serve as a single supplier to customers across diverse markets.It would also reduce warehousing and transport costs for the can makers, which are contending with record-high premiums, the surcharge they must pay to traders on top of cash metal prices to obtain aluminum.""If you want global supply and global prices, you need a Rexam plus Ball, because neither Rexam nor Ball individually are global,"" said Jefferies & Co analyst Sandy Morris.Shares of Rexam, which makes cans for Coca-Cola Co (KO.N) and Anheuser-Busch InBev SA (ABI.BR), rose more than 6 percent to 571.5 pence in early trading before falling back, and were significantly below the indicated price of 628 pence per share.Though analysts said the offer price was fair given challenges in the global packaging industry, they said antitrust concerns were limiting stock gains. Ball shares fell about 2 percent.""As there are so many regulatory approvals required for such a merger to go through, I think the market is discounting the probability of it happening,"" said Thomas Picherit of research firm AlphaValue.GLOBAL MARKET   Rexam and Ball each control slightly more than a fifth of the global market. Their nearest competitor, Crown Holdings Inc (CCK.N), has a 19 percent share, according to Vertical Research Partners.Together, Rexam and Ball account for 60 percent of beverage can supply in North America, 69 percent in Europe and 74 percent in Brazil, according to Morningstar analysts.If regulators demand the divestment of assets, Crown would be the front runner to buy them, three analysts said. Crown could not immediately be reached for comment.But Rexam Chief Executive Graham Chipchase said he did not expect the deal to encounter any significant regulatory hurdles.""If you look at the two businesses combined, there's a very complementary footprint,"" he said on a media call. ""There's not as much overlap as you might think."" Rexam, which on Thursday reported lower 2014 sales, has a big presence in Scandinavia, Russia and India. Ball has a strong foothold in China.Ball can walk away from the deal if required to divest assets that generate sales of more than $1.58 billion, but the company would have to pay a break-up fee of about 300 million pounds, roughly 7 percent of the deal value.Ball executives, speaking on a different conference call, said it was premature to assume divestments would be required. The company said it expects clearance by the first half of 2016.Broomfield, Colorado-based Ball said it expects the deal to result in synergies of $300 million by 2018. The company will finance the deal, which values Rexam at $8.4 billion including debt, using a 3.3 billion pounds bridge loan, a $3 billion revolving credit facility and $2.2 billion of new equity.Ratings agency Moody's said this month that a debt-financed deal could result in downgrades for Ball's $3.8 billion of rated debt.Ball, a company started by five brothers in 1880, retained Axinn, Veltrop and Harkrider as lead antitrust advisors on the deal.Rexam shareholders will get 407 pence in cash and 0.04568 new Ball shares for each Rexam share held. Rexam shareholders will own about 19 percent of Ball's shares.Ball said it would remain domiciled in the United States, shunning the tax inversion model in vogue last year, when some big U.S. companies bought out UK-listed firms to try and lower their corporate tax payments.Greenhill, Deutsche Bank and Goldman Sachs were financial advisers to Ball. Rothschild, Barclays, Credit Suisse and Merrill Lynch International were Rexam's advisers.Skadden, Arps, Slate, Meagher & Flom was lead legal adviser to Ball, while Freshfields Bruckhaus Deringer LLP advised Rexam. (Editing by Gopakumar Warrier and Vincent Baby)",2015-02-19,BLL,"Thu Feb 19, 2015 | 11:56am EST",Ball Corp to buy British drinks can maker Rexam for $6.9 billion,http://www.reuters.com//article/us-rexam-m-a-ball-idUSKBN0LN0E320150219?type=companyNews
