,Article,Date,Symbol,Time,Title,Url
0,"   By Ransdell Pierson  Bristol-Myers Squibb Co (BMY.N) on Friday reported stronger-than-expected quarterly results, but its shares fell because of investors' jitters about the pace at which the company is developing a promising new combination of cancer drugs.The stock dropped as much as 6.7 percent after company officials said on a conference call with investors that they were not yet planning a late-stage trial that would combine two of its high-profile drugs as a treatment for lung cancer.Instead, Bristol-Myers said it would continue a mid-stage study of the drugs - an experimental medicine called nivolumab and an approved melanoma treatment called Yervoy - before moving them into a larger Phase III lung cancer trial. Both drugs enhance the immune system's ability to fight cancer.""Many investors expected Bristol-Myers to rapidly advance the Nivo-Yervoy combo to Phase III, with the plans for such a move perhaps being announced as early as today,"" BMO analyst Alex Arfaei said in a research note.The company's slower timetable might be interpreted as a sign of caution or suggest a lack of ""synergy"" between the two drugs when targeting lung cancer, he said.Results of the mid-stage trial, called Checkmate-012, are expected to be released at a cancer meeting in late May or early June.""We believe today's news is incrementally positive for Merck & Co,"" (MRK.N) Arfaei said, which is developing a rival drug in the same PD-1 inhibitor class as nivolumab.Shares of Bristol were down 3.7 percent at $51.93 in afternoon trading after dropping as low as $50.35. Merck was up 0.2 percent at $51.71 amid a sharp downturn for the broad stock market.ELIQUIS SALES JUMP  In announcing its fourth-quarter results, Bristol-Myers said it had benefited from cost cuts and growing sales of its treatments for cancer, blood clots and diabetes.Sales increased sharply for Eliquis, a closely watched new blood clot preventer, but the product is off to a far slower start than Wall Street had hoped.Eliquis, which is used to prevent strokes among patients with an irregular heartbeat condition called atrial fibrillation, generated sales of $71 million, up from $41 million in the prior quarter.But when the pill was approved in late 2012, analysts had predicted sales would eventually reach $3 billion to $5 billion a year.""We're waiting for Eliquis to hit an inflection point, but it hasn't hit that big pop yet,"" said Morningstar analyst Damien Conover. ""It will still get there, to $5 billion."" Eliquis, which Bristol-Myers markets with Pfizer Inc (PFE.N), proved safer and more effective in clinical trials than the standard oral treatment, warfarin, in preventing strokes among patients with atrial fibrillation.Many patients instead are taking two new blood clot preventers that were approved before Eliquis - Pradaxa from Boehringer Ingelheim and Xarelto from Johnson & Johnson (JNJ.N) and Bayer AG (BAYGn.DE). But many industry analysts and doctors consider Eliquis to be the best of the new crop of oral agents.Other Bristol-Myers drugs that stood out in the quarter include Yervoy, whose sales rose 23 percent to $260 million, and leukemia treatment Sprycel, whose sales jumped 30 percent to $365 million. And sales of HIV treatment Sustiva increased 11 percent to $427 million.COST CUTS DELIVER The company reported quarterly earnings of $726 million, or 44 cents per share. That compares with $925 million, or 56 cents per share, in the year-earlier period, when it took a big write-off for a failed hepatitis C drug. Excluding special items, the profit was 51 cents per share, above the analysts' average estimate of 43 cents, according to Thomson Reuters I/B/E/S.Revenue rose 6 percent to $4.44 billion, topping Wall Street expectations of $4.3 billion.Marketing, selling and administrative expenses fell 7 percent, and research spending shrank 12 percent.""Bristol-Myers' execution on cost structure continues to impress, with lower-than-expected spending"" that helped the company handily beat earnings estimates, Leerink Swann analyst Seamus Fernandez said.Bristol said it still expected 2014 earnings of $1.65 to $1.80 per share, excluding special items. The forecast assumes current foreign exchange rates and the closing of a deal with British drugmaker AstraZeneca Plc (AZN.L) in the first quarter.AstraZeneca last month agreed to buy Bristol-Myers' stake in a longstanding diabetes joint venture between the two drugmakers for an initial $2.7 billion, up to $1.4 billion in additional milestone payments, and royalties on net sales through 2025.The joint venture includes oral medicines Onglyza, Kombiglyze and Forxiga, as well as injectable treatments Bydureon and Byetta.The sale will give Bristol more funds to invest in other areas, such as cancer.(Reporting by Ransdell Pierson; Editing by Stephen Powell and Lisa Von Ahn)",2014-01-24,BMY,"Fri Jan 24, 2014 | 1:57pm EST",Pace of Bristol-Myers' cancer trial spooks investors,http://www.reuters.com//article/us-bristol-myers-sales-idUSBREA0N0TF20140124?type=companyNews
1,"  By Ransdell PiersonJan 24 Bristol-Myers Squibb Co on Friday reported stronger-than-expected quarterly results, but its shares fell because of investors' jitters about the pace at which the company is developing a promising new combination of cancer drugs.The stock dropped as much as 6.7 percent after company officials said on a conference call with investors that they were not yet planning a late-stage trial that would combine two of its high-profile drugs as a treatment for lung cancer.Instead, Bristol-Myers said it would continue a mid-stage study of the drugs - an experimental medicine called nivolumab and an approved melanoma treatment called Yervoy - before moving them into a larger Phase III lung cancer trial. Both drugs enhance the immune system's ability to fight cancer.""Many investors expected Bristol-Myers to rapidly advance the Nivo-Yervoy combo to Phase III, with the plans for such a move perhaps being announced as early as today,"" BMO analyst Alex Arfaei said in a research note.The company's slower timetable might be interpreted as a sign of caution or suggest a lack of ""synergy"" between the two drugs when targeting lung cancer, he said.Results of the mid-stage trial, called Checkmate-012, are expected to be released at a cancer meeting in late May or early June.""We believe today's news is incrementally positive for Merck & Co,"" Arfaei said, which is developing a rival drug in the same PD-1 inhibitor class as nivolumab.Shares of Bristol were down 3.7 percent at $51.93 in afternoon trading after dropping as low as $50.35. Merck was up 0.2 percent at $51.71 amid a sharp downturn for the broad stock market. ELIQUIS SALES JUMP In announcing its fourth-quarter results, Bristol-Myers said it had benefited from cost cuts and growing sales of its treatments for cancer, blood clots and diabetes.Sales increased sharply for Eliquis, a closely watched new blood clot preventer, but the product is off to a far slower start than Wall Street had hoped.Eliquis, which is used to prevent strokes among patients with an irregular heartbeat condition called atrial fibrillation, generated sales of $71 million, up from $41 million in the prior quarter.But when the pill was approved in late 2012, analysts had predicted sales would eventually reach $3 billion to $5 billion a year. ""We're waiting for Eliquis to hit an inflection point, but it hasn't hit that big pop yet,"" said Morningstar analyst Damien Conover. ""It will still get there, to $5 billion.""Eliquis, which Bristol-Myers markets with Pfizer Inc , proved safer and more effective in clinical trials than the standard oral treatment, warfarin, in preventing strokes among patients with atrial fibrillation.Many patients instead are taking two new blood clot preventers that were approved before Eliquis - Pradaxa from Boehringer Ingelheim and Xarelto from Johnson & Johnson  and Bayer AG. But many industry analysts and doctors consider Eliquis to be the best of the new crop of oral agents.Other Bristol-Myers drugs that stood out in the quarter include Yervoy, whose sales rose 23 percent to $260 million, and leukemia treatment Sprycel, whose sales jumped 30 percent to $365 million. And sales of HIV treatment Sustiva increased 11 percent to $427 million.COST CUTS DELIVER  The company reported quarterly earnings of $726 million, or 44 cents per share. That compares with $925 million, or 56 cents per share, in the year-earlier period, when it took a big write-off for a failed hepatitis C drug.Excluding special items, the profit was 51 cents per share, above the analysts' average estimate of 43 cents, according to Thomson Reuters I/B/E/S.Revenue rose 6 percent to $4.44 billion, topping Wall Street expectations of $4.3 billion.Marketing, selling and administrative expenses fell 7 percent, and research spending shrank 12 percent.""Bristol-Myers' execution on cost structure continues to impress, with lower-than-expected spending"" that helped the company handily beat earnings estimates, Leerink Swann analyst Seamus Fernandez said.Bristol said it still expected 2014 earnings of $1.65 to $1.80 per share, excluding special items. The forecast assumes current foreign exchange rates and the closing of a deal with British drugmaker AstraZeneca Plc in the first quarter.AstraZeneca last month agreed to buy Bristol-Myers' stake in a longstanding diabetes joint venture between the two drugmakers for an initial $2.7 billion, up to $1.4 billion in additional milestone payments, and royalties on net sales through 2025.The joint venture includes oral medicines Onglyza, Kombiglyze and Forxiga, as well as injectable treatments Bydureon and Byetta.The sale will give Bristol more funds to invest in other areas, such as cancer.",2014-01-24,BMY,"Fri Jan 24, 2014 | 1:56pm EST",UPDATE 3-Pace of Bristol-Myers' cancer trial spooks investors,http://www.reuters.com//article/bristolmyers-results-idUSL2N0KY0J120140124?type=companyNews
2,"  (For more market insights, including options activity, click on  ; for the Day Ahead newsletter link.reuters.com/mex49s;  for the Morning News Call newsletter, link.reuters.com/nex49s)   U.S. stocks fell on Friday in the wake of a selloff in emerging market assets, as expectations grew that the Federal Reserve will trim its market-friendly stimulus measures further next week. The Dow Jones industrial average was down 0.51 percent at 16,114.13, the S&P 500 was down 0.66 percent at 1,816.45 and the Nasdaq Composite was down 0.82 percent at 4,184.309.** MICROSOFT CORP, $37.1944, +3.16 pctThe company posted a bigger-than-expected quarterly profit on Thursday, boosted by strong sales of its software and services for businesses, a solid holiday season for its new Xbox game console and Surface tablets, and a slightly lower tax bill.** COVIDIEN PLC, $69.88, +4.58 pctThe medical devices maker posted a quarterly profit above analysts' estimates, helped by strong sales of its surgical products, especially vessel sealing and stapling devices.** PTC THERAPEUTICS INC, $23.98, -8.54 pctThe company said a committee of the European Medicines Agency recommended against a conditional approval to its drug for the treatment of a rare muscular disorder, sending its shares down nearly 30 percent in premarket trading.** BIODELIVERY SCIENCES INTERNATIONAL INC, $9.05, +44.80 pctAn experimental painkiller developed by the company and Endo Health Solutions Inc showed a significant improvement in pain relief compared with a placebo.At least two brokerages raised their price target on BioDelivery's stock on Friday.** XEROX CORP, $11.52, -2.04 pctThe company, best known as a maker of printers and copiers, reported weaker-than-expected quarterly revenue as growth in its services business stalled.** EBAY INC, $54.12, -1.49 pctActivist investor Carl Icahn's stake in the e-commerce company is more than previously reported at close to 2 percent, a source familiar with the matter said on Thursday. EBay said this week that Icahn had taken a 0.82 percent interest in the company earlier this month and made a non-binding proposal for eBay to spin off its PayPal payments business.** GENERAL MOTORS, $37.4, -2.65 pctThe company is seeking to cut shifts by half at one of its South Korean factories as it realigns global manufacturing in a move that could affect about 1,100 jobs, a source with direct knowledge of the matter told Reuters on Friday.** STARBUCKS CORP, $75.9104, +3.43 pctThe world's biggest coffee chain's quarterly sales at established restaurants in its U.S.-dominated Americas region cooled more than analysts expected as online shopping kept more consumers at home and reduced their visits to its coffee bars.However, the company boosted its fiscal 2014 earnings per share forecast to a range of $2.59 to $2.67, from $2.55 to $2.65 previously.** INTUITIVE SURGICAL INC, $419.905, -4.35 pctThe company said on Thursday that it expected to sell fewer of its high-priced da Vinci surgical robot systems in 2014 than last year and diverged from past practice by not providing a revenue forecast for the year.** JUNIPER NETWORKS INC, $28.158, +8.26 pctJana Partners LLC has taken a large stake in the network gear maker, a move that comes at a time when Juniper is being urged by one of its prominent investors to increase shareholder returns.** KANSAS CITY SOUTHERN, $96.12, -18.04 pctThe regional railroad operator missed fourth-quarter profit estimates on Friday amid weakness in its energy business, including lower coal shipments.** HONEYWELL INTERNATIONAL INC, $90.55, +0.84 pctThe diversified U.S. manufacturer of aerospace parts and climate control systems backed its 2014 financial targets, set last month, but forecast first-quarter earnings below Wall Street's estimates.** BRISTOL-MYERS SQUIBB CO, $55.19, +2.30 pct The drugmaker's quarterly sales and earnings beat Wall Street expectations, helped by cost cuts and growing sales of its treatments for cancer, blood clots and diabetes.** BOEING CO, $139.2, -1.49 pctThe reliability of Boeing's 787 Dreamliner is slowly improving but it is still not at a satisfactory level and the firm is working to improve the jet's performance, said Mike Fleming, Boeing's vice president for 787 support and services.** PROCTER & GAMBLE CO, $81.59, +4.28 pct** KIMBERLEY CLARK CORP, $110.32, +4.65 pctProcter & Gamble, the world's largest household products maker, said it expected organic sales, which strip out the impact of currency changes as well as acquisitions and divestitures, to rise 3-4 percent, and core earnings to rise 5-7 percent in 2014. However, the company reported lower quarterly profit, hurt by unfavorable currency movements and lower gross profit margin.Rival Kimberley Clark said its organic sales rose 5 percent, and forecast that they would rise 3-5 percent in 2014.** CST BRANDS INC, $31.31, -4.28 pctThe gas station operator and convenience merchandise retailer said on Thursday that its fourth-quarter motor fuel volume in both the United States and Canada was expected to be close to the low-end of its previous estimate.Motor fuel volume is expected to be 4,850-4,950 gallons per site per day in the United States and 3,300-3,400 gallons per site per day in Canada.The company also said it expected North America merchandise sales in the quarter to be at the low end of its prior forecast.** COMPUWARE CORP, $10.3573, -1.83 pctThe business software maker reported lower-than-expected third-quarter revenue on Thursday, hurt by lower fee from its software license business coupled with stagnant maintenance activities fee and professional services revenue.** QUALCOMM INC, $74.92, -1.25 pct** HEWLETT-PACKARD CO, $28.9, -1.60 pctChipmaker Qualcomm acquired a patent portfolio from Hewlett-Packard, including those of its iPaq smartphone, for an undisclosed amount. The portfolio comprises about 1,400 granted patents and pending patent applications from the United States and about 1,000 granted patents and pending patent applications from other countries. ** STANLEY BLACK & DECKER INC, $82.61, +2.74 pctThe power tools maker reported fourth-quarter results that beat analysts' estimates, driven by a 7 percent rise in volumes.The company reported a profit of $1.32 per share on revenue of $2.90 billion. Analysts on average had expected a profit of $1.30 per share on revenue of $2.87 billion, according to Thomson Reuters I/B/E/S.** ARCH COAL INC, $4.17, -1.65 pctAnalysts at Clarkson Capital Markets cut their rating on the coal producer's stock to ""underperform"" from ""market-perform,"" saying they expected the company to generate a negative free cash flow in 2015.Analysts also expressed concerns about declining productivity at Arch Coal's flagship steel-making metallurgical coal mine of Mountain Laurel, West Virginia.** RICE ENERGY INC, $21.13, +0.62 pctThe natural gas producer's shares rose as much as 7 percent in their U.S. market debut, valuing the company at about $2.9 billion. The 44-million-share offering raised about $924 million after being priced at $21 per share, the high end of the expected price range.** MCKESSON CORP, $175.25, +1.67 pctThe U.S. drugs distributor succeeded in its second attempt to win control of German peer Celesio in a deal with Celesio's two largest shareholders, German investment group Haniel and U.S. hedge fund Elliott.** INTERNATIONAL GAME TECHNOLOGY, $15.68, -11.16 pctThe slot-machine maker warned that its full-year profit would more likely be towards the lower end of its previous forecast due to continued weakness in the North American gaming market.** JA SOLAR HOLDINGS CO LTD, $8.88, -4.62 pct** RENESOLA LTD, $3.56, -5.82 pct ** YINGLI GREEN ENERGY HOLDING CO LTD, $5.98, -6.27 pct** TRINA SOLAR LTD, $13.98, -7.42 pct** CANADIAN SOLAR INC, $38.5, -6.28 pctU.S. trade officials opened investigations on Thursday into imports of certain solar power products from China and Taiwan, following a complaint at the end of last year by the U.S. unit of German solar manufacturer SolarWorld AG.The company at the time said it was seeking to close a loophole that enabled Chinese solar panel producers to evade U.S. import duties by using cells manufactured in other countries, mainly Taiwan.** LOCKHEED MARTIN CORP, $148.22, -1.51 pctA new U.S. Defense Department report warned that ongoing software, maintenance and reliability problems with Lockheed Martin's F-35 stealth fighter could delay the Marine Corps' plans to start using its F-35 jets by mid-2015.The company forecast on Thursday higher earnings in 2014 after charges linked to U.S. defense budget cuts and workforce reductions depressed earnings in the fourth quarter.** BANK OF AMERICA CORP, $16.66, -1.19 pctThe lender is looking to win more advisory and stock underwriting business to offset an expected slowdown in the issuance of corporate bonds, a top executive said in an interview on Thursday.** SYNGENTA AG, $74.94, -3.69 pctTwo leading U.S. grain groups have asked the world's largest crop chemicals company to suspend the commercial use in the United States of two genetically modified strains of corn not currently approved in China.** DIGI INTERNATIONAL INC, $10.58, -12.49 pctThe networking device maker forecast current-quarter results below analysts' estimates, after reporting lower-than-expected results for the first quarter on Thursday due to a fall in revenue in its product business.The company said its product revenue was hurt by a delay in orders from some customers.** APPLIED MICRO CIRCUITS CORP, $10.9, -3.96 pctThe chipmaker reported third-quarter revenue slightly below estimates on Thursday, prompting brokerage BMO Capital Markets to lower its price target on the company's stock to $12 from $14.** DISCOVER FINANCIAL SERVICES, $55.08, +5.11 pctThe credit card issuer reported a better-than-expected 11 percent rise in quarterly profit as more consumers used cards to make payments.** OPENTEXT CORP, $101.92, +12.47 pctThe Canadian business software maker's  second-quarter results beat analysts' estimates, driven by higher license sales and customer service revenue.** PROGENICS PHARMACEUTICALS INC, $6.43, -4.46 pctThe company filed a prospectus, called a shelf registration, with the U.S. Securities and Exchange Commission seeking to raise up to $150 million through the potential sale of securities that could include stock, debt securities, or warrants.** KKR & CO, $25.14, -2.44 pct** BLACKROCK INC, $311.22, -1.38 pctKKR & Co and BlackRock are among the investors in talks to buy a stake in China Huarong Asset Management Co Ltd as the bad debt manager seeks to raise more than $2 billion, people familiar with the matter told Reuters.** NOVARTIS, $80.23, -1.91 pctThe European Medicine Agency recommended rejecting an application from the Swiss drugmaker to market its heart failure drug serelaxin.** GOLDMAN SACHS GROUP INC, $168.92, -1.07 pctThe bank may stop traders from using certain chat messaging services to protect internal conversations that are lately being subjected to intense regulatory scrutiny, the Wall Street Journal reported.    (Compiled by Neha Dimri in Bangalore; Edited by Kirti Pandey)",2014-01-24,BMY,"Fri Jan 24, 2014 | 10:11am EST","MARKET PULSE-Rice Energy, Xerox, Covidien, Kansas City Southern",http://www.reuters.com//article/markets-usa-stocks-pulse-idUSL3N0KY45620140124?type=companyNews
3,"  Jan 24 Canada's main stock index looked set to open lower on Friday as emerging market currencies fell on a sell-off accelerated by worries surrounding China and U.S. monetary policy.TOP STORIES * Japanese government calculations indicate that Prime Minister Shinzo Abe cannot meet his budget-balancing promise in coming years on the current course, suggesting he may come under greater pressure from fiscal hawks for future tax increases.* Procter & Gamble Co, the world's largest household products maker, reported lower quarterly profit, hurt by unfavorable currency movements and lower gross profit margin.* Business software maker Open Text Corp's  second-quarter results beat analysts' estimates, driven by higher license sales and customer service revenue.* Bristol-Myers Squibb Co's quarterly sales and earnings beat Wall Street expectations, helped by cost cuts and growing sales of its treatments for cancer, blood clots and diabetes.* Microsoft Corp posted a bigger-than-expected quarterly profit on Thursday, boosted by strong sales of its software and services for businesses, a solid holiday season for its new Xbox game console and Surface tablets, and a slightly lower tax bill.MARKET SNAPSHOT * Canada stock futures traded down 0.5 percent * U.S. stock futures , , were down around 0.54 percent to 0.71 percent* European shares, were downCOMMODITY PRICE MOVES * Thomson Reuters-Jefferies CRB Index : 281.943; rose 0.02 percent* Gold futures : $1,269.3; rose 0.53 percent * US crude : $96.99; fell 0.34 percent* Brent crude : $106.71; fell 0.81 percent* LME 3-month copper : $7,222; rose 0.22 percentCANADIAN STOCKS TO WATCH * Enbridge Inc : CEO Al Monaco said on Thursday that an amendment to the U.S. presidential permit for its Alberta Clipper pipeline, which the company needs to expand the line's capacity, will likely be delayed past a previous target of mid-2014. ANALYSTS' RECOMMENDATIONS Following is a summary of research actions on Canadian companies reported by Reuters.* Avigilon : CIBC raises target price to C$50 from C$32, says introduction of a partner loyalty program will lead to 2014 sales beating consensus* Barrick Gold Corp : RBC raises target price to $23 from $20 says the company's shares should re-rate higher and return to their valuation range prior to the discount created by Pascua-Lama capital escalation and a weak balance sheet* OpenText Corp : CIBC raises target price to $110 from $95 based on the company's quarterly results beating estimates and its acquisition of GXS* Semafo Inc : CIBC raises target price to C$4.25 from C$3 citing the company's continues to deliver steady operational results and its ability to advance development/production of new deposits at ManaON THE CALENDAR * Major Canadian economic data includes inflation* No major U.S. events and data scheduled for release",2014-01-24,BMY,"Fri Jan 24, 2014 | 8:20am EST","CANADA STOCKS-TSX may open lower, emerging market sell-off weighs",http://www.reuters.com//article/markets-canada-stocks-idUSL3N0KY3XL20140124?type=companyNews
4,"  Jan 24 Bristol-Myers Squibb Co's  quarterly sales and earnings beat Wall Street expectations, helped by cost cuts and growing sales of its treatments for cancer, blood clots and diabetes.The company on Friday said it earned $726 million, or 44 cents per share, in the fourth quarter. That compared with $925 million, or 56 cents per share, in the year-earlier period, when Bristol-Myers took a big write-off for a failed hepatitis C drug. Excluding special items, the drugmaker earned 51 cents per share, well above the average analyst estimate of 43 cents, according to Thomson Reuters I/B/E/S.  Global company revenue rose 6 percent to $4.44 billion, topping Wall Street expectations of $4.3 billion.",2014-01-24,BMY,"Fri Jan 24, 2014 | 7:30am EST","Bristol-Myers beats sales, profit forecasts",http://www.reuters.com//article/idUSL2N0KY00G20140124?type=companyNews
5,"  Feb 3 AstraZeneca PLC :  * AstraZeneca completed, on 1 February 2014, the acquisition of the entirety of Bristol-Myers Squibb's interests in the companies' diabetes alliance  * For more news, please click here   ",2014-02-03,BMY,"Mon Feb 3, 2014 | 2:08am EST",BRIEF-AstraZeneca completes Bristol-Myers diabetes acquisition,http://www.reuters.com//article/astrazeneca-brief-idUSWLB006ZT20140203?type=companyNews
6,"  (Corrects throughout to change source to U.S. Food and Drug Administration from Bristol-Myers Squibb. The error also appeared in a previous version of the story)Feb 25 The U.S. Food and Drug Administration said it approved Bristol-Myers Squibb Co's drug to treat rare and potentially fatal disorders involving loss of body fat.The drug has been approved as a replacement therapy to treat complications caused by leptin hormone deficiency in patients with congenital or acquired generalized lipodystrophy. Generalized lipodystrophy patients experience a loss of fat tissue, especially under the skin, leading to low levels of leptin.Leptin deficiency causes serious imbalance in the body, leading to fat accumulation in muscles and organs such as the liver. The deficiency can lead to diabetes, pancreatitis and fatty liver disease. The drug, Myalept (metreleptin), is a form of leptin meant to reduce accumulation of fat in organs to better control blood sugar and high levels of triglycerides - a type of fat in the bloodstream associated with increased risk of heart disease. The FDA said it asked for seven post-marketing studies on Myalept. (r.reuters.com/jam27v)Bristol-Myers had co-developed the drug with AstraZeneca .   (Reporting by Shailesh Kuber; Editing by Ted Kerr and Kirti Pandey)",2014-02-25,BMY,"Tue Feb 25, 2014 | 3:53pm EST",CORRECTED-UPDATE 1-FDA approves Bristol-Myers drug for rare body fat disorder,http://www.reuters.com//article/bristolmyers-fda-idUSL3N0LU3ZA20140225?type=companyNews
7,"  (Corrects source to U.S. Food and Drug Administration from Bristol-Myers Squibb)Feb 25 The U.S. Food and Drug Administration said it approved Bristol-Myers Squibb Co's drug to treat rare and potentially fatal disorders involving loss of body fat. The condition, known as generalized lipodystrophy, involves fat buildup in the blood and organs such as liver and muscle and can lead to diabetes, pancreatitis and fatty liver disease.  The FDA said it required seven post-marketing studies on the drug, Myalept. (r.reuters.com/jam27v)   (Reporting by Shailesh Kuber; Editing by Ted Kerr)",2014-02-25,BMY,"Tue Feb 25, 2014 | 3:51pm EST",CORRECTED-FDA approves Bristol-Myers' drug for rare fat disorder,http://www.reuters.com//article/bristolmyers-fda-idUSL3N0LU3XK20140225?type=companyNews
8,"  Bristol-Myers Squibb Co said the U.S. Food and Drug Administration approved its drug to treat rare and potentially fatal disorders involving loss of body fat.The drug has been approved as a replacement therapy to treat complications caused by leptin hormone deficiency in patients with congenital or acquired generalized lipodystrophy.Generalized lipodystrophy patients experience a loss of fat tissue, especially under the skin, leading to low levels of leptin. Leptin deficiency causes serious imbalance in the body, leading to fat accumulation in muscles and organs such as the liver. The deficiency can lead to diabetes, pancreatitis and fatty liver disease.The drug, Myalept (metreleptin), is a form of leptin meant to reduce accumulation of fat in organs to better control blood sugar and high levels of triglycerides - a type of fat in the bloodstream associated with increased risk of heart disease. Bristol-Myers said the FDA had asked it to conduct seven post-marketing studies on Myalept. (r.reuters.com/jam27v) The drugmaker had co-developed the drug with AstraZeneca.(Reporting by Shailesh Kuber; Editing by Ted Kerr and Kirti Pandey)",2014-02-25,BMY,"Tue Feb 25, 2014 | 10:59am EST",FDA approves Bristol-Myers drug for rare body fat disorder,http://www.reuters.com//article/us-bristolmyers-fda-idUSBREA1O18920140225?type=companyNews
9,"  The U.S. Food and Drug Administration said it approved Bristol-Myers Squibb Co's drug to treat rare and potentially fatal disorders involving loss of body fat.The condition, known as generalized lipodystrophy, involves fat buildup in the blood and organs such as liver and muscle and can lead to diabetes, pancreatitis and fatty liver disease. The FDA said it required seven post-marketing studies on the drug, Myalept. (r.reuters.com/jam27v)  (Reporting by Shailesh Kuber; Editing by Ted Kerr)",2014-02-26,BMY,"Wed Feb 26, 2014 | 11:24am EST",FDA approves Bristol-Myers' drug for rare fat disorder,http://www.reuters.com//article/us-bristolmyers-fda-idUSBREA1O18920140226?type=companyNews
