,Article,Date,Symbol,Time,Title,Url
0,"  * Delays could limit sale profits, scupper deals* Shell, Total, Eni, ConocoPhillips also divesting* Nigeria firms, partnered with foreign, biddingBy Joe BrockABUJA, Jan 13 Chevron faces delays in closing sales of oil blocks in Nigeria worth up to $1 billion because of legal disputes involving potential buyers, industry sources say, highlighting a risk other oil majors could face.Chevron is joining competitors ConocoPhillips, Royal Dutch Shell, France's Total and Italy's Eni  in disposing of stakes in onshore and shallow water offshore fields in the Niger Delta region.OPEC-member Nigeria has the potential to double its 2 million-2.5 million barrel per day oil output in the next five years but problems with oil theft, pipeline sabotage and regulatory uncertainty are putting off investment.Oil majors want to keep hold of the biggest producing fields, offshore assets and key pipelines and export terminals.  But they are disposing of less profitable onshore blocks and  fields that the government could strip from them if they remain undeveloped for ten years, notably in the restive Niger Delta.Chevron has chosen its preferred bidders for the five blocks it put up for sale in June but the deals have not closed because rival firms have disputed its decision, with one taking the U.S. company to court, sources close to the deals said.A Chevron spokeswoman said the company did not comment on ongoing transactions.Nigerian firm Brittania-U, run by former Chevron executive Catherine Uju Ifejika, was the highest bidder at over $1 billion for the biggest cluster of blocks - OML 52, 53 and 55 - and Chevron began discussions with the company over the sale, two banking sources close to the deal said. Chevron decided to look at alternative bids after Brittania-U did not show sufficient evidence it could muster the amount promptly, banking and oil industry sources said.Brittania-U did not respond to requests for comment.Chevron then agreed to sell the biggest block, OML 53, to Seplat, which is partly owned by French oil explorer Maurel & Prom and Swiss-based commodity trader Mercuria, while OML 52 would go to local firm Amni Petroleum and the smallest, OML 55, to Belema Oil, run by a local Delta community.$1 BILLION  None of the companies responded to request for comment.A Nigerian federal high court issued an interim injunction in December stopping Chevron from selling the blocks to Seplat and others after Brittania-U brought action against the U.S. major saying it had already agreed a deal to buy the assets, court documents showed.Chevron could earn between $700 million and $900 million for the three blocks, two sources involved in bids said.The three blocks had proven reserves of 555 million barrels of oil equivalent, with the biggest block OML 53 holding 310 million of those reserves, two oil industry sources said, citing a Chevron memorandum given to bidders.Court cases can drag on for years in Nigeria and the longer the delay the less profit oil majors are likely to make from the deals and the greater the chances the sales could fall through altogether. Such litigation also slows down the potential oil and gas production increases that could be felt from new buyers exploiting assets left undeveloped by oil majors.ConocoPhillips has waited for more than a year to close a $1.6 billion deal with Nigeria's biggest energy company, Oando  , for its business in Africa's biggest oil producer because the local firm has taken more than a year to raise finance.Oando plans to raise $193 million in a share issue to help finance the deal, banking sources said in December, and the company has said the acquisition will be completed early this year.Chevron has also agreed to sell two smaller blocks - OML 83 and 85 - to Nigerian firm First Exploration and Production with a bid of around $100 million but the deal has not been completed and rival bidders are also considering disputing this deal, the two banking sources said. They did not give details of which companies might challenge the sale.First E&P's Chairman Henry Odein Ajumogobia is a former foreign affairs minister and its Managing Director Ademola Adeyemi-Bero spent five year working at BG Group.Chevron and First E&P declined to comment.Shell, Total and Eni are selling a combined 45 percent stake in at least four more oil blocks with combined production of around 70,000 barrels per day. Bids on these blocks are due next month, sources said.Shell, the biggest producer in Nigeria, has sold eight oil blocks in the Niger Delta for a total $1.8 billion since 2010 and some industry sources believe the Anglo-Dutch major may have the experience needed to get deals agreed.""It's not about the highest bid, it's about which buyer has the know-how and the connections to get the deals done,"" one executive at a Nigerian company said.",2014-01-13,COP,"Mon Jan 13, 2014 | 9:07am EST",Legal challenges delay Chevron's $1 bln Nigeria oil block sales,http://www.reuters.com//article/chevron-nigeria-idUSL5N0ID3A220140113?type=companyNews
1,"  HOUSTON Oil producer ConocoPhillips (COP.N) outshone larger competitors on Thursday with a quarterly profit that beat expectations as it moved to overcome the problems of high costs and lack of fresh reserves that have nagged at Exxon Mobil Corp (XOM.N) and Royal Dutch Shell (RDSa.L).ConocoPhillips, the largest U.S. oil company without refining operations, said its profits were helped by the sale of its Algerian business and by higher crude oil production in North America.The company shed its refining business in 2012 and has sold billions of dollars of lower-yielding assets to focus on more profitable oil production from North American shale basins such as the Eagle Ford in south Texas.Analysts said Conoco's plan is beginning to pay off at a time when the industry faces pressure from shareholders to lift returns despite flat oil prices and rising costs for risky exploration work designed to replace reserves.Conoco's profit in the fourth quarter was $2.5 billion, or $2.00 a share, compared with $1.4 billion, or $1.16 a share, a year earlier.Excluding special items, profits inched down, though analysts characterized Conoco's reserve replacement ratio, a measure of a company's ability to find new oil and gas reserves to replace what is produced, as strong.On a preliminary basis, Conoco's proved reserves rose 3 percent from a year earlier to 8.9 billion barrels of oil equivalent (BOE). Proved organic reserve additions are expected to be about 1.1 billion BOE for a replacement ratio of 179 percent of 2013 production.In a note to clients, Ed Westlake of Credit Suisse dubbed Conoco the best performing large oil company, citing 7 percent growth in cash flow despite asset sales, a reduced share count and more cash on the balance sheet.""I think we're seeing pretty good evidence that the strategy is working,"" Jeff Sheets, Conoco's chief financial officer, said, citing cash margin growth and expected gains in production. Conoco's shares rose slightly, while those of Occidental Petroleum Corp (OXY.N), the fourth-largest U.S. oil and gas company, edged lower even though it reported a quarterly profit that beat expectations.At $2.04 per share, Occidental's earnings were significantly higher than the 42 cents per share earned a year earlier, when the company wrote down the value of gas properties in the U.S. midcontinent by $1.1 billion.SHELL, EXXON At Shell, Chief Executive Ben van Beurden, just a month on the job, set out plans to make the world's No. 3 investor-owned oil company leaner, putting a new focus on increasing cash, while scrapping an Arctic drilling program. ""Our overall strategy remains robust, but 2014 will be a year where we are changing emphasis, to improve our returns and cash flow performance,"" van Beurden said. ""Our returns are at this point in time too low to be considered competitive.""This year, Shell plans to slash spending to $37 billion from $46 billion and to increase asset dispositions to $15 billion - about 6.5 percent of its $228 billion market capitalization - from $1.7 billion in 2013.The promises, along with a higher dividend, helped lift Shell's shares 1 percent to 2,147 pence.Shell's fourth-quarter earnings, excluding identified items and on a current cost of supply basis, came in at $2.9 billion, 48 percent lower than in the year-before quarter but in line with the downgraded forecast Shell gave on January 17, making the quarter its least profitable for five years. Shares of Exxon, the world's largest publicly traded oil company by market value, were down 0.5 percent at $94.60 after the company posted a lower-than-expected quarterly profit and failed to offset declining production with fresh reserves.The results reflected a ""mediocre quarter"" for Exxon, especially in international production, Edward Jones analyst Brian Youngberg said. ""They've lost momentum already, reverting back to declining production and stagnant earnings.""Exxon's oil and natural gas production fell 1.8 percent from year-before levels, with natural gas production falling around the world and oil output slipping in half the regions in which the company operates.Still, Exxon executives said they were confident new projects in the Middle East, Asia and the United States would help boost production.The blip in fourth-quarter results doesn't change Exxon's investment appeal, or for that matter the sector's, said Oliver Pursche of Gary Goldberg Financial Services, who manages Exxon shares for clients.""There's nothing in this report that's overly alarming,"" he said. ""Exxon to us is a core, long-term holding.""(Reporting By Anna Driver in Houston, Ernest Scheyder in New York and Sarah Young in London; editing by Terry Wade and Peter Galloway)",2014-01-30,COP,"Thu Jan 30, 2014 | 3:59pm EST",Conoco beats expectations as bigger oil rivals struggle,http://www.reuters.com//article/us-energy-oil-results-idUSBREA0T1TG20140130?type=companyNews
2,"  HOUSTON Jan 30 Oil producer ConocoPhillips  outshone larger competitors on Thursday with a quarterly profit that beat expectations as it moved to overcome the problems of high costs and lack of fresh reserves that have nagged at Exxon Mobil Corp and Royal Dutch Shell .ConocoPhillips, the largest U.S. oil company without refining operations, said its profits were helped by the sale of its Algerian business and by higher crude oil production in North America.The company shed its refining business in 2012 and has sold billions of dollars of lower-yielding assets to focus on more profitable oil production from North American shale basins such as the Eagle Ford in south Texas.Analysts said Conoco's plan is beginning to pay off at a time when the industry faces pressure from shareholders to lift returns despite flat oil prices and rising costs for risky exploration work designed to replace reserves.Conoco's profit in the fourth quarter was $2.5 billion, or $2.00 a share, compared with $1.4 billion, or $1.16 a share, a year earlier.Excluding special items, profits inched down, though analysts characterized Conoco's reserve replacement ratio, a measure of a company's ability to find new oil and gas reserves to replace what is produced, as strong.On a preliminary basis, Conoco's proved reserves rose 3 percent from a year earlier to 8.9 billion barrels of oil equivalent (BOE). Proved organic reserve additions are expected to be about 1.1 billion BOE for a replacement ratio of 179 percent of 2013 production.In a note to clients, Ed Westlake of Credit Suisse dubbed Conoco the best performing large oil company, citing 7 percent growth in cash flow despite asset sales, a reduced share count and more cash on the balance sheet.""I think we're seeing pretty good evidence that the strategy is working,"" Jeff Sheets, Conoco's chief financial officer, said, citing cash margin growth and expected gains in production. Conoco's shares rose slightly, while those of Occidental Petroleum Corp, the fourth-largest U.S. oil and gas company, edged lower even though it reported a quarterly profit that beat expectations.At $2.04 per share, Occidental's earnings were significantly higher than the 42 cents per share earned a year earlier, when the company wrote down the value of gas properties in the U.S. midcontinent by $1.1 billion.SHELL, EXXON  At Shell, Chief Executive Ben van Beurden, just a month on the job, set out plans to make the world's No. 3 investor-owned oil company leaner, putting a new focus on increasing cash, while scrapping an Arctic drilling program.""Our overall strategy remains robust, but 2014 will be a year where we are changing emphasis, to improve our returns and cash flow performance,"" van Beurden said. ""Our returns are at this point in time too low to be considered competitive.""This year, Shell plans to slash spending to $37 billion from $46 billion and to increase asset dispositions to $15 billion - about 6.5 percent of its $228 billion market capitalization - from $1.7 billion in 2013.The promises, along with a higher dividend, helped lift Shell's shares 1 percent to 2,147 pence. Shell's fourth-quarter earnings, excluding identified items and on a current cost of supply basis, came in at $2.9 billion, 48 percent lower than in the year-before quarter but in line with the downgraded forecast Shell gave on Jan. 17, making the quarter its least profitable for five years.Shares of Exxon, the world's largest publicly traded oil company by market value, were down 0.5 percent at $94.60 after the company posted a lower-than-expected quarterly profit and failed to offset declining production with fresh reserves.The results reflected a ""mediocre quarter"" for Exxon, especially in international production, Edward Jones analyst Brian Youngberg said. ""They've lost momentum already, reverting back to declining production and stagnant earnings.""Exxon's oil and natural gas production fell 1.8 percent from year-before levels, with natural gas production falling around the world and oil output slipping in half the regions in which the company operates.Still, Exxon executives said they were confident new projects in the Middle East, Asia and the United States would help boost production.The blip in fourth-quarter results doesn't change Exxon's investment appeal, or for that matter the sector's, said Oliver Pursche of Gary Goldberg Financial Services, who manages Exxon shares for clients.""There's nothing in this report that's overly alarming,"" he said. ""Exxon to us is a core, long-term holding.""",2014-01-30,COP,"Thu Jan 30, 2014 | 3:57pm EST",WRAPUP 1-Conoco beats expectations as bigger oil rivals struggle,http://www.reuters.com//article/energy-oil-results-idUSL2N0L41EV20140130?type=companyNews
3,"   By Anna Driver  ConocoPhillips (COP.N), the largest U.S. oil company without refining operations, said on Thursday its fourth-quarter profit rose more than expected, helped by the sale of its Algerian business and production of more North American crude oil.Conoco, which shed its refining business in 2012, has sold billions of dollars of lower-yielding assets to focus on more profitable oil production from North American shale basins, like the Eagle Ford in south Texas.Now that strategy is beginning to pay off, analysts said.In a note to clients, Ed Westlake of Credit Suisse dubbed Conoco the best performing large oil company, citing 7 percent growth in cash flow despite asset sales, a reduced share count and more cash on the balance sheet.Profit in the quarter was $2.5 billion, or $2.00 per share, compared with $1.4 billion, or $1.16 per share, a year earlier. Excluding items, Houston-based Conoco had a profit of $1.40 per share. Analysts on average had expected a profit of $1.31 per share, according to Thomson Reuters I/B/E/S.Analysts characterized Conoco's reserve replacement ratio, a measure of a company's ability to find new oil and gas reserves to replace what is produced, as strong.Shares of Conoco were down 0.3 percent at $65.62 in morning trading on the New York Stock Exchange. Separately, shares of Exxon Mobil Corp (XOM.N) the world's largest publicly traded oil company by market value, fell after it posted lower-than-expected quarterly profit due to declining production.Better-than-expected results from Conoco's operations in Alaska, Canada and Europe helped boost profits, according to analysts at energy-focused investment bank Simmons & Co. Oil and gas output by Conoco was 1.518 million barrels oil equivalent per day, down from 1.607 million boepd in the 2012 fourth quarter.Earlier this month, Conoco said its fourth-quarter production from continuing operations would be lower than expected as severe weather in parts of the United States and the North Sea hampered operations. Fourth quarter production from continuing operations was 1.473 million boepd.In the current quarter, the company forecast oil and gas output from continuing operations of 1.490 million to 1.530 million boepd.On a preliminary basis, Conoco's proved reserves rose 3 percent from a year ago to 8.9 billion barrels of oil equivalent (BOE). Proved organic reserve additions are expected to be approximately 1.1 billion BOE for a replacement ratio of 179 percent of 2013 production.(Editing by Chizu Nomiyama and Bernadette Baum)",2014-01-30,COP,"Thu Jan 30, 2014 | 10:42am EST","Conoco profit beats estimates, asset sales help",http://www.reuters.com//article/us-conocophillips-results-idUSBREA0T19E20140130?type=companyNews
4,"  By Anna DriverJan 30 ConocoPhillips, the largest U.S. oil company without refining operations, said on Thursday its fourth-quarter profit rose more than expected, helped by the sale of its Algerian business and production of more North American crude oil.Conoco, which shed its refining business in 2012, has sold  billions of dollars of lower-yielding assets to focus on more profitable oil production from North American shale basins, like the Eagle Ford in south Texas.Now that strategy is beginning to pay off, analysts said.In a note to clients, Ed Westlake of Credit Suisse dubbed Conoco the best performing large oil company, citing 7 percent growth in cash flow despite asset sales, a reduced share count and more cash on the balance sheet. Profit in the quarter was $2.5 billion, or $2.00 per share, compared with $1.4 billion, or $1.16 per share, a year earlier.Excluding items, Houston-based Conoco had a profit of $1.40 per share. Analysts on average had expected a profit of $1.31 per share, according to Thomson Reuters I/B/E/S.Analysts characterized Conoco's reserve replacement ratio, a measure of a company's ability to find new oil and gas reserves to replace what is produced, as strong. Shares of Conoco were down 0.3 percent at $65.62 in morning trading on the New York Stock Exchange.Separately, shares of Exxon Mobil Corp the world's largest publicly traded oil company by market value, fell after it posted lower-than-expected quarterly profit due to declining production. Better-than-expected results from Conoco's operations in Alaska, Canada and Europe helped boost profits, according to analysts at energy-focused investment bank Simmons & Co.Oil and gas output by Conoco was 1.518 million barrels oil equivalent per day, down from 1.607 million boepd in the 2012 fourth quarter.Earlier this month, Conoco said its fourth-quarter production from continuing operations would be lower than expected as severe weather in parts of the United States and the North Sea hampered operations. Fourth quarter production from continuing operations was 1.473 million boepd.In the current quarter, the company forecast oil and gas output from continuing operations of 1.490 million to 1.530 million boepd.On a preliminary basis, Conoco's proved reserves rose 3 percent from a year ago to 8.9 billion barrels of oil equivalent (BOE). Proved organic reserve additions are expected to be approximately 1.1 billion BOE for a replacement ratio of 179 percent of 2013 production.",2014-01-30,COP,"Thu Jan 30, 2014 | 10:38am EST","UPDATE 2-Conoco profit beats estimates, asset sales help",http://www.reuters.com//article/conocophillips-results-idUSL2N0L40MD20140130?type=companyNews
5,"  ConocoPhillips (COP.N), the largest U.S. oil company without refining operations, on Thursday said its fourth-quarter profit rose with help from the sale of its Algerian business and lower taxes.Profit in the quarter was $2.5 billion, or $2.00 per share, compared with $1.4 billion, or $1.16 per share, a year earlier.Excluding items, Houston-based Conoco had a profit of $1.40 per share. Analysts on average had expected a profit of $1.31 per share, according to Thomson Reuters I/B/E/S. Oil and gas output was 1.518 million barrels oil equivalent per day, down from 1.607 million boepd in the 2012 fourth quarter.Earlier this month, Conoco said its fourth-quarter production from continuing operations would be lower than expected as severe weather in parts of the United States and the North Sea hampered operations. Fourth quarter production from continuing operations was 1.473 million boepd. In the current quarter, the company forecast oil and gas output from continuing operations of 1.490 million to 1.530 million boepd. On a preliminary basis, Conoco's proved reserves rose 3 percent from a year-ago to 8.9 billion barrels of oil equivalent (BOE), up 3 percent from 2012. Proved organic reserve additions are expected to be approximately 1.1 billion BOE for a replacement ratio of 179 percent of 2013 production.(Reporting by Anna Driver; Editing by Lisa Von Ahn and Chizu Nomiyama)",2014-01-30,COP,"Thu Jan 30, 2014 | 7:53am EST",ConocoPhillips quarterly profit higher on asset sales,http://www.reuters.com//article/us-conocophillips-results-idUSBREA0T0WR20140130?type=companyNews
6,"  Jan 30 ConocoPhillips, the largest U.S. oil company without refining operations, on Thursday said its fourth-quarter profit rose, helped by the sale of its Algerian business and other assets.Profit in the quarter was $2.5 billion, or $2.00 per share, compared with $1.4 billion, or $1.16 per share, a year earlier. Oil and gas output was 1.518 million barrels oil equivalent per day, down from 1.607 million boepd in the 2012 fourth quarter. Earlier this month, Conoco said its fourth-quarter production from continuing operations would be lower than expected as severe weather in parts of the United States and the North Sea hampered operations. ",2014-01-30,COP,"Thu Jan 30, 2014 | 7:19am EST",ConocoPhillips quarterly profit higher on asset sales,http://www.reuters.com//article/conocophillips-results-idUSL2N0L31TQ20140130?type=companyNews
7,"  LAGOS Feb 3 Shares of Nigerian energy firm Oando surged 10 percent on Monday after it said it had ended a long wait to secure funds to acquire the upstream oil and gas business of ConocoPhillips in Nigeria.Oando shares, which dropped nearly 30 percent last week, rose 1.86 naira to 21.11 naira at 0951 GMT, outperforming the broader index which was up 0.27 percent.  Shares in Oando, which is also listed in Johannesburg  and Toronto, were hammered last week after it announced plans to raise 250 billion naira ($1.5 billion) in its second attempt in a month to raise cash, fuelling speculation it was struggling to close the $1.79 billion ConocoPhillips deal it agreed on more than a year ago. ",2014-02-03,COP,"Mon Feb 3, 2014 | 5:01am EST",Oando shares rebound 10 pct on ConocoPhillips deal,http://www.reuters.com//article/nigeria-oando-idUSL5N0L81FI20140203?type=companyNews
8,"   By Melissa Massey and Oleg Vukmanovic | LONDON  LONDON Feb 21 U.S. liquefied natural gas (LNG) by the end of the decade is likely to challenge Russian gas for market share in Europe as the region becomes increasingly dependent on imports, ConocoPhillips' head of LNG trading said.A surge in production worldwide, driven by new projects in the United States, Australia, East Africa, Russia and Canada, could double LNG output to 600 million tonnes annually from 2018 and provide ample new supply to global markets, industry estimates suggest.Kicking off the export growth, after years of stagnating supply, will be Exxon Mobil's Papau New Guinea LNG plant in the third-quarter of this year, followed by BG Group's  Queensland Curtis project in Australia by year-end.Most new Australian and east Africa supplies are expected to reach Asia to fill demand, while significant output from the United States and elsewhere is expected to arrive at European terminals.""We believe that the European gas market will be a balancing market for global gas,"" said Birger Balteskard, global LNG marketing manager at ConocoPhillips, told the International Petroleum Week industry conference.Balteskard said Europe's dependence on gas imports will grow as its domestic fields age and that America's proposed LNG export terminals will help meet that need. ""There is a potential large gap between demand and supply into Europe. We think by 2025 that will be as much as 25 (billion cubic feet) a day, which is significant,"" Balteskard said.The United States, meanwhile, is producing record amounts of gas from shale, and more than a dozen export projects have been proposed, some of which could target Europe from 2015 onwards.Europe's biggest supplier Russia charges high prices for supplies, offering U.S. LNG shippers a chance to grab market share through cut-rate deals.In Europe, a case could be made that ""there will be competition between Russian pipe gas and LNG from the States and potentially East Africa"", Balteskard said. ASIA STEPPING UP In Asia, gas demand has outstripped supply. Japan, the world's top LNG buyer, has shifted more to gas following the 2011 Fukushima nuclear disaster, while second-biggest buyer South Korea has stepped up purchases after a nuclear safety scandal. Asian gas prices currently trade above $20 per million British thermal units, while European prices are around $10 per mmBtu.Atlantic Basin LNG producers have in recent years diverted cargoes to the higher-paying Asian and South American markets, halving Europe's intake.But as producers open the taps from new projects to fill Asian demand, and as Mexico and some South American energy producers work to wean themselves off costly LNG imports, deliveries to Europe could rebound.Some uncertainties remain, however, that could still skew this scenario.If China's demand grows faster than expected, it could potentially limit the availability of gas supplies to Europe. Similarly, any decision by top LNG importer Japan to uphold its atomic energy ban means it will need gas to meet any growth in energy needs.""Assuming East Africa, the U.S. and Australia do happen the way we think, the main thing to look at is what is going on in China. How much energy will it be able to absorb?"" Balteskard said.",2014-02-21,COP,"Fri Feb 21, 2014 | 6:52am EST","As global gas output surges, U.S. seen to rival Russia in Europe",http://www.reuters.com//article/europe-lng-idUSL6N0LP4M320140221?type=companyNews
9,"  CARACAS A World Bank panel has rejected Venezuela's request for a new hearing to contest a 2013 partial ruling that it failed to act in good faith regarding negotiations to compensate U.S. oil company ConocoPhillips (COP.N) for expropriations.The dispute dates from then-President Hugo Chavez's socialist government's takeover of three oil projects in 2007.""The majority of the tribunal concludes that it does not have the power to reconsider the decision,"" the World Bank's International Center for Settlement of Investment Disputes (ICSID) said on its website.Venezuela's state oil company PDVSA said that decision last year was unfair because it had offered $2.3 billion in compensation, which was higher than its $1.8 billion estimate of the assets' value, excluding tax and royalties claims.While saying Venezuela had not acted in good faith, September's partial ruling did not determine how much money it must pay the U.S.-based company. It also limited the scope of ConocoPhillips' claims by excluding future tax credits. The company claimed victory in last year's decision, but experts say a final ruling on damages in the biggest arbitration case that Venezuela is facing could take one or two more years.The latest ICSID ruling said a date for a hearing to discuss the compensation amount would be fixed ""in consultation with the parties, in due course."" ConocoPhillips initially asked Venezuela for $30 billion in compensation for its stakes in the Hamaca and Petrozuata heavy crude upgraders and a separate offshore project called Corocoro.Several major foreign oil companies, including Chevron Corp (CVX.N), were able to reach agreements with the Chavez government and give up majority stakes in projects while hanging onto minority ones. ExxonMobil Corp (XOM.N) and ConocoPhillips did not reach accords and eventually took their claims to arbitration.Venezuela has more than 20 arbitration cases pending at ICSID and other courts stemming from Chavez's nationalizations. The country pulled out of the ICSID in 2012, but will still be subject to cases submitted beforehand.Chavez died from cancer in 2013, with a protege, Nicolas Maduro, winning a presidential election to replace him.(Writing by Andrew Cawthorne; Editing by Lisa Shumaker)",2014-03-13,COP,"Wed Mar 12, 2014 | 11:14pm EDT",World Bank panel rejects Venezuela's appeal over Conoco,http://www.reuters.com//article/us-conocophillips-venezuela-idUSBREA2C06520140313?type=companyNews
