,Article,Date,Symbol,Time,Title,Url
0,"   By Anna Louie Sussman | NEW YORK  NEW YORK Phone service provider CenturyLink Inc (CTL.N) is seeking to acquire Rackspace Hosting Inc RAX.N in order to expand its cloud-computing services, according to a Bloomberg report citing people familiar with the situation.The deal would expand the Louisiana-based company's offerings of Internet and cloud services, enabling it to better compete against companies like Amazon.com Inc (AMZN.O), Microsoft Corp (MSFT.O) and Google Inc (GOOGL.O), the report said. One person told Bloomberg the deal to acquire the $5.3 billion company might not be reached.Companies have increasingly been moving their computing and storage operations to the cloud to avoid buying equipment and operating proprietary data centers. Centurylink's competitors, ranging from telecommunications companies like Verizon (VZ.N) to cable companies, offer cloud services to enterprise customers and have also been making acquisitions in the space.  (Reporting by Anna Louie Sussman; Editing by Peter Cooney)",2014-09-07,CTL,"Sun Sep 7, 2014 | 5:51pm EDT","CenturyLink seeks to acquire Rackspace, expanding cloud services: Bloomberg",http://www.reuters.com//article/us-centurylink-acquisition-rackspace-idUSKBN0H20U120140907?type=companyNews
1,"   By Anna Louie Sussman | NEW YORK, Sept 7  NEW YORK, Sept 7 Phone service provider CenturyLink Inc is seeking to acquire Rackspace Hosting Inc in order to expand its cloud-computing services, according to a Bloomberg report citing people familiar with the situation.The deal would expand the Louisiana-based company's offerings of Internet and cloud services, enabling it to better compete against companies like Amazon.com Inc, Microsoft Corp and Google Inc, the report said. One person told Bloomberg the deal to acquire the $5.3 billion company might not be reached. Companies have increasingly been moving their computing and storage operations to the cloud to avoid buying equipment and operating proprietary data centers. Centurylink's competitors, ranging from telecommunications companies like Verizon to cable companies, offer cloud services to enterprise customers and have also been making acquisitions in the space.   (Reporting by Anna Louie Sussman; Editing by Peter Cooney)",2014-09-07,CTL,"Sun Sep 7, 2014 | 5:40pm EDT","CenturyLink seeks to acquire Rackspace, expanding cloud services -Bloomberg",http://www.reuters.com//article/centurylink-acquisition-rackspace-idUSL1N0R80QW20140907?type=companyNews
2,"  (Repeats with no changes to text)Sept 8 The following corporate finance-related stories were reported by media:* Phone service provider CenturyLink Inc is seeking to acquire Rackspace Hosting Inc in order to expand its cloud-computing services, Bloomberg reported, citing people familiar with the situation.*  BP Plc has secured the supply and offtake deal for Canada's Come by Chance refinery in Newfoundland from Australia's Macquarie Bank Ltd following the sale of the plant, a source familiar with the situation said on Friday. *  Edison, the Italian power company controlled by France's EDF, is set to enter private talks with E.On  to buy the German group's Italian unit E.On Italia, three sources close to the matter said on Friday. * Buyout groups EQT and CVC have made a joint bid to buy crop-protection company Cheminova in a deal that could be worth about 1 billion euros ($1.29 billion), two sources familiar with the deal told Reuters. * Insurance marketing and brokerage firm AmeriLife Group LLC is exploring a sale that could fetch as much as $500 million, and has hired investment bank Evercore Partners Inc to assist with that effort, people familiar with the matter said on Friday.For the deals of the day click onFor the Morning News Call-EMEA newsletter click on     (1 US dollar = 0.7723 euro)   (Compiled by Rama Venkat Raman in Bangalore)",2014-09-08,CTL,"Mon Sep 8, 2014 | 2:01am EDT",RPT-Market Chatter- Corporate finance press digest,http://www.reuters.com//article/market-chatter-idUSL3N0R915O20140908?type=companyNews
3,"  Sept 8 The following corporate finance-related stories were reported by media:* Phone service provider CenturyLink Inc is seeking to acquire Rackspace Hosting Inc in order to expand its cloud-computing services, Bloomberg reported, citing people familiar with the situation.*  BP Plc has secured the supply and offtake deal for Canada's Come by Chance refinery in Newfoundland from Australia's Macquarie Bank Ltd following the sale of the plant, a source familiar with the situation said on Friday. *  Edison, the Italian power company controlled by France's EDF, is set to enter private talks with E.On  to buy the German group's Italian unit E.On Italia, three sources close to the matter said on Friday. * Buyout groups EQT and CVC have made a joint bid to buy crop-protection company Cheminova in a deal that could be worth about 1 billion euros ($1.29 billion), two sources familiar with the deal told Reuters.* Insurance marketing and brokerage firm AmeriLife Group LLC is exploring a sale that could fetch as much as $500 million, and has hired investment bank Evercore Partners Inc to assist with that effort, people familiar with the matter said on Friday. For the deals of the day click onFor the Morning News Call-EMEA newsletter click on     (1 US dollar = 0.7723 euro)   (Compiled by Rama Venkat Raman in Bangalore)",2014-09-08,CTL,"Sun Sep 7, 2014 | 11:46pm EDT",Market Chatter- Corporate finance press digest,http://www.reuters.com//article/market-chatter-idUSL3N0R90R220140908?type=companyNews
4,"  (The following statement was released by the rating agency) CHICAGO, March 30 (Fitch) Fitch Ratings has affirmed the Issuer Default Ratings  (IDRs) of CenturyLink, Inc. (CenturyLink) and its subsidiaries at 'BB+'. The  issue ratings of CenturyLink's $8 billion of outstanding senior unsecured notes  (pro forma for first-quarter 2015 refinancing) and revolving credit facility  (RCF) have been affirmed at 'BB+'. The ratings on the outstanding $10.1 billion  aggregate amount of senior unsecured debt of Qwest Corporation (QC) and Embarq  Corporation (Embarq, including certain subsidiaries) have been affirmed at  'BBB-'. A full list of rating actions follows at the end of this release. The  Rating Outlook is Stable. KEY RATING DRIVERS The following factors support CenturyLink's ratings: --Fitch's ratings are based on the expectation that CenturyLink will demonstrate  steady improvement in its revenue profile over the next couple of years given  that rates of decline have moderated to nominal levels and could be flat in  2015; --Near-term consolidated free cash flows (FCFs) have strengthened and are  expected to be relatively healthy in 2015; --Liquidity is expected to remain relatively strong over the rating horizon.  The following factors are embedded in CenturyLink's ratings: --CenturyLink's financial policy, which incorporates a net leverage target of up  to 3x; --High-margin voice revenues continue to decline but are largely being replaced  by broadband and business services revenues. The latter sources have lower  margins.  CenturyLink's consolidated revenues continue to show signs of reaching  stability, declining by a modest 0.4% in 2014, after recording a 1.5% decline in  2013. Fitch continues to expect revenue growth from strategic areas, including  high-speed data, Prism, advanced business services, as well as in managed  hosting and cloud computing services, to contribute to longer-term revenue  stability.  In May 2014, a 24-month, $1 billion share repurchase program became effective  upon the completion of the previous $2 billion repurchase program and by the end  of 2014, $200 million of shares were repurchased. Share repurchases are being  funded primarily out of FCF. Fitch does not expect CenturyLink to issue debt for  future share repurchases. On a gross debt basis, CenturyLink's leverage at year-end 2014 was approximately  2.95x. Leverage has risen from the 2.84x posted in 2013 given slight pressure on  EBITDA as service revenues continue to shift to lower-margin, but strategic,  broadband and business service revenue from higher-margin legacy voice revenues.  Fitch believes leverage will remain around 3x over the next couple of years, in  part due to a stabilization of EBITDA in 2016 or 2017, as newer strategic  services achieve greater scale.  CenturyLink's total debt was $20.7 billion at Dec. 31, 2014. Financial  flexibility is provided through a $2 billion RCF, which matures in December  2019. As of Dec. 31, 2014, approximately $1.275 billion was available on the  facility. CenturyLink also has a $160 million uncommitted revolving letter of  credit facility.  In 2015, Fitch expects CenturyLink's FCF (defined as cash flow from operations  less capital spending and dividends) to be substantially similar to the $913  million generated in 2014. Expected FCF levels reflect capital spending within  the company's guidance of approximately $3 billion for 2015. Within the capital  budget, areas of focus for investment include continued spending on data  center/hosting, broadband expansion and enhancement, as well as spending on  IPTV, the company's facilities-based video program.  Fitch believes CenturyLink has the financial flexibility to manage upcoming  maturities due to its FCF and credit facilities. Maturing debt in 2015 totals  $550 million, of which $350 million was repaid in February 2015. In 2016,  maturities amount to approximately $1.5 billion.  The principal financial covenants in the $2 billion RCF limit CenturyLink's  debt-to-EBITDA for the past four quarters to no more than 4x and EBITDA-to-interest plus preferred dividends (with the terms as defined in the  agreement) to no less than 1.5x. QC has a maintenance covenant of 2.85x and an  incurrence covenant of 2.35x. The facility is guaranteed by certain material  subsidiaries of CenturyLink.  Going forward, Fitch expects CenturyLink and QC will be CenturyLink's only  issuing entities. CenturyLink has a universal shelf registration available for  the issuance of debt and equity securities.  KEY ASSUMPTIONS --Fitch assumes revenues will be flat in 2015, and will grow in the low single  digits beginning in 2016. EBITDA margins in 2015 and 2016 are expected to  decline slightly from the 38.8% recorded in 2014 as higher margin legacy  revenues continue to decline.  --In 2015, Fitch expects consolidated capital spending to approximate $3  billion, similar to the amount spent in 2014. The company's $1 billion share  repurchase program, which became effective in May 2014, is expected to be  completed over an 18-to-24 month period.  RATING SENSITIVITIES Fitch does not expect a positive rating action over the next several years based  on its assessment of the competitive risks faced by CenturyLink and expectations  for leverage. A negative rating action could occur if: --Consolidated leverage through, but not limited to, operational performance,  acquisitions, or debt-funded stock repurchases, is expected to be 3.5x or  higher; -A reduction in capital spending that, in Fitch's evaluation, affects future  revenue growth. The ratings have been affirmed as follows: CenturyLink --Long-term IDR at 'BB+';  --Senior unsecured $2 billion RCF at 'BB+';  --Senior unsecured debt at 'BB+'. Embarq Corp. --IDR at 'BB+'; --Senior unsecured notes at 'BBB-'. Embarq Florida, Inc. (EFL) --IDR at 'BB+'; --First mortgage bonds at 'BBB-'. Qwest Communications International, Inc. (QCII) --IDR at 'BB+'. Qwest Corporation (QC) --IDR at 'BB+'; --Senior unsecured notes at 'BBB-'. Qwest Services Corporation (QSC) --IDR at 'BB+'. Qwest Capital Funding (QCF) --Senior unsecured notes at 'BB+'. Contact: Primary Analyst John Culver, CFA Senior Director +1-312-368-3216 Fitch Ratings, Inc. 70 W. Madison Street, Chicago, IL 60602 Secondary Analyst Constance McKay Associate Director +1-312-368-3148 Committee Chairperson Craig Fraser Managing Director +1-212-908-0310 Media Relations: Alyssa Castelli, New York, Tel: +1 (212) 908 0540, Email:  alyssa.castelli@fitchratings.com; Elizabeth Fogerty, New York, Tel: +1 (212) 908  0526, Email: elizabeth.fogerty@fitchratings.com. Additional information is available at 'www.fitchratings.com'. Applicable Criteria and Related Research:  --'Corporate Rating Methodology' (May 28, 2014); --'Telecommunications - Rating Navigator Companion' (Nov. 17, 2014). Applicable Criteria and Related Research:  Corporate Rating Methodology - Including Short-Term Ratings and Parent and  Subsidiary Linkage here Telecommunications: Ratings Navigator Companihere Additional Disclosure  Solicitation Status  here ALL FITCH CREDIT RATINGS ARE SUBJECT TO CERTAIN LIMITATIONS AND DISCLAIMERS.  PLEASE READ THESE LIMITATIONS AND DISCLAIMERS BY FOLLOWING THIS LINK:  here. IN ADDITION, RATING  DEFINITIONS AND THE TERMS OF USE OF SUCH RATINGS ARE AVAILABLE ON THE AGENCY'S  PUBLIC WEBSITE 'WWW.FITCHRATINGS.COM'. PUBLISHED RATINGS, CRITERIA AND  METHODOLOGIES ARE AVAILABLE FROM THIS SITE AT ALL TIMES. FITCH'S CODE OF  CONDUCT, CONFIDENTIALITY, CONFLICTS OF INTEREST, AFFILIATE FIREWALL, COMPLIANCE  AND OTHER RELEVANT POLICIES AND PROCEDURES ARE ALSO AVAILABLE FROM THE 'CODE OF  CONDUCT' SECTION OF THIS SITE. FITCH MAY HAVE PROVIDED ANOTHER PERMISSIBLE  SERVICE TO THE RATED ENTITY OR ITS RELATED THIRD PARTIES. DETAILS OF THIS  SERVICE FOR RATINGS FOR WHICH THE LEAD ANALYST IS BASED IN AN EU-REGISTERED  ENTITY CAN BE FOUND ON THE ENTITY SUMMARY PAGE FOR THIS ISSUER ON THE FITCH  WEBSITE.   ",2015-03-30,CTL,"Mon Mar 30, 2015 | 3:51pm EDT",Fitch Affirms CenturyLink's IDR at 'BB+'; Outlook Stable,http://www.reuters.com//article/idUSFit91826920150330?type=companyNews
5,"   By Alina Selyukh | WASHINGTON  WASHINGTON AT&T Inc, CenturyLink Inc  and U.S. telecom and cable industry groups called for regulators to block parts of new rules for Internet service providers on Friday, citing ""crushing"" compliance costs and threats to investment.In filings with the Federal Communications Commission, the industry did not ask for a suspension of the principal ""net neutrality"" rules that ban Internet providers from blocking and slowing down web traffic or from striking deals with content companies for smoother downloads.Instead, the groups and companies sought to block the agency's move to reclassify broadband Internet as a more heavily regulated telecommunications service, and a new broad general conduct standard that prohibits Internet providers from ""unreasonably interfering"" with consumers' access to the web.While the requests are expected to be rejected by the FCC, they pave the way for the industry to ask courts to pause the implementation of the rules while they are being litigated. The new regulations go into effect on June 12. After a year of intense debate over how to best regulate Internet service providers, the FCC now faces several industry lawsuits over the proposed rules in different courts. It is not clear yet which court will ultimately get to hear the arguments.The FCC on Thursday asked to transfer the pending cases to the U.S. Court of Appeals for the District of Columbia Circuit, which has twice rejected its previous versions of net neutrality rules but last year confirmed its authority to set Internet regulations. Cable and wireless companies earlier argued they didn't oppose the principles of net neutrality, such as no blocking of any traffic, but rejected the tighter regulatory regime. Friday's filings offer the most specific details yet of the arguments they are expected to make in court.The documents cited testimonials of executives at regional and local Internet providers that the rules will create costly compliance burdens and limit resources for improvements to broadband networks or new products. The filings said that the complexity of the rules would be ""crushing"" for small broadband providers with limited human and financial resources, pointing to the risk of immediate lawsuits and additional burdens from new privacy protection demands.AT&T executives said that it would cost the company about $400 million in lost revenue to end current marketing practices in order to set up new procedures for compliance with the tighter, though yet unspecified, privacy protection requirements for broadband providers.The filings came from the USTelecom Association, CTIA-The Wireless Association, National Cable and Telecommunications Association, the American Cable Association, AT&T, CenturyLink and the Wireless Internet Service Providers Association.",2015-05-01,CTL,"Fri May 1, 2015 | 5:25pm EDT","AT&T, U.S. telecom groups seek to block new Internet rules",http://www.reuters.com//article/usa-internet-neutrality-idUSL1N0XS1KM20150501?type=companyNews
6,"  (Adds cable industry filing, AT&T executive comments)By Alina SelyukhWASHINGTON May 1 AT&T Inc, CenturyLink Inc and U.S. telecom and cable industry groups called for regulators to block parts of new rules for Internet service providers on Friday, citing ""crushing"" compliance costs and threats to investment.In filings with the Federal Communications Commission, the industry did not ask for a suspension of the principal ""net neutrality"" rules that ban Internet providers from blocking and slowing down web traffic or from striking deals with content companies for smoother downloads.Instead, the groups and companies sought to block the agency's move to reclassify broadband Internet as a more heavily regulated telecommunications service, and a new broad general conduct standard that prohibits Internet providers from ""unreasonably interfering"" with consumers' access to the web. While the requests are expected to be rejected by the FCC, they pave the way for the industry to ask courts to pause the implementation of the rules while they are being litigated. The new regulations go into effect on June 12.After a year of intense debate over how to best regulate Internet service providers, the FCC now faces several industry lawsuits over the proposed rules in different courts. It is not clear yet which court will ultimately get to hear the arguments. The FCC on Thursday asked to transfer the pending cases to the U.S. Court of Appeals for the District of Columbia Circuit, which has twice rejected its previous versions of net neutrality rules but last year confirmed its authority to set Internet regulations.Cable and wireless companies earlier argued they didn't oppose the principles of net neutrality, such as no blocking of any traffic, but rejected the tighter regulatory regime. Friday's filings offer the most specific details yet of the arguments they are expected to make in court. The documents cited testimonials of executives at regional and local Internet providers that the rules will create costly compliance burdens and limit resources for improvements to broadband networks or new products.The filings said that the complexity of the rules would be ""crushing"" for small broadband providers with limited human and financial resources, pointing to the risk of immediate lawsuits and additional burdens from new privacy protection demands.AT&T executives said that it would cost the company about $400 million in lost revenue to end current marketing practices in order to set up new procedures for compliance with the tighter, though yet unspecified, privacy protection requirements for broadband providers.The filings came from the USTelecom Association, CTIA-The Wireless Association, National Cable and Telecommunications Association, the American Cable Association, AT&T, CenturyLink and the Wireless Internet Service Providers Association.   (Reporting by Alina Selyukh; Editing by Doina Chiacu, Soyoung Kim and Bernard Orr)",2015-05-01,CTL,"Fri May 1, 2015 | 4:59pm EDT","UPDATE 2-AT&T, U.S. telecom groups seek to block new Internet rules",http://www.reuters.com//article/usa-internet-neutrality-idUSL1N0XS1JW20150501?type=companyNews
7,"  Jan 7 Joseph Nacchio, the former Qwest Communications International chief executive, has won a $14.2 million jury verdict against a Goldman Sachs Group Inc  unit and financial adviser over the sale of life insurance policies, his law firm said on Thursday.Nacchio and his wife said Goldman's Ayco financial planning unit and their former adviser David Weinstein breached their fiduciary duties by failing to tell them that the $95 million of variable life insurance they bought in 2000 would likely lapse before their life expectancies, the law firm Nagel Rice said.The couple was forced as a result to cancel their policies and pay $26 million in premiums to replace them, the firm said. ""We are disappointed with the verdict and plan to appeal,"" Ayco spokesman Brian Cuneo said. A lawyer for Weinstein could not immediately be reached for comment. Bruce Nagel, a lawyer for the Nacchios, in a statement said the Morristown, New Jersey jury awarded everything his clients sought after a month-long trial. Nagel could not immediately be reached for additional comment. Nacchio, 66, spent roughly five years in prison after being convicted in 2007 of insider trading. He was also ordered to pay more than $63 million in fines and forfeiture, court records show.Qwest was a U.S. regional phone company based in Denver before it merged in April 2011 with CenturyLink Inc.     (Reporting by Jonathan Stempel in New York; Editing by Bernard Orr)",2016-01-07,CTL,"Thu Jan 7, 2016 | 6:43pm EST","Ex-Qwest CEO Nacchio wins $14 mln verdict vs Goldman unit, law firm says",http://www.reuters.com//article/goldman-sachs-nacchio-idUSL1N14R34020160107?type=companyNews
8,"  (Adds details of allegations, jury deliberations, byline)By Jonathan StempelJan 7 Joseph Nacchio, the former Qwest Communications International chief executive, on Thursday won a $14.2 million jury verdict against a Goldman Sachs Group Inc  unit and financial adviser over the sale of life insurance policies, his law firm said.Nacchio and his wife accused Goldman's Ayco financial planning unit and their former adviser David Weinstein of breaching their fiduciary duties by failing to tell them that the $95 million of variable life insurance they bought in 2000 would likely lapse before they died. After learning that the lapse would occur during their 70s, not when they turned 100 as they intended, the Nacchios canceled the policies and paid $26 million in premiums to replace them, their lawyer Bruce Nagel said.The jury award equaled roughly the difference between what the Nacchios spent overall, and what they would have spent in 2000 had they been sold the policies they wanted, Nagel added. ""We are disappointed with the verdict and plan to appeal,"" Ayco spokesman Brian Cuneo said. Lawyers for Weinstein did not immediately respond to requests comment.Nagel said the Morristown, New Jersey jury needed less than 1-1/2 hours to reach its verdict, after a month-long trial. His firm Nagel Rice is based in Roseland, New Jersey. Nacchio, 66, spent roughly five years in prison after being convicted in 2007 of insider trading.He was also ordered to pay more than $63 million in fines and forfeiture, court records show. Nagel said Nacchio paid this sum.Qwest was a U.S. regional phone company based in Denver before it merged in April 2011 with CenturyLink Inc.   (Reporting by Jonathan Stempel in New York; Editing by Bernard Orr)",2016-01-08,CTL,"Thu Jan 7, 2016 | 7:44pm EST",UPDATE 1-Ex-Qwest CEO Nacchio wins $14 mln verdict vs Goldman unit -lawyer,http://www.reuters.com//article/goldman-sachs-nacchio-idUSL1N14S00F20160108?type=companyNews
9,  March 22 Centurylink Inc :* Agreed to sell $1 billion of newly-issued unsecured eight-year senior notes  * Centurylink agrees to sell $1 billion of debt securities  Source text for Eikon:  Further company coverage:    (Bengaluru Newsroom: +1-646-223-8780) ,2016-03-22,CTL,"Tue Mar 22, 2016 | 5:42pm EDT",BRIEF-Centurylink agrees to sell $1 bln of debt securities,http://www.reuters.com//article/idUSASC08HVY?type=companyNews
