,Article,Date,Symbol,Time,Title,Url
0,"  OSAKA, Japan Jan 22 Japan's Kubota Corp  plans to sell powerful, large tractors in North America and Europe next year, its president said on Wednesday, challenging farm equipment industry leader Deere & Co.Yasuo Masumoto, president of Japan's biggest farm equipment maker, told Reuters Kubota was seeking a joint venture with a European or U.S. company this year to produce the tractors, which will have a horsepower of at least 200.The company had previously raised the prospect of adding the 200 horsepower tractors to its line-up through acquisitions, but Masumoto said that route would take too much time. ""There's no progress on an acquisition and we have to get into big machines,"" he said, adding that Kubota is targeting sales of about 300 units of these larger tractors in the year to March 2016.The North American market for large tractors is dominated by U.S.-based Deere, CNH Industrial NV and AGCO Corp , while the main companies in Europe include unlisted Claas KGaA mbH. Kubota is currently one of the world's biggest manufacturers of equipment used in paddy farming, but it wants to expand into the market for dry field crops such as wheat, corn and soybeans, which globally cover about four times the land area used for rice cultivation. The company's tractors currently go up to 135 horsepower at most, which is insufficient for large farms.Last year, Kubota invested 40.3 million euros ($55 million)in a new plant in northern France that will begin producing up to 170 horsepower tractors in April 2015 for the North American and European markets.",2014-01-22,DE,"Wed Jan 22, 2014 | 6:00am EST",Japan's Kubota eyes U.S. fields with larger tractors,http://www.reuters.com//article/kubota-expansion-idUSL3N0KW3D120140122?type=companyNews
1,"   By James B. Kelleher  Deere & Co (DE.N) posted a stronger-than-expected quarterly profit on Wednesday but kept its full-year forecast unchanged, indicating the challenges the farm equipment industry faces as commodity prices come off the record highs of recent years.The Moline, Illinois-based company said cost controls had helped offset the effects of moderating demand for its tractors, harvesters and other agricultural machinery in the most recent quarter.Deere, the world's largest maker of farm equipment, said it had earned $681.1 million, or $1.81 a share, in the first quarter ended January 31, up from $649.7 million, or $1.65 a share, a year earlier.Analysts on average expected a profit of $1.52 a share, according to Thomson Reuters I/B/E/S. Revenue, including from financial services, rose 3 percent to $7.65 billion.Deere said it still expected equipment sales to fall 3 percent in fiscal 2014 and that it would post a full-year profit of about $3.3 billion, down from $3.54 billion last year. Farmers are expected to throttle back on purchases of new vehicles this year following a bumper crop that sent commodity prices lower.Analysts now expect crop receipts, which tend to correlate with farm equipment purchases, to fall as much as 10 percent this year. William Blair & Co analyst Lawrence De Maria said Deere's unwillingness to raise its forecast despite the stronger-than-expected results reflected deteriorating farm fundamentals, especially in North America. Deere's results for the second half results and 2015 could be at risk, he added.In morning trading on the New York Stock Exchange, Deere shares, which have outperformed the Standard & Poor's 500 stock index .SPX in recent months, were down 0.5 percent at $87.04.(Reporting by James B. Kelleher in Chicago; Editing by Lisa Von Ahn)",2014-02-12,DE,"Wed Feb 12, 2014 | 11:02am EST",Deere profit beats Wall St estimates but outlook unchanged,http://www.reuters.com//article/us-deere-results-idUSBREA1B0XX20140212?type=companyNews
2,"  * Holds to forecast as farm incomes recede* Cost controls help soften effects of moderating demand* Shares down less than 1 percentBy James B. KelleherFeb 12 Deere & Co posted a stronger-than-expected quarterly profit on Wednesday but kept its full-year forecast unchanged, indicating the challenges the farm equipment industry faces as commodity prices come off the record highs of recent years.The Moline, Illinois-based company said cost controls had helped offset the effects of moderating demand for its tractors, harvesters and other agricultural machinery in the most recent quarter. Deere, the world's largest maker of farm equipment, said it had earned $681.1 million, or $1.81 a share, in the first quarter ended Jan. 31, up from $649.7 million, or $1.65 a share, a year earlier.Analysts on average expected a profit of $1.52 a share, according to Thomson Reuters I/B/E/S. Revenue, including from financial services, rose 3 percent to $7.65 billion.Deere said it still expected equipment sales to fall 3 percent in fiscal 2014 and that it would post a full-year profit of about $3.3 billion, down from $3.54 billion last year. Farmers are expected to throttle back on purchases of new vehicles this year following a bumper crop that sent commodity prices lower.Analysts now expect crop receipts, which tend to correlate with farm equipment purchases, to fall as much as 10 percent this year.William Blair & Co analyst Lawrence De Maria said Deere's unwillingness to raise its forecast despite the stronger-than-expected results reflected deteriorating farm fundamentals, especially in North America. Deere's results for the second half results and 2015 could be at risk, he added.In morning trading on the New York Stock Exchange, Deere shares, which have outperformed the Standard & Poor's 500 stock index in recent months, were down 0.5 percent at $87.04.",2014-02-12,DE,"Wed Feb 12, 2014 | 10:55am EST",UPDATE 3-Deere profit beats Wall St estimates but outlook unchanged,http://www.reuters.com//article/deere-results-idUSL2N0LH0IJ20140212?type=companyNews
3,"  * Procter & Gamble dips after outlook* Ford reports 53 percent increase in China sales* Deere gains in premarket after quarterly results* Futures up: Dow 9 pts, S&P 1 pt, Nasdaq up 5.5 ptsBy Chuck MikolajczakNEW YORK, Feb 12 U.S. stocks were poised to open little changed on Wednesday, after a four-day rally left the S&P 500 within striking distance of a fresh record high. * The benchmark S&P index has risen 3.9 percent over the past four sessions, its longest winning streak of the year and best four-day performance in thirteen months. The index now stands 1.6 percent below its record closing high of 1,848.38 set on Jan. 15.* Stocks rose in a broad rally on Tuesday as Congress agreed to advance legislation extending the borrowing authority of the United States and after the Federal Reserve's new chief Janet Yellen made no changes to the central bank's schedule for trimming stimulus.* Procter & Gamble Co slipped 0.8 percent to $78.20 in premarket trading after the world's largest household products maker cut its sales and earnings outlook for the year on Tuesday to reflect unfavorable foreign exchange rates in Venezuela and the devaluation of currencies in various developing markets. * Deere & Co gained 1.5 percent to $88.75 before the opening bell the world's largest maker of farm equipment posted a stronger-than-expected quarterly profit.* S&P 500 e-mini futures added 1 point and were about even with fair value, a formula that evaluates pricing by taking into account interest rates, dividends and time to expiration on the contract. Dow Jones industrial average futures rose 9 points and Nasdaq 100 futures added 5.5 points.* Owens Corning jumped 10.7 percent to $44 in premarket trade after the composite and building materials company posted its fourth-quarter earnings. * S&P 500 companies scheduled to report earnings after the close on Wednesday include Applied Materials Inc, Metlife Inc, Whole Foods Market Inc and Cisco Systems Inc.* Investors who were shocked by Cisco's dire financial outlook in its last quarterly earnings report are bracing for more bad news when the network equipment maker reports results.* Of 357 companies in the S&P 500 that have reported earnings through Tuesday morning, 67.8 percent have beaten profit expectations, above the long-term average of 63 percent, according to Thomson Reuters data. Almost 66 percent have topped revenue forecasts, above the historical average of 61 percent.* Ford Motor Co advanced 1.2 percent to $15.14 before the opening bell after the automaker and its Chinese joint ventures reported a 53 percent increase in vehicle sales in China in January.",2014-02-12,DE,"Wed Feb 12, 2014 | 9:05am EST",US STOCKS-Wall Street set for flat open after four-day run,http://www.reuters.com//article/markets-usa-stocks-idUSL2N0LH0NY20140212?type=companyNews
4,"  * Procter & Gamble dips after outlook* Ford reports 53 percent increase in China sales* Deere gains in premarket after quarterly results* Futures up: Dow 2 pts, S&P 0.75 pt, Nasdaq 3.25 ptsBy Chuck MikolajczakNEW YORK, Feb 12 U.S. stock index futures were little changed on Wednesday, after a four-day rally left the S&P 500 within striking distance of a fresh record high. * The benchmark S&P index has risen 3.9 percent over the past four sessions, its longest winning streak of the year and best four-day performance in thirteen months. The index now stands 1.6 percent below its record closing high of 1,848.38 set on Jan. 15.* Stocks rose in a broad rally on Tuesday as Congress agreed to advance legislation extending the borrowing authority of the United States and after the Federal Reserve's new chief Janet Yellen made no changes to the central bank's schedule for trimming stimulus.* Procter & Gamble Co lost 1.1 percent to $78 in premarket trading after the world's largest household products maker cut its sales and earnings outlook for the year on Tuesday to reflect unfavorable foreign exchange rates in Venezuela and the devaluation of currencies in various developing markets. * Deere & Co gained 2 percent to $89.20 before the opening bell after posting its first-quarter earnings.* S&P 500 e-mini futures rose 0.75 point and were slightly below fair value, a formula that evaluates pricing by taking into account interest rates, dividends and time to expiration on the contract. Dow Jones industrial average futures  rose 2 points and Nasdaq 100 futures added 3.25 points.* S&P 500 companies scheduled to report earnings on Wednesday include Applied Materials Inc, Metlife Inc , Whole Foods Market Inc and Cisco Systems Inc . * Investors who were shocked by Cisco's dire financial outlook in its last quarterly earnings report are bracing for more bad news when the network equipment maker reports results.* Of 357 companies in the S&P 500 that have reported earnings through Tuesday morning, 67.8 percent have beaten profit expectations, above the long-term average of 63 percent, according to Thomson Reuters data. Almost 66 percent have topped revenue forecasts, above the historical average of 61 percent.* Ford Motor Co edged up 0.3 percent to $15 before the opening bell after the automaker and its Chinese joint ventures reported a 53 percent increase in vehicle sales in China in January.* One of Europe's top regional indexes extended its best winning streak of the year, buoyed by good earnings as well as bullish data on exports and imports from China, to rise for a sixth straight session.* Asian shares rallied for a fourth straight session, as the trade data from China and Federal Reserve Chair Janet Yellen's optimistic outlook whetted investors' appetite for risk.",2014-02-12,DE,"Wed Feb 12, 2014 | 7:27am EST",US STOCKS-Futures little changed after four-day run,http://www.reuters.com//article/markets-usa-stocks-idUSL2N0LH0IB20140212?type=companyNews
5,"  Feb 12 Deere & Co posted a stronger-than-expected quarterly profit on Wednesday as the company's efforts to control costs offset moderating demand from farmers for its tractors, harvesters and other agricultural machinery.The world's largest maker of farm equipment said it had earned $681.1 million, or $1.81 a share, in the first quarter ended Jan. 31, up from $649.7 million, or $1.65 a share, a year earlier. Analysts on average expected the Moline, Illinois-based company to report a profit of $1.52 a share, according to Thomson Reuters estimates.  Total sales and revenue from financial services rose 3 percent to $7.65 billion.",2014-02-12,DE,"Wed Feb 12, 2014 | 7:16am EST",Deere posts stronger-than-expected quarterly profit,http://www.reuters.com//article/deere-results-idUSL2N0LH0HU20140212?type=companyNews
6,"  * Investors watch struggling small-cap index* Deere shares fall after results; Macy's dips* Dow down 0.6 pct, S&P 500 down 0.5 pct, Nasdaq down 0.7 pct   (Updates to close)By Caroline ValetkevitchNEW YORK, May 14 U.S. stocks fell on Wednesday, with the Dow and S&P 500 retreating from recent record highs, as small caps resumed their sell-off and consumer discretionary shares lagged.The S&P consumer discretionary index was down 1.1 percent and led the decline on the S&P 500. The S&P retail index  lost 1.1 percent.Macy's shares dipped 0.2 percent to $57.83 after the department store operator reported sales that missed expectations. Retailer Fossil Group Inc  was the biggest percentage decliner on the S&P 500, a day after it gave a second-quarter profit outlook that was much lower than expected. Shares sank 10.3 percent to $100.00. Some analysts are focusing on retailers' results for signs the economy is stabilizing after weakness over the winter months.""A lot of people are looking for evidence to confirm the tough winter was the only reason we saw slowing"" in economic activity, said Joe Bell, senior equity analyst at Schaeffer's Investment Research in Cincinnati, Ohio.The Russell 2000 index of small-cap stocks dropped 1.6 percent, underperforming the benchmark S&P 500 and extending a divergence that has been pronounced throughout 2014.The Dow Jones industrial average fell 101.47 points, or 0.61 percent, to 16,613.97, the S&P 500 lost 8.92 points, or 0.47 percent, to 1,888.53, and the Nasdaq Composite  dropped 29.54 points, or 0.72 percent, to 4,100.63. At its session low on Friday, the Russell 2000 was down exactly 10 percent from the intraday record high set in early March. Some analysts are concerned that persistent weakness in small-caps could spread throughout the market.The S&P 500 is coming off three straight daily advances, marking record closing highs for the last two sessions. On Tuesday it climbed above 1,900 for the first time. The Dow ended at record highs for the three previous sessions.The biggest drag on both the Dow and the S&P 500 on Wednesday was IBM, whose shares shed 1.8 percent to $188.72. IBM said in a filing it expects hardware profit to be flat year-over-year in 2014. Among other decliners, Deere & Co fell 2 percent to $91.70. The farm equipment company cut its full-year sales outlook even as it reported a better-than-expected quarterly profit.In late afternoon trading, Wal-Mart shares fell sharply in an instant as volume spiked in an out-of-the-ordinary mini ""flash crash,"" data showed. The stock ended down 0.5 percent at $78.74.Shares of online retailer Zulily Inc shot up 9.3 percent to $34.99 in heavy volume of more than 9.7 million shares, after dropping to a record low earlier in the day following the expiration of the lockup period after its initial public offering in November.U.S. data showed potential signs inflation pressures may be creeping up. Producer prices recorded their largest increase in 1-1/2 years in April as food prices surged.Shares of The New York Times Co dropped 4.5 percent to $15.06 after an unexpected announcement by the company that managing editor Dean Baquet would take over as executive editor of the company's flagship newspaper, effective immediately. The company did not say why Jill Abramson was departing as executive editor.About 5.3 billion shares changed hands on U.S. exchanges, below the 6.1 billion month-to-date average, according to data from BATS Global Markets.   (Editing by Bernadette Baum, Nick Zieminski)",2014-05-14,DE,"Wed May 14, 2014 | 4:40pm EDT",US STOCKS-Wall St ends lower after recent highs; small caps raise concern,http://www.reuters.com//article/markets-usa-stocks-idUSL1N0O01X820140514?type=companyNews
7,"  * Investors watch struggling small-cap index* Deere shares fall after results, Macy's up* Dow down 0.6 pct, S&P 500 down 0.5 pct, Nasdaq down 0.7 pct   (Updates to late afternoon trading)By Caroline ValetkevitchNEW YORK, May 14 U.S. stocks slipped on Wednesday, a day after the Dow and S&P 500 hit record closing highs, as small caps sold off and shares of retailers declined.Leading declines on the Dow and S&P was IBM. Its shares fell 1.7 percent to $188.94 after it said in a filing that it expects hardware profit to be flat year-over-year in 2014. Macy's dipped 0.5 percent to $57.55 after its sales missed expectations. The S&P retail index  was down 1 percent.Retailer Fossil Group Inc was the biggest percentage decliner on the S&P 500 a day after it gave a second-quarter profit outlook that was much lower than expected, pressured by rising costs. Shares fell 9 percent to $101.45. The Russell 2000 index of small-cap stocks dropped 1.4 percent, underperforming the three major indexes and extending a divergence that has been pronounced throughout 2014. Some analysts are concerned that persistent weakness in small-caps could spread throughout the market.The S&P is coming off three straight daily advances. On Tuesday it climbed above 1,900 for the first time.U.S. data showed potential signs inflation pressures may be creeping up. Producer prices recorded their largest increase in 1-1/2 years in April as food prices surged. ""A lot of people are looking for evidence to confirm the tough winter was the only reason we saw slowing,"" in activity, said Joe Bell, senior equity analyst at Schaeffer's Investment Research in Cincinnati, Ohio.The Dow Jones industrial average fell 102.75 points or 0.61 percent, to 16,612.69, the S&P 500 lost 9.56 points or 0.5 percent, to 1,887.89 and the Nasdaq Composite  dropped 28.40 points or 0.69 percent, to 4,101.764.Deere & Co fell 2.3 percent to $91.43. The farm equipment company cut its full-year sales outlook even as it reported a better-than-expected quarterly profit.Shares of online retailer Zulily Inc shot up 8.2 percent to $34.66, rebounding after dropping to a record low earlier in the day following the expiration of its lockup period.    (Editing by Bernadette Baum; Editing by Nick Zieminski)",2014-05-14,DE,"Wed May 14, 2014 | 3:27pm EDT",US STOCKS-Wall St falls back from record highs; small caps drop,http://www.reuters.com//article/markets-usa-stocks-idUSL1N0O01PW20140514?type=companyNews
8,"  (Adds details on South America and the Commonwealth of Independent States; updates share movement)By James B. KelleherMay 14 Deere & Co on Wednesday reported a stronger-than-expected quarterly profit but trimmed its outlook for full-year sales of farm equipment, citing deteriorating conditions in South America and the former Soviet Union.Sales of the company's green-and-yellow tractors and harvesters fell a worse-than-expected 12 percent during the second quarter ended on April 30, Deere said, but cost cuts, a lower-than-expected tax rate and improved margins in its construction equipment unit helped offset that weakness.Deere also stuck by its full-year profit forecast despite growing weakness in Argentina, where it said import tariffs were hurting tractor sales, and Brazil, where contracting margins in the sugar cane industry were discouraging capital investment.In the Commonwealth of Independent States, Deere said geopolitical tensions between Russia and Ukraine were disrupting farm credit in the region, putting the 2014 crop at risk.The company said sales in Kazakhstan, Belarus and Russia were also hurt by import policies. It did not elaborate. Sales in the region will fall ""significantly"" this year, Deere said. It had previously said they would be ""down slightly.""The company, the world's largest maker of farm equipment, had already signaled that demand for its products would fall in most markets this year following a bumper crop that sent commodity prices down.Lower commodity prices hurt Deere and its rivals because they shrink farm incomes and discourage investment in new equipment. On Wednesday, Deere said the weakness would be greater than it expected, with sales of agricultural equipment down about 7 percent in fiscal 2014. Three months ago, it said it expected a decline of about 6 percent.""The execution was terrific during the quarter, but the signs of a cyclical peak are growing,"" said Longbow Research analyst Eli Lustgarten. Some investors hoped a rebound in construction demand, particularly in the United States, would help offset that softness for Deere, which also makes equipment for builders.But Deere also scaled back its outlook for that industry on Wednesday. Although it held to the forecast for its own construction sales, it cut its expectation for total U.S. construction investment growth to a 4.3 percent annual rate for 2014 from 6.3 percent.The company also reduced its forecast for 2014 U.S. housing starts by nearly 10 percent to 1.05 million.Deere posted a second-quarter profit of $980.7 million, or $2.65 a share, down from $1.08 billion, or $2.76 a share, a year earlier. Analysts on average had expected $2.48 a share, according to Thomson Reuters I/B/E/S.Revenue fell 9 percent to $9.95 billion.Shares of Deere, which have outperformed the Standard & Poor's 500 stock index so far this year, were down 2.3 percent at $91.50 in afternoon trading.   (Reporting by James B. Kelleher in Chicago; Editing by Lisa Von Ahn)",2014-05-14,DE,"Wed May 14, 2014 | 1:22pm EDT",UPDATE 3-Deere posts higher-than-expected profit but trims forecast,http://www.reuters.com//article/deere-and-co-results-idUSL1N0O00E120140514?type=companyNews
9,"  * Investors watch struggling small-cap index* Deere shares fall after results, Macy's up* Dow, S&P 500 and Nasdaq all down 0.3 pct   (Updates to midday trading)By Ryan VlastelicaNEW YORK, May 14 U.S. stocks edged lower on Wednesday, with the Dow and S&P 500 both coming off their record closing highs, though losses were concentrated in small-cap names.Major indexes dipped only slightly, but the S&P small-cap index lost 1.1 percent. The Russell 2000 index of small-cap stocks was off 0.7 percent, extending a divergence that has been pronounced throughout 2014. While the S&P is up 2.4 percent on the year, the Russell is down 4.5 percent. Some analysts are concerned that persistent weakness in small-caps could spread throughout the market.""From a market perspective, some of the assumptions we had coming into the year, like strengthening growth and improved revenue, haven't come through at the pace we expected, which is why you're seeing a rotation from small growth names into value and defensive ones,"" said Oliver Pursche, president of Gary Goldberg Financial Services in Suffern, New York.Pursche added that while the S&P's record didn't mean it was overvalued, ""a 5-percent correction is always possible."" Deere & Co fell 2.2 percent to $91.56. The farm equipment company cut its full-year sales outlook even as it reported a better-than-expected quarterly profit.  Macy's Inc rose 0.4 percent to $58.06 after announcing a dividend increase of 25 percent, but sales were below expectations.The Dow Jones industrial average was down 56.90 points, or 0.34 percent, at 16,658.54. The Standard & Poor's 500 Index was down 4.68 points, or 0.25 percent, at 1,892.77. The Nasdaq Composite Index was down 12.46 points, or 0.30 percent, at 4,117.70. The S&P is coming off three straight daily advances, and on Tuesday it climbed above 1,900 for the first time.Retailer Fossil Group Inc was the biggest decliner on the S&P 500 a day after it gave a second-quarter profit outlook that was much lower than expected, pressured by rising costs. Shares fell 8.1 percent to $102.35.Sears Holding Corp rose 2.6 percent to $44.36 after the company said it would hire an investment bank to help explore alternatives for its 51 percent stake in Sears Canada .U.S. producer prices posted their largest increase in 1-1/2 years in April as the cost of food and trade services surged, hinting at some inflation pressures at the factory gate.While the situation in Ukraine has not been a primary market mover this week, investors continue to watch it closely. On Tuesday, pro-Russian separatists ambushed Ukrainian troops, killing seven in the heaviest loss of life for government forces in a single clash.    (Editing by Bernadette Baum; Editing by Nick Zieminski)",2014-05-14,DE,"Wed May 14, 2014 | 11:20am EDT",US STOCKS-Wall St edges lower as small-caps again weigh,http://www.reuters.com//article/markets-usa-stocks-idUSL1N0O010W20140514?type=companyNews
