,Article,Date,Symbol,Time,Title,Url
0,"  Discovery Communications Inc and Scripps Networks Interactive Inc abandoned talks for a merger last week, the Wall Street Journal reported, quoting people familiar with the matter.The discussions did not go beyond the early, exploratory stage and Discovery had not made a formal offer for Scripps, the newspaper reported. (link.reuters.com/zez85v)A report in Variety had said in December that Discovery was considering a bid for Scripps, home to the Food Network and HGTV.The Scripps family did not appear ready to sell the cable company, Wall Street Journal said. The family had a 43 percent stake in Scripps Networks and newspaper company E.W. Scripps through a trust which ceased to exist in 2012, after which the shares were redistributed to descendants. The merger talks did not get far enough to consider terms or a price, the Wall Street Journal reported.Discovery will refocus on overseas expansion, which had been its focus before the talks with Scripps, the Journal said. Discovery and Scripps were not immediately available for comment outside regular U.S. business hours.(Reporting by Sruthi Ramakrishnan in Bangalore; Editing by Gopakumar Warrier)",2014-01-13,DISCK,"Mon Jan 13, 2014 | 3:13am EST","Discovery, Scripps Networks end merger talks: WSJ",http://www.reuters.com//article/us-discovery-scripps-idUSBREA0C0C820140113?type=companyNews
1,"  Jan 13 Discovery Communications Inc  and Scripps Networks Interactive Inc abandoned talks for a merger last week, the Wall Street Journal reported, quoting people familiar with the matter.The discussions did not go beyond the early, exploratory stage and Discovery had not made a formal offer for Scripps, the newspaper reported. ()A report in Variety had said in December that Discovery was considering a bid for Scripps, home to the Food Network and HGTV. The Scripps family did not appear ready to sell the cable company, Wall Street Journal said.The family had a 43 percent stake in Scripps Networks and newspaper company E.W. Scripps through a trust which ceased to exist in 2012, after which the shares were redistributed to descendants. The merger talks did not get far enough to consider terms or a price, the Wall Street Journal reported. Discovery will refocus on overseas expansion, which had been its focus before the talks with Scripps, the Journal said.Discovery and Scripps were not immediately available for comment outside regular U.S. business hours.",2014-01-13,DISCK,"Mon Jan 13, 2014 | 2:42am EST","Discovery, Scripps Networks end merger talks - WSJ",http://www.reuters.com//article/discovery-scripps-idUSL3N0KN1MI20140113?type=companyNews
2,"  Discovery Communications has gained a controlling interest in European sports broadcaster Eurosport International from French media group TF1, the companies said on Tuesday.Discovery, the media company behind cable channels TLC and Animal Planet, accelerated by nearly a year its original agreement to increase its stake in the European sports broadcasting platform to 51 percent from 20 percent.The deal was based on a valuation of about $1.2 billion for the Eurosport Group. TF1 will still be able to exercise a put option over the remaining 49 percent, which would potentially increase Discovery's ownership to 100 percent, the companies said in a statement.The Eurosport network reaches 133 million homes in more than 50 countries in 20 languages across Europe. TFI expects to retain its 80 percent interest in the Eurosport France unit until at least 2015. Silver Spring, Maryland-based Discovery has been investing steadily in Europe, including the acquisition of SBS Nordics last year.(Reporting by Jennifer Saba in New York; Editing by Lisa Von Ahn)",2014-01-21,DISCK,"Tue Jan 21, 2014 | 1:10pm EST",Discovery gains controlling interest in Eurosport International,http://www.reuters.com//article/us-discovery-eurosport-idUSBREA0K1DC20140121?type=companyNews
3,"  Jan 21 Discovery Communications has gained a controlling interest in European sports broadcaster Eurosport International from French media group TF1, the companies said on Tuesday.Discovery, the media company behind cable channels TLC and Animal Planet, accelerated by nearly a year its original agreement to increase its stake in the European sports broadcasting platform to 51 percent from 20 percent.The deal was based on a valuation of about $1.2 billion (902 million euros) for the Eurosport Group. TF1 will still be able to exercise a put option over the remaining 49 percent, which would potentially increase Discovery's ownership to 100 percent, the companies said in a statement. The Eurosport network reaches 133 million homes in more than 50 countries in 20 languages across Europe. TFI expects to retain its 80 percent interest in the Eurosport France unit until at least 2015.Silver Spring, Maryland-based Discovery has been investing steadily in Europe, including the acquisition of SBS Nordics last year.",2014-01-21,DISCK,"Tue Jan 21, 2014 | 1:03pm EST",Discovery gains controlling interest in Eurosport International,http://www.reuters.com//article/discovery-eurosport-idUSL2N0KV13Z20140121?type=companyNews
4,"  By Eric KelseyLOS ANGELES Jan 28 Fifty came with a televised bash, celebrity friends and a black-tie dinner, but Oprah Winfrey will have a low-key 60th birthday  at home in California on Wednesday.The billionaire media entrepreneur will have a ""quiet dinner"" in the seaside town of Montecito, 90 miles (145 km) northwest of Los Angeles, says a source familiar with her plans. Winfrey had previously said she would have ""the biggest blowout party I can dream of,"" but scaled back the affair after the guest list grew too large, the source said.Instead, last week she and her friends in West Hollywood attended a birthday SoulCycle spin class, an indoor stationary cycling exercise with motivational coaching. Winfrey posted a video online after the class with a group of people wearing navy blue T-shirts with ""Happy Birthday Oprah"" on the front. A self-made woman, she rose from poverty as an African American born to a teenage mother in rural Mississippi to become one of the world's most powerful celebrities, with an estimated net worth of $2.9 billion, according to Forbes magazine.She runs her own cable TV channel, the Oprah Winfrey Network, in partnership with Discovery Communications Inc. Winfrey's popular daytime talk show ended in 2011, and her trademark interviews were a must for public figures looking to remake their images.She told CBS television's ""This Morning"" program last October: ""The 6-0 number, I've always said to people to own it. Even I, who has said to women all these years, own it, own it, own it, took a pause for that.""Her 50th birthday party in 2004 on her ""Oprah Winfrey Show""  featured actor John Travolta, comedian Jay Leno and singers Tina Turner and Stevie Wonder, who all surprised her on set. She followed up with a high-profile luncheon and black-tie dinner.",2014-01-29,DISCK,"Tue Jan 28, 2014 | 9:19pm EST",REFILE-Larger than life Oprah celebrating 60th birthday quietly at home,http://www.reuters.com//article/people-oprahwinfrey-idUSL2N0L21TO20140129?type=companyNews
5,"  Liberty Global and Discovery Communications have made a joint approach to CVC Capital about buying a 49 percent stake in Formula One, the Telegraph reported, without citing sources.The talks are at an early stage but could value the auto-racing company at more than 6.5 billion pounds ($10.62 billion), the paper said on its website. (link.reuters.com/qev56vink)It added that U.S. cable group Liberty Global and Discovery Communications, the media company behind cable channels TLC and Animal Planet, had requested access to private information about CVC's finances.Private equity firm CVC currently owns 35 percent of Formula One, including all the voting rights. The Telegraph said that CVC declined to disclose details of where the remaining 14 percent would come from. Representatives from CVC, Liberty and Discovery were not immediately available for comment. Sources told Reuters in 2011 that News Corp, backed by media tycoon Rupert Murdoch, planned to make a bid to take control of Formula One.Formula One boss Bernie Ecclestone hinted at the time that he would step down if Murdoch's bid was successful. ($1 = 0.6123 British pounds)(Reporting by Richa Naidu in Bangalore; Additional reporting by Jennifer Saba; editing by Andrew Hay)",2014-02-03,DISCK,"Mon Feb 3, 2014 | 6:05pm EST","Liberty, Discovery seek to buy 49 percent stake in Formula One: paper",http://www.reuters.com//article/us-formulaone-offer-idUSBREA121ND20140203?type=companyNews
6,"  Feb 3 Liberty Global and Discovery Communications have made a joint approach to CVC Capital about buying a 49 percent stake in Formula One, the Telegraph reported, without citing sources.The talks are at an early stage but could value the auto-racing company at more than 6.5 billion pounds ($10.62 billion), the paper said on its website. ()It added that U.S. cable group Liberty Global and Discovery Communications, the media company behind cable channels TLC and Animal Planet, had requested access to private information about CVC's finances. Private equity firm CVC currently owns 35 percent of Formula One, including all the voting rights. The Telegraph said that CVC declined to disclose details of where the remaining 14 percent would come from. Representatives from CVC, Liberty and Discovery were not immediately available for comment. Sources told Reuters in 2011 that News Corp, backed by media tycoon Rupert Murdoch, planned to make a bid to take control of Formula One.Formula One boss Bernie Ecclestone hinted at the time that he would step down if Murdoch's bid was successful.",2014-02-03,DISCK,"Mon Feb 3, 2014 | 5:54pm EST","Liberty, Discovery seek to buy 49 pct stake in Formula One -paper",http://www.reuters.com//article/formulaone-offer-idUSL3N0L83TN20140203?type=companyNews
7,"  Discovery Communications Inc' (DISCA.O) quarterly profit rose higher-than-expected as advertising revenue in its international networks more than doubled.The company posted a 64 percent rise in revenue from its international networks in the fourth quarter, outstripping the 5 percent rise in revenue from U.S. networks.Media companies such as Discovery make money from advertising on their cable networks and from fees paid by companies such as Comcast Corp (CMCSA.O) and DirecTV DTV.O to carry their channels.Discovery has invested more in content across its channels, which include Animal Planet, Discovery Channel and Investigation Discovery, at a faster rate than the fees it receives from pay-TV operators.The company's revenue from international networks rose to $758 million in the quarter from $462 million, powered by a 119 percent rise in advertising revenue. Discovery said international advertising revenues, excluding newly acquired businesses, rose 26 percent in local currency terms, mainly due to higher viewership and pricing, particularly in Western Europe and Latin America.Revenue at its U.S. networks rose to $740 million from $703 million due to higher distribution and advertising revenue. Total revenue increased 28 percent to $1.54 billion.The company's net income rose to $289 million, or 81 cents, from $224 million, or 61 cents, a year earlier. Excluding items, the company earned 92 cents per share.Analysts on average were looking for earnings of 89 cents per share, on revenue of $1.55 billion, according to Thomson Reuters I/B/E/S.Discovery shares closed at $82.86 on Wednesday on the Nasdaq.(Reporting by Chandni Doulatramani & Aurindom Mukherjee in Bangalore; Editing by Kirti Pandey and Savio D'Souza)",2014-02-13,DISCK,"Thu Feb 13, 2014 | 8:29am EST",Discovery profit beats as international ad revenue doubles,http://www.reuters.com//article/us-discoverycommunications-results-idUSBREA1C0YF20140213?type=companyNews
8,"  Feb 13 Discovery Communications Inc'  quarterly profit rose higher-than-expected as advertising revenue in its international networks more than doubled.The company posted a 64 percent rise in revenue from its international networks in the fourth quarter, outstripping the 5 percent rise in revenue from U.S. networks.Media companies such as Discovery make money from advertising on their cable networks and from fees paid by companies such as Comcast Corp and DirecTV to carry their channels.Discovery has invested more in content across its channels, which include Animal Planet, Discovery Channel and Investigation Discovery, at a faster rate than the fees it receives from pay-TV operators. The company's revenue from international networks rose to $758 million in the quarter from $462 million, powered by a 119 percent rise in advertising revenue.Discovery said international advertising revenues, excluding newly acquired businesses, rose 26 percent in local currency terms, mainly due to higher viewership and pricing, particularly in Western Europe and Latin America. Revenue at its U.S. networks rose to $740 million from $703 million due to higher distribution and advertising revenue.Total revenue increased 28 percent to $1.54 billion. The company's net income rose to $289 million, or 81 cents, from $224 million, or 61 cents, a year earlier.Excluding items, the company earned 92 cents per share.Analysts on average were looking for earnings of 89 cents per share, on revenue of $1.55 billion, according to Thomson Reuters I/B/E/S.Discovery shares closed at $82.86 on Wednesday on the Nasdaq.",2014-02-13,DISCK,"Thu Feb 13, 2014 | 8:28am EST",UPDATE 1-Discovery profit beats as international ad revenue doubles,http://www.reuters.com//article/discoverycommunications-results-idUSL3N0LI4K120140213?type=companyNews
9,"  Feb 19 Liberty Global PLC Chairman John Malone has given two executives a chance to buy his voting stakes in Liberty and Discovery Communications Inc in the event he decides to sell his shares, according to regulatory filings on Tuesday.Malone is giving Liberty Global CEO Michael Fries first right of refusal and the right of last offer to purchase Malone's 27.5 percent voting stake in the international cable operator worth about $772 million.Malone set up a similar structure for Discovery Communications CEO David Zaslav. Liberty Global holds a 29.5 percent stake with voting rights in Discovery Communications worth about $525 million. Discovery owns a group of cable networks including TLC and Animal Planet. Malone said he had no plans at present to transfer his voting shares and would stay actively involved in both Liberty Global and Discovery Communications.""In the event I do in the future decide to pursue the sale of my voting position, I am excited about providing these two strong executives, who have both created significant shareholder value, with a path toward acquiring that stake and preserving the long-term stability and continuity of the companies they have built and will continue leading into the future,"" he said in a statement. Malone is a constant deal maker and most recently made a run at Time Warner Cable through the much smaller rival Charter Communications, which Malone controls. Comcast Corp announced last week it agreed to buy Time Warner Cable for $45.2 billion. Liberty Global and Discovery Communications have reportedly made an approach to buy a stake in auto racing company Formula One.",2014-02-19,DISCK,"Wed Feb 19, 2014 | 11:52am EST",Liberty's Malone gives executives option to buy his stakes,http://www.reuters.com//article/libertyglobal-discovery-idUSL2N0LO17G20140219?type=companyNews
