,Article,Date,Symbol,Time,Title,Url
0,  May 14 Digital Realty Trust Inc :* Notes recent speculation regarding a potential transaction involving Telecity Group Plc  * Confirms that it does not intend to make an offer for Telecity  Source text for Eikon:  Further company coverage: ,2015-05-14,DLR,"Thu May 14, 2015 | 2:26am EDT",BRIEF-Digital Realty Trust says not to make offer for Telecity,http://www.reuters.com//article/idUSFWN0Y409C20150514?type=companyNews
1,"  (Adds Digital Realty, BBVA, Ecom, Towers Watson, Sava, SDH, Northern Rock, Royal Mail, Echo Investment and Deutsche Annington)June 10 The following bids, mergers, acquisitions and disposals were reported by 2020 GMT on Wednesday:** Tokio Marine Holdings Inc said on Wednesday it had agreed to buy U.S. specialty insurer HCC Insurance Holdings Inc for $7.5 billion, in what would be the biggest M&A deal this year by a Japanese company.** South Korean builder Samsung C&T Corp has lined up an ally to fend off a challenge from a U.S. activist fund and push through a proposed $8 billion merger seen key to allowing a smooth leadership succession at Samsung Group.** Teva Pharmaceutical Industries Ltd has changed the law firm it had tapped for advice on its $40 billion attempt to take over smaller rival Mylan NV after a court sided with the latter's bid to seek a preliminary injunction against the previous law firm.** A consortium including Goldman Sachs and Blackstone has bid for Northern Rock's 13 billion pound ($20 billion) mortgage securitization vehicle, three sources familiar with the matter said.** Digital Realty Trust Inc is working on a bid to acquire private equity-owned data center peer Telx Group Inc for more than $2 billion, in a deal that would diversify its business, according to people familiar with the matter.** Spanish bank BBVA is considering making an offer for British bank HSBC's businesses in Brazil and Turkey, senior bank executive Vicente Rodero said at an annual meeting in Mexico City, website CNNExpansion reported.** Global agricultural merchant Ecom Agroindustrial Corp will combine its sugar trading business with its smaller rival, V&A Commodity Traders Inc, the latest deal to transform the global soft commodities market.** Towers Watson & Co and China's Shanda Games Ltd  and CITIC Group Corp are the remaining parties bidding for Russell Investments, in what is expected to be a roughly $1.5 billion deal, people familiar with the matter said. ** Slovenian tourism and financial firm Sava plans to sell its 44.07 percent stake in a small local bank Gorenjska Banka, Sava said in a statement.** Slovenian state firm SDH decided to sell the country's largest telecoms provider, state-owned Telekom Slovenia , to investment firm Cinven, state news agency STA reported on Wednesday, citing unofficial sources.** Bayer has agreed to sell its Diabetes Care business to Panasonic Healthcare Holdings, backed by KKR  and Panasonic Corp, for 1.02 billion euros ($1.15 billion), the company said on Wednesday.** German property firm Deutsche Annington said it had no interest in acquiring peer LEG Immobilien. ** Investment funds of Oaktree Capital Management and Pimco finalised a deal to jointly buy a 41.6 percent stake in Polish business space developer Echo Investment, they said.** The British government on Wednesday said it would sell half of its remaining stake in Royal Mail, leaving it with about 15 percent of the postal service that was wholly state owned until 2013.** Bahrain-based Islamic investment firm Arcapita said on Wednesday it had sold its real estate portfolio of retirement communities across the United States to NorthStar Healthcare Income Trust for $640 million.** Dai-ichi Life Co, Japan's second-largest life insurer, is keen to further build its presence in Indonesia but is not interested in bidding for a stake in Bank Rakyat Indonesia's (BRI) insurance unit, its president said.** Johnson Controls Inc is exploring strategic options for the separation of its automotive business to focus on high-margin heating and cooling businesses. ** British engineering group Rolls-Royce said it would form a joint venture with Germany's Liebherr-Aerospace to develop manufacturing facilities for a new, more efficient aero-engine's gearbox.** Integrated Silicon Solution Inc said it agreed to be acquired by Cypress Semiconductor Corp on Wednesday, days after rejecting the fellow chipmaker's offer citing antitrust concerns.** German solar company SMA Solar and engineering giant Siemens have teamed up to equip utility-scale solar parks with technology to link them to the grid, hoping to benefit from the rising global demand for photovoltaics.** Indonesia's state energy firm Pertamina is interested in acquiring a stake in the Abadi floating liquefied natural gas (FLNG) project being developed by Japan's Inpex  and Royal Dutch Shell, an energy ministry official said.** Indonesian securities firm PT Kresna Graha Sekurindo Tbk  is planning an up to 4 trillion rupiah ($300.8 million) rights issue in the second half to buy one or two insurance firms, said a person with direct knowledge of the matter.** South Korea approved on Wednesday the purchase by China's Anbang Insurance Group Co of a controlling stake in Korean insurer Tong Yang Life Insurance, brushing aside domestic concerns about reciprocity.** Swedish telecom operator TeliaSonera is buying into music streamer Spotify for a slice of the fast growth and speedy innovation typical of online companies, just as competition heats up further in Spotify's industry.** Property group Immofinanz said on Wednesday it would exit the self-storage market by selling Dutch self-storage chain City Box to Shurgard.   ($1 = 0.8837 euros) ($1 = 13,310.0000 rupiah)   (Compiled by Shubhankar Chakravorty and Anya George Tharakan in Bengaluru)",2015-06-10,DLR,"Wed Jun 10, 2015 | 4:21pm EDT",Deals of the day- Mergers and acquisitions,http://www.reuters.com//article/deals-day-idUSL3N0YW3GU20150610?type=companyNews
2,"   By Liana B. Baker and Mike Stone  Digital Realty Trust Inc is working on a bid to acquire private equity-owned data center peer Telx Group Inc for more than $2 billion, in a deal that would diversify its business, according to people familiar with the matter. Digital Realty's move is the latest sign of consolidation in the data center sector, as U.S. businesses' burgeoning demand for data and video is fueling a revival in fiber optic services and data storage.Digital Realty, a San Francisco-based real estate investment trust that rents out space that companies use for data centers, is one of several U.S. and international bidders for Telx, the people said this week. The auction for Telx, which is owned by ABRY Partners LLC and Berkshire Partners LLC, is at its early stages, the people added.The sources asked not to be identified because the sale process is confidential. Telx, Digital Realty and Berkshire Partners declined to comment, while ABRY Partners did not immediately respond to a request for comment. Privately-held data center companies have been selling to larger publicly traded rivals in recent months, with Digital Realty rival QTS Realty Trust Inc buying Carpathia Hosting, fiber network company Zayo Group Holdings Inc buying Latisys and CyrusOne purchasing Cervalis.The sale of Telx, however, would be the largest deal in the sector since Equinix said last month it would buy British peer TelecityGroup for 2.35 billion pounds ($3.6 billion).Digital Realty's primary business is wholesale colocation, where customers rent physical space from the company to run their own data centers.  Retail colocation, where customers lease cabinets, racks and cages from the data center operator, has become a growing business for Digital Realty, and buying Telx would help expand that business. Reuters first reported April 28 that Telx was exploring a sale. When asked on May 5 by an equities analyst about whether Telx would be a good fit for the company, Digital Realty's Chief Investment Officer Scott Peterson said May 5 that ""it's reasonable to assume that there's some compelling strategic rationale around that."" He did not comment on whether his company would bid for Telx.Based in New York, Telx owns 20 data centers, including three major ones in New York City. Its customers range from small businesses that only need half of a cabinet in data centers to global companies requiring a full-floor lease.  (Reporting by Liana B. Baker and Mike Stone in New York; Additional reporting by Greg Roumeliotis in New York; Editing by Christian Plumb)",2015-06-10,DLR,"Wed Jun 10, 2015 | 11:51am EDT",Exclusive: Digital Realty seeking to acquire Telx,http://www.reuters.com//article/us-telx-m-a-digital-realty-idUSKBN0OQ1ZP20150610?type=companyNews
3,"  (Adds Fitch comment)July 13 Fitch Ratings on Monday retracted a rating report on Digital Realty Trust Inc that said the company had bought privately owned data center peer Telx Group Inc.The ratings agency said the release was inadvertently issued earlier in the day. (bit.ly/1M2gGPY) Daniel Noonan, a Fitch spokesman, declined to comment beyond the release. Digital Realty was not immediately available for comment. Telx declined to comment. Digital Realty, a data center REIT, has not made any statement on buying Telx.Sources told Reuters in June that Digital Realty was working on a bid to acquire Telx for more than $2 billion.     (Reporting by Yashaswini Swamynathan and Krishna Chaithanya in Bengaluru; Editing by Sriraj Kalluvila)",2015-07-13,DLR,"Mon Jul 13, 2015 | 6:11pm EDT",UPDATE 1-Fitch retracts report on Digital Realty buying Telx,http://www.reuters.com//article/fitch-digitalrealty-idUSL4N0ZT5IN20150713?type=companyNews
4,"  July 13 Fitch Ratings on Monday retracted a rating report on Digital Realty Trust Inc that said the company had bought privately owned data center peer Telx Group Inc.The ratings agency said the release was inadvertently issued earlier in the day. (bit.ly/1M2gGPY) Fitch and Digital Realty were not immediately available for comment. Telx declined to comment. Digital Realty, a data center REIT, has not made any statement on buying Telx. Sources told Reuters in June that Digital Realty was working on a bid to acquire Telx for more than $2 billion.     (Reporting by Yashaswini Swamynathan and Krishna Chaithanya in Bengaluru; Editing by Sriraj Kalluvila)",2015-07-13,DLR,"Mon Jul 13, 2015 | 4:24pm EDT",Fitch retracts report on Digital Realty buying Telx,http://www.reuters.com//article/fitch-digitalrealty-idUSL4N0ZT58D20150713?type=companyNews
5,"  Digital Realty Trust Inc (DLR.N) said it would buy private equity owned Telx Group Inc in a deal valued at about $1.89 billion to double its footprint in the rapidly growing business of renting out space to companies to run their data centers.The deal is the latest sign of consolidation in the data center sector, as U.S. businesses' burgeoning demand for data and video is fueling a revival in fiber optic services and data storage.The acquisition is the largest deal in the sector since Equinix (EQIX.O) said in May that it would buy British peer TelecityGroup (TCY.L) for $3.6 billion in cash and stock.Telx, which is owned by ABRY Partners and Berkshire Partners, managed 20 data center space facilities across the United States, of which it leased more than half from Digital Realty, at the end of March.The transaction is expected to close later in the year and add to 2016 results, Digital Realty said on Tuesday.  Reuters reported in June that Digital Realty was working on a bid to acquire Telx, citing people familiar with the matter.BofA Merrill Lynch and Morgan Stanley are financial advisers to Digital Realty and Latham & Watkins LLP is the legal counsel. Barclays and DH Capital are financial advisers and Kirkland & Ellis LLP is the legal counsel to ABRY Partners, Berkshire Partners and Telx.   Fitch Ratings on Monday retracted a rating report on Digital Realty that said the company had bought Telx.  (Reporting By Lehar Maan in Bengaluru; Editing by Sriraj Kalluvila)",2015-07-14,DLR,"Tue Jul 14, 2015 | 8:11am EDT",Data center company Digital Realty to buy Telx in $1.89 billion deal,http://www.reuters.com//article/us-telx-m-a-digital-realty-idUSKCN0PO17D20150714?type=companyNews
6,"  (Adds details, background)July 13 Digital Realty Trust Inc said it would buy private equity owned Telx Group Inc in a deal valued at about $1.89 billion to double its footprint in the rapidly growing business of renting out space to companies to run their data centers.The deal is the latest sign of consolidation in the data center sector, as U.S. businesses' burgeoning demand for data and video is fueling a revival in fiber optic services and data storage.The acquisition is the largest deal in the sector since Equinix said in May that it would buy British peer TelecityGroup for $3.6 billion in cash and stock. Telx, which is owned by ABRY Partners and Berkshire Partners, managed 20 data center space facilities across the United States, of which it leased more than half from Digital Realty, at the end of March.The transaction is expected to close later in the year and add to 2016 results, Digital Realty said on Tuesday. Reuters reported in June that Digital Realty was working on a bid to acquire Telx, citing people familiar with the matter.BofA Merrill Lynch and Morgan Stanley are financial advisers to Digital Realty and Latham & Watkins LLP is the legal counsel. Barclays and DH Capital are financial advisers and Kirkland & Ellis LLP is the legal counsel to ABRY Partners, Berkshire Partners and Telx. Fitch Ratings on Monday retracted a rating report on Digital Realty that said the company had bought Telx. [ID:nL4N0ZT5IN(Reporting By Lehar Maan in Bengaluru; Editing by Sriraj Kalluvila)",2015-07-14,DLR,"Tue Jul 14, 2015 | 8:09am EDT",UPDATE 1-Data center company Digital Realty to buy Telx in $1.89 bln deal,http://www.reuters.com//article/telx-ma-digital-realty-idUSL4N0ZU3WT20150714?type=companyNews
7,"  July 13 Digital Realty Trust Inc, a real estate investment trust that rents out space to companies for setting up data centers, said it would buy Telx Group Inc from its private equity owners in a deal valued at about $1.89 billion.Digital Realty said the acquisition is expected to double its footprint in the rapidly-growing colocation business. The transaction is expected to close later in the year and add to 2016 results, the company said. Telx is owned by ABRY Partners and Berkshire Partners. (Reporting By Lehar Maan in Bengaluru; Editing by Sriraj Kalluvila)",2015-07-14,DLR,"Tue Jul 14, 2015 | 7:11am EDT",Digital Realty to buy Telx in $1.89 bln deal,http://www.reuters.com//article/telx-ma-digital-realty-idUSL4N0ZU3TG20150714?type=companyNews
8,"  April 28 Digital Realty Trust Inc* Digital Realty reports first quarter 2016 results* Q1 FFO per share $1.39* Sees fy 2016 core FFO per share $5.55 to $5.65 * Q1 core FFO per share $1.42* Q1 revenue rose 24 percent to $504 million * Q1 FFO per share view $1.33 -- Thomson Reuters I/B/E/S * Fy2016 FFO per share view $5.54 -- Thomson Reuters I/B/E/S* Raised 2016 core ffo per share outlook from $5.45 - $5.60 to $5.55 - $5.65* Raised 2016 ""constant-currency"" core ffo per share outlook from $5.50 - $5.70 to $5.60 - $5.75  Source text for Eikon:  Further company coverage:    (Bengaluru Newsroom)",2016-04-28,DLR,"Thu Apr 28, 2016 | 6:02pm EDT",BRIEF-Digital Realty Q1 FFO per share $1.39,http://www.reuters.com//article/idUSASD08G0J?type=companyNews
9,  May 16 Digital Realty Trust Inc* Says offering 11.5 million common shares  * Digital realty announces common stock offering  Source text for Eikon:  Further company coverage:    (Bengaluru Newsroom: +1-646-223-8780) ,2016-05-16,DLR,"Mon May 16, 2016 | 6:52am EDT",BRIEF-Digital Realty says offering 11.5 million common shares,http://www.reuters.com//article/idUSASC08PPP?type=companyNews
