,Article,Date,Symbol,Time,Title,Url
0,"   By John Wasik | CHICAGO  CHICAGO Jan 13 If the stock market rally continues, last year's laggards may be this year's winners.Many of the sectors that could do well are late bloomers in the five-year bull run. They may not seem like obvious choices, yet are worthwhile if you're contrarian or slightly defensive.Assuming economic fundamentals and corporate earnings remain solid, it could be a decent year for stocks overall and even better for companies that were neglected in 2013.""I'm optimistic,"" said Diane Swonk, chief economist for Mesirow Financial in Chicago, who predicts three-percent GDP growth and the creation of up to three million jobs this year.""I haven't felt bullish in a long time,"" Swonk said at the annual economic outlook luncheon of the Executive Club of Chicago on Jan. 9.REAL ESTATE REBOUND A surge in institutional buying came in 2012 among homebuilding stocks. But last year, Wall Street moved on and real estate underperformed every sector in the S&P 500 except for basic materials, rising just 6 percent for the year through Jan. 10, according to Morningstar.This year could be different if the economy continues to create more jobs and spur long-term demand for all kinds of real estate, from single-family homes to commercial storage units. The most recent Case-Shiller Home Price index report showed U.S. home prices posting their strongest annualized gain in seven years. There's still much pent-up demand for homes and commercial properties. With mortgage rates expected to remain relatively low, the real estate sector still has some promise.Exchange-traded funds that invest in real estate investment trusts are a worthy consideration, especially if you are looking for extra yield.Consider the iShares U.S. Real Estate ETF, which holds developers and property managers like Simon Property Group Inc, American Tower Corp and Public Storage . The fund was up only 1 percent last year, but yields nearly 4 percent. It charges 0.46 percent for annual expenses.MATERIALS MAKE SENSE  The materials sector was the most unloved group among the Standard & Poor's industry sectors last year, gaining less than 3 percent for the year through Jan. 10.  A highly-cyclical basket of metals, chemical, mining and paper stocks, this cadre tends to do best during mature economic cycles.But laggards can become leaders if U.S. economic growth - pegged at more than four percent in the 3rd quarter - continues.The Materials Select Sector SPDR owns stocks like Monsanto, Dow Chemical Co and Freeport McMoRan Copper and Gold. The SPDR charges 0.18 percent for annual management expenses and outperformed the materials sector as a whole, gaining 26 percent last year.ENERGY SURGE  Energy was another lackluster sector last year, returning a modest 10 percent for the year ending Jan. 10, compared to the best-performing technology group, which gained 56 percent. Improving demand for energy globally bodes well for companies that produce oil and natural gas, though.The Vanguard Energy ETF owns leading producers and service companies such as ExxonMobil Corp, Chevron Corp  and Schlumberger NV. The fund charges 0.14 percent for annual expenses and returned 26 percent last year.UTILITIES STILL DEFENSIVE Companies that produce or distribute power, natural gas and water seldom light up any investor's radar screen during bull rallies. These high-dividend companies only become alluring when investors retreat from the most popular sector of the moment or there's widespread uncertainty.Since the bull rally will fizzle at some point, it's always good to have a fallback. Utilities fit that bill. Although these companies were firmly in the bottom tier last year, they could rebound if the market runs into trouble.Consider an ETF such as the iShares U.S. Utilities, which holds blue chips such as Duke Energy Corp, Dominion Resources and Exelon Corp. The fund returned almost 15 percent last year and yields about 3 percent with a 0.46 percent annual expense ratio.Feeling skittish about picking a lackluster U.S. sector and hoping it rebounds? A wiser choice would be to spread your portfolio among every sector through a broad-based world stock fund such as the iShares MSCI ACWI Index ETF, which holds the biggest stocks from around the world such as Apple , Nestle SA and General Electric Co. The fund rose 22 percent last year and charges 0.34 percent for annual expenses.",2014-01-13,DUK,"Mon Jan 13, 2014 | 2:52pm EST",COLUMN-Will last year's stock market laggards be 2014's winners?,http://www.reuters.com//article/column-wasik-laggards-idUSL2N0KN1K720140113?type=companyNews
1,"  HOUSTON Jan 27 SCANA Corp's utility unit on Monday agreed to increase its ownership stake in two new nuclear units under construction in South Carolina, purchasing a 5 percent state from its public power partner for $500 million.Directors of South Carolina's state-owned electric utility, Santee Cooper, voted Monday to sell 5 percent of its stake in the two new 1,100-megawatt reactors under construction at the VC Summer plant, reducing its share to 40 percent.SCANA's South Carolina Electric and Gas Co will own 60 percent of Summer units 2 and 3, which are among the first advanced-design nuclear reactors to be built in the United States in more than 30 years.The once-predicted revival of U.S. nuclear construction has been tempered by lower natural gas prices, anemic growth in electricity demand and the lack of restrictions on emissions of carbon dioxide.The only other new U.S. reactors are being built by Southern Co's Georgia Power unit, along with partners, at the Vogtle nuclear plant in Georgia.Since 2011, Santee Cooper has negotiated with a number of utilities from Florida to Ohio in an effort to reduce its stake in the Summer nuclear units, saying the recession had slowed the state's electric growth projections.Santee Cooper's talks failed to produce an agreement. Only Duke Energy still expressed interest in investing in the new Summer reactors. On Monday, however, Duke said in a brief filing that it was ""no longer engaged"" in discussions with Santee Cooper regarding the potential acquisition of a 5- to 10-percent ownership interest in the Summer reactors.Last year, Duke dropped a plan to build two new nuclear reactors in North Carolina, citing slow growth in power demand.Santee Cooper officials previously they wanted to reduce the utility's stake in the new reactors to about 20 percent. ""The past few years have shown unprecedented volatility in base load fuel costs and increasing regulatory pressures on fossil-fueled generation,"" said Lonnie Carter, Santee Cooper's chief executive, in a statement.""Today's action reduces our costs to customers somewhat, while still preserving an ownership level that will position us well for the flexibility we will need going forward,"" Carter said.SCANA said the additional 110 megawatts it will gain from the deal will replace a portion of the coal-fired generation it expects to retire over the next five years. The increase in ownership of the new nuclear project ""will delay the need to build new gas-fired capacity after 2020,"" said Kevin Marsh, SCANA chairman.SCANA said the 5-percent ownership interest will be acquired in three stages, with 1 percent to be acquired in late 2017 or early 2018 when the first new Summer reactor is scheduled to begin commercial operation. An additional 2 percent would be acquired before the first anniversary of commercial operation and the final 2 percent would be acquired before the second anniversary date.The agreement also provides that Santee Cooper will not transfer any of its remaining ownership interest in the two new units until both units are completed, the companies said.The transaction is subject to regulatory approval.Previously, Santee Cooper said it negotiated with the Florida Municipal Power Agency, the Orlando Utilities Commission of Florida, American Municipal Power of Columbus, Ohio, and the South Mississippi Electric Power Association.",2014-01-28,DUK,"Mon Jan 27, 2014 | 8:04pm EST",SCANA raises stake in new Summer nuclear units; Duke bows out,http://www.reuters.com//article/utilities-nuclear-scana-idUSL2N0L201E20140128?type=companyNews
2,"   By Chris Prentice | NEW YORK  NEW YORK Jan 30 The arctic cold sweeping across the United States has caused rare winter power interruptions for U.S. spinning mills in North and South Carolina, including Frontier Spinning Mills, the second-largest yarn producer in the United StatesFrontier, located in Sanford, North Carolina, the heart of the country's textile industry, has had to stop operating following requests from their power supplier, Duke Energy Corp., John Bakane, chief executive officer, told Reuters on Thursday.U.S. cotton traders, ginners, and buyers were already dealing with tight supplies and the late processing of a small crop in the world's top exporter.""You've seen mills have to shut down so power companies can heat houses,"" Bakane said.The stoppages have lasted for several hours at most, affecting spinning of about 2,000 bales of cotton, Bakane said.That represents just a sliver of Frontier's annual demand for some 940,000 480-lb bales, but it also means opportunity cost and other production strains.""Whenever you have to shut down a mill and then restart, you have all kinds of efficiency problems,"" he said. Duke Energy, the nation's largest utility, has twice asked industrial customers in the Carolinas curtail power usage this month as snow and cold gripped the region, a spokeswoman said.Industrial users can opt into contracts with utility providers in which they agree to power interruptions for rebates, said Paige Layne, a spokeswoman for Duke Energy.""When we're looking at historic lows, this is one of the tools our grid operators have available instead of rolling blackouts or other load-shed programs,"" Layne told Reuters.Traditionally, industrial users are asked to crimp demand during heat waves, as most residents use air-conditioning. Duke Energy saw a record energy usage peak on Jan. 7 of 20,246 megawatt-hours, surpassing December 2010's record of 18,985 megawatt-hours.A LOGISTICS 'DISASTER' While the impact on the textile industry has so far been small, hampering but not halting operations, it comes at a significant time for the U.S. textile industry. Companies around the world are setting up shop in the United states, drawn as much by lower-cost and reliable energy as by shifting trade flows and improving technology.""If it were to happen every week, that would be an issue,"" said a source at another U.S. mill, who declined to be named as he is not authorized to speak with the press.He said that his milling operation had lost two days of production altogether.The increased demand for electricity is just one example of how this winter's historic cold has roiled industry.Natural gas prices have spiked 20 percent so far this year as demand has surged.Extreme cold, ice, and snow drifts have congested up rail, port and road travel.""Logistics are a disaster this week,"" said Jordan Lea, chairman and co-owner of Eastern Trading in South Carolina.   (Reporting by Chris Prentice)",2014-01-30,DUK,"Thu Jan 30, 2014 | 4:18pm EST",U.S. spinning mills cut operations as cold strains energy grid,http://www.reuters.com//article/cottonmills-shutdowns-idUSL2N0L41EP20140130?type=companyNews
3,"  Feb 8 Workers on Saturday plugged a broken pipe that leaked up to 82,000 tons of power plant coal ash into a North Carolina river, Duke Energy Corp said.Crews filled part of the stormwater pipe with concrete and capped it, and the rest of the pipe will be filled with concrete as well, said Duke, the biggest U.S. electric power provider.""Plugging the pipe was clearly job one, but we're continuing our efforts and working closely with all the agencies involved in this response,"" Charlie Gates, senior vice president for power generation operations, said in the statement.Duke's next step is to keep monitoring water quality, he said. The ash release was discovered on Sunday at the power plant in Eden, North Carolina, which was retired in 2012. The company said the pipe under a 27-acre (11-hectare) ash pond released enough coal ash to fill between 20 and 32 Olympic-size swimming pools.An estimated 24 million to 27 million gallons (91 million to 102 million liters) of ash basin water also reached the river, Duke said. Before the pipe was sealed, Duke installed a catch basin and pumps at its end to reduce outflow to the river. Samples by Duke and the state Department of Environment and Natural Resources show that water quality is improving, the company said. Waterkeeper Alliance, a water advocacy group, said this week that analysis of Dan River samples showed ""extremely high levels"" of arsenic, chromium, iron, lead and other toxic metals typically found in coal ash.A Duke Energy spokesman has said tests by the utility and North Carolina officials indicated no adverse impact on the water supply.",2014-02-09,DUK,"Sat Feb 8, 2014 | 9:39pm EST",Utility stops leak of coal ash into North Carolina river,http://www.reuters.com//article/usa-northcarolina-spill-idUSL2N0LE02X20140209?type=companyNews
4,"   By Mica Rosenberg  Feb 11 North Carolina has asked a state judge to put a controversial settlement deal with U.S. power company Duke Energy over pollution on hold after a massive coal ash spill into a local river raised fresh concerns about water safety.Last week Duke said a pipe broke at one of its retired coal plants, spilling 50,000 to 82,000 tons of ash, enough to fill 20 to 32 Olympic-size swimming pools, into North Carolina's Dan River.The accident occurred amid a long-running legal battle over the storage of coal ash waste at Duke facilities. The company owns all of North Carolina's 14 coal-fired power plants, though some are in the process of being decommissioned.North Carolina's Department of Environment and Natural Resources (DENR) filed lawsuits last year against Duke Energy  alleging water quality violations at the company's plants.It then proposed a settlement agreement with the company in July that would levy $99,000 in fines and order increased monitoring of possible contamination at the sites.""We were already addressing coal ash ponds through our multiple lawsuits against Duke Energy and we will continue on that course once we have an updated assessment of the situation statewide,"" DENR Secretary John Skvarla said in a statement on Tuesday.""This experience may cause us to reevaluate the proposed consent order,"" he said.Lawyers for North Carolina sent a letter on Monday to Judge Pat Ridgeway in the Wake County Superior Court, who is handling the suits, to ask for the postponement. Environmental groups say coal ash in the state, a byproduct of power plants containing heavy metals that can cause cancer and nervous system damage, is stored in antiquated or unlined pits and risks seeping into groundwater and nearby rivers.The Southern Environmental Law Center, which intervened in the lawsuits, assailed the proposed settlement for failing to require a cleanup of the coal ash contamination.DENR received almost 5,000 public comments, nearly all of them negative, on the settlement. Some changes were made to the deal after the comment period but green groups said the fines remained small and there was still no requirement for comprehensive cleanup. PIPE PLUGGED Duke spokeswoman Lisa Hoffmann said that while the company was eager to complete the work outlined in the proposed settlement agreement, ""the event at Dan River is a good reason to take a fresh look at our plans moving forward.""On Saturday, Duke said workers successfully plugged the pipe under the 27-acre (11-hectare) ash pond, which broke on Feb. 2.Working with the U.S. Environmental Protection Agency and state officials, Duke is testing a coal ash removal system in a small section of the river where a lot of sediment accumulated after the release, Hoffman said. While Duke says water quality continues to improve in the Dan River, the Waterkeeper Alliance, a water advocacy group, said its analysis had shown ""extremely high levels"" of arsenic, chromium, iron, lead and other toxic metals.""The reason this happened is that Duke poorly designed these coal ash lagoons, building them on top of a storm water pipe,"" said Frank Holleman from the Southern Environmental Law Center. ""Next to a river is no place to store this kind of dangerous substance,"" he said. ""There is a threat every day of another catastrophic spill.""The center is also involved in two federal court cases against the company over the coal ash pollution. Duke has filed motions to dismiss both cases, which are still pending, Holleman said.On Sunday, North Carolina's DENR admitted it had miscalculated the levels of arsenic in the river, initially reporting that sampling showed the water was safe, when it actually exceeded the standards for human health.""We made an honest mistake while interpreting the results,"" said Tom Reeder, the director of water resources at DENR, in a news release. The state agency recommended that people avoid ""prolonged direct contact"" with the river until further notice.DENR also said it would be creating a special task force of experts to review the state's coal ash ponds.Concerns about coal ash storage ponds were raised long before the Dan River spill, peaking in 2008 when a dam collapse inundated a small community in Tennessee with toxic coal sludge.",2014-02-12,DUK,"Tue Feb 11, 2014 | 7:22pm EST",North Carolina asks to halt settlement after Duke coal ash spill,http://www.reuters.com//article/usa-environment-duke-idUSL2N0LG2BI20140212?type=companyNews
5,"   By Colleen Jenkins | WINSTON-SALEM, North Carolina  WINSTON-SALEM, North Carolina U.S. prosecutors are investigating whether a crime was committed when thousands of tons of coal ash sludge spilled from a Duke Energy power plant in North Carolina in early February into a river that supplies drinking water for nearby towns.Subpoenas were received this week by Duke Energy, which retired the coal-fired power plant in Eden in 2012, and the North Carolina Department of Environment and Natural Resources regulator, spokesmen for the two entities said on Thursday.The U.S. Attorney's Office in Raleigh ordered officials with the state agency to appear before a grand jury next month with documents related to the spill that began on February 2, according to a copy of the subpoena provided to Reuters by the department.The spokesman for Duke, which installed a permanent plug at the site to stop releases from the ash basin on February 8, declined to share a copy of the company's subpoena. He said the utility, the largest electric power provider in the United States, was cooperating with all state and federal investigations.""The ash spill itself was something we thought we'd been very transparent about,"" Duke spokesman Tom Williams said. ""We intend to fix any damage in the appropriate manner.""The company initially said as many as 82,000 tons of ash, enough to fill up to 32 Olympic-size swimming pools, spilled into the Dan River after a stormwater pipe broke under a 27-acre ash pond at the coal plant. An estimated 24 to 27 million gallons of wastewater also reached the river, according to the utility's initial estimates.A revised calculation put the release down to 30,000 to 39,000 tons of ash, less than 4 percent of the total ash held in the basin, Duke said.The drinking water of two towns in neighboring Virginia, Danville and South Boston, had to be treated to remove toxins, officials said. In a subpoena dated February 10 to North Carolina's environmental department, prosecutors requested inspection records for the pipe dating back to 2010 and copies of correspondence between the agency and Duke Energy regarding the coal ash and wastewater discharge.""The Department of Environment and Natural Resources will cooperate in this matter,"" said Drew Elliot, a spokesman for the agency.The U.S. Attorney's Office was closed on Thursday due to a winter storm that blanketed the Southeast in snow and ice and officials were not available to comment. The spill came amid a long-running legal battle over the storage of coal ash waste at Duke facilities in the state.The North Carolina environmental regulator sued Duke last year over allegations of water quality violations at the company's plants. On Monday, the state asked a judge to put a controversial settlement deal on hold.Environmental groups say the coal ash, a gray, powdery byproduct of power plants containing heavy metals that can cause cancer and nervous system damage, is stored in antiquated or unlined pits and risks seeping into groundwater and nearby rivers.North Carolina public health officials have warned residents visiting the Dan River to avoid recreational contact with its water and sediment and not to eat any fish caught downstream from the spill site due to potential hazards from the coal ash.The U.S. Environmental Protection Agency and state officials have said drinking water treated from the Dan River appeared safe.(Editing by Grant McCool)",2014-02-13,DUK,"Thu Feb 13, 2014 | 5:30pm EST",U.S. prosecutors open criminal probe of Duke Energy coal ash spill,http://www.reuters.com//article/us-usa-northcarolina-spill-idUSBREA1C20I20140213?type=companyNews
6,"   By Colleen Jenkins | WINSTON-SALEM, N.C.  WINSTON-SALEM, N.C. Feb 13 U.S. prosecutors are investigating whether a crime was committed when thousands of tons of coal ash sludge spilled from a Duke Energy power plant in North Carolina in early February into a river that supplies drinking water for nearby towns.Subpoenas were received this week by Duke Energy, which retired the coal-fired power plant in Eden in 2012, and the North Carolina Department of Environment and Natural Resources regulator, spokesmen for the two entities said on Thursday.The U.S. Attorney's Office in Raleigh ordered officials with the state agency to appear before a grand jury next month with  documents related to the spill that began on Feb. 2, according to a copy of the subpoena provided to Reuters by the department.The spokesman for Duke, which installed a permanent plug at the site to stop releases from the ash basin on Feb. 8, declined to share a copy of the company's subpoena. He said the utility, the largest electric power provider in the United States, was cooperating with all state and federal investigations.""The ash spill itself was something we thought we'd been very transparent about,"" Duke spokesman Tom Williams said. ""We intend to fix any damage in the appropriate manner.""The company initially said as many as 82,000 tons of ash, enough to fill up to 32 Olympic-size swimming pools, spilled into the Dan River after a stormwater pipe broke under a 27-acre ash pond at the coal plant. An estimated 24 to 27 million gallons of wastewater also reached the river, according to the utility's initial estimates.A revised calculation put the release down to 30,000 to 39,000 tons of ash, less than 4 percent of the total ash held in the basin, Duke said.The drinking water of two towns in neighboring Virginia, Danville and South Boston, had to be treated to remove toxins, officials said. In a subpoena dated Feb. 10 to North Carolina's environmental department, prosecutors requested inspection records for the pipe dating back to 2010 and copies of correspondence between the agency and Duke Energy regarding the coal ash and wastewater discharge.""The Department of Environment and Natural Resources will cooperate in this matter,"" said Drew Elliot, a spokesman for the agency.The U.S. Attorney's Office was closed on Thursday due to a winter storm that blanketed the Southeast in snow and ice and officials were not available to comment. The spill came amid a long-running legal battle over the storage of coal ash waste at Duke facilities in the state.The North Carolina environmental regulator sued Duke last year over allegations of water quality violations at the company's plants. On Monday, the state asked a judge to put a controversial settlement deal on hold.Environmental groups say the coal ash, a gray, powdery byproduct of power plants containing heavy metals that can cause cancer and nervous system damage, is stored in antiquated or unlined pits and risks seeping into groundwater and nearby rivers.North Carolina public health officials have warned residents visiting the Dan River to avoid recreational contact with its water and sediment and not to eat any fish caught downstream from the spill site due to potential hazards from the coal ash.The U.S. Environmental Protection Agency and state officials have said drinking water treated from the Dan River appeared safe.",2014-02-13,DUK,"Thu Feb 13, 2014 | 5:28pm EST",U.S. prosecutors open criminal probe of Duke Energy coal ash spill,http://www.reuters.com//article/usa-northcarolina-spill-idUSL2N0LI1G720140213?type=companyNews
7,"  U.S. electric power company Duke Energy Corp (DUK.N) said on Monday that it was looking to sell off its Midwest commercial generation business, including stakes in 13 power plants, saying they offered ""volatile returns"" in a competitive market.Duke will keep its regulated utilities in Ohio and Kentucky, and will try to sell its merchant power plants, with a total capacity of about 6,600 megawatts, as a package, a spokesman said.""This earnings profile is not a strategic fit for this Duke Energy and we have begun a process to exit it,"" Chief Executive Lynn Good said in a statement. Eleven of the plants Duke is planning to sell are in Ohio, one is in Illinois and another is Pennsylvania. The company will record a pretax impairment charge of $1 billion to $2 billion in the first quarter of 2014 related to the sale. Duke expects the process to take between 12 and 18 months and is being advised by Citigroup Inc (C.N) and Morgan Stanley(MS.N).(Reporting by Phil Wahba in New York and Kanika Sikka in Bangalore; Editing by Don Sebastian and Marguerita Choy)",2014-02-17,DUK,"Mon Feb 17, 2014 | 2:06pm EST",Duke Energy to sell U.S. Midwest commercial generation business,http://www.reuters.com//article/us-dukeenergy-midwest-idUSBREA1G18N20140217?type=companyNews
8,"  Feb 17 U.S. electric power company Duke Energy Corp said on Monday that it was looking to sell off its Midwest commercial generation business, including stakes in 13 power plants, saying they offered ""volatile returns"" in a competitive market.Duke will keep its regulated utilities in Ohio and Kentucky, and will try to sell its merchant power plants, with a total capacity of about 6,600 megawatts, as a package, a spokesman said. ""This earnings profile is not a strategic fit for this Duke Energy and we have begun a process to exit it,"" Chief Executive Lynn Good said in a statement. Eleven of the plants Duke is planning to sell are in Ohio, one is in Illinois and another is Pennsylvania. The company will record a pretax impairment charge of $1 billion to $2 billion in the first quarter of 2014 related to the sale.Duke expects the process to take between 12 and 18 months and is being advised by Citigroup Inc and Morgan Stanley .",2014-02-17,DUK,"Mon Feb 17, 2014 | 2:03pm EST",UPDATE 1-Duke Energy to sell U.S. Midwest commercial generation business,http://www.reuters.com//article/dukeenergy-midwest-idUSL3N0LM3FR20140217?type=companyNews
9,"  (Corrects to ""she"" from ""he"" in the fourth graph)Feb 17 U.S. power company Duke Energy  said it was looking to sell its Midwest commercial generation business including 13 power plants. The company said it would record a pretax impairment charge of $1 billion to $2 billion in the first quarter related to the sale. ""Our merchant power plants have delivered volatile returns in the challenging competitive market in the Midwest,"" Chief Executive Lynn Good said in a statement. She said the regulated utilities in Ohio and Kentucky were not a part of this strategic process.     (Reporting By Kanika Sikka in Bangalore; Editing by Don Sebastian)",2014-02-17,DUK,"Mon Feb 17, 2014 | 1:39pm EST",CORRECTED-Duke Energy to exit Midwest commercial generation business,http://www.reuters.com//article/dukeenergy-midwest-idUSL3N0LM3FI20140217?type=companyNews
