,Article,Date,Symbol,Time,Title,Url
0,  Jan 16 Equifax Inc :   investcorp- investcorp announces the sale of tdx group to equifax for £200 million *  ,2014-01-16,EFX,"Thu Jan 16, 2014 | 8:17am EST",BRIEF-Investcorp sells TDX Equifax for 200 mln stg,http://www.reuters.com//article/equifax-brief-idUSWLB006PM20140116?type=companyNews
1,"  WASHINGTON The U.S. consumer financial watchdog on Wednesday said it fined a subprime auto lender $2.75 million for providing inaccurate information about its customers to credit reporting agencies.Texas-based First Investors Financial Services Group did not fix flaws in a computer system that caused it to overstate the number of times borrowers fell behind on payments and inflate overdue amounts, the Consumer Financial Protection Bureau said.Experian, Equifax and other reporting agencies use that information to generate reports on borrowers' credit histories. The reports help determine whether consumers are eligible for loans and can factor into employment decisions.First Investors, which lends to borrowers with impaired credit profiles both directly and through auto dealers, found the problem in 2011 and notified the vendor that provided the computer system, but did nothing else, the consumer bureau said. Its actions violated federal law and may have hurt tens of thousands of borrowers, the CFPB said. ""First Investors showed careless disregard for its customers' financial lives by knowingly distorting their credit profiles for years,"" said bureau Director Richard Cordray.First Investors neither admitted nor denied wrongdoing and said between 1 percent and 12 percent of its accounts were affected. ""When issues were identified, First Investors worked with its service provider to correct them,"" the lender said in a statement.The CFPB was created by the 2010 Dodd-Frank law and charged with overseeing consumer financial products, such as mortgages and credit cards. It began overseeing big credit reporting agencies in 2012. Bureau officials are concerned about how credit reporting mistakes hurt subprime borrowers, who are already subject to predatory lending and higher interest rates. Moody's Investors Service has said subprime auto lenders are behaving cautiously and have raised rates.First Investors did not replace the computer system that was causing it to provide incorrect information or take any steps to correct the data after it was submitted, the bureau said. In addition to the fine, the lender must find and fix all of the errors and help consumers get free copies of their credit reports so that they can check for mistakes, the CFPB said. Consumers are entitled to a free credit report once each year.A senior CFPB official on Wednesday said the bureau would continue to watch companies that furnish credit information to reporting agencies and that more enforcement actions could follow. (Reporting by Emily Stephenson; Editing by Bernard Orr)",2014-08-20,EFX,"Wed Aug 20, 2014 | 2:17pm EDT",U.S. subprime auto lender fined over flawed credit reporting: agency,http://www.reuters.com//article/us-financial-regulations-autolender-idUSKBN0GK20F20140820?type=companyNews
2,"  WASHINGTON The U.S. consumer financial watchdog on Wednesday said it fined a subprime auto lender $2.75 million for providing inaccurate information about its customers to credit reporting agencies.Texas-based First Investors Financial Services Group did not fix flaws in a computer system that caused it to overstate the number of times borrowers fell behind on payments and inflate overdue amounts, the Consumer Financial Protection Bureau said.Experian, Equifax and other reporting agencies use that information to generate reports on borrowers' credit histories. The reports help determine whether consumers are eligible for loans and can factor into employment decisions.First Investors, which lends to borrowers with impaired credit profiles both directly and through auto dealers, found the problem in 2011 and notified the vendor that provided the computer system, but did nothing else, the consumer bureau said. Its actions violated federal law and may have hurt tens of thousands of borrowers, the CFPB said. ""First Investors showed careless disregard for its customers' financial lives by knowingly distorting their credit profiles for years,"" said bureau Director Richard Cordray.First Investors neither admitted nor denied wrongdoing and said between 1 percent and 12 percent of its accounts were affected. ""When issues were identified, First Investors worked with its service provider to correct them,"" the lender said in a statement.The CFPB was created by the 2010 Dodd-Frank law and charged with overseeing consumer financial products, such as mortgages and credit cards. It began overseeing big credit reporting agencies in 2012. Bureau officials are concerned about how credit reporting mistakes hurt subprime borrowers, who are already subject to predatory lending and higher interest rates. Moody's Investors Service has said subprime auto lenders are behaving cautiously and have raised rates.First Investors did not replace the computer system that was causing it to provide incorrect information or take any steps to correct the data after it was submitted, the bureau said. In addition to the fine, the lender must find and fix all of the errors and help consumers get free copies of their credit reports so that they can check for mistakes, the CFPB said. Consumers are entitled to a free credit report once each year.A senior CFPB official on Wednesday said the bureau would continue to watch companies that furnish credit information to reporting agencies and that more enforcement actions could follow. (Reporting by Emily Stephenson; Editing by Bernard Orr)",2014-08-20,EFX,"Wed Aug 20, 2014 | 1:49pm EDT",U.S. subprime auto lender fined over flawed credit reporting : agency,http://www.reuters.com//article/us-financial-regulations-autolender-idUSKBN0GK1YI20140820?type=companyNews
3,"  Nov 3 Pro Global Insurance Solutions Plc , a reinsurance and insurance services provider, said it hired Mory Katz from Equifax Inc to the role of U.S. managing director.Katz, who has more than 20 years of experience in insurance and credit, will be responsible to grow Pro Global's business in the United States, effective Nov. 3, the company said. Pro Global said Katz will be based in New York and report to its Chief Executive Artur Niemczewski.  At Equifax, Katz was vice president and general manager of its insurance and health care vertical markets.   (Reporting by Manya Venkatesh in Bangalore; Editing by Savio D'Souza)",2014-11-03,EFX,"Mon Nov 3, 2014 | 9:36am EST",MOVES-Pro Global Insurance hires Mory Katz from Equifax,http://www.reuters.com//article/proglobalinsuranceservices-moves-morykat-idUSL4N0ST4DD20141103?type=companyNews
4,"  LONDON British retailer Philip Green said on Thursday his struggling department store chain BHS had been acquired by buyout firm Retail Acquisitions.Billionaire Green, whose family owns the Topshop-to-Dorothy Perkins Arcadia Group, gave no financial details about the deal, after saying in January that several groups had expressed interest in the loss-making chain.Losses at BHS had widened to 21 million pounds ($31.5 million) in 2013-14 from 19.3 million pounds the year before, the firm said in November.""This is a fantastic opportunity to breathe new life into this iconic British high street brand. We are convinced that with strategic and focused support we will return BHS to profitability, and safeguard the workforce,"" said Keith Smith, the chairman of Retail Acquisitions. Green bought BHS for 200 million pounds ($298 million) in 2000. The tycoon subsequently acquired Arcadia, owner of the Topshop, Topman, Burton, Dorothy Perkins, Miss Selfridge, Wallis and Evans chains, for 850 million pounds in 2002. He has twice tried and failed to buy Marks & Spencer (MKS.L), Britain's biggest clothing retailer, the latest attempt in 2004.BHS trades from 171 UK stores and 88 franchise stores internationally. It has a staff of 11,000. ""The business is handed over in a sound financial position with significant cash balances and banking facilities in place,"" said Green.""I am confident that Retail Acquisitions have a platform to grow the business and return it to profitability."" Retail Acquisitions said it plans to appoint a chairman with significant retail experience and further retail turnaround experts. (Reporting by Paul Sandle and James Davey; editing by Kate Holton)",2015-03-12,EFX,"Thu Mar 12, 2015 | 12:28pm EDT",UK retailer Philip Green offloads BHS to buyout firm,http://www.reuters.com//article/us-green-m-a-bhs-idUSKBN0M822820150312?type=companyNews
5,"  (Adds detail)LONDON, March 12 British retailer Philip Green said on Thursday his struggling department store chain BHS had been acquired by buyout firm Retail Acquisitions.Billionaire Green, whose family owns the Topshop-to-Dorothy Perkins Arcadia Group, gave no financial details about the deal, after saying in January that several groups had expressed interest in the loss-making chain.Losses at BHS had widened to 21 million pounds ($31.5 million) in 2013-14 from 19.3 million pounds the year before, the firm said in November. ""This is a fantastic opportunity to breathe new life into this iconic British high street brand. We are convinced that with strategic and focused support we will return BHS to profitability, and safeguard the workforce,"" said Keith Smith, the chairman of Retail Acquisitions.Green bought BHS for 200 million pounds ($298 million) in 2000. The tycoon subsequently acquired Arcadia, owner of the Topshop, Topman, Burton, Dorothy Perkins, Miss Selfridge, Wallis and Evans chains, for 850 million pounds in 2002. He has twice tried and failed to buy Marks & Spencer, Britain's biggest clothing retailer, the latest attempt in 2004. BHS trades from 171 UK stores and 88 franchise stores internationally. It has a staff of 11,000. ""The business is handed over in a sound financial position with significant cash balances and banking facilities in place,"" said Green.""I am confident that Retail Acquisitions have a platform to grow the business and return it to profitability.""Retail Acquisitions said it plans to appoint a chairman with significant retail experience and further retail turnaround experts. ($1 = 0.6709 pounds)   (Reporting by Paul Sandle and James Davey; editing by Kate Holton)",2015-03-12,EFX,"Thu Mar 12, 2015 | 12:04pm EDT",UPDATE 1-UK retailer Philip Green offloads BHS to buyout firm,http://www.reuters.com//article/green-ma-bhs-idUSL5N0WE4LG20150312?type=companyNews
6,"  LONDON, March 12 British retailer Philip Green said on Thursday his struggling department store chain BHS had been acquired by buyout firm Retail Acquisitions.Green, whose family owns the Arcadia Group, gave no financial details about the deal, after saying previously that several groups had expressed interest in the loss-making chain. Losses at BHS had widened to 21 million pounds ($31.5 million) in 2013-14 from 19.3 million pounds the year before, the company had said. The chairman of Retail Acquisitions Keith Smith said it was a ""fantastic opportunity to breathe new life into this iconic British high street brand"". ""We are convinced that with strategic and focussed support we will return BHS to profitability, and safeguard the workforce,"" he said.   (Reporting by Paul Sandle; editing by Kate Holton)",2015-03-12,EFX,"Thu Mar 12, 2015 | 7:05am EDT",UK retailer Philip Green's BHS sold to Retail Acquisitions,http://www.reuters.com//article/green-ma-bhs-idUSL5N0WE2KT20150312?type=companyNews
7,"  SYDNEY Oct 6 U.S. credit agency Equifax Inc  sweetened its takeover offer for rival Veda Group Ltd  on Tuesday, winning the Australian target's approval, as the weak Aussie dollar and stumbling share market fuel a frenzy of inbound M&A deals.Three weeks after Equifax proposed to buy the Sydney-headquartered firm for A$2.3 billion ($1.63 billion), both companies said Equifax had upped its proposed cash takeover price to A$2.4 billion.They also said Veda will now let the U.S. firm conduct exclusive due diligence and that it plans to recommend the takeover if Equifax proceeds to a formal offer. The revised offer ""reflects Veda's outstanding market position and represents a strong financial outcome for our shareholders"", Veda Chair Helen Nugent said in a statement.Lured by a 13 percent decline in Australia's dollar against the greenback since the start of 2015 and recent falls on the share market, Australian inbound deals are up 23 percent by value so far this year compared with the same period last year, according to Thomson Reuters data. The average value of Australian inbound deals is the highest on record at $127 million, up 31 percent on the year before. Veda shares rose 1.9 percent to A$2.70, outpacing a broader market gain of 1 percent but less than Equifax's increased proposed offer price of A$2.83, as investors factor in the possibility that the deal will go ahead.($1 = 1.4134 Australian dollars)   (Reporting by Byron Kaye; Editing by Stephen Coates)",2015-10-06,EFX,"Mon Oct 5, 2015 | 9:51pm EDT",U.S.-based Equifax sweetens $1.6 bln tilt at Australian rival Veda,http://www.reuters.com//article/veda-group-ma-equifax-idUSL3N1260CT20151006?type=companyNews
8,  March 25 Equifax Inc -* Says ceo richard smith's fy 2015 total compensation $12.9 million versus $13.9 million in fy 2014 - sec filing  * Says cfo john gamble's fy 2015 total compensation $3.0 million versus $7.1 million in fy 2014  Source text : 1.usa.gov/1RD60fC Further company coverage:    (Bengaluru Newsroom; +1 646 223 8780) ,2016-03-25,EFX,"Fri Mar 25, 2016 | 8:07am EDT",BRIEF-Equifax CEO Richard Smith's 2015 total compensation was $12.9 mln,http://www.reuters.com//article/idUSFWN16W0PL?type=companyNews
9,"  July 27 Equifax Inc* Equifax releases second quarter 2016 results* Q2 adjusted earnings per share $1.43* Q2 earnings per share $1.08* Sees Q3 revenue $795 million to $805 million * Q2 earnings per share view $1.36 -- Thomson Reuters I/B/E/S* Sees Q3 adjusted earnings per share $1.33 to $1.36* Sees FY 2016 adjusted earnings per share $5.35 to $5.40 * Sees FY 2016 revenue $3.13 billion to $3.16 billion* Q2 revenue rose 20 percent to $811.3 million * Q3 earnings per share view $1.32, revenue view $790.0 million -- Thomson Reuters I/B/E/S* Equifax Inc qtrly adjusted EBITDA margin was 36.6 percent, compared to 35.0 percent in Q2 of 2015* FY2016 earnings per share view $5.22, revenue view $3.11 billion -- Thomson Reuters I/B/E/S* Q2 earnings per share view $1.36, revenue view $803.1 million -- Thomson Reuters I/B/E/S  Source text for Eikon:  Further company coverage:    (Bengaluru Newsroom: +1 646 223 8780)",2016-07-27,EFX,"Wed Jul 27, 2016 | 4:18pm EDT",BRIEF-Equifax posts Q2 adj. earnings $1.43/shr,http://www.reuters.com//article/idUSASC08YQZ?type=companyNews
