,Article,Date,Symbol,Time,Title,Url
0,"   By Esha Dey  Israel's Teva Pharmaceutical Industries Ltd (TEVA.TA) (TEVA.N) offered to buy U.S. neurology drugs maker NuPathe Inc PATH.O for $114 million plus milestone payments related to NuPathe's Zecuity migraine treatment.Teva's offer of $3.65 per share comes less than a month after Endo Health Solutions Inc (ENDP.O) said it would buy NuPathe for about $105 million, or $2.85 per share, plus milestone payments.Both Endo and Teva are offering NuPathe up to $3.15 per share in milestone payments related to Zecuity.Excluding milestone payments, Teva's offer represents a premium of 13 percent to NuPathe's Tuesday close.NuPathe shares were up 37 percent at $4.42 in late morning trading on Wednesday.""After review and discussion, the company board determined that the Teva proposal is reasonably expected to lead to a superior proposal,"" NuPathe said in a filing, adding that it planned to discuss the offer with Teva. However, analysts said that while Teva offered more up front, its milestone payments were based on Zecuity sales levels that were unlikely to be reached.Teva's offer would give NuPathe shareholders 85 cents per share when annual sales of Zecuity reach $100 million, another $1.00 when sales reach $300 million and $1.30 more when sales hit $450 million.Under the Endo offer, NuPathe shareholders would receive $2.15 per share when Zecuity sales exceed $100 million. The rest would be earned if sales exceed $300 million. ""I almost feel like (Teva's final milestone) is out there just for fun, because I don't really believe (Zecuity is) going to get to $450 million,"" Stifel Nicolaus and Co analyst Annabel Samimy said.""In terms of certain sales, I think Endo wins. In terms of the next tier, I think that is where the uncertainty comes in.""Zecuity, approved in the United States last January, is the only prescription migraine patch approved by the U.S. Food and Drug Administration. Its sales are estimated to reach about $181 million by 2018, according to Thomson Reuters data. The single-use, battery-powered patch delivers a commonly used migraine drug, sumatriptan, to treat both headaches and migraine-related nausea.Applied to the upper arm or thigh during a migraine attack, it delivers a 6.5 mg dose of sumatriptan through the skin over four hours.Migraine headaches, a neurological disorder, affect about 12 percent of the U.S. population.Analysts have said Zecuity could be a strategic fit for Teva and Endo, both of which offer multiple pain treatments.Endo was not immediately available for comment.(Reporting by Esha Dey in Bangalore; Editing by Don Sebastian and Saumyadeb Chakrabarty)",2014-01-08,ENDP,"Wed Jan 8, 2014 | 12:30pm EST",NuPathe gets takeover offer from Israel's Teva,http://www.reuters.com//article/us-nupathe-offer-teva-idUSBREA070OH20140108?type=companyNews
1,  Jan 21 NuPathe Inc said it terminated its takeover deal with Endo Health Solutions Inc and accepted an offer from Israel's Teva Pharmaceutical Industries Ltd .Teva offered to buy the neurology drugs maker on Jan. 8 for $114 million plus milestone payments related to its Zecuity migraine treatment.  NuPathe said Teva's offer represented a premium of about 28 percent over the upfront cash payment offered by Endo and equal amount of milestone-based payments. ,2014-01-21,ENDP,"Tue Jan 21, 2014 | 7:18am EST","NuPathe accepts Teva's takeover offer, ends deal with Endo",http://www.reuters.com//article/nupathe-acquisition-teva-idUSL3N0KV3GH20140121?type=companyNews
2,"   By Karen Freifeld | NEW YORK  NEW YORK Endo Health Solutions Inc will pay $193 million to resolve civil and criminal allegations of unlawful marketing of the pain treatment Lidoderm, the U.S. Justice Department and New York Attorney General Eric Schneiderman said Friday.Endo was accused of illegally marketing Lidoderm for lower back pain or chronic pain. The U.S. Food and Drug Administration had only approved it for treatment of pain associated with shingles.The Malvern, Pennsylvania-based company agreed to pay $173 million to U.S. state and federal authorities and about $20 million more in criminal penalties and forfeitures in a deferred prosecution agreement. ""Illegally marketing drugs off-label puts patient lives at risk,"" Schneiderman said in a statement.New York led a team of states in the investigation and subsequent settlement, the statement said. Endo also agreed to settle its potential civil liability in connection with Lidoderm marketing. The civil settlement resolves three whistleblower lawsuits pending in federal court filed by two former Lidoderm sales representatives and a physician. The whistleblowers' share of the settlement has not been determined. ""We are pleased to resolve this matter and are confident that we have robust programs in place to assist us in satisfying our legal and regulatory agreements,"" Endo's president and chief executive office, Rajiv De Silva, said in a statement.As part of the settlement, Endo will enter a corporate integrity agreement with the Department of Health and Human Services Office of Inspector General, designed to avoid or detect similar lapses.(Additional reporting by Deena Beasley in Los Angeles; Editing by Bernadette Baum)",2014-02-21,ENDP,"Fri Feb 21, 2014 | 2:56pm EST",Endo to pay $193 million over Lidoderm marketing,http://www.reuters.com//article/us-endo-health-idUSBREA1K1NF20140221?type=companyNews
3,"   By Karen Freifeld | NEW YORK  NEW YORK Endo Health Solutions Inc will pay $193 million to resolve civil and criminal allegations of unlawful marketing of the pain treatment Lidoderm, the Justice Department and New York Attorney General Eric Schneiderman said Friday.Endo was accused of illegally marketing Lidoderm for lower back pain or chronic pain. The U.S. Food and Drug Administration had only approved it for treatment of pain associated with shingles.The Malvern, Pennsylvania-based company agreed to pay $173 million to state and federal authorities and about $20 million more in criminal penalties and forfeitures in a deferred prosecution agreement. ""Illegally marketing drugs off-label puts patient lives at risk,"" Schneiderman said in a statement.New York led a team of states in the investigation and subsequent settlement, the statement said. Endo also agreed to settle its potential civil liability in connection with Lidoderm marketing. The civil settlement resolves three whistleblower lawsuits pending in federal court filed by two former Lidoderm sales representatives and a physician. The whistleblowers' share of the settlement has not been determined. ""We are pleased to resolve this matter and are confident that we have robust programs in place to assist us in satisfying our legal and regulatory agreements,"" Endo's president and chief executive office, Rajiv De Silva, said in a statement.As part of the settlement, Endo will enter a corporate integrity agreement with the Department of Health and Human Services Office of Inspector General, designed to avoid or detect similar lapses.(Additional reporting by Deena Beasley in Los Angeles; Editing by Bernadette Baum)",2014-02-21,ENDP,"Fri Feb 21, 2014 | 2:55pm EST",Endo to pay $193 million over Lidoderm marketing,http://www.reuters.com//article/us-endo-lidoderm-settlement-idUSBREA1K1TX20140221?type=companyNews
4,"  By Karen FreifeldNEW YORK Feb 21 Endo Health Solutions Inc  will pay $193 million to resolve civil and criminal allegations of unlawful marketing of the pain treatment Lidoderm, the U.S. Justice Department and New York Attorney General Eric Schneiderman said Friday.Endo was accused of illegally marketing Lidoderm for lower back pain or chronic pain. The U.S. Food and Drug Administration had only approved it for treatment of pain associated with shingles. The Malvern, Pennsylvania-based company agreed to pay $173 million to U.S. state and federal authorities and about $20 million more in criminal penalties and forfeitures in a deferred prosecution agreement.""Illegally marketing drugs off-label puts patient lives at risk,"" Schneiderman said in a statement. New York led a team of states in the investigation and subsequent settlement, the statement said.Endo also agreed to settle its potential civil liability in connection with Lidoderm marketing. The civil settlement resolves three whistleblower lawsuits pending in federal court filed by two former Lidoderm sales representatives and a physician. The whistleblowers' share of the settlement has not been determined. ""We are pleased to resolve this matter and are confident that we have robust programs in place to assist us in satisfying our legal and regulatory agreements,"" Endo's president and chief executive office, Rajiv De Silva, said in a statement.As part of the settlement, Endo will enter a corporate integrity agreement with the Department of Health and Human Services Office of Inspector General, designed to avoid or detect similar lapses.",2014-02-21,ENDP,"Fri Feb 21, 2014 | 2:42pm EST",UPDATE 1-Endo to pay $193 million over Lidoderm marketing,http://www.reuters.com//article/endo-lidoderm-settlement-idUSL2N0LQ1VI20140221?type=companyNews
5,"  By Karen FreifeldNEW YORK Feb 21 Endo Health Solutions Inc  agreed to pay $193 million to resolve civil and criminal allegations of unlawful marketing of the drug Lidoderm, the U.S. Justice Department and New York state Attorney General Eric Schneiderman announced on Friday. Endo was accused of illegally marketing Lidoderm for use in connection with lower back pain or chronic pain. The U.S. Food and Drug Administration had only approved it for treatment of pain associated with shingles. The Malvern, Pennsylvania-based company agreed to pay $173 million to U.S. state and federal authorities and about $20 million more in criminal penalties and forfeitures in a deferred prosecution agreement. ""Illegally marketing drugs off-label puts patient lives at risk,"" Schneiderman said in a statement. New York led a team of states in the investigation and subsequent settlement, the statement said.""We are pleased to resolve this matter and are confident that we have robust programs in place to assist us in satisfying our legal and regulatory agreements,"" Endo's president and chief executive office, Rajiv De Silva, said in a statement.",2014-02-21,ENDP,"Fri Feb 21, 2014 | 1:06pm EST",UPDATE 1-Endo to pay $193 million over Lidoderm marketing,http://www.reuters.com//article/endo-health-idUSL2N0LQ1O520140221?type=companyNews
6,"   By Karen Freifeld | NEW YORK   NEW YORK Feb 21 Endo Health Solutions Inc  agreed to pay $173 million to U.S. state and federal authorities to resolve allegations of unlawful marketing of the drug Lidoderm, New York Attorney General Eric Schneiderman said in a statement.  ",2014-02-21,ENDP,"Fri Feb 21, 2014 | 12:33pm EST",BRIEF-Endo to pay $173 million over Lidoderm marketing,http://www.reuters.com//article/endo-health-solutions-brief-idUSL2N0LQ1MU20140221?type=companyNews
7,"  Endo International Plc said the U.S. Food and Drug Administration approved its thrice-rejected testosterone replacement therapy, Aveed, to treat male hypogonadism.The company's shares rose 4.6 percent in premarket trading.The regulator rejected the treatment last May, saying that the company needed a better plan to manage risks associated with the long-acting drug that contains testosterone and castor oil.The FDA had expressed concerns about the risk of the castor oil in the formulation causing blockages in blood vessels in the lungs and of complications linked to post-injection reactions. In February, a consumer advocacy group urged the FDA to delay its decision on Aveed, saying drugs treating low testosterone should carry strong warnings about the risk of heart problems.Testosterone treatments currently include skin patches, short-acting injections and topical gels. AbbVie Inc's AndroGel, the market leader, generated about $1.2 billion in sales in 2012. Male hypogonadism is characterized by low production of the hormone testosterone, which is responsible for maintaining muscle bulk, bone growth and sexual function. Low levels of testosterone can lead to a loss of libido, depression and fatigue.Endo International, formerly known as Endo Health Solutions Inc, said it expected to launch Aveed in early March. The Dublin-based company said on February 28 that it would change its name following its acquisition of Paladin Labs.Endo International's shares closed at $76.47 on the Nasdaq on Wednesday.(Reporting by Natalie Grover and Vrinda Manocha in Bangalore; Editing by Kirti Pandey)",2014-03-06,ENDP,"Thu Mar 6, 2014 | 8:22am EST",FDA approves Endo International's testosterone drug,http://www.reuters.com//article/us-endohealth-fda-aveed-idUSBREA250UU20140306?type=companyNews
8,"  (Adds details, background, shares)March 6 Endo International Plc said the U.S. Food and Drug Administration approved its thrice-rejected testosterone replacement therapy, Aveed, to treat male hypogonadism.The company's shares rose 4.6 percent in premarket trading.The regulator rejected the treatment last May, saying that the company needed a better plan to manage risks associated with the long-acting drug that contains testosterone and castor oil. The FDA had expressed concerns about the risk of the castor oil in the formulation causing blockages in blood vessels in the lungs and of complications linked to post-injection reactions.In February, a consumer advocacy group urged the FDA to delay its decision on Aveed, saying drugs treating low testosterone should carry strong warnings about the risk of heart problems. Testosterone treatments currently include skin patches, short-acting injections and topical gels. AbbVie Inc's  AndroGel, the market leader, generated about $1.2 billion in sales in 2012.Male hypogonadism is characterized by low production of the hormone testosterone, which is responsible for maintaining muscle bulk, bone growth and sexual function. Low levels of testosterone can lead to a loss of libido, depression and fatigue. Endo International, formerly known as Endo Health Solutions Inc, said it expected to launch Aveed in early March.The Dublin-based company said on Feb. 28 that it would change its name following its acquisition of Paladin Labs.Endo International's shares closed at $76.47 on the Nasdaq on Wednesday.    (Reporting by Natalie Grover and Vrinda Manocha in Bangalore; Editing by Kirti Pandey)",2014-03-06,ENDP,"Thu Mar 6, 2014 | 8:21am EST",UPDATE 1-FDA approves Endo International's testosterone drug,http://www.reuters.com//article/endohealth-fda-aveed-idUSL3N0M33FF20140306?type=companyNews
9,"  March 6 Endo Health Solutions Inc said the U.S. Food and Drug Administration approved its thrice-rejected testosterone drug, Aveed, to treat male hypogonadism.The health regulator rejected the drug last May, saying that Endo needed a better plan to manage the risks associated with the drug. Aveed, which contains testosterone and castor oil, is expected to be launched in early March, Endo said on Thursday.  Male hypogonadism is a condition characterized by low production of the hormone testosterone, often leading to a loss of libido, depression and fatigue.    (Reporting by Natalie Grover and Vrinda Manocha in Bangalore; Editing by Kirti Pandey)",2014-03-06,ENDP,"Thu Mar 6, 2014 | 7:14am EST",FDA approves Endo Health's testosterone drug,http://www.reuters.com//article/endohealth-fda-aveed-idUSL3N0M33EG20140306?type=companyNews
