,Article,Date,Symbol,Time,Title,Url
0,"  * Sees 2014 sales growth of 8-11 pct in local currencies* Q4 profit 7.35 mln crowns vs 7.73 bln forecast   (Adds comments from CEO, CFO and analysts, details, background, share price)By Teis Jensen and Shida ChayestehCOPENHAGEN, Jan 30 Novo Nordisk, the world's largest insulin producer, raised its 2014 outlook by less than investors had hoped for saying it expected sales to be hit by contract losses in the United States and competition from cheaper generic drugs.The Danish company also promoted head of sales and production Kaare Schultz to chief operating officer, a role that puts him in the running to succeed 59-year-old Chief Executive Lars Rebien Sorensen whose contract ends in 2019.Novo Nordisk said on Thursday that it now expected sales to grow by 8-11 percent, below its average 13 percent growth rate over the last ten years.It forecast operating profit to grow by around 10 percent in local currencies. Both outlooks were raised from an October forecast of 'high single-digit growth'.Novo, which competes with Sanofi and Eli Lilly & Co, aims to increase the number of people that use its drugs to 40 million in 2020 from 23 million in 2012, as the world faces an epidemic of type 2 diabetes linked to over-eating and lack of exercise. Chief Financial Officer Jesper Brandgaard said 2014 sales would be hit by competition from copycat versions of its Prandin diabetes drug and the loss of two contracts with U.S. pharmacy group Express Scripts Holding Co, which was announced in September.Those two factors are expected to reduce global sales by 1 percentage point each, Brandgaard said.He said there was also uncertainty about the development of its smaller biopharmaceuticals business, without elaborating. Novo expects 2014 sales of between 87.33 billion and 89.84 billion Danish crowns ($16.4 billion), below analysts' average forecast of 90.31 billion crowns.Alm. Brand Bank analyst Michael Friis Jorgensen said he expected Novo to upgrade its outlook during the year.""It is disappointing that they do not raise EBIT guidance for 2014 further,"" Jorgensen said. ""But it is no catastrophe"".The company raised its 2013 guidance three times. CEO Sorensen, who has been in the job since 2000 and is due to step down some time before his 65th birthday, said no decision had been made about his succession. ""No crown prince title has been issued yet, and my departure is not imminent"" he said.Operating profit fell to 7.35 billion in the fourth quarter, missing forecasts in a Reuters poll.Sales rose 4 percent to 21.70 billion crowns, missing an average forecast of 22.11 billion.Novo's board proposed a dividend of 4.5 crowns per share and a 12-month share buyback programme of up to 15 billion crowns.Shares in Novo Nordisk were 0.4 percent higher at 0951 GMT, while the Danish benchmark index was up 0.9 percent.Novo's shares have risen 2.5 percent since the start of the year, outperforming a 0.9 percent fall in the European Healthcare Index.  ($1 = 5.4691 Danish crowns)   (Editing by Erica Billingham)",2014-01-30,ESRX,"Thu Jan 30, 2014 | 5:15am EST",UPDATE 2-Denmark's Novo Nordisk sees copycat drugs hitting sales,http://www.reuters.com//article/novonordisk-results-idUSL5N0L40IB20140130?type=companyNews
1,"  Pharmacy benefit manager Express Scripts Holding Co (ESRX.O) on Thursday forecast 2014 earnings in line with Wall Street expectations and said it sees long-term earnings growth of up to 20 percent per year.The company reported fourth quarter profit that matched analysts' estimates.""Based on assumptions regarding healthcare trends, industry positioning and the overall environment, the company is targeting annual earnings per share growth of 10 per cent to 20 per cent for the next several years,"" St Louis-based Express said in a release announcing its quarterly results.The company said it was well positioned to gain market share as well as benefit from the growth of home delivery and specialty drugs and from healthcare reform that will place a premium on lowering costs.Pharmacy benefit managers, or PBMs, administer drug benefits for employers and health plans and also run large mail order pharmacies. For 2014, Express forecast adjusted earnings of $4.88 to $5 per share, giving the company room to exceed analysts' current average estimates of $4.93 per share.The company reported net income of $506 million, or 63 cents per share, compared with a profit of $511 million, or 61 cents per share, a year ago. Excluding items, the company had adjusted earnings of $1.12 per share. Analysts on average were expecting $1.12, according to Thomson Reuters I/B/E/S.Revenue for the quarter of $25.78 billion topped Wall Street estimates of $25.36 billion. Overall use of generic drugs for the quarter edged up to 80.9 percent from 79.8 percent a year earlier. Increased use of generic medicines cut healthcare costs of PBM customers and add to Express Scripts' bottom line.Express Scripts shares fell to $75 in extended trading from a Nasdaq close at $77.12. The stock had been on a roll, with shares up about 10 percent so far this year and by more than 25 percent over the past four months.(Reporting by Bill Berkrot; Editing by Bernard Orr and Meredith Mazzilli)",2014-02-20,ESRX,"Thu Feb 20, 2014 | 5:55pm EST",Express Scripts sees long-term earnings growth of up to 20 percent,http://www.reuters.com//article/us-expressscripts-results-idUSBREA1J27O20140220?type=companyNews
2,"  Feb 20 Pharmacy benefit manager Express Scripts Holding Co on Thursday forecast 2014 earnings in line with Wall Street expectations and said it sees long-term earnings growth of up to 20 percent per year.The company reported fourth quarter profit that matched analysts' estimates.""Based on assumptions regarding healthcare trends, industry positioning and the overall environment, the company is targeting annual earnings per share growth of 10 per cent to 20 per cent for the next several years,"" St Louis-based Express said in a release announcing its quarterly results.The company said it was well positioned to gain market share as well as benefit from the growth of home delivery and specialty drugs and from healthcare reform that will place a premium on lowering costs. Pharmacy benefit managers, or PBMs, administer drug benefits for employers and health plans and also run large mail order pharmacies.For 2014, Express forecast adjusted earnings of $4.88 to $5 per share, giving the company room to exceed analysts' current average estimates of $4.93 per share. The company reported net income of $506 million, or 63 cents per share, compared with a profit of $511 million, or 61 cents per share, a year ago.Excluding items, the company had adjusted earnings of $1.12 per share. Analysts on average were expecting $1.12, according to Thomson Reuters I/B/E/S. Revenue for the quarter of $25.78 billion topped Wall Street estimates of $25.36 billion.Overall use of generic drugs for the quarter edged up to 80.9 percent from 79.8 percent a year earlier. Increased use of generic medicines cut healthcare costs of PBM customers and add to Express Scripts' bottom line.Express Scripts shares fell to $75 in extended trading from a Nasdaq close at $77.12. The stock had been on a roll, with shares up about 10 percent so far this year and by more than 25 percent over the past four months.",2014-02-20,ESRX,"Thu Feb 20, 2014 | 5:42pm EST",UPDATE 1-Express Scripts sees long-term earnings growth of up to 20 pct,http://www.reuters.com//article/expressscripts-results-idUSL2N0LP2OP20140220?type=companyNews
3,"  Feb 20 Pharmacy benefit manager Express Scripts Holding Co  on Thursday reported fourth-quarter profit and issued a 2014 earnings forecast in line with Wall Street expectations.The company reported net income of $506 million, or 63 cents per share, compared with a profit of $511 million, or 61 cents per share, a year ago. Excluding items, the company had adjusted earnings of $1.12 per share. Analysts on average were expecting $1.12, according to Thomson Reuters I/B/E/S.  For 2014, Express forecast adjusted earnings of $4.88 to $5 per share. Analysts' on average are looking for $4.93 per share.",2014-02-20,ESRX,"Thu Feb 20, 2014 | 5:10pm EST","Express Scripts profit, outlook match Street estimates",http://www.reuters.com//article/expressscripts-results-idUSL2N0LP2NQ20140220?type=companyNews
4,"   By Bill Berkrot  Pharmacy benefit manager Express Scripts Holding Co (ESRX.O) on Tuesday posted a lower-than-expected first-quarter profit and decreased its earnings forecast for full-year 2014, saying adjusted prescription volume would be less than it had anticipated.Express Scripts shares fell 6 percent in extended trading.For 2014, Express now expects adjusted earnings of $4.82 to $4.94 per share, down from its prior forecast of $4.88 to $5 per share. Analysts on average are looking for $4.94 a share.The anticipated prescription volume shortfall that led to the decision to revise the 2014 forecast downward was primarily due to a delay of expected client starts from the middle of the year to early 2015, and to lost clients, Express Scripts said.The shortfall would be partially offset by an increase in earnings per adjusted claim, the company said.Excluding one-time items, Express said it had adjusted earnings of 99 cents per share, missing analysts' average forecast by 2 cents, according to Thomson Reuters I/B/E/S. The company said severe winter weather in the quarter as well as later-than-expected enrollment in public health insurance exchanges under the Affordable Care Act hurt its results.""They had a pretty challenging start to the year,"" said ISI Group analyst Ross Muken.He said the original prescription volume forecast had seemed conservative at the time, ""and now it's not."" Express now expects adjusted prescription volume to be in the range of 1.27 billion to 1.33 billion, down from its previous forecast of 1.30 billion to 1.36 billion.""If you have less scripts, you're going to make less money,"" Muken said. ""On the whole, we're pretty concerned.""Pharmacy benefit managers, or PBMs, administer drug benefits for employers and health plans and also run large mail order pharmacies. Chief Executive George Paz said the company expects to substantially complete integration of its 2012 acquisition of rival Medco through the remainder of the year and then to turn its attention to growth.The company said net profit fell to $328.3 million, or 42 cents per share, from $373 million, or 45 cents per share, a year ago.Revenue of $23.68 billion was shy of Wall Street estimates of $23.80 billion.Express Scripts shares fell to $66.75 in after-hours trading on Nasdaq after closing on Tuesday at $71.01.(Reporting by Bill Berkrot; editing by G Crosse, David Gregorio and Meredith Mazzilli)",2014-04-29,ESRX,"Tue Apr 29, 2014 | 5:32pm EDT","Express Scripts first-quarter profit falls, lowers 2014 forecast",http://www.reuters.com//article/us-expressscripts-results-idUSBREA3S16Z20140429?type=companyNews
5,"  (Adds analyst comment, prescription volume details; updates share price)By Bill BerkrotApril 29 Pharmacy benefit manager Express Scripts Holding Co on Tuesday posted a lower-than-expected first-quarter profit and decreased its earnings forecast for  full-year 2014, saying adjusted prescription volume would be less than it had anticipated.Express Scripts shares fell 6 percent in extended trading.For 2014, Express now expects adjusted earnings of $4.82 to $4.94 per share, down from its prior forecast of $4.88 to $5 per share. Analysts on average are looking for $4.94 a share.The anticipated prescription volume shortfall that led to the decision to revise the 2014 forecast downward was primarily due to a delay of expected client starts from the middle of the year to early 2015, and to lost clients, Express Scripts said.The shortfall would be partially offset by an increase in earnings per adjusted claim, the company said. Excluding one-time items, Express said it had adjusted earnings of 99 cents per share, missing analysts' average forecast by 2 cents, according to Thomson Reuters I/B/E/S.The company said severe winter weather in the quarter as well as later-than-expected enrollment in public health insurance exchanges under the Affordable Care Act hurt its results.""They had a pretty challenging start to the year,"" said ISI Group analyst Ross Muken. He said the original prescription volume forecast had seemed conservative at the time, ""and now it's not.""Express now expects adjusted prescription volume to be in the range of 1.27 billion to 1.33 billion, down from its previous forecast of 1.30 billion to 1.36 billion.""If you have less scripts, you're going to make less money,"" Muken said. ""On the whole, we're pretty concerned."" Pharmacy benefit managers, or PBMs, administer drug benefits for employers and health plans and also run large mail order pharmacies.Chief Executive George Paz said the company expects to substantially complete integration of its 2012 acquisition of rival Medco through the remainder of the year and then to turn its attention to growth.The company said net profit fell to $328.3 million, or 42 cents per share, from $373 million, or 45 cents per share, a year ago.Revenue of $23.68 billion was shy of Wall Street estimates of $23.80 billion.Express Scripts shares fell to $66.75 in after-hours trading on Nasdaq after closing on Tuesday at $71.01.   (Reporting by Bill Berkrot; editing by G Crosse, David Gregorio and Meredith Mazzilli)",2014-04-29,ESRX,"Tue Apr 29, 2014 | 5:31pm EDT","UPDATE 2-Express Scripts 1st-qtr profit falls, lowers 2014 forecast",http://www.reuters.com//article/expressscripts-results-idUSL2N0NL22U20140429?type=companyNews
6,"  Pharmacy benefit manager Express Scripts Holding Co (ESRX.O) on Tuesday reported lower-than-expected first quarter profit and took down its full-year earnings forecast range by 6 cents, saying adjusted prescription volume would be less than it had anticipated.Excluding one-time items, Express said it had adjusted earnings of 99 cents per share, missing analysts' average expectations by 2 cents, according to Thomson Reuters I/B/E/S.Express Scripts shares fell more than 5 percent in extended trading.The company said severe winter weather in the quarter and later-than-expected enrollment in public health insurance exchanges under the Affordable Care Act hurt its results.For 2014, Express now expects adjusted earnings of $4.82 to $4.94 per share, down from its prior forecast of $4.88 to $5 per share. Analysts on average are looking for $4.94. The anticipated prescription volume shortfall that led to the decision to lower the 2014 forecast was primarily due to a delay of expected client starts from the middle of this year to the beginning of 2015, Express said.It said the shortfall would be partially offset by an increase in earnings per adjusted claim. Pharmacy benefit managers, or PBMs, administer drug benefits for employers and health plans and also run large mail order pharmacies.Chief Executive George Paz said the company expects to substantially complete integration of its 2012 $29 billion acquisition of rival Medco through the remainder of the year and then turn its attention to organic growth. The company said net profit fell to $328.3 million, or 42 cents per share, from $373 million, or 45 cents per share, a year ago.Revenue of $23.68 billion was shy of Wall Street estimates of $23.80 billion.Express Scripts shares fell to $67.30 in after-hours trading from a Nasdaq close at $71.01.(Reporting by Bill Berkrot; Editing by David Gregorio and Meredith Mazzilli)",2014-04-29,ESRX,"Tue Apr 29, 2014 | 4:53pm EDT","Express Scripts profit falls, lowers 2014 forecast",http://www.reuters.com//article/us-expressscripts-results-idUSBREA3S13E20140429?type=companyNews
7,"  April 29 Pharmacy benefit manager Express Scripts Holding Co on Tuesday reported lower first quarter profit and took down its full-year earnings forecast range by 6 cents, saying adjusted prescription volume would be less than it had anticipated.The company said net profit fell to $328.3 million, or 42 cents per share, from $373 million, or 45 cents per share, a year ago. Excluding one-time items, Express said it had adjusted earnings of 99 cents per share. Analysts on average expected $1.01 per share, according to Thomson Reuters I/B/E/S.  Revenue of $23.68 billion was shy of Wall Street estimates of $23.80 billion.   (Reporting by Bill Berkrot; Editing by David Gregorio)",2014-04-29,ESRX,"Tue Apr 29, 2014 | 4:27pm EDT","Express Scripts profit falls, lowers 2014 forecast",http://www.reuters.com//article/expressscripts-results-idUSL2N0NL21E20140429?type=companyNews
8,"   By Ransdell Pierson | April 30  April 30 Pharmacy benefit manager Express Scripts Holding Co on Wednesday said it is too soon to know the significance of three government subpoenas it has received since February, which asked about the company's business dealings with U.S. and European drugmakers.Express Scripts on Tuesday in a regulatory filing said it had received subpoenas from federal prosecutors in Rhode Island, from the Attorney General of New Jersey and from the U.S. Department of Labor, and would cooperate with all of them.In a conference call with industry analysts on Wednesday to discuss its first-quarter earnings, Express Scripts officials did not provide any new details about the subpoenas and said it would take time to understand their significance.""I tell you we have very strong compliance programs here at Express Scripts, so I don't know where all these things take us or what they are looking for,"" Chief Executive George Paz said on the call. ""But I feel good about what we do, so we will just have to see how these things play out."" St. Louis-based Express Scripts, the country's largest PBM, administers drug benefits for employers and health plans and also runs large mail-order pharmacies. Its shares were down 6 percent in afternoon trading on the Nasdaq.""We have no comment beyond what was disclosed yesterday in our regulatory filing,"" company spokesman Brian Henry said, when asked by Reuters for more details about the subpoenas. The regulatory filing said Express Scripts received a subpoena on Feb. 27 from the U.S. Department of Justice, District of Rhode Island. It requested information on the company's contractual arrangements with Pfizer Inc, Bayer AG, Biogen Idec Inc and EMD Serono Inc, a unit of Germany's Merck KGaA, concerning multiple sclerosis drugs Betaseron, Rebif and Avonex.A subpoena received on March 31 from the Attorney General of New Jersey sought information regarding arrangements made by Express Scripts and Medco - a leading PBM that Express Scripts bought in 2012 - with British drugmaker AstraZeneca Plc  concerning heartburn drug Nexium. The third subpoena came April 8 from the U.S. Department of Labor, and asked for information regarding Express Scripts' and Medco's client relationships from 2009 until present, Express Scripts said in the filing.Express Scripts late on Tuesday posted a lower-than-expected first-quarter profit and decreased its earnings forecast for full-year 2014, saying adjusted prescription volume would be less than it had anticipated.Results were hurt by severe winter weather in the quarter as well as later-than-expected enrollment in public health insurance exchanges under the Affordable Care Act, the company said.(Reporting by Ransdell Pierson; Editing by Cynthia Osterman)",2014-04-30,ESRX,"Wed Apr 30, 2014 | 1:10pm EDT",Express Scripts says significance of subpoenas still unclear,http://www.reuters.com//article/express-scr-subpoenas-idUSL2N0NM1L620140430?type=companyNews
9,"  April 30 Express Scripts Holding Co :  * Says considering a number of initiatives to benefit clients and patientsregarding Gilead's Sovaldi drug for hepatitis c  * Says enthusiastic about affordable care act, despite ""very rocky start""  * Says ""way too early"" to know significance of subpoena from U.S. department of  labor ",2014-04-30,ESRX,"Wed Apr 30, 2014 | 9:45am EDT",BRIEF-Express Scripts weighs options regarding costly Sovaldi hepatitis C drug,http://www.reuters.com//article/expressscripts-brief-idUSWEN00D5120140430?type=companyNews
