,Article,Date,Symbol,Time,Title,Url
0,"  March 19 Entergy Corp reduced the 685-megawatt Pilgrim nuclear power plant in Massachusetts early Wednesday to clean the condenser, the U.S. Nuclear Regulatory Commission said in an email.     Electricity traders said the unit was reduced to about half power early Wednesday from full power earlier in the day.     The NRC said the company cleans the condenser on a semi-regular basis to reduce the buildup of biological material, such as algae.     Traders estimated the unit would return to full power in a day or so.       ---------------------------------------------------------- PLANT BACKGROUND/TIMELINE STATE:        Massachusetts        COUNTY:       Plymouth        TOWN:         Plymouth        OPERATOR:     Entergy  OWNER(S):     Entergy        UNIT(S):      685 MW Nuclear        FUEL:         Nuclear  DISPATCH:     Baseload  COST:         $462.25 million in 2007 US dollars    TIMELINE:        1972 -        Pilgrim enters service        2006 -        Entergy files with NRC to renew the original                     40-year operating license for an additional                20 years        2012 -        NRC renews reactor license 2032 -        License expires   (Reporting by Scott DiSavino)   ",2014-03-19,ETR,"Wed Mar 19, 2014 | 10:29am EDT",Entergy reduces Massachusetts Pilgrim reactor to clean condenser,http://www.reuters.com//article/utilities-operations-entergy-pilgrim-idUSL2N0MG0SD20140319?type=companyNews
1,"  May 13 Entergy Corp will keep its 989-megawatt Unit 2 at the Arkansas nuclear power plant shut for refueling, the company said in an email late Monday.The unit shut on April 27 when a tornado cut through Entergy's service area, damaging a substation and several transmission lines.Electricity traders guessed the unit would return in early June.The 834-MW Unit 1 at the plant has been operating at reduced output since the storms hit. The U.S. Nuclear Regulatory Commission said Unit 1 was operating at 72 percent power early Tuesday. ---------------------------------------------------------- PLANT BACKGROUND/TIMELINE      STATE:      Arkansas        COUNTY:     Pope        TOWN:       Russellville, about 75 miles (120 km) northwest ofLittle Rock        OPERATOR:   Entergy Nuclear        OWNER:      Entergy Corp  ETR.N        CAPACITY:   1,823 MW    UNITS:      Unit 1 - 834 MW, pressurized water reactor Unit 2 - 989 MW, pressurized water reactorTIMELINE:            1974 -      Unit 1 enters commercial operation        1980 -      Unit 2 enters commercial operation        2001 -      Unit 1's operating license renewed        2005 -      Unit 2's operating license renewed        2034 -      Unit 1's license expires        2038 -      Unit 2's license expires   (Reporting by Scott DiSavino; Editing by Chizu Nomiyama)",2014-05-13,ETR,"Tue May 13, 2014 | 8:50am EDT",Entergy to keep Arkansas 2 nuclear power reactor shut for refuel,http://www.reuters.com//article/utilities-operations-entergy-arkansas-idUSL1N0NZ0LP20140513?type=companyNews
2,"  June 24 The U.S. Nuclear Regulatory Commission (NRC) said on Tuesday that after a series of investigations, it has declared a 2013 incident at an Arkansas nuclear power plant to be of substantial safety significance, the penultimate of four emergency classifications.An industrial accident at Entergy Corp's Arkansas Nuclear One plant in Russellville killed one worker and injured eight others on March 31 last year, when a generator fell as it was being moved out of the turbine building.The accident was initially classified as an unusual event, the lowest of four emergency classifications, because the incident caused a small explosion inside electrical cabinets.The incident caused unit 2 of the plant to automatically shut down when a reactor coolant pump tripped due to vibrations caused by the heavy component hitting the turbine building floor, damaging electrical cables and equipment, leading to a loss of off-site power. Unit 1 at the plant was in a refueling outage at the time, with all of the fuel still in the reactor vessel, safely cooled.Emergency diesel generators were relied upon for six days to supply power to cooling systems. If the diesel generators would have failed, there was no alternate means of providing electrical power to key safety-related systems at the plant at that time, due to the damaged electrical cables and equipment. ""The NRC determined that the lifting assembly collapse resulted from the plant's failure to adequately review the assembly design and ensure an appropriate load test in accordance with its procedures or approved standards,"" the NRC statement said.NRC held a regulatory conference with Entergy officials on May 1 and after considering information provided by Entergy, determined that 'substantial safety significance' was appropriate to characterize the risk significance of the event for both Unit 1 and 2.""The NRC will determine the appropriate level of agency oversight and notify Entergy officials of the decision in a separate letter,"" the statement said.   (Reporting by Anupam Chatterjee in Bangalore; Editing by Marguerita Choy)",2014-06-24,ETR,"Tue Jun 24, 2014 | 2:12pm EDT",NRC raises risk significance for 2013 Arkansas nuclear plant accident,http://www.reuters.com//article/utilities-operations-entergy-arkansas-idUSL4N0P53SQ20140624?type=companyNews
3,"  July 16 Entergy Corp's 1,190-megawatt Grand Gulf nuclear power plant in Mississippi was reduced to 88 percent power by early Wednesday from full power early Tuesday, the U.S. Nuclear Regulatory Commission said in a report.---------------------------------------------------------- PLANT BACKGROUND/TIMELINE    STATE:      Mississippi      COUNTY:     Claiborne      TOWN:       Port Gibson, about 60 miles west-southwest ofJackson, the state capital      OPERATOR:   Entergy Corp's Entergy Nuclear      OWNER(S):   Entergy Corp's System EnergyResources Inc (90 pct) South Mississippi ElectricPower Association (10 pct)      CAPACITY:   1,190 MW      UNIT(S):    General Electric boiling water reactor      FUEL:       Nuclear      DISPATCH:   Baseload      COST:       $3.5 billionTIMELINE:      1970 -      Plant construction starts - cost estimate $1.2 billion for two reactors      1979 -      Entergy stops work on Unit 2 due to unexpectedlyhigh costs      1985 -      Unit 1 enters service      2005 -      Entergy and NuStart pick General Electric/Hitachi 1,550 MW Economic Simplified Boiling Water Reactor(ESBWR) for potential new Unit 3 at the site      2007 -      NRC issues early site permit for the site      2008 -      NRC and NuStart file combined construction andoperating license (COL) application for the potential new reactor at the site      2009 -      Entergy asks NRC to suspend review of COL forpotential new reactor      2011 -      Entergy files with NRC to renew theoriginal 40-year operating license for anadditional 20 years      2024 -      Unit 1 license expires   (Reporting by Scott DiSavino)",2014-07-16,ETR,"Wed Jul 16, 2014 | 7:39am EDT",Entergy Mississippi Grand Gulf nuclear power reactor cut to 88 pct,http://www.reuters.com//article/utilities-operations-entergy-grandgulf-idUSL2N0PR0FV20140716?type=companyNews
4,"  July 17 The U.S. Department of Justice on Thursday sued Entergy Corp, accusing the utility owner and power producer of refusing to show that it complies with rules governing affirmative action, a requirement for federal contractors.According to a complaint filed with the U.S. District Court in New Orleans, Entergy has since May 2012 refused repeated requests from the Labor Department to submit its written affirmative action programs and related records, in connection with a routine compliance review of 11 properties in Louisiana, Mississippi and Texas.The Justice Department said Entergy, as a federal contractor, cannot discriminate against employees and job applicants on the basis of race, color, sex, religion, national origin, disability or protected veteran status.It estimated that Entergy earns more than $1 billion in taxpayer-funded contracts to provide services to the government. Entergy's failure to make the disclosures ""undermines the public trust that taxpayers expect in ensuring that public funding is used in a manner that complies with both federal law and agency regulations,"" Jocelyn Samuels, acting assistant attorney general for the Justice Department's civil rights unit, said in a statement. Michael Burns, an Entergy spokesman, said the New Orleans-based company does not discuss pending litigation.The lawsuit seeks a permanent injunction requiring Entergy to turn over required materials. Entergy said it employs roughly 14,000 people, has electric power businesses in Arkansas, Louisiana, Mississippi and Texas, and operates six nuclear power plants.The case is U.S. v. Entergy Corp et al, U.S. District Court, Eastern District of Louisiana, No. 14-01644.       (Reporting by Jonathan Stempel in New York; Editing by Lisa Shumaker)",2014-07-17,ETR,"Thu Jul 17, 2014 | 6:44pm EDT",U.S. sues Entergy for not reporting affirmative action compliance,http://www.reuters.com//article/entergy-lawsuit-idUSL2N0PS34H20140717?type=companyNews
5,  July 17 Entergy Corp :  * U.S. Department of Justice sues Entergy Corp for refusing to complywith federal contractor requirements over affirmative action compliance  * U.S. says unable to determine if Entergy is complying with affirmative action obligations because company has refused to supply documents and cooperate  with auditing attempts,2014-07-17,ETR,"Thu Jul 17, 2014 | 5:53pm EDT",BRIEF-U.S. sues Entergy on contractor requirements related to affirmative action,http://www.reuters.com//article/entergy-brief-idUSWEN00DL820140717?type=companyNews
6,"  Entergy Corp said the 1,041-megawatt Unit 3 at the Indian Point nuclear power plant in New York shut automatically a few minutes before noon Eastern time (1200 EDT) on Wednesday, the U.S. power company said in an email.The unit was operating at full power earlier Wednesday, according to a report by the U.S. Nuclear Regulatory Commission.    (Reporting by Scott DiSavino; Editing by James Dalgleish)",2014-08-13,ETR,"Wed Aug 13, 2014 | 2:51pm EDT",Entergy N.Y. Indian Point 3 nuclear power reactor shut,http://www.reuters.com//article/us-utilities-operations-entergy-indianpo-idUSKBN0GD1SD20140813?type=companyNews
7,"  (Adds Merck, AAR Corp, Entergy, Santander, Spirit Aerosystems)Dec 9 The following bids, mergers, acquisitions and disposals were reported by 2100 GMT on Tuesday:** Merck & Co Inc said on Tuesday it will proceed with its planned $8.4 billion purchase of Cubist Pharmaceuticals Inc and still expects the deal to boost its long-term earnings, despite a court ruling that could speed the arrival of generic forms of Cubist's top-selling product.** U.S. aviation support company AAR Corp has put German cargo handling firm Telair up for sale, in a deal that could value Telair at up to 800 million euros ($988 million), three sources familiar with the matter said on Tuesday.** Entergy Corp said it would buy a natural gas-fired power generation station in Arkansas for about $948 million as it looks to meet increased demand and continues to modernize its fleet of utilities.**  Spain's Santander is considering buying out the 28 percent of its U.S. auto finance business that is currently listed on the stock market, Bloomberg reported on Tuesday, citing people with knowledge of the matter.** Canadian oil producer Talisman Energy Inc said it had been approached by a number of parties, including Spain's Repsol SA, for various transactions. ** Brazil's Vale SA  said it sold a stake in its Mozambique coal mine to Japanese trader Mitsui & Co Ltd  for $763 million, as it looks to shore up its balance sheet during a period of lower commodity prices.** Heavily indebted Indonesian state-owned carrier PT Merpati Nusantara Airlines is exploring restructuring options including a debt-to-equity swap and finding strategic investors, its chief executive told Reuters.** Britain's Land Securities Group Plc has sold Scottish real estate worth 224.1 million pounds ($350.9 million) to HSBC Holdings Plc as it focuses on larger commercial property assets in and around London. ** Sumitomo Mitsui Financial Group Inc will announce as soon as next week that it will buy Citigroup Inc's  Japanese consumer banking business, Bloomberg reported, citing people with knowledge of the matter.** Dutch pharmaceuticals wholesaler Brocacef said that it was taking over businesses of Mediq, a medical supplies and equipment provider, to create a company with combined sales of 2.1 billion euros ($2.59 billion).** Aircraft fuselage maker Spirit AeroSystems Holdings Inc  said it would pay aero parts supplier Triumph Group Inc  $160 million to take its business that makes wings for two Gulfstream jets. ** Media group Vivendi SA is interested in buying the French magazine titles belonging to Roularta Media Group NV  including the news weekly L'Express, said Chairman Vincent Bollore.** Private equity firm Carlyle Group LP said it bought a majority stake in India's Newgen KnowledgeWorks, a provider of publishing and technical services, for $32.8 million.** Airbus Group NV has agreed to sell its minority stake in Finnish defense company Patria as it presses ahead with efforts to streamline its defense and space activities.** India's Reliance Industries Ltd said it would transfer its textile business into a new joint venture with China's Shandong Ruyi Science and Technology Group Co Ltd (Ruyi).** Italy will sell a first stake of its state rail operator Ferrovie dello Stato in 2016, the company's Chief Executive Michele Elia said.** Indonesian state-owned pharmaceutical firm PT Kimia Farma Tbk said it might merge with peer PT Indofarma Tbk  as part of a government consolidation plan for the sector.($1 = 0.64 British pounds)  ($1 = 0.81 euros)   (Compiled by Anet Josline Pinto in Bengaluru)",2014-12-09,ETR,"Tue Dec 9, 2014 | 4:03pm EST",Deals of the day- Mergers and acquisitions,http://www.reuters.com//article/deals-day-idUSL3N0TT3BF20141209?type=companyNews
8,"  Dec 9 Entergy Corp said it would buy a natural gas-fired power generation station in Arkansas for about $948 million as it looks to meet increased demand and continues to modernize its fleet of utilities. Entergy said its units - Entergy Arkansas, Entergy Gulf States Louisiana and Entergy Texas - would buy the 1,980, megawatt producing power station from Union Power Partners LP, which is owned by Entegra TC LLC.    (Reporting by Narottam Medhora in Bengaluru; Editing by Kirti Pandey)  ",2014-12-09,ETR,"Tue Dec 9, 2014 | 9:38am EST",Entergy Corp to buy an Arkansas power station for $948 mln,http://www.reuters.com//article/entergy-deal-idUSL3N0TT44J20141209?type=companyNews
9,"  Dec 26 Entergy Corp's 974-megawatt River Bend nuclear power plant in Louisiana was shut by early Friday from 85 percent power early Wednesday, the U.S. Nuclear Regulatory Commission said in a report. ---------------------------------------------------------- PLANT BACKGROUND/TIMELINE STATE:      Louisiana PARISH:     West Feliciana TOWN:       St. Francisville, about 24 miles (38 km)             northwest of Baton Rouge, the state capital OPERATOR:   Entergy Nuclear OWNER(S):   Entergy Gulf States Louisiana CAPACITY:   974 MW UNIT(S):    General Electric boiling water reactor FUEL:       Nuclear DISPATCH:   Baseload COST:       $4.2 billion  TIMELINE: 1973 -      Unit 2 proposed 1984 -      Unit 2 cancelled 1986 -      Unit 1 enters commercial service 2008 -      Entergy files a combined construction and             operating license (COL) application with the NRC             to build a new 1,550-MW General Electric-Hitachi             Economic Simplified Boiling Water Reactor at an             estimated cost of $6.2 billion 2009 -      Entergy asks NRC to suspend review of the COL             after the company and GE-Hitachi are unable to             come to terms on the new reactor Jan 2015 -  Entergy to file with NRC to renew the original             40-year operating license for an additional 20             years 2025 -      Unit 1 license expires   (Reporting by Koustav Samanta in Bengaluru; Editing by Jeffrey Benkoe)   ",2014-12-26,ETR,"Fri Dec 26, 2014 | 9:16am EST",Entergy Louisiana River Bend 1 reactor shut - U.S NRC,http://www.reuters.com//article/utilities-operations-entergy-riverbend-idUSL1N0UA0C120141226?type=companyNews
