,Article,Date,Symbol,Time,Title,Url
0,"   By Patrick Temple-West | WASHINGTON  WASHINGTON Energy group Exelon Corp is fighting the U.S. Internal Revenue Service in court over a $517 million tax bill in a case that tax lawyers said could lead to new restrictions on businesses' ability to do tax-free property exchange deals.Such exchanges are common legal strategies for avoiding capital gains tax. Thousands are carried out annually, though the Exelon deal at issue was unusually large.If Exelon loses its case against the IRS in U.S. Tax Court, tax-free property exchange deals, even smaller ones, could be at risk of more often being labeled ""abusive tax shelters,"" by the agency, tax lawyers said this week.""People are already on edge ... it is going to put a crimp on this type of transaction,"" said Stefan Tucker, a lawyer with Venable LLP, who is not involved in the case. He said he thinks the case will likely be appealed regardless of the Tax Court's decision.'LIKE-KIND' DEALS Exelon is defending two tax-free property exchanges worth more than $1 billion combined. They were carried out by one of its units in 1999, according to a Tax Court filing.The IRS contends that the exchanges were ""a potentially abusive tax shelter,"" said Exelon, the largest U.S. nuclear power plant operator, in a November 2013 regulatory filing.A spokesman for Chicago-based Exelon declined to comment and referred questions to the company's regulatory filings. The IRS, which also declined to comment, has not yet filed a response to Exelon's Tax Court petition challenging the tax bill. The company does not have to pay the bill while litigation is ongoing. A trial has not yet been scheduled.The dispute centers on a tax break that lets an individual or business sell an asset - often real estate - and pay no capital gains tax on any profit if the asset is replaced within a certain time period with a similar, or ""like-kind,"" asset.Tax-free exchanges must be done following strict rules on timing, intermediaries and any cash involved. Corporations filed more than 64,000 forms with the IRS in 2010 declaring so-called like-kind exchanges, while individuals filed more than 150,000 such forms that same year, the most recent year for which data was available.In the Exelon case, the IRS is arguing that the company ""did not acquire and retain significant and genuine attributes of a traditional owner,"" to satisfy the like-kind exchange rules, according to court documents. 'SILO' TAX SHELTER The case traces back to 1999 when an Exelon subsidiary sold some of its fossil fuel power plants to comply with new regulations. With the sale proceeds, the subsidiary acquired three power plants in Georgia and Texas in what the company said it structured as a tax-free exchange.The Exelon subsidiary then leased the Georgia and Texas properties back to the local governments that operated them. The governments paid advance rent to the Exelon unit totaling more than $1 billion, according to court filings.The rent payments were part of a ""sale in, lease out,"" or SILO, deal that was integral to the tax-free exchange. The IRS contends that by leasing the properties, the Exelon unit did not take proper possession of the plants it got in the exchange. The IRS views some SILO deals as tax shelters and has won SILO disputes in court, including an unrelated one against Exelon last year in a federal appellate court.""SILOs are old tax shelters and courts have ruled against them numerous times,"" said Bradley Borden, a Brooklyn Law School tax professor. He added that if the SILO portion of the power plants exchange does not hold up in court, Exelon could lose and its case could have ""a chilling effect"" on similar deals.""Exelon is going to have a hard time winning,"" Borden said.However, in court fights over like-kind exchanges, ""the IRS has a pretty bad track record,"" said David Shechtman, a lawyer with Drinker Biddle & Reath LLP who is not involved in the case.Exelon's transaction was not a typical SILO and that might help the company prove it was playing by the rules, he said.The case is Exelon Corp, as successor by merger to Unicom Corp and Subsidiaries v. Commissioner of Internal Revenue; Tax Court docket No. 29183-13.(Editing by Kevin Drawbaugh, editing by G Crosse)",2014-01-28,EXC,"Tue Jan 28, 2014 | 2:22pm EST",Exelon quarrel with IRS could threaten tax-free exchange deals,http://www.reuters.com//article/us-usa-exelon-irs-idUSBREA0R1LU20140128?type=companyNews
1,"   By Patrick Temple-West | WASHINGTON  WASHINGTON Jan 28 Energy group Exelon Corp  is fighting the U.S. Internal Revenue Service in court over a $517 million tax bill in a case that tax lawyers said could lead to new restrictions on businesses' ability to do tax-free property exchange deals.Such exchanges are common legal strategies for avoiding capital gains tax. Thousands are carried out annually, though the Exelon deal at issue was unusually large.If Exelon loses its case against the IRS in U.S. Tax Court, tax-free property exchange deals, even smaller ones, could be at risk of more often being labeled ""abusive tax shelters,"" by the agency, tax lawyers said this week.""People are already on edge ... it is going to put a crimp on this type of transaction,"" said Stefan Tucker, a lawyer with Venable LLP, who is not involved in the case. He said he thinks the case will likely be appealed regardless of the Tax Court's decision.'LIKE-KIND' DEALS Exelon is defending two tax-free property exchanges worth more than $1 billion combined. They were carried out by one of its units in 1999, according to a Tax Court filing.The IRS contends that the exchanges were ""a potentially abusive tax shelter,"" said Exelon, the largest U.S. nuclear power plant operator, in a November 2013 regulatory filing. A spokesman for Chicago-based Exelon declined to comment and referred questions to the company's regulatory filings.The IRS, which also declined to comment, has not yet filed a response to Exelon's Tax Court petition challenging the tax bill. The company does not have to pay the bill while litigation is ongoing. A trial has not yet been scheduled.The dispute centers on a tax break that lets an individual or business sell an asset - often real estate - and pay no capital gains tax on any profit if the asset is replaced within a certain time period with a similar, or ""like-kind,"" asset.Tax-free exchanges must be done following strict rules on timing, intermediaries and any cash involved. Corporations filed more than 64,000 forms with the IRS in 2010 declaring so-called like-kind exchanges, while individuals filed more than 150,000 such forms that same year, the most recent year for which data was available. In the Exelon case, the IRS is arguing that the company ""did not acquire and retain significant and genuine attributes of a traditional owner,"" to satisfy the like-kind exchange rules, according to court documents.'SILO' TAX SHELTER The case traces back to 1999 when an Exelon subsidiary sold some of its fossil fuel power plants to comply with new regulations. With the sale proceeds, the subsidiary acquired three power plants in Georgia and Texas in what the company said it structured as a tax-free exchange. The Exelon subsidiary then leased the Georgia and Texas properties back to the local governments that operated them. The governments paid advance rent to the Exelon unit totaling more than $1 billion, according to court filings.The rent payments were part of a ""sale in, lease out,"" or SILO, deal that was integral to the tax-free exchange.The IRS contends that by leasing the properties, the Exelon unit did not take proper possession of the plants it got in the exchange. The IRS views some SILO deals as tax shelters and has won SILO disputes in court, including an unrelated one against Exelon last year in a federal appellate court.""SILOs are old tax shelters and courts have ruled against them numerous times,"" said Bradley Borden, a Brooklyn Law School tax professor. He added that if the SILO portion of the power plants exchange does not hold up in court, Exelon could lose and its case could have ""a chilling effect"" on similar deals.""Exelon is going to have a hard time winning,"" Borden said.However, in court fights over like-kind exchanges, ""the IRS has a pretty bad track record,"" said David Shechtman, a lawyer with Drinker Biddle & Reath LLP who is not involved in the case.Exelon's transaction was not a typical SILO and that might help the company prove it was playing by the rules, he said.The case is Exelon Corp, as successor by merger to Unicom Corp and Subsidiaries v. Commissioner of Internal Revenue; Tax Court docket No. 29183-13.",2014-01-28,EXC,"Tue Jan 28, 2014 | 2:20pm EST",Exelon quarrel with IRS could threaten tax-free exchange deals,http://www.reuters.com//article/usa-exelon-irs-idUSL2N0KX1J120140128?type=companyNews
2,"  April 1 The U.S. Nuclear Regulatory Commission said on Tuesday it has approved the proposed direct transfer of operating licenses from Constellation Energy Nuclear Group (CENG) subsidiaries to Exelon Corp for five commercial nuclear power reactors and three spent fuel storage installations.The transfer of operating licenses will be for Constellation's five nuclear power reactors at three plant sites - Calvert Cliffs 1 and 2 in Maryland, Nine Mile Point 1 and 2, and R.E. Ginna in New York and the associated independent spent fuel storage installations, the regulator said.The NRC had approved the indirect transfer of the licenses in February 2012 when Exelon merged with Constellation Energy Partners LLC, CENG's parent company. ""The current direct transfer allows Exelon to integrate the operations of the facilities into its existing nuclear fleet,"" the NRC said in a statement. The license transfers will not result in any physical changes to the facilities. The on-site organizations and plant staff, including senior managers, will remain unchanged by the license transfers, the NRC said. Exelon currently owns 50.01 percent of CENG, which is jointly owned with EDF Inc, a subsidiary of Electricité de France SA.Long Island Power Authority's 18 percent ownership in Nine Mile Point 2 reactor will not be affected by the license transfers, the NRC said. Existing Exelon licenses will also not be affected, it added.   (Reporting by Koustav Samanta in Bangalore; Editing by Marguerita Choy)",2014-04-01,EXC,"Tue Apr 1, 2014 | 2:41pm EDT",U.S. NRC okays 5 reactor license transfers from Constellation to Exelon,http://www.reuters.com//article/constellation-exelon-nuclear-idUSL1N0MT1EX20140401?type=companyNews
3,"   By Swetha Gopinath and Kanika Sikka  Exelon Corp said it would buy Pepco Holdings Inc for $6.83 billion, helping it overtake Duke Energy Corp as the biggest power distribution company in the United States.The deal will allow Exelon to sell more power at stable rates set by regulators at a time when an abundance of cheap natural gas is dragging down power prices in the open market.Exelon's move to reduce its exposure to the vagaries of the wholesale power market comes as U.S. utilities struggle with falling electricity demand in both the open and regulated markets due to increased energy efficiency and a weak economy.However, Exelon's stock fell as much as 5 percent to $34.22.""Some investors might question Exelon's desire to increase the company's regulated exposure at a time when power markets appear to be recovering,"" said Wells Fargo analyst Neil Kalton.The company defended the acquisition saying it was maintaining substantial exposure to the recovery in prices.""The acquisition also supports our belief in the value of an integrated utility, with a balanced mix of regulated and non-regulated cash flows,"" Exelon Chief Executive Chris Crane, who will lead the combined company, said on a conference call. Exelon said its earnings from the regulated business is expected to rise to as much as 65 percent after the deal, from about 60 percent now.Pepco's shares rose as much as 18 percent before closing 17.4 percent higher at $26.76, slightly below Exelon's offer price of $27.25 per share, despite fears of severe regulatory scrutiny for the deal.However, two experts said the deal was unlikely to run into serious trouble from regulators, who most likely will include the U.S. Justice Department, the Federal Energy Regulatory Commission and public utility commissions in New Jersey, Delaware, Maryland, and the District of Columbia. There is no antitrust issue since the two companies don't have customers in the same areas, said Bruce McDonald, an antitrust expert with Jones Day law firm.Pepco operates utilities in the District of Columbia, Delaware, Maryland and New Jersey, serving about 2 million customers.Exelon's utilities deliver electricity and natural gas to more than 6.6 million customers in Maryland, Illinois and Pennsylvania.The acquisition would not deter Exelon from buying more renewable and conventional power assets, Crane said. At the same time, the company is looking to raise up to $1 billion by selling non-core assets, he said. Weak power prices and consumption have spurred consolidation among utilities in the past three years, with Exelon itself having bought Constellation Energy for $7.9 billion in 2011. Duke Energy and AES Corp have also made acquisitions.Exelon said it expected Pepco to ""significantly"" add to adjusted earnings in the first full year after the deal closed.The company also reported a lower-than-expected profit for the first quarter, hurt by weak energy prices and a fall in nuclear and coal output.Barclays, Goldman Sachs & Co and Loop Capital Markets are Exelon's financial advisers. Kirkland & Ellis LLP is its legal counsel.Lazard is Pepco Holdings' financial adviser. Sullivan & Cromwell LLP and Covington & Burling LLP are its legal counsel.(Additional reporting by Diane Bartz in Washington; Editing by Saumyadeb Chakrabarty and Savio D'Souza)",2014-04-30,EXC,"Wed Apr 30, 2014 | 7:08pm EDT",Exelon to become top U.S. power distributor with Pepco buy,http://www.reuters.com//article/us-pepco-holdings-offer-idUSBREA3T09Y20140430?type=companyNews
4,"  * Offers to buy Pepco for $6.83 bln, or $27.25/share in cash* Deal will help Exelon sell more power at regulated rates* Exelon shares fall 5 pct, Pepco up 18 pct   (Updates share price, adds Breakingviews link)By Swetha Gopinath and Kanika SikkaApril 30 Exelon Corp said it would buy Pepco Holdings Inc for $6.83 billion, helping it overtake Duke Energy Corp as the biggest power distribution company in the United States.The deal will allow Exelon to sell more power at stable rates set by regulators at a time when an abundance of cheap natural gas is dragging down power prices in the open market.Exelon's move to reduce its exposure to the vagaries of the wholesale power market comes as U.S. utilities struggle with falling electricity demand in both the open and regulated markets due to increased energy efficiency and a weak economy.However, Exelon's stock fell as much as 5 percent to $34.22. ""Some investors might question Exelon's desire to increase the company's regulated exposure at a time when power markets appear to be recovering,"" said Wells Fargo analyst Neil Kalton.The company defended the acquisition saying it was maintaining substantial exposure to the recovery in prices.""The acquisition also supports our belief in the value of an integrated utility, with a balanced mix of regulated and non-regulated cash flows,"" Exelon Chief Executive Chris Crane, who will lead the combined company, said on a conference call.Exelon said its earnings from the regulated business is expected to rise to as much as 65 percent after the deal, from about 60 percent now. Pepco's shares rose as much as 18 percent before closing 17.4 percent higher at $26.76, slightly below Exelon's offer price of $27.25 per share, despite fears of severe regulatory scrutiny for the deal.However, two experts said the deal was unlikely to run into serious trouble from regulators, who most likely will include the U.S. Justice Department, the Federal Energy Regulatory Commission and public utility commissions in New Jersey, Delaware, Maryland, and the District of Columbia.There is no antitrust issue since the two companies don't have customers in the same areas, said Bruce McDonald, an antitrust expert with Jones Day law firm.Pepco operates utilities in the District of Columbia, Delaware, Maryland and New Jersey, serving about 2 million customers. Exelon's utilities deliver electricity and natural gas to more than 6.6 million customers in Maryland, Illinois and Pennsylvania.The acquisition would not deter Exelon from buying more renewable and conventional power assets, Crane said. At the same time, the company is looking to raise up to $1 billion by selling non-core assets, he said.Weak power prices and consumption have spurred consolidation among utilities in the past three years, with Exelon itself having bought Constellation Energy for $7.9 billion in 2011. Duke Energy and AES Corp have also made acquisitions.Exelon said it expected Pepco to ""significantly"" add to adjusted earnings in the first full year after the deal closed.The company also reported a lower-than-expected profit for the first quarter, hurt by weak energy prices and a fall in nuclear and coal output.Barclays, Goldman Sachs & Co and Loop Capital Markets are Exelon's financial advisers. Kirkland & Ellis LLP is its legal counsel.Lazard is Pepco Holdings' financial adviser. Sullivan & Cromwell LLP and Covington & Burling LLP are its legal counsel.   (Additional reporting by Diane Bartz in Washington; Editing by Saumyadeb Chakrabarty and Savio D'Souza)",2014-04-30,EXC,"Wed Apr 30, 2014 | 7:06pm EDT",UPDATE 4-Exelon to become top US power distributor with Pepco buy,http://www.reuters.com//article/pepco-holdings-offer-idUSL3N0NM41K20140430?type=companyNews
5,"  (Adds Shell, Vale, Etihad Etisalat, America Movil and others; updates Exelon Corp)April 30 The following bids, mergers, acquisitions and disposals were reported by 2000 GMT on Wednesday:** Bayer AG is offering to swap its animal health assets for Merck & Co Inc's consumer healthcare business, people familiar with the matter said on Tuesday, in a move that could give the German drugmaker a leg-up in the $14 billion auction of the Merck business.** Exelon Corp said it would buy Pepco Holdings Inc  for $6.83 billion, helping it overtake Duke Energy Corp  as the biggest power distribution company in the United States.** Sanofi SA is looking to sell a portfolio of older drugs that could fetch $7 billion-$8 billion, according to people familiar with the matter, yet another example of drugmakers trying to shed non-core assets and focus on high-growth areas.** Australian mining firm Padbury Mining Ltd's $6.5 billion deal to fund a new iron ore port and rail development on the resource-rich western coast has fallen through, the company said on Wednesday.** French Economy Minister Arnaud Montebourg said on Wednesday that his government would examine a request from Alstom SA unions to raise the state's shareholding in the company, which is the subject of takeover talks.Separately, the head of General Electric said that talks with the French government on its offer for Alstom's  energy assets had been ""productive"" and he expressed confidence that the deal would go through despite a potential rival offer from Germany's Siemens.** Swiss private bank J. Safra Sarasin has agreed to buy Morgan Stanley's Swiss private banking unit, beefing up its business with the wealthy in the Middle East and Latin America.** China Petrochemical Corp (Sinopec Group) said on Wednesday that it and state-owned power group China Huadian Corp have agreed to take a combined 15 percent stake in a liquefied natural gas project controlled by Malaysian state oil firm Petronas in Canada.** Iran has terminated China National Petroleum Corp's  contract to develop the Azadegan oilfield after the Chinese energy giant ignored repeated appeals to work on it, Iranian news agency Shana said on Wednesday.** India's Jindal Steel and Power Ltd and JSW Steel Ltd are in competing talks to buy parts of insolvent Italian steelmaker Lucchini, sources with direct knowledge of the matter said.** German auto parts and tire maker Continental AG  plans to buy the remainder of Emitec, a supplier of emissions technology, from GKN Plc.** Linux operating system vendor Red Hat Inc said it would buy privately held storage systems provider Inktank Ceph Enterprise for $175 million to expand in the fast growing market for software-defined storage.** An Indian court has temporarily halted generic drugmaker Sun Pharmaceutical Industries Ltd's $3.2 billion takeover of rival Ranbaxy Laboratories Ltd until it decides on a petition for a probe into alleged insider trading. ** Mapletree Group, owned by Singapore's state investor Temasek Holdings Pte Ltd, plans to partner with U.S-based Oakwood Worldwide in forming a joint venture in the serviced apartment business.** Etihad Airways has signaled that it was ready to continue talks on a potential investment in Italy's troubled Alitalia but it refuses to budge on tough conditions on debt restructuring and job cuts, a source close to the talks said on Wednesday.** Israeli geothermal energy producer Ormat Industries  said its U.S. subsidiary is examining the possibility of raising money by bringing in equity partners for a small number of assets in the United States.** The banking foundation that is top shareholder in Banca Carige is awaiting clearance from Italy's Treasury to cut its stake to 19 percent from 43.4 percent at present, the chairman of the not-for-profit entity said on Wednesday.** Volkswagen AG is edging closer toward taking full control of its Swedish truck division Scania, after its buyout offer won broad support from shareholders and fell just short of an acceptance threshold.** Hastings Funds Management and China Merchants Group have won a state government auction for a 98-year lease on Australia's Port of Newcastle, the world's biggest coal export terminal, paying a higher-than-expected A$1.75 billion ($1.62 billion). ** Indonesia's PT Perusahaan Gas Negara Tbk said it will buy liquefied natural gas from BP Plc's Tangguh plant for its two floating storage facilities to meet rising demand in Southeast Asia's biggest economy.** A consortium of RRJ Capital and Temasek Holdings have agreed to invest 1.3 billion euros ($1.80 billion) in ING Groep's European and Japanese insurance and investment management unit ahead of its planned IPO, the Dutch financial services firm said in a statement on Wednesday.** Africa-focused oil and gas explorer Tullow Oil  has sold majority stakes in two UK North Sea gas assets to Faroe Petroleum Plc for $75.6 million and said it was looking for buyers of other North Sea assets.** The biggest investor in Salini Impregilo will reduce its stake in the Italian builder to around 75 percent from 90 percent by the end of the summer, Chief Financial Officer Massimo Ferrari said on Wednesday.** Israeli mobile operator Pelephone signed a deal with Sweden's Ericsson to supply equipment and build a fourth-generation (4G) network, its parent company said on Wednesday.** Croatia's state power board Hrvatska Elektroprivreda (HEP) said on Wednesday that it had received qualified bids for the construction of a 500-megawatt thermal power plant on the northern Adriatic, but declined to offer details until the bids were assessed.** Royal Dutch Shell Plc's proposed LNG Canada liquefied natural gas export plant in British Columbia tiptoed closer to reality on Wednesday, with the company signing a formalized partnership agreement with its three Asian partners, nudging the project into the next stage of development. Shell also boosted its stake in the project to 50 percent from 40 percent. ** Guinea's President Alpha Conde said on Wednesday he hoped Brazilian miner Vale would bid to reclaim two iron ore permits, because the company had not been involved in the alleged corruption that led to their cancellation.** Saudi Arabia's Etihad Etisalat (Mobily) is in talks to acquire 20 percent of Etihad Atheeb Telecommunications  through a rights issue by the loss-making telecom operator, according to a bourse statement on Wednesday.** India's Piramal Enterprises Ltd has agreed to buy a 9.99 percent stake in Shriram City Union Finance Ltd  valued at about $130 million, its latest investment in a firm linked to the Chennai-based Shriram group.** Latin America's biggest phone company America Movil  expects regulators to approve its deal to take control of Telekom Austria within two months, it said on Wednesday.** Charter Communications, which lost out to Comcast Corp in a bid to acquire Time Warner Cable Inc , has withdrawn its slate of nominees to Time Warner Cable's board. As part of a deal with Comcast announced on Monday to swap customers, Charter had withdrawn its slate, a Charter spokesman said on Wednesday.** Grupo Argos, a Colombian holding company, is looking to invest in the energy sector elsewhere in Latin America later this year, its chief executive said on Wednesday.** Lithuanian state-owned companies said they had asked the competition authority for approval to buy stakes in the Baltic state's gas and power utilities from Germany's E.ON .** Reckitt Benckiser Group said on Wednesday it was no longer in active talks with Merck & Co about buying its consumer health business, leaving Germany's Bayer  as the leading contender for the $14 billion business.** Lloyds Banking Group has reached an agreement to sell $500 million of shipping loans from its remaining ship finance portfolio as the British bank cuts sector exposure, finance and banking sources familiar with the matter said on Wednesday.** China's commerce ministry has approved with conditions German liquid crystal maker Merck KGaA's planned $2.6 billion takeover of UK-listed AZ Electronic Materials.** Energizer Holdings Inc said it planned to separate into two publicly traded companies, one for batteries and other household products and the other for personal care brands such as Schick razors and Stayfree female hygiene products.** The three brothers who own Fratelli Rossetti would consider selling part of the Italian luxury shoemaker to fund future expansion, while keeping the business founded by their father firmly under family control.** ArcelorMittal SA, the world's largest steelmaker, and Bekaert Group on Wednesday agreed to swap their stakes in their Brazil, Costa Rica and Ecuador ventures, part of a broader plan to extend a four-decade partnership in fast-growing markets, an executive said.   ($1 = 0.59 British pounds)  ($1 = 1.08 Australian dollars)  ($1 = 0.72 euros)   (Compiled by Avik Das and Ankit Ajmera in Bangalore)",2014-04-30,EXC,"Wed Apr 30, 2014 | 4:07pm EDT",Deals of the day- Mergers and acquisitions,http://www.reuters.com//article/deals-day-idUSL3N0NM3J320140430?type=companyNews
6,"  * Twitter hits record intraday low, eBay also down after results* Exelon to buy Pepco Holdings, Pepco shares rally* FOMC statement due later in the day* Indexes: Dow, S&P little changed, Nasdaq off 0.2 pct   (Updates prices)By Rodrigo CamposNEW YORK, April 30 U.S. stocks were little changed on Wednesday after data showed the economy grew at a sharply lower-than-expected pace in the first quarter, but gains in private payrolls kept the market near break-even.Gross domestic product expanded at a 0.1 percent annual rate, the slowest since the fourth quarter of 2012, as exports and inventories weighed, but activity already appears to be bouncing back. It was a sharp pullback from the fourth quarter's 2.6 percent pace. U.S. private employers, however, beat expectations by adding 220,000 workers in April, the highest amount since November, and gains in the prior month were revised up. Chicago business activity also rose more than expected in April, jumping to its highest since October 2013.Despite the large miss on GDP, the S&P 500 remained within 1 percent from its record closing high set early this month.""There's no hiding the fact the GDP number is a disappointment, but even though it came much lower than expectations it's getting a hall pass because we are expecting to have a better second quarter,"" said Art Hogan, chief market strategist at Wunderlich Securities in New York.""The market is focusing on what economic data is telling us about Q2 and there's a reason to believe the demand loss was more weather-related than anything,"" he said. Hogan cited the Chicago PMI, internals of the GDP report, and ADP as evidence the second quarter will be stronger.The Dow Jones industrial average rose 12.33 points or 0.07 percent, to 16,547.7, the S&P 500 gained 0.66 points or 0.04 percent, to 1,878.99 and the Nasdaq Composite  dropped 8.818 points or 0.21 percent, to 4,094.725.The S&P was up 0.3 percent for the month so far. It could be the third consecutive month of gains for the S&P 500 and Dow, while the Nasdaq was on track to post its second straight month of losses. Markets will have their eyes on the Federal Reserve's policy-setting meeting, with a statement due at 2:00 p.m. EDT (1800 GMT). The Fed is expected to cut its bond-buying program by a further $10 billion, confident the U.S. economy will pick up steam after a winter slowdown.Twitter shares fell 10.1 percent to $38.28 and hit a record low intraday level at $37.25, a day after it posted lackluster user and usage growth for the second consecutive quarter.EBay shares fell 4.7 percent to $51.95, weighing the most on the Nasdaq 100, after it forecast lower-than-expected earnings this quarter.Nuclear power producer Exelon, which reported earnings earlier on Wednesday, said it would buy Pepco Holdings  for $6.83 billion. Pepco shares jumped 17.4 percent to $26.75 and Exelon fell 3.5 percent to $34.90.French engineering group Alstom said it would study a $16.9 billion offer from General Electric for its energy arm but left the door open for a rival bid from Germany's Siemens. GE shares were up 0.5 percent at $26.89.     (Reporting by Rodrigo Campos; Editing by Bernadette Baum and Nick Zieminski)",2014-04-30,EXC,"Wed Apr 30, 2014 | 12:15pm EDT","US STOCKS-Wall St little changed after data, Fed eyed",http://www.reuters.com//article/markets-usa-stocks-idUSL2N0NM1KJ20140430?type=companyNews
7,"  * Exelon to buy Pepco Holdings, Pepco shares rally* Twitter, EBay shares down a day after results* FOMC statement due later in the day* Indexes: Dow, S&P little changed, Nasdaq off 0.3 pct   (Updates to market open)By Rodrigo CamposNEW YORK, April 30 U.S. stocks were little changed on Wednesday after data showed the economy grew at a sharply lower-than-expected pace in the first quarter, but gains in private payrolls kept the market near break-even.Gross domestic product expanded at a 0.1 percent annual rate, the slowest since the fourth quarter of 2012, as exports and inventories weighed, but activity already appears to be bouncing back. It was a sharp pullback from the fourth quarter's 2.6 percent pace. U.S. private employers, however, beat expectations by adding 220,000 workers in April, the highest amount since November, and gains in the prior month were revised up. Chicago business activity also rose more than expected in April, jumping to its highest since October 2013.Despite the large miss on GDP, the S&P 500 remained within 1 percent from its record closing high set early this month.""There's no hiding the fact the GDP number is a disappointment, but even though it came much lower than expectations it's getting a hall pass because we are expecting to have a better second quarter,"" said Art Hogan, chief market strategist at Wunderlich Securities in New York. ""The market is focusing on what economic data is telling us about Q2 and there's a reason to believe the demand loss was more weather-related than anything,"" he said.Hogan cited the Chicago PMI, internals of the GDP report, and ADP as evidence the second quarter will be stronger.The Dow Jones industrial average rose 2.25 points or 0.01 percent, to 16,537.62, the S&P 500 lost 1.37 points or 0.07 percent, to 1,876.96 and the Nasdaq Composite  dropped 11.172 points or 0.27 percent, to 4,092.371. The S&P was struggling to stay in the black for the month, with a 0.2 percent advance so far. It could be the third consecutive month of gains for the S&P 500 and Dow, while the Nasdaq was on track to post its second straight month of losses.Twitter shares fell 10.1 percent to $38.30 and hit a record low intraday level at $37.25, a day after it showed lackluster user and usage growth for the second consecutive quarter.EBay shares fell 6 percent to $51.29, weighing the most on the Nasdaq 100, after it forecast lower-than-expected earnings this quarter.Nuclear power producer Exelon, which reported earnings earlier on Wednesday, said it would buy Pepco Holdings  for $6.83 billion. Pepco shares jumped 17.5 percent to $26.77 and Exelon fell 4.2 percent to $34.65.French engineering group Alstom said it would study a $16.9 billion offer from General Electric for its energy arm but left the door open for a rival bid from Germany's Siemens. GE shares were flat.Markets will have their eyes on the Federal Reserve's policy-setting meeting, as well, set to end later on Wednesday. The Fed is expected to cut its bond-buying program by a further $10 billion, confident the U.S. economy will pick up steam after a winter slowdown.    (Reporting by Rodrigo Campos; Editing by Bernadette Baum and Nick Zieminski)",2014-04-30,EXC,"Wed Apr 30, 2014 | 10:33am EDT",US STOCKS-Wall St little changed as GDP offsets jobs data,http://www.reuters.com//article/markets-usa-stocks-idUSL2N0NM14L20140430?type=companyNews
8,"  * Exelon to buy Pepco Holdings, Pepco shares rally* Twitter, EBay shares down a day after results* FOMC statement due later in the day* Futures dip: Dow 2 pts, S&P 2 pts, Nasdaq 10 pts   (Adds jobs, GDP data, comment; updates prices)By Rodrigo Campos NEW YORK, April 30 U.S. stocks were set to fall at the open on Wednesday after data showed the economy grew at a sharply lower-than-expected pace in the first quarter, but gains in private payrolls kept losses in check.* Gross domestic product expanded at a 0.1 percent annual rate, the slowest since the fourth quarter of 2012, as exports and inventories weighed, but activity already appears to be bouncing back. It was a sharp pullback from the fourth quarter's 2.6 percent pace.* U.S. private employers, however, beat expectations by adding 220,000 workers in April, the highest amount since November, and gains in the prior month were revised up to 209,000 from 191,000. * Twitter shares fell 11.5 percent premarket a day after it posted earnings that showed lackluster user and usage growth for the second consecutive quarter.* EBay shares fell 4.8 percent after it forecast lower-than-expected earnings this quarter. * S&P 500 e-mini futures fell 2 points. Fair value, a formula that evaluates pricing by taking into account interest rates, dividends and time to expiration on the contract, indicated a lower open. Dow Jones industrial average futures  fell 2 points and Nasdaq 100 futures lost 10 points.* Nuclear power producer Exelon, which also reported earnings earlier on Wednesday, said it would buy Pepco Holdings  for $6.83 billion. Pepco shares jumped 18 percent in premarket trading. Exelon fell 1.1 percent.* French engineering group Alstom said it would study a $16.9 billion offer from General Electric for its energy arm but left the door open for a rival bid from Germany's Siemens. GE shares edged up 0.3 percent in premarket trading.* Markets will have their eyes on the Federal Reserve's policy-setting meeting, as well, set to end later on Wednesday. The Fed is expected to cut its bond-buying program by a further $10 billion on signs the U.S. economy is picking up steam after a winter slowdown.    (Reporting by Rodrigo Campos; Editing by Bernadette Baum and Nick Zieminski)",2014-04-30,EXC,"Wed Apr 30, 2014 | 8:58am EDT",U.S. STOCKS-Wall St to open lower after GDP offsets jobs data,http://www.reuters.com//article/markets-usa-stocks-idUSL2N0NM0S920140430?type=companyNews
9,"  Nuclear power company Exelon Corp (EXC.N) agreed to buy utility company Pepco Holdings Inc POM.N for more than $5.4 billion in cash, Bloomberg reported, citing people familiar with the transaction.Pepco, with a market capitalization of about $5.71 billion, operates utilities in Delaware, Maryland and New Jersey and serves about 2 million customers.The deal is expected to be announced as early as Wednesday morning, according to the report. (r.reuters.com/wav88v) Exelon and Pepco were not immediately available for comment outside regular U.S. business hours. Chicago-based Exelon struck a deal three years ago to buy rival Constellation Energy Group for $7.9 billion, in a bid to become the largest generator of competitively priced electricity in the United States. (r.reuters.com/bev88v) (Reporting by Arnab Sen in Bangalore; Editing by Gopakumar Warrier)",2014-04-30,EXC,"Wed Apr 30, 2014 | 6:36am EDT",Exelon to buy Pepco Holdings for more than $5.4 billion: Bloomberg,http://www.reuters.com//article/us-pepco-holdings-exelon-idUSBREA3T02O20140430?type=companyNews
