,Article,Date,Symbol,Time,Title,Url
0,"  Network gear maker F5 Networks Inc (FFIV.O) forecast current-quarter revenue above Wall Street estimates, helped by strong sales of its data traffic management products, pushing its shares up 11 percent in extended trading.F5 Networks, which also reported better-than-expected earnings for the quarter ended December 31, forecast current-quarter revenue of $408-$418 million.Analysts on average were expecting revenue of $404.4 million for the quarter ending March 31, according to Thomson ReutersI/B/E/S. The company, which counts Facebook Inc (FB.O), Pandora Media Ltd (P.N), MakeMyTrip Ltd (MMYT.O) and the U.S. government among its customers, also forecast an adjusted profit of $1.23-$1.26 per share, above the average analyst estimate of $1.21 per share.The company also authorized $500 million for its common stock share repurchase program. That is in addition to the $281.3 million unused in the existing program which was authorized in October 2010. F5 saw strong demand for its data traffic and security products during the first quarter, particularly in North America and Europe, analysts at Wells Fargo Securities LLC said in a pre-earnings note.In the past one year, F5 has upgraded some of its software modules and introduced some new hardware that helps manage traffic on networks, and these products have found favor with its customers.The company ended the quarter with about 3,521 employees and plans to add another 100 in the current quarter, Chief Financial Officer Andy Reinland said on a conference call with analysts on Wednesday. The company's revenue rose 11 percent to $406.5 million in the first quarter from a year earlier.Net income fell to $68 million, or 87 cents per share, from $69.5 million, or 88 cents per share. Excluding items, the company earned $1.22 per share.Analysts on average had expected earnings of $1.19 per share on revenue of $397.3 million, according to Thomson ReutersI/B/E/S. F5 shares were at $106.5 in post-market trading after closing at $97.48 on the Nasdaq on Wednesday.(Reporting by Chandni Doulatramani & Aurindom Mukherjee in Bangalore; Editing by Maju Samuel)",2014-01-22,FFIV,"Wed Jan 22, 2014 | 5:45pm EST",F5 forecasts strong revenue after first-quarter beat,http://www.reuters.com//article/us-f5networks-results-idUSBREA0L24620140122?type=companyNews
1,"  * Sees 2nd-quarter adj EPS $1.23-$1.26 vs est $1.21* Expects revenue $408 mln-$418 mln vs est $404.4 mln* First-quarter adj EPS $1.22 vs est $1.19* Approves $500 mln more for share buyback program* Shares up 11 percent in extended tradingJan 22 Network gear maker F5 Networks Inc  forecast current-quarter revenue above Wall Street estimates, helped by strong sales of its data traffic management products, pushing its shares up 11 percent in extended trading.F5 Networks, which also reported better-than-expected earnings for the quarter ended Dec. 31, forecast current-quarter revenue of $408-$418 million. Analysts on average were expecting revenue of $404.4 million for the quarter ending March 31, according to Thomson Reuters I/B/E/S.The company, which counts Facebook Inc, Pandora Media Ltd, MakeMyTrip Ltd and the U.S. government among its customers, also forecast an adjusted profit of $1.23-$1.26 per share, above the average analyst estimate of $1.21 per share.The company also authorized $500 million for its common stock share repurchase program. That is in addition to the $281.3 million unused in the existing program which was authorized in October 2010. F5 saw strong demand for its data traffic and security products during the first quarter, particularly in North America and Europe, analysts at Wells Fargo Securities LLC said in a pre-earnings note.In the past one year, F5 has upgraded some of its software modules and introduced some new hardware that helps manage traffic on networks, and these products have found favor with its customers.The company ended the quarter with about 3,521 employees and plans to add another 100 in the current quarter, Chief Financial Officer Andy Reinland said on a conference call with analysts on Wednesday. The company's revenue rose 11 percent to $406.5 million in the first quarter from a year earlier.Net income fell to $68 million, or 87 cents per share, from $69.5 million, or 88 cents per share.Excluding items, the company earned $1.22 per share.Analysts on average had expected earnings of $1.19 per share on revenue of $397.3 million, according to Thomson Reuters I/B/E/S.F5 shares were at $106.5 in post-market trading after closing at $97.48 on the Nasdaq on Wednesday.",2014-01-22,FFIV,"Wed Jan 22, 2014 | 5:43pm EST",UPDATE 1-F5 forecasts strong revenue after first-quarter beat,http://www.reuters.com//article/f5networks-results-idUSL3N0KW5A720140122?type=companyNews
2,"  Jan 22 Network gear maker F5 Networks Inc  reported an 11 percent rise in quarterly revenue as demand rose for its data traffic management products.Revenue rose to $406.5 million in the first quarter from $365.5 million a year earlier. The company's net income fell to $68 million, or 87 cents per share, from $69.5 million, or 88 cents per share. Excluding items, the company earned $1.22 per share. F5 supplies data traffic management equipment to companies such as Facebook Inc, Pandora Media Ltd, MakeMyTrip Ltd and the U.S. government.",2014-01-22,FFIV,"Wed Jan 22, 2014 | 4:31pm EST",F5 Networks reports 11 pct rise in revenue,http://www.reuters.com//article/f5networks-results-idUSL3N0KV4NO20140122?type=companyNews
3,  NEW YORK Jan 22 F5 Networks Inc :  * Shares were up 5.8 percent after the bell following results   ,2014-01-22,FFIV,"Wed Jan 22, 2014 | 4:23pm EST",BRIEF-F5 Networks shares up 5.8 pct after the bell following results,http://www.reuters.com//article/f5networks-brief-idUSWEN00C8120140122?type=companyNews
4,"  Network equipment maker F5 Networks Inc (FFIV.O) posted a higher-than-expected quarterly revenue and forecast third-quarter results largely above analysts' estimates, helped by increased demand from its telecom customers.Shares of the company, whose customers include AT&T Inc (T.N) and Verizon Communications Inc (VZ.N), rose about 3 percent in extended trading.F5's quarterly revenue rose 20 percent, partly as its U.S. telecom clients beef up their networks to allow faster transfer of data-heavy files on smartphones and tablets.In the past year, F5 has launched upgrades to its software and introduced hardware that help manage traffic on networks. These products have found favor with customers.AT&T has estimated capital expenditure of about $21 billion for this year, while Verizon has said it expected to spend about $17 billion. F5, whose rivals include Cisco Systems Inc (CSCO.O) and smaller peer Riverbed Technology Inc RVBD.O, forecast adjusted earnings of $1.33-$1.36 per share and revenue of $428 million-$438 million for the third quarter ending June 30.Analysts on average were expecting a profit of $1.33 per share on revenue of $428.7 million, according to Thomson Reuters I/B/E/S.F5's net income rose to $69.6 million, or 91 cents per share, in the second quarter ended March 31 from $63.4 million, or 80 cents per share, a year earlier. Revenue rose to $420 million from $350.2 million a year earlier.Excluding items, F5 earned $1.27 per share. Analysts on average had expected a profit of $1.25 per share on revenue of $414.4 million.F5's rival Juniper Networks Inc (JNPR.N) also reported a higher-than-expected 10 percent rise in quarterly revenue on Tuesday as its U.S. telecom clients spent more to ramp up their networks.F5's shares closed at $108.19 on the Nasdaq on Wednesday.(Reporting by Lehar Maan in Bangalore; Editing by Kirti Pandey)",2014-04-23,FFIV,"Wed Apr 23, 2014 | 5:43pm EDT",F5 Networks forecast beats Street as telecom carriers spend more,http://www.reuters.com//article/us-f5networks-results-idUSBREA3M23620140423?type=companyNews
5,"  (Adds details, forecast, estimates)April 23 Network equipment maker F5 Networks Inc  posted a higher-than-expected quarterly revenue and forecast third-quarter results largely above analysts' estimates, helped by increased demand from its telecom customers.Shares of the company, whose customers include AT&T Inc  and Verizon Communications Inc, rose about 3 percent in extended trading.F5's quarterly revenue rose 20 percent, partly as its U.S. telecom clients beef up their networks to allow faster transfer of data-heavy files on smartphones and tablets.In the past year, F5 has launched upgrades to its software and introduced hardware that help manage traffic on networks. These products have found favor with customers. AT&T has estimated capital expenditure of about $21 billion for this year, while Verizon has said it expected to spend about $17 billion. (r.reuters.com/nag78v)F5, whose rivals include Cisco Systems Inc and smaller peer Riverbed Technology Inc, forecast adjusted earnings of $1.33-$1.36 per share and revenue of $428 million-$438 million for the third quarter ending June 30.Analysts on average were expecting a profit of $1.33 per share on revenue of $428.7 million, according to Thomson Reuters I/B/E/S. F5's net income rose to $69.6 million, or 91 cents per share, in the second quarter ended March 31 from $63.4 million, or 80 cents per share, a year earlier.Revenue rose to $420 million from $350.2 million a year earlier. Excluding items, F5 earned $1.27 per share.Analysts on average had expected a profit of $1.25 per share on revenue of $414.4 million.F5's rival Juniper Networks Inc also reported a higher-than-expected 10 percent rise in quarterly revenue on Tuesday as its U.S. telecom clients spent more to ramp up their networks.F5's shares closed at $108.19 on the Nasdaq on Wednesday.   (Reporting by Lehar Maan in Bangalore; Editing by Kirti Pandey)",2014-04-23,FFIV,"Wed Apr 23, 2014 | 5:17pm EDT",UPDATE 1-F5 Networks forecast beats Street as telecom carriers spend more,http://www.reuters.com//article/f5networks-results-idUSL3N0NF51520140423?type=companyNews
6,"  Network equipment maker F5 Networks Inc (FFIV.O) reported a 20 percent rise in quarterly revenue due to higher demand for its software-defined application services and security software.The company's net income rose to $69.6 million, or 91 cents per share, in the second quarter ended March 31 from $63.4 million, or 80 cents per share, a year earlier. Revenue rose to $420 million from $350.2 million. F5 supplies data traffic management equipment to companies such as Facebook Inc (FB.O), Pandora Media Ltd (P.N), MakeMyTrip Ltd (MMYT.O) and to the U.S. government. (Reporting by Lehar Maan in Bangalore; Editing by Kirti Pandey)",2014-04-23,FFIV,"Wed Apr 23, 2014 | 4:33pm EDT",F5 Networks' quarterly revenue rises 20 percent,http://www.reuters.com//article/us-f5networks-results-idUSBREA3M1Y620140423?type=companyNews
7,"  April 23 Network equipment maker F5 Networks Inc  reported a 20 percent rise in quarterly revenue due to higher demand for its software-defined application services and security software.The company's net income rose to $69.6 million, or 91 cents per share, in the second quarter ended March 31 from $63.4 million, or 80 cents per share, a year earlier. Revenue rose to $420 million from $350.2 million.  F5 supplies data traffic management equipment to companies such as Facebook Inc, Pandora Media Ltd, MakeMyTrip Ltd and to the U.S. government.    (Reporting by Lehar Maan in Bangalore; Editing by Kirti Pandey)",2014-04-23,FFIV,"Wed Apr 23, 2014 | 4:13pm EDT",F5 Networks' quarterly revenue rises 20 pct,http://www.reuters.com//article/f5networks-results-idUSL3N0NF50C20140423?type=companyNews
8,"   By Lehar Maan and Abhirup Roy | Sept 8  Sept 8 U.S. network gear makers are bracing for slower revenue growth in the second half of the year as telecom operators, their main customers, postpone spending until the dust settles on several big mergers.Telecom giants AT&T Inc and Sprint Corp are taking time to decide whether to upgrade existing wired networks or roll out 4G networks, forcing gear makers to cut expectations for what is usually the stronger half of their year.Ciena Corp and Finisar Corp last week joined their peers in forecasting a weak current quarter, citing delays on closing sales to customers in North America. Analysts say a slowdown could last two or three quarters.AT&T is set to buy DirecTV for $48.5 billion and Deutsche Telekom AG is seeking buyers for T-Mobile US Inc after the collapse of a sale to Sprint - which itself was bought last year by Japan's Softbank Corp.""When deals get done, when operators come together, typically the vendors experience a pause,"" said Simon Leopold, analyst at Raymond James. Most affected by the slowdown in orders will be those network gear makers with the greatest exposure to the telecoms business, such as Ciena, Juniper Networks Inc and JDS Uniphase Corp.Others, including F5 Networks Inc, have been spared the brunt of the slowdown in telecom spending as they get a large chunk of their revenue from enterprise customers, who are still spending to upgrade networks and guarding data from hackers. Shares of F5 Networks and Aruba Networks Inc, another company with greater exposure to enterprise customers, rose 11 percent and 21 percent respectively between the end of June and Friday's close.In contrast, shares of Juniper, Ciena and JDS Uniphase have fallen between 5 percent and 11 percent in the same period.At least 11 brokerages cut their price target on Juniper's stock after the company reported results in July, while at least 10 raised their target on F5 Networks after the company reported. Mergers between U.S. telecom companies were affecting spending decisions, which in turn could delay some of Ciena's projects, Chief Executive Gary Smith said on a post-earnings conference call last Thursday .U.S. network gear makers have grown accustomed to strong results in the final two quarters of the calendar year, riding high on a decade-long trend among telecom operators of spending big in the second half.The reverse will be true this year. Evercore Partners analyst Mark McKechnie said telecom operators would spend about 45 percent of their budget in the second half versus 55 percent in a typical year.""The investor position is relatively cautious for the next couple of quarters,"" said UBS Equities analyst Amitabh Passi.   (Additional reporting by Anya George Tharakan in Bangalore; Editing by Robin Paxton and Savio D'Souza)",2014-09-08,FFIV,"Mon Sep 8, 2014 | 2:15pm EDT",Telecom mergers rein in growth for U.S. network gear makers,http://www.reuters.com//article/usnetworkgearmakers-outlook-idUSL4N0QS3H420140908?type=companyNews
9,"  F5 Networks Inc (FFIV.O) reported an 18 percent rise in quarterly revenue, helped by strong demand for its network security products in the wake of increasing cyber attacks directed toward large companies.The company's net income rose to $94 million, or $1.26 per share, in the fourth quarter ended Sept. 30, from $76.2 million, or 97 cents per share, a year earlier. The company, whose clients include Facebook Inc (FB.O), Pandora Media Ltd (P.N) and MakeMyTrip Ltd (MMYT.O), said revenue rose to $465.3 million from $395.3 million. The company also said Chief Executive John McAdam plans to retire at the end of financial year 2015.    (Reporting By Arathy S Nair and Abhirup Roy in Bangalore; Editing by Maju Samuel)",2014-10-29,FFIV,"Wed Oct 29, 2014 | 4:50pm EDT",F5 Networks revenue rises 18 percent on demand for security products,http://www.reuters.com//article/us-f5-networks-results-idUSKBN0II2CU20141029?type=companyNews
