,Article,Date,Symbol,Time,Title,Url
0,   Jan 8 Fiserv Inc :  * Barclays cuts price target to $72 from $130 mainly to reflect stock split; rating overweight  ,2014-01-08,FISV,"Wed Jan 8, 2014 | 2:45pm EST",REFILE-RESEARCH ALERT-Fiserv: Barclays cuts price target,http://www.reuters.com//article/fiserv-brief-idUSL3N0KI41420140108?type=companyNews
1,   Jan 8 Fiserv Inc :  * Barclays cuts price target to $72 from $130 mainly to reflect stock split; rating overweight  ,2014-01-08,FISV,"Wed Jan 8, 2014 | 1:55pm EST",REFILE-RESEARCH ALERT-Fiserv: Barclays cuts price target,http://www.reuters.com//article/fiserv-brief-idUSWNBB03CH920140108?type=companyNews
2,"  * Strikes digital banking deal with unnamed financial institute* Posts wider EBITDA loss for H1* Shares jump as much as 16 pct   (Adds Fiserv, TCS comments and share close)By Noor Zainab HussainFeb 17 British mobile-banking software maker Monitise Plc said it was in constructive discussions after putting itself up for sale last month, sending its shares up as much as 16 percent.The company, which has a market value of about 534 million pounds ($820 million), said in January it received ""a number of expressions of interest"" as part of an ""all encompassing"" strategic review, including ""corporate transactions and stock market listing options"".Companies in three different sub-sectors might be interested in Monitise - card network providers, software vendors and system integrators, Jefferies analyst Milan Radia said. Banking software vendors such as Fiserv Inc, FIS Global and Temenos Group could be interested, he said.Radia also named India's Tata Consultancy Services Ltd  as a potential suitor, but said it was difficult to assess whether IBM's heavy involvement with Monitise would deter another systems integrator. However, if Visa or MasterCard bought it, they could work with IBM, he said.Monitise has tie-ups with IBM and MasterCard, which have been cited by some analysts as possible suitors.Fiserv and TCS said they do not comment on market speculation, while Visa, MasterCard, FIS and Temenos did not immediately respond to requests for comment. Monitise has two executives from Visa in its top leadership team. It hired former Visa executive Elizabeth Buse to co-run the company in June. Monitise Chairman Peter Ayliffe was earlier CEO of Visa Europe.Radia said that to sell the business now would not make sense as Monetise could fetch a higher value in the future.""I don't necessarily feel that the end-game of this strategic review was to sell the business, and that has been made clear to me,"" Radia, who has spoken to Monitise's management, told Reuters. Monitise said on Tuesday that it along with a partner had signed a letter of intent with a ""major European financial institution"" to deploy its digital banking capabilities in multiple countries.""While there is little colour on who this is, it appears to be a company Monitise is already engaged with but is encouraging that it will deploy in Europe,"" UBS analysts wrote in a note. They said the European expansion should provide some support to revenue growth.Analyst Radia said the partner could be IBM.Monitise said it would launch its central platform, built by IBM, in April. This is earlier than expected, according to Jefferies analysts.Monitise reported a wider EBITDA loss for the six months ended Dec. 31, while revenue fell 8.8 percent to 42.4 million pounds ($65.1 million).Monitise's shares closed up 16 percent at 24.25 pence on the London Stock Exchange on Tuesday.  ($1 = 0.6504 pounds)   (Additional Reporting by Aashika Jain and Esha Vaish in Bengaluru; Editing by Gopakumar Warrier)",2015-02-17,FISV,"Tue Feb 17, 2015 | 1:48pm EST","UPDATE 3-Monitise, up for sale, says in ""constructive"" talks",http://www.reuters.com//article/monitise-results-idUSL4N0VR2KD20150217?type=companyNews
3,"   By David Henry | NEW YORK  NEW YORK Depositors at some of the largest U.S. banks are finally going to get the chance to do something quick and simple: send money to another person's account instantaneously by mobile phone.The idea has been in the works for at least five years, and in the meantime, Silicon Valley has made incursions into the industry's role as a payment intermediary. But now, big banks including JPMorgan Chase & Co, Bank of America Corp, Wells Fargo & Co and U.S. Bancorp are starting to plug into a system they jointly own, called clearXchange, that will allow each others' customers to transfer money in a flash when they split a dinner check, rent payment or vacation bill.""What we are doing now is delivering payments in real time, which is what our customers have asked for,"" Mary Harman, managing director for payments at Bank of America, said in an interview. The bank is one of two that have started rolling out the system to customers.While technology companies like PayPal Holdings and Facebook Inc already offer snazzy payment apps that appeal to young consumers, the banking industry has a crucial advantage because it controls how quickly money actually moves between bank accounts. Individuals transferred some $200 billion to one another using mobile phones and computers last year, according to Javelin Strategy & Research.Bank executives and analysts who closely track payment systems say that if clearXchange is fast, functional and user-friendly, banks can make up for lost ground.Bank of America plans to announce on Wednesday that its customers can transfer funds instantly through clearXchange with customers of U.S. Bancorp, which said last week that it was plugged into the speediest part of the network. JPMorgan Chase & Co and Capital One Financial Corp representatives told Reuters they plan to offer the service later this year. Wells Fargo & Co said on Wednesday that it is working to roll out instant payments in the middle of this year.Analysts expect PNC Financial Services Group Inc will also start this year. A representative declined to comment.Those six banks are among the seven largest by deposits in the United States.  Regional bank BB&T Corp is also one of the seven owners of the network, but is not ready to announce its plans, a spokesman said.Citigroup, which has the fourth most U.S. deposits, has not joined clearXchange. A spokeswoman declined to say why. Citigroup uses an older network called Popmoney, which is owned by Fiserv Inc, for person-to-person payments. SLOW TO ADAPT Today, if a customer wants to transfer cash to another person digitally — whether on an app like Paypal's Venmo, or through an individual bank's payment transfer system, like Chase's QuickPay — it usually takes one to three days for money to move to an account at another institution. On clearXchange, the cash can move instantaneously with the tap of a finger.The initiative is particularly important for banks as their customer base shifts from a generation that cashed paper checks and got mortgages by walking into a branch, to one that goes online first to transact and borrow. It's important for banks to cater to 18-to-34-year-old Americans in the so-called Millennial generation as they enter their prime years for borrowing and saving.But adapting to these behavioral changes was a low priority for U.S. banks after the financial crisis, as they grappled with losses, fines, new regulations and slow revenue growth. In short order, financial technology startups filled the void — not just in payments, but in areas ranging from student loans to financial planning. If banks don't catch up quickly, they may end up losing some young customers altogether, analysts said.""There is a short window of opportunity for the banks,"" said Michael Moeser, director of payments for Javelin.For clearXchange to be successful, it needs to reach a critical mass of participants so that depositors will be able to transfer funds among most of their friends, relatives and colleagues. Until more banks connect to provide immediate service, the network has little value. Any U.S. bank or credit union can participate in clearXchange, and its owners hope many more will. The network says its members represent two-thirds of U.S. deposits.Banks in other parts of the world are making similar moves. In the U.K., for instance, there is an app called Paym that allows individuals to transfer up to 250 pounds ($355) to another user's bank account. Nordic countries are leading the way toward a cashless society, with mobile payment apps Swish in Sweden and MobilePay in Denmark.Analysts expect the mobile banking market to keep growing as consumers become more aware of apps, and as the technology improves.VIRAL NATURE Venmo, which launched in 2012, handled $7.5 billion of person-to-person payments last year. In January, the company moved $1 billion between individuals – up tenfold in two years, said Bill Ready, PayPal's global head of product and engineering, who brought Venmo to PayPal as part of a 2013 deal. Those figures track well below the $22 billion of cash swapped digitally by Bank of America customers last year, or the $20 billion Chase QuickPay handled. But Venmo is growing rapidly, and its popularity has come almost entirely by word of mouth, as friends ask friends to sign up, said Ready. Facebook's Messenger app offers a similar service.While these apps send immediate alerts that money is on the way, they still rely on banks to make sure cash is available and move it. And, unlike banks, they have no control over the speed at which that occurs.""As a Bank of America customer, when I hit send, a couple of seconds later the U.S. Bank customer will see the money in their account,"" said Bank of America's Harman.Even so, Ready, the senior PayPal executive, said he is skeptical clearXchange will be a success. ""The banks have a hard time working with one another,"" he said, adding that it would be difficult for them to ""recreate the viral nature of Venmo.""Facebook representatives declined to comment on the banks' plan, but said the company is continuing to improve Messenger's payment functions.The banking industry's advantage could be short-lived, though. The network that Venmo and others often use to transfer funds will begin phasing in daily settlement in September. That network, called the Automated Clearing House Network, is a not-for-profit association whose members are financial firms.""If Venmo becomes real-time,"" said Javelin's Moeser, ""then the banks have no differentiator anymore.""Banks that are part of clearXchange realize they must overcome the buzz and momentum that existing apps have gathered. They are working to come up with a catchier name than clearXchange, and hope to launch a marketing campaign around the middle of this year, said Harman.""The important thing,"" she said, ""is that we are acting now."" (Reporting by David Henry in New York; Editing by Lauren LaCapra and Martin Howell)",2016-03-09,FISV,"Wed Mar 9, 2016 | 1:16pm EST",UPDATE 1-INSIGHT-Big U.S. banks to take on tech rivals with instant payments,http://www.reuters.com//article/banks-payments-idUSL1N16H1GE?type=companyNews
4,"  (Repeating story sent earlier to additional subscribers)By David HenryNEW YORK, March 9 Depositors at some of the largest U.S. banks are finally going to get the chance to do something quick and simple: send money to another person's account instantaneously by mobile phone.The idea has been in the works for at least five years, and in the meantime, Silicon Valley has made incursions into the industry's role as a payment intermediary. But now, big banks including JPMorgan Chase & Co, Bank of America Corp , Wells Fargo & Co and U.S. Bancorp are starting to plug into a system they jointly own, called clearXchange, that will allow each others' customers to transfer money in a flash when they split a dinner check, rent payment or vacation bill.""What we are doing now is delivering payments in real time, which is what our customers have asked for,"" Mary Harman, managing director for payments at Bank of America, said in an interview. The bank is one of two that have started rolling out the system to customers.While technology companies like PayPal Holdings and Facebook Inc already offer snazzy payment apps that appeal to young consumers, the banking industry has a crucial advantage because it controls how quickly money actually moves between bank accounts. Individuals transferred some $200 billion to one another using mobile phones and computers last year, according to Javelin Strategy & Research.Bank executives and analysts who closely track payment systems say that if clearXchange is fast, functional and user-friendly, banks can make up for lost ground.Bank of America plans to announce on Wednesday that its customers can transfer funds instantly through clearXchange with customers of U.S. Bancorp, which said last week that it was plugged into the speediest part of the network. JPMorgan Chase & Co and Capital One Financial Corp  representatives told Reuters they plan to offer the service later this year.Analysts expect Wells Fargo & Co and PNC Financial Services Group Inc to do the same. Their representatives declined to comment.Those six banks are among the seven largest by deposits in the United States.  Regional bank BB&T Corp is also one of the seven owners of the network, but is not ready to announce its plans, a spokesman said.Citigroup, which has the fourth most U.S. deposits, has not joined clearXchange. A spokeswoman declined to say why. Citigroup uses an older network called Popmoney, which is owned by Fiserv Inc, for person-to-person payments. SLOW TO ADAPT Today, if a customer wants to transfer cash to another person digitally - whether on an app like Paypal's Venmo, or through an individual bank's payment transfer system, like Chase's QuickPay - it usually takes one to three days for money to move to an account at another institution. On clearXchange, the cash can move instantaneously with the tap of a finger.The initiative is particularly important for banks as their customer base shifts from a generation that cashed paper checks and got mortgages by walking into a branch, to one that goes online first to transact and borrow. It's important for banks to cater to 18-to-34-year-old Americans in the so-called Millennial generation as they enter their prime years for borrowing and saving.But adapting to these behavioral changes was a low priority for U.S. banks after the financial crisis, as they grappled with losses, fines, new regulations and slow revenue growth. In short order, financial technology startups filled the void - not just in payments, but in areas ranging from student loans to financial planning. If banks don't catch up quickly, they may end up losing some young customers altogether, analysts said.""There is a short window of opportunity for the banks,"" said Michael Moeser, director of payments for Javelin. For clearXchange to be successful, it needs to reach a critical mass of participants so that depositors will be able to transfer funds among most of their friends, relatives and colleagues. Until more banks connect to provide immediate service, the network has little value.Any U.S. bank or credit union can participate in clearXchange, and its owners hope many more will. The network says its members represent two-thirds of U.S. deposits.Banks in other parts of the world are making similar moves. In the U.K., for instance, there is an app called Paym that allows individuals to transfer up to 250 pounds ($355) to another user's bank account. Nordic countries are leading the way toward a cashless society, with mobile payment apps Swish in Sweden and MobilePay in Denmark.Analysts expect the mobile banking market to keep growing as consumers become more aware of apps, and as the technology improves.VIRAL NATURE  Venmo, which launched in 2012, handled $7.5 billion of person-to-person payments last year. In January, the company moved $1 billion between individuals - up tenfold in two years, said Bill Ready, PayPal's global head of product and engineering, who brought Venmo to PayPal as part of a 2013 deal.Those figures track well below the $22 billion of cash swapped digitally by Bank of America customers last year, or the $20 billion Chase QuickPay handled. But Venmo is growing rapidly, and its popularity has come almost entirely by word of mouth, as friends ask friends to sign up, said Ready. Facebook's Messenger app offers a similar service.While these apps send immediate alerts that money is on the way, they still rely on banks to make sure cash is available and move it. And, unlike banks, they have no control over the speed at which that occurs.""As a Bank of America customer, when I hit send, a couple of seconds later the U.S. Bank customer will see the money in their account,"" said Bank of America's Harman.Even so, Ready, the senior PayPal executive, said he is skeptical clearXchange will be a success. ""The banks have a hard time working with one another,"" he said, adding that it would be difficult for them to ""recreate the viral nature of Venmo.""Facebook representatives declined to comment on the banks' plan, but said the company is continuing to improve Messenger's payment functions.The banking industry's advantage could be short-lived, though. The network that Venmo and others often use to transfer funds will begin phasing in daily settlement in September. That network, called the Automated Clearing House Network, is a not-for-profit association whose members are financial firms.""If Venmo becomes real-time,"" said Javelin's Moeser, ""then the banks have no differentiator anymore.""Banks that are part of clearXchange realize they must overcome the buzz and momentum that existing apps have gathered. They are working to come up with a catchier name than clearXchange, and hope to launch a marketing campaign around the middle of this year, said Harman.""The important thing,"" she said, ""is that we are acting now.""   (Reporting by David Henry in New York; Editing by Lauren LaCapra and Martin Howell)",2016-03-09,FISV,"Wed Mar 9, 2016 | 6:00am EST",RPT-INSIGHT-Big U.S. banks to take on tech rivals with instant payments,http://www.reuters.com//article/banks-payments-idUSL1N16H02O?type=companyNews
5,"   By David Henry | NEW YORK, March 9  NEW YORK, March 9 Depositors at some of the largest U.S. banks are finally going to get the chance to do something quick and simple: send money to another person's account instantaneously by mobile phone.The idea has been in the works for at least five years, and in the meantime, Silicon Valley has made incursions into the industry's role as a payment intermediary. But now, big banks including JPMorgan Chase & Co, Bank of America Corp , Wells Fargo & Co and U.S. Bancorp are starting to plug into a system they jointly own, called clearXchange, that will allow each others' customers to transfer money in a flash when they split a dinner check, rent payment or vacation bill.""What we are doing now is delivering payments in real time, which is what our customers have asked for,"" Mary Harman, managing director for payments at Bank of America, said in an interview. The bank is one of two that have started rolling out the system to customers.While technology companies like PayPal Holdings and Facebook Inc already offer snazzy payment apps that appeal to young consumers, the banking industry has a crucial advantage because it controls how quickly money actually moves between bank accounts. Individuals transferred some $200 billion to one another using mobile phones and computers last year, according to Javelin Strategy & Research.Bank executives and analysts who closely track payment systems say that if clearXchange is fast, functional and user-friendly, banks can make up for lost ground.Bank of America plans to announce on Wednesday that its customers can transfer funds instantly through clearXchange with customers of U.S. Bancorp, which said last week that it was plugged into the speediest part of the network. JPMorgan Chase & Co and Capital One Financial Corp  representatives told Reuters they plan to offer the service later this year.Analysts expect Wells Fargo & Co and PNC Financial Services Group Inc to do the same. Their representatives declined to comment.Those six banks are among the seven largest by deposits in the United States.  Regional bank BB&T Corp is also one of the seven owners of the network, but is not ready to announce its plans, a spokesman said.Citigroup, which has the fourth most U.S. deposits, has not joined clearXchange. A spokeswoman declined to say why. Citigroup uses an older network called Popmoney, which is owned by Fiserv Inc, for person-to-person payments. SLOW TO ADAPT Today, if a customer wants to transfer cash to another person digitally - whether on an app like Paypal's Venmo, or through an individual bank's payment transfer system, like Chase's QuickPay - it usually takes one to three days for money to move to an account at another institution. On clearXchange, the cash can move instantaneously with the tap of a finger.The initiative is particularly important for banks as their customer base shifts from a generation that cashed paper checks and got mortgages by walking into a branch, to one that goes online first to transact and borrow. It's important for banks to cater to 18-to-34-year-old Americans in the so-called Millennial generation as they enter their prime years for borrowing and saving.But adapting to these behavioral changes was a low priority for U.S. banks after the financial crisis, as they grappled with losses, fines, new regulations and slow revenue growth. In short order, financial technology startups filled the void - not just in payments, but in areas ranging from student loans to financial planning. If banks don't catch up quickly, they may end up losing some young customers altogether, analysts said.""There is a short window of opportunity for the banks,"" said Michael Moeser, director of payments for Javelin.For clearXchange to be successful, it needs to reach a critical mass of participants so that depositors will be able to transfer funds among most of their friends, relatives and colleagues. Until more banks connect to provide immediate service, the network has little value. Any U.S. bank or credit union can participate in clearXchange, and its owners hope many more will. The network says its members represent two-thirds of U.S. deposits.Banks in other parts of the world are making similar moves. In the U.K., for instance, there is an app called Paym that allows individuals to transfer up to 250 pounds ($355) to another user's bank account. Nordic countries are leading the way toward a cashless society, with mobile payment apps Swish in Sweden and MobilePay in Denmark.Analysts expect the mobile banking market to keep growing as consumers become more aware of apps, and as the technology improves.VIRAL NATURE  Venmo, which launched in 2012, handled $7.5 billion of person-to-person payments last year. In January, the company moved $1 billion between individuals - up tenfold in two years, said Bill Ready, PayPal's global head of product and engineering, who brought Venmo to PayPal as part of a 2013 deal.Those figures track well below the $22 billion of cash swapped digitally by Bank of America customers last year, or the $20 billion Chase QuickPay handled. But Venmo is growing rapidly, and its popularity has come almost entirely by word of mouth, as friends ask friends to sign up, said Ready. Facebook's Messenger app offers a similar service.While these apps send immediate alerts that money is on the way, they still rely on banks to make sure cash is available and move it. And, unlike banks, they have no control over the speed at which that occurs.""As a Bank of America customer, when I hit send, a couple of seconds later the U.S. Bank customer will see the money in their account,"" said Bank of America's Harman.Even so, Ready, the senior PayPal executive, said he is skeptical clearXchange will be a success. ""The banks have a hard time working with one another,"" he said, adding that it would be difficult for them to ""recreate the viral nature of Venmo.""Facebook representatives declined to comment on the banks' plan, but said the company is continuing to improve Messenger's payment functions.The banking industry's advantage could be short-lived, though. The network that Venmo and others often use to transfer funds will begin phasing in daily settlement in September. That network, called the Automated Clearing House Network, is a not-for-profit association whose members are financial firms.""If Venmo becomes real-time,"" said Javelin's Moeser, ""then the banks have no differentiator anymore.""Banks that are part of clearXchange realize they must overcome the buzz and momentum that existing apps have gathered. They are working to come up with a catchier name than clearXchange, and hope to launch a marketing campaign around the middle of this year, said Harman.""The important thing,"" she said, ""is that we are acting now.""   (Reporting by David Henry in New York; Editing by Lauren LaCapra and Martin Howell)",2016-03-09,FISV,"Wed Mar 9, 2016 | 12:01am EST",INSIGHT-Big U.S. banks to take on tech rivals with instant payments,http://www.reuters.com//article/banks-payments-idUSL1N16F16D?type=companyNews
6,  April 5 Fiserv Inc : * Says CEO Jeffery W. Yabuki 's total compensation for FY 2015 was $10 million versus $8.3 million in FY 2014 - SEC Filing  Source text for Eikon: (1.usa.gov/1RCNAd7) Further company coverage:    (Bengaluru Newsroom: +1-646-223-8780)  ,2016-04-05,FISV,"Tue Apr 5, 2016 | 4:27pm EDT",BRIEF-Fiserv CEO's 2015 total compensation was $10 mln vs $8.3 mln in 2014 - SEC Filing,http://www.reuters.com//article/idUSFWN1780PR?type=companyNews
7,  May 5 Fiserv Inc* Fiserv reports first quarter 2016 results* Q1 adjusted earnings per share $1.06* Q1 gaap earnings per share $1.27 * Sees fy 2016 adjusted earnings per share $4.32 to $4.44* Q1 revenue $1.33 billion versus i/b/e/s view $1.34 billion * Q1 earnings per share view $1.02 -- Thomson Reuters I/B/E/S * Full year 2016 guidance affirmed* Sees 2016 adjusted earnings per share in a range of $4.32 to $4.44* Continues to expect 2016 internal revenue growth in a range of 5 to 6 percent  Source text for Eikon:  Further company coverage:    ),2016-05-05,FISV,"Thu May 5, 2016 | 4:07pm EDT",BRIEF-Fiserv Q1 adjusted EPS $1.06,http://www.reuters.com//article/idUSASC08NEL?type=companyNews
8,  May 19 Fiserv Inc:* Renewed its contract with John Deere Financial to continue providing their revolving credit card processing for another 10 years  * Will also provide complete lifecycle management for John Deere closed-loop credit card portfolio  Source text for Eikon: ,2016-05-19,FISV,"Thu May 19, 2016 | 9:14am EDT",BRIEF-Fiserv renewed contract with John Deere Financial,http://www.reuters.com//article/idUSFWN18G0I4?type=companyNews
9,"  Sept 27 Fiserv Inc* Co partnered with FCTI to provide transaction processing for 8,000 ATM terminals at franchise corporate-owned 7-eleven stores across U.S. * Through partnership, co will provide ATM device driving, transaction authorization, network gateway access and switching and settlement  * Conversion of all ATMs to Fiserv platform is slated to begin in July 2017  Source text for Eikon:  Further company coverage:",2016-09-27,FISV,"Tue Sep 27, 2016 | 9:46am EDT",BRIEF-Fiserv partners with FCTI to drive ATM terminals for world's largest convenience retailer's U.S. Stores,http://www.reuters.com//article/idUSFWN1C30DC?type=companyNews
