,Article,Date,Symbol,Time,Title,Url
0,"  WASHINGTON Two former employees with defense contractor FLIR Systems Inc will collectively pay $70,000 in penalties to settle charges of bribing government officials in Saudi Arabia in exchange for business, U.S. regulators said Monday.The U.S. Securities and Exchange Commission said that Stephen Timms and Yasser Ramahi, who worked in sales, also allegedly falsified records to hide their ""misconduct."" They each agreed to settle the case without admitting or denying the charges.    (Reporting by Sarah N. Lynch and Aruna Viswanatha; Editing by Sandra Maler)",2014-11-17,FLIR,"Mon Nov 17, 2014 | 5:09pm EST",U.S. SEC sanctions two ex-FLIR employees over bribery allegations,http://www.reuters.com//article/us-sec-flir-systems-corruption-idUSKCN0J12BN20141117?type=companyNews
1,"  WASHINGTON Nov 17 Two former employees with defense contractor FLIR Systems Inc will collectively pay $70,000 in penalties to settle charges of bribing government officials in Saudi Arabia in exchange for business, U.S. regulators said Monday. The U.S. Securities and Exchange Commission said that Stephen Timms and Yasser Ramahi, who worked in sales, also allegedly falsified records to hide their ""misconduct."" They each agreed to settle the case without admitting or denying the charges.   (Reporting by Sarah N. Lynch and Aruna Viswanatha; Editing by Sandra Maler)  ",2014-11-17,FLIR,"Mon Nov 17, 2014 | 5:09pm EST",U.S. SEC sanctions two ex-FLIR employees over bribery allegations,http://www.reuters.com//article/sec-flir-systems-corruption-idUSL2N0T72M720141117?type=companyNews
2,"  TEL AVIV Israel's TowerJazz said on Thursday it will manufacture chips for Flir Systems Inc's infrared technology for smartphone, security and industrial markets.Flir makes sensors that enhance perception and awareness in a variety of applications including airborne and ground-based surveillance.Production of chips for Flir's night vision systems will initially bring the Israeli company millions of dollars in revenue a year, a market source said. But as the systems become standard in smartphone cameras, TowerJazz's revenue from this will reach tens of millions of dollars a year, the source said. TowerJazz's Nasdaq-listed shares opened 3.2 percent higher at $14.47.   (Reporting by Tova Cohen; Editing by Steven Scheer)",2015-02-12,FLIR,"Thu Feb 12, 2015 | 9:36am EST",TowerJazz to make chips for Flir smartphone night vision systems,http://www.reuters.com//article/us-tower-semiconduc-flir-systems-contrac-idUSKBN0LG1UL20150212?type=companyNews
3,"  TEL AVIV Feb 12 Israel's TowerJazz  said on Thursday it will manufacture chips for Flir Systems Inc's infrared technology for smartphone, security and industrial markets.Flir makes sensors that enhance perception and awareness in a variety of applications including airborne and ground-based surveillance. Production of chips for Flir's night vision systems will initially bring the Israeli company millions of dollars in revenue a year, a market source said. But as the systems become standard in smartphone cameras, TowerJazz's revenue from this will reach tens of millions of dollars a year, the source said.  TowerJazz's Nasdaq-listed shares opened 3.2 percent higher at $14.47.   (Reporting by Tova Cohen; Editing by Steven Scheer)",2015-02-12,FLIR,"Thu Feb 12, 2015 | 9:33am EST",TowerJazz to make chips for Flir smartphone night vision systems,http://www.reuters.com//article/tower-semiconduc-flir-systems-contract-idUSL5N0VM4ZH20150212?type=companyNews
4,"  April 7 Electrocomponents Plc* New distribution agreement with Flir Systems  * Pact for distribution of high-performing, portable thermal imaging instruments  Source text: bit.ly/1DftpL3 Further company coverage:    (Bengaluru Newsroom: +91 80 6749 1136) ",2015-04-07,FLIR,"Tue Apr 7, 2015 | 9:36am EDT",BRIEF-Electrocomponents enters distribution pact with Flir Systems,http://www.reuters.com//article/idUSFWN0X404F20150407?type=companyNews
5,"  WASHINGTON Defense contractor FLIR Systems Inc will pay $9.5 million to settle civil charges that it violated federal bribery laws by financing a ""world tour"" of personal travel for government officials in the Middle East, U.S. regulators said Wednesday.The Securities and Exchange Commission said that the Oregon-based company self-reported the misconduct to the SEC and cooperated in the investigation. The company is settling without admitting or denying the SEC's charges.    (Reporting by Sarah N. Lynch; Editing by Will Dunham)",2015-04-08,FLIR,"Wed Apr 8, 2015 | 11:27am EDT",FLIR Systems to settle SEC bribery charges,http://www.reuters.com//article/us-sec-flir-systems-idUSKBN0MZ1N520150408?type=companyNews
6,"  WASHINGTON, April 8 Defense contractor FLIR Systems Inc will pay $9.5 million to settle civil charges that it violated federal bribery laws by financing a ""world tour"" of personal travel for government officials in the Middle East, U.S. regulators said Wednesday. The Securities and Exchange Commission said that the Oregon-based company self-reported the misconduct to the SEC and cooperated in the investigation. The company is settling without admitting or denying the SEC's charges.   (Reporting by Sarah N. Lynch; Editing by Will Dunham)  ",2015-04-08,FLIR,"Wed Apr 8, 2015 | 11:17am EDT",FLIR Systems to settle U.S. SEC bribery charges,http://www.reuters.com//article/sec-flir-systems-idUSL2N0X51A520150408?type=companyNews
7,"  April 26 Flir Systems Inc* Flir Systems announces first quarter 2016 financial results* Q1 revenue $379.5 million versus i/b/e/s view $361.5 million* Sees FY 2016 revenue $1.6 billion to $1.65 billion* Q1 earnings per share $0.01 * Q1 earnings per share view $0.32 -- Thomson Reuters I/B/E/S* Sees FY 2016 earnings per share $1.60 to $1.70 * Q1 earnings per share $0.30 excluding items* FY2016 earnings per share view $1.68, revenue view $1.64 billion -- Thomson Reuters I/B/E/S * Profitability was negatively impacted by product mix and increased manufacturing costs* Board declared a quarterly cash dividend of $0.12 per share* Flir's backlog of firm orders for delivery within next twelve months was approximately $613 million as of March 31, 2016  Source text for Eikon:  Further company coverage:    (Bengaluru Newsroom: +1 646 223 8780)",2016-04-26,FLIR,"Tue Apr 26, 2016 | 9:38am EDT",BRIEF-Flir Systems posts Q1 earnings $0.01 per share,http://www.reuters.com//article/idUSASD08FAS?type=companyNews
8,"  May 31 Flir Systems Inc* Entered into an unsecured $500 million five-year revolving credit agreement - sec filing * Terminated its existing $200 million five-year revolving credit facility and $150 million term loan facility  * Made initial borrowing of $105 million in revolving loans, repaid all outstanding amounts, including term loans of $105.0 million  Source text for Eikon:  Further company coverage:    (Bengaluru Newsroom: +1-646-223-8780)",2016-05-31,FLIR,"Tue May 31, 2016 | 9:40am EDT",BRIEF-Flir Systems enters unsecured $500 mln five-year revolving credit agreement,http://www.reuters.com//article/idUSFWN18S0AY?type=companyNews
9,"  June 28 Flir Systems Inc ;* FLIR Systems acquires Armasight, Inc. For $41 million * Acquisition will combine FLIR's existing lines of personal vision systems,thermal weapon sights with Armasight's products  * FLIR anticipates this transaction will be neutral to 2016 net earnings and accretive thereafter   Source text for Eikon:  Further company coverage:    (Bengaluru Newsroom)",2016-06-28,FLIR,"Tue Jun 28, 2016 | 7:36pm EDT",BRIEF-FLIR Systems acquires Armasight for $41 million,http://www.reuters.com//article/idUSASC08VJS?type=companyNews
10,"  July 27 Flir Systems Inc :* Declared a quarterly cash dividend of $0.12 per share on FlIR common stock, payable september 2, 2016* Expect product mix to return to normal levels in second half of year* FlIR systems announces second quarter 2016 financial results * Q2 earnings per share $0.33* Q2 revenue $402.7 million versus I/B/E/S view $403.1 million * Q2 earnings per share view $0.35 -- Thomson Reuters I/B/E/S* Sees FY 2016 adjusted earnings per share $1.60 to $1.65 * Q2 adjusted earnings per share $0.34 excluding items* FY2016 earnings per share view $1.62, revenue view $1.64 billion -- Thomson Reuters I/B/E/S* Initiated a plan to reduce our costs which we expect to improve our overall profitability in second half  Source text for Eikon:  Further company coverage:",2016-07-27,FLIR,"Wed Jul 27, 2016 | 7:52am EDT",BRIEF-Flir Systems reports Q2 earnings per share $0.33,http://www.reuters.com//article/idUSASC08YLV?type=companyNews
11,"  Oct 3 Flir Systems Inc* Anticipates business and related transaction costs will be approximately $0.01 dilutive to its 2016 earnings per share and accretive for 2017 * Flir systems to acquire point grey research, inc. For $253 million * Deal for $253 million * Business will become flir's integrated imaging solutions line of business operating within oem and emerging segment  Source text for Eikon:  Further company coverage:",2016-10-03,FLIR,"Mon Oct 3, 2016 | 9:17am EDT",BRIEF-Flir systems to acquire Point Grey Research for $253 million,http://www.reuters.com//article/idUSASC099Y7?type=companyNews
