,Article,Date,Symbol,Time,Title,Url
0,"  (Corrects currency in paragraph 8 to dinars from dollars)* Upgrade of two refineries is part of development plan* Tenders committee oks JGC Corp, Fluor and Petrofec bids* KNPC says contracts will be signed in AprilKUWAIT, Feb 10 Kuwait has approved bids worth a total of $12 billion for major upgrades at two oil refineries, the state-run oil company said on Monday, in a sign it is moving ahead with large infrastructure projects. The Clean Fuels Project is a specification upgrade and expansion of Kuwait's largest refineries as part of the Gulf state's economic development plan, which has faced delays partly due to political instability.A consortium led by Japan's JGC Corp won a tender for work worth 1.361 billion dinars ($4.82 billion) at the 460,000-barrels-per-day (bpd) Mina Ahmadi refinery, a Kuwait National Petroleum Company spokesman said, citing a decision from the country's central tenders committee.Britain's Petrofac, in a bid worth 1.07 billion dinars, is expected to carry out work at the 270,000 bpd Mina Abdullah refinery, and U.S.-based Fluor Corp. will also work on Mina Abdullah after a bid of 962 million dinars, he said. Contracts for the work are expected to be signed with the companies in April and construction work should begin shortly afterwards, the spokesman said.Kuwait awarded Foster Wheeler with the management and service contract for the clean fuels project in December 2012 in a deal worth around $500 million. Foster Wheeler said at the time that the project would increase the amount that the refineries can process per day by 264,000 barrels to 800,000 and be ready in 2018.Apart from the Clean Fuels Project, worth around 4.6 billion dinars in total, Kuwait also wants to build a new 4 billion-dinar refinery called Al Zour and then shut its third, older 200,000 bpd Shuaiba refinery.Such projects in Kuwait's 30 billion dinar development plan, announced in 2010, are a test for a country which has struggled to invest in infrastructure and attract foreign investors, partly due to the political instability and bureaucracy.Last week Kuwait's parliament voted to investigate a contract awarded to a GDF Suez-led consortium for a power project and a deal between the state carrier and Airbus  to buy and lease aircraft, in a sign that lawmakers will continue to question state investment decisions.   ($1 = 0.2827 Kuwaiti dinars)   (Reporting by Ahmed Hagagy, writing by Sylvia Westall, editing by Daniel Fineren)",2014-02-12,FLR,"Wed Feb 12, 2014 | 3:40am EST",CORRECTED-UPDATE 1-Kuwait approves $12 bln bids for clean fuels project,http://www.reuters.com//article/kuwait-refineries-idUSL5N0LF2D620140212?type=companyNews
1,"  * One of largest UK public contracts ever put out to tender* Estimated savings of at least 1 bln stg over 14 years* Babcock shares climb as much as 7 percent   (Adds background, updates share price)By Li-mei Hoang and Brenda GohLONDON, March 31 Britain awarded a 7-billion-pound ($11.65 billion) contract to manage the decommissioning of nearly half its nuclear sites to engineering contractors Babcock and U.S. group Fluor in one of the largest UK government contracts ever put out to tender.The 14-year deal covers some of Britain's oldest nuclear power sites include Hinkley, Sizewell and Dungeness.Britain has moved to outsource large swathes of its public sector services over the last 30 years, a practice which has been heavily criticised in recent months after contractors such as G4S and Serco were found to have overcharged the government on contracts.Among the services the government has recently attempted to outsource include its defence equipment buying arm, a process which collapsed after one of the only two bidders left in the competition pulled out. Britain's public services market is estimated to be worth up to 50 billion pounds, according to the UK's National Audit Office, second only in size to the U.S. market.The Nuclear Decommissioning Authority (NDA) said the contract would cover 12 of Britain's 25 nuclear sites and should bring a saving of at least 1 billion pounds from the previous contract, handled by EnergySolutions for the past 14 years.The U.S. group had bid jointly with U.S. engineering sector peer Bechtel for the new deal and said it would now ""evaluate its options"" without giving any further details.Shares in Babcock were the biggest gainers on the FTSE 100 Index, trading 4.6 percent higher by 1412 GMT having risen as much as 7 percent. Numis Securities analyst Mike Murphy said the deal would be worth more than 170 million pounds a year to Babcock, representing over 4 percent of group revenue after adding sales from the soon to be acquired helicopter transport services firm Avincis.""(This) cements their position as one of the UK's premier critical engineering support services group,"" Murphy said.""Babcock have got such a tremendous reputation with the government in terms of delivering and I think that is the important thing at the end of the day,"" he said. Aside from EnergySolutions and Bechtel, Babcock and U.S. group Fluor beat two other groups: Serco, Areva  and CH2M Hill, and Amec, Atkins and Rolls-Royce in a two-year-long bidding process.Sources familiar with the situation said that at least one of the losing consortiums was looking at its legal options to challenge the decision.Cavendish Fluor, the joint venture between Babcock-owned subsidiary Cavendish Nuclear and Fluor, will be formally awarded the contract - pending legal approval - on Sept. 1, after a ten-day mandatory standstill and a five-month transition period.""Cavendish Fluor Partnership bring a successful track record and extensive nuclear experience that will bring enormous benefits to the decommissioning and clean-up programme,"" NDA Chief Executive John Clarke said.Although the government is focused on building new nuclear plants, Britain's old stations and nuclear research sites will remain sizeable employers as companies such as Babcock are hired to clean up radioactive materials over decades.The GMB union, which represents energy workers, said it would be seeking urgent talks with the partnership and that it was still ""extremely concerned"" that Britain had no strategic direction for nuclear.   (Reporting by Li-mei Hoang, Brenda Goh and Karolin Schaps; editing by Louise Ireland and Keiron Henderson)",2014-03-31,FLR,"Mon Mar 31, 2014 | 11:31am EDT",UPDATE 3-UK picks Babcock and Fluor for 7 bln stg nuclear decommissioning,http://www.reuters.com//article/britain-nuclear-contract-idUSL5N0MS27L20140331?type=companyNews
2,"  (Repeats for technical reasons, no changes to text)LONDON, March 31 Britain on Monday named engineering contractors Babcock and U.S. group Fluor as the preferred bidders for a 14-year, 7 billion pound ($11.65 billion) contract to manage the decommissioning of its nuclear sites. The contract, which includes some of Britain's oldest nuclear power sites such as Hinkley, Sizewell and Dungeness, is one of Britain's largest and most valuable public contracts put out to tender. Shares in Babcock were the biggest gainer on the FTSE 100 Index at 0936 GMT, up 3.5 percent. (Reporting by Li-mei Hoang and Brenda Goh; editing by Kate Holton)",2014-03-31,FLR,"Mon Mar 31, 2014 | 6:53am EDT","RPT-Babcock, Fluor named lead bidders for 7 bln stg UK nuclear deal",http://www.reuters.com//article/britain-nuclear-contract-idUSWLB007VK20140331?type=companyNews
3,"  LONDON Britain on Monday named engineering contractors Babcock (BAB.L) and U.S. group Fluor as the preferred bidders for a 14-year, 7 billion pound ($11.65 billion) contract to manage the decommissioning of its nuclear sites.The contract, which includes some of Britain's oldest nuclear power sites such as Hinkley, Sizewell and Dungeness, is one of Britain's largest and most valuable public contracts put out to tender. Shares in Babcock were the biggest gainer on the FTSE 100 Index .FTSE at 0936 GMT, up 3.5 percent.  (Reporting by Li-mei Hoang and Brenda Goh; editing by Kate Holton)",2014-03-31,FLR,"Mon Mar 31, 2014 | 5:41am EDT","Babcock, Fluor named lead bidders for 7 billion pound UK nuclear deal",http://www.reuters.com//article/us-britain-nuclear-contract-idUSBREA2U0GT20140331?type=companyNews
4,"  LONDON, March 31 Britain on Monday named engineering contractors Babcock and U.S. group Fluor as the preferred bidders for a 14-year, 7 billion pound ($11.65 billion) contract to manage the decommissioning of its nuclear sites.The contract, which includes some of Britain's oldest nuclear power sites such as Hinkley, Sizewell and Dungeness, is one of Britain's largest and most valuable public contracts put out to tender. Shares in Babcock were the biggest gainer on the FTSE 100 Index at 0936 GMT, up 3.5 percent.  (Reporting by Li-mei Hoang and Brenda Goh; editing by Kate Holton)",2014-03-31,FLR,"Mon Mar 31, 2014 | 5:39am EDT","Babcock, Fluor named lead bidders for 7 bln stg UK nuclear deal",http://www.reuters.com//article/britain-nuclear-contract-idUSWLB007VJ20140331?type=companyNews
5,"  MEXICO CITY, June 12 Seven employees of ICA-Fluor, a joint venture between Mexican construction company ICA  and U.S. engineering firm Fluor Corp , died on Wednesday during construction of an oil rig for state oil company Pemex in Veracruz, a local official said on Thursday.""The workers were being carried in a basket when they fell about 30 feet, apparently due to a mechanical failure or because a cable was severed,"" said Ricardo Enrique Maza, an emergency official in the eastern coastal state of Veracruz. Five people were killed instantly in the incident in the town of Pueblo Viejo, said Maza. Three others were injured and hospitalized, and two of them later died, he said.  ""At the moment, we do not know the cause of the accident,"" ICA said in a statement.   (Reporting By Gabriela Lopez)",2014-06-12,FLR,"Thu Jun 12, 2014 | 5:42pm EDT",Seven Ica-Fluor workers die on Mexican oil rig construction site,http://www.reuters.com//article/mexico-ica-idUSL2N0OT1WF20140612?type=companyNews
6,"  (Adds details and background)WASHINGTON, July 29 The U.S. Senate on Tuesday approved an $8.1 billion short-term extension of federal funding for transportation projects through  the end of 2014, setting up a clash with the House of Representatives just days ahead of cutbacks in money for road, bridge and transit construction.The Democratic-controlled Senate had been considering a House-passed measure for a longer-term extension through May 2015, but reduced the amount of money with the aim of forcing Congress to approve a long-term transport funding bill in the post-election ""lame duck"" session of Congress in November.The final bill, which stripped the main funding mechanism in the House-passed measure, revenue from pension accounting changes, passed by a strong bipartisan vote of 79-18.The vote raises the stakes for Congress as a twin deadline looms on Friday for a reduction in payments to states from the Highway Trust Fund and the start of a five-week summer recess for lawmakers. Republican House Speaker John Boehner earlier on Tuesday said the House would simply strip any changes made by the Senate to the transportation funding bill and send back the original House version to the Senate for approval.Such legislative ""ping-pong"" with time running out raises the risk that Congress will not replenish the rapidly dwindling Highway Trust Fund before Friday. The Department of Transportation has said that it will begin to curtail payments from the fund to states by as much as 30 percent starting that day, a move that lawmakers and state transportation directors say could halt planning work for major projects and lead to the layoffs of hundreds of thousands of construction workers.State transportation directors and business groups have been clamoring for a long-term solution that would eliminate uncertainty over the funding of road and rail transit projects that benefit the heavy construction industry and its suppliers, including Fluor Corp, Vulcan Materials, LaFarge SA and Caterpillar Inc. The House earlier this month approved a $10.9 billion funding patch largely funded through ""pension smoothing,"" which allows companies to reduce their contributions to employee pensions, thus increasing profits.It also would extend customs fees for another year transfer $1 billion from a fund, measures in common with the Senate bill.But the Senate measure substituted some other provisions to raise revenue by improving tax compliance, such as increased reporting requirements for mortgage interest deductions.    (Reporting By David Lawder; Editing by Sandra Maler)",2014-07-29,FLR,"Tue Jul 29, 2014 | 7:34pm EDT","UPDATE 1-U.S. Senate shortens transport extension, sets up clash with House",http://www.reuters.com//article/usa-congress-transportation-idUSL2N0Q430D20140729?type=companyNews
7,"  (Adds senator comment, details on fuel taxes)By David LawderWASHINGTON, July 29 The U.S. Senate on Tuesday approved an $8.1 billion extension of federal funding for transportation projects through the end of 2014, setting up a clash with the House of Representatives just days ahead of cutbacks in money for road, bridge and transit construction.The Democratic-controlled Senate had been considering a House-passed measure for a longer-term extension through May 2015, but reduced the amount of money with the aim of forcing Congress to approve a long-term transport funding bill during its post-election ""lame duck"" session in November.The final bill, which also stripped the main funding mechanism in the House-passed measure, revenue from pension accounting changes, passed by a strong bipartisan vote of 79-18.""Let's force the Congress this year - before the end of this year - to deal with an issue that's very important to our nation,"" said Senator Bob Corker, a Republican who co-sponsored an amendment to reduce the funding amount. The vote raises the stakes for Congress as a twin deadline looms on Friday for a reduction in payments to states from the  Highway Trust Fund and the start of a five-week summer recess for lawmakers.Republican House Speaker John Boehner earlier on Tuesday said the House would simply strip any changes made by the Senate to the transportation funding bill and send back the original House version to the Senate for approval. Such legislative ""ping-pong"" with time running out raises the risk that Congress will not replenish the rapidly dwindling Highway Trust Fund before Friday.The Department of Transportation has said it will begin to curtail payments from the fund to states by as much as 30 percent starting that day, a move lawmakers and state transportation directors say could halt planning work for major projects and lead to the layoffs of hundreds of thousands of construction workers.State transportation directors and business groups have been clamoring for a long-term solution that would eliminate uncertainty over the funding of road and rail transit projects that benefit the heavy construction industry and its suppliers, including Fluor Corp, Vulcan Materials, LaFarge SA and Caterpillar Inc. The trust fund has suffered chronic shortfalls in recent years as revenue from fuel taxes, unchanged since 1993, have failed to keep pace with rising construction costs and been hit by improved vehicle fuel economy. Some lawmakers have advocated a fuel tax increase and believe this may be easier to achieve after November's congressional elections.The House earlier this month approved a $10.9 billion funding patch largely funded through ""pension smoothing,"" which allows companies to reduce their contributions to employee pensions, thus increasing taxable profits.It also would extend customs fees for another, a measure in common with the Senate bill.But the Senate measure substituted some other provisions to raise revenue by improving tax compliance, such as increased reporting requirements for mortgage interest deductions.   (Reporting by David Lawder; Editing by Sandra Maler and Diane Craft)",2014-07-30,FLR,"Tue Jul 29, 2014 | 8:14pm EDT","UPDATE 2-U.S. Senate shortens transport extension, sets up clash with House",http://www.reuters.com//article/usa-congress-transportation-idUSL2N0Q430D20140730?type=companyNews
8,"  (Updates with planned Senate vote on House plan)By David LawderWASHINGTON, July 31 With time running out to avert cutbacks in federal transportation money due to start on Friday, Democratic leaders in the U.S. Senate agreed to accept a Republican plan to extend funding for highway and transit construction through May 2015.Senate Majority Harry Reid said he would put the House of Representatives' $10.9 billion funding plan to a vote on Thursday evening after the House rejected a shorter, $8.1 billion extension passed by the Senate.The legislative ping-pong has heightened uncertainty over the dwindling Highway Trust Fund as Congress prepares to start a five-week summer recess this weekend. The Department of Transportation has said it will start on Friday reducing payments to states by as much as 30 percent from the dwindling Highway Trust Fund.Lawmakers and transportation officials say that failure to approve new funding would cause work slowdowns at the height of summer road construction season and halt planning for new projects, putting thousands of construction jobs at risk.The Senate on Tuesday approved the shorter extension, lasting only through the end of 2014, because Democrats wanted to force Congress to act on a long-term funding plan during the post-election, lame duck session of Congress in November. But in a vote that Democratic aides said was engineered to ""jam"" the Senate just before the recess, the House earlier on Thursday rejected the Senate plan and sent back its original version. That left senators little choice but to take the House plan or face criticism for allowing the trust fund to be depleted.Representative Peter DeFazio, a Democrat, complained that the Republican extension bill would discourage Congress from passing a multi-year transport funding plan until next year. ""We'll limp along until next May and there'll be incredible uncertainty about the next construction season,"" DeFazio said. ""There won't be major new projects planned.""State transportation directors and business groups have been clamoring for a long-term solution that would eliminate uncertainty over the funding of road and rail transit projects that benefit the heavy construction industry and its suppliers, including Fluor Corp, Vulcan Materials, LaFarge SA and Caterpillar Inc.The Highway Trust Fund has suffered chronic shortfalls in recent years as revenue from fuel taxes, unchanged since 1993, have failed to keep pace with rising construction costs and been hit by improved vehicle fuel economy. Some lawmakers have advocated a fuel tax increase and believe this may be easier to achieve after November's congressional elections.The House funding plan relies heavily on a controversial revenue source known as ""pension smoothing"" - an accounting maneuver that allows companies to reduce near-term contributions to employee pensions, thus increasing taxable profits.   (Reporting by David Lawder; Editing by Cynthia Osterman)",2014-07-31,FLR,"Thu Jul 31, 2014 | 7:53pm EDT","UPDATE 2-U.S. Senate Democrats relent on transport funding, accept longer extension",http://www.reuters.com//article/usa-congress-transportation-idUSL2N0Q62C320140731?type=companyNews
9,"   By David Lawder | WASHINGTON, July 31  WASHINGTON, July 31 The U.S. House of Representatives on Thursday was poised to reject a Senate-passed $8.1 billion measure to fund transportation projects through 2014 in a bid to force through Republicans' plans that would extend funding until May.The House's vote to send its $10.9 billion plan back to the Senate, scheduled for Thursday afternoon, would raise the risk that Congress fails to meet a Friday deadline to avert federal funding cutbacks for road, bridge and rail transit construction projects.Congress is set to begin a five-week summer recess on Friday, the day that the Department of Transportation has said it will start reducing payments to states by as much as 30 percent from the dwindling Highway Trust Fund.Lawmakers and transportation officials say that failure to approve new funding would cause work slowdowns at the height of summer road construction season and halt planning for new projects, putting thousands of construction jobs at risk. The House vote was engineered to ""jam"" the Senate, Democratic aides said. With no legislative time left, senators would be faced with a difficult choice: Accept the House plan as is or face criticism for allowing the Highway Trust Fund to run dry in August.A temporary $10.9 billion transportation funding extension through May 2015 seemed on a drama-free path toward approval until Tuesday, when a Senate amendment cut the amount to $8.1 billion. Senate Democrats wanted the shorter extension to try to force Congress to act on a long-term funding plan during the post-election, ""lame duck"" session of Congress in November. They argued that the House plan would put off action until next year, creating a funding crisis at the start of a new construction season and leaving decisions to the next Congress.State transportation directors and business groups have been clamoring for a long-term solution that would eliminate uncertainty over the funding of road and rail transit projects that benefit the heavy construction industry and its suppliers, including Fluor Corp, Vulcan Materials, LaFarge SA and Caterpillar Inc. The Highway Trust Fund has suffered chronic shortfalls in recent years as revenue from fuel taxes, unchanged since 1993, have failed to keep pace with rising construction costs and been hit by improved vehicle fuel economy. Some lawmakers have advocated a fuel tax increase and believe this may be easier to achieve after November's congressional elections.The House funding plan relies heavily on a controversial revenue source known as ""pension smoothing"" - an accounting maneuver that allows companies to reduce near-term contributions to employee pensions, thus increasing taxable profits.It also would extend customs fees for another year, a measure in common with the Senate bill.But the Senate measure stripped out the pension smoothing and substituted some other provisions to raise revenue by improving tax compliance, such as increased reporting requirements for mortgage interest deductions.   (Reporting by David Lawder; Editing by Cynthia Osterman)",2014-07-31,FLR,"Thu Jul 31, 2014 | 1:15pm EDT",U.S. House transportation vote aims to push longer funding extension,http://www.reuters.com//article/usa-congress-transportation-idUSL2N0Q61WJ20140731?type=companyNews
