,Article,Date,Symbol,Time,Title,Url
0,"  After rallying from its largest deficit of the season to remain unbeaten, No. 5 Wichita State has to be feeling invincible heading into Tuesday's Missouri Valley Conference game against visiting Bradley. Described by coach Gregg Marshall as the first close game his team has had, the Shockers dug out of a 19-point hole to beat Missouri State 72-69 in overtime Saturday. ""We've had some games where we made some plays down the stretch to win by five or whatever, but as far as a game really being in doubt, this is by far the toughest game we've had,"" Marshall told reporters.Bradley also gave Missouri State a good battle recently before losing by three points, which could suggest these teams are not as far apart as their records. The Braves snapped a seven-game losing streak with a victory over Drake, but have since lost to Missouri State and Indiana State, also by three points. ""I was proud of our kids, we really battled and I'm happy we did some good things,"" coach Geno Ford told the Peoria Journal Star after the game against Indiana State, which like Wichita State is 4-0 in conference. ""At the same time, the result isn't what you're looking for, so you can't get too excited. But we are a lot better now than we were in December.""TV: 8 p.m. ET, ESPN3 ABOUT BRADLEY (6-11, 1-3 MVC): The Braves struggle in a lot of ways, in particular shooting and turnovers, where they rank in the bottom half of Division I with 13.3 per game. The shooting problems were there against Indiana State as the Braves made 34.9 percent of their field goals while holding the Sycamores to less than 40 percent. ""When you go on the road and play a team this good, you don't have to be perfect,"" Ford told the Journal Star. ""But you can't afford missed layups and missed free throws. When we needed to be up 10 to 12 in the first half because they weren't sharp early, we didn't take advantage of it.""ABOUT WICHITA STATE (17-0, 4-0 MVC): The Shockers moved up to fifth in the Top 25, the highest they have been since ending last season as the fourth-ranked team. Cleanthony Early had 22 points and 15 rebounds against Missouri State and continues to lead the team in scoring (16.6) and rebounds (6.9) per game, while being complemented by the trio of Ron Baker (13.1 points), Fred VanVleet (12.2) and Tekele Cotton (9.9). ""That's a hell of a team. They were ready for us,"" VanVleet told the Sporting News of Missouri State. ""We gave them way too many open shots in the first half. That'll get you in an 18-point hole really quick. It took everything we had to sneak out of here with a win."" TIP-INS 1. The Shockers have won the last five meetings by an average of 24.8 points, but trail in the series 71-58. 2. The Braves last win at Koch Arena was in 2008.3. Early, Baker and VanVleet have combined to shoot 83.6 percent from the foul line.PREDICTION: Wichita State 77, Bradley 55",2014-01-14,HAS,"Tue Jan 14, 2014 | 6:02am EST",Preview: Bradley at Wichita State,http://www.reuters.com//article/bkc-bradley-wichitast-preview-idUSMTZEA1EE43HRM20140114?type=companyNews
1,"  * S&P 500 coming off best two-day gain in four months* McDonald's falls after January same-store sales data* Hasbro rallies after results, upbeat comments* Indexes up: Dow 0.1 pct, S&P 0.2 pct, Nasdaq 0.5 pctBy Ryan VlastelicaNEW YORK, Feb 10 U.S. stocks ended with modest gains on Monday as investors digested recent market gains and looked ahead to new Federal Reserve Chair Janet Yellen's first testimony before lawmakers.The Nasdaq was boosted by strength in large-cap tech and pharma names, but most market participants took a wait-and-see attitude ahead of the testimony, looking for confirmation that the Fed would not change its schedule for ending its support for the economy.The U.S. central bank's accommodative monetary policies have been credited with fueling the market's steep gains in 2013, and are expected to keep a floor under equity prices for as long as they continue.The Fed first announced a slowing in the bond-buying program in December, followed by another one in January. If it changes the pace of tapering - and uncertainty in emerging markets and the weak January payrolls have raised the odds of that to some - it may raise concerns that the economy is still not strong enough to strengthen on its own. ""We're hoping to hear Yellen strike a balance where she recognizes that the recovery is fragile, but not so much that the Fed changes its mind, which would be too premature of a signal to send,"" said Leo Grohowski, chief investment officer at BNY Mellon Wealth Management in New York.Yellen's prepared remarks will be available before the market opens on Tuesday. She will also participate in a question-and-answer session with U.S. lawmakers after the open.The Dow Jones industrial average was up 7.71 points, or 0.05 percent, at 15,801.79. The Standard & Poor's 500 Index  was up 2.82 points, or 0.16 percent, at 1,799.84. The Nasdaq Composite Index was up 22.31 points, or 0.54 percent, at 4,148.17.The S&P 500 is coming off its best two-day performance in four months, which capped the index's first weekly gain in the past four. Those gains were preceded by the index's sharpest pullback in months. ""Last week investors received a wake-up call that 2014 is unlikely to be like 2013 in terms of the return or the smoothness of the ride,"" said Grohowski, who helps oversee $185 billion in client assets. ""We're still digesting last week's volatility, but investor sentiment is now neutral or negative, which is a positive for markets.""McDonald's Corp reported a decline in U.S. January same-store sales, though global sales were above expectations. Shares fell 1.1 percent to $94.86.Alexion Pharmaceuticals Inc was the top boost to the Nasdaq 100, jumping 4 percent to $170.11 after Deutsche Bank raised its price target to $205 from $125.Hasbro Inc was the S&P's top percentage gainer, rising 4.5 percent to $52.36. The toymaker reported quarterly results and gave an upbeat outlook. With about 69 percent of the S&P 500 having reported, 67.8 percent have topped profit expectations, above the long-term average of 63 percent, according to Thomson Reuters data. Almost 66 percent have topped revenue forecasts, above the historical average of 61 percent.After the market closed, voice technology company Nuance Communications fell 2.3 percent after reporting its first-quarter results.CNA Financial Corp said it would sell its life and group insurance business, while parent Loews Corp reported a bigger quarterly loss, hurt by impairment charges. CNA gained 6.9 percent to $42.42 while Loews lost 4.2 percent to $43.26 as the worst performer on the S&P 500.Yelp Inc advanced 1.9 percent to $91.11. The Wall Street Journal reported on Saturday that Internet portal Yahoo  was partnering with the consumer-reviews website to beef up local results in its search engine. Yahoo rose 1.4 percent to $37.76.Apple Inc rose 1.8 percent to $528.99 after Carl Icahn said in a letter to shareholders he sees no reason to persist with his proposal that the iPhone maker buy back $50 billion of its shares.AutoNavi Holdings Ltd surged 24.4 percent to $20.57 after Alibaba Group disclosed in a filing with the Securities and Exchange Commission that it had offered to buy all the shares of the Chinese digital mapping and navigation firm it does not already own.About 56 percent of companies traded on both the New York Stock Exchange and Nasdaq closed higher on the day. About 5.83 billion shares traded on all U.S. platforms, according to BATS exchange data.",2014-02-10,HAS,"Mon Feb 10, 2014 | 4:27pm EST",US STOCKS-Wall St closes slightly up; investors look to Yellen,http://www.reuters.com//article/markets-usa-stocks-idUSL2N0LF1HZ20140210?type=companyNews
2,"  * S&P 500 coming off best two-day gain in four months* McDonald's falls after January same-store sales data* Hasbro rallies after results, upbeat comments* Indexes: Dow down 0.1 pct, S&P 500 flat, Nasdaq up 0.3 pctBy Ryan VlastelicaNEW YORK, Feb 10 U.S. stocks were little changed on Monday as investors digested recent market gains and looked ahead to new Federal Reserve Chair Janet Yellen's first testimony before lawmakers.Yellen's first test as chair of the Federal Reserve comes Tuesday when she faces U.S. lawmakers, some hostile to the central bank, who will want to know how committed she is to winding down the Fed's support for the economy. The U.S. central bank's accommodative monetary policies have been credited with fueling the market's steep gains in 2013, and are expected to keep a floor under equity prices for as long as they continue.The Fed first announced a slowing in the bond-buying program in December, followed by another one in January. If it changes the pace of tapering, it may raise concerns that the economy is still not strong enough to strengthen on its own. The January payroll report, released on Friday, raised concerns about the pace of growth when it came in sharply under expectations, though that was partly affected by bad weather.""We're hoping to hear Yellen strike a balance where she recognizes that the recovery is fragile, but not so much that the Fed changes its mind, which would be too premature of a signal to send,"" said Leo Grohowski, chief investment officer at BNY Mellon Wealth Management in New York.McDonald's Corp reported a decline in U.S. January same-store sales, though global sales were above expectations. Shares fell 0.9 percent to $95.09. The Dow Jones industrial average was down 17.67 points, or 0.11 percent, at 15,776.41. The Standard & Poor's 500 Index was down 0.34 points, or 0.02 percent, at 1,796.68. The Nasdaq Composite Index was up 13.47 points, or 0.33 percent, at 4,139.33.The S&P 500 is coming off its best two-day performance in four months, which capped the index's first weekly gain in the past four. Those gains were preceded by the index's sharpest pullback in months.""Last week investors received a wake-up call that 2014 is unlikely to be like 2013 in terms of the return or the smoothness of the ride,"" said Grohowski, who helps oversee $185 billion in client assets. ""We're still digesting last week's volatility, but investor sentiment is now neutral or negative, which is a positive for markets."" Hasbro Inc was the S&P's top percentage gainer, rising 5.9 percent to $53.03 after the toymaker reported its quarterly results and gave an upbeat outlook.With about 69 percent of the S&P 500 having reported, 67.8 percent have topped profit expectations, above the long-term average of 63 percent, according to Thomson Reuters data. Almost 66 percent have topped revenue forecasts, above the historical average of 61 percent.CNA Financial Corp said it would sell its life and group insurance business, while parent Loews Corp reported a bigger quarterly loss, hurt by impairment charges. CNA gained 7 percent to $42.43 while Loews lost 4.6 percent to $43.08 as the worst performer on the S&P 500.Yelp Inc advanced 2.7 percent to $91.93 after the Wall Street Journal reported on Saturday that Internet portal Yahoo was partnering with the consumer-reviews website to beef up local results in its search engine.Apple Inc rose 1.4 percent to $526.70 after Carl Icahn said in a letter to shareholders he sees no reason to persist with his proposal that the iPhone maker buy back $50 billion of its shares.AutoNavi Holdings Ltd surged 24.5 percent to $20.60 after Alibaba Group disclosed in a filing with the Securities and Exchange Commission that it had offered to buy all the shares of the Chinese digital mapping and navigation firm it does not already own.",2014-02-10,HAS,"Mon Feb 10, 2014 | 2:12pm EST",US STOCKS-Wall St flat as investors look ahead to Yellen,http://www.reuters.com//article/markets-usa-stocks-idUSL2N0LF15A20140210?type=companyNews
3,"   By Dhanya Skariachan  Hasbro Inc (HAS.O) touted a series of toys based on the fourth ""Transformers"" sequel and other upcoming films, overshadowing concern about its weak North American holiday season and sending its shares up nearly 6 percent.Earlier on Monday, the stock had fallen after the maker of Nerf foam toys and Monopoly board games posted lower-than-expected results for the fourth quarter, when the company and its peers typically make about 40 percent of their annual revenue.""2014 is the first of a robust multiyear entertainment slate for our boys brands,"" Hasbro Chief Executive Officer Brian Goldner said on a call with analysts and investors.""Transformers: Age of Extinction"" is scheduled for release in the summer and will feature new characters and story lines.Hasbro also has rights to make toys tied to movies from Marvel Studios, including ""Captain America: The Winter Soldier"" and a new franchise called ""Guardians of the Galaxy,"" as well as Sony's ""The Amazing Spider-Man 2.""Many on Wall Street chose to focus on Hasbro's growth prospects in 2014 rather than the holiday weakness. ""The bull story on this has been about 2014,"" said MKM Partners LLC analyst Eric Handler. ""People are feeling good about 2014.""He said he saw more catalysts for growth for the second-largest U.S. toy company over larger rival Mattel Inc (MAT.O) this year.Hasbro is also bound to gain from its partnership with Lucasfilm, which will unveil the new ""Star Wars Rebels"" television series in late 2014, analysts said. TOUGH HOLIDAYS The latest U.S. holiday season turned out to be one of the weakest since 2008, when the U.S. economy was reeling from a recession. Bad weather, limited discretionary dollars for many shoppers and six fewer days between Thanksgiving and Christmas in 2013 hurt sales for many companies.Mattel missed analysts' expectations in the quarter covering the key selling season. Hasbro said its net earnings fell to $129.8 million, or 98 cents a share, in the fourth quarter from $130.3 million, or 99 cents a share, a year earlier.Excluding restructuring charges and other items, Hasbro earned $1.12 a share, missing the analysts' average estimate of $1.22, according to Thomson Reuters I/B/E/S.Sales were flat at $1.28 billion, while analysts expected $1.30 billion.Industrywide, demand was particularly weak for action figures and preschool toys, two important categories for Mattel and Hasbro.Shares of Hasbro were up 5.8 percent at $53.02 in midday trading.(Reporting by Dhanya Skariachan; Editing by Lisa Von Ahn)",2014-02-10,HAS,"Mon Feb 10, 2014 | 12:01pm EST",Hasbro upbeat on 2014 despite weak holidays; shares rise,http://www.reuters.com//article/us-hasbro-results-idUSBREA190PD20140210?type=companyNews
4,"  (Adds details of 2014 lineup, CEO, analyst comments, stock activity)By Dhanya SkariachanFeb 10 Hasbro Inc touted a series of toys based on the fourth ""Transformers"" sequel and other upcoming films, overshadowing concern about its weak North American holiday season and sending its shares up nearly 6 percent.Earlier on Monday, the stock had fallen after the maker of Nerf foam toys and Monopoly board games posted lower-than-expected results for the fourth quarter, when the company and its peers typically make about 40 percent of their annual revenue.""2014 is the first of a robust multiyear entertainment slate for our boys brands,"" Hasbro Chief Executive Officer Brian Goldner said on a call with analysts and investors.""Transformers: Age of Extinction"" is scheduled for release in the summer and will feature new characters and story lines.Hasbro also has rights to make toys tied to movies from Marvel Studios, including ""Captain America: The Winter Soldier"" and a new franchise called ""Guardians of the Galaxy,"" as well as Sony's ""The Amazing Spider-Man 2."" Many on Wall Street chose to focus on Hasbro's growth prospects in 2014 rather than the holiday weakness.""The bull story on this has been about 2014,"" said MKM Partners LLC analyst Eric Handler. ""People are feeling good about 2014.""He said he saw more catalysts for growth for the second-largest U.S. toy company over larger rival Mattel Inc  this year.Hasbro is also bound to gain from its partnership with Lucasfilm, which will unveil the new ""Star Wars Rebels"" television series in late 2014, analysts said. TOUGH HOLIDAYS The latest U.S. holiday season turned out to be one of the weakest since 2008, when the U.S. economy was reeling from a recession. Bad weather, limited discretionary dollars for many shoppers and six fewer days between Thanksgiving and Christmas in 2013 hurt sales for many companies. Mattel missed analysts' expectations in the quarter covering the key selling season.Hasbro said its net earnings fell to $129.8 million, or 98 cents a share, in the fourth quarter from $130.3 million, or 99 cents a share, a year earlier.Excluding restructuring charges and other items, Hasbro earned $1.12 a share, missing the analysts' average estimate of $1.22, according to Thomson Reuters I/B/E/S.Sales were flat at $1.28 billion, while analysts expected $1.30 billion.Industrywide, demand was particularly weak for action figures and preschool toys, two important categories for Mattel and Hasbro.Shares of Hasbro were up 5.8 percent at $53.02 in midday trading.   (Reporting by Dhanya Skariachan; Editing by Lisa Von Ahn)",2014-02-10,HAS,"Mon Feb 10, 2014 | 11:59am EST",UPDATE 2-Hasbro upbeat on 2014 despite weak holidays; shares rise,http://www.reuters.com//article/hasbro-results-idUSL2N0LF0BI20140210?type=companyNews
5,"  * Yelp climbs on deal with Yahoo* Hasbro falls after earnings* McDonald's posts January sales* Futures off: Dow 21 pts, S&P 3.75 pts, Nasdaq 1.75 ptsBy Chuck MikolajczakNEW YORK, Feb 10 U.S. stocks were set for a slight decline at the open on Monday, indicating the S&P 500 would retreat after its best two-day performance in four months, ahead of new Federal Reserve Chair Janet Yellen's first testimony before lawmakers on Tuesday.* The benchmark S&P 500 rallied Friday for the index's first weekly gain in the past four, as investors looked past a disappointing payrolls report. * Despite the soft payrolls data, affected partly by frigid weather, the Federal Reserve is largely expected to continue its efforts to scale back its stimulus.* Yellen's first test as chair of the Federal Reserve comes Tuesday when she faces U.S. lawmakers, some hostile to the central bank, who will want to know how committed she is to winding down the Fed's support for the economy.* S&P 500 E-mini futures shed 3.75 points and were slightly below fair value, a formula that evaluates pricing by taking into account interest rates, dividends and time to expiration on the contract. Dow Jones industrial average futures  lost 21 points and Nasdaq 100 futures declined 1.75 points. * McDonald's Corp reported better-than-expected global sales at established restaurants for January as gains in Europe helped the company offset a sharp decline in the United States. Shares of the world's biggest restaurant chain edged down 0.2 percent to $95.70 before the opening bell.* Earnings season has moved into its latter stages, with 54 S&P 500 companies expected to report results this week.* Of 343 companies in the benchmark S&P index that have reported earnings through Friday, 67.9 percent beat Wall Street expectations, Thomson Reuters data showed, against 67 percent over the past four quarters, and ahead of the 63 percent rate since 1994. * Hasbro Inc fell 1.8 percent to $49.17 in premarket trading after the toymaker reported lower-than-expected quarterly profit on weak holiday sales in North America.* CNA Financial Corp said it would sell its life and group insurance business, while parent Loews Corp reported a bigger quarterly loss, hurt by impairment charges.* Yelp Inc jumped 8.5 percent to $97 in premarket trading after the Wall Street Journal reported on Saturday that Internet portal Yahoo was partnering with the consumer-reviews website to beef up local results in its search engine.* AutoNavi Holdings Ltd surged 27 percent to $21.01 before the opening bell after Alibaba Group  disclosed in a filing with the Securities and Exchange Commission that it had offered to buy all the shares of the Chinese digital mapping and navigation firm it does not already own.",2014-02-10,HAS,"Mon Feb 10, 2014 | 9:01am EST",US STOCKS-Wall St to dip at open after two-day rally,http://www.reuters.com//article/markets-usa-stocks-idUSL2N0LF0E120140210?type=companyNews
6,"  * Yelp climbs on deal with Yahoo* Hasbro falls after earnings* Futures off: Dow 41 pts, S&P 5.25 pts, Nasdaq 4.5 ptsBy Chuck MikolajczakNEW YORK, Feb 10 U.S. stock index futures dipped on Monday, indicating the S&P 500 would retreat after its best two-day performance in four months, ahead of new Federal Reserve Chair Janet Yellen's first testimony before lawmakers on Tuesday.* The benchmark S&P 500 rallied Friday in the index's first weekly gain in the past four, as investors looked past a disappointing payrolls report, eroded partly by frigid weather. * Despite the soft payrolls data, the Federal Reserve is largely not expected to pause its efforts to scale back its stimulus measures.* Yellen's first test as chair of the Federal Reserve comes Tuesday when she faces U.S. lawmakers, some hostile to the central bank, who will want to know how committed she is to winding down the Fed's support for the economy.* S&P 500 E-mini futures fell 5.25 points and were below fair value, a formula that evaluates pricing by taking into account interest rates, dividends and time to expiration on the contract. Dow Jones industrial average futures lost 41 points and Nasdaq 100 futures declined 4.5 points. * Earnings season has moved into its latter stages, with 56 companies expected to report results this week.* Of 343 companies in the S&P 500 that reported earnings through Friday, 67.9 percent beat Wall Street expectations, Thomson Reuters data showed, against 67 percent over the past four quarters, and ahead of the 63 percent rate since 1994. * Hasbro Inc fell 3.2 percent to $48.50 in premarket trading after the toymaker reported a lower-than-expected quarterly profit on weak holiday sales in North America.* Yelp Inc jumped 12.7 percent to $100.75 in premarket trading after the Wall Street Journal reported on Saturday that Internet portal Yahoo was partnering with the consumer-reviews website to beef up local results in its search engine.* AutoNavi Holdings Ltd surged 28.2 percent before the opening bell after Alibaba Group disclosed in a filing with the Securities and Exchange Commission that it had offered to buy all of the American Depositary Shares and outstanding shares in a going-private transaction.* European shares inched higher, led by Nokia's  gains, after settling patent claims with rival HTC and on relief that Wall Street had weathered weak U.S. jobs figures.* Most Asian markets made guarded gains in the wake of the U.S. jobs report, though there was more than enough event risk ahead to keep investors cautious.",2014-02-10,HAS,"Mon Feb 10, 2014 | 7:46am EST",US STOCKS-Futures pull back after two-day rally,http://www.reuters.com//article/markets-usa-stocks-idUSL2N0LF0CA20140210?type=companyNews
7,"  Hasbro Inc (HAS.O) reported a better-than-expected quarterly profit on strong demand for toys such as My Little Pony, that have strong tie-ins with TV shows aimed at little girls.Sales of toys aimed at girls grew 21 percent in the first quarter, while toys for boys rose just 2 percent, although the company's boys lines will likely be boosted by the upcoming release of Transformer and Spider-Man movies.Hasbro's shares rose as much as 4.2 percent to touch an all-time high of $56.91 in early trading on Monday.The growth in Hasbro's sales of toys for girls contrasts with the fading sales of Barbie dolls, which dragged rival Mattel Inc (MAT.O) to its first quarterly loss in nearly five years.Barbie, a billion-dollar brand modeled on an adult woman and her career, has fallen out of favor with girls who increasingly prefer dolls with storylines more in keeping with their age.Hasbro has tasted success with its My Little Pony franchise, including a TV series based on the equine characters with colorful bodies and manes. Accessories include teenage human versions of the ponies, plush toys, clothing and books.""With My Little Pony, Hasbro is having tremendous success because they are developing not just physical toys but also content that helps little girls understand storylines and character development,"" Piper Jaffray analyst Stephanie Wissink said.Mattel has been successful with its American Girl toy range, which comprise chubby-faced dolls portraying 8-11 year-old girls of different ethnicities. They are sold with storybooks from the viewpoint of the dolls.Sales of Hasbro's toys for girls was also helped by strong demand for a bow-and-arrow-based offshoot of its Nerf line of gun toys - the Nerf Rebelle - that cashed in on the popularity of the 'Hunger Games' movie series. The girls' toy business grew to $138.7 million in the first quarter ended March 30 and accounted for 20.4 percent of total revenue, up from 17.3 percent a year earlier.Revenue from boys' toys, the company's largest business category, inched up to $247.8 million. Revenue from both preschool toys and games, which include Monopoly and Pictionary, fell 4 percent.""We're seeing our market share in girls, particularly in dolls, grow in the U.S. and around the world and we're also seeing that growth in outdoor activities where Nerf Rebelle has scored ...,"" Hasbro Chief Executive Brian Goldner said on a post-earnings conference call.Many of Hasbro's action figures are based on partnerships with studio films, which vary in popularity each year. Demand has been weak industrywide for action figures and preschool toys, two important categories for Hasbro, as children shift their focus to mobile devices, analysts have said.However, Wissink said she expects shipments of action figures to accelerate in the second quarter with the release of the new Spider-Man movie in May and the next installment of the Transformers franchise in late June.Hasbro owns the Transformers brand and holds the toy licenses for Marvel Comics' characters, which have had a phenomenal box office run over the last few years, most recently with the success of ""Captain America: The Winter Soldier"".REVENUE MISSES  Hasbro's first-quarter revenue rose 2 percent to $679.5 million, falling short of the average analyst estimate of $690.17 million.International revenue rose 5 percent to $305.5 million, offsetting a 1 percent decline in sales in North America.Net income was $32.1 million, or 24 cents per share, compared with a net loss of $6.7 million, or 5 cents per share, a year earlier.Excluding items, the company earned 14 cents per share.Analysts on average had expected a profit of 10 cents per share, according to Thomson Reuters I/B/E/S.Hasbro shares, which have risen 18.9 percent in the 12 months to Thursday's close, were up 0.7 percent at $55.00 in afternoon trading on the Nasdaq. Mattel shares were up 1 percent at $37.85 on Monday.At Thursday's closing price, Hasbro's stock was trading at 16.67 times forward earnings. Mattel's shares were trading at a multiple of 13.75.(Reporting by Siddharth Cavale and Shailaja Sharma in Bangalore; Editing by Maju Samuel and Savio D'Souza)",2014-04-21,HAS,"Mon Apr 21, 2014 | 1:01pm EDT",Hasbro rides My Little Pony to stronger profit,http://www.reuters.com//article/us-hasbro-results-idUSBREA3K0D520140421?type=companyNews
8,"  * First-quarter adjusted earning $0.14 per share vs est. $0.10* Revenue rises 2 pct to $679.5 mln vs est. $690.17 mln* Girls toys sales up 21 pct, boy toy sales up 2 pct* Shares rise 4.2 pct to all-time high   (Adds CEO, analyst's comments, details on girls toys, updates shares)April 21 Hasbro Inc reported a better-than-expected quarterly profit on strong demand for toys such as My Little Pony, that have strong tie-ins with TV shows aimed at little girls.Sales of toys aimed at girls grew 21 percent in the first quarter, while toys for boys rose just 2 percent, although the company's boys lines will likely be boosted by the upcoming release of Transformer and Spider-Man movies.Hasbro's shares rose as much as 4.2 percent to touch an all-time high of $56.91 in early trading on Monday.The growth in Hasbro's sales of toys for girls contrasts with the fading sales of Barbie dolls, which dragged rival Mattel Inc to its first quarterly loss in nearly five years.Barbie, a billion-dollar brand modeled on an adult woman and her career, has fallen out of favor with girls who increasingly prefer dolls with storylines more in keeping with their age.Hasbro has tasted success with its My Little Pony franchise, including a TV series based on the equine characters with colorful bodies and manes. Accessories include teenage human versions of the ponies, plush toys, clothing and books. ""With My Little Pony, Hasbro is having tremendous success because they are developing not just physical toys but also content that helps little girls understand storylines and character development,"" Piper Jaffray analyst Stephanie Wissink said.Mattel has been successful with its American Girl toy range, which comprise chubby-faced dolls portraying 8-11 year-old girls of different ethnicities. They are sold with storybooks from the viewpoint of the dolls.Sales of Hasbro's toys for girls was also helped by strong demand for a bow-and-arrow-based offshoot of its Nerf line of gun toys - the Nerf Rebelle - that cashed in on the popularity of the 'Hunger Games' movie series.The girls' toy business grew to $138.7 million in the first quarter ended March 30 and accounted for 20.4 percent of total revenue, up from 17.3 percent a year earlier.Revenue from boys' toys, the company's largest business category, inched up to $247.8 million. Revenue from both preschool toys and games, which include Monopoly and Pictionary, fell 4 percent. ""We're seeing our market share in girls, particularly in dolls, grow in the U.S. and around the world and we're also seeing that growth in outdoor activities where Nerf Rebelle has scored ...,"" Hasbro Chief Executive Brian Goldner said on a post-earnings conference call.Many of Hasbro's action figures are based on partnerships with studio films, which vary in popularity each year.Demand has been weak industrywide for action figures and preschool toys, two important categories for Hasbro, as children shift their focus to mobile devices, analysts have said.However, Wissink said she expects shipments of action figures to accelerate in the second quarter with the release of the new Spider-Man movie in May and the next installment of the  Transformers franchise in late June.Hasbro owns the Transformers brand and holds the toy licenses for Marvel Comics' characters, which have had a phenomenal box office run over the last few years, most recently with the success of ""Captain America: The Winter Soldier"". REVENUE MISSES Hasbro's first-quarter revenue rose 2 percent to $679.5 million, falling short of the average analyst estimate of $690.17 million.International revenue rose 5 percent to $305.5 million, offsetting a 1 percent decline in sales in North America.Net income was $32.1 million, or 24 cents per share, compared with a net loss of $6.7 million, or 5 cents per share, a year earlier.Excluding items, the company earned 14 cents per share.Analysts on average had expected a profit of 10 cents per share, according to Thomson Reuters I/B/E/S.Hasbro shares, which have risen 18.9 percent in the 12 months to Thursday's close, were up 0.7 percent at $55.00 in afternoon trading on the Nasdaq. Mattel shares were up 1 percent at $37.85 on Monday.At Thursday's closing price, Hasbro's stock was trading at 16.67 times forward earnings. Mattel's shares were trading at a multiple of 13.75.   (Reporting by Siddharth Cavale and Shailaja Sharma in Bangalore; Editing by Maju Samuel and Savio D'Souza)",2014-04-21,HAS,"Mon Apr 21, 2014 | 1:00pm EDT",UPDATE 2-Hasbro rides My Little Pony to stronger profit,http://www.reuters.com//article/hasbro-results-idUSL3N0ND21U20140421?type=companyNews
9,"  April 21 Toymaker Hasbro Inc reported a quarterly profit, compared with a year-earlier loss, helped by strong demand for its toys for girls.The company's first-quarter revenue rose 2 percent to $679.5 million. Sales of girls' toys such as My Little Pony and Nerf Rebelle increased 21 percent.  Net income was $32.1 million, or 24 cents per share, in the quarter ended March 30, compared with a net loss of $6.7 million, or 5 cents per share, a year earlier.   (Reporting by Shailaja Sharma in Bangalore; Editing by Maju Samuel)",2014-04-21,HAS,"Mon Apr 21, 2014 | 6:50am EDT",Hasbro posts quarterly profit as demand for girls' toys rise,http://www.reuters.com//article/hasbro-results-idUSL3N0ND20Q20140421?type=companyNews
