,Article,Date,Symbol,Time,Title,Url
0,"  HCA Holdings Inc (HCA.N), the largest U.S. hospital operator, said on Tuesday that fourth-quarter earnings rose from a year ago as it generated more revenue from patients despite a decline in admissions to its facilities.U.S. hospitals have seen admissions decline during the economic downturn as people who lacked health insurance or faced higher out-of-pocket expenses avoided seeking medical care. The health reform law and its insurance exchanges are expected to benefit the industry this year by expanding insurance availability to more patients.HCA said it expects a benefit from the health reform law in 2014 of about 1 to 2 percent of its adjusted earnings before interest, tax, depreciation and amortization.In the fourth quarter, net income was $424 million, or 92 cents a share, compared with $314 million, or 68 cents a share, a year ago. Revenue increased 4.8 percent to $8.84 billion. Analysts on average had expected earnings of 86 cents a share on revenue of $8.83 billion, according to Thomson ReutersI/B/E/S.  HCA said fewer patients were admitted for pulmonary treatments and short stays in the fourth quarter compared with last year, when the flu season was more severe. But revenue per admission increased 4.6 percent. The company forecast 2014 earnings excluding special items in a range of $3.45 to $3.75 a share on revenue of $35.5 billion to $36.5 billion.HCA shares rose about 3 percent to $49.96 in early trading on the New York Stock Exchange.(Reporting by Susan Kelly in Chicago; Editing by Rosalind Russell)",2014-02-04,HCA,"Tue Feb 4, 2014 | 9:42am EST","HCA posts higher profit, sees health reform benefit",http://www.reuters.com//article/us-hca-results-idUSBREA130UQ20140204?type=companyNews
1,"  Feb 4 HCA Holdings Inc, the largest U.S. hospital operator, said on Tuesday that fourth-quarter earnings rose from a year ago as it generated more revenue from patients despite a decline in admissions to its facilities.U.S. hospitals have seen admissions decline during the economic downturn as people who lacked health insurance or faced higher out-of-pocket expenses avoided seeking medical care. The health reform law and its insurance exchanges are expected to benefit the industry this year by expanding insurance availability to more patients.HCA said it expects a benefit from the health reform law in 2014 of about 1 to 2 percent of its adjusted earnings before interest, tax, depreciation and amortization. In the fourth quarter, net income was $424 million, or 92 cents a share, compared with $314 million, or 68 cents a share, a year ago. Revenue increased 4.8 percent to $8.84 billion. Analysts on average had expected earnings of 86 cents a share on revenue of $8.83 billion, according to Thomson Reuters I/B/E/S.HCA said fewer patients were admitted for pulmonary treatments and short stays in the fourth quarter compared with last year, when the flu season was more severe. But revenue per admission increased 4.6 percent. The company forecast 2014 earnings excluding special items in a range of $3.45 to $3.75 a share on revenue of $35.5 billion to $36.5 billion.HCA shares rose about 3 percent to $49.96 in early trading on the New York Stock Exchange.",2014-02-04,HCA,"Tue Feb 4, 2014 | 9:41am EST","UPDATE 1-HCA posts higher profit, sees health reform benefit",http://www.reuters.com//article/hca-results-idUSL2N0L90NZ20140204?type=companyNews
2,"  Feb 4 HCA Holdings Inc, the largest U.S. hospital operator, on Tuesday said fourth-quarter earnings rose from a year ago as it generated more revenue from patients despite a decline in admissions to its facilities.Net income was $424 million, or 92 cents a share, compared with $314 million, or 68 cents a share, a year ago. Revenue in the fourth quarter increased 4.8 percent to $8.84 billion.  ",2014-02-04,HCA,"Tue Feb 4, 2014 | 8:56am EST","Hospital operator HCA posts higher profit, revenue",http://www.reuters.com//article/hca-results-idUSL2N0L90NI20140204?type=companyNews
3,"  (Adds AT&T, Novartis, HCA Holdings, Omnicon Group, Catalunya Banc, updates Valeant)April 22 The following bids, mergers, acquisitions and disposals were reported by 2000 GMT on Tuesday:** Canada's Valeant Pharmaceuticals International Inc  said it had partnered with activist investor Bill Ackman in an unsolicited $47 billion bid to buy Botox maker Allergan Inc in a move to eventually become one of the world's five biggest drug companies. Valeant said it had lined up $15.5 billion in debt financing from Barclays and RBC Capital Markets to fund its proposed** Omnicom Group Inc, the No. 1 U.S. advertising company, said it was unable to predict when its $35.1 billion merger with France's Publicis Groupe SA would close as the deal was yet to win some key approvals.** Novartis and GlaxoSmithKline agreed to trade more than $20 billion worth of assets on Tuesday to bolster their best businesses and exit weaker ones as the drug industry contends with healthcare spending cuts and generic competition.**  Eli Lilly and Co said it would buy Swiss drugmaker Novartis AG's animal health business for $5.4 billion in cash to strengthen and diversify its Elanco unit.**  Bailed-out Spanish lender Catalunya Banc, trying to slim down before being privatized, said on Tuesday it had sold a 1.48-billion-euro ($2 billion) package of failed loans to Asian investor Aiqon Capital. The nationalized bank, which is also in the process of trying to offload a 7-billion-euro portfolio of mortgages, did not detail the price of the deal with the debt recovery firm based in Kuala Lumpur. ** A Chinese consortium is the only bidder for a $1.16 billion project to build a 450 megawatt coal-fired power generation unit in Bosnia after Hitachi pulled out of the race, Bosnia's top power utility EPBiH said on Tuesday.** French bank Credit Agricole said it had agreed to sell its 50 percent stake in Crelan, Belgium's seventh-largest banking group, to Belgian cooperative banks. The transaction was estimated earlier this year to be worth 350-400 million euros.** AT&T Inc said Tuesday it would partner with The Chernin Group media holding company to invest $500 million in a joint venture for web-based video services, making it the latest company aiming to tap the growing consumer demand for online video. The move follows announcements by Verizon Communications , Disney and Dish Network Corp which have plans to roll out video products outside a traditional TV subscription.** A consortium of Gulf-based investors including Fajr Capital and Arab Petroleum Investment Corp have agreed to acquire Dubai-based oilfield services firm National Petroleum Services. The transaction is valued ""in excess of $500 million."" ** Chinese drugmaker Shanghai Fosun Pharmaceutical Group Co Ltd and private equity firm TPG Capital agreed to buy China-focused Chindex International Inc in a beefed-up $461 million deal after trumping a rival bid.** Japanese financial services company Orix Corp  will buy precious metal, diamond and jewelry recycler Net Japan Co from Baring Private Equity Asia for around 21 billion yen ($204.74 million), people with knowledge of the matter said on Tuesday.** Lufthansa's IT infrastructure business, which the airline is trying to sell, is drawing interest from IBM , Hewlett-Packard and France's Atos, German paper Frankfurter Allgemeine Zeitung (FAZ) reported, without citing any sources. ** Nidec Corp, a top Japanese maker of precision motors, said it would take full control of two subsidiaries through share swaps to strengthen the group amid tough global competition and weak demand in its core PC, digital camera and other markets.** Bahrain-based alternative investment fund Investcorp  said on Tuesday it had agreed to acquire U.S.-based accessories brand Totes Isotoner Corp in partnership with private equity firm Freeman Spogli & Co.** Pakistan's MCB Bank Ltd will set up a wholly owned Islamic banking subsidiary while dropping plans to take a stake in Islamic lender Burj Bank, according to a filing with the Karachi stock exchange.** A significant majority of shareholders in Chilean shipper Compania SudAmericana de Vapores lent their support to the firm's merger with Germany's Hapag-Lloyd, allowing the agreed deal to clear a hurdle.** HCA Holdings Inc is among the bidders for Australian hospital operator Healthscope Ltd, which has put itself up for sale, the Sydney Morning Herald reported on Tuesday. HCA, the largest for-profit U.S. hospital operator, is competing against Malaysia's IHH, which is being advised by JPMorgan and CIMB, and at least one other potential Asian buyer, according to the report.** The European Commission has approved Suntory Holdings'  $13.6 billion purchase of U.S. peer Beam Inc , making the Japanese company the world's third-largest spirits producer.    ($1 = 102.5700 Japanese Yen)  ($1 = 0.7244 Euros)   (Compiled by Avik Das in Bangalore)",2014-04-22,HCA,"Tue Apr 22, 2014 | 4:02pm EDT",Deals of the day- Mergers and acquisitions,http://www.reuters.com//article/deals-day-idUSL3N0NE23520140422?type=companyNews
4,"  HCA Holdings Inc (HCA.N) is among the bidders for Australian hospital operator Healthscope Ltd, which has put itself up for sale, the Sydney Morning Herald reported on Tuesday.HCA, the largest for-profit U.S. hospital operator, is competing against Malaysia's IHH, which is being advised by JPMorgan and CIMB, and at least one other potential Asian buyer, according to the report.Healthscope is seeking bids by the end of April or early May, the paper said. The company is considering three options for a sale process to cash in on current strong demand for quality healthcare assets, Healthscope managing director Rob Cooke told Reuters in January. He identified those as an initial public offering, trade buyer or property trust. Healthscope owns 44 private hospitals in Australia and pathology operations in Australia, Singapore, Malaysia and New Zealand. Private equity firm TPG and the Carlyle Group (CG.O), which beat KKR in 2010 in bidding for Healthscope, each own 50 percent of the company. (Reporting by Susan Kelly in Chicago; Editing by Tom Brown)",2014-04-22,HCA,"Tue Apr 22, 2014 | 1:44pm EDT",HCA among bidders for Australia's Healthscope: report,http://www.reuters.com//article/us-healthscope-hca-idUSBREA3L1CA20140422?type=companyNews
5,"  April 22 HCA Holdings Inc is among the bidders for Australian hospital operator Healthscope Ltd, which has put itself up for sale, the Sydney Morning Herald reported on Tuesday.HCA, the largest for-profit U.S. hospital operator, is competing against Malaysia's IHH, which is being advised by JPMorgan and CIMB, and at least one other potential Asian buyer, according to the report. Healthscope is seeking bids by the end or April or early May, the paper said. The company is considering three options for a sale process to cash in on current strong demand for quality healthcare assets, Healthscope managing director Rob Cooke told Reuters in January. He identified those as an initial public offering, trade buyer or property trust. Healthscope owns 44 private hospitals in Australia and pathology operations in Australia, Singapore, Malaysia and New Zealand. Private equity firm TPG and the Carlyle Group, which beat KKR in 2010 in bidding for Healthscope, each own 50 percent of the company.   (Reporting by Susan Kelly in Chicago; Editing by Tom Brown)",2014-04-22,HCA,"Tue Apr 22, 2014 | 1:43pm EDT",HCA among bidders for Australia's Healthscope: report,http://www.reuters.com//article/healthscope-hca-idUSL2N0NE19O20140422?type=companyNews
6,"  (Adds company comments on reform from conference call, updates share movement)By Susan KellyApril 29 HCA Holdings Inc on Tuesday reported quarterly earnings just shy of analysts' expectations, and its top executive said the U.S. hospital chain had not yet benefited from President Barack Obama's healthcare reform law.Shares of HCA fell 3.8 percent to $50.61 in midday trading.""As expected, healthcare reform had minimal impact on the company's first-quarter results,"" Chief Executive Officer R. Milton Johnson said. ""However, we remain optimistic regarding the potential long-term benefits.""Hospital stocks, including HCA, got a boost last week after smaller U.S. chain LifePoint Hospitals Inc said participation in private insurance marketplaces and expanded Medicaid services for the poor were exceeding its expectations.HCA, the largest U.S. for-profit hospital operator, said     first-quarter net income rose to $347 million, or 76 cents a share, from $344 million, or 74 cents a share, a year earlier.Excluding one-time costs for legal claims and the early retirement of debt as well as the impact of facilities sales, the company earned 84 cents a share. Analysts on average had expected 85 cents, according to Thomson Reuters I/B/E/S. Revenue increased 4.6 percent to $8.83 billion.The company affirmed the 2014 outlook it gave in February for earnings of $3.45 to $3.75 a share, excluding special items, on revenue of $35.5 billion to $36.5 billion.HCA continued its track record of generally stronger patient volume trends than its peers, said CRT Capital Research analyst Sheryl Skolnick. The company said it had generated more revenue from patients even as it admitted fewer people to its facilities. Hospitals are expected to gain a clearer picture of health reform's impact on patient volumes in the second half of the year.HCA is not expected to benefit as much as some of its competitors from the expansion of Medicaid because it has fewer hospitals in states that opted to expand their participation in the federal program for the poor.REFORM DETAILS  HCA hospitals during the quarter admitted 1,700 patients who were insured through the exchanges, or less than 1 percent of a base of 440,000 total admissions, company officials said on a conference call.Half of those patients had previously visited HCA hospitals. Of that group, one-third enrolled in an exchange program after being uninsured.Patients insured through the exchanges grew as the quarter progressed, with admissions of those customers doubling in March from February.""We saw encouraging signs from healthcare reform during the quarter and found them to be consistent with our expectations,"" Johnson said on the call.The company said admissions to facilities it had operated for at least one year declined 0.6 percent in the quarter from a year earlier, but revenue per equivalent admission rose 3.7 percent.Admissions fell at U.S. hospitals during the economic downturn as people who lacked health insurance or faced higher out-of-pocket expenses avoided seeking medical care. The health reform law and its exchanges are expected to benefit the industry this year by expanding insurance availability to more patients.   (Reporting by Susan Kelly in Chicago; Editing by Meredith Mazzilli)",2014-04-29,HCA,"Tue Apr 29, 2014 | 12:13pm EDT",UPDATE 3-HCA sees 'encouraging signs' but no health reform benefit yet,http://www.reuters.com//article/hca-holdings-results-idUSL2N0NL0NQ20140429?type=companyNews
7,"  April 29 HCA Holdings Inc, the largest U.S. hospital operator, said on Tuesday that first-quarter earnings rose from a year ago as it generated more revenue from patients even as it admitted fewer people to its facilities.First-quarter net income was $347 million, or 76 cents a share, compared with $344 million, or 74 cents a share, a year ago. Revenue increased 4.6 percent to $8.83 billion.  HCA said it reaffirmed the 2014 outlook it gave in February for earnings excluding special items in a range of $3.45 to $3.75 a share on revenue of $35.5 billion to $36.5 billion.   (Reporting by Susan Kelly in Chicago) ",2014-04-29,HCA,"Tue Apr 29, 2014 | 8:58am EDT",Hospital operator HCA earnings rise; maintains outlook,http://www.reuters.com//article/hca-holdings-results-idUSL2N0NL01B20140429?type=companyNews
8,"  CHICAGO, July 29 HCA Holdings Inc :  * Predicts health reform will now contribute 2-3 percent of 2014 adjusted EBITDAgrowth  * Says patient volumes from insurance exchanges, Medicaid continued to grow in  second quarter  * Says Medicaid admissions up 32 percent for the year to date  * Says about 40 percent of volume from exchanges was newly insured patients  * Says sees solid growth in orthopedics, cardiovascular, neuroscience services ",2014-07-29,HCA,"Tue Jul 29, 2014 | 10:55am EDT",BRIEF-Hospital operator HCA sees greater impact from health reform,http://www.reuters.com//article/hca-brief-idUSWEN00DQN20140729?type=companyNews
9,"   By Jonathan Stempel  HCA Holdings Inc, one of the largest U.S. hospital chains, must face a shareholder class-action lawsuit accusing it of concealing revenue declines and its routine performance of unnecessary cardiac procedures prior to its $4.35 billion initial public offering in March 2011.U.S. District Judge Kevin Sharp in Nashville, Tennessee, rejected HCA's claim that the plaintiffs had missed ""multiple opportunities"" to learn more about the company before buying their shares, including from media reports, conference calls, and disclosures during the IPO road show.Class certification can make it easier to pursue larger recoveries at lower cost than through individual lawsuits. Sharp's decision is dated Monday.Shareholders alleged that HCA, its directors, its former private equity owners and its investment banks concealed how the company was seeing adverse trends in Medicare revenue including cardiology, and Medicaid revenue per admission; and accounted improperly for a 2006 reorganization and a 2010 restructuring.They said that by the time HCA was sued on Oct. 28, 2011, after additional disclosures, HCA's share price had fallen as much as 43 percent from its $30 IPO price. ""Given defendants' alleged violation of the federal securities law and its impact on a large number of geographically dispersed investor(s), a class action is the superior vehicle for adjudication of the claims,"" Sharp wrote. ""The alternative would be to have (potentially) thousands of individual actions, which is likely impractical for most investors, and which would risk burdening the judicial system.""The class includes shareholders from the March 9, 2011 IPO to Oct. 28, 2011. Sharp did not address the lawsuit's merits. The lead plaintiff is the New England Teamsters & Tracking Industry Pension Fund of Burlington, Massachusetts. Ed Fishbough, an HCA spokesman, said the Nashville-based company will continue defending vigorously against the claims, and may appeal the class certification to a higher court.The IPO had been the largest by a company owned by private equity firms. HCA had been taken private in 2006 by a group led by Bain Capital, Kohlberg Kravis Roberts and Merrill Lynch's private equity arm.""We're quite happy with the decision,"" said Scott Saham, a partner at Robbins Geller Rudman & Dowd representing the lead plaintiff. ""It is a very important case, at its center focusing on a for-profit hospital company that was using unnecessary procedures to bolster earnings and revenue."" HCA's share price has quadrupled from its low, closing Tuesday down 55 cents at $72.08. Its market value now exceeds $30 billion.The case is Schuh et al v. HCA Holdings Inc et al, U.S. District Court, Middle District of Tennessee, No. 11-01033.     (Reporting by Jonathan Stempel in New York; Editing by Lisa Shumaker)",2014-09-23,HCA,"Tue Sep 23, 2014 | 6:33pm EDT",U.S. hospital chain HCA must face class action over 2011 IPO,http://www.reuters.com//article/us-hca-holdings-classaction-idUSKCN0HI2LA20140923?type=companyNews
