,Article,Date,Symbol,Time,Title,Url
0,"  (The following statement was released by the rating agency) NEW YORK, April 07 (Fitch) Fitch Ratings has affirmed the ratings of HCP, Inc.  (NYSE: HCP) as follows:  --Long-term IDR at 'BBB+'; --Unsecured bank credit facility at 'BBB+';  --Unsecured term loan at 'BBB+'; --Senior unsecured notes at 'BBB+'. The Rating Outlook is Stable. KEY RATING DRIVERS The ratings reflect HCP's credit strengths, namely: the steady and predictable  cash flows from a large portfolio of healthcare properties, maintenance of  leverage and fixed-charge coverage metrics appropriate for the rating category,  manageable lease expiration and debt maturity schedules, financial flexibility  stemming from a large unencumbered pool, and a solid liquidity position.   Credit concerns include: operator concentration, which will increase further pro  forma for the pending merger between Brookdale Senior Living and Emeritus  Corporation, persistently low coverage metrics for HCP's largest tenant (HCR  ManorCare), and the impact of government and regulatory actions on operators'  profitability. HCP's commitment to existing conservative business and financing  strategies mitigates the abrupt change in senior leadership (the termination in  4Q13 of Jay Flaherty who had been CEO since 2003).  DURABLE CASHFLOWS HCP's same-store property performance has been strong over the past five years  and is one of the largest factors behind the rating, with same property net  operating income (NOI) increasing between 3.1% and 4.8% annually from 2009-2013.  Same-property NOI increased 3.1% for 2013 as compared to 4.2%, 4% and 4.8% for  2012, 2011 and 2010, respectively. The strong fundamentals result from the lease  structures (generally triple-net with contractual increases) as well as HCP's  active management. Fitch estimates same-property NOI growth to remain within the  historical 2%-4% range through 2015 despite the regulatory-based headwinds some  operators are facing. Unlike many other rated healthcare REITs, HCP has an  insignificant amount of RIDEA exposure, thereby increasing the durability of  cash flows.  HCP's lease maturity schedule is well-staggered and long-dated as a result of  the high percentage of long-term triple net leases. Less than 10% of annual base  rent revenues expires in any one year. Limited lease expirations coupled with  contractual rental bumps increase the predictability of future rental revenues,  absent tenant bankruptcies and are credit strengths for HCP. STRONG CREDIT METRICS HCP's fixed-charge coverage was 3.5x for 2013 as compared to 3.1x and 2.7x in  2012 and 2011, respectively. Fitch projects fixed-charge coverage will improve  further above 4.0x over the next 12-to-36 months driven by same-store NOI  growth, earnings contributions from recent acquisitions and reduced fixed  charges. Fitch defines fixed-charge coverage as recurring operating EBITDA less  recurring capital expenditures less straight-line rent adjustments and direct  financing lease accretion, divided by total interest incurred.  HCP's leverage was 5.2x and 5.0x for year and quarter ended Dec. 31, 2013,  respectively which is within a range that is appropriate for a 'BBB+' IDR.  Leverage was 5.4x and 5.3x as of Dec. 31, 2012 and 2011, respectively, pro forma  for material acquisitions. Fitch projects HCP's leverage will decline towards  4.5x by 2016. That said, Fitch notes that HCP's propensity for large  transactions may cause fluctuations in reported metrics. Fitch defines leverage  as net debt divided by recurring operating EBITDA.  STRONG LIQUIDITY & ACCESS TO CAPITAL HCP has repaid the majority of its 2014 maturities pro forma for the $350  million 4.2% senior unsecured bond issuance in 1Q'14 and has only 9.7% of total  debt maturing through 2015. The company's debt maturity schedule is  appropriately-staggered thereafter, with less than 17% of debt maturing in any  one year. The largest year for debt maturities is 2016; however, HCP maintains  options to extend the maturity of the term loan by one year. This reduces  potential maturities in 2016 to 14% of total debt outstanding. As such, HCP  maintains a strong liquidity position.  Sources of liquidity (unrestricted cash, availability under the company's  unsecured revolving credit facility pro forma for the recent extension and  amendment to $2 billion and expected retained cash flows from operating  activities after dividends and distributions) divided by uses of liquidity (pro  rata debt maturities adjusted for recent repayments, development expenditures  and estimated recurring capital expenditures) for the period Jan. 1, 2014 to  Dec. 31, 2015 results in a liquidity coverage ratio of 2.4x. HCP has also  demonstrated strong access to a wide variety of capital sources over the past  two years, mitigating refinance risk.  HCP maintains solid financial flexibility stemming mainly from its large  unencumbered property pool, which serves as a source of contingent liquidity.  Using a stressed capitalization rate range of 8%-10%, HCP's unencumbered asset  coverage of net unsecured debt was approximately 2.0x-2.4x, which is appropriate  for the 'BBB+' IDR.  Further, HCP's distributions do not restrict financial flexibility. Fitch  calculates that the company's common stock dividends represented only 83% and  90% of 2013 and 2012, respectively, funds from operations adjusted to account  for capital expenditures, straight-line rents and non-cash income  (company-reported funds available for distribution). CONCENTRATED PORTFOLIO & PERSISTENTLY LOW COVERAGE AT HCR Credit concerns include the potential impact of government fiscal imbalance and  regulatory risk on operators' profitability and operator and geographic  concentration. Rent from HCR ManorCare represents 29% of HCP's revenues. This  tenant continues to have coverage ratios below 1.0x facility EBITDAR and 1.2x  guarantor fixed-charge coverage for the trailing 12 months ended Dec. 31, 2013  which is a credit concern. Sustained and material improvements in HCR  ManorCare's profitability may support positive ratings momentum if reflective of  a generally improving and lower risk operating environment. Partially offsetting  this concentration is the master lease structure and covenants to provide  protection to HCP at the guarantor level.  Furthermore, HCP's tenant mix will become more concentrated upon the completion  of the merger between Emeritus Corporation and Brookdale Senior Living  (currently HCP's second and third largest tenants, respectively). The combined  company will comprise 21% of revenues and result in the two largest tenants (HCR  and Brookdale/Emeritus) comprising approximately 50% of revenues. The risks  associated with a concentrated tenant mix are two-fold: 1) the effects of a  potential default are greater and 2) tenants may have significant leverage when  negotiating lease renewals given the pooling of assets into master leases. Fitch  notes the merger has no immediate impact on HCP's credit ratings given its  exposure to the underlying property cash flows is unchanged but notes the  longer-term increase in risk.   Lastly, HCP's portfolio remains geographically concentrated, despite the company  maintaining a diversified investment platform. As of Dec. 31, 2013,  approximately 31% of HCP's consolidated net operating income from wholly owned  assets was generated from properties located in California and Texas (though  this is down from 47% as of Dec. 31, 2010). STABLE OUTLOOK The Stable Outlook is driven by Fitch's expectations that HCP will maintain its  long-standing conservative business and financing strategies and metrics will  remain appropriate for the rating over the next 12-to-24 months. RATING SENSITIVITIES The following factors may result in positive momentum on the rating and/or  Outlook: --A sustained and material improvement in coverage for skilled  nursing/post-acute operators in whole and in part; --Reduced tenant concentration; --Fitch's expectation of fixed-charge coverage sustaining above 3.0x for several  consecutive quarters (coverage was 3.5x for the TTM ended Dec. 31, 2013); --Fitch's expectation of leverage sustaining below 4.5x (leverage was 5.2x at  Dec. 31, 2013). The following factors may have a negative impact on the ratings or Outlook: --A sustained and material weakening in coverage for skilled nursing/post-acute  operators in whole and in part; --Fitch's expectation of leverage sustaining above 6.0x; --Fitch's expectation of fixed-charge coverage sustaining below 2.5x; --A liquidity shortfall. Contact: Primary Analyst Britton Costa Director +1-212-908-0524 Fitch Ratings, Inc., 33 Whitehall Street, New York, NY 10004 Secondary Analyst Steven Marks Managing Director +1-212-908-9161 Committee Chairperson Daniel Chambers Managing Director +1-212-908-0782 Media Relations: Sandro Scenga, New York, Tel: +1 212-908-0278, Email:  sandro.scenga@fitchratings.com. Additional information is available at 'www.fitchratings.com'. Applicable Criteria and Related Research: --'Rating U.S. Equity REITs and REOCs: Sector Credit Factors' (Feb. 26, 2014); --'Recovery Ratings and Notching Criteria for Equity REITs' (Nov. 19, 2013); --'Corporate Rating Methodology: Including Short-Term Ratings and Subsidiary  Linkage' (Aug. 5, 2013). Applicable Criteria and Related Research:  Criteria for Rating U.S. Equity REITs and REOCs here Recovery Ratings and Notching Criteria for Equity REITs here Corporate Rating Methodology: Including Short-Term Ratings and Parent and  Subsidiary Linkage here Additional Disclosure  Solicitation Status  here ALL FITCH CREDIT RATINGS ARE SUBJECT TO CERTAIN LIMITATIONS AND DISCLAIMERS.  PLEASE READ THESE LIMITATIONS AND DISCLAIMERS BY FOLLOWING THIS LINK:  here. IN ADDITION, RATING  DEFINITIONS AND THE TERMS OF USE OF SUCH RATINGS ARE AVAILABLE ON THE AGENCY'S  PUBLIC WEBSITE 'WWW.FITCHRATINGS.COM'. PUBLISHED RATINGS, CRITERIA AND  METHODOLOGIES ARE AVAILABLE FROM THIS SITE AT ALL TIMES. FITCH'S CODE OF  CONDUCT, CONFIDENTIALITY, CONFLICTS OF INTEREST, AFFILIATE FIREWALL, COMPLIANCE  AND OTHER RELEVANT POLICIES AND PROCEDURES ARE ALSO AVAILABLE FROM THE 'CODE OF  CONDUCT' SECTION OF THIS SITE. FITCH MAY HAVE PROVIDED ANOTHER PERMISSIBLE  SERVICE TO THE RATED ENTITY OR ITS RELATED THIRD PARTIES. DETAILS OF THIS  SERVICE FOR RATINGS FOR WHICH THE LEAD ANALYST IS BASED IN AN EU-REGISTERED  ENTITY CAN BE FOUND ON THE ENTITY SUMMARY PAGE FOR THIS ISSUER ON THE FITCH  WEBSITE.   ",2014-04-07,HCP,"Mon Apr 7, 2014 | 5:00pm EDT",Fitch Affirms HCP's IDR at 'BBB+'; Outlook Stable,http://www.reuters.com//article/fitch-affirms-hcps-idr-at-bbb-outlook-st-idUSFit69649420140407?type=companyNews
1,"  (The following statement was released by the rating agency) NEW YORK, January 15 (Fitch) Fitch Ratings has assigned a 'BBB+' rating to the  $600 million aggregate principal amount of 3.40% senior unsecured notes due 2025  and the GBP220 million unsecured term loan due 2019 issued by HCP, Inc. (NYSE:  HCP). The 2025 notes were issued at 99.185% of par value to yield 3.497% or 160  basis points (bps) over the benchmark rate. The term loan bears interest at GBP  LIBOR plus 97.5 bps and HCP entered into a three-year interest rate swap  agreement that effectively fixes the rate at 1.79%. The combined proceeds will  be used to repay amounts outstanding under the revolving credit facility related  to the funding of a portion of a GBP395 million debt investment in the United  Kingdom, repay senior unsecured notes due later in 2015, and for general  corporate purposes.  Fitch currently rates HCP as follows: --Long-term Issuer Default Rate (IDR) 'BBB+'; --Unsecured bank credit facility 'BBB+';  --Unsecured term loans 'BBB+'; --Senior unsecured notes 'BBB+'. The Rating Outlook is Stable. KEY RATING DRIVERS The ratings reflect HCP's credit strengths, namely: the steady and predictable  cash flows from a large portfolio of healthcare properties, maintenance of  leverage and fixed-charge coverage metrics appropriate for the rating category,  manageable lease and debt maturity schedules, financial flexibility stemming  from a large unencumbered pool, and appropriate liquidity. Credit concerns  include: operator concentration and the persistently low coverage metrics for  HCP's largest tenant (HCR ManorCare), and the impact of government and  regulatory actions on operators' profitability. DURABLE CASHFLOWS HCP's same-store property performance has been strong over the past seven years  and is one of the largest factors behind the rating, with same-property net  operating income (SSNOI) increasing between 1.6% and 4.8% annually and 3.2% YTD  through 3Q'14. The strong fundamentals result from the lease structures  (generally triple-net with contractual increases) as well as HCP's active  management. Fitch estimates same-property NOI growth to remain within the  historical 2%-4% range through 2015. Unlike many other rated healthcare REITs, HCP has traditionally had an  insignificant amount of RIDEA exposure, thereby increasing the durability and  predictability of cash flows. However, Fitch estimates HCP's RIDEA exposure will  increase to approximately 9% of NOI from 3.3% pro forma for the Brookdale  transaction. HCP's revenue maturity schedule is well-staggered and long-dated as a result of  the high percentage of long-term triple-net leases. Less than 9.2% of annual  base rent and interest revenues expire in any one year. Limited lease  expirations coupled with contractual rental bumps increase the predictability of  future rental revenues, absent tenant bankruptcies or a lease restructuring with  HCR ManorCare, and are credit strengths for HCP. The company had been consistent  on past earnings calls that HCR had the capacity to honor its lease, and HCP  would not amend it without growth opportunities similar to those received in the  Brookdale/Emeritus lease amendment. However, Fitch notes that the Dec. 22, 2014  SEC filing describing a 4Q'14 impairment charge by HCP on its equity investment  in HCR signifies that a material improvement in operating fundamentals is less  likely. The filing speaks only to HCR's capacity to honor the lease for 2015.  STRONG CREDIT METRICS HCP's fixed-charge coverage was 3.7x for the trailing 12 months (TTM) ended  Sept. 30, 2014 as compared to 3.5x and 3.1x in 2013 and 2012, respectively.  Fitch projects fixed-charge coverage will improve further, surpassing 4x over  the next 12-to-24 months driven by SSNOI growth, earnings contributions from  recent acquisitions and reduced fixed charges. Fitch defines fixed-charge  coverage as recurring operating EBITDA less recurring capital expenditures less  straight-line rent adjustments and direct financing lease accretion, divided by  total interest incurred. HCP's leverage was 5.4x as of Sept. 30, 2014 which, is appropriate for a 'BBB+'  IDR. Leverage was 5.2x and 5.5x as of Dec. 31, 2013 and 2012, pro forma for  material acquisitions. Fitch projects HCP's leverage will decline toward 4.5x by  2016. That said, Fitch notes that HCP's propensity for large transactions may  cause fluctuations in reported metrics. Fitch defines leverage as net debt  divided by TTM recurring operating EBITDA. STRONG LIQUIDITY & ACCESS TO CAPITAL HCP has prefunded all of its 2015 unsecured maturities and its debt maturities  are appropriately staggered thereafter. Liquidity coverage is strong at 1.2x for  the period Oct. 1, 2014 through Dec. 31, 2016. Fitch calculates liquidity  coverage as sources of liquidity (unrestricted cash, availability under the  company's unsecured revolving credit facility, expected retained cash flows from  operating activities after dividends and distributions and pro forma adjustments  for the bond issuance) divided by uses of liquidity (pro rata debt maturities,  development expenditures, net cash payments for the Formation Capital  transaction and estimated recurring capital expenditures). HCP has also  demonstrated strong access to a wide variety of capital sources over the past  two years, mitigating refinance risk. HCP maintains solid financial flexibility stemming mainly from its large  unencumbered property pool, which serves as a source of contingent liquidity.  Using a stressed capitalization rate range of 8%-10%, HCP's unencumbered asset  coverage of net unsecured debt was approximately 2x-2.4x. CONCENTRATED PORTFOLIO & PERSISTENTLY LOW COVERAGE AT HCR Credit concerns include the potential impact of government fiscal imbalance and  regulatory risk on operators' profitability and operator and geographic  concentration. Rent from HCR ManorCare represents 29% of HCP's revenues. This  tenant continues to have coverage ratios below 1x facility EBITDAR (nine  consecutive quarters of TTM coverage at or below 1x) and 1.1x guarantor  fixed-charge coverage for the TTM ended June 30, 2014, which is a credit  concern. Sustained and material improvements in HCR ManorCare's profitability  may support positive ratings momentum if reflecting a generally improving and  lower-risk operating environment. Partially offsetting this concentration and  low coverage ratios are the master lease structure and covenants to provide  protection to HCP at the guarantor level. Furthermore, HCP's tenant mix has become more concentrated since the completion  of the merger between Emeritus Corporation and Brookdale Senior Living  (previously HCP's second- and third-largest tenants, respectively). The combined  company now makes up 19% of revenues and results in the two largest tenants (HCR  and Brookdale/Emeritus) comprising approximately 48% of revenues. The risks  associated with a concentrated tenant mix are two-fold: the effects of a  potential lease amendment or default are greater, and tenants may have  significant leverage when negotiating lease renewals given the pooling of assets  into master leases. Fitch notes the merger had no immediate impact on HCP's  credit ratings given that its exposure to the underlying property cash flows is  unchanged but notes the longer-term increase in risk. STABLE OUTLOOK The Stable Outlook is driven by Fitch's expectations that HCP will maintain its  long-standing conservative business and financing strategies and metrics will  remain appropriate for the rating over the next 12-to-24 months. The following factors may result in positive momentum in the rating and/or  Outlook: --A sustained and material improvement in coverage for skilled  nursing/post-acute operators in whole and in part; --Reduced tenant concentration; --Fitch's expectation of fixed-charge coverage sustaining above 3x for several  consecutive quarters (coverage was 3.7x for the TTM ended Sept. 30, 2014); --Fitch's expectation of leverage sustaining below 4.5x (leverage was 5.4x at  Sept. 30, 2014). The following factors may have a negative impact on the ratings or Outlook: --A sustained and material weakening in coverage for skilled nursing/post-acute  operators in whole and in part; --Fitch's expectation of leverage sustaining above 6x; --Fitch's expectation of fixed-charge coverage sustaining below 2.5x; --A liquidity shortfall. Contact:  Primary Analyst Britton Costa, CFA Director +1-212-908-0524 Fitch Ratings, Inc. 33 Whitehall St.  New York, NY 10004 Secondary Analyst Boris Alishayev Associate Director +1-212-612-7880 Committee Chairperson Michael Weaver Managing Director +1-312-368-3156 Media Relations: Brian Bertsch, New York, Tel: +1 212-908-0549, Email:  brian.bertsch@fitchratings.com. Additional information is available at 'www.fitchratings.com'. Applicable Criteria and Related Research: --'U.S. Healthcare REIT Dashboard: 3Q14' (Jan. 15, 2015); --'Recovery Ratings and Notching Criteria for REITs' (Nov. 18, 2014); --'Corporate Rating Methodology' (May 28, 2014); --'HCP's Deal with Brookdale Swaps Reinvestment for Operating Risk; Ratings  Unaffected' (May 1, 2014); --'Rating U.S. Equity REITs and REOCs: Sector Credit Factors, (Feb. 26, 2014). Applicable Criteria and Related Research:  Corporate Rating Methodology - Including Short-Term Ratings and Parent and  Subsidiary Linkage here Recovery Ratings and Notching Criteria for Equity REITs here U.S. Healthcare REIT Dashboard: 3Q14  here Additional Disclosure  Solicitation Status  here ALL FITCH CREDIT RATINGS ARE SUBJECT TO CERTAIN LIMITATIONS AND DISCLAIMERS.  PLEASE READ THESE LIMITATIONS AND DISCLAIMERS BY FOLLOWING THIS LINK:  here. IN ADDITION, RATING  DEFINITIONS AND THE TERMS OF USE OF SUCH RATINGS ARE AVAILABLE ON THE AGENCY'S  PUBLIC WEBSITE 'WWW.FITCHRATINGS.COM'. PUBLISHED RATINGS, CRITERIA AND  METHODOLOGIES ARE AVAILABLE FROM THIS SITE AT ALL TIMES. FITCH'S CODE OF  CONDUCT, CONFIDENTIALITY, CONFLICTS OF INTEREST, AFFILIATE FIREWALL, COMPLIANCE  AND OTHER RELEVANT POLICIES AND PROCEDURES ARE ALSO AVAILABLE FROM THE 'CODE OF  CONDUCT' SECTION OF THIS SITE. FITCH MAY HAVE PROVIDED ANOTHER PERMISSIBLE  SERVICE TO THE RATED ENTITY OR ITS RELATED THIRD PARTIES. DETAILS OF THIS  SERVICE FOR RATINGS FOR WHICH THE LEAD ANALYST IS BASED IN AN EU-REGISTERED  ENTITY CAN BE FOUND ON THE ENTITY SUMMARY PAGE FOR THIS ISSUER ON THE FITCH  WEBSITE.   ",2015-01-15,HCP,"Thu Jan 15, 2015 | 1:06pm EST",Fitch Rates HCP's Sr Unsecured Notes Due 2025 and GBP Term Loan 'BBB+',http://www.reuters.com//article/idUSFit90028020150115?type=companyNews
2,"   By Vidya L Nathan  Healthcare real estate investment trust HCP Inc  said the U.S. Department of Justice had filed a lawsuit against one of its clients over the company's billing practices.The lawsuit against HCR ManorCare Inc, which operates and manages healthcare facilities owned by HCP, alleges that the operator billed Medicare for services that were not ""medically reasonable and necessary"".""The government's allegations are based on an after-the-fact review of fewer than 200 patient charts, some dating back nine years, which is a tiny fraction of ... patients cared for in our skilled nursing facilities during that time,"" HCR ManorCare told Reuters. Calling the lawsuit a ""billing dispute"", HCR said it would defend itself in court.The lawsuit named HCP as one of the defendants, the company said in a regulatory filing on Tuesday. The case against HCR is one of several brought in the past few years against skilled nursing facility operators alleging provision of unnecessary rehabilitation therapy.HCR, one of the biggest healthcare facility operators in the United States, is majority owned by Carlyle Group LP. The DoJ lawsuit, which also includes HCR's units, stems from a whistleblower suit.The DoJ chose to intervene in the complaint against HCR, but not concerning HCP, the REIT said. (1.usa.gov/1DJfnAj)HCP's shares fell about 1 percent to $42.77 in midday trading on the New York Stock Exchange.",2015-04-21,HCP,"Tue Apr 21, 2015 | 1:48pm EDT",HCP says DoJ to sue client over billing practices,http://www.reuters.com//article/hcp-lawsuit-doj-idUSL1N0XI1G820150421?type=companyNews
3,"  Healthcare real estate investment trust HCP Inc said the U.S. Department of Justice had filed a lawsuit against one of its clients over the company's billing practices.The lawsuit against HCR ManorCare Inc, which operates and manages healthcare facilities owned by HCP, alleges that the operator billed Medicare for services that were not ""medically reasonable and necessary"".""The government’s allegations are based on an after-the-fact review of fewer than 200 patient charts, some dating back nine years, which is a tiny fraction of ... patients cared for in our skilled nursing facilities during that time,"" HCR ManorCare told Reuters.Calling the lawsuit a ""billing dispute"", HCR said it would defend itself in court.The lawsuit named HCP as one of the defendants, the company said in a regulatory filing on Tuesday.  The case against HCR is one of several brought in the past few years against skilled nursing facility operators alleging provision of unnecessary rehabilitation therapy.HCR, one of the biggest healthcare facility operators in the United States, is majority owned by Carlyle Group LP. The DoJ lawsuit, which also includes HCR's units, stems from a whistleblower suit.The DoJ chose to intervene in the complaint against HCR, but not concerning HCP, the REIT said. (1.usa.gov/1DJfnAj) HCP's shares fell about 1 percent to $42.77 in midday trading on the New York Stock Exchange. (Reporting by Vidya L Nathan in Bengaluru; Editing by Sriraj Kalluvila)",2015-04-21,HCP,"Tue Apr 21, 2015 | 1:38pm EDT",HCP says DoJ to sue client over billing practices,http://www.reuters.com//article/us-hcp-lawsuit-doj-idUSKBN0NC20O20150421?type=companyNews
4,"  (Adds HCR ManorCare response)April 21 Healthcare real estate investment trust HCP Inc said the U.S. Department of Justice had filed a lawsuit against one of its clients over the company's billing practices.The lawsuit against HCR ManorCare Inc, which operates and manages healthcare facilities owned by HCP, alleges that the operator billed Medicare for services that were not ""medically reasonable and necessary"".""The government's allegations are based on an after-the-fact review of fewer than 200 patient charts, some dating back nine years, which is a tiny fraction of ... patients cared for in our skilled nursing facilities during that time,"" HCR ManorCare told Reuters. Calling the lawsuit a ""billing dispute"", HCR said it would defend itself in court.The lawsuit named HCP as one of the defendants, the company said in a regulatory filing on Tuesday. The case against HCR is one of several brought in the past few years against skilled nursing facility operators alleging provision of unnecessary rehabilitation therapy.HCR, one of the biggest healthcare facility operators in the United States, is majority owned by Carlyle Group LP. The DoJ lawsuit, which also includes HCR's units, stems from a whistleblower suit.The DoJ chose to intervene in the complaint against HCR, but not concerning HCP, the REIT said. (1.usa.gov/1DJfnAj)HCP's shares fell about 1 percent to $42.77 in midday trading on the New York Stock Exchange.   (Reporting by Vidya L Nathan in Bengaluru; Editing by Sriraj Kalluvila)",2015-04-21,HCP,"Tue Apr 21, 2015 | 1:37pm EDT",UPDATE 1-HCP says DoJ to sue client over billing practices,http://www.reuters.com//article/hcp-lawsuit-doj-idUSL4N0XI5JF20150421?type=companyNews
5,"  April 21 Healthcare real estate investment trust HCP Inc said the U.S. Department of Justice filed a lawsuit against one of its clients over the company's billing practices.The lawsuit against HCR ManorCare Inc, which operates and manages healthcare facilities owned by HCP, alleges that the operator billed Medicare for services that were not medically reasonable and necessary.The lawsuit named HCP as one of the defendants, the company said in a regulatory filing on Tuesday.The case against HCR is one of several brought in the past few years against skilled nursing facility operators alleging provision of unnecessary rehabilitation therapy. HCR, one of the biggest healthcare facility operators in the United States, is majority owned by Carlyle Group LP.The Carlyle Group was not immediately available for comment. The DoJ lawsuit, which also includes HCR's units, stems from a whistleblower suit against HCR. The DoJ chose to intervene in the complaint against HCR, but not concerning HCP, the REIT said. (1.usa.gov/1DJfnAj)HCP's shares fell about 1 percent to $42.77 in mid-day trading on the New York Stock Exchange.(Reporting by Vidya L Nathan in Bengaluru; Editing by Sriraj Kalluvila)",2015-04-21,HCP,"Tue Apr 21, 2015 | 1:09pm EDT",HCP says DoJ to sue client over billing practices,http://www.reuters.com//article/hcp-lawsuit-doj-idUSL4N0XI5GL20150421?type=companyNews
6,  March 17 Hcp Inc * Says CEO Lauralee Martin's FY 2015 total compensation $6.9 million versus $12.4 million in FY 2014 - sec filing  Source text: 1.usa.gov/1pOSRDZ Further company coverage:  ,2016-03-17,HCP,"Thu Mar 17, 2016 | 5:46pm EDT",BRIEF-HCP says CEO's 2015 total compensation was $6.9 million,http://www.reuters.com//article/idUSFWN16P0GZ?type=companyNews
7,"  March 28 Hcp Inc* Hcp announces cfo transition; mr. Schoen will leave to become president of biomed realty* Says spencer stuart retained to lead search for new cfo * Says schoen will remain in his current role at hcp through may 22 to oversee reporting of q1 earnings * Says timothy schoen , executive vice president and chief financial officer, is leaving hcp * Has commenced process of recruiting  successor for schoen,has retained spencer stuart ,global executive search firm, to lead search process  Source text for Eikon:  Further company coverage:    (Bengaluru Newsroom: +1-646-223-8780)",2016-03-28,HCP,"Mon Mar 28, 2016 | 4:27pm EDT",BRIEF-HCP CFO Schoen will leave to become president of BioMed Realty,http://www.reuters.com//article/idUSASC08IJ2?type=companyNews
8,"   By Amrutha Penumudi  HCP Inc said it would spin off its beleaguered HCR ManorCare skilled nursing and assisted living business into a publicly traded real estate investment trust (REIT) to focus on assets that are less dependent on government reimbursement.HCP shares rose as much as 6.8 percent on Monday, their biggest intraday percentage gain in nearly five years.The HCR ManorCare business has been a nagging worry for HCP ever since the U.S. Department of Justice sued the unit in April last year over its billing practices.HCP, a healthcare-focused REIT, said the spinoff would allow it to focus on its core businesses - senior housing, life science properties and medical offices.""We need to eliminate the overhang in the HCR ManorCare business so that the rest of the business can flourish,"" Executive Chairman Michael McKee said on a call. The spinoff will lead to a ""new portfolio where private-pay increases to 95 percent from 80 percent,"" Mizuho Securities analyst Richard Anderson wrote in a note.Skilled nursing facilities, which provide long-term care for patients who struggle with regular day-to-day activities, are vulnerable to changes in healthcare policies as they are covered under Medicare and Medicaid. Ventas Inc, another healthcare REIT, also separated its skilled nursing facilities last year to focus on its hospital business.Several REITs including NorthStar Realty Finance Corp , Simon Property Group Inc and Cousin Properties Inc, have spun off assets in the past couple of years in a bid to simplify their businesses.After the spinoff, HCP expects to have more than 860 properties generating an estimated annual income of about $1.4 billion, the company said on Monday. The new REIT, which will also hold some other nursing facilities of HCP, will own over 320 properties with estimated annual rent of about $485 million.Mark Ordan, who has joined HCP as senior adviser, will be the chief executive of the new company.HCP shares were up 4.8 percent at $36.22 in noon trading. Up to Friday's close, the stock had fallen 18 percent since the Justice Department said it had sued HCR ManorCare.Barclays and Morgan Stanley are HCP's financial advisers for the spinoff. Paul, Weiss, Rifkind, Wharton & Garrison and Skadden, Arps, Slate, Meagher & Flom are its legal advisers.",2016-05-09,HCP,"Mon May 9, 2016 | 5:40pm EDT",Healthcare REIT HCP to spin off troubled HCR ManorCare unit,http://www.reuters.com//article/hcp-divestiture-idUSL2N1861YE?type=companyNews
9,"   By Amrutha Penumudi  HCP Inc (HCP.N) said it would spin off its beleaguered HCR ManorCare skilled nursing and assisted living business into a publicly traded real estate investment trust (REIT) to focus on assets that are less dependent on government reimbursement. HCP shares rose as much as 6.8 percent on Monday, their biggest intraday percentage gain in nearly five years. The HCR ManorCare business has been a nagging worry for HCP ever since the U.S. Department of Justice sued the unit in April last year over its billing practices.HCP, a healthcare-focused REIT, said the spinoff would allow it to focus on its core businesses - senior housing, life science properties and medical offices. ""We need to eliminate the overhang in the HCR ManorCare business so that the rest of the business can flourish,"" Executive Chairman Michael McKee said on a call. The spinoff will lead to a ""new portfolio where private-pay increases to 95 percent from 80 percent,"" Mizuho Securities analyst Richard Anderson wrote in a note. Skilled nursing facilities, which provide long-term care for patients who struggle with regular day-to-day activities, are vulnerable to changes in healthcare policies as they are covered under Medicare and Medicaid. Ventas Inc (VTR.N), another healthcare REIT, also separated its skilled nursing facilities last year to focus on its hospital business. Several REITs including NorthStar Realty Finance Corp (NRF.N), Simon Property Group Inc (SPG.N) and Cousin Properties Inc (CUZ.N), have spun off assets in the past couple of years in a bid to simplify their businesses. After the spinoff, HCP expects to have more than 860 properties generating an estimated annual income of about $1.4 billion, the company said on Monday.The new REIT, which will also hold some other nursing facilities of HCP, will own over 320 properties with estimated annual rent of about $485 million.  Mark Ordan, who has joined HCP as senior adviser, will be the chief executive of the new company. HCP shares were up 4.8 percent at $36.22 in noon trading. Up to Friday's close, the stock had fallen 18 percent since the Justice Department said it had sued HCR ManorCare.Barclays and Morgan Stanley are HCP's financial advisers for the spinoff. Paul, Weiss, Rifkind, Wharton & Garrison and Skadden, Arps, Slate, Meagher & Flom are its legal advisers. (Reporting by Amrutha Penumudi in Bengaluru; Editing by Kirti Pandey)",2016-05-09,HCP,"Mon May 9, 2016 | 12:13pm EDT",Healthcare REIT HCP to spin off troubled HCR ManorCare unit,http://www.reuters.com//article/us-hcp-divestiture-idUSKCN0Y0127?type=companyNews
