,Article,Date,Symbol,Time,Title,Url
0,"   By Danielle Robinson  Jan 9 (IFR) - Hewlett-Packard appeared to be getting strong demand Thursday for its first bond offering in almost two years, in another sign of the market's belief in the turnaround plan at the US computer giant.The USD2bn bond deal will put a dent in the USD5.5bn of debt that Hewlett-Packard has coming due this year at a time when CEO Meg Whitman's turnaround plan has helped restore stability and the decline in the PC market is expected to slow.HP has made significant improvements in its credit fundamentals, including a decline in its net operating debt to zero in the past year - helping to restore investor confidence.""We think HPQ still faces a difficult turnaround, but challenges, including PC market dynamics, appear to be easing and should reduce tail risk of a break-up or significant M&A,"" said Danish Agboatwala, senior TMT credit strategist at Barclays.The company launched the two-tranche bond at the tight end of guidance, reflecting solid demand for the five-year fixed and floating-rate transaction.""People are so geared up for this deal that I have no doubt there will be a food fight to get allocations,"" said a credit strategist not involved in the trade.The USD1.25bn fixed piece launched at 102 basis points over Treasuries, while the USD750m floater was launched at 3mL+94bp.Bank of America Merrill Lynch, BNP Paribas, Royal Bank of Scotland and Wells Fargo are the lead managers on the deal, which was first marketed at initial price thoughts of 115-120bp earlier in the day. Guidance tightened from there to T+105 area (+/-3bp).HP shares were trading at USD27.76 around midday on Thursday, up from roughly USD21 just three months ago. Its spreads have already tightened dramatically, with some syndicate bankers having seen its 10-year notes in the mid-200s about three months ago.THE NO-CONCESSION CONCESSION  To draw in investors to the trade, which is expected to price later in the day, the company started out offering generous new issue concessions.A relevant comparable was HP's own 5.5% March 2018s, trading at Treasuries plus 75bp or G+113bp and a high dollar price of USD112.00.One banker away from the deal suggested taking off around 10bp for the high dollar price to bring the G spread on the 18s to around 103bp.Although some credit curve difference might have to be added back in to that spread, that would suggest a new issue concession that looks like 10bp at the 115-120bp whisper level but actually amounts to nothing at all at the guidance level, the banker said. Another pricing benchmark is HP's 4.05% September 2022s at Treasuries plus 115bp or G+139bp, which suggests fair value on a new 10-year would be around 140-145bp, he said.HP has a steep credit curve of about 40bp between five and 10 years, putting fair value on a new five-year at around 100-105bp, which would suggest a new issue concession at the initial price thoughts level of around 10-15bp, according to the banker - and again basically nothing at the T+105bp official price talk.With the launch at 102bp, that would indicate a negative new issue concession.Not all analysts agree, of course. Morningstar puts fair value on a new HP five-year fixed-rate note at well under 100bp, making the deal an attractive buy.""We believe HP should trade in line with a BBB+ portion of the Morningstar Industrials Index, which currently stands at 125bp, with an average of about 10 years to maturity,"" a Morningstar credit strategist wrote.""On this basis we would place fair value on the new five-year at about 85-90bp.""HP is rated Baa1/BBB+/A- by Moody's, S&P and Fitch. It was last in the bond market in March 2012, when it issued USD500m 4.05% 2022s and USD1.5bn 2.6% 2017s.",2014-01-09,HPQ,"Thu Jan 9, 2014 | 2:09pm EST",Hewlett-Packard sees strong demand for new bond,http://www.reuters.com//article/hp-bonds-idUSL2N0KJ1UF20140109?type=companyNews
1,"  TEL AVIV Israel's Altair Semiconductor, a developer of chips for fourth- generation (4G) mobile technology known as LTE, said its chips will connect the new Hewlett Packard Chromebook to Verizon Wireless' LTE network.The ultra-portable device, developed by HP in collaboration with Google, is based on the WiFi-only Chromebook 11, launched in October. It is the only LTE-only Chromebook available, Altair said on Wednesday.""Our solution equips the Chromebook with a dependable and incredibly fast Internet connection,"" said Eran Eshed, vice president of marketing and business development at Altair. ""By focusing on 100 percent LTE and eliminating costly 3G components, we were able to help our partners lower the cost of this critical LTE connectivity feature."" Built on Google's Chrome operating system, Chromebooks require users to be connected to the Internet for data, applications and multimedia. While the original WiFi-only Chromebook 11 could only fully operate in the presence of a WiFi hot spot, the addition of Altair's LTE (long-term evolution) chip allows Chromebook users to access information from virtually anywhere, Altair said.Verizon Wireless is owned by Verizon Communications and Vodafone Group. Altair has raised $100 million to date, including $25 million in July aimed at helping the company capitalize on opportunities as Verizon Wireless deployed its LTE network. According to Altair, the cost of integrating LTE-only in mobile data devices is substantially lower than in LTE plus 3G.(Reporting by Tova Cohen)",2014-01-15,HPQ,"Wed Jan 15, 2014 | 6:42am EST","HP, Google select Altair's chip for LTE-only Chromebook",http://www.reuters.com//article/us-altair-hp-4g-idUSBREA0E0N620140115?type=companyNews
2,"  TEL AVIV Jan 15 Israel's Altair Semiconductor, a developer of chips for fourth- generation (4G) mobile technology known as LTE, said its chips will connect the new Hewlett Packard Chromebook to Verizon Wireless' LTE network.The ultra-portable device, developed by HP in collaboration with Google, is based on the WiFi-only Chromebook 11, launched in October. It is the only LTE-only Chromebook available, Altair said on Wednesday.""Our solution equips the Chromebook with a dependable and incredibly fast Internet connection,"" said Eran Eshed, vice president of marketing and business development at Altair. ""By focusing on 100 percent LTE and eliminating costly 3G components, we were able to help our partners lower the cost of this critical LTE connectivity feature."" Built on Google's Chrome operating system, Chromebooks require users to be connected to the Internet for data, applications and multimedia. While the original WiFi-only Chromebook 11 could only fully operate in the presence of a WiFi hot spot, the addition of Altair's LTE (long-term evolution) chip allows Chromebook users to access information from virtually anywhere, Altair said. Verizon Wireless is owned by Verizon Communications  and Vodafone Group. Altair has raised $100 million to date, including $25 million in July aimed at helping the company capitalise on  opportunities as Verizon Wireless deployed its LTE network.According to Altair, the cost of integrating LTE-only in mobile data devices is substantially lower than in LTE plus 3G.",2014-01-15,HPQ,"Wed Jan 15, 2014 | 6:38am EST","HP, Google select Altair's chip for LTE-only Chromebook",http://www.reuters.com//article/altair-hp-4g-idUSL5N0KP1S820140115?type=companyNews
3,  NEW YORK Jan 16 Hewlett-Packard Co :  * Up 2.1 percent in premarket trading after bofa-merrill upgrade   ,2014-01-16,HPQ,"Thu Jan 16, 2014 | 8:10am EST",BRIEF-Hewlett Packard up in premarket after upgrade,http://www.reuters.com//article/hewlettpackard-brief-idUSWEN00C4T20140116?type=companyNews
4,"   By Jonathan Stempel  Hewlett-Packard Co said on Friday it has made decisions on how to address shareholders' securities fraud claims over its $8.8 billion writedown for its purchase of British software company Autonomy Plc, but wants six more weeks to decide what legal course to pursue.U.S. District Judge Charles Breyer in San Francisco had on September 6 given Hewlett-Packard until Friday to vote on recommendations by a committee of independent directors.The committee was to advise whether the Palo Alto, California-based personal computer and printer company should try to have claims against various officers and directors dismissed, or join the claims in a bid to recoup its losses.In a Friday court filing, Hewlett-Packard said its board has reviewed the recommendations and ""made decisions with respect to the actions that it deems to be in the best interests of the company and its shareholders."" It nonetheless said it has agreed with the plaintiffs' lawyers to keep the lawsuit on hold until February 28, and discuss the board's recommendations with them between February 18 and 20.Joseph Cotchett, a lawyer representing shareholders, was not immediately available for comment.Hewlett-Packard has claimed it was itself a victim for having paid $11.1 billion to buy Autonomy in 2011. It took the writedown in November 2012, accusing Autonomy officials including former Chief Executive Mike Lynch of accounting fraud. Lynch has denied the allegations.Fallout from the purchase included the departure of three Hewlett-Packard directors, including Chairman Ray Lane, and criminal and civil probes by authorities in the United States and United Kingdom. In November, Breyer said shareholders could pursue a separate lawsuit accusing Hewlett-Packard and CEO Meg Whitman of failing to reveal soon enough in 2012 that the company may have overpaid for Autonomy or suspected fraud.Breyer in that case also dismissed claims against Whitman's predecessor Leo Apotheker, who engineered the Autonomy purchase.The case is In re: Hewlett-Packard Co Shareholder Derivative Litigation, U.S. District Court, Northern District of California, No. 12-06003.(Reporting by Jonathan Stempel in New York; Editing by Richard Chang)",2014-01-18,HPQ,"Fri Jan 17, 2014 | 8:35pm EST","HP mulls legal action on Autonomy fraud claims, needs more time",http://www.reuters.com//article/us-hp-lawsuit-idUSBREA0H02A20140118?type=companyNews
5,"   By Jonathan Stempel  Jan 17 Hewlett-Packard Co said on Friday it has made decisions on how to address shareholders' securities fraud claims over its $8.8 billion writedown for its purchase of British software company Autonomy Plc, but wants six more weeks to decide what legal course to pursue.U.S. District Judge Charles Breyer in San Francisco had on Sept. 6 given Hewlett-Packard until Friday to vote on recommendations by a committee of independent directors.The committee was to advise whether the Palo Alto, California-based personal computer and printer company should try to have claims against various officers and directors dismissed, or join the claims in a bid to recoup its losses.In a Friday court filing, Hewlett-Packard said its board has reviewed the recommendations and ""made decisions with respect to the actions that it deems to be in the best interests of the company and its shareholders."" It nonetheless said it has agreed with the plaintiffs' lawyers to keep the lawsuit on hold until Feb. 28, and discuss the board's recommendations with them between Feb. 18 and 20.Joseph Cotchett, a lawyer representing shareholders, was not immediately available for comment. Hewlett-Packard has claimed it was itself a victim for having paid $11.1 billion to buy Autonomy in 2011.It took the writedown in November 2012, accusing Autonomy officials including former Chief Executive Mike Lynch of accounting fraud. Lynch has denied the allegations. Fallout from the purchase included the departure of three Hewlett-Packard directors, including Chairman Ray Lane, and criminal and civil probes by authorities in the United States and United Kingdom.In November, Breyer said shareholders could pursue a separate lawsuit accusing Hewlett-Packard and CEO Meg Whitman of failing to reveal soon enough in 2012 that the company may have overpaid for Autonomy or suspected fraud.Breyer in that case also dismissed claims against Whitman's predecessor Leo Apotheker, who engineered the Autonomy purchase.The case is In re: Hewlett-Packard Co Shareholder Derivative Litigation, U.S. District Court, Northern District of California, No. 12-06003.",2014-01-18,HPQ,"Fri Jan 17, 2014 | 8:31pm EST","HP mulls legal action on Autonomy fraud claims, needs more time",http://www.reuters.com//article/hp-lawsuit-idUSL2N0KS01W20140118?type=companyNews
6,"  (Corrects to make clear Ray Lane gave up chairman post, not board seat)By Jonathan StempelJan 17 Hewlett-Packard Co said on Friday it has made decisions on how to address shareholders' securities fraud claims over its $8.8 billion writedown for its purchase of British software company Autonomy Plc, but wants six more weeks to decide what legal course to pursue.U.S. District Judge Charles Breyer in San Francisco had on Sept. 6 given Hewlett-Packard until Friday to vote on recommendations by a committee of independent directors.The committee was to advise whether the Palo Alto, California-based personal computer and printer company should try to have claims against various officers and directors dismissed, or join the claims in a bid to recoup its losses. In a Friday court filing, Hewlett-Packard said its board has reviewed the recommendations and ""made decisions with respect to the actions that it deems to be in the best interests of the company and its shareholders.""It nonetheless said it has agreed with the plaintiffs' lawyers to keep the lawsuit on hold until Feb. 28, and discuss the board's recommendations with them between Feb. 18 and 20.Joseph Cotchett, a lawyer representing shareholders, was not immediately available for comment. Hewlett-Packard has claimed it was itself a victim for having paid $11.1 billion to buy Autonomy in 2011.It took the writedown in November 2012, accusing Autonomy officials including former Chief Executive Mike Lynch of accounting fraud. Lynch has denied the allegations. Fallout from the purchase included the departure of two Hewlett-Packard directors, and prompted Chairman Ray Lane to give up that post. It also included criminal and civil probes by authorities in the United States and United Kingdom.In November, Breyer said shareholders could pursue a separate lawsuit accusing Hewlett-Packard and CEO Meg Whitman of failing to reveal soon enough in 2012 that the company may have overpaid for Autonomy or suspected fraud.Breyer in that case also dismissed claims against Whitman's predecessor Leo Apotheker, who engineered the Autonomy purchase.The case is In re: Hewlett-Packard Co Shareholder Derivative Litigation, U.S. District Court, Northern District of California, No. 12-06003.       (Reporting by Jonathan Stempel in New York; Editing by Richard Chang)",2014-01-19,HPQ,"Sun Jan 19, 2014 | 2:52pm EST","CORRECTED-HP mulls legal action on Autonomy fraud claims, needs more time",http://www.reuters.com//article/hp-lawsuit-idUSL2N0KS01W20140119?type=companyNews
7,"   By Noel Randewich  Chipmaker Qualcomm Inc acquired a patent portfolio from Hewlett-Packard Co, including those of Palm Inc and its iPaq smartphone, in a move that will bulk up HP's offerings to handset makers and other licensees.The portfolio comprises about 1,400 granted patents and pending patent applications from the United States and about 1,000 granted patents and pending patent applications from other countries, including China, England, Germany, Japan and South Korea.The San Diego-based chipmaker did not say how much it paid for the patents. The majority of Qualcomm's profits come from licensing patents for its ubiquitous CDMA cellphone technology and other technology related to mobile devices. Instead of licensing patents individually, handset vendors, carriers and other licensees pay royalties to Qualcomm in return for access to a broad portfolio of intellectual property.The patents bought from HP, announced in a release on Thursday, cover technologies that include fundamental mobile operating system techniques. They include those that HP acquired when it bought Palm Inc, an early player in mobile devices, in 2010 and Bitfone in 2006. HP tablets made using Palm's webOS operating system failed to catch on.""There's nothing left at Palm that HP could get any use out of so it's better to sell the patents, which are always valuable to Qualcomm,"" said Ed Snyder, an analyst with Charter Equity Research. ""They have to keep that bucket full."" The new patents will not lead to increased royalty rates for existing Qualcomm licensees, a Qualcomm spokeswoman said.Last year, HP sold webOS, which it received as part of the $1.2 billion Palm acquisition, to South Korea's LG Electronics Inc.(Additional reporting by Sruthi Ramakrishnan in Bangalore; Editing by Maju Samuel and Leslie Adler)",2014-01-23,HPQ,"Thu Jan 23, 2014 | 6:16pm EST",Qualcomm acquires patents from HP to bulk up portfolio,http://www.reuters.com//article/us-qualcomm-hp-patents-idUSBREA0M23I20140123?type=companyNews
8,"  By Noel RandewichJan 23 Chipmaker Qualcomm Inc acquired a patent portfolio from Hewlett-Packard Co, including those of Palm Inc and its iPaq smartphone, in a move that will bulk up HP's offerings to handset makers and other licensees.The portfolio comprises about 1,400 granted patents and pending patent applications from the United States and about 1,000 granted patents and pending patent applications from other countries, including China, England, Germany, Japan and South Korea. The San Diego-based chipmaker did not say how much it paid for the patents.The majority of Qualcomm's profits come from licensing patents for its ubiquitous CDMA cellphone technology and other technology related to mobile devices. Instead of licensing patents individually, handset vendors, carriers and other licensees pay royalties to Qualcomm in return for access to a broad portfolio of intellectual property. The patents bought from HP, announced in a release on Thursday, cover technologies that include fundamental mobile operating system techniques.They include those that HP acquired when it bought Palm Inc, an early player in mobile devices, in 2010 and Bitfone in 2006. HP tablets made using Palm's webOS operating system failed to catch on. ""There's nothing left at Palm that HP could get any use out of so it's better to sell the patents, which are always valuable to Qualcomm,"" said Ed Snyder, an analyst with Charter Equity Research. ""They have to keep that bucket full.""The new patents will not lead to increased royalty rates for existing Qualcomm licensees, a Qualcomm spokeswoman said.Last year, HP sold webOS, which it received as part of the $1.2 billion Palm acquisition, to South Korea's LG Electronics Inc.",2014-01-23,HPQ,"Thu Jan 23, 2014 | 6:14pm EST",UPDATE 1-Qualcomm acquires patents from HP to bulk up portfolio,http://www.reuters.com//article/qualcomm-hp-patents-idUSL3N0KX5J820140123?type=companyNews
9,"  Jan 23 Chipmaker Qualcomm Inc acquired a patent portfolio from Hewlett-Packard Co, including those of its iPaq smartphone, for an undisclosed amount.The portfolio comprises about 1,400 granted patents and pending patent applications from the United States and about 1,000 granted patents and pending patent applications from other countries. The patents cover technologies that include fundamental mobile operating system techniques, the companies said in a statement.  The patents also include those that HP acquired when it bought Palm Inc in 2010 and Bitfone in 2006.",2014-01-23,HPQ,"Thu Jan 23, 2014 | 5:02pm EST",Qualcomm acquires patent portfolio from HP,http://www.reuters.com//article/qualcomm-hp-patents-idUSL3N0KX5GV20140123?type=companyNews
