,Article,Date,Symbol,Time,Title,Url
0,"  * Q4 EPS of $2, minus items, tops forecasts by 5 cents* Shares up 0.9 pct around midday* CEO is ""absolutely indifferent"" to NYSE market shareBy John McCrankNEW YORK, Feb 11 IntercontinentalExchange Group  reported a fourth quarter loss on Tuesday because of onetime costs, including those related to its $11 billion purchase of the parent of the New York Stock Exchange, but expense control helped it beat expectations.The exchange and clearing house operator posted a loss of $176 million, or $1.83 a diluted share, compared to a profit of $130 million, or $1.76 a diluted share, a year earlier.Not including onetime costs - such as $131 million from the NYSE Euronext deal and a $190 million impairment charge on an investment in Brazil - ICE earned $2 a share, topping average estimates by 5 cents, according to Thomson Reuters I/B/E/S.Shares of ICE were up 0.9 percent at $213.96 on Tuesday around midday.ICE closed the NYSE deal in November, giving it an entry into the interest rate futures business through control of Liffe, Europe's No. 2 derivatives market. The deal also marked the Atlanta-based company's first foray into equities, through ownership of the Big Board, and through European stock market operator Euronext, which ICE said it still plans to spin off in an initial public offering before the end of June.MARKET SHARE The New York Stock Exchange began with an agreement in 1792 under a buttonwood tree on Wall Street. It enjoyed a near monopoly on matching buyers and sellers of U.S. stocks for much of the time since then, but in recent decades new competitors have chipped away at its market share, which last month stood at 20.58 percent. BATS Global Markets had 20.54 percent, and Nasdaq OMX Group had 20.02 percent, according to BATS' data. ICE Chief Executive Jeffrey Sprecher said he is ""absolutely indifferent"" to NYSE's market share and that he is more concerned with providing quality services and maximizing shareholder value.""Our strategy around here has never been to run the business for market share or bragging rights,"" Sprecher, who has been a vocal critic of the way U.S. stock markets operate, said on a call with analysts.One of his main issues has been the large rebates on trading fees many stock exchanges, including NYSE, offer to attract order flow, which he has said gives incentives to brokers to act in ways not always in the best interests of their clients.""It is very easy to be the market share leader in that space if one chooses to want to be that. You can change your rate structure and almost instantaneously the order routing algorithms will give you market share,"" said Sprecher, who started out in the energy markets. He said his team has been ""learning a lot"" about the equity markets since November, and that so far, it has been a calculated decision not to focus on building market share.FINANCIALS Revenue grew to $612 million from $324 million a year earlier, boosted in part by transaction and clearing-fee revenues on the back of the NYSE deal. Analysts had expected revenue of $620 million.The shortfall in revenues was mainly caused by lower-than expected transaction fees, said Alex Kramm, an analyst with UBS. He said that was offset by lower-than-expected adjusted operating expenses of $316 million.""We believe 4Q results are largely a sideshow as the focus should be on the integration of NYSE Euronext,"" Kramm said in a note to clients.Atlanta-based ICE said it expects to reach 70 percent of its $500 million target for savings from the NYSE acquisition on a run-rate basis by the end of the year.ICE declared a dividend of 65 cents per share for the first quarter of 2014 with a record date of March 17, 2014 and a payment date of March 31, 2014.",2014-02-11,ICE,"Tue Feb 11, 2014 | 1:07pm EST",UPDATE 2-ICE beats expectations amid integration of NYSE,http://www.reuters.com//article/intercontinentalexchange-results-idUSL2N0LG0K120140211?type=companyNews
1,"  NEW YORK Feb 11 IntercontinentalExchange Group Inc, the exchange and clearing house operator, reported a fourth quarter loss on Tuesday due in part to expenses from its $11 billion acquisition of NYSE Euronext and the drop in value of an investment in Brazil. The net loss attributable to ICE was $176 million, or $1.83 a diluted share, compared with a profit of $130 million, or $1.76 a diluted share, a year earlier.  ",2014-02-11,ICE,"Tue Feb 11, 2014 | 7:46am EST",IntercontinentalExchange posts Q4 loss after costs from NYSE deal,http://www.reuters.com//article/intercontinentalexchange-results-idUSL2N0LG0JP20140211?type=companyNews
2,"  SINGAPORE Feb 25 IntercontinentalExchange Group  said on Tuesday it has cancelled all contracts listed on the Singapore Mercantile Exchange (SMX), a bourse it earlier acquired for $150 million and expects to relaunch later in 2014.The delisted contracts range from iron ore to pepper and metals and currencies, which SMX offered before ICE bought it in a deal that gives it a foothold in trading and clearing in Asia.""ICE has delisted SMX contracts and a period of business transition is currently in place in order for ICE to implement technology changes in consultation with the market and regulator,"" the Atlanta-based exchange said in a statement. ""New product opportunities include the potential for a variety of new cleared contracts to serve the Asian commodity and financial derivatives markets.""ICE, whose product suite include the Brent crude oil benchmark, completed the acquisition of SMX this month, adding to its network of markets and clearing houses in the United States, Canada, Brazil, the UK and continental Europe. Chief Executive Jeff Sprecher said in November that ICE was not interested in SMX's business, but in the infrastructure it gives ICE to tap into the Asian market. Asia has long been the fastest growing demand region for the raw materials that power economic growth, but has mostly priced the purchases against benchmarks like Brent crude, London Metal Exchange copper or New York cotton.Many other global exchange are increasing their presence in the region, banking on greater volumes of trade.Earlier on Tuesday, two Deutsche Boerse-backed  companies said they have signed agreements with Indonesia's top commodity exchange seeking to develop trading platforms, market surveillance and clearing.",2014-02-25,ICE,"Tue Feb 25, 2014 | 5:56am EST","RPT-ICE delists Singapore's SMX contracts, plans relaunch",http://www.reuters.com//article/ice-smx-idUSL3N0LU32420140225?type=companyNews
3,"  SINGAPORE Feb 25 IntercontinentalExchange Group  said on Tuesday it has cancelled all contracts listed on the Singapore Mercantile Exchange (SMX), a bourse it earlier acquired for $150 million and expects to relaunch later in 2014.The delisted contracts range from iron ore to pepper and metals and currencies, which SMX offered before ICE bought it in a deal that gives it a foothold in trading and clearing in Asia.""ICE has delisted SMX contracts and a period of business transition is currently in place in order for ICE to implement technology changes in consultation with the market and regulator,"" the Atlanta-based exchange said in a statement.""New product opportunities include the potential for a variety of new cleared contracts to serve the Asian commodity and financial derivatives markets."" ICE, whose product suite include the Brent crude oil benchmark, completed the acquisition of SMX this month, adding to its network of markets and clearing houses in the United States, Canada, Brazil, the UK and continental Europe. Chief Executive Jeff Sprecher said in November that ICE was not interested in SMX's business, but in the infrastructure it gives ICE to tap into the Asian market.Asia has long been the fastest growing demand region for the raw materials that power economic growth, but has mostly priced the purchases against benchmarks like Brent crude, London Metal Exchange copper or New York cotton. Many other global exchange are increasing their presence in the region, banking on greater volumes of trade.Earlier on Tuesday, two Deutsche Boerse-backed  companies said they have signed agreements with Indonesia's top commodity exchange seeking to develop trading platforms, market surveillance and clearing.",2014-02-25,ICE,"Tue Feb 25, 2014 | 5:47am EST","ICE delists Singapore's SMX contracts, plans relaunch",http://www.reuters.com//article/ice-smx-idUSL3N0LU2X620140225?type=companyNews
4,"   By John Wasik  (The opinions expressed here are those of the author, a columnist for Reuters.)By John WasikCHICAGO You can get most of what you want for your investments from off-the-shelf index funds, but you may have to dig deeper to make your portfolio more productive.For most mainstream investors, a focus on S&P 500 index funds and a general bond market index serves them well. Yet what if you concentrated on a mixture of different asset classes instead of only picking the usual suspects in conventional index funds that hold the most popular stocks and bonds? You may be able to boost returns while insulating yourself from off years.An ""asset-class investing"" approach still relies upon low-cost, passively managed funds as core vehicles, but it puts a greater focus on diversification, which could enhance returns. Giving yourself a piece of every corner of the market means investing in large-, medium- and small-sized companies in developed and emerging markets, plus a broad selection of U.S. and global bonds.How does it differ? Take the standard approach to indexing the U.S. stock market. Most financial advisers would tell you to buy an S&P index fund, which holds the most popular stocks in the U.S. A good choice would be the SPDR S&P 500 ETF, which holds a mostly passive portfolio at an expense ratio of 0.09 percent annually.Since many index funds hold stocks that investors have assigned the highest values to, you may not be getting the best prices on them.What if you shifted to a value approach, and sought bargain-priced stocks?Then you'd want to buy a fund like the DFA US Large Cap Value I fund, which has beaten the S&P 500 index by almost 4 percentage points in annualized return over the past 15 years through March 14. Charging 0.27 percent for annual expenses, the fund has top holdings like Bank of America Corp, Citigroup Inc and Chevron Corp. Over the last three years, it's posted an annualized return of nearly 16 percent through March 14. With this approach, you may realize more upside because these companies aren't valued as highly as companies like Apple Inc and ExxonMobil Corp, which top the popularity contest for U.S. stocks at the moment and sit on top of the holdings for most big-stock index funds.Another aspect of the asset-class approach is to spread your stock allocation across companies of all sizes throughout the world. Combining a value and small-company stake can also be potent.Over time, the return advantage of small-cap value over the S&P 500 index is impressive.The DFA US Small Cap Value Portfolio, for example, has outperformed the S&P index by more than 8 percentage points in annualized returns over the past 15 years. But you probably wouldn't recognize most of the holdings of this fund, which include companies like CNO Financial Group Inc and Esterline Technologies Corp. It costs 0.52 percent annually in expenses. THE BIG PICTURE If there is one theme in asset class investing, it's ignoring what's popular at the time - whether it's a fund or a stock - and hewing to a broad picture of the entire universe of stocks and bonds.Assuming that the mix of funds matches your stomach for risk and can beat inflation, pulling everything together is a matter of finding the best funds in each asset class.DFA funds, which I've cited above, are good vehicles, but are only available through advisers. You can find comparable funds within the iShares, SPDR or Vanguard Groups. Eric Nelson of Servo Management in Oklahoma City employs asset class investing for his clients. His approach is mostly passive, but he tailors each portfolio.Part of the strategy is holding funds that are sagging at the moment, like emerging markets or large-company value. This approach may also entail lower risk since you're not over-concentrated in the highest-priced stocks on the market.Nelson estimates that asset-class investing has returned about 8 percent annually over the past decade, through February, compared to 6 percent for active management and 7 percent for a ""tactical"" strategy that bounces between hot and cold sectors.""Asset class investing is customized to what you are trying to accomplish,"" Nelson says. ""And there's no benefit in buying actively managed funds.""The other key element in the strategy is to be true to the kind of risk you want to take. The trade-off for investing in small companies looking for high return is that they involve more risk in the short term. That's where diversification comes in. By investing in a wide mix of stocks and bonds, Nelson's asset-class portfolio lost only 22 percent in 2008, compared to about 32 percent for active portfolios.Making this strategy work might entail working with an adviser to set up a portfolio of low-cost passive funds or finding a pre-designed portfolio online from services such as Betterment, Wealthfront.com, folioinvesting.com. Just make sure that you have a piece of everything: Large, medium and small companies across the globe and bonds from the U.S. Treasury, corporations, and emerging markets.(Follow us @ReutersMoney or here;Editing by Stephen Powell)",2014-03-17,ICE,"Mon Mar 17, 2014 | 2:06pm EDT",Drop the S&P index fund for asset-class investing,http://www.reuters.com//article/us-column-wasik-idUSBREA2G17720140317?type=companyNews
5,"   By John McCrank | NEW YORK  NEW YORK Exchange operator IntercontinentalExchange Group (ICE.N) more than doubled the total compensation of its chief executive, Jeffrey Sprecher, last year to just under $18 million, according to a regulatory filing.ICE completed its $11 billion takeover of Big Board operator NYSE Euronext in November, giving it control of Liffe, Europe's No.2 derivatives market. In 2013, shares of ICE rose 82.6 percent, helped by its takeover of NYSE, while NYSE rival Nasdaq's share price rose 60.6 percent, according to Thomson Reuters' data.The company said that if Sprecher is terminated without cause, due to a change in control of the company or otherwise, he would receive $37.1 million in total compensation. In 2013, Sprecher received $17,981,469 in compensation, up from $8.4 million in 2012, according to the filing, dated March 14.Sprecher's base salary was unchanged from 2012 at $1.05 million. The founder of Atlanta-based ICE also received $13.7 million in stock awards, $1.2 million in stock options awards, $2 million in cash incentives, and just under $33,000 in other compensation. Sprecher is also authorized personal use of ICE's corporate jets worth up to $75,000, the filing said.Robert Greifeld, CEO of Nasdaq OMX Group (NDAQ.O), received $13.8 million in total compensation last year, up from $8.9 million in 2012, according to a separate filing. When ICE completed its purchase of NYSE Euronext, it kept on the New York Stock Exchange owner's CEO Duncan Niederauer, who is president of ICE and CEO of NYSE. ICE plans to spin off Euronext the second quarter of this year. Niederauer was paid $13.1 million in total, up from $8.9 million in 2012.Niederauer, whose employment term ends on December 31, will receive a one-time $13 million cash payment following termination of his employment for any reason, and his health and life insurance will continue for two years following termination. Niederauer will also receive stock awards and other compensation, for a total of just under $29.5 million.(Additional reporting by Herb Lash; Editing by Grant McCool)",2014-03-18,ICE,"Tue Mar 18, 2014 | 4:47pm EDT",ICE more than doubled CEO's pay to nearly $18 million in 2013,http://www.reuters.com//article/us-intercontinentalexchange-compensation-idUSBREA2H24B20140318?type=companyNews
6,"   By John McCrank | NEW YORK, March 18  NEW YORK, March 18 Exchange operator IntercontinentalExchange Group more than doubled the total compensation of its chief executive, Jeffrey Sprecher, last year to just under $18 million, according to a regulatory filing.ICE completed its $11 billion takeover of Big Board operator NYSE Euronext in November, giving it control of Liffe, Europe's No.2 derivatives market. In 2013, shares of ICE rose 82.6 percent, helped by its takeover of NYSE, while NYSE rival Nasdaq's share price rose 60.6 percent, according to Thomson Reuters' data.The company said that if Sprecher is terminated without cause, due to a change in control of the company or otherwise, he would receive $37.1 million in total compensation. In 2013, Sprecher received $17,981,469 in compensation, up from $8.4 million in 2012, according to the filing, dated March 14.Sprecher's base salary was unchanged from 2012 at $1.05 million. The founder of Atlanta-based ICE also received $13.7 million in stock awards, $1.2 million in stock options awards, $2 million in cash incentives, and just under $33,000 in other compensation. Sprecher is also authorized personal use of ICE's corporate jets worth up to $75,000, the filing said. Robert Greifeld, CEO of Nasdaq OMX Group, received $13.8 million in total compensation last year, up from $8.9 million in 2012, according to a separate filing.When ICE completed its purchase of NYSE Euronext, it kept on the New York Stock Exchange owner's CEO Duncan Niederauer, who is president of ICE and CEO of NYSE. ICE plans to spin off Euronext the second quarter of this year. Niederauer was paid $13.1 million in total, up from $8.9 million in 2012.Niederauer, whose employment term ends on Dec. 31, will receive a one-time $13 million cash payment following termination of his employment for any reason, and his health and life insurance will continue for two years following termination. Niederauer will also receive stock awards and other compensation, for a total of just under $29.5 million.",2014-03-18,ICE,"Tue Mar 18, 2014 | 4:45pm EDT",ICE more than doubled CEO's pay to nearly $18 mln in 2013,http://www.reuters.com//article/intercontinentalexchange-compensation-idUSL2N0MF1SY20140318?type=companyNews
7,"  May 8 IntercontinentalExchange Group Inc , the exchange and clearing house operator, on Thursday reported stronger-than-expected first-quarter earnings due to income from new businesses.Net income for the parent of the New York Stock Exchange rose to $262 million, or $2.27 a share, from $135 million a year ago, or $1.85 a share. Excluding $60 million in costs related to the acquisition and integration of NYSE Euronext, adjusted earnings were $2.60 a share, beating analysts' expectations for $2.58, according to Thomson Reuters I/B/E/S. Revenue increased to $932 million from $352 million a year ago, above expectations for $922.9 million. Financial results were driven by the addition of new businesses, growth in ICE's global agriculture complex and a record quarter for clearing of credit default swaps, Chief Financial Officer Scott Hill said. ICE closed the NYSE deal in November, giving it an entry into the interest rate futures business through control of Liffe, Europe's No. 2 derivatives market.    (Reporting by Tom Polansek; Editing by Chizu Nomiyama)",2014-05-08,ICE,"Thu May 8, 2014 | 7:55am EDT",IntercontinentalExchange Q1 earnings beat estimates,http://www.reuters.com//article/ice-results-idUSL2N0NT26T20140508?type=companyNews
8,"  May 22 IntercontinentalExchange Group  said Duncan Niederauer, the chief executive of NYSE Group, would leave earlier than expected due to the rapid integration of the two companies.ICE completed its acquisition of NYSE in late 2013. Niederauer would continue as president of ICE till August, the company said on Thursday.  ICE said Thomas Farley, chief operating officer of NYSE, would succeed Niederauer, taking the title of president of NYSE, with immediate effect.   (Reporting by Avik Das in Bangalore; Editing by Savio D'Souza)",2014-05-22,ICE,"Thu May 22, 2014 | 8:56am EDT",ICE says NYSE CEO to leave earlier than expected,http://www.reuters.com//article/ice-ceo-idUSL3N0O83U620140522?type=companyNews
9,"  * ICE secures anchor investors to buy 33 pct Euronext stake* Euronext listing in Paris, Amsterdam, Brussels at first* Listing seen valuing Euronext at more than 1.5 bln euros   (Adds comments from Euronext CEO, details, background)By Clare HutchisonPARIS/LONDON, May 27 IntercontinentalExchange Group (ICE) has lined up European long-term investors to buy a third of Euronext in its upcoming listing, aiming to allay local regulators' concerns that the pan-European bourse could be snapped up by another foreign firm.ICE said on Tuesday it was pressing ahead with the initial public offering (IPO) of Euronext, which two sources familiar with the matter said could value the European exchanges business at more than 1.5 billion euros ($2.1 billion).The U.S. group had always intended to spin-off Euronext after its $11 billion deal last year to take over NYSE Euronext, which gave it control of the New York Stock Exchange.But its plans have been complicated by concerns in countries such as France and the Netherlands that Euronext might fall into the hands of a foreign rival such as the London Stock Exchange  and Nasdaq.European regulators approved ICE's takeover of NYSE Euronext on condition it kept a 25 percent stake in Euronext for three years, or found appropriate investors to replace it.Sources familiar with the matter told Reuters last month that ICE had secured a group of European investors to buy 25-30 percent of Euronext. The U.S. group said on Tuesday it had line up so-called ""anchor"" investors to take a 33 percent stake.The investors, including French banks BNP Paribas  and Societe Generale, Dutch firm ABN Amro, Belgian government investment vehicle SFPI, European clearing house Euroclear, and a unit of Portugal's Banco BPI, will hold their shares for at least three years, ICE said.They will be sold the shares at a limited discount to the IPO price, it added.The IPO will be on Euronext's Paris, Amsterdam and Brussels bourses in the first instance, with a later listing in Lisbon that will take place before the fourth quarter, ICE said. It did not give further details on the timing or price of the IPO because the prospectus for the listing has to be approved by regulators. A source familiar with the matter said earlier this month the IPO was scheduled for June.The listing and anchor investors will return decision-making at Euronext to Europe after it was centred in New York as part of NYSE Euronext - something which had prompted some market participants to leave Paris for London and elsewhere.Euronext chief executive Dominique Cerutti told reporters on Tuesday that he was confident of strong investor interest in the IPO, despite a number of postponed listings and recent lacklustre market debuts in London.GROWING THE TOP LINE  Euronext operates equity, fixed income and derivatives markets in Paris, Amsterdam, Brussels and Lisbon. The business, which reported profit of $36 million in its first quarter, has also applied for recognised investment exchange status for its London bourse.Cerutti said the listing would allow the business to reduce the footprint it inherited as part of NYSE Euronext, cutting costs and improving efficiency. It has already started that process, having renegotiated its contract with LCH.Clearnet, the clearing house majority-owned by the London Stock Exchange.""There is significant potential for optimisation, meaning growing the top line,"" Cerutti said.He added the newly public company would focus on product innovation, particularly in derivatives, an initiative formerly led by Liffe - Europe's second-largest derivatives exchange now held by ICE.Cerutti said regulatory changes that are pushing more derivatives trading onto exchanges to improve transparency, bank capital constraints encouraging firms to look elsewhere for funding and positive economic trends in Europe should also provide tailwinds for the business.As part of the IPO, both retail and institutional investors in the Netherlands, France, Belgium and Portugal will be offered a chance to buy shares, while institutional investors elsewhere can participate through a private placement.ICE will also offer shares at a discount to the IPO price to all eligible Euronext employees in France, the Netherlands, Belgium, Portugal and Britain.($1 = 0.7325 Euros)   (Additional reporting by Andrew Callus in Paris and Freya Berry in London.; Editing by Mark Potter)",2014-05-27,ICE,"Tue May 27, 2014 | 9:04am EDT",UPDATE 2-ICE lines up European investors to buy a third of Euronext,http://www.reuters.com//article/euronext-ipo-idUSL6N0OD1OR20140527?type=companyNews
