,Article,Date,Symbol,Time,Title,Url
0,"  Life-science tool maker Illumina Inc (ILMN.O) reported a better-than-expected jump in quarterly revenue, helped by strong sales of its gene-sequencing products.The company's shares rose about 8.5 percent in after-market trading.The company's net income rose to $60 million, or 40 cents per share, in the first quarter ended March 31, from a loss of $22.6 million, or 18 cents per share, a year earlier. Illumina's adjusted profit was 53 cents per share for the quarter. Revenue rose 27 percent to $420.8 million. Analysts on average were expecting earnings of 44 cents per share on revenue of $391.8 million, according to Thomson Reuters I/B/E/S.(Reporting By Anjalirao Koppala; Editing by Simon Jennings)",2014-04-22,ILMN,"Tue Apr 22, 2014 | 6:06pm EDT",Illumina shares up on higher sales of gene-sequencing products,http://www.reuters.com//article/us-illumina-results-idUSBREA3L1T220140422?type=companyNews
1,"  April 22 Life-science tool maker Illumina Inc  reported a better-than-expected jump in quarterly revenue, helped by strong sales of its gene-sequencing products.The company's shares rose about 8.5 percent in after-market trading.The company's net income rose to $60 million, or 40 cents per share, in the first quarter ended March 31, from a loss of $22.6 million, or 18 cents per share, a year earlier. Illumina's adjusted profit was 53 cents per share for the quarter. Revenue rose 27 percent to $420.8 million. Analysts on average were expecting earnings of 44 cents per share on revenue of $391.8 million, according to Thomson Reuters I/B/E/S.   (Reporting By Anjalirao  Koppala; Editing by Simon Jennings)",2014-04-22,ILMN,"Tue Apr 22, 2014 | 6:03pm EDT",Illumina shares up on higher sales of gene-sequencing products,http://www.reuters.com//article/illumina-results-idUSL3N0NE4MI20140422?type=companyNews
2,"  Nov 18 Biomerieux SA :* Signs exclusive agreement with Illumina to launch a next-generation sequencing (NGS) epidemiology solution for service labs  * Companies will jointly develop applications for microbiology sequencing technologies within a four-year renewable period  Source text for Eikon:  Further company coverage:,    (gdynia.newsroom@thomsonreuters.com; +48 58 698 3920) ",2014-11-18,ILMN,"Tue Nov 18, 2014 | 1:20am EST",BRIEF-Biomerieux agrees with Illumina to launch NGS epidemiology solution for service labs,http://www.reuters.com//article/biomerieux-brief-idUSFWN0T40DK20141118?type=companyNews
3,"   By Julie Steenhuysen | CHICAGO  CHICAGO Gene sequencing equipment maker Illumina has teamed up with the U.S. government and academic researchers at the Broad Institute in Boston to train scientists in West Africa to improve tracking of how the Ebola virus is mutating in hopes of fighting it more effectively.The public-private partnership, announced on Wednesday, is designed to extend research on how the Ebola virus is mutating in real time as it spreads among populations in West Africa. Scientists need the information to develop new diagnostics, drugs and vaccines to fight the outbreak.Sequencing and patient monitoring facilities will be created first in Liberia, Nigeria, Senegal, and Sierra Leone, and over the longer term in other West African countries, the groups said in a statement. These centers will serve as hubs for the deployment of mobile laboratories to remote districts where large-scale capacity is not available. Illumina, the U.S. Agency for International Development and researchers at the Broad Institute of Harvard University and the Massachusetts Institute of Technology will train and equip the facilities with state-of-the-art genome sequencing technology. The value of Illumina's investment was not disclosed.Scientists have expressed frustration that they are unable to gain access to blood samples from Ebola patients needed for this kind of research. A team of researchers led by Pardis Sabeti from the Broad Institute has been working with collaborators in Nigeria, Senegal and Sierra Leone for several years, training them to use sequencing and diagnostic technology. In August, Sabeti and colleagues published a study in the journal Science of some of the earliest cases in Sierra Leone. It suggested that the virus is mutating quickly and in ways that could affect current diagnostics and future vaccines and treatments.The new pact will allow researchers to do similar work in Liberia, the country hit hardest by the outbreak. Professor Christian Happi of Redeemer’s University in Nigeria and Professor Daouda Ndiaye of Université Cheikh Anta Diop in Senegal will be the first to receive the Illumnina's MiSeq®desktop sequencers, followed by labs in Liberia and Sierra Leone. Happi's lab is set to sequence the 20 confirmed and suspected cases from the Nigerian outbreak that was declared ended on Oct. 20. (Reporting by Julie Steenhuysen; Editing by David Gregorio)",2014-11-19,ILMN,"Wed Nov 19, 2014 | 11:26am EST","Illumina teams with U.S. government, researchers to sequence Ebola",http://www.reuters.com//article/us-health-ebola-sequencing-idUSKCN0J31RL20141119?type=companyNews
4,"   By Julie Steenhuysen | CHICAGO  CHICAGO Nov 19 Gene sequencing equipment maker Illumina has teamed up with the U.S. government and academic researchers at the Broad Institute in Boston to train scientists in West Africa to improve tracking of how the Ebola virus is mutating in hopes of fighting it more effectively.The public-private partnership, announced on Wednesday, is designed to extend research on how the Ebola virus is mutating in real time as it spreads among populations in West Africa. Scientists need the information to develop new diagnostics, drugs and vaccines to fight the outbreak.Sequencing and patient monitoring facilities will be created first in Liberia, Nigeria, Senegal, and Sierra Leone, and over the longer term in other West African countries, the groups said in a statement. These centers will serve as hubs for the deployment of mobile laboratories to remote districts where large-scale capacity is not available. Illumina, the U.S. Agency for International Development and researchers at the Broad Institute of Harvard University and the Massachusetts Institute of Technology will train and equip the facilities with state-of-the-art genome sequencing technology. The value of Illumina's investment was not disclosed. Scientists have expressed frustration that they are unable to gain access to blood samples from Ebola patients needed for this kind of research.A team of researchers led by Pardis Sabeti from the Broad Institute has been working with collaborators in Nigeria, Senegal and Sierra Leone for several years, training them to use sequencing and diagnostic technology. In August, Sabeti and colleagues published a study in the journal Science of some of the earliest cases in Sierra Leone. It suggested that the virus is mutating quickly and in ways that could affect current diagnostics and future vaccines and treatments. The new pact will allow researchers to do similar work in Liberia, the country hit hardest by the outbreak.Professor Christian Happi of Redeemer's University in Nigeria and Professor Daouda Ndiaye of Université Cheikh Anta Diop in Senegal will be the first to receive the Illumnina's MiSeqdesktop sequencers, followed by labs in Liberia and Sierra Leone. Happi's lab is set to sequence the 20 confirmed and suspected cases from the Nigerian outbreak that was declared ended on Oct. 20.   (Reporting by Julie Steenhuysen; Editing by David Gregorio)",2014-11-19,ILMN,"Wed Nov 19, 2014 | 11:21am EST","Illumina teams with U.S. government, researchers to sequence Ebola",http://www.reuters.com//article/health-ebola-sequencing-idUSL2N0T91HX20141119?type=companyNews
5,"  March 10 Merck KGaA* Merck Serono and Illumina enter strategic collaboration for diagnostics in oncology  * Collaboration will include development of diagnostic, worldwide regulatory approvals, and global commercialization  Source text: bit.ly/1Ad3kY0 Further company coverage: ",2015-03-10,ILMN,"Tue Mar 10, 2015 | 9:23am EDT","BRIEF-Merck Serono, Illumina to collaborate on cancer diagnostics",http://www.reuters.com//article/idUSFWN0WC02Z20150310?type=companyNews
6,"   By Mike Stone and Julie Steenhuysen  Gene-sequencing giant Illumina Inc, private equity firm Warburg Pincus LLC and venture capital firm Sutter Hill Ventures have agreed to invest $100 million to seed a new consumer-facing human genome platform called Helix, according to people familiar with the deal.San Francisco-based Helix aims to provide a new kind of environment that will sequence, store and analyze individuals' genetic data and provide a marketplace of services through various partners, allowing people to explore their geneology or  understand their risk for inherited disease.To accomplish that, Helix plans to create one of the world's largest next-generation DNA sequencing labs and make the data accessible on a secure and protected database.Initial partners are diagnostic testing giant Laboratory Corporation of America (LabCorp) and Mayo Clinic's Center for Individualized Medicine, which are investing in Helix and will offer services to its customers.Initially, Mayo will help Helix develop applications focused on consumer education and health-related queries. LabCorp will develop and offer analysis and interpretation services through Helix's platform. Customers will control how their data is accessed. Discussions with several other potential partners are underway, according to the sources who asked not to be named because they were not authorized to speak to the media.Illumina, Sutter Hill, LabCorp and Mayo did not immediately respond to requests for comment. Helix hopes to avoid some of the issues encountered by direct-to-consumer genetic testing company 23andMe, which in late 2013 was barred by the U.S. Food and Drug Administration from providing customers with health information. The company still performs genetic testing and offers information on ancestry, and recently won FDA approval for a test for Bloom syndrome. The company intends ""to work extremely closely with the FDA,"" one of the sources said, adding that the platform would include health information, delivered through partners such as Mayo or LabCorp.Helix intends to sequence a much larger swath of the genome than 23andMe, at minimum testing for all the protein coding genes that make up the exome and account for 85 percent of disease. Operations for Helix are expected to kickoff in mid-2016, a source familiar with the deal said.The investment is expected to erode Illumina’s non-GAAP earnings per share guidance by about $0.10 in 2016.New York-based Warburg Pincus, with more than $35 billion under management, has invested in healthcare platforms in the past but this is their first major foray into genomics. (Reporting by Mike Stone in New York and Julie Steenhuysen in Chicago; Editing by Bernard Orr)",2015-08-18,ILMN,"Tue Aug 18, 2015 | 3:03am EDT",Illumina partners with private equity firm on gene JV: sources,http://www.reuters.com//article/us-illumina-genomics-idUSKCN0QN0JB20150818?type=companyNews
7,"   By Caroline Valetkevitch and Bill Berkrot | NEW YORK  NEW YORK U.S. biotech shares extended their recent downward spiral on Tuesday as concerns about drug pricing continued to plague the sector while disappointing news from Illumina and other companies added to selling pressure. The Nasdaq Biotechnology index, down 4 percent, has now fallen about 17 percent since just before Hillary Clinton, front-runner to be the Democratic nominee in next year's U.S. presidential election, vowed on Sept. 21 to take steps to curb high drug prices.Concerns about drug pricing were exacerbated by a Wall Street Journal report late Monday on the industry's practice of raising prices to compensate for sluggish demand and rising competition. Of the 142 constituents in the biotech index, just 10 were trading higher, while the S&P 500 health care index was down 2.4 percent.""There's a flurry of things that are coming together to drive a lot of fear and panic,"" said Michael Yee, biotech analyst for RBC Capital Markets. ""Obviously continued concern in headlines around drug pricing, particularly with an article out in the media about significant price increases even for old drugs that are declining in volume.""  Also driving losses in the biotech group was a disappointing profit outlook on Monday from Illumina Inc, whose shares were down 12.4 percent on Tuesday, analysts said.Also issuing disappointing news was Exact Sciences. The company's shares dropped 46 percent to $10.05 after it received a surprise negative reimbursement decision on its colon cancer test, Cologuard. The iShares Nasdaq Biotechnology ETF was off 4.4 percent. (Additional reporting by Lance Tupper; Editing by Bernard Orr)",2015-10-06,ILMN,"Tue Oct 6, 2015 | 1:52pm EDT",Biotechs extend selloff as pricing concerns intensify,http://www.reuters.com//article/us-usa-biotechs-idUSKCN0S02FC20151006?type=companyNews
8,"   By Brendan Pierson  A federal appeals court has revived a petition by Roche AG unit Ariosa Diagnostics seeking to invalidate a rival's patent on a noninvasive prenatal test for Down Syndrome. The U.S. Patent Trial and Appeal Bureau had previously rejected Ariosa's contention that a patent held by Illumina Inc was obvious. Writing Monday for a unanimous three-judge panel, Judge Richard Taranto of the Federal U.S. Circuit Court of Appeals ordered the PTAB to reconsider Ariosa's petition.  To read the full story on WestlawNext Practitioner Insights, click here: bit.ly/1X38wZJ",2015-11-16,ILMN,"Mon Nov 16, 2015 | 5:57pm EST",Circuit revives challenge to Illumina Down Syndrome test patent,http://www.reuters.com//article/health-prenatal-idUSL1N13B2VO20151116?type=companyNews
9,"  Dec 15 Biomerieux SA and Illumina Inc  :* Announced on Monday the launch of Biomerieux EpiSeq, an next-generation sequencing (NGS) service for epidemiological monitoring and control of healthcare-associated infections   Source text for Eikon:  Further company coverage:  (Gdynia Newsroom) ",2015-12-15,ILMN,"Tue Dec 15, 2015 | 1:03am EST",BRIEF-Biomerieux and Illumina launch Biomerieux EpiSeq,http://www.reuters.com//article/idUSL8N1440BE20151215?type=companyNews
