,Article,Date,Symbol,Time,Title,Url
0,"   By Greg Roumeliotis and Soyoung Kim | NEW YORK  NEW YORK Carlyle Group LP (CG.O) said it has agreed to buy Illinois Tool Works Inc's (ITW.N) industrial packaging unit for $3.2 billion, the private equity firm's latest acquisition of a large unit being carved out of conglomerates.The sale puts the Glenview, Illinois-based company well on its way to meeting its stated goal of divesting a quarter of its businesses in terms of revenue. Over the next few years, this will allow the company to focus on higher-margin businesses.Carlyle, which has a long track record of acquiring non-core businesses from companies and turning them around, prevailed over a rival bidder -- the consortium of Onex Corp OCX.TO and Canada Pension Plan Investment Board (CPPIB) -- in the final stretch of the auction, Reuters reported earlier on Thursday.While Illinois Tool Works did not formally grant exclusivity to any of the bidders, it focused on negotiating final deal terms with Carlyle in the last two days, according to people familiar with the matter.Carlyle said it has secured committed debt financing from JPMorgan Chase & Co (JPM.N), Goldman Sachs Group (GS.N), Bank of America Merrill Lynch (BAC.N), Barclays (BARC.L), Citigroup (C.N) and Credit Suisse Group CSGN.VX. Illinois Tool Works announced in September it was initiating a process to sell the industrial packaging unit, as the conglomerate continues to streamline its diversified business lines.The packaging business makes steel, plastic and paper products used for bundling, shipping and protecting transported goods, with brands including Signode, Strapex, Angleboard and Mima. The deal values the packaging business at around 8.5 times the unit's estimated 2014 earnings before interest, tax, depreciation and amortization, according to one person familiar with the transaction.Seeking to avoid frothy auctions for companies as markets rallied, private equity firms have shown a strong appetite for large units being carved out of companies seeking to exit non-core businesses.Those deals involve the creation of new companies and are complex. Firms with experience in executing corporate carve-outs feel they have an edge in such situations. Last month, Carlyle said it would acquire a clinical diagnostics unit from Johnson & Johnson (JNJ.N) for $4.15 billion.This followed Carlyle's acquisition in February 2013 of DuPont's performance coatings business for $4.9 billion, and its $3.46 billion acquisition of United Technologies Corp's (UTX.N) Hamilton Sundstrand industrial unit in 2012, along with buyout firm BC Partners Ltd.Kirkland & Ellis is legal advisor to Carlyle, while Latham & Watkins advised Illinois Tool Works on the transaction.(Reporting by Greg Roumeliotis and Soyoung Kim in New York; Editing by Stephen Powell and Diane Craft)",2014-02-06,ITW,"Thu Feb 6, 2014 | 6:22pm EST",Carlyle to buy Illinois Tool Works unit for $3.2 billion,http://www.reuters.com//article/us-itw-sale-idUSBREA151UQ20140206?type=companyNews
1,"  By Greg Roumeliotis and Soyoung KimNEW YORK Feb 6 Carlyle Group LP said it has agreed to buy Illinois Tool Works Inc's industrial packaging unit for $3.2 billion, the private equity firm's latest acquisition of a large unit being carved out of conglomerates.The sale puts the Glenview, Illinois-based company well on its way to meeting its stated goal of divesting a quarter of its businesses in terms of revenue. Over the next few years, this will allow the company to focus on higher-margin businesses.Carlyle, which has a long track record of acquiring non-core businesses from companies and turning them around, prevailed over a rival bidder -- the consortium of Onex Corp and Canada Pension Plan Investment Board (CPPIB) -- in the final stretch of the auction, Reuters reported earlier on Thursday.While Illinois Tool Works did not formally grant exclusivity to any of the bidders, it focused on negotiating final deal terms with Carlyle in the last two days, according to people familiar with the matter. Carlyle said it has secured committed debt financing from JPMorgan Chase & Co, Goldman Sachs Group, Bank of America Merrill Lynch, Barclays, Citigroup  and Credit Suisse Group.Illinois Tool Works announced in September it was initiating a process to sell the industrial packaging unit, as the conglomerate continues to streamline its diversified business lines. The packaging business makes steel, plastic and paper products used for bundling, shipping and protecting transported goods, with brands including Signode, Strapex, Angleboard and Mima.The deal values the packaging business at around 8.5 times the unit's estimated 2014 earnings before interest, tax, depreciation and amortization, according to one person familiar with the transaction.Seeking to avoid frothy auctions for companies as markets rallied, private equity firms have shown a strong appetite for large units being carved out of companies seeking to exit non-core businesses. Those deals involve the creation of new companies and are complex. Firms with experience in executing corporate carve-outs feel they have an edge in such situations.Last month, Carlyle said it would acquire a clinical diagnostics unit from Johnson & Johnson for $4.15 billion.This followed Carlyle's acquisition in February 2013 of DuPont's performance coatings business for $4.9 billion, and its $3.46 billion acquisition of United Technologies Corp's  Hamilton Sundstrand industrial unit in 2012, along with buyout firm BC Partners Ltd.Kirkland & Ellis is legal advisor to Carlyle, while Latham & Watkins advised Illinois Tool Works on the transaction.",2014-02-06,ITW,"Thu Feb 6, 2014 | 6:21pm EST",UPDATE 3-Carlyle to buy Illinois Tool Works unit for $3.2 billion,http://www.reuters.com//article/itw-sale-idUSL2N0LB1MW20140206?type=companyNews
2,"   By Greg Roumeliotis and Soyoung Kim | NEW YORK  NEW YORK Private equity firm Carlyle Group LP (CG.O) is close to reaching an agreement to buy Illinois Tool Works Inc's (ITW.N) industrial packaging unit for more than $3 billion, and could announce the deal as soon as Thursday, people familiar with the matter said.Carlyle, which has a long track record of successfully carving out units from companies, prevailed over rival bidder -- the consortium of Onex Corp OCX.TO and Canada Pension Plan Investment Board (CPPIB) -- in the final stretch of the auction, the sources said on Thursday.The sources asked not to be identified because the matter is not public. Carlyle declined to comment while representatives for Illinois Tool Works, Onex and CPPIB did not immediately respond to requests for comment.Illinois Tool Works announced in September it was initiating a process to sell the industrial packaging unit, as the conglomerate continues to streamline its diversified business lines. The packaging business makes steel, plastic and paper products used for bundling, shipping and protecting transported goods, with brands including Signode, Strapex, Angleboard and Mima.Seeking to avoid frothy auctions for companies as markets rallied, private equity firms have shown a strong appetite for large units being carved out of companies seeking to exit non-core businesses. Those deals involve the creation of new companies and are complex. Firms with experience in executing corporate carve-outs feel they have an edge in such situations.Last month, Carlyle said it would acquire a clinical diagnostics unit from Johnson & Johnson (JNJ.N) for $4.15 billion. This followed Carlyle's acquisition in February 2013 of DuPont's performance coatings business for $4.9 billion, and its $3.46 billion acquisition of United Technologies Corp's (UTX.N) Hamilton Sundstrand industrial unit in 2012, along with buyout firm BC Partners Ltd.The New York Post reported earlier that Carlyle has won the auction for the packaging unit.(Reporting by Greg Roumeliotis and Soyoung Kim in New York; Editing by Stephen Powell and Diane Craft)",2014-02-06,ITW,"Thu Feb 6, 2014 | 3:15pm EST",Carlyle nears $3 billion-plus deal for Illinois Tool unit: sources,http://www.reuters.com//article/us-itw-carlyle-idUSBREA151SF20140206?type=companyNews
3,"  Feb 6 Private equity firm Carlyle Group LP  is nearing a deal to acquire Illinois Tool Works Inc's  industrial packaging unit for more than $3 billion, according to two people familiar with the matter.The two sides could announce an agreement as early as Thursday, the people said, asking not to be identified because the talks are confidential.  Carlyle declined to comment, while an Illinois Tool Works spokeswoman did not respond to a request for comment. ",2014-02-06,ITW,"Thu Feb 6, 2014 | 2:52pm EST",Carlyle nears Illinois Tool Works deal worth $3 billion -sources,http://www.reuters.com//article/itw-carlyle-idUSL2N0LB1ND20140206?type=companyNews
4,"   By Greg Roumeliotis and Soyoung Kim | NEW YORK  NEW YORK Feb 6 Illinois Tool Works Inc  is nearing a deal to sell its industrial packaging unit for more than $3 billion, with buyout firms Carlyle Group LP and Onex Corp competing in the final stretch of the auction, people familiar with the matter said.The company narrowed the list of potential buyers to Carlyle and the consortium of Onex Corp and Canada Pension Plan Investment Board (CPPIB) after reviewing final offers submitted on Monday, and could strike a deal as soon as this week, the people said on Thursday.Carlyle, which has a long track record of successfully carving out units from companies, is seen as the leading candidate to clinch the deal, according to one of the people. It could not be learned, however, if Illinois Tool Works has granted exclusivity to either bidder. All the sources asked not to be identified because the matter is not public. Carlyle declined to comment while representatives for Illinois Tool Works, Onex and CPPIB did not immediately respond to requests for comment.Illinois Tool Works announced in September it was initiating a process to sell the industrial packaging unit, as the conglomerate continues to streamline its diversified business lines. The packaging business makes steel, plastic and paper products used for bundling, shipping and protecting transported goods, with brands including Signode, Strapex, Angleboard and Mima.Seeking to avoid frothy auctions for companies as markets rallied, private equity firms have shown a strong appetite for large units being carved out of companies seeking to exit non-core businesses. Those deals involve the creation of new companies and are complex. Firms with experience in executing corporate carve-outs feel they have an edge in such situations.Last month, Carlyle said it would acquire a clinical diagnostics unit from Johnson & Johnson for $4.15 billion.This followed Carlyle's acquisition in February 2013 of DuPont's performance coatings business for $4.9 billion, and its $3.46 billion acquisition of United Technologies Corp's  Hamilton Sundstrand industrial unit in 2012, along with buyout firm BC Partners Ltd.",2014-02-06,ITW,"Thu Feb 6, 2014 | 12:15pm EST",Illinois Tool Works close to selling $3 billion unit - sources,http://www.reuters.com//article/itw-sale-idUSL2N0LB14Z20140206?type=companyNews
5,"   By Natalie Harrison  NEW YORK, Feb 7 (IFR) - Private equity group Carlyle is expected to fund its acquisition of Illinois Tool Works Inc's industrial packaging unit with around USD2.4bn-USD2.5bn of debt, according to market sources.Leverage is expected to be in the region of 6.75 times Ebitda, and the majority of the debt will be raised in the leveraged loan market, one of the sources said.The debt is expected to be split between around USD1.6bn-1.7bn of secured first-lien leveraged loans and around USD800-900m in unsecured high-yield bonds. Leverage on the loans is around 4.5 times Ebitda.""It's a great deal,"" said another source. ""The company has been disposing of assets and focusing on its core business. It gives the sponsor the opportunity to come in and refocus the enterprise and give managers new incentive.""Carlyle said late on Thursday that it had agreed to buy the business for USD3.2bn, and had secured committed debt financing from JP Morgan Chase, Goldman Sachs, Bank of America Merrill Lynch, Barclays, Citigroup and Credit Suisse.Goldman Sachs and JP Morgan are the quarterbacks for the financing, the sources said. The timing of the deal is not yet certain, but it could come to market as soon as late March. Syndication of the bridge loan is expected to get under way soon.The remainder of the financing will come in the form of equity from the private equity group's USD13bn Carlyle Partners VI buyout fund. Leveraged finance bankers are hoping that a pick-up in mergers and acquisitions will help bolster fees in 2014.The issue is even more crucial this year amid expectations that high-yield bond supply will drop by at least 10% as fewer companies refinance their debt.Bankers expect more strategic acquisitions as corporates potentially spin-off non-core assets, but are less optimistic about leveraged buyouts increasing.""I wouldn't say that spin-offs like this are a trend, but there is bound to be more,"" said one of the sources.",2014-02-07,ITW,"Fri Feb 7, 2014 | 10:03am EST",Carlyle to raise USD2.4-2.5bn debt for Illinois deal,http://www.reuters.com//article/carlyle-illinois-debt-idUSL2N0LC0SX20140207?type=companyNews
6,"  Feb 7 The following corporate finance-related stories were reported by media:* Private equity firm Carlyle Group is nearing a deal to acquire Illinois Tool Works Inc's industrial packaging unit for more than $3 billion, according to two people familiar with the matter.* IBM, the world's biggest technology service provider, is considering the sale of its semiconductor unit, and has appointed Goldman Sachs to sound out possible buyers for the business, the Financial Times reported, citing people familiar with the matter. (syr66v)* Swiss industrial conglomerate ABB Ltd is seeking to divest several units whose sale could raise more than $1 billion in total proceeds, according to people familiar with the matter, joining a list of large companies looking to shed non-core businesses. * Billionaire Anil Ambani-led Reliance Group's move to delist two of its companies, Reliance Broadcast Network  and Reliance MediaWorks, from the bourses is part of a larger restructuring strategy which may involve partially or fully selling some parts of its media and entertainment business, the Mint newspaper reported, citing two people familiar with the development. ()* CVC Capital Partners Ltd, Carlyle Group LP  and PAI Partners SAS are among buyout firms considering offers for a majority stake in Spanish food group Deoleo SA, the Bloomberg news reported, citing people familiar with the matter. () * Private equity firm AEA Investors LP is in advanced talks to acquire Gypsum Management and Supply Inc, a privately held maker of specialty building materials, for more than $700 million, according to three people familiar with the matter. * Papua New Guinea has decided to raise A$1.68 billion ($1.51 billion) to pay off a bond it issued to Abu Dhabi in 2009 instead of giving up a strategic stake in oil and gas producer Oil Search, a source familiar with the decision told Reuters.* Private equity firm Oaktree Capital Group is looking to sell Osmose Holdings Inc, which makes wood preservation chemicals and also provides services to railroads and utilities, in a deal that could value the company at close to $900 million, according to people familiar with the matter.For the Morning News Call-EMEA newsletter click on",2014-02-07,ITW,"Fri Feb 7, 2014 | 1:04am EST",UPDATE 1-Market Chatter-Corporate finance press digest,http://www.reuters.com//article/market-chatter-idUSL3N0LC1BF20140207?type=companyNews
7,"  Feb 7 The following corporate finance-related stories were reported by media:* Private equity firm Carlyle Group is nearing a deal to acquire Illinois Tool Works Inc's industrial packaging unit for more than $3 billion, according to two people familiar with the matter.* IBM, the world's biggest technology service provider, is considering the sale of its semiconductor unit, and has appointed Goldman Sachs to sound out possible buyers for the business, the Financial Times reported, citing people familiar with the matter. ()* Billionaire Anil Ambani-led Reliance Group's move to delist two of its companies, Reliance Broadcast Network  and Reliance MediaWorks, from the bourses is part of a larger restructuring strategy which may involve partially or fully selling some parts of its media and entertainment business, the Mint newspaper reported, citing two people familiar with the development. () * CVC Capital Partners Ltd, Carlyle Group LP  and PAI Partners SAS are among buyout firms considering offers for a majority stake in Spanish food group Deoleo SA, the Bloomberg news reported, citing people familiar with the matter. () * Private equity firm AEA Investors LP is in advanced talks to acquire Gypsum Management and Supply Inc, a privately held maker of specialty building materials, for more than $700 million, according to three people familiar with the matter. * Papua New Guinea has decided to raise A$1.68 billion ($1.51 billion) to pay off a bond it issued to Abu Dhabi in 2009 instead of giving up a strategic stake in oil and gas producer Oil Search, a source familiar with the decision told Reuters.* Private equity firm Oaktree Capital Group is looking to sell Osmose Holdings Inc, which makes wood preservation chemicals and also provides services to railroads and utilities, in a deal that could value the company at close to $900 million, according to people familiar with the matter.For the Morning News Call-EMEA newsletter click on",2014-02-07,ITW,"Thu Feb 6, 2014 | 11:11pm EST",Market Chatter- Corporate finance press digest,http://www.reuters.com//article/market-chatter-idUSL3N0LC0YA20140207?type=companyNews
8,"  BRUSSELS, March 11 The following are mergers under review by the European Commission and a brief guide to the EU merger process:APPROVALS AND WITHDRAWALS --  Rio Tinto's sale of its majority stake in Australia's third-largest thermal coal mine, the Clermont mine, to Glencore Xstrata and Japan's Sumitomo Corporation  (approved March 11)NEW LISTINGS -- Carlyle Group to buy Illinois Tool Works Inc's  industrial packaging unit for $3.2 billion (notified March 7/deadline April 11/simplified)-- Sale by Britain's Royal Bank of Scotland of some structured retail investor products and equity derivatives businesses to France's BNP Paribas (notified March 6/deadline April 10)EXTENSIONS AND OTHER CHANGES NoneFIRST-STAGE REVIEWS BY DEADLINE MARCH 14 -- U.S. food packager Crown Holdings to buy Spanish food-can maker Mivisa Envases from investment funds the Blackstone Group, N+1 Mercapital and management (notified Jan. 24/deadline extended to March 14 from Feb. 28 after Crown Holdings offered concessions)MARCH 17 -- Ireland's Kendrick Investments Ltd to take sole control of Irish oil company Topaz Energy Group and Irish investment fund Resource Property Investment Fund Plc (notified Feb. 10/deadline March 17/simplified)MARCH 18 -- British pension fund Universities Superannuation Scheme Limited (USS) to acquire 49.9 percent of British air traffic controller The Airline Group Ltd whose shareholders are British Airways, Easyjet and Monarch Airlines  (notified Feb. 11/deadline March 18)MARCH 25 -- U.S. agriculture machinery maker Agco Corp and GAZ, which is a unit of Russian car maker Basic Element, to set up a joint venture (notified Feb. 18/deadline March 25/simplified) MARCH 26 -- South Korean holding company Lotte to acquire joint control of coffee maker Nestle Korea from Switzerland's Nestle  (notified Feb. 19/deadline March 26/simplified)MARCH 27 -- French utility GDF Suez, Omnes Capital and Predica Prevoyance Dialogue du Credit Agricole to acquire joint control of Futures Energies Investissements Holdings which is now solely controlled by GDF Suez (notified Feb. 20/deadline March 27/simplified)-- Infrastructure operator Global Via Infraestructuras, which is 50 percent owned by Spanish bank Bankia, and LBEIP, which is a subsidiary of British lender Lloyds Bank to acquire joint control of Spanish hospital operator OHL Phunciona (notified Feb. 20/deadline March 27/simplified)APRIL 4 -- Mexican cement producer Cemex to acquire Swiss peer Holcim's Spanish cement business (notified Feb. 28/deadline April 4)APRIL 7  -- U.S. investment firm The Gores Group to acquire British grocer Premier Foods' Hovis unit (notified March 3/deadline April 7/simplified)APRIL 8 -- U.S. media company Discovery Communications to acquire a controlling interest in European sports broadcaster Eurosport International from French media group TF1  (notified March 4/deadline April 8)APRIL 9 -- Israeli conglomerate Ben-Moshe Group and Dolphin Fund to acquire Israel group IDB Development Corp Ltd (notified March 5/deadline April 9/simplified)-- Dutch company Varo Energy, which is controlled by the Carlyle Group, to acquire assets from Austrian oil group OMV  (notified March 5/deadline April 9/simplified)APRIL 10 -- Japanese chemicals producer Kuraray to buy U.S. peer DuPont's glass laminating solutions business (notified March 6/deadline April 10) MAY 2 -- Swiss cement maker Holcim to buy some of Mexican peer Cemex's assets in Europe .  (notified Sept. 3/deadline extended for the second time to May 2 from March 31)MAY 14 -- Spanish telecoms provider Telefonica to buy Dutch peer KPN's German unit (notified Oct. 31/Commission opened in-depth probe on Dec. 20, new deadline May 14)MAY 16 -- Switzerland-based INEOS and Belgian chemicals company Solvay to form a joint venture (notified Sept. 16/deadline extended to May 16 after additional concessions offered)MAY 19 -- Hutchison 3G UK to acquire Telefonica Ireland, a unit of Spanish telecoms provider Telefonica  (notified Oct. 1/deadline extended for the second time to May 19 from April 24 after Hutchison offered concessions)JULY 22 -- U.S. chemical maker Huntsman Corp to acquire U.S. peer Rockwood Holdings's titanium dioxide pigments business (notified Jan. 29/deadline extended to July 22 from March 5 after the European Commission opened an in-depth probe)GUIDE TO EU MERGER PROCESS DEADLINES: The European Commission has 25 working days after a deal is  filed for a first-stage review. It may extend that by 10 working days to 35 working days, to consider either a company's proposed remedies or an EU member state's request to handle the case.Most mergers win approval but occasionally the Commission  opens a detailed second-stage investigation for up to 90  additional working days, which it may extend to 105 working  days.SIMPLIFIED: Under the simplified procedure, the Commission announces the clearance of uncontroversial first-stage mergers without giving any reason for its decision. Cases may be reclassified as non-simplified -- that is, ordinary first-stage reviews -- until they are approved.",2014-03-11,ITW,"Tue Mar 11, 2014 | 5:13pm EDT",EU mergers and takeovers (March 11),http://www.reuters.com//article/eu-mergers-takeovers-idUSL6N0M84LU20140311?type=companyNews
9,"  BRUSSELS, April 4 The following are mergers under review by the European Commission and a brief guide to the EU merger process:APPROVALS AND WITHDRAWALS -- Carlyle Group to buy Illinois Tool Works Inc's  industrial packaging unit for $3.2 billion (approved April 4)NEW LISTINGS NoneEXTENSIONS AND OTHER CHANGES -- Japanese chemicals producer Kuraray to buy U.S. peer DuPont's glass laminating solutions business (notified March 6/deadline extended to April 29 from April 10 after Kuraray offered concessions)-- Spanish telecoms provider Telefonica to buy Dutch peer KPN's German unit (notified Oct. 31/deadline extended to May 28 from May 14 after Telefonica asked for more time)-- Hutchison 3G UK to acquire Telefonica Ireland, a unit of Spanish telecoms provider Telefonica  (notified Oct. 1/deadline suspended while the Commission waits for details of Hutchison's revised concessions)FIRST-STAGE REVIEWS BY DEADLINE APRIL 8 -- U.S. media company Discovery Communications to acquire a controlling interest in European sports broadcaster Eurosport International from French media group TF1  (notified March 4/deadline April 8)APRIL 10 -- Sale by Britain's Royal Bank of Scotland of some structured retail investor products and equity derivatives businesses to France's BNP Paribas (notified March 6/deadline April 10)APRIL 15 -- Deutsche Telekom to acquire control of GTS Central Europe from a consortium of international private equity firms (notified March 11/deadline April 15)APRIL 22  -- Australian investment fund AMP Capital Investors Ltd  to acquire joint control of Luxembourg-based train leasing company Alpha Trains (Luxembourg) Holdings Sari (notified March 13/deadline April 22/simplified)APRIL 23 -- Mexican cement producer Cemex to acquire Swiss peer Holcim's Spanish cement business (notified Feb. 28/deadline extended to April 23 from April 4 after Cemex submitted concessions)-- U.S. cable company Liberty Global to acquire Dutch peer Ziggo (notified March 4/deadline April 23)APRIL 24 -- British engineering group John Wood and German peer Siemens to form a joint venture (notified March 17/deadline April 24)-- Japanese spirits maker Suntory Holdings Ltd to buy U.S. spirits company Beam Inc (notified March 17/deadline April 24)APRIL 25 -- Sweden's Volvo Construction Eequipment Aktiebolag to buy truck maker Terex Equipment Ltd (notified March 18/deadline April 25) APRIL 29 -- Private equity firm Silver Lake to acquire U.S. talent agencies William Morris Endeavour Entertainment LLC and IMG Worldwide Holdings Inc (notified March 20/deadline April 29/simplified)-- Private equity funds Bain Capital and Anchorage Capital to jointly acquire bathroom products maker Ideal Standard, which is now solely controlled by Bain Capital (notified March 20/deadline April 29/simplified)-- British oil company DCC Energy to acquire Swedish motor fuels distributors Qstar Forsaljning, Qstar AB and Swedish payment cards software maker Card Network Solutions Europe AB (notified March 20/deadline April 29)APRIL 30 -- British insurer Rothesay Life to buy Metlife Assurance (notified March 21/deadline April 30)MAY 2 -- Swiss cement maker Holcim to buy some of Mexican peer Cemex's assets in Europe .  (notified Sept. 3/deadline extended for the second time to May 2 from March 31) MAY 5 -- Swiss-based chemicals company Ineos   to buy South African petrochemicals group Sasol Ltd's German solvent business (notified March 25/deadline May 5)MAY 7 -- Brookfield Infrastructure Fund to buy joint control of U.S. container terminal operator APM Terminals North America Inc which is now solely owned by New York port operator APM Terminals Elizabeth LLC (notified March 27/deadline May 7/simplified)MAY 8 -- Chinese PC maker Lenovo to International Business Machine Corp's low-end server business (notified March 28/deadline May 8/simplified)MAY 16 -- Switzerland-based INEOS and Belgian chemicals company Solvay to form a joint venture (notified Sept. 16/deadline extended to May 16 after additional concessions offered)AUG 29 -- U.S. chemical maker Huntsman Corp to acquire U.S. peer Rockwood Holdings's titanium dioxide pigments business (notified Jan. 29/deadline Aug. 20/commitments submitted on March 28)GUIDE TO EU MERGER PROCESS DEADLINES: The European Commission has 25 working days after a deal is  filed for a first-stage review. It may extend that by 10 working days to 35 working days, to consider either a company's proposed remedies or an EU member state's request to handle the case.Most mergers win approval but occasionally the Commission  opens a detailed second-stage investigation for up to 90  additional working days, which it may extend to 105 working  days.SIMPLIFIED: Under the simplified procedure, the Commission announces the clearance of uncontroversial first-stage mergers without giving any reason for its decision. Cases may be reclassified as non-simplified -- that is, ordinary first-stage reviews -- until they are approved.   (Editing by Foo Yun Chee)",2014-04-04,ITW,"Fri Apr 4, 2014 | 12:46pm EDT",EU mergers and takeovers (April 4),http://www.reuters.com//article/eu-mergers-takeovers-idUSL5N0MW3YE20140404?type=companyNews
