,Article,Date,Symbol,Time,Title,Url
0,"  NEW YORK Jan 3 The New York Federal Reserve Bank filed a motion on Friday to dismiss a lawsuit brought by a former employee who claimed she was fired after refusing to alter a critical examination of Goldman Sachs Group Inc.The ex-employee, Carmen Segarra, said after examining Goldman's legal and compliance divisions for seven months, she found the bank did not have policies to prevent conflicts of interest as required by regulation.In a 30-page court document, lawyers for the New York Fed said some of Segarra's claims were ""implausible owing to numerous contradictions within her pleading.""""Most glaringly, the allegation that Goldman Sachs did not  have any conflict of interest policy is belied by plaintiff's own exhibits, which show that the 'nonexistent' policies were, in fact, available on Goldman Sachs's public website,"" the document said. Attorneys who filed the motion in federal court in the Southern District of New York and Segarra's lawyer, Linda Stengle, did not immediately respond to a request for comment. A Goldman Sachs spokesperson also did not respond to a request for comment. According to Segarra's lawsuit, the New York Fed's Legal Compliance and Risk team voted to downgrade Goldman's annual rating pertaining to policies and procedures as a result of  findings. She alleges that two New York Fed officials overseeing the Wall Street bank, Michael Silva and his deputy Michael Koh, were concerned a downgrade would hurt the Goldman's business.Both Koh and Silva are named as defendants in Segarra's lawsuit, as well as her former supervisor, Johnathon Kim. Segarra was assigned to Goldman's legal and compliance divisions from October 2011 until May 2012, and looked into three controversial transactions related to Solyndra, Capmark and the merger of El Paso and Kinder Morgan Inc. At that point, Kim, Silva and Koh fired her and had her escorted from the building by security guards after weeks of disputes and pressure to change her examination findings, the lawsuit said.The case is Segarra v. The Federal Reserve Bank of New York et al in the U.S District Court for the Southern District Of New York, No. 1:13-cv-07173-RA",2014-01-04,KMI,"Fri Jan 3, 2014 | 9:00pm EST",NY Fed moves to dismiss suit brought by former Goldman examiner,http://www.reuters.com//article/nyfed-goldman-idUSL2N0KE00S20140104?type=companyNews
1,"  Kinder Morgan Energy Partners LP KMP.N, the largest U.S. pipeline company, said on Wednesday its quarterly income and distributions rose in the fourth quarter, helped by acquisitions.The Houston-based master limited partnership's (MLP) quarterly distribution rose to $1.36 per unit, up 5 percent. The partnership's distributable cash flow rose 28 percent from a year earlier to $635 million.MLPs, a corporate structure favored by energy companies, grow through acquisition and pay no taxes because nearly all profits are paid out to investors in the form of distributions. Including certain items, the partnership's net income was $818 million compared with $647 million for the fourth quarter last year. Kinder Morgan Inc (KMI.N), the MLP's general partner with a controlling stake, acquired Copano Energy LLC in May 2013 and also bought the pipeline and gather assets of El Paso Corp in May 2012. (Reporting By Anna Driver)",2014-01-15,KMI,"Wed Jan 15, 2014 | 4:54pm EST","Kinder Morgan has higher fourth-quarter profit, distribution",http://www.reuters.com//article/us-kindermorgan-results-idUSBREA0E1L320140115?type=companyNews
2,"  Jan 15 Kinder Morgan Energy Partners LP, the largest U.S. pipeline company, said on Wednesday its quarterly income and distributions rose in the fourth quarter, helped by acquisitions.The Houston-based master limited partnership's (MLP) quarterly distribution rose to $1.36 per unit, up 5 percent.     The partnership's distributable cash flow rose 28 percent from a year earlier to $635 million. MLPs, a corporate structure favored by energy companies, grow through acquisition and pay no taxes because nearly all profits are paid out to investors in the form of distributions. Including certain items, the partnership's net income was $818 million compared with $647 million for the fourth quarter last year. Kinder Morgan Inc, the MLP's general partner with a controlling stake, acquired Copano Energy LLC in May 2013 and also bought the pipeline and gather assets of El Paso Corp in May 2012.",2014-01-15,KMI,"Wed Jan 15, 2014 | 4:53pm EST","UPDATE 1-Kinder Morgan has higher 4th-qtr profit, distribution",http://www.reuters.com//article/kindermorgan-results-idUSL2N0KP1YX20140115?type=companyNews
3,  NEW YORK Jan 15 Kinder Morgan Inc :  * Shares were down 2.3 percent after the bell following results   ,2014-01-15,KMI,"Wed Jan 15, 2014 | 4:27pm EST",BRIEF-Kinder Morgan shares down 2.3 pct after the bell following results,http://www.reuters.com//article/kindermorgan-brief-idUSWEN00C4920140115?type=companyNews
4,"  * Bank of America climbs in premarket after earnings* Empire State manufacturing, PPI data due* Futures up: Dow up 45, SPX up 4.1 Nasdaq up 13.25By Chuck MikolajczakNEW YORK, Jan 15 U.S. stock index futures rose on Wednesday, indicating the S&P 500 will build on its biggest gain in nearly a month, earnings from Bank of America and ahead of data on inflation and manufacturing.* Bank of America shares climbed 2 percent to $17.10 before the opening bell after the second-largest U.S. bank  reported an eight-fold jump in fourth-quarter profit, driven by a steep fall in provisions to cover bad loans. * The S&P 500 rose 1.1 percent on Tuesday, its biggest climb since Dec. 18, as a strong December retail sales reading eased concerns that economic growth might be slowing and stocks may be expensive.* Economic data due at 8:30 a.m. (1330 GMT) includes Empire State manufacturing survey for January and the producer price index for December. The New York Fed data is expected to show a reading of 3.75 while producer prices are expected to rise 0.4 percent.* Later in the session at 2:00 p.m. (1900 GMT), the Federal Reserve will release its Beige Book of economic conditions. * Other S&P 500 companies scheduled to report earnings on Wednesday include CSX Corp and Kinder Morgan Inc .* Concerns have crept in among investors recently that stock prices may have become extended. The S&P 500's forward price to earnings ratio is at its highest level in nearly seven years. The benchmark S&P 500 surged about 30 percent in 2013. * S&P 500 futures rose 4.1 points and were above fair value, a formula that evaluates pricing by taking into account interest rates, dividends and time to expiration on the contract. Dow Jones industrial average futures gained 45 points and Nasdaq 100 futures added 13.25 points.* General Motors Co gained 2.7 percent to $41.08 in premarket trade after the automaker said it will pay the first quarterly dividend on its common stock in almost six years.* Chelsea Therapeutics International Ltd surged 154.4 percent to $5.85 in premarket after an advisory panel to the U.S. Food and Drug Administration concluded on Tuesday a drug to treat a rare form of low blood pressure made by the company is effective enough to warrant regulatory approval.* European shares rose to fresh 5-1/2 year highs, buoyed by a better global growth outlook from the World Bank, with gains supported by easing regulatory concerns over banks in the euro zone.* Asian share markets were mostly higher as the World Bank upgraded its outlook for the global economy while the dollar extended gains in the wake of surprising strength in U.S. consumer spending.",2014-01-15,KMI,"Wed Jan 15, 2014 | 7:37am EST",US STOCKS-Futures higher after Bank of America results; data due,http://www.reuters.com//article/markets-usa-stocks-idUSL2N0KP0JI20140115?type=companyNews
5,"  (Adds deal terms, CEO quote)April 28 El Paso Pipeline Partners LP  said it would buy natural gas assets from Kinder Morgan Inc  for about $2 billion, including $1.01 billion of debt.El Paso Pipeline said as part of the deal, it would acquire a 50 percent interest in Ruby Pipeline, a 50 percent interest in Gulf LNG and a 47.5 percent interest in Young Gas Storage.The deal, which was previously announced, is expected to close in May. El Paso, a master limited partnership (MLP) with a general partner owned by Kinder Morgan Inc, plans to fund the deal with with EPB units issued to Kinder Morgan Inc as well as proceeds from debt or equity issues.""These assets will generate substantial, stable cash flow to EPB unitholders for many years to come, and KMI will reduce its debt outstanding and continue to participate in the cash flows from these assets through its general and limited partner interests in EPB,"" Kinder Morgan Chief Executive Rich Kinder said in a statement. MLPs pay no federal taxes and pass profits to investors called unitholders. The partnerships are favored by energy companies for tax efficiency, an advantage that lowers the cost of capital. (Reporting by Ankit Ajmera in Bangalore; Editing by Savio D'Souza, Bernard Orr)",2014-04-28,KMI,"Mon Apr 28, 2014 | 5:33pm EDT",UPDATE 1-El Paso to buy natural gas assets from Kinder Morgan for $2 bln,http://www.reuters.com//article/elpasopipelin-kindermorgan-idUSL3N0NK5CB20140428?type=companyNews
6,"  (Repeats for wider audience)April 28 El Paso Pipeline Partners LP  said it would buy natural gas assets from Kinder Morgan Inc  for about $2 billion, including $1.01 billion of debt.  El Paso Pipeline said as part of the deal, it would acquire 50 percent interest in Ruby Pipeline, 50 percent interest in Gulf LNG and 47.5 percent interest in Young Gas Storage.     (Reporting by Ankit Ajmera in Bangalore; Editing by Savio D'Souza) ",2014-04-28,KMI,"Mon Apr 28, 2014 | 5:08pm EDT",RPT-El Paso to buy natural gas assets from Kinder Morgan for $2 bln,http://www.reuters.com//article/elpasopipelin-kindermorgan-idUSL3N0NK5CO20140428?type=companyNews
7,"  April 28 El Paso Pipeline Partners LP  said it would buy natural gas assets from Kinder Morgan Inc  for about $2 billion, including $1.01 billion of debt. El Paso Pipeline said as part of the deal, it would acquire 50 percent interest in Ruby Pipeline, 50 percent interest in Gulf LNG and 47.5 percent interest in Young Gas Storage.     (Reporting by Ankit Ajmera in Bangalore; Editing by Savio D'Souza)  ",2014-04-28,KMI,"Mon Apr 28, 2014 | 4:21pm EDT",El Paso to buy natural gas assets from Kinder Morgan for $2 bln,http://www.reuters.com//article/elpasopipelin-kindermorgan-idUSL3N0NK52N20140428?type=companyNews
8,"  May 12 Gasoline was spilled at a pipeline pumping station in western South Carolina owned by Kinder Morgan Energy Partners LP, the Wall Street Journal reported on Monday.The report said the company did not say how much gasoline was released, but said the spill is contained within the Plantation Pipe Line Co facility in Anderson, South Carolina. Kinder Morgan was not immediately available for comment and the current operational status of the line is unknown.  Kinder Morgan owns 51 percent of Plantation Pipe Line Co and operates the system, which delivers about 600,000 barrels per day of gasoline, jet fuel, diesel and biodiesel through its 4,989 km pipeline network which originates in Louisiana and ends in the Washington, D.C. area, according to the company's website.   (Reporting by Anupam Chatterjee in Bangalore; Editing by Richard Chang)",2014-05-13,KMI,"Mon May 12, 2014 | 8:39pm EDT",Gasoline spilled at Kinder Morgan station in S. Carolina -WSJ,http://www.reuters.com//article/gasoline-spill-kindermorgan-pipeline-idUSL3N0NY6NJ20140513?type=companyNews
9,"  Kinder Morgan Energy Partners LP, the largest U.S. oil and natural gas pipeline company, on Wednesday said second quarter profit fell from a year earlier when results were boosted by a large gain related to an acquisition.Profit in the quarter at the Houston-based master limited partnership (MLP) was $669 million compared with $1 billion a year ago. Per unit earnings, after payments to general partner Kinder Morgan Inc were 43 cents per unit, down from $1.41 per unit in the 2013 second quarter. The amount of cash available to be paid to unitholders, or distributable cash flow, rose 11 percent to $561 million.        (Reporting by Anna Driver; Editing by Marguerita Choy)",2014-07-16,KMI,"Wed Jul 16, 2014 | 5:46pm EDT",Kinder Morgan Partners reports lower quarterly profit,http://www.reuters.com//article/us-kindermorgan-results-idUSKBN0FL2KH20140716?type=companyNews
