,Article,Date,Symbol,Time,Title,Url
0,"   By Mridhula Raghavan  CarMax Inc (KMX.N), the largest used-car seller in the United States, reported lower-than-expected quarterly results, weighed down by tepid sales to subprime customers, indicating that the credit-fueled growth of recent quarters was slowing down.Shares of the company, which also increased its share buyback program by $1 billion, fell as much as 5 percent on Friday.CarMax, which gets about a fifth of its business from customers with weak credit profiles, said sales financed by third-party subprime providers remained flat at 17 percent of used vehicle sales in the fourth quarter.The first three quarters saw increases of 5 percent, 3 percent and 3 percent, driven by a revival in lending to subprime borrowers last year.The increase in lending, which had dried up in the aftermath of the credit crisis in 2008, drove auto sales and much of car dealerships' profit in 2013.""We are unlikely to see significant further improvements in credit availability and that really showed up in their results today,"" Wedbush Securities analyst Seth Basham said. CarMax had indicated in December that it would start lending to subprime borrowers — those with weak credit profiles — in an effort to reduce its reliance on third-party car-loan providers that were beginning to tighten their lending norms.The company said it had originated $9.1 million of the planned $70 million it had set aside to offer financing to customers with weak credit profiles.CarMax's shares have fallen about 10 percent since its December announcement, with investors wary of the company's decision to take on increased risk by lending to subprime borrowers. ""We believe that the credit-fueled growth that the company has experienced over the last few quarters has now slowed,"" RBC Capital Markets analyst Scot Ciccarelli said in a note to clients.Used-unit comparable growth, which is determined by traffic at its stores and buying conversion levels, rose 7 percent in the fourth quarter ended February 28, down from an increase of 10 percent in the third quarter.CarMax, which also sells new cars, said used car sales rose 12 percent to 132,856 in the fourth quarter. New car sales also rose 7 percent to 1,807 units. The company's net income fell to $99.2 million, or 44 cents per share, in the quarter, from $107.2 million, or 46 cents per share, a year earlier. Its profit included 8 cents per share related to an accounting correction driven by an increase in its cancellation reserves.Revenue rose 9 percent to $3.08 billion in the quarter.Analysts on average expected a profit of 53 cents per share on revenue of $3.18 billion, according to Thomson Reuters I/B/E/S.The company's shares were trading down 4 percent at $45.52 on the New York Stock Exchange.(Additional reporting by Abinaya Vijayaraghavan in Bangalore; Editing by Saumyadeb Chakrabarty and Simon Jennings)",2014-04-04,KMX,"Fri Apr 4, 2014 | 2:08pm EDT",CarMax results take hit from cautious subprime lenders,http://www.reuters.com//article/us-carmax-results-idUSBREA330RB20140404?type=companyNews
1,"  * Fourth-quarter earnings/share $0.44 vs $0.46 a year earlier* Originates $9.1 mln loans to subprime borrowers in January* Fourth-quarter revenue up $3.08 billion* Shares down as much as 5 percent   (Adds analyst comment, updates share price)By Mridhula RaghavanApril 4 CarMax Inc, the largest used-car seller in the United States, reported lower-than-expected quarterly results, weighed down by tepid sales to subprime customers, indicating that the credit-fueled growth of recent quarters was slowing down.Shares of the company, which also increased its share buyback program by $1 billion, fell as much as 5 percent on Friday.CarMax, which gets about a fifth of its business from customers with weak credit profiles, said sales financed by third-party subprime providers remained flat at 17 percent of used vehicle sales in the fourth quarter. The first three quarters saw increases of 5 percent, 3 percent and 3 percent, driven by a revival in lending to subprime borrowers last year.The increase in lending, which had dried up in the aftermath of the credit crisis in 2008, drove auto sales and much of car dealerships' profit in 2013.""We are unlikely to see significant further improvements in credit availability and that really showed up in their results today,"" Wedbush Securities analyst Seth Basham said. CarMax had indicated in December that it would start lending to subprime borrowers - those with weak credit profiles - in an effort to reduce its reliance on third-party car-loan providers that were beginning to tighten their lending norms.The company said it had originated $9.1 million of the planned $70 million it had set aside to offer financing to customers with weak credit profiles.CarMax's shares have fallen about 10 percent since its December announcement, with investors wary of the company's decision to take on increased risk by lending to subprime borrowers.""We believe that the credit-fueled growth that the company has experienced over the last few quarters has now slowed,"" RBC Capital Markets analyst Scot Ciccarelli said in a note to clients. Used-unit comparable growth, which is determined by traffic at its stores and buying conversion levels, rose 7 percent in the fourth quarter ended Feb. 28, down from an increase of 10 percent in the third quarter.CarMax, which also sells new cars, said used car sales rose 12 percent to 132,856 in the fourth quarter. New car sales also rose 7 percent to 1,807 units.The company's net income fell to $99.2 million, or 44 cents  per share, in the quarter, from $107.2 million, or 46 cents per share, a year earlier. Its profit included 8 cents per share related to an accounting correction driven by an increase in its cancellation reserves.Revenue rose 9 percent to $3.08 billion in the quarter.Analysts on average expected a profit of 53 cents per share on revenue of $3.18 billion, according to Thomson Reuters I/B/E/S.The company's shares were trading down 4 percent at $45.52 on the New York Stock Exchange.   (Additional reporting by Abinaya Vijayaraghavan in Bangalore; Editing by Saumyadeb Chakrabarty and Simon Jennings)",2014-04-04,KMX,"Fri Apr 4, 2014 | 1:39pm EDT",UPDATE 2-CarMax results take hit from cautious subprime lenders,http://www.reuters.com//article/carmax-results-idUSL4N0MW2QA20140404?type=companyNews
2,"  (Corrects paragraph 2 to add dropped word ""to"")April 4 CarMax Inc, the largest retailer of used cars in the United States, reported a 9 percent jump in quarterly revenue as easier availability of credit helped more Americans buy cars. The company's revenue rose to $3.08 billion in the fourth quarter ended Feb. 28, from $2.83 billion a year earlier. CarMax's net income fell to $99.2 million, or 44 cents per share, in the quarter, from $107.2 million, or 46 cents per share, a year earlier. CarMax, which also sells new cars, said used cars sold in the quarter rose 12 percent to 132,856 vehicles.   (Reporting By Abinaya Vijayaraghavan and Mridhula Raghavan in Bangalore)",2014-04-04,KMX,"Fri Apr 4, 2014 | 7:17am EDT",CORRECTED-CarMax revenue rises 9 percent on higher used car sales,http://www.reuters.com//article/carmax-results-idUSL4N0MT2VQ20140404?type=companyNews
3,"  * 330 stocks hit new 52-week highs on the NYSE* Dow's intraday record high not far from 17,000* Oracle slides, CarMax soars after results* RadioShack hits lifetime low, under $1 per share* Dow, S&P 500 and Nasdaq up 0.2 pct   (Updates with Dow approaching 17,000 level)By Angela MoonNEW YORK, June 20 U.S. stocks rose on Friday, driving the Dow and the S&P 500 to close at record highs as the shares of 330 companies hit 52-week highs on the New York Stock Exchange.The S&P 500 scored its third record closing high in a row while the Dow surpassed its previous record close on June 10. The blue-chip index hit an all-time intraday high at 16,978.02, coming close to the 17,000 mark. For the week, the three major U.S. stock indexes rose 1 percent as investors brushed off geopolitical concerns about Iraq and focused on the Federal Reserve's comments indicating that it will keep interest rates low for a long period of time.The benchmark S&P 500 has gained for six consecutive days, supporting a cautious view that a near-term correction may be inevitable.""I haven't been concerned for weeks, but I'm becoming a bit concerned now with where the market is, especially with many indicators hitting levels that are contrary to the normal reading,"" said Randy Frederick, managing director of active trading and derivatives for Charles Schwab in Austin, Texas.The most notable indicators included the correlation of the CBOE Volatility Index, known as the VIX, with the S&P 500. The VIX usually moves inversely to the S&P 500. The fear gauge is near its lowest since February 2007 while the S&P 500 is at an all-time high. For the VIX to be near the lowest level in more than seven years while the S&P 500 is at a record high is causing concern that the market may be too complacent. ""I'm expecting not a big correction like 10 percent or so, but a good 3 to 4 percent adjustment next week won't be a surprise,"" Frederick said.The VIX rose 2.2 percent to close at 10.85, still well below its long-term average of 20.Volume was higher than usual as Friday marked a ""quadruple witching"" day - the expiration of stock options, index options, index futures and single-stock futures. The Dow Jones industrial average rose 25.62 points or 0.15 percent, to end at 16,947.08. The S&P 500 gained 3.39 points or 0.17 percent, to 1,962.87. The Nasdaq Composite  added 8.71 points or 0.20 percent, to 4,368.04.For the week, the Dow rose 1 percent, the S&P 500 climbed 1.4 percent and the Nasdaq gained 1.3 percent.Oracle Corp shares dropped 4 percent to $40.82 and ranked among the biggest drags on the S&P 500. The stock's slide came a day after the software maker posted fiscal fourth-quarter results that disappointed investors looking for more progress against rivals selling web-based services.But CarMax surged 16.5 percent to $52.75. The stock was the S&P 500's best performer after the used-vehicle retailer reported first-quarter earnings that topped analysts' expectations.RadioShack Corp was among the 18 stocks that hit a 52-week low on the New York Stock Exchange on Friday. The stock hit a lifetime low, dropping into penny-stock territory for the first time on heavy volume. The stock fell 10.4 percent to 92 cents.Volume was heavy after RadioShack's stock fell under the threshold, with about 13 million shares exchanging hands, compared with its composite 25-day average of 3.9 million.About 7.2 billion shares changed hands on U.S. exchanges, well above the average of 5.5 billion for the month to date, according to data from BATS Global Markets.   (Editing by Jan Paschal)",2014-06-20,KMX,"Fri Jun 20, 2014 | 5:33pm EDT","US STOCKS-Dow, S&P 500 end at record highs; S&P up for 6th day",http://www.reuters.com//article/markets-usa-stocks-idUSL2N0P11QS20140620?type=companyNews
4,"  * 330 stocks hit new 52-week highs on the NYSE* Oracle slides, CarMax soars after results* RadioShack hits lifetime low, under $1 per share* Dow, S&P 500 and Nasdaq up 0.2 pct   (Updates to close)By Angela MoonNEW YORK, June 20 U.S. stocks rose on Friday, driving the Dow and the S&P 500 to close at record highs as the shares of 330 companies hit 52-week highs on the New York Stock Exchange.The S&P 500 scored its third record closing high in a row.For the week, the three major U.S. stock indexes rose 1 percent as investors brushed off geopolitical concerns about Iraq and focused on the Federal Reserve's comments indicating that it will keep interest rates low for a long period of time. The benchmark S&P 500 has gained for six consecutive days, supporting a cautious view that a near-term correction may be inevitable.""I haven't been concerned for weeks, but I'm becoming a bit concerned now with where the market is, especially with many indicators hitting levels that are contrary to the normal reading,"" said Randy Frederick, managing director of active trading and derivatives for Charles Schwab in Austin, Texas.The most notable indicators included the correlation of the CBOE Volatility Index, known as the VIX, with the S&P 500. The VIX usually moves inversely to the S&P 500. The fear gauge is near its lowest since February 2007 while the S&P 500 is at an all-time high. For the VIX to be near the lowest level in more than seven years while the S&P 500 is at a record high is causing concern that the market may be too complacent. ""I'm expecting not a big correction like 10 percent or so, but a good 3 to 4 percent adjustment next week won't be a surprise,"" Frederick said.The VIX rose 2.2 percent to close at 10.85, still well below its long-term average of 20.Volume was higher than usual as Friday marked a ""quadruple witching"" day - the expiration of stock options, index options, index futures and single-stock futures.The Dow Jones industrial average rose 25.62 points or 0.15 percent, to 16,947.08. The S&P 500 gained 3.39 points or 0.17 percent, to 1,962.87. The Nasdaq Composite  added 8.71 points or 0.20 percent, to 4,368.04. For the week, the Dow rose 1 percent, the S&P 500 climbed 1.4 percent and the Nasdaq gained 1.3 percent.Oracle Corp shares dropped 4 percent to $40.82 and ranked among the biggest drags on the S&P 500. The stock's slide came a day after the software maker posted fiscal fourth-quarter results that disappointed investors looking for more progress against rivals selling web-based services.But CarMax surged 16.5 percent to $52.75. The stock was the S&P 500's best performer after the used-vehicle retailer reported first-quarter earnings that topped analysts' expectations.RadioShack Corp was among the 18 stocks that hit a 52-week low on the New York Stock Exchange on Friday. The stock hit a lifetime low, dropping into penny-stock territory for the first time on heavy volume. The stock fell 10.4 percent to 92 cents.Volume was heavy after RadioShack's stock fell under the threshold, with about 13 million shares exchanging hands, compared with its composite 25-day average of 3.9 million.About 7.2 billion shares changed hands on U.S. exchanges, well above the average of 5.5 billion for the month to date, according to data from BATS Global Markets.   (Editing by Jan Paschal)",2014-06-20,KMX,"Fri Jun 20, 2014 | 5:12pm EDT","US STOCKS-Dow, S&P 500 end at record highs; S&P up for 6th day",http://www.reuters.com//article/markets-usa-stocks-idUSL2N0P11LX20140620?type=companyNews
5,"  * 'Quadruple witching' may boost volume, volatility* Oracle slumps, Carmax surges after results* Dow up 0.1 pct; S&P 500 up 0.1 pct; Nasdaq flat   (Updates to afternoon)By Angela MoonNEW YORK, June 20 U.S. stocks rose on Friday, pushing the Dow and the S&P 500 to record levels and setting the benchmark index up to score its fourth weekly advance over the past five.But trading is expected to become volatile as the session progresses. Friday marks a ""quadruple witching"" day - the expiration of stock options, index options, index futures and single-stock futures - as traders close hedging positions or roll them over at the last minute. The six-day run of gains for the S&P 500 index was its longest winning streak since mid-April. For the week so far, the S&P 500 has advanced 1.3 percent, while the Dow has gained 1.1 percent and the Nasdaq has added 1.2 percent.""I haven't been concerned for weeks, but I'm becoming a bit concerned now with where the market is, especially with many indicators hitting levels that are contrary to the normal reading,"" said Randy Frederick, managing director of active trading and derivatives for Charles Schwab in Austin, Texas.Among the most notable indicators were the correlation of the CBOE Volatility Index, known as the VIX, and the S&P 500. The VIX usually moves inversely to the performance of the S&P 500. The fear gauge is near its lowest since February 2007 while the S&P 500 is at an all-time high. ""I'm expecting not a big correction like 10 percent or so, but a good 3 to 4 percent adjustment next week won't be a surprise,"" Frederick said.The Dow Jones industrial average rose 21.67 points or 0.13 percent, to 16,943.13, after touching a record intraday high of 16,978.02. The S&P 500 gained 1.34 points or 0.07 percent, to 1,960.82, after climbing to a record intraday high of 1,963.91. The Nasdaq Composite dropped 1.77 points or 0.04 percent, to 4,357.56. Oracle Corp shares slid 4.4 percent to $40.64 and ranked among the biggest drags on the S&P 500 after the software maker posted fourth-quarter results that disappointed investors looking for more progress against rivals selling web-based services.But Carmax surged 17.9 percent to $53.40. The stock was the S&P 500's best performer after the used-vehicle retailer reported first-quarter earnings that topped analysts' expectations.Darden Restaurants fell 2.6 percent to $48.23 after the chain restaurant operator reported a much lower-than-expected quarterly profit as costs soared and sales at its flagship Olive Garden restaurant chain declined.Owens Corning tumbled 5.4 percent to $39.09 after the company lowered its 2014 earnings forecast, citing weakness in its roofing business.The stock of midstream energy company Targa Resources Corp  dropped 5 percent to $143.12 after Targa said it was no longer in discussions with Energy Transfer Equity LP, the pipeline company controlled by billionaire Kelcy Warren, regarding a deal. Shares of Targa Resource Partners, the company's energy logistics operating unit, sank 10.5 percent to $72.99.    (Editing by Jan Paschal)",2014-06-20,KMX,"Fri Jun 20, 2014 | 1:43pm EDT","US STOCKS-Dow, S&P 500 hit new highs; S&P set for six-day rally",http://www.reuters.com//article/markets-usa-stocks-idUSL2N0P111L20140620?type=companyNews
6,"  * 'Quadruple witching' may boost volume, volatility* Oracle slumps, Carmax surges after results* Indexes up: Dow 0.24 pct, S&P 0.2 pct, Nasdaq 0.13 pct   (Updates to open, adds comment)By Chuck MikolajczakNEW YORK, June 20 U.S. stocks climbed on Friday, lifting the S&P index to a third straight intraday high and its sixth day of gains, with the benchmark index also poised to notch its fourth weekly advance over the past five.Investors may see a spike of volume and volatility towards the closing bell as Friday marks a ""quadruple witching"" day - the expiration of stock options, index options, index futures and single-stock futures - as traders close hedging positions or roll them over at the last minute. The six-day run of gains in the S&P index was its longest winning streak since mid-April. For the week, the index is up 1.3 percent, while the Dow is up 1.1 percent and the Nasdaq has gained 1.2 percent.""There continues to be this hope that the economy improves, that growth improves. But for the markets, a slow steady growth environment is pretty much nirvana,"" said Tim Ghriskey, chief investment officer of Solaris Group in Bedford Hills, New York.""As long as there is modest upside, that is what generally investors are looking for that unfolds over time."" Oracle Corp shares were down 5.3 percent to $40.26 as the biggest drag on the S&P 500 after it posted fourth-quarter results that disappointed investors looking for more progress against rivals selling web-based services.But Carmax surged 14.3 percent to $51.76 as the best performer on the benchmark index after the used-vehicle retailer reported first-quarter earnings that topped analysts' expectations. The Dow Jones industrial average rose 40.1 points, or 0.24 percent, to 16,961.56, the S&P 500 gained 3.85 points, or 0.2 percent, to 1,963.33 and the Nasdaq Composite  added 5.60 points, or 0.13 percent, to 4,364.93.Darden Restaurants lost 3.2 percent to $47.95 after the chain restaurant operator reported a much-lower-than-expected quarterly profit as costs soared and sales at its flagship Olive Garden restaurant chain fell.Owens Corning slumped 3.8 percent to $39.71 after the company lowered its 2014 earnings forecast, citing weakness in its roofing business.Midstream energy company Targa Resources Corp fell 9.2 percent to $136.76 after it said it was no longer in discussions with Energy Transfer Equity LP, the pipeline company controlled by billionaire Kelcy Warren, regarding a deal. The company's energy logistics operating unit Targa Resource Partners lost 12.5 percent to $71.37.U.S.-listed shares of Shire jumped 19 percent to $228.22 after it rejected a 27 billion-pound ($46 billion) takeover offer from U.S. rival AbbVie, the latest attempt by a U.S. healthcare firm to tap into the London-listed group's low tax rate.    (Editing by Bernadette Baum)",2014-06-20,KMX,"Fri Jun 20, 2014 | 10:38am EDT","US STOCKS-Wall St rises modestly, poised for six-day rally",http://www.reuters.com//article/markets-usa-stocks-idUSL2N0P10LU20140620?type=companyNews
7,"  * 'Quadruple witching' may boost volume, volatility* Oracle slumps in premarket after results* Carmax surges in premarket after earnings* Futures up: Dow 25 pts, S&P 3.75 pts, Nasdaq 4.75 pts   (Updates prices)By Chuck MikolajczakNEW YORK, June 20 U.S. stock index futures pointed to a modestly higher open on Friday, putting the S&P on track to extend its record high with a sixth straight day of gains, and a fourth weekly gain over the past five. * Investors may see a spike of volume and volatility at the open and towards the closing bell as Friday marks a ""quadruple witching"" day - the expiration of stock options, index options, index futures and single-stock futures - as traders close hedging positions or roll them over at the last minute.* Oracle Corp shares were down 6.3 percent to $39.82 before the opening bell after it posted fourth-quarter results that disappointed investors looking for more progress against rivals selling web-based services.* Five days of gains in the benchmark S&P index marked its longest winning streak since mid-April. For the week, the index is up 1.2 percent, while the Dow is up 0.9 percent and the Nasdaq has gained 1.1 percent. * S&P 500 e-mini futures were up 3.75 points and fair value - a formula that evaluates pricing by taking into account interest rates, dividends and time to expiration on the contract - indicated a modestly higher open. Dow Jones industrial average e-mini futures rose 25 points and Nasdaq 100 e-mini futures added 4.75 points. * Darden Restaurants lost 4.1 percent to $48.51 in premarket trade after the chain restaurant operator reported a much-lower-than-expected quarterly profit as costs soared and sales at its flagship Olive Garden restaurant chain fell.* Owens Corning slumped 6.8 percent to $38.50 in premarket after the company lowered its 2014 earnings forecast, citing weakness in its roofing business.* Carmax surged 16.2 percent to $52.60 after the used-vehicle retailer reported first-quarter earnings that topped analysts' expectations.* Midstream energy company Targa Resources Corp  fell 9.8 percent to $135.89 before the opening bell after it said it was no longer in discussions with Energy Transfer Equity LP, the pipeline company controlled by billionaire Kelcy Warren, regarding a deal. Targa's energy logistics operating unit Targa Resource Partners lost 10.5 percent to $73.02.* U.S.-listed shares of Shire jumped 16.5 percent to $223.31 in premarket trading after it rejected a 27 billion-pound ($46 billion) takeover offer from U.S. rival AbbVie, the latest attempt by a U.S. healthcare firm to tap into the London-listed group's low tax rate.    (Editing by Bernadette Baum)",2014-06-20,KMX,"Fri Jun 20, 2014 | 9:09am EDT",US STOCKS-Wall St to open modestly higher; on pace for 6-day run,http://www.reuters.com//article/markets-usa-stocks-idUSL2N0P10D720140620?type=companyNews
8,"  June 24 Used-car retailer CarMax Inc's  advertisements promising its vehicles undergo quality checks are deceptive as it does not fix cars recalled by automakers before reselling them, 11 consumer groups said in a petition to the U.S. Federal Trade Commission, the New York Times reported.CarMax, however, said that used-car retailers were not authorized by automakers to carry out repairs to recalled cars.""CarMax provides the necessary information for customers to register their vehicle with the manufacturer to determine if it has an open recall and be notified about future recalls,"" CarMax spokesman Casey Werderman said in an email to Reuters on Tuesday. The petition, filed on Monday, is being supported by New York Senator Charles Schumer, the New York Times reported. (nyti.ms/1rv7Uhh) Werderman also said CarMax supported legislation mandating used-car retailers to fix recalled cars. The company sold 526,929 used cars in the year ended Feb. 28, according to its latest annual filing.Shares of CarMax, the largest U.S. used-car retailer, were down 3.4 percent at $50.16 in late trading on the New York Stock Exchange.   (Reporting by Ramkumar Iyer in Bangalore; Editing by Kirti Pandey)",2014-06-24,KMX,"Tue Jun 24, 2014 | 3:58pm EDT","Consumer groups seek FTC probe on CarMax for ""deceptive"" ads - NYT",http://www.reuters.com//article/carmax-investigation-idUSL4N0P53XZ20140624?type=companyNews
9,"   By Ankit Ajmera  CarMax Inc (KMX.N), the largest U.S. used-car retailer, reported a lower-than-expected quarterly profit as growth in comparable unit sales at its used-car lots slowed to a near halt, hurt by tighter lending norms that kept subprime customers at bay.Shares of the company, which also sells new cars, fell as much as 10 percent in early trading on Tuesday.CarMax's comparable unit sales growth at used-car stores open for at least a year slowed to 0.2 percent in the second quarter ended Aug. 31 from 15.9 percent, a year earlier. ""Significant increases of subprime sales have been a major driver of same-store sales growth for the company over the last few years,"" RBC Capital Markets analyst Scot Ciccarelli wrote in a note. ""As the growth from this customer base ebbs, it should have a negative impact on (comparable sales).""CarMax said 13.8 percent of the cars it sold to customers in the quarter were financed by third-party subprime loan providers, down from 18.5 percent, a year earlier. Sales of cars to subprime customers - buyers with a weak credit history - fell about 5,200 from a year earlier as lenders tightened credit terms, the company said. CarMax's used-car sales rose 6.3 percent to 143,325 units in the quarter, while new car sales rose 18 percent to 2,581. Chief Executive Tom Folliard said the traffic at CarMax's stores was high, but the number of people making purchases was relatively low, mainly due to ""less compelling offers"" by subprime lenders.The second quarter also had one less Saturday compared with the year-earlier quarter, which hurt comparable unit sales growth at used-car lots by 1 percentage point, the company said.  Net income rose to $154.5 million, or 70 cents per share, in the quarter from $140.3 million, or 62 cents per share, a year earlier. Excluding the proceeds of a lawsuit settlement, CarMax earned 64 cents per share. Revenue rose 11 percent to $3.60 billion. Analysts on average had expected a profit of 67 cents per share and revenue of $3.57 billion, according to Thomson Reuters I/B/E/S. The Richmond, Virginia-based company's shares were down 9 percent at $48.03 in noon trading on the New York Stock Exchange. Up to Monday's close, the stock had risen 5.6 percent this year, while the S&P 500 Index .SPX rose about 17 percent. (Reporting by Ankit Ajmera in Bangalore; Editing by Kirti Pandey)",2014-09-23,KMX,"Tue Sep 23, 2014 | 12:06pm EDT",Tighter subprime lending hurts used-car retailer CarMax,http://www.reuters.com//article/us-carmax-results-idUSKCN0HI15X20140923?type=companyNews
