,Article,Date,Symbol,Time,Title,Url
0,"  * 2013 crude shipments up 51 pct despite 8 pct decline in Q4* Pipeline startups replaced Bakken shipments, growth expected in Canadian crudeBy Kristen HaysHOUSTON, Jan 24 Kansas City Southern is ""working on several new opportunities"" to move Canadian heavy crude oil via rail to the U.S. Gulf Coast region, a top executive told analysts on Friday.The regional railroad operator's shipped crude volumes rose 51 percent in 2013 compared with the prior year, despite a pullback in shipments of North Dakota Bakken crude to the Gulf region, Patrick Ottensmeyer, executive vice president of sales and marketing, said on a quarterly earnings call.The company expects shipments of Canadian heavy crude to increase in 2014 and beyond, he said, as specialized offloading equipment is installed at various destination points, such as Port Arthur, Texas, New Orleans and Baton Rouge, Louisiana.""We are working on several new opportunities throughout the Gulf region,"" he said. On Thursday, safety officials in Canada and the United States urged regulators to take steps aimed at preventing fiery crashes of trains carrying crude oil, after a string of recent accidents.Kansas City Southern's results missed quarterly profit estimates on weakness in its energy business, primarily a drop in utility coal shipments.While the company's 2013 crude shipments jumped overall, they declined by 8 percent in the fourth quarter as refiner demand for North Dakota Bakken crude waned in the Gulf region. Pipeline startups brought more light-sweet Texas and Oklahoma crudes to the market at a lower cost, siphoning demand to move it via rail from West Texas and North Dakota.However, Kansas City Southern expects Canadian heavy crude shipments to the region to grow, executives said.""Our longer-term opportunity is going to be driven more by the heavy crude coming from Canada, which did increase significantly during the quarter, but not enough to offset the decline in Bakken and West Texas"" crude shipments, Ottensmeyer said. The railroad remains committed to a crude terminal operation in Port Arthur that will handle a 120-car train per day of Canadian heavy crude, he said.Port Arthur is home to three major refineries, including Motiva Enterprises' 600,000 barrels-per-day plant - the largest in the United States - and Valero Energy Corp's 290,000 bpd refinery.Kansas City Southern has not disclosed its partner in the Port Arthur offloading project, but Valero has said publicly that the company wants to increase Canadian crude supplies at its refinery there.Ottensmeyer said on Friday that once heating equipment needed to offload undiluted bitumen is permitted and built in Port Arthur and the other sites, more opportunities to move Canadian crude to the region will open up.""We still expect to deliver crude oil to Port Arthur this year,"" he added.",2014-01-24,KSU,"Fri Jan 24, 2014 | 3:10pm EST",UPDATE 1-Kansas City Southern says crude-by-rail volumes soared in 2013,http://www.reuters.com//article/kansascitysouthern-crude-rail-idUSL2N0KY13S20140124?type=companyNews
1,"  (For more market insights, including options activity, click on  ; for the Day Ahead newsletter link.reuters.com/mex49s;  for the Morning News Call newsletter, link.reuters.com/nex49s)   U.S. stocks fell on Friday in the wake of a selloff in emerging market assets, as expectations grew that the Federal Reserve will trim its market-friendly stimulus measures further next week. The Dow Jones industrial average was down 0.51 percent at 16,114.13, the S&P 500 was down 0.66 percent at 1,816.45 and the Nasdaq Composite was down 0.82 percent at 4,184.309.** MICROSOFT CORP, $37.1944, +3.16 pctThe company posted a bigger-than-expected quarterly profit on Thursday, boosted by strong sales of its software and services for businesses, a solid holiday season for its new Xbox game console and Surface tablets, and a slightly lower tax bill.** COVIDIEN PLC, $69.88, +4.58 pctThe medical devices maker posted a quarterly profit above analysts' estimates, helped by strong sales of its surgical products, especially vessel sealing and stapling devices.** PTC THERAPEUTICS INC, $23.98, -8.54 pctThe company said a committee of the European Medicines Agency recommended against a conditional approval to its drug for the treatment of a rare muscular disorder, sending its shares down nearly 30 percent in premarket trading.** BIODELIVERY SCIENCES INTERNATIONAL INC, $9.05, +44.80 pctAn experimental painkiller developed by the company and Endo Health Solutions Inc showed a significant improvement in pain relief compared with a placebo.At least two brokerages raised their price target on BioDelivery's stock on Friday.** XEROX CORP, $11.52, -2.04 pctThe company, best known as a maker of printers and copiers, reported weaker-than-expected quarterly revenue as growth in its services business stalled.** EBAY INC, $54.12, -1.49 pctActivist investor Carl Icahn's stake in the e-commerce company is more than previously reported at close to 2 percent, a source familiar with the matter said on Thursday. EBay said this week that Icahn had taken a 0.82 percent interest in the company earlier this month and made a non-binding proposal for eBay to spin off its PayPal payments business.** GENERAL MOTORS, $37.4, -2.65 pctThe company is seeking to cut shifts by half at one of its South Korean factories as it realigns global manufacturing in a move that could affect about 1,100 jobs, a source with direct knowledge of the matter told Reuters on Friday.** STARBUCKS CORP, $75.9104, +3.43 pctThe world's biggest coffee chain's quarterly sales at established restaurants in its U.S.-dominated Americas region cooled more than analysts expected as online shopping kept more consumers at home and reduced their visits to its coffee bars.However, the company boosted its fiscal 2014 earnings per share forecast to a range of $2.59 to $2.67, from $2.55 to $2.65 previously.** INTUITIVE SURGICAL INC, $419.905, -4.35 pctThe company said on Thursday that it expected to sell fewer of its high-priced da Vinci surgical robot systems in 2014 than last year and diverged from past practice by not providing a revenue forecast for the year.** JUNIPER NETWORKS INC, $28.158, +8.26 pctJana Partners LLC has taken a large stake in the network gear maker, a move that comes at a time when Juniper is being urged by one of its prominent investors to increase shareholder returns.** KANSAS CITY SOUTHERN, $96.12, -18.04 pctThe regional railroad operator missed fourth-quarter profit estimates on Friday amid weakness in its energy business, including lower coal shipments.** HONEYWELL INTERNATIONAL INC, $90.55, +0.84 pctThe diversified U.S. manufacturer of aerospace parts and climate control systems backed its 2014 financial targets, set last month, but forecast first-quarter earnings below Wall Street's estimates.** BRISTOL-MYERS SQUIBB CO, $55.19, +2.30 pct The drugmaker's quarterly sales and earnings beat Wall Street expectations, helped by cost cuts and growing sales of its treatments for cancer, blood clots and diabetes.** BOEING CO, $139.2, -1.49 pctThe reliability of Boeing's 787 Dreamliner is slowly improving but it is still not at a satisfactory level and the firm is working to improve the jet's performance, said Mike Fleming, Boeing's vice president for 787 support and services.** PROCTER & GAMBLE CO, $81.59, +4.28 pct** KIMBERLEY CLARK CORP, $110.32, +4.65 pctProcter & Gamble, the world's largest household products maker, said it expected organic sales, which strip out the impact of currency changes as well as acquisitions and divestitures, to rise 3-4 percent, and core earnings to rise 5-7 percent in 2014. However, the company reported lower quarterly profit, hurt by unfavorable currency movements and lower gross profit margin.Rival Kimberley Clark said its organic sales rose 5 percent, and forecast that they would rise 3-5 percent in 2014.** CST BRANDS INC, $31.31, -4.28 pctThe gas station operator and convenience merchandise retailer said on Thursday that its fourth-quarter motor fuel volume in both the United States and Canada was expected to be close to the low-end of its previous estimate.Motor fuel volume is expected to be 4,850-4,950 gallons per site per day in the United States and 3,300-3,400 gallons per site per day in Canada.The company also said it expected North America merchandise sales in the quarter to be at the low end of its prior forecast.** COMPUWARE CORP, $10.3573, -1.83 pctThe business software maker reported lower-than-expected third-quarter revenue on Thursday, hurt by lower fee from its software license business coupled with stagnant maintenance activities fee and professional services revenue.** QUALCOMM INC, $74.92, -1.25 pct** HEWLETT-PACKARD CO, $28.9, -1.60 pctChipmaker Qualcomm acquired a patent portfolio from Hewlett-Packard, including those of its iPaq smartphone, for an undisclosed amount. The portfolio comprises about 1,400 granted patents and pending patent applications from the United States and about 1,000 granted patents and pending patent applications from other countries. ** STANLEY BLACK & DECKER INC, $82.61, +2.74 pctThe power tools maker reported fourth-quarter results that beat analysts' estimates, driven by a 7 percent rise in volumes.The company reported a profit of $1.32 per share on revenue of $2.90 billion. Analysts on average had expected a profit of $1.30 per share on revenue of $2.87 billion, according to Thomson Reuters I/B/E/S.** ARCH COAL INC, $4.17, -1.65 pctAnalysts at Clarkson Capital Markets cut their rating on the coal producer's stock to ""underperform"" from ""market-perform,"" saying they expected the company to generate a negative free cash flow in 2015.Analysts also expressed concerns about declining productivity at Arch Coal's flagship steel-making metallurgical coal mine of Mountain Laurel, West Virginia.** RICE ENERGY INC, $21.13, +0.62 pctThe natural gas producer's shares rose as much as 7 percent in their U.S. market debut, valuing the company at about $2.9 billion. The 44-million-share offering raised about $924 million after being priced at $21 per share, the high end of the expected price range.** MCKESSON CORP, $175.25, +1.67 pctThe U.S. drugs distributor succeeded in its second attempt to win control of German peer Celesio in a deal with Celesio's two largest shareholders, German investment group Haniel and U.S. hedge fund Elliott.** INTERNATIONAL GAME TECHNOLOGY, $15.68, -11.16 pctThe slot-machine maker warned that its full-year profit would more likely be towards the lower end of its previous forecast due to continued weakness in the North American gaming market.** JA SOLAR HOLDINGS CO LTD, $8.88, -4.62 pct** RENESOLA LTD, $3.56, -5.82 pct ** YINGLI GREEN ENERGY HOLDING CO LTD, $5.98, -6.27 pct** TRINA SOLAR LTD, $13.98, -7.42 pct** CANADIAN SOLAR INC, $38.5, -6.28 pctU.S. trade officials opened investigations on Thursday into imports of certain solar power products from China and Taiwan, following a complaint at the end of last year by the U.S. unit of German solar manufacturer SolarWorld AG.The company at the time said it was seeking to close a loophole that enabled Chinese solar panel producers to evade U.S. import duties by using cells manufactured in other countries, mainly Taiwan.** LOCKHEED MARTIN CORP, $148.22, -1.51 pctA new U.S. Defense Department report warned that ongoing software, maintenance and reliability problems with Lockheed Martin's F-35 stealth fighter could delay the Marine Corps' plans to start using its F-35 jets by mid-2015.The company forecast on Thursday higher earnings in 2014 after charges linked to U.S. defense budget cuts and workforce reductions depressed earnings in the fourth quarter.** BANK OF AMERICA CORP, $16.66, -1.19 pctThe lender is looking to win more advisory and stock underwriting business to offset an expected slowdown in the issuance of corporate bonds, a top executive said in an interview on Thursday.** SYNGENTA AG, $74.94, -3.69 pctTwo leading U.S. grain groups have asked the world's largest crop chemicals company to suspend the commercial use in the United States of two genetically modified strains of corn not currently approved in China.** DIGI INTERNATIONAL INC, $10.58, -12.49 pctThe networking device maker forecast current-quarter results below analysts' estimates, after reporting lower-than-expected results for the first quarter on Thursday due to a fall in revenue in its product business.The company said its product revenue was hurt by a delay in orders from some customers.** APPLIED MICRO CIRCUITS CORP, $10.9, -3.96 pctThe chipmaker reported third-quarter revenue slightly below estimates on Thursday, prompting brokerage BMO Capital Markets to lower its price target on the company's stock to $12 from $14.** DISCOVER FINANCIAL SERVICES, $55.08, +5.11 pctThe credit card issuer reported a better-than-expected 11 percent rise in quarterly profit as more consumers used cards to make payments.** OPENTEXT CORP, $101.92, +12.47 pctThe Canadian business software maker's  second-quarter results beat analysts' estimates, driven by higher license sales and customer service revenue.** PROGENICS PHARMACEUTICALS INC, $6.43, -4.46 pctThe company filed a prospectus, called a shelf registration, with the U.S. Securities and Exchange Commission seeking to raise up to $150 million through the potential sale of securities that could include stock, debt securities, or warrants.** KKR & CO, $25.14, -2.44 pct** BLACKROCK INC, $311.22, -1.38 pctKKR & Co and BlackRock are among the investors in talks to buy a stake in China Huarong Asset Management Co Ltd as the bad debt manager seeks to raise more than $2 billion, people familiar with the matter told Reuters.** NOVARTIS, $80.23, -1.91 pctThe European Medicine Agency recommended rejecting an application from the Swiss drugmaker to market its heart failure drug serelaxin.** GOLDMAN SACHS GROUP INC, $168.92, -1.07 pctThe bank may stop traders from using certain chat messaging services to protect internal conversations that are lately being subjected to intense regulatory scrutiny, the Wall Street Journal reported.    (Compiled by Neha Dimri in Bangalore; Edited by Kirti Pandey)",2014-01-24,KSU,"Fri Jan 24, 2014 | 10:11am EST","MARKET PULSE-Rice Energy, Xerox, Covidien, Kansas City Southern",http://www.reuters.com//article/markets-usa-stocks-pulse-idUSL3N0KY45620140124?type=companyNews
2,"  Jan 24 Regional railroad operator Kansas City Southern missed fourth-quarter profit estimates on Friday amid weakness in its energy business, including lower coal shipments, sending its shares down more than 20 percent in early trading.The decline in its energy operations overshadowed strength in its intermodal, agriculture and automotive businesses.Kansas City, which operates in the Midwestern part of United States and in Mexico, earned $114 million, or $1.03 a share, in the fourth quarter through Dec. 31, compared with $93 million, or 83 cents a share, a year earlier. Analysts, on average, expected it to earn $1.10 a share on revenue of $618 million. Shares of the company were down 19 percent at $95.40 in morning trading on the New York Stock Exchange, after earlier falling as low as $92.50.The company's quarterly revenue grew 8.3 percent to $615.6 million, as it continued a focus in recent years on cross-border traffic. Still, total revenue from energy shipments fell 17 percent in the quarter, led by a drop in utility coal shipments. Excluding debt retirement costs and the impact of foreign exchange rate fluctuations, adjusted diluted earnings per share in the quarter were $1.03, compared with 92 cents in 2012.Kansas City runs north to south, while most other railroads run east to west.    (Reporting by Nivedita Bhattacharjee in Chicago; Editing by Bernadette Baum)",2014-01-24,KSU,"Fri Jan 24, 2014 | 10:05am EST",Kansas City Southern misses quarterly estimates; shares slump,http://www.reuters.com//article/kansascitysouthern-earnings-idUSL3N0KY47920140124?type=companyNews
3,"  HOUSTON Jan 24 Kansas City Southern is ""working on several new opportunities"" to move heavy Canadian crude oil via rail to the U.S. Gulf Coast region, a top executive told analysts on Friday.The railroad's shipped crude volumes rose by more than 50 percent in 2013, compared with the prior year, despite a pullback in shipments of North Dakota Bakken crude to the Gulf region, Patrick Ottensmeyer, executive vice president of sales and marketing, said on a quarterly earnings call. He said the company expects shipments of Canadian crude to increase in 2014 and beyond, particularly as specialized offloading equipment is installed at various destination points, such as Port Arthur, Texas, and Baton Rouge and New Orleans in Louisiana.  ""We are working on several new opportunities throughout the Gulf region,"" he said.",2014-01-24,KSU,"Fri Jan 24, 2014 | 9:26am EST",Kansas City Southern crude by rail volumes jump in 2013 - EVP,http://www.reuters.com//article/kansascity-crude-rail-idUSL2N0KY0R320140124?type=companyNews
4,"  April 16 Railroad operator Kansas City Southern  reported a 10 percent rise in first-quarter revenue, helped by higher shipments in its agriculture business.Revenue rose to $607.4 million from $552.8 million, while revenue at the company's agriculture business jumped 40 percent. Kansas City Southern's net income fell to $94 million, or 85 cents per share, for the quarter ended March 31, from $104.2 million, or 94 cents per share, a year earlier.  Excluding items, the company earned $1.05 per share.   (Reporting by Sagarika Jaisinghani in Bangalore; Editing by Simon Jennings)",2014-04-16,KSU,"Wed Apr 16, 2014 | 4:17pm EDT",Kansas City Southern revenue rises on higher grain shipments,http://www.reuters.com//article/kansas-city-sthn-results-idUSL3N0N849W20140416?type=companyNews
5,"  NEW YORK, July 8 Railroad owner Kansas City Southern has teamed up with oil product distributor Global Partners LP to build a major oil train terminal in Port Arthur, Texas that will import crude from Western Canada, the companies said in a statement on Tuesday.The terminal, which will initially be able to accept up to two trainloads of oil each day, would be one of the largest of its kind in the United States and could nearly double the amount of viscous Canadian crude sent to the U.S. Gulf Coast for refining.The project will be built on a 200-acre (80-hectare) plot leased by Global from Kansas City Southern, construction permits pending. The companies did not give a timeline for start-up. It represents an opportunity ""to capitalize on strong demand for the movement of Western Canadian crude initially to one of the world's premier refining centers in the U.S. Gulf Coast,"" said KCS President and Chief Executive David Starling. The terminal is part of a wider move by North American energy producers and railroads to ship oil by train as pipelines lag growing output in remote regions. From nearly none in 2008, there are now about 90 oil-by-rail projects in various stages of development in the United States alone. Trains carry about 1 million barrels of U.S. oil daily. A typical train exclusively carrying crude can hold around 70,000 barrels, making this terminal's potential around 140,000 barrels per day (bpd), one of the biggest in the United States. Running at capacity, it could nearly double the average 150,000 bpd of Canadian crude that already heads to the U.S. Gulf Coast.   (Reporting By Edward McAllister; Editing by Marguerita Choy)",2014-07-08,KSU,"Tue Jul 8, 2014 | 1:01pm EDT","Kansas City Southern, Global Partners plan Texas oil rail terminal",http://www.reuters.com//article/oil-railways-terminal-portarthur-idUSL2N0PJ19W20140708?type=companyNews
6,"  (Adds details, analysts estimates)July 18 Railroad operator Kansas City Southern  reported higher-than-expected quarterly revenue as it shipped more agriculture products and automobiles.Revenue from grain shipments rose 33 percent while it increased 25 percent in automotive in the second quarter ended June 30.Kansas City Southern operates on a unique, north-south route in central U.S. and derives half of its annual revenue from cross-border business with Mexico.Exports from the United States to Mexico rose 6 percent in the first five months of 2014 while imports increased 3 percent, according to latest data. (1.usa.gov/1lb5FeA) Intermodal shipments rose 14 percent, helped by an improving economy and customers seeking multiple modes of transportation network to enhance their market reach.The company recorded a 5 percent drop in revenue from energy shipments, hurt by a decline in utility coal shipments. Net income available to common stockholders jumped to $129.8 million, or $1.18 per share, in the second quarter ended June 30, from $15.4 million, or 14 cents per share, a year earlier.Excluding items, the company earned $1.21 per share. The year-ago quarter included debt retirement costs of $111.4 million.Total revenue rose 12 percent to $649.7 million.Analysts on average had expected earnings of $1.17 per share on revenue $645.1 million, according to Thomson Reuters I/B/E/S.The company's shares have dropped 3.08 percent in the past year, lagging a 22.88 percent rise in the S&P railroads index .   (Reporting by Ankit Ajmera in Bangalore; Editing by Maju Samuel and Sriraj Kalluvila)",2014-07-18,KSU,"Fri Jul 18, 2014 | 9:09am EDT","UPDATE 1-Kansas City Southern revenue beats on grain, automobile shipments",http://www.reuters.com//article/kansas-city-sthn-results-idUSL4N0PT3ST20140718?type=companyNews
7,"  July 18 Railroad operator Kansas City Southern  reported higher quarterly net income and revenue, helped by a jump in agriculture and automotive shipments.Net income available to common stockholders jumped to $129.8 million, or $1.18 per share, in the second quarter ended June 30, from $15.4 million, or 14 cents per share, a year earlier. Excluding items, the company earned $1.21 per share.  Total revenue rose 12 percent to $649.7 million.   (Reporting by Ankit Ajmera in Bangalore; Editing by Maju Samuel)",2014-07-18,KSU,"Fri Jul 18, 2014 | 8:14am EDT","Kansas City Southern revenue rises on higher grain, auto shipments",http://www.reuters.com//article/kansas-city-sthn-results-idUSL4N0PT3PY20140718?type=companyNews
8,"  (Adds details, background, shares)Oct 17 Railroad operator Kansas City Southern's  reported a higher-than-expected quarterly revenue as it shipped more grains and automobiles.Shares of the company were up about 4.4 percent at $121.5 in premarket trading on Friday.Revenue from automotive shipments rose 28 percent in the third quarter ended Sept. 30. Revenue from grain shipment increased more than 21 percent.U.S. auto sales were the best in eight years in the third quarter, and rose 9 percent in September to 1.24 million vehicles. (reut.rs/1vE1WA1)The United States has also seen a bumper corn crop this year. Last week the U.S. Agriculture Department raised its outlook for corn by 80 million bushels to a record 14.475 billion bushels for 2014, up about 4 percent from 2013. (1.usa.gov/J2ds1P) Kansas City Southern operates on a unique, north-south route in central United States and derives half of its annual revenue from cross-border business with Mexico.Exports from the United States to Mexico rose about 7 percent in the first eight months of 2014, while imports increased about 4 percent, according to latest data. (1.usa.gov/1lb5FeA) Kansas City's industrial and consumer products shipments rose 13 percent, while intermodal shipments increased 11 percent during the quarter.The company recorded a 4 percent drop in revenue from energy shipments, hurt by a decline in utility coal and frac sand shipments.Net income available to common stockholders jumped to $138 million, or $1.25 per share, in the third quarter ended Sept. 30, from $118.3 million, or $1.07 per share, a year earlier. Excluding items, the company earned $1.29 per share.Total revenue rose 9 percent to $677.5 million.Analysts on average had expected earnings of $1.26 per share on revenue of $671.77 million, according to Thomson Reuters I/B/E/S.Up to Thursday's close, the company's shares had dropped 6 percent in the past year, lagging a 17.19 percent rise in the S&P 500 Railroads index.   (Reporting by Ankit Ajmera in Bangalore; Editing by Joyjeet Das)",2014-10-17,KSU,"Fri Oct 17, 2014 | 8:40am EDT","UPDATE 1-Kansas City Southern revenue beats on higher auto, grain shipments",http://www.reuters.com//article/kansas-city-sthn-results-idUSL3N0SC4ID20141017?type=companyNews
9,"  Oct 17 Railroad operator Kansas City Southern's  quarterly revenue and profit increased on a jump in grain and automotive shipments.Net income available to common stockholders jumped to $138 million, or $1.25 per share, in the third quarter ended Sept. 30, from $118.3 million, or $1.07 per share, a year earlier. Excluding items, the company earned $1.29 per share.  Total revenue rose 9 percent to $677.5 million.",2014-10-17,KSU,"Fri Oct 17, 2014 | 8:13am EDT","Kansas City Southern revenue rises on higher grain, auto shipments",http://www.reuters.com//article/kansas-city-sthn-results-idUSL4N0PT2K420141017?type=companyNews
