,Article,Date,Symbol,Time,Title,Url
0,"  Furniture maker Leggett & Platt said it is looking to divest its underperforming store fixtures business and expects to take a $108 million goodwill impairment related to the business in the second quarter.The company is also exploring other strategic options for the business, which has been hurt by a fall in demand from major retailers, it said on Monday. The store fixtures group, a part of the company's commercial fixturing and components business, makes shelving, counters, showcases and garment racks for retailers and discount chains.It accounted for about 7 percent of the company's 2013 revenue. ""The Store Fixtures group is dependent upon capital spending by retailers on both new stores and remodeling of existing stores,"" the company said.The business' 2013 performance fell short of expectations and failed to rebound during the second quarter ended June 30, Leggett said. (bit.ly/1qZkxT3) It expects the pretax charge to reduce second-quarter earnings by 65 cents.  Analysts on average were expecting a profit of 47 cents per share, according to Thomson Reuters I/B/E/S. (Reporting by Mridhula Raghavan and Abinaya Vijayaraghavan in Bangalore; Editing by Don Sebastian)",2014-07-14,LEG,"Mon Jul 14, 2014 | 6:59pm EDT",Leggett & Platt considers sale of store fixtures business,http://www.reuters.com//article/us-leggett-platt-divestiture-idUSKBN0FJ2KL20140714?type=companyNews
1,"  (Adds details)July 14 Furniture maker Leggett & Platt  said it is looking to divest its underperforming store fixtures business and expects to take a $108 million goodwill impairment related to the business in the second quarter.The company is also exploring other strategic options for the business, which has been hurt by a fall in demand from major retailers, it said on Monday.The store fixtures group, a part of the company's commercial fixturing and components business, makes shelving, counters, showcases and garment racks for retailers and discount chains. It accounted for about 7 percent of the company's 2013 revenue. ""The Store Fixtures group is dependent upon capital spending by retailers on both new stores and remodeling of existing stores,"" the company said.The business' 2013 performance fell short of expectations and failed to rebound during the second quarter ended June 30, Leggett said. (bit.ly/1qZkxT3) It expects the pretax charge to reduce second-quarter earnings by 65 cents.Analysts on average were expecting a profit of 47 cents per share, according to Thomson Reuters I/B/E/S.   (Reporting by Mridhula Raghavan and Abinaya Vijayaraghavan in Bangalore; Editing by Don Sebastian)",2014-07-14,LEG,"Mon Jul 14, 2014 | 6:42pm EDT",UPDATE 1-Leggett & Platt considers sale of store fixtures business,http://www.reuters.com//article/leggett-platt-divestiture-idUSL4N0PP55620140714?type=companyNews
2,"  July 14 Office furniture maker Leggett & Platt  said it is considering a divestiture of its underperforming store-fixtures business and that it expects to take an impairment charge of $108 million in the second quarter to reflect a writeoff of the goodwill associated with the business.The performance of store fixtures business did not rebound during the second quarter as expected, with the deterioration of revenue and profitability most pronounced in May and June, the company said in a statement. The company said it is exploring strategic alternatives, including the possible divestiture of this business unit.  The pretax charge is expected to reduce second-quarter earnings by 65 cents.   (Reporting by Mridhula Raghavan in Bangalore; Editing by Don Sebastian)",2014-07-14,LEG,"Mon Jul 14, 2014 | 5:31pm EDT",Leggett & Platt considers sale of store-fixtures business,http://www.reuters.com//article/leggett-platt-divestiture-idUSL4N0PP51020140714?type=companyNews
3,"  (Adds items on RHB Capital, Leggett & Platt, Kindred Healthcare, VistaJet, BRICS bank and REC)July 15 The following corporate finance-related stories were reported by media:* Indonesia's Lion Air Group is in talks with Qantas Airways Ltd about buying the Australian carrier's stake in the Singapore-based affiliate of its budget airline Jetstar, a person familiar with the matter told Reuters.* Privately held U.S. billboard company Van Wagner, which owns billboards in New York's Times Square and on buses on the Las Vegas strip, is exploring a sale that could fetch more than $600 million, people familiar with the matter said.* Malaysia's state Employees Provident Fund and RHB Capital  have hired investment banks to advise on the country's biggest banking merger, sources with direct knowledge of the matter said. * Furniture maker Leggett & Platt said it is looking to divest its underperforming store fixtures business and expects to take a $108 million goodwill impairment related to the business in the second quarter. * Kindred Healthcare Inc raised its hostile bid for a stake in Gentiva Health Services Inc, stepping up its pursuit of the home healthcare services provided by Gentiva to an aging U.S. population.* Swiss private aviation firm VistaJet is in talks with bankers over a potential sale of the business which could fetch up to $900 million, two financial sources closely monitoring the deal said on Monday. * On the eve of the signing of a deal to launch a joint development bank, the BRICS nations have still not agreed on where the lender will be headquartered, a senior official involved in the talks told Reuters late on Monday.*  India's Rural Electrification Corp (REC), a state-run power sector lender, raised 15.15 billion rupees ($252.25 million) via 7-year bonds at 9.40 percent, three sources familiar with the deal said on Monday.For the deals of the day click onFor the Morning News Call-EMEA newsletter click on     (Compiled by Abhiram Nandakumar in Bangalore)",2014-07-15,LEG,"Tue Jul 15, 2014 | 2:08am EDT",UPDATE 1-Market Chatter-Corporate finance press digest,http://www.reuters.com//article/market-chatter-idUSL4N0PQ1B120140715?type=companyNews
4,"   By Jonathan Stempel  Carpenter Co, Leggett & Platt Inc, Mohawk Inc and three other makers of polyurethane foam agreed to pay as much as $128.5 million to settle lawsuits accusing them of conspiring to fix prices.The preliminary settlements with so-called indirect purchasers were disclosed on Friday in the federal court in Toledo, Ohio, and require court approval.Earlier settlements with other groups of plaintiffs in the nationwide litigation totaled $433.1 million. Polyurethane foam is used as cushioning and insulation to make such products as automobile seats, carpet underlay and furniture.Producers of such items accused foam manufacturers of violating the federal Sherman antitrust law by conspiring to coordinate the timing and size of price increases. According to court papers, the latest settlements included $63.5 million from Carpenter, $26.5 million from Leggett, $16 million from Mohawk, as much as $10.25 million from Hickory Springs Manufacturing Co, $9.5 million from Woodbridge Foam Corp and $2.75 million from Vitafoam Inc.The accords cover purchasers of products containing flexible polyurethane foam since Jan. 1, 1999. These purchasers won class-action status in April 2014. Part of the litigation continues, and a trial is scheduled to begin in October, court papers show.bCarpenter did not immediately respond to a request for comment. Marvin Miller, a lawyer for the indirect purchasers, declined to comment.The case is In re: Polyurethane Foam Antitrust Litigation, U.S. District Court, Northern District of Ohio, No. 10-md-02196.",2015-06-22,LEG,"Mon Jun 22, 2015 | 6:05pm EDT",Polyurethane foam makers in $128.5 mln US price-fixing accords,http://www.reuters.com//article/polyurethane-settlement-idUSL1N0Z82D020150622?type=companyNews
5,"  June 22 Carpenter Co, Leggett & Platt Inc , Mohawk Inc and three other makers of polyurethane foam agreed to pay as much as $128.5 million to settle lawsuits accusing them of conspiring to fix prices.The preliminary settlements with so-called indirect purchasers were disclosed on Friday in the federal court in Toledo, Ohio, and require court approval.Earlier settlements with other groups of plaintiffs in the nationwide litigation totaled $433.1 million.Polyurethane foam is used as cushioning and insulation to make such products as automobile seats, carpet underlay and furniture. Producers of such items accused foam manufacturers of violating the federal Sherman antitrust law by conspiring to coordinate the timing and size of price increases.According to court papers, the latest settlements included $63.5 million from Carpenter, $26.5 million from Leggett, $16 million from Mohawk, as much as $10.25 million from Hickory Springs Manufacturing Co, $9.5 million from Woodbridge Foam Corp and $2.75 million from Vitafoam Inc. The accords cover purchasers of products containing flexible polyurethane foam since Jan. 1, 1999. These purchasers won class-action status in April 2014. Part of the litigation continues, and a trial is scheduled to begin in October, court papers show.bCarpenter did not immediately respond to a request for comment. Marvin Miller, a lawyer for the indirect purchasers, declined to comment.The case is In re: Polyurethane Foam Antitrust Litigation, U.S. District Court, Northern District of Ohio, No. 10-md-02196.   (Reporting by Jonathan Stempel in New York; Editing by Andrew Hay)",2015-06-22,LEG,"Mon Jun 22, 2015 | 6:00pm EDT",Polyurethane foam makers in $128.5 mln US price-fixing accords,http://www.reuters.com//article/polyurethane-settlement-idUSL1N0Z829M20150622?type=companyNews
6,  April 28 Leggett & Platt Inc :* Sees FY 2016 earnings per share $2.40 to $2.60 from continuing operations* Q1 earnings per share $0.63 * Q1 earnings per share view $0.55 -- Thomson Reuters I/B/E/S* Raising EPS guidance * Increasing 2016 continuing operations eps guidance to $2.40 - $2.60 * Q1 sales $938 million versus i/b/e/s view $960.4 million* Sees fy sales $3.9 billion to $4.1 billion  Source text for Eikon:  Further company coverage:    (Bengaluru Newsroom),2016-04-28,LEG,"Thu Apr 28, 2016 | 6:08pm EDT",BRIEF-Leggett & Platt Q1 earnings per share $0.63,http://www.reuters.com//article/idUSASD08G11?type=companyNews
7,  May 17 Leggett & Platt Inc* Q2 dividend is $0.34 per share  * Leggett announces $.02 dividend increase and annual meeting results  Source text for Eikon:  Further company coverage: ,2016-05-17,LEG,"Tue May 17, 2016 | 11:20am EDT","BRIEF-Leggett announces $0.02 dividend increase, annual meeting results",http://www.reuters.com//article/idUSASC08Q60?type=companyNews
8,"  May 19 Leggett & Platt Inc* Entered into first amended and restated credit agreement  * Credit agreement is 5-year revolving facility providing for borrow, repay, re-borrow facility up to $750 million until maturity date  Source text for Eikon:  Further company coverage: ",2016-05-18,LEG,"Wed May 18, 2016 | 5:26pm EDT",BRIEF-Leggett & Platt says enters first amended and restated credit deal,http://www.reuters.com//article/idUSFWN18F0P4?type=companyNews
9,"  Aug 4 Leggett & Platt Inc * Says Q3 dividend is $.34 per share, an increase of 6.3% versus 3Q 2015  Source text for Eikon:  Further company coverage:  ",2016-08-04,LEG,"Thu Aug 4, 2016 | 11:40am EDT",BRIEF-Leggett & Platt says Q3 dividend $0.34/shr,http://www.reuters.com//article/idUSFWN1AL12Z?type=companyNews
10,"  Oct 28 Leggett & Platt Inc :* Leggett & platt reports 3q eps of $.67* Q3 earnings per share $0.67 from continuing operations* Q3 sales $949 million versus i/b/e/s view $1.01 billion * Q3 same store sales fell 2 percent* Q3 earnings per share view $0.64 -- Thomson Reuters I/B/E/S * Raises fy 2016 earnings per share view to $2.55 to $2.62 from continuing operations * Increasing 2016 eps guidance* Full-Year sales are now estimated at approximately $3.75 billion, a 4% decrease versus 2015* Fy2016 earnings per share view $2.49, revenue view $3.87 billion -- Thomson Reuters I/B/E/S  Source text for Eikon:  Further company coverage:",2016-10-27,LEG,"Thu Oct 27, 2016 | 4:24pm EDT",BRIEF-Leggett & Platt reports Q3 eps of $.67,http://www.reuters.com//article/idUSASC09DW1?type=companyNews
