,Article,Date,Symbol,Time,Title,Url
0,  Jan 6 Southwest Airlines Co :  * U.S. carrier says it has suspended flights at Chicago Midway airport until 5 pm Central time Monday due to storm effects  * Southwest spokesman Dan Landson says low temperatures in Chicago area have made fueling process difficult   ,2014-01-06,LUV,"Mon Jan 6, 2014 | 1:46pm EST",BRIEF-Southwest suspends flights at Chicago Midway on Monday,http://www.reuters.com//article/southwestairlines-brief-idUSWEN00BZ120140106?type=companyNews
1,"   By Kevin Murphy | KANSAS CITY, Missouri  KANSAS CITY, Missouri Southwest Airlines suspended two pilots from flying on Monday after their jetliner with 124 passengers landed at the wrong airport near Branson, Missouri, late on Sunday, a spokeswoman said.A Southwest captain, who has worked 15 years for the airline, and a first officer were removed from flying duties pending a federal investigation of the landing, said Michelle Agnew, a Southwest spokeswoman.The Boeing 737-700 landed at M. Graham Clark Downtown Airport instead of at Branson Airport, the main commercial air strip near Branson, which has a much longer runway, Southwest said in a statement. The airports are about 7 miles apart.The Federal Aviation Administration is investigating the mistaken landing but had no other comment, spokeswoman Elizabeth Isham Cory said. The plane left Chicago Midway Airport on Sunday on a flight to Dallas Love Field with a planned first stop in Branson, a musical entertainment and tourism mecca in southwest Missouri.Southwest is looking into ""all the circumstances"" that led the captain to land at the wrong airport, Agnew said. After landing at the wrong airport, passengers were taken by ground transportation to the correct airport and then were flown to Dallas on another jet later on Sunday, she said. Southwest apologized to passengers, is refunding the cost of their tickets and giving them travel credits, she said.The airplane took off on Monday afternoon with a new flight crew, Agnew said. It was bound for Tulsa, Oklahoma, for refueling and would go back in service, she said. The Branson landing marked the second time in less than two months that a pilot landed a jetliner at the wrong airport in the Midwest.On November 21, a Boeing 747 cargo plane flown by Atlas Air that was supposed to land at McConnell Air Force Base in Wichita, Kansas, instead landed on the much shorter runway at Colonel James Jabara Airport, a Wichita city airport.(Reporting by Kevin Murphy; Editing by Scott Malone, Phil Berlowitz, Dan Grebler and Amanda Kwan)",2014-01-13,LUV,"Mon Jan 13, 2014 | 5:53pm EST",Southwest grounds pilots who landed jet at wrong airport,http://www.reuters.com//article/us-usa-airport-southwest-idUSBREA0C1I620140113?type=companyNews
2,"  By Kevin MurphyKANSAS CITY, Mo. Jan 13 Southwest Airlines  suspended two pilots from flying on Monday after their jetliner with 124 passengers landed at the wrong airport near Branson, Missouri, late on Sunday, a spokeswoman said.A Southwest captain, who has worked 15 years for the airline, and a first officer were removed from flying duties pending a federal investigation of the landing, said Michelle Agnew, a Southwest spokeswoman.The Boeing 737-700 landed at M. Graham Clark Downtown Airport instead of at Branson Airport, the main commercial air strip near Branson, which has a much longer runway, Southwest said in a statement. The airports are about 7 miles (11 km) apart. The Federal Aviation Administration is investigating the mistaken landing but had no other comment, spokeswoman Elizabeth Isham Cory said.The plane left Chicago Midway Airport on Sunday on a flight to Dallas Love Field with a planned first stop in Branson, a musical entertainment and tourism mecca in southwest Missouri. Southwest is looking into ""all the circumstances"" that led the captain to land at the wrong airport, Agnew said.After landing at the wrong airport, passengers were taken by ground transportation to the correct airport and then were flown to Dallas on another jet later on Sunday, she said. Southwest apologized to passengers, is refunding the cost of their tickets and giving them travel credits, she said. The airplane took off on Monday afternoon with a new flight crew, Agnew said. It was bound for Tulsa, Oklahoma, for refueling and would go back in service, she said.The Branson landing marked the second time in less than two months that a pilot landed a jetliner at the wrong airport in the Midwest.On Nov. 21, a Boeing 747 cargo plane flown by Atlas Air that was supposed to land at McConnell Air Force Base in Wichita, Kansas, instead landed on the much shorter runway at Colonel James Jabara Airport, a Wichita city airport.",2014-01-13,LUV,"Mon Jan 13, 2014 | 5:51pm EST",UPDATE 2-Southwest grounds pilots who landed jet at wrong airport,http://www.reuters.com//article/usa-airport-southwest-idUSL2N0KN1VS20140113?type=companyNews
3,"  WASHINGTON The pilots of a Southwest Airlines plane that landed at the wrong airport in Missouri this week told investigators they mistook the bright runway lights of a smaller airport for their intended destination at Branson Airport, the National Transportation Safety Board said on Friday.The pilots told NTSB investigators they did not realize they were at the wrong airport until they had landed late Sunday, which required heavy braking to get the Boeing 737-700 with 124 passengers aboard stopped on the shorter-than-expected runway, the NTSB said in a statement.Southwest has suspended the two pilots from flying. The jet landed at M. Graham Clark Downtown Airport instead of at Branson Airport, the main commercial air strip near Branson, which has a much longer runway. The airports are about 7 miles apart.The captain, who has worked for Southwest for 15 years and has about 16,000 flight hours, told investigators it was his first flight into Branson. The first officer, who has been with the airline since 2001, told the NTSB it was his second flight into Branson, but the previous one was during daylight hours. The pilots said the approach had been programmed into the plane's flight management system, but that they saw the bright runway lights of Clark Downtown Airport and flew a visual approach into what they mistakenly believed to be Branson Airport.The plane left Chicago Midway Airport on Sunday on a flight to Dallas Love Field with a planned first stop in Branson, a popular musical entertainment and tourism spot in southwest Missouri. After landing at the wrong airport, the passengers were taken by ground transportation to the correct airport and then flown to Dallas on another jet later on Sunday.Southwest said it has apologized to the passengers, is refunding the cost of their tickets and giving them travel credits. The NTSB and the Federal Aviation Administration are investigating the incident.""Safety remains our top priority; once we receive the final NTSB report, we will conduct a thorough review,"" the airline said in a statement.(Reporting by Eric Beech; Editing by Lisa Shumaker)",2014-01-18,LUV,"Fri Jan 17, 2014 | 9:32pm EST",Southwest pilots confused by lights of wrong U.S. airport,http://www.reuters.com//article/us-usa-airport-southwest-idUSBREA0H03A20140118?type=companyNews
4,"  WASHINGTON Jan 17 The pilots of a Southwest Airlines plane that landed at the wrong airport in Missouri this week told investigators they mistook the bright runway lights of a smaller airport for their intended destination at Branson Airport, the National Transportation Safety Board said on Friday.The pilots told NTSB investigators they did not realize they were at the wrong airport until they had landed late Sunday, which required heavy braking to get the Boeing 737-700 with 124 passengers aboard stopped on the shorter-than-expected runway, the NTSB said in a statement.Southwest has suspended the two pilots from flying. The jet landed at M. Graham Clark Downtown Airport instead of at Branson Airport, the main commercial air strip near Branson, which has a much longer runway. The airports are about 7 miles (11 km) apart.The captain, who has worked for Southwest for 15 years and has about 16,000 flight hours, told investigators it was his first flight into Branson. The first officer, who has been with the airline since 2001, told the NTSB it was his second flight into Branson, but the previous one was during daylight hours. The pilots said the approach had been programmed into the plane's flight management system, but that they saw the bright runway lights of Clark Downtown Airport and flew a visual approach into what they mistakenly believed to be Branson Airport.The plane left Chicago Midway Airport on Sunday on a flight to Dallas Love Field with a planned first stop in Branson, a popular musical entertainment and tourism spot in southwest Missouri. After landing at the wrong airport, the passengers were taken by ground transportation to the correct airport and then flown to Dallas on another jet later on Sunday. Southwest said it has apologized to the passengers, is refunding the cost of their tickets and giving them travel credits.The NTSB and the Federal Aviation Administration are investigating the incident.""Safety remains our top priority; once we receive the final NTSB report, we will conduct a thorough review,"" the airline said in a statement.",2014-01-18,LUV,"Fri Jan 17, 2014 | 9:24pm EST",Southwest pilots confused by lights of wrong U.S. airport,http://www.reuters.com//article/usa-airport-southwest-idUSL2N0KS04C20140118?type=companyNews
5,"  U.S. airlines United Continental Holdings (UAL.N) and Southwest Airlines (LUV.N) reported higher-than-expected fourth quarter profit on Thursday, aided by strong revenue and lower fuel costs.Airline shares fell as the broader market headed lower. Some analysts said a weaker-than-expected revenue forecast from United and profit-taking also pressured the sector.Chicago-based United said unit revenue, a measure of passenger revenue per available seat mile, would be flat to up 2 percent in the first quarter. The carrier cited January storms and the Easter holiday shift into April this year from March in 2013 as drags on performance.Delta had forecast a rise of 2 percent to 4 percent and Southwest said its unit revenue for the first period would be higher on a year-over-year basis.Southwest shares were off 2.4 percent to $21.24 and United fell 1.5 percent to $48.43 in afternoon trading. Alaska Air Group (ALK.N), which also reported a higher profit on Thursday, shed 0.6 percent to $81.35. Jim Corridore, an analyst with S&P Capital IQ, said concern about United's revenue outlook weighed on the sector.The strong fourth-quarter results from Southwest and United, which benefited from fare increases, followed a similar report from Delta earlier this week.American Airlines Group (AAL.O), the carrier formed by December's merger of AMR Corp and US Airways, will report results next week. Most U.S. airlines have bounced back to profitability since 2010, and Corridore said he expected more solid results in 2014.Carriers ""are keeping a tight rein on capacity and are looking to raise fares and price their product to earn a sustained profit,"" Corridore said. United earned $298 million, or 78 cents per share, in the fourth period, as revenue rose 7 percent to $9.3 billion. Analysts expected profit of 65 cents, according to Thomson Reuters I/B/E/S.Net income at Southwest rose to $212 million, or 30 cents a share, in the fourth quarter, from $78 million, or 11 cents a share, a year earlier. Excluding items, profit was 33 cents, compared with 29 cents expected by analysts. Southwest revenue rose 6 percent to $4.43 billion.Alaska Air, the parent of Alaska Airlines and Horizon Air Industries, had quarterly earnings of $78 million, or $1.10 a share adjusted for items. That compared with $1.07 expected by analysts on average.(Reporting by Karen Jacobs in Atlanta, additional reporting by Nivedita Bhattacharjee in Chicago; Editing by David Gregorio)",2014-01-23,LUV,"Thu Jan 23, 2014 | 4:46pm EST","United, Southwest profits top estimates as fuel costs fall",http://www.reuters.com//article/us-airlines-results-idUSBREA0M1YE20140123?type=companyNews
6,"  * Alaska Air profit also better than expected* Shares fall amid broader market slowdownJan 23 U.S. airlines United Continental Holdings  and Southwest Airlines reported higher-than-expected fourth quarter profit on Thursday, aided by strong revenue and lower fuel costs.Airline shares fell as the broader market headed lower. Some analysts said a weaker-than-expected revenue forecast from United and profit-taking also pressured the sector.Chicago-based United said unit revenue, a measure of passenger revenue per available seat mile, would be flat to up 2 percent in the first quarter. The carrier cited January storms and the Easter holiday shift into April this year from March in 2013 as drags on performance.Delta had forecast a rise of 2 percent to 4 percent and Southwest said its unit revenue for the first period would be higher on a year-over-year basis. Southwest shares were off 2.4 percent to $21.24 and United fell 1.5 percent to $48.43 in afternoon trading. Alaska Air Group, which also reported a higher profit  on Thursday, shed 0.6 percent to $81.35.Jim Corridore, an analyst with S&P Capital IQ, said concern about United's revenue outlook weighed on the sector. The strong fourth-quarter results from Southwest and United, which benefited from fare increases, followed a similar report from Delta earlier this week.American Airlines Group, the carrier formed by December's merger of AMR Corp and US Airways, will report results next week.Most U.S. airlines have bounced back to profitability since 2010, and Corridore said he expected more solid results in 2014. Carriers ""are keeping a tight rein on capacity and are looking to raise fares and price their product to earn a sustained profit,"" Corridore said.United earned $298 million, or 78 cents per share, in the fourth period, as revenue rose 7 percent to $9.3 billion. Analysts expected profit of 65 cents, according to Thomson Reuters I/B/E/S.Net income at Southwest rose to $212 million, or 30 cents a share, in the fourth quarter, from $78 million, or 11 cents a share, a year earlier. Excluding items, profit was 33 cents, compared with 29 cents expected by analysts. Southwest revenue rose 6 percent to $4.43 billion.Alaska Air, the parent of Alaska Airlines and Horizon Air Industries, had quarterly earnings of $78 million, or $1.10 a share adjusted for items. That compared with $1.07 expected by analysts on average.",2014-01-23,LUV,"Thu Jan 23, 2014 | 4:43pm EST","WRAPUP 1-United, Southwest profits top estimates as fuel costs fall",http://www.reuters.com//article/airlines-results-idUSL2N0KX0XD20140123?type=companyNews
7,"  U.S. carrier Southwest Airlines Co (LUV.N) posted a better-than-expected profit in the fourth quarter, aided by higher fares and lower costs for fuel and aircraft maintenance.The carrier cited strong demand and forecast that unit revenue, or passenger revenue per available seat mile, would rise in the current quarter.Net income rose to $212 million, or 30 cents a share, in the fourth quarter, from $78 million, or 11 cents a share, a year earlier.Excluding special items, the profit was 33 cents a share. That compared with 29 cents expected by analysts, according to Thomson Reuters I/B/E/S.Quarterly revenue increased 6 percent to $4.43 billion, compared with $4.39 billion estimated by analysts. The average airfare rose 5 percent to $156.05. Operating expenses fell 1 percent, with fuel and oil costs down 9 percent. Expenses for maintenance materials and repairs dropped about 12 percent.Dallas-based Southwest added seats to planes, raised baggage fees at its AirTran unit and curbed flying to unprofitable markets to improve results as it faced rising labor costs. Southwest is still retiring older Boeing 737 planes to help reduce maintenance costs. Southwest is the only major U.S. airline that has not restructured in bankruptcy, and its cost advantage against rivals has narrowed.Southwest plans to start international service under its own brand this year, and said on Thursday it expects to complete the absorption of AirTran this year and retire the brand. Southwest also said it bid on takeoff and landing rights that the newly merged American Airlines Group (AAL.O) was required to divest at Reagan National Airport near Washington. Late last year Southwest bought slots at New York's LaGuardia Airport that American agreed to shed to settle a U.S. Justice Department lawsuit over its merger with US Airways.Southwest shares rose 1 percent to $21.98 in morning trading. Shares of other airlines were down, along with the broader market. .N Delta Air Lines Inc (DAL.N) was off 0.9 percent at $32.56, and United Continental (UAL.N) dropped 3 percent at $47.70.United Continental on Thursday reported a quarterly profit that easily topped expectations, helped by an increase in passenger travel, higher ticket prices and lower fuel costs.(Reporting by Karen Jacobs in Atlanta; Editing by Lisa Von Ahn and Jeffrey Benkoe)",2014-01-23,LUV,"Thu Jan 23, 2014 | 10:14am EST",Southwest Airlines fourth-quarter profit tops estimates as costs fall,http://www.reuters.com//article/us-southwest-results-idUSBREA0M0WR20140123?type=companyNews
8,"  * Q4 adjusted profit 33 cents vs estimate 29 cents* Operating expenses fall 1 percent* Shares rise 1 percentJan 23 U.S. carrier Southwest Airlines Co  posted a better-than-expected profit in the fourth quarter, aided by higher fares and lower costs for fuel and aircraft maintenance.The carrier cited strong demand and forecast that unit revenue, or passenger revenue per available seat mile, would rise in the current quarter.Net income rose to $212 million, or 30 cents a share, in the fourth quarter, from $78 million, or 11 cents a share, a year earlier. Excluding special items, the profit was 33 cents a share. That compared with 29 cents expected by analysts, according to Thomson Reuters I/B/E/S.Quarterly revenue increased 6 percent to $4.43 billion, compared with $4.39 billion estimated by analysts. The average airfare rose 5 percent to $156.05. Operating expenses fell 1 percent, with fuel and oil costs down 9 percent. Expenses for maintenance materials and repairs dropped about 12 percent.Dallas-based Southwest added seats to planes, raised baggage fees at its AirTran unit and curbed flying to unprofitable markets to improve results as it faced rising labor costs. Southwest is still retiring older Boeing 737 planes to help reduce maintenance costs.Southwest is the only major U.S. airline that has not restructured in bankruptcy, and its cost advantage against rivals has narrowed. Southwest plans to start international service under its own brand this year, and said on Thursday it expects to complete the absorption of AirTran this year and retire the brand.Southwest also said it bid on takeoff and landing rights that the newly merged American Airlines Group was required to divest at Reagan National Airport near Washington. Late last year Southwest bought slots at New York's LaGuardia Airport that American agreed to shed to settle a U.S. Justice Department lawsuit over its merger with US Airways.Southwest shares rose 1 percent to $21.98 in morning trading. Shares of other airlines were down, along with the broader market. Delta Air Lines Inc was off 0.9 percent at $32.56, and United Continental dropped 3 percent at $47.70.United Continental on Thursday reported a quarterly profit that easily topped expectations, helped by an increase in passenger travel, higher ticket prices and lower fuel costs.",2014-01-23,LUV,"Thu Jan 23, 2014 | 10:08am EST",UPDATE 2-Southwest Airlines Q4 profit tops estimates as costs fall,http://www.reuters.com//article/southwest-results-idUSL2N0KX0OU20140123?type=companyNews
9,  NEW YORK Jan 23 Southwest Airlines Co :  * Shares up 2.1 percent in premarket trading after results   ,2014-01-23,LUV,"Thu Jan 23, 2014 | 8:13am EST",BRIEF-Southwest Airlines up in premarket after results,http://www.reuters.com//article/southwestairlines-brief-idUSWEN00C8V20140123?type=companyNews
