,Article,Date,Symbol,Time,Title,Url
0,"   By Lisa Baertlein  McDonald's Corp (MCD.N) reported weaker-than-expected quarterly sales at established restaurants on Thursday as fewer diners frequented the fast-food chain, and warned that sales would again fall short of analysts' expectations in January.The world's biggest restaurant chain by revenue has reported disappointing sales for five straight quarters, hurt by self-inflicted operational stumbles, weak demand and intensified competition from resurgent rivals such as Wendy's Co (WEN.O) and Burger King Worldwide Inc BKW.N.Indeed, efforts by Chief Executive Don Thompson to shore up earnings in the 18 months since he took the top job at the company - by tweaking menus and changing management - have not borne fruit.The pressure is on him to boost McDonald's share price as well. The stock is up just 7 percent since Thompson became chief executive on July 1, 2012, well behind the 27-percent jump in the Dow Jones Industrial Average index, of which McDonald's is a component.Analysts predicted that investors would give Thompson a bit more time to turn the company's fortunes before they begin to advocate for big changes.""If McDonald's doesn't fix itself by the end of 2014, the drumbeat of activism will grow,"" Hedgeye Risk Management analyst Howard Penney told Reuters.On a conference call with analysts, McDonald's executives said they ""over-complicated"" menus last year.They vowed to re-engage customers this year with plans that include customizing sandwiches, emphasizing breakfast and coffee, and increasing marketing via mobile phones and other devices. Some critics have called on McDonald's to simplify operations by downsizing its menu. Penney warned that the company's new plan to customize sandwiches could further slow service.Global sales at McDonald's restaurants open at least 13 months fell 0.1 percent during the fourth quarter, due in part to severe winter weather in the United States.Quarterly results were overshadowed by McDonald's forecast for ""relatively flat"" January global sales at restaurants open at least 13 months.The January forecast ""stands out as a healthy (same-store sales) miss,"" Wells Fargo restaurant analyst Jeff Farmer said in a client note. Analysts, on average, estimate a 2.4 percent gain in January.Analysts were optimistic that McDonald's sales trends would improve in January, largely because the company turned in lukewarm results in January 2013. PROFIT BEATS, SALES MISS McDonald's has about seven times the sales of Wendy's and Burger King combined, but has had less success than those rivals in tempting diners with limited-time specials and promotions.Hyped new products, such as Mighty Wings, flopped. Beyond that, the addition of lattes, smoothies, salads and wraps have slowed McDonald's service in a business where hyper-competitive drive-thru times are measured in seconds.McDonald's also switched its value-oriented ""Dollar Menu"" to the ""Dollar Menu & More"" in November with slightly higher prices. Executives said the heavily marketed new menu met internal performance targets, but didn't appear to draw more customers. Closely watched global same-restaurant sales in December were down 1.2 percent, versus a 0.6 percent gain expected by analysts polled by Consensus Metrix.The 3.8 percent drop in the United States was the biggest shortfall - analysts expected a decline of just 0.6 percent - but other regions also missed.The Asia Pacific, the Middle East and Africa (APMEA) region posted an unexpected 2.1 percent decline and Europe's 0.5 percent gain was about half what analysts expected.Fourth-quarter net income was flat at $1.40 billion, or $1.40 per share.Total revenue for the company, known for its crispy french fries and Big Mac hamburgers, grew 2 percent to $7.09 billion.Analysts on average were expecting the company to earn $1.39 per share on revenue of $7.11 billion, according to Thomson Reuters I/B/E/S.Still, shares ticked up 0.2 percent to $95.11 in afternoon trading.(Additional reporting by Siddharth Cavale in Bangalore; Editing by Joyjeet Das, Jilian Mincer, Bernadette Baum and Amanda Kwan)",2014-01-23,MCD,"Thu Jan 23, 2014 | 1:33pm EST","McDonald's gets fewer visits in quarter, expects weak January",http://www.reuters.com//article/us-mcdonalds-results-idUSBREA0M0XF20140123?type=companyNews
1,"  (Adds analyst comment, details from conference call)By Lisa BaertleinJan 23 McDonald's Corp reported weaker-than-expected quarterly sales at established restaurants on Thursday as fewer diners frequented the fast-food chain, and warned that sales would again fall short of analysts' expectations in January.The world's biggest restaurant chain by revenue has reported disappointing sales for five straight quarters, hurt by self-inflicted operational stumbles, weak demand and intensified competition from resurgent rivals such as Wendy's Co and Burger King Worldwide Inc.Indeed, efforts by Chief Executive Don Thompson to shore up earnings in the 18 months since he took the top job at the company - by tweaking menus and changing management - have not borne fruit.The pressure is on him to boost McDonald's share price as well. The stock is up just 7 percent since Thompson became chief executive on July 1, 2012, well behind the 27-percent jump in the Dow Jones Industrial Average index, of which McDonald's is a component.Analysts predicted that investors would give Thompson a bit more time to turn the company's fortunes before they begin to advocate for big changes.""If McDonald's doesn't fix itself by the end of 2014, the drumbeat of activism will grow,"" Hedgeye Risk Management analyst Howard Penney told Reuters.On a conference call with analysts, McDonald's executives said they ""over-complicated"" menus last year.They vowed to re-engage customers this year with plans that include customizing sandwiches, emphasizing breakfast and coffee, and increasing marketing via mobile phones and other devices. Some critics have called on McDonald's to simplify operations by downsizing its menu. Penney warned that the company's new plan to customize sandwiches could further slow service.Global sales at McDonald's restaurants open at least 13 months fell 0.1 percent during the fourth quarter, due in part to severe winter weather in the United States.Quarterly results were overshadowed by McDonald's forecast for ""relatively flat"" January global sales at restaurants open at least 13 months.The January forecast ""stands out as a healthy (same-store sales) miss,"" Wells Fargo restaurant analyst Jeff Farmer said in a client note. Analysts, on average, estimate a 2.4 percent gain in January. Analysts were optimistic that McDonald's sales trends would improve in January, largely because the company turned in lukewarm results in January 2013.PROFIT BEATS, SALES MISS McDonald's has about seven times the sales of Wendy's and Burger King combined, but has had less success than those rivals in tempting diners with limited-time specials and promotions. Hyped new products, such as Mighty Wings, flopped. Beyond that, the addition of lattes, smoothies, salads and wraps have slowed McDonald's service in a business where hyper-competitive drive-thru times are measured in seconds.McDonald's also switched its value-oriented ""Dollar Menu"" to the ""Dollar Menu & More"" in November with slightly higher prices. Executives said the heavily marketed new menu met internal performance targets, but didn't appear to draw more customers.Closely watched global same-restaurant sales in December were down 1.2 percent, versus a 0.6 percent gain expected by analysts polled by Consensus Metrix.The 3.8 percent drop in the United States was the biggest shortfall - analysts expected a decline of just 0.6 percent - but other regions also missed.The Asia Pacific, the Middle East and Africa (APMEA) region posted an unexpected 2.1 percent decline and Europe's 0.5 percent gain was about half what analysts expected.Fourth-quarter net income was flat at $1.40 billion, or $1.40 per share.Total revenue for the company, known for its crispy french fries and Big Mac hamburgers, grew 2 percent to $7.09 billion.Analysts on average were expecting the company to earn $1.39 per share on revenue of $7.11 billion, according to Thomson Reuters I/B/E/S.Still, shares ticked up 0.2 percent to $95.11 in afternoon trading.     (Additonal reporting by Siddharth Cavale in Bangalore; Editing by Joyjeet Das, Jilian Mincer, Bernadette Baum and Amanda Kwan)",2014-01-23,MCD,"Thu Jan 23, 2014 | 1:31pm EST","UPDATE 4-McDonald's gets fewer visits in quarter, expects weak January",http://www.reuters.com//article/mcdonalds-results-idUSL3N0KX43N20140123?type=companyNews
2,"  (For more market insights, including options activity, click on  ; for the Day Ahead newsletter link.reuters.com/mex49s;  for the Morning News Call newsletter, link.reuters.com/nex49s)  U.S. stocks fell on Thursday, after disappointing manufacturing data in China and discouraging earnings reports from bellwether names such as McDonald's Corp. The Dow Jones industrial average  was down 1.12 percent at 16,190.23, the S&P 500  was down 1.05 percent at 1,825.4 and the Nasdaq Composite  was down 1.04 percent at 4,198.685.** FUSION-IO INC, $10.88, +15.50 pctThe solid-state data storage maker reported better-than-expected results for the second quarter on Wednesday, helped by diversification in its customer base and greater traction with original equipment manufacturers.Fusion reported an adjusted loss of 6 cents per share on revenue of $94.5 million. Analysts on average had expected a loss of 10 cents per share on revenue of $89.3 million, according to Thomson Reuters I/B/E/S.** SILICOM LTD, $60.4693, +30.07 pctThe company, which makes computer networking equipment, reported a 52 percent rise in fourth-quarter revenue.** EBAY INC, $54.625, +0.40 pctCarl Icahn has taken a stake in the e-commerce giant and is proposing a spin-off of the its fast-growing PayPal division, but eBay rebuffed the overture, setting the stage for a potential battle with the activist investor.** NOBLE CORP, $33.3, -8.14 pctThe offshore drilling contractor's chief executive said he expected slack demand for rigs in the first part of this year. However, Noble posted a rise in fourth-quarter profit on Wednesday, in line with analysts' estimates, as the company successfully raised daily rates.** UNITED CONTINENTAL HOLDINGS INC, $47.73, -2.95 pctThe airline forecast current-quarter revenue that disappointed some analysts. However, the company posted a quarterly profit that easily topped Wall Street expectations, helped by an increase in passenger travel, higher ticket prices and lower fuel costs.** HERBALIFE LTD, $64.54, -12.23 pctMassachusetts Senator Edward Markey is asking for more information about the business practices of the nutrition company, which has been accused of running a pyramid scheme by prominent hedge fund manager Bill Ackman.Markey sent letters to the Securities and Exchange Commission, the Federal Trade Commission and to Herbalife itself to try an obtain more information, his office said in a news release on Thursday.** SANTANDER CONSUMER USA HOLDING INC, $26.01, +8.38 pctShares of the consumer finance unit of Spanish bank Santander SA rose as much as 10 percent in their U.S. market debut. The Spanish lender said earlier on Thursday that it planned to increase the equity of its U.S. holding company by up to $2 billion to back growth plans.** NETFLIX INC, $388.265, +16.34 pctThe company added more than 2.3 million U.S. customers in the fourth quarter and said it was testing different pricing plans for its monthly TV and movie streaming service.** LOGITECH INTERNATIONAL SA, $15.985, +20.92 pctThe computer-mouse maker raised its forecast for the full year after reporting better-than-expected third-quarter results.** POLYCOM INC, $11.92, +1.27 pctThe company reported better-than-expected quarterly results due to higher sales of its desktop video-conferencing devices, and said it would cut 6 percent of its workforce.** ARIAD PHARMACEUTICALS INC, $7.29, +8.64 pctAt least three pharmaceutical companies, Eli Lilly and Co , Shire Plc and GlaxoSmithKline Plc, have approached Ariad's board to buy the company, and were prepared to pay up to $20 per share in cash, according to a report on the website of the Daily Mail newspaper. (link.reuters.com/ben36v)** HILL-ROM HOLDINGS INC $38.06, -13.72 pct The medical products and technologies provider reported weaker-than-expected results for the first quarter, hurt by falling sales in North America, the Middle East and Latin America.The company also forecast full-year earnings below analysts' estimates and said it would cut 350 jobs, or 5 percent of its workforce, to reduce costs.** MICRON TECHNOLOGY INC, $23.375, -1.16 pctHedge fund manager David Einhorn, whose Greenlight Capital ranked among last year's best performers, has taken new positions in Micron Technology and BP Plc, both of which he praised in a letter to investors for practices focused on returning cash to shareholders. Greenlight also added a position in Anadarko Petroleum Corp APC, Einhorn said in the letter, which was seen by Reuters.** WESTERN DIGITAL CORP, $87.45, -0.72 pctThe world's No. 1 hard-disk drive maker forecast a tepid third quarter as it expects cautious spending and a decline in the PC market to hit sales.** F5 NETWORKS INC, $104.325, +7.02 pctThe network gear maker forecast current-quarter revenue above Wall Street estimates, helped by strong sales of its data traffic management products.** SANDISK CORP, $70.74, -2.01 pctThe company posted higher fourth-quarter profits but gave a revenue outlook that fell short of some analysts' expectations and said memory chip prices would fall more this year than in 2013.** ENDEAVOUR SILVER CORP, $4.54, +5.09 pctAnalysts at BMO Capital Markets raised their price target on the Canadian silver miner's stock to C$5.50 from C$4.75, citing the company's forecast of higher silver output this year. Endeavour Silver said it expected to produce 10.4 million-11 million ounces of silver in 2014, higher than 6.8 million ounces it produced in 2013. ** RAMBUS INC, $8.98, +4.18 pctCitigroup raised its rating on the technology licensing company's stock to ""buy"" from ""neutral,"" according to Theflyonthewall.com.** AMERICAN EAGLE OUTFITTERS INC, $12.88, -9.99 pctThe company said its chief executive of two years, Robert Hanson, would leave the company in a surprising move at a time when U.S. teen apparel retailers are struggling to attract shoppers and boost sales.** NOKIA, $7.03, -8.70 pctThe company reported a 22 percent fall in sales at its core NSN network equipment division, highlighting the problems facing management once it completes the sale of its former flagship phones business to Microsoft for 5.4 billion euros ($7.4 billion).** COBALT INTERNATIONAL ENERGY INC, $17.27, +2.55 pctThe U.S. oil and gas producer said on Wednesday it discovered oil at its Bicuar 1A well, offshore Angola. The well, drilled in partnership with Angola's national oil company Sonangol, reached its total depth in 59 days, about 63 days before schedule.The Bicuar area may bring about $644.5 million, or $1.58 per share, for Cobalt, Global Hunter Securities analyst Curtis Trimble wrote in a note.** BIOLINERX, $2.97, +1.37 pctThe drug developer said the U.S. health regulator granted an orphan drug status to its experimental drug candidate, BL-8040, as a stem cell therapy for certain cancer patients.The orphan drug status is granted to drugs that aim to treat rare diseases affecting not more than 200,000 people in the United States and gives the drugmaker a seven-year marketing exclusivity.BL-8040 mobilizes stem cells from the bone marrow to the peripheral blood in patients suffering from hematologic cancers, a type that affects blood, bone marrow and lymph nodes.** CLEVELAND BIOLABS INC, $0.74, -34.51 pct The biotechnology company said the U.S. Department of Health and Human Services terminated negotiations related to the development of its anti-radiation treatment, citing a lack of funds.** ACCELERON PHARMA INC, $52.35, -7.67 pctThe company priced on Wednesday a public offering of 2.4 million shares of its common stock at $50 per share. The price represents a 12 percent discount to the stock's closing price on Wednesday.** TRINA SOLAR LTD, $15.33, -7.37 pctThe Chinese solar panel maker said U.S. installer Cobalt Power Systems used its panels in a 113 kilowatt project in the San Francisco Bay Area.** GLOBAL BRASS AND COPPER HOLDINGS INC, $17, -4.17 pctThe copper and brass products processor said an affiliate of its largest shareholder, KPS Capital Partners LP, would begin a public offering of Global Brass's 3.75 million common shares. Global Brass will not receive any proceeds from the offering, the company said on Wednesday.** PRECISION CASTPARTS CORP, $263.84, -2.53 pctThe company, which makes forgings and fasteners for aerospace and industrial gas turbine applications, reported third-quarter revenue below analysts' estimates as customers postponed delivery schedules.Precision Castparts books revenue only after the products have been delivered.** UNION PACIFIC CORP, $174.28, +3.43 pctThe company posted a bigger quarterly profit as it raised prices and saw demand in overall shipments grow, Union Pacific said.** TESLA MOTORS INC, $176.31, -1.26 pctThe U.S. battery carmaker has unveiled what it describes as a ""competitive"" pricing strategy for China aimed at kick-starting sales in the world's biggest auto market, where demand for luxury cars has been booming.** MCKESSON, $171.91, +1.31 pctThe majority shareholder behind German drugs distributor Celesio is in talks to buy the shares in Celesio held by hedge fund Elliott as part of a fresh attempt to sell the company to U.S. drugs wholesaler group McKesson, a person familiar with the talks told Reuters.** ABBOTT LABORATORIES INC, $37.31, -2.00 pctThe company reported weaker-than-expected fourth-quarter revenue, hurt by disappointing sales of its generic medicines and the lingering impact of an overseas recall of its baby formulas last summer.** ROCKET FUEL INC, $67.0185, +1.14 pctThe digital advertising technology company estimated fourth-quarter revenue above analysts' expectations on Wednesday.Evercore raised its price target on the company's stock on Thursday to $55 from $45.** NOVARTIS AG, $81.62, +1.03 pctThe company plans to axe around 500 jobs in shutting a U.S. plant that makes its blood pressure pill Diovan, marking the second reorganization of its operations in as many days.** ST JUDE MEDICAL INC, $64.34, -0.98 pctThe medical device maker reported a higher fourth-quarter profit on Wednesday, as it had expected, and forecast growth in both earnings and revenue in 2014.    (Compiled by Neha Dimri in Bangalore; Edited by Kirti Pandey)",2014-01-23,MCD,"Thu Jan 23, 2014 | 11:12am EST","MARKET PULSE-Herbalife, Santander Consumer, Fusion-io, Silicom",http://www.reuters.com//article/markets-usa-stocks-pulse-idUSL3N0KX4JU20140123?type=companyNews
3,"  Jan 23 McDonald's Corp's global sales at established restaurants missed analysts' expectations, hurt by fewer customers visits partly due to severe winter weather in the United States.McDonald's shares fell nearly 1 percent in premarket trading.The world's biggest restaurant chain by revenue, known for its crispy french fries and Big Mac hamburgers, reported net income of $1.40 billion, or $1.40 per share, for the fourth quarter ended Dec. 31. That compares with $1.40 billion, or $1.38 per share, a year earlier. Global sales at restaurants open at least 13 months fell 0.1 percent in the quarter. Analysts on average had expected a rise of 0.5 percent, according to privately held industry estimates provider Consensus Metrix. Total revenue rose 2 percent to $7.09 billion.   (Reporting by Siddharth Cavale in Bangalore and Lisa Baertlein in Los Angeles; Editing by Joyjeet Das)",2014-01-23,MCD,"Thu Jan 23, 2014 | 8:11am EST",McDonald's global comparable sales decline,http://www.reuters.com//article/mcdonalds-results-idUSL3N0KX43120140123?type=companyNews
4,  NEW YORK Jan 23 McDonald's Corp :  * Shares down 1 percent in premarket trading after results   ,2014-01-23,MCD,"Thu Jan 23, 2014 | 8:01am EST",BRIEF-McDonald's down 1 pct in premarket after results,http://www.reuters.com//article/mcdonalds-brief-idUSWEN00C8T20140123?type=companyNews
5,"  LONDON Protesters have latched on to an online marketing campaign run by McDonald's to vent their anger over the treatment of gays by Olympic host Russia.Olympic sponsor McDonald's launched the #CheerstoSochi campaign which allows fans to send greetings to athletes and teams via Twitter. However, the link has proved a magnet for activists opposed to Russia's ""gay propaganda"" law.""CheerstoSochi let's think about all the gays over there that are suffering while everyone else has fun,"" said one message posted on Friday.McDonald's said it was aware that activists were targeting it and other Olympic sponsors. ""McDonald's supports human rights, the spirit of the Olympics and all the athletes who've worked so hard to compete in the Games,"" it said in a statement. ""We believe the Olympic Games should be open to all, free of discrimination, and that applies to spectators, officials, media and athletes.""Rights groups have called for sponsors and the International Olympic Committee (IOC) to put more pressure on Russia over its attitude towards the gay community. Campaigners have also teamed up with clothing group American Apparel to sell merchandise inspired by an anti-discrimination pledge in the Olympic charter.(Writing by Keith Weir; Editing by Rex Gowar)",2014-01-24,MCD,"Fri Jan 24, 2014 | 12:30pm EST",McDonald's Twitter link proves magnet for protesters,http://www.reuters.com//article/us-olympics-rights-mcdonalds-idUSBREA0N1B220140124?type=companyNews
6,"  LONDON Jan 24 Protesters have latched on to an online marketing campaign run by McDonald's to vent their anger over the treatment of gays by Olympic host Russia.Olympic sponsor McDonald's launched the #CheerstoSochi campaign which allows fans to send greetings to athletes and teams via Twitter. However, the link has  proved a magnet for activists opposed to Russia's ""gay propaganda"" law.""CheerstoSochi let's think about all the gays over there that are suffering while everyone else has fun,"" said one message posted on Friday.McDonald's said it was aware that activists were targeting it and other Olympic sponsors. ""McDonald's supports human rights, the spirit of the Olympics and all the athletes who've worked so hard to compete in the Games,"" it said in a statement. ""We believe the Olympic Games should be open to all, free of discrimination, and that applies to spectators, officials, media and athletes.""Rights groups have called for sponsors and the International Olympic Committee (IOC) to put more pressure on Russia over its attitude towards the gay community. Campaigners have also teamed up with clothing group American Apparel to sell merchandise inspired by an anti-discrimination pledge in the Olympic charter.",2014-01-24,MCD,"Fri Jan 24, 2014 | 12:18pm EST",Olympics-McDonald's Twitter link proves magnet for protesters,http://www.reuters.com//article/olympics-rights-mcdonalds-idUSL5N0KY2LM20140124?type=companyNews
7,"  PHILADELPHIA A McDonald's worker accused of dealing heroin in Happy Meal boxes to customers using the code phrase ""I'd like to buy a toy"" was being held on bail on Thursday in Pittsburgh, a spokesman for a local prosecutor said.Police arrested Shantia Dennis, 26, on Wednesday on charges of drug distribution after undercover officers conducted a controlled buy under the Golden Arches, according to a statement from the Allegheny County District Attorney's Office.They also seized a 50-unit bag of heroin from Dennis as well as 10 units purchased by the plainclothes officers, DA spokesman Mike Manko said. Drive-thru customers who mentioned the code phrase into the order microphone were directed to the first of two drive-thru windows, where they would be handed a Happy Meal box with heroin inside, Manko said. Police do not know how long drug sales had been occurring at the Pittsburgh McDonald's. There was no indication that the franchise owner knew the drug deals were taking place, Manko said. Dennis is being held on $30,000 bail at the Allegheny County Jail.(Reporting by Daniel Kelley; Editing by Barbara Goldberg, Bernard Orr)",2014-01-30,MCD,"Thu Jan 30, 2014 | 2:54pm EST",McDonald's worker charged with selling heroin in happy meal boxes,http://www.reuters.com//article/us-usa-heroin-pennsylvania-idUSBREA0T1Q720140130?type=companyNews
8,"  PHILADELPHIA Jan 30 A McDonald's worker accused of dealing heroin in Happy Meal boxes to customers using the code phrase ""I'd like to buy a toy"" was being held on bail on Thursday in Pittsburgh, a spokesman for a local prosecutor said.Police arrested Shantia Dennis, 26, on Wednesday on charges of drug distribution after undercover officers conducted a controlled buy under the Golden Arches, according to a statement from the Allegheny County District Attorney's Office.They also seized a 50-unit bag of heroin from Dennis as well as 10 units purchased by the plainclothes officers, DA spokesman Mike Manko said. Drive-thru customers who mentioned the code phrase into the order microphone were directed to the first of two drive-thru windows, where they would be handed a Happy Meal box with heroin inside, Manko said. Police do not know how long drug sales had been occurring at the Pittsburgh McDonald's. There was no indication that the franchise owner knew the drug deals were taking place, Manko said. Dennis is being held on $30,000 bail at the Allegheny County Jail.   (Reporting by Daniel Kelley; Editing by Barbara Goldberg, Bernard Orr)",2014-01-30,MCD,"Thu Jan 30, 2014 | 2:49pm EST",McDonald's worker charged with selling heroin in happy meal boxes,http://www.reuters.com//article/usa-heroin-pennsylvania-idUSL2N0L41TJ20140130?type=companyNews
9,"   By Angela Moon | NEW YORK  NEW YORK Feb 7 After the S&P 500's first weekly gain in a month, investors will see next week whether the U.S. stock market's rally of the last two days is the shape of better things to come - or if this year's weakness will turn into a full-fledged correction.The S&P 500 rose 0.8 percent for the week, scoring a weekly gain for the first time since early January. The benchmark index closed above its 14-day moving average on Friday, the first time it traded above that level since Jan. 23.The 2.6 percent gain for Thursday and Friday marked the S&P 500's best two-day performance in four months. That rally helped Wall Street recover some ground from the latest slide, which had pushed the benchmark index down as much as 6 percent from its record closing high set on Jan. 15. Wall Street defines a stock market correction as a drop of at least 10 percent from the previous high. A bear market is a plunge of 20 percent from a previous peak.The recent selloff has created some severely oversold conditions that have ""now blossomed into buy signals, but there is still a much larger intermediate-term bearishness in place,"" Larry McMillan, president of McMillan Analysis Corp in Morristown, New Jersey, said in a note to clients.""The buy signals may generate a rally back to and through the 20-day moving average. But for anything more than that, the intermediate-term sell signals have to be reversed.""The S&P 500 fell 3.6 percent in January, its worst monthly loss since May 2012. Its 20-day moving average is currently at 1,804.25.In another check of the U.S. economy's health, January retail sales will be in focus. The data could offer more evidence that the economy lost some momentum at the start of the first quarter. On Friday, nonfarm payrolls data showed job creation in the United States slowed sharply over the past two months, raising the prospect that the economy may be losing strength.Federal Reserve Chair Janet Yellen will be in the spotlight as she testifies before U.S. lawmakers next week in her first public comments on monetary policy and the economy after taking the reins at the U.S. central bank. She will appear before the House Financial Services Committee on Tuesday and the Senate Banking Committee on Thursday.Yellen, a strong supporter of the Fed's easy-money policies,  will be responsible for ramping down a huge bond-buying program and, later, raising interest rates and shrinking the Fed's swollen balance sheet. FINAL CHRISTMAS SNAPSHOT The Commerce Department is expected to report on Thursday that retail sales were flat in January, held down by a drop in receipts at auto dealerships, after rising 0.2 percent in December. Even after stripping out autos, retail sales are seen barely rising.""That retail number is actually important because it includes the January gift card numbers, so that completes the Christmas picture,"" said Phil Orlando, chief equity market strategist at Federated Investors, in New York. On Thursday, a group of nine retailers that report comparable monthly sales posted a 3.6 percent rise for January, below the 4.9 percent pace a year earlier, according to Thomson Reuters. The data suggested that January was a tough end to the most competitive holiday season for U.S. retailers since the 2007-2009 recession.Next week's economic calendar will include weekly jobless claims on Thursday and January's industrial output on Friday. The preliminary February reading on consumer sentiment will also be released on Friday by Thomson Reuters and the University of Michigan.On Monday, McDonald's Corp will report January sales. Last month, the company reported weaker-than-expected quarterly sales at established restaurants as fewer diners frequented the fast-food chain. McDonald's warned that sales would again fall short of analysts' expectations in January.On the earnings front, companies ranging from Sprint Corp  to Cisco Systems Inc, Deere & Co, PepsiCo Inc and MetLife Inc will report their results.Thomson Reuters data showed that of the 343 companies in the S&P 500 that had reported earnings through Friday morning, 67.9 percent have topped Wall Street's expectations, slightly above the 67 percent beat rate for the past four quarters and ahead of the 63 percent rate since 1994.(Wall St Week Ahead runs every Friday. Questions or comments on this column can be e-mailed to: angela.moon(at)thomsonreuters.com )",2014-02-08,MCD,"Fri Feb 7, 2014 | 7:56pm EST",Wall St Week Ahead-Will U.S. stock buyers beat back the bear?,http://www.reuters.com//article/usa-stocks-weekahead-idUSL2N0LC1YE20140208?type=companyNews
