,Article,Date,Symbol,Time,Title,Url
0,"  Jan 8 The following bids, mergers, acquisitions and disposals were reported by 2100 GMT on Wednesday:** U.S. drugs wholesale group McKesson is preparing to offer concessions to hedge fund Elliott to save its planned acquisition of Germany-based peer Celesio, three people familiar with the deal said on Wednesday. Elliott, which has amassed a stake large enough to block the deal, has said it rejects the $8.3 billion bid in its current form.** Activist hedge fund Elliott Management Corp offered to buy Riverbed Technology Inc for about $3.08 billion in cash, a move analysts said was likely to trigger higher bids for the network equipment maker.** Drugmaker Forest Laboratories Inc said it would buy specialty pharmaceutical maker Aptalis from private equity firm TPG Capital for $2.9 billion in a deal it promised would increase next year's earnings, sending its shares up nearly 14 percent.** Abu Dhabi will take full control of the UAE' biggest oilfields when its decades-old venture with four western oil giants ends this weekend, while it weighs new partnerships that could include its long-term collaborators or Asian newcomers.** JPMorgan Chase & Co, the world's biggest dealer in over-the-counter metals derivatives, has added its metals futures brokerage to the sale of its physical commodities business, sources familiar with the matter said.** Private equity-owned Skillsoft Ltd is exploring a sale that it hopes will value the provider of educational software  at around $2 billion, including debt, according to several people familiar with the matter. Skillsoft, which was taken private in 2010 by Berkshire Partners LLC, Advent International Corp and Bain Capital LLC for $1.2 billion, is working with Deutsche Bank AG to find potential buyers, the people said on Tuesday.** CEC Entertainment Inc, the parent of family restaurant and entertainment chain Chuck E. Cheese, is exploring a potential sale to private equity, according to people familiar with the matter. The Irving, Texas-based company, which has a market capitalization of around $760 million, is working with Goldman Sachs Group Inc and has been speaking with interested buyers over the last several months, the people said on Tuesday.** Austrian lender Raiffeisen Bank International  has decided not to sell its Hungarian unit for now, two sources familiar with the situation told Reuters on Wednesday, after media reports that such a deal could be imminent. ** Fairfax Financial Holdings Ltd will buy another $250 million worth of BlackBerry Ltd's convertible debentures, the companies said Wednesday, providing the struggling smartphone maker with much-needed cash.** Northwestern Mutual Life Insurance is exploring a possible sale of its Russell Investments asset management business, which has $247 billion in assets under management, according to four people familiar with the situation. The Milwaukee-based insurer is discussing selling the Russell subsidiary because it has decided it is not a core part of its business, the people said on Tuesday.** Israel's Teva Pharmaceutical Industries Ltd   offered to buy U.S. neurology drugs maker NuPathe Inc  for $114 million plus milestone payments related to NuPathe's Zecuity migraine treatment.** Health insurer WellPoint Inc said on Tuesday it reached an agreement to sell 1-800 Contacts, its online contact lens business, to private equity firm Thomas H. Lee Partners in order to focus on its core insurance business. Financial terms of the deal and a separate transaction to sell a similar eye glasses business, glasses.com, to Luxottica Group were not disclosed. ** Troubled Italian bank Monte dei Paschi di Siena  said on Wednesday it had sold its stake in medical technology group Sorin, as it continued planned asset sales to help return to profit and avoid nationalisation.** Chinese recycling tycoon Chen Guangbiao dialed back his ambitious plans to buy The New York Times Co just over a week after making his intentions public. ""The level of difficulty is great,"" he said through a translator on Tuesday.** Taiwan's Eastern Media International Corp is bidding to buy Carlyle Group's entire 61 percent stake in local TV company Eastern Broadcasting which is worth around $240 million, two sources with direct knowledge of the matter said on Wednesday.** Singapore's Tigerair is selling its Philippine business to Cebu Pacific, the archipelago's biggest airline, leaving just three main players in a market flush with planes but thin on passengers. ** Facebook Inc is buying India-based Little Eye Labs, a startup that builds performance analysis and monitoring tools for mobile Android apps, in a move that marks the social networking giant's first deal in the country.** Private equity firm Dering Capital is in advanced talks to buy French broadcasting masts operator TDF, and is the last remaining bidder after a Canadian consortium dropped out, Les Echos reported on Wednesday.** South Korean online news outlet Edaily on Wednesday reported that Roche Holding AG, Teva Pharmaceutical Industries Ltd and AstraZeneca Plc were among parties in talks to acquire the biotech firm Celltrion Inc .** Norwegian paper firm Norske Skog sold the remaining 49 percent of its Brazilian operations to a consortium of Chilean investors controlled by Group BO/Pathfinder for $37 million, it said on Wednesday. The firm already sold 51 percent of the business to the same investors last June.** Singapore's Blumont Group Ltd, which suffered a sudden implosion in its share price in October, has canceled its proposed acquisition of Hudson Minerals Holdings Pte Ltd, which has interests in an Indonesian iron ore exploration company.** Dubai-listed logistics group Aramex is eyeing acquisitions in South Africa and east Africa in the second half of this year, its founder and vice-chairman Fadi Ghandour said on Wednesday.** Diageo Plc and celebrity rapper turned business mogul Sean ""Diddy"" Combs have jointly bought luxury U.S. tequila brand DeLeon, hoping to repeat the success they have had with the company's fast-growing Ciroc vodka.** Oil and gas company Hess Corp said it filed with regulators to spin off its gas station and convenience store network, the latest business the company is shedding in response to a campaign by activist investor Elliott Management.** Amazon.com Inc signed a deal allowing it to stream CBS Corp's new science-fiction thriller series ""Extant"" four days after it is broadcast on television. The show, starring Halle Berry, is about an astronaut, who comes home after spending a year alone in space, and tries to reconnect with her husband and son.",2014-01-08,MCK,"Wed Jan 8, 2014 | 4:04pm EST",Deals of the day- Mergers and acquisitions,http://www.reuters.com//article/deals-day-idUSL3N0KI2KC20140108?type=companyNews
1,"  FRANKFURT U.S. drugs wholesale group McKesson (MCK.N) is ready to offer concessions in talks with hedge fund Elliott to save its planned acquisition of German-based peer Celesio (CLSGn.DE), three people familiar with the deal said on Wednesday.McKesson in October offered 23 euros per Celesio share in a bid backed by Celesio's majority investor Franz Haniel & Cie FHANI.UL, seeking to forge a global leader in drugs distribution to boost its bargaining power with pharmaceutical majors.Elliott subsequently splashed out roughly 800 million euros ($1.09 billion) on a Celesio stake large enough to block the deal, and denounced the $8.3 billion bid as too low.""McKesson is budging, they are working actively on a solution,"" one of the people said. However, no agreement has yet been reached in the negotiations between McKesson and Elliott, the sources said.If McKesson decided to up its bid, it could by the end of Wednesday make a new tender offer valid for another two weeks.Or, it could buy shares for a higher price on the open market by Thursday, obliging it to pay the same price for those shares tendered before the midnight Thursday deadline. Celesio traded up 7.7 percent at 24.16 euros at 1502 GMT.By Wednesday afternoon, shareholders had tendered only 2.54 percent of the share capital and the voting rights in Celesio on a fully diluted basis.McKesson has made its bid contingent on getting at least 75 percent of Celesio's shares, including those from convertible bonds. Debt-ridden Haniel has been urging McKesson to make the acquisition work and may even settle for a discount to any sweetened offer to remaining shareholders, two people familiar with the transaction said. Haniel declined to comment.""A thought that has surfaced is that McKesson could pay Haniel a slightly lower price for its 50 percent stake and offer a premium to other shareholders,"" one of the sources said.Haniel, a family-owned conglomerate which traces its roots back to the 18th century, has been shedding assets to pay down its net debt, which stood at 1.6 billion euros at end-September 2013, and to offset a massive writedown on its holding in German retailer Metro (MEOG.DE) in 2012. Elliott has 25.16 percent of the voting rights in Celesio but when shares from Celesio's two convertible bonds are taken into account, the investor's voting stake is 22.7 percent, below the 25 percent it would technically need to block the deal.However, some funds, which track share indexes, cannot tender their shares before completion of the deal and usually another small percentage of a company's shares are held in accounts, whose owners do not tender.San Francisco-based McKesson was not immediately available for comment outside business hours. Celesio and Elliott declined to comment.($1 = 0.7349 euros)(Reporting by Alexander Hübner, Matthias Inverardi, Frank Siebelt and; Arno Schuetze; Editing by Ludwig Burger and David Evans)",2014-01-08,MCK,"Wed Jan 8, 2014 | 10:30am EST",McKesson working to end standoff over Germany's Celesio: sources,http://www.reuters.com//article/us-celesio-mckesson-idUSBREA070NP20140108?type=companyNews
2,"  * McKesson preparing to offer concessions to Elliott -sources* Deadline for tender offer is Thursday night* Celesio shares jump 4.3 percent to 23.40 eurosFRANKFURT, Jan 8 U.S. drugs wholesale group McKesson is ready to offer concessions in talks with hedge fund Elliott to save its planned acquisition of German-based peer Celesio, three people familiar with the deal said on Wednesday.McKesson in October offered 23 euros per Celesio share in a bid backed by Celesio's majority investor Franz Haniel & Cie , seeking to forge a global leader in drugs distribution to boost its bargaining power with pharmaceutical majors.Elliott subsequently splashed out roughly 800 million euros ($1.09 billion) on a Celesio stake large enough to block the deal, and denounced the $8.3 billion bid as too low.""McKesson is budging, they are working actively on a solution,"" one of the people said. However, no agreement has yet  been reached in the negotiations between McKesson and Elliott, the sources said. If McKesson decided to up its bid, it could by the end of Wednesday make a new tender offer valid for another two weeks.Or, it could buy shares for a higher price on the open market by Thursday, obliging it to pay the same price for those shares tendered before the midnight Thursday deadline.Celesio traded up 7.7 percent at 24.16 euros at 1502 GMT. By Wednesday afternoon, shareholders had tendered only 2.54 percent of the share capital and the voting rights in Celesio on a fully diluted basis.McKesson has made its bid contingent on getting at least 75 percent of Celesio's shares, including those from convertible bonds.Debt-ridden Haniel has been urging McKesson to make the acquisition work and may even settle for a discount to any sweetened offer to remaining shareholders, two people familiar with the transaction said. Haniel declined to comment. ""A thought that has surfaced is that McKesson could pay Haniel a slightly lower price for its 50 percent stake and offer a premium to other shareholders,"" one of the sources said.Haniel, a family-owned conglomerate which traces its roots back to the 18th century, has been shedding assets to pay down its net debt, which stood at 1.6 billion euros at end-September 2013, and to offset a massive writedown on its holding in German retailer Metro in 2012.Elliott has 25.16 percent of the voting rights in Celesio but when shares from Celesio's two convertible bonds are taken into account, the investor's voting stake is 22.7 percent, below the 25 percent it would technically need to block the deal.However, some funds, which track share indexes, cannot tender their shares before completion of the deal and usually another small percentage of a company's shares are held in accounts, whose owners do not tender.San Francisco-based McKesson was not immediately available for comment outside business hours. Celesio and Elliott declined to comment.",2014-01-08,MCK,"Wed Jan 8, 2014 | 10:30am EST",UPDATE 2-McKesson working to end standoff over Germany's Celesio -sources,http://www.reuters.com//article/celesio-mckesson-idUSL6N0KI1U220140108?type=companyNews
3,"  FRANKFURT Jan 8 U.S. drugs wholesale group McKesson is preparing to offer concessions to hedge fund Elliott to save its planned acquisition of Germany-based peer Celesio, three people familiar with the deal said on Wednesday.Elliott, which has amassed a stake large enough to block the deal, has said it rejects the $8.3 billion bid in its current form.""McKesson is budging, they are working actively on a solution,"" one of the sources said. Celesio shares extended gains on the news and traded 5.5 percent higher at 23.65 euros ($32.18) at 1248 GMT. McKesson in October offered 23 euro per Celesio share in a bid backed by Celesio's majority investor Franz Haniel & Cie , seeking to forge a global leader in drugs distribution to boost its bargaining power with pharma majors. Time is running out because McKesson has set a Thursday night deadline for Celesio shares to be tendered. It has made its bid contingent on getting at least 75 percent of Celesio's shares, including those from convertible bonds.San Francisco-based McKesson was not immediately available for comment outside business hours. Celesio and Elliott declined to comment.",2014-01-08,MCK,"Wed Jan 8, 2014 | 7:54am EST",McKesson working on plan to end standoff over Celesio - sources,http://www.reuters.com//article/celesio-mckesson-idUSWEB00GGU20140108?type=companyNews
4,"   By Alexander Hübner and Ludwig Burger | FRANKFURT  FRANKFURT U.S. drugs wholesaler McKesson (MCK.N) raised its offer for German peer Celesio (CLSGn.DE) to about 6.2 billion euros ($8.4 billion) including debt, mollifying an activist hedge fund that had been blocking the deal.McKesson increased its bid to 23.50 euros per Celesio share from the 23 euros it offered in October, the San Francisco-based company said on Thursday.The U.S. firm is seeking to forge a global leader in drugs distribution to boost its bargaining power with big pharmaceutical companies such as Novartis NOVN.VX and Teva (TEVA.TA), in what could be the largest health-sector takeover in Germany in eight years.McKesson, the largest U.S. drugs distributor and its closest rivals AmerisourceBergen (ABC.N) and Cardinal Health (CAH.N), who command a combined 95 percent U.S. market share, have all been looking to team up with pharmacy chains or to grow abroad.Celesio shares were trading at 24.00 euros at 1443 GMT on Thursday, just above the increased offer price, reflecting investors' speculation that the deal would go through and that McKesson would likely offer a slight premium to buy out any remaining minority shareholders after taking control.The German company has a drugs wholesale business and owns a network of pharmacies in Europe which trade under the Lloyds brand.Celesio's majority investor Franz Haniel & Cie FHANI.UL backed the original 6.1 billion euro bid. But hedge fund Elliott Management Corp, the German company's second-largest shareholder, said it was too low. Spokesmen for McKesson and Elliott declined to give a total figure for the revised offer.Based on the 0.50 euro per share increase and assuming there are about 204 million shares outstanding - including all those from Celesio's two convertible bonds - the new offer is worth at least 100 million euros more than the original.McKesson's higher offer is contingent on the U.S. firm getting at least 75 percent of Celesio's shares, including those from bonds that convert to shares. Its agreement with Elliott gets McKesson closer to reaching that goal by the deadline of midnight on Thursday.Elliott, run by U.S. investor Paul Singer, said it has agreed to sell shares equivalent to at least 13 percent of Celesio's equity capital, taking into account the dilutive effect of the convertible bonds. Overall, convertible bonds would account for 16.7 percent of the company's share capital if they were all converted.The hedge fund also offered to sell all 4,866 convertible bonds it holds in Celesio, provided that the 75 percent threshold is reached. An Elliott spokesman declined to say how many shares those bonds convert to.That means McKesson still needs smaller Celesio shareholders to tender their stock for the deal to go through.Elliott, which could still hold a stake in Celesio even if the deal succeeds, could then as a minority shareholder press MckKesson for an even higher price. McKesson said it would pay Haniel 23.50 euros a share for its 50.01 percent stake.Elliott spent roughly 800 million euros ($1.1 billion) on close to a quarter of Celesio's shares after McKesson made its initial offer and then rejected it as too low.Sources told Reuters on Wednesday that McKesson was looking at concessions to get the deal done.The new offer would value Celesio including its debt at about 11 times expected earnings before interest, taxes, depreciation and amortization (EBITDA) for 2013, broadly in line with the multiple its U.S. suitor is trading at.That compares with a multiple of about 11 times EBITDA that U.S. drugstore chain Walgreens WAG.N paid for a stake in Alliance Boots in 2012.($1 = 0.7353 euros)(Additional reporting by Frank Siebelt; Editing by Erica Billingham)",2014-01-09,MCK,"Thu Jan 9, 2014 | 11:34am EST",McKesson raises bid to salvage $8.4 billion Celesio deal,http://www.reuters.com//article/us-celesio-mckesson-idUSBREA080YI20140109?type=companyNews
5,"  * McKesson ups offer by 0.50 euros/share* Hedge fund Elliott had said initial 23 euro offer was too low* Celesio shares trade above revised offer priceBy Alexander Hübner and Ludwig BurgerFRANKFURT, Jan 9 U.S. drugs wholesaler McKesson  raised its offer for  German peer Celesio to about 6.2 billion euros ($8.4 billion) including debt, mollifying an activist hedge fund that had been blocking the deal.McKesson increased its bid to 23.50 euros per Celesio share from the 23 euros it offered in October, the San Francisco-based company said on Thursday.The U.S. firm is seeking to forge a global leader in drugs distribution to boost its bargaining power with big pharmaceutical companies such as Novartis and Teva , in what could be the largest health-sector takeover in Germany in eight years.McKesson, the largest U.S. drugs distributor and its closest rivals AmerisourceBergen and Cardinal Health, who command a combined 95 percent U.S. market share, have all been looking to team up with pharmacy chains or to grow abroad.Celesio shares were trading at 24.00 euros at 1443 GMT on Thursday, just above the increased offer price, reflecting investors' speculation that the deal would go through and that McKesson would likely offer a slight premium to buy out any remaining minority shareholders after taking control. The German company has a drugs wholesale business and owns a network of pharmacies in Europe which trade under the Lloyds brand.Celesio's majority investor Franz Haniel & Cie  backed the original 6.1 billion euro bid. But hedge fund Elliott Management Corp, the German company's second-largest shareholder, said it was too low.Spokesmen for McKesson and Elliott declined to give a total figure for the revised offer.Based on the 0.50 euro per share increase and assuming there are about 204 million shares outstanding - including all those from Celesio's two convertible bonds  - the new offer is worth at least 100 million euros more than the original. McKesson's higher offer is contingent on the U.S. firm getting at least 75 percent of Celesio's shares, including those from bonds that convert to shares. Its agreement with Elliott gets McKesson closer to reaching that goal by the deadline of midnight on Thursday.Elliott, run by U.S. investor Paul Singer, said it has agreed to sell shares equivalent to at least 13 percent of Celesio's equity capital, taking into account the dilutive effect of the convertible bonds.Overall, convertible bonds would account for 16.7 percent of the company's share capital if they were all converted.The hedge fund also offered to sell all 4,866 convertible bonds it holds in Celesio, provided that the 75 percent threshold is reached. An Elliott spokesman declined to say how many shares those bonds convert to. That means McKesson still needs smaller Celesio shareholders to tender their stock for the deal to go through.Elliott, which could still hold a stake in Celesio even if the deal succeeds, could then as a minority shareholder press MckKesson for an even higher price.McKesson said it would pay Haniel 23.50 euros a share for its 50.01 percent stake.Elliott spent roughly 800 million euros ($1.1 billion) on close to a quarter of Celesio's shares after McKesson made its initial offer and then rejected it as too low.Sources told Reuters on Wednesday that McKesson was looking at concessions to get the deal done.The new offer would value Celesio including its debt at about 11 times expected earnings before interest, taxes, depreciation and amortisation (EBITDA) for 2013, broadly in line with the multiple its U.S. suitor is trading at.That compares with a multiple of about 11 times EBITDA that U.S. drugstore chain Walgreens paid for a stake in Alliance Boots in 2012.",2014-01-09,MCK,"Thu Jan 9, 2014 | 11:33am EST",UPDATE 3-McKesson raises bid to salvage $8.4 bln Celesio deal,http://www.reuters.com//article/celesio-mckesson-idUSL6N0KJ0GX20140109?type=companyNews
6,"  FRANKFURT Jan 9 Hedge fund Elliott said on Thursday it would tender at least 27.175 million shares in Celesio after McKesson raised its offer for the German company to 23.50 euros ($32) per share from 23 euros previously.It also said it has agreed to sell 4,866 bonds convertible into Celesio shares to McKesson.   ",2014-01-09,MCK,"Thu Jan 9, 2014 | 6:21am EST",Elliott agrees to sell part of its Celesio stake to McKesson,http://www.reuters.com//article/celesio-mckesson-elliott-idUSWEB00GIP20140109?type=companyNews
7,"  FRANKFURT Jan 9 U.S. drugs wholesale group McKesson on Thursday lifted its offer for Celesio  to 23.50 euros per share from 23 euros in a bid to win over hedge fund Elliott, a source familiar with the talks said.McKesson in October offered 23 euros per Celesio share in a bid backed by Celesio's majority investor Franz Haniel & Cie , seeking to forge a global leader in drugs distribution to boost its bargaining power with pharmaceutical majors.  But Elliott said the $8.3 billion bid was too low and spent roughly 800 million euros ($1.09 billion) on close to a quarter of Celesio's shares, enough to block the deal. ",2014-01-09,MCK,"Thu Jan 9, 2014 | 1:29am EST",McKesson ups offer for Celesio to 23.50 eur/share - source,http://www.reuters.com//article/celesio-mckesson-idUSWEB00GHI20140109?type=companyNews
8,"  FRANKFURT U.S. drugs wholesaler group McKesson (MCK.N) said on Monday it had failed to win enough support for a $8.4 billion offer to buy German distributor Celesio (CLSGn.DE), leaving it empty-handed in a sector where cross-border consolidation is accelerating.The suitor last week raised its offer for Celesio to 23.50 euros per share from 23 euros following pressure from activist hedge fund investor Elliott, which had become Celesio's second-largest shareholder behind Franz Haniel & Cie GmbH.But McKesson said on Monday it had still failed to get across the 75 percent threshold for acceptances which it had set as a condition for going ahead with the higher offer.""While we are disappointed that we were not successful in completing our offers for Celesio, we have a track record of great performance, a strong balance sheet and demonstrated leadership and scale across our markets,"" McKesson's chairman and chief executive, John Hammergren, said in a statement.""We are well positioned and will continue to explore and evaluate opportunities to further strengthen our businesses through our disciplined approach to capital allocation.""McKesson shares were down 4.9 percent at $167 at 1900 GMT.The setback leaves McKesson without a partner while elsewhere in the industry, cross-border tie-ups are picking up speed.McKesson-Celesio would have eclipsed another transatlantic tie-up in drugs trading, the purchase of a 45 percent stake in European pharmacy chain Alliance Boots by U.S. peer Walgreen Co WAG.N in 2012. Alliance and Walgreen have close to $110 billion in annual revenue between them but are looking to bulk up further as they build a stake in distributor AmerisourceBergen (ABC.N).Pharmacy chain CVS Caremark (CVS.N) and drugs distributor Cardinal Health (CAH.N) last month struck a 10-year agreement to form the largest generic drug sourcing operation in the United States.Some analysts think the McKesson should give it another try. ""With material accretion assumed in Street models coupled with all of the work McKesson has committed to this deal, we would have to think the company makes one more attempt for Celesio,"" said Greg Bolan, an analyst at Sterne Agee.Franz Haniel & Cie GmbH, which holds a 50.01 percent stake in Celesio and had accepted the original offer, said it regretted that the bid was not successful.""We can now take our time at Haniel to calmly analyze the situation and consider all options,"" Chief Executive Stephan Gemkow said in a statement.No one at Elliott was immediately available to comment. Left on its own, Celesio said it would resume a strategy it had drawn up before the takeover offer.In response to a tough business environment, Celesio Chief Executive Marion Helmes had been centralizing procurement to cut costs, as well as widening and standardizing the offering of its pharmacies across Europe under the Lloyds brand.""Our strategy to widen our network of pharmacies and our central procurement and to optimize the supply chain is successful and will be pursued further as before,"" Helmes said on Monday.Celesio has been in a price war that has all but erased profit from a crowded German drugs wholesale market. Healthcare cuts across Europe, its main market, have added to woes.But even before the bid Helmes had conceded that an alliance or tie-up with a U.S. partner could help win steeper discounts, mainly for the generic drugs it buys but also for non-prescription medication and skincare products.(Reporting by Harro ten Wolde and Ludwig Burger; Editing by Greg Mahlich and David Evans)",2014-01-13,MCK,"Mon Jan 13, 2014 | 2:47pm EST",McKesson says Celesio takeover offer has failed,http://www.reuters.com//article/us-mckesson-celesio-idUSBREA0C1CN20140113?type=companyNews
9,"  * McKesson says fails to get 75 pct threshold* McKesson left without partner in consolidating industry* Celesio says to resume pre-offer strategy* McKesson shares down 4.9 pctFRANKFURT, Jan 13 U.S. drugs wholesaler group McKesson said on Monday it had failed to win enough support for a $8.4 billion offer to buy German distributor Celesio, leaving it empty-handed in a sector where cross-border consolidation is accelerating.The suitor last week raised its offer for Celesio to 23.50 euros per share from 23 euros following pressure from activist hedge fund investor Elliott, which had become Celesio's second-largest shareholder behind Franz Haniel & Cie GmbH.But McKesson said on Monday it had still failed to get across the 75 percent threshold for acceptances which it had set as a condition for going ahead with the higher offer.""While we are disappointed that we were not successful in completing our offers for Celesio, we have a track record of great performance, a strong balance sheet and demonstrated leadership and scale across our markets,"" McKesson's chairman and chief executive, John Hammergren, said in a statement.""We are well positioned and will continue to explore and evaluate opportunities to further strengthen our businesses through our disciplined approach to capital allocation."" McKesson shares were down 4.9 percent at $167 at 1900 GMT.The setback leaves McKesson without a partner while elsewhere in the industry, cross-border tie-ups are picking up speed.McKesson-Celesio would have eclipsed another transatlantic tie-up in drugs trading, the purchase of a 45 percent stake in European pharmacy chain Alliance Boots by U.S. peer Walgreen Co  in 2012.Alliance and Walgreen have close to $110 billion in annual revenue between them but are looking to bulk up further as they build a stake in distributor AmerisourceBergen. Pharmacy chain CVS Caremark and drugs distributor Cardinal Health last month struck a 10-year agreement to form the largest generic drug sourcing operation in the United States.Some analysts think the McKesson should give it another try.""With material accretion assumed in Street models coupled with all of the work McKesson has committed to this deal, we would have to think the company makes one more attempt for Celesio,"" said Greg Bolan, an analyst at Sterne Agee.Franz Haniel & Cie GmbH, which holds a 50.01 percent stake in Celesio and had accepted the original offer, said it regretted that the bid was not successful. ""We can now take our time at Haniel to calmly analyse the situation and consider all options,"" Chief Executive Stephan Gemkow said in a statement.No one at Elliott was immediately available to comment.Left on its own, Celesio said it would resume a strategy it had drawn up before the takeover offer.In response to a tough business environment, Celesio Chief Executive Marion Helmes had been centralising procurement to cut costs, as well as widening and standardising the offering of its pharmacies across Europe under the Lloyds brand.""Our strategy to widen our network of pharmacies and our central procurement and to optimise the supply chain is successful and will be pursued further as before,"" Helmes said on Monday.Celesio has been in a price war that has all but erased profit from a crowded German drugs wholesale market. Healthcare cuts across Europe, its main market, have added to woes.But even before the bid Helmes had conceded that an alliance or tie-up with a U.S. partner could help win steeper discounts, mainly for the generic drugs it buys but also for non-prescription medication and skincare products.",2014-01-13,MCK,"Mon Jan 13, 2014 | 2:42pm EST",UPDATE 1-McKesson says Celesio takeover offer has failed,http://www.reuters.com//article/mckesson-celesio-idUSL6N0KN3D320140113?type=companyNews
