,Article,Date,Symbol,Time,Title,Url
0,"  Medtronic Inc's experimental device to treat high blood pressure failed to meet its main goal in a clinical trial, sending the company's shares down nearly 5 percent.The device, known as renal denervation system, is aimed at high blood pressure-patients who are resistant to traditional drug therapies and works by deadening nerves in kidneys.Analysts called the trial results disappointing, even though they did not have very high sales expectations from the device.""The impact of this news on Medtronic should be modest as we only model worldwide revenues (from the device) of ... 1.2 percent of total company sales in 2018,"" Wells Fargo Securities analyst Larry Biegelsen wrote in a note. However, despite meeting its main safety goal in the trial, Medtronic said it would halt ongoing trials of the device in the United States, Japan and India.The device was launched in Europe in April 2010, but its adoption was slow as austere governments were reluctant to pay for the unconventional technology. Several other medical device makers, including St Jude Medical Inc and Covidien, are also making devices aimed at treating high blood pressure.These devices work by creating tiny scars along nerves in the kidneys - organs that play a pivotal role in regulating blood pressure by sending signals to the brain that can cause blood vessels to constrict. This scarring process is carried out by threading a catheter through the renal arteries from the groin. It deadens the nerves and decreases blood pressure.Medtronic shares were down 2.5 percent at $59.29 in late morning trade on the New York Stock Exchange. They touched a low of $57.92 earlier in the session.(Reporting by Esha Dey in Bangalore; Editing by Joyjeet Das and Savio D'Souza)",2014-01-09,MDT,"Thu Jan 9, 2014 | 11:32am EST",Medtronic's novel hypertension device fails in trials,http://www.reuters.com//article/us-medtronic-study-device-idUSBREA080L520140109?type=companyNews
1,"  (Adds details, background, stock movement)Jan 9 Medtronic Inc's experimental device to treat high blood pressure failed to meet its main goal in a clinical trial, sending the company's shares down nearly 5 percent.The device, known as renal denervation system, is aimed at high blood pressure-patients who are resistant to traditional drug therapies and works by deadening nerves in kidneys.Analysts called the trial results disappointing, even though they did not have very high sales expectations from the device. ""The impact of this news on Medtronic should be modest as we only model worldwide revenues (from the device) of ... 1.2 percent of total company sales in 2018,"" Wells Fargo Securities analyst Larry Biegelsen wrote in a note.However, despite meeting its main safety goal in the trial, Medtronic said it would halt ongoing trials of the device in the United States, Japan and India. The device was launched in Europe in April 2010, but its adoption was slow as austere governments were reluctant to pay for the unconventional technology.Several other medical device makers, including St Jude Medical Inc and Covidien, are also making devices aimed at treating high blood pressure. These devices work by creating tiny scars along nerves in the kidneys - organs that play a pivotal role in regulating blood pressure by sending signals to the brain that can cause blood vessels to constrict.This scarring process is carried out by threading a catheter through the renal arteries from the groin. It deadens the nerves and decreases blood pressure.Medtronic shares were down 2.5 percent at $59.29 in late morning trade on the New York Stock Exchange. They touched a low of $57.92 earlier in the session.   (Reporting by Esha Dey in Bangalore; Editing by Joyjeet Das and Savio D'Souza)",2014-01-09,MDT,"Thu Jan 9, 2014 | 11:32am EST",UPDATE 1-Medtronic's novel hypertension device fails in trials,http://www.reuters.com//article/medtronic-study-device-idUSL3N0KJ4FJ20140109?type=companyNews
2,"  Jan 9 Medtronic Inc said its experimental device for treating hypertension was not effective in a clinical trial.However, the trial met its main safety goal and an independent safety committee concluded that there were no safety concerns in the study.  The device, called the Symplicity renal denervation system, consists of a flexible catheter and a generator that is used to deliver a controlled, low-power energy routine intended to reduce hyper-activation of the sympathetic nervous system. ",2014-01-09,MDT,"Thu Jan 9, 2014 | 7:22am EST",Medtronic hypertension device found ineffective in trial,http://www.reuters.com//article/medtronic-study-device-idUSL3N0KJ3QV20140109?type=companyNews
3,"  Jan 13 Medtronic Inc on Monday said it will convene an independent panel of experts to make recommendations on the future of its experimental treatment for high blood pressure after the device failed to meet the key goal of a clinical study.     The medical device maker announced last week that the treatment, known as renal denervation, did not meet the goal for demonstrating effectiveness in the study, though it did meet its main safety goal.     The device is aimed at treating high blood pressure in patients who have not responded well to traditional drug therapies and works by deadening nerves in the kidneys.     Medtronic Chief Executive Omar Ishrak, speaking at the JP Morgan Healthcare Conference in San Francisco, said the company was likely to take an impairment charge for halting clinical trials of the device in the United States, Japan and India.     The setback will have minimal impact on the company's sales projections, which had included a small additional contribution to revenue beginning in 2016, the CEO said.       Medtronic will continue to sell the device in Europe, where it has been on the market since April 2010, Ishrak said.      St Jude Medical Inc and Covidien also sell devices to treat high blood pressure in Europe.     The devices work by creating small scars along nerves in the kidneys. The organs play a key role in regulating blood pressure by sending signals to the brain that can cause blood vessels to constrict.   ",2014-01-13,MDT,"Mon Jan 13, 2014 | 2:05pm EST",Medtronic to form panel after blood pressure device fails study,http://www.reuters.com//article/medtronic-device-idUSL2N0KN1KK20140113?type=companyNews
4,  CHICAGO Jan 13 Medtronic Inc :  * CEO says will form independent panel for recommendations on blood pressure device  * CEO says evaluating a likely impairment charge after device failed to meet key goal in study   * CEO says minimal impact expected on company sales from device study failure  ,2014-01-13,MDT,"Mon Jan 13, 2014 | 1:14pm EST",BRIEF-Medtronic to form independent panel to recommend on blood pressure device,http://www.reuters.com//article/medtronic-brief-idUSWEN00C2C20140113?type=companyNews
5,"  Jan 15 A U.S. jury strengthened Edwards Lifesciences Corp's efforts to protect sales of the company's transcatheter heart valve implants, by ruling that a competing product from Medtronic Inc infringes its patent.Medtronic will appeal the award of more than $390 million in damages made by the jury in a federal court in Delaware and oppose any request for an injunction, the company said on Wednesday.Edwards said later in the day the ruling that Medtronic willfully infringed its patent entitled it to seek increased damages of up to three times the value of the award, in addition to attorneys' fees.It said it would move to enforce the verdict and seek a permanent injunction against Medtronic's CoreValve heart valve implant.""This (type of prolonged dispute) is fairly uncommon,"" Morningstar analyst Debbie Wang said. Unlike the two rivals, most companies would have opted to cross-license their patents after such extended litigation, she said. Wang said continuing the litigation could help Edwards protect its monopoly in the U.S. transcatheter aortic valve replacement market through 2016-2017, when some of its patents face expiry.Edwards will lose protection in December 2017 for its U.S. Cribier transcatheter heart valve patent, which covers its most important product line - the Sapien system.The Sapien system allows surgeons to replace diseased heart valves by threading the new valve into place through an artery via a catheter, sparing patients chest cracking and open heart surgery. Edwards reported transcatheter heart valves sales of $172 million for its third quarter ended Sept. 30.In 2010, a jury in the same Delaware court awarded damages to Edwards after it found that Medtronic infringed Edwards's Andersen transcatheter heart valve patent. That decision was upheld on appeal and Medtronic made an initial payment of $84 million to Edwards last year. However, additional damages are still pending, Edwards said.Last July, a German court also ruled that CoreValve, approved for sale in Europe, infringed Edwards's patent.Medtronic said it expected U.S. approval for the CoreValve implant system by the end of its fiscal year ending April 2014.The U.S. market for transcatheter aortic valve replacements is expected to reach $2 billion by 2016, BMO Capital Markets analyst Joanne Wuensch told Reuters last February.Shares of Irvine, California-based Edwards closed up about 2 percent at $71.89 on the New York Stock Exchange. Minneapolis, Minnesota-based Medtronic's shares closed little changed at $59.30.",2014-01-15,MDT,"Wed Jan 15, 2014 | 6:59pm EST",UPDATE 1-US court upholds Edwards heart valve patent in Medtronic case,http://www.reuters.com//article/medtronic-edwards-idUSL3N0KP4HP20140115?type=companyNews
6,  Medtronic Inc said a U.S. jury ruled that its heart valve implant infringed a patent held by Edward Lifesciences Corp and awarded Edwards $392.5 million in damages.Medtronic said it would appeal the ruling made by a jury in the Federal District Court of Delaware.The medical device maker said it would oppose any request for an injunction by Edwards. Medtronic said it expected U.S. approval for the CoreValve heart implant system by the end of its fiscal year ending April 2014. Edwards shares rose as much as 4 percent to $73.42 on Wednesday on the New York Stock Exchange. Medtronic shares were up slightly at $59.64. (The story corrects time period in paragraph 4 to end of fiscal year from end 2014)(Reporting by Vrinda Manocha in Bangalore; Editing by Kirti Pandey),2014-01-15,MDT,"Wed Jan 15, 2014 | 1:01pm EST",U.S. court awards Edwards damages in Medtronic patent fight,http://www.reuters.com//article/us-medtronic-edwards-idUSBREA0E15J20140115?type=companyNews
7,  (Corrects time period in paragraph 4 to end of fiscal year from end 2014)Jan 15 Medtronic Inc said a U.S. jury ruled that its heart valve implant infringed a patent held by Edward Lifesciences Corp and awarded Edwards $392.5 million in damages.Medtronic said it would appeal the ruling made by a jury in the Federal District Court of Delaware. The medical device maker said it would oppose any request for an injunction by Edwards. Medtronic said it expected U.S. approval for the CoreValve heart implant system by the end of its fiscal year ending April 2014. Edwards shares rose as much as 4 percent to $73.42 on Wednesday on the New York Stock Exchange. Medtronic shares were up slightly at $59.64.   (Reporting by Vrinda Manocha in Bangalore; Editing by Kirti Pandey),2014-01-15,MDT,"Wed Jan 15, 2014 | 12:27pm EST",CORRECTED-US court awards Edwards damages in Medtronic patent fight,http://www.reuters.com//article/medtronic-edwards-idUSL3N0KP4B720140115?type=companyNews
8,"   By Bill Berkrot  Medtronic Inc's minimally invasive system for replacing diseased heart valves won U.S. approval for use in patients deemed too frail to endure traditional open heart surgery, the U.S. medical device maker said on Friday.The Food and Drug Administration approved Medtronic's CoreValve system based on U.S. clinical trials in which it was shown to be safe and effective while demonstrating low rates of stroke and valve leakage, the company said.Medtronic and Wall Street analysts had not expected the approval decision until April, giving the company a head start on efforts to seize market share from a similar rival product sold by Edwards Lifesciences Corp. News of the early CoreValve approval sent Edwards shares down nearly 5 percent.More than 100,000 people in the U.S. have severe aortic stenosis with about one-third too ill or frail for open-heart valve replacement surgery, making them candidates for CoreValve or the rival Edwards Sapien system.The systems, in which the replacement valve is threaded into place through an artery using a catheter - known as transcatheter aortic valve replacement, or TAVR - spares patient's chest-cracking surgery, cutting down on recovery time. CoreValve has been available since 2007 in Europe, where it is not uncommon for medical devices to win approval several years ahead of the United States.""We estimate the U.S. TAVR market will be approximately $450 million in 2014,"" said Glenn Novarro, an analyst with RBC Capital Markets.""With approval earlier than expected, share loss for Edwards will likely occur sooner than expected,"" added Novarro, who sees Medtronic grabbing 20 percent of the U.S. TAVR market this year, rising to more than 30 percent by 2016. But CoreValve's U.S. sales prospects may hinge on further legal proceedings after a U.S. jury earlier this week found that the Medtronic system infringes a patent held by Edwards and awarded Edwards more than $390 million in damages.Medtronic vowed to appeal the decision and oppose any request for an injunction. Edwards, meanwhile, said the patent infringement ruling entitled it to seek increased damages of up to three times the value of the award.The FDA approved CoreValve without first requiring an expert advisory panel to review the device and make recommendations to the agency. ""The low rates of stroke and valve leakage with the CoreValve System - two of the most concerning complications of valve replacement because they increase the risk of death and have a dramatic impact on quality of life - set a new standard for transcatheter valves,"" Dr. Jeffrey Popma, director of Interventional Cardiology at the Beth Israel Deaconess Medical Center in Boston and one of the lead investigators of the pivotal clinical trial, said in a statement.The CoreValve uses a smaller catheter than the currently approved Sapien, giving it a potential but temporary competitive edge. Edwards is awaiting U.S. approval of a next generation Sapien with a similarly smaller catheter.Both companies are also testing their systems in less high risk patients in hopes of broadening the potential patient population and market for the devices.Medtronic shares were up 18 cents at $59.29 in afternoon trading, while Edwards shares were off $3.49, or 4.8 percent, at $69.18, both on the New York Stock Exchange.(Reporting by Bill Berkrot; Editing by Lisa Von Ahn and Marguerita Choy)",2014-01-17,MDT,"Fri Jan 17, 2014 | 2:01pm EST",U.S. FDA approves Medtronic heart valve system early,http://www.reuters.com//article/us-medtronic-valve-idUSBREA0G1FA20140117?type=companyNews
9,"  By Bill BerkrotJan 17 Medtronic Inc's minimally invasive system for replacing diseased heart valves won U.S. approval for use in patients deemed too frail to endure traditional open heart surgery, the U.S. medical device maker said on Friday.The Food and Drug Administration approved Medtronic's CoreValve system based on U.S. clinical trials in which it was shown to be safe and effective while demonstrating low rates of stroke and valve leakage, the company said.Medtronic and Wall Street analysts had not expected the approval decision until April, giving the company a head start on efforts to seize market share from a similar rival product sold by Edwards Lifesciences Corp. News of the early CoreValve approval sent Edwards shares down nearly 5 percent.More than 100,000 people in the U.S. have severe aortic stenosis with about one-third too ill or frail for open-heart valve replacement surgery, making them candidates for CoreValve or the rival Edwards Sapien system. The systems, in which the replacement valve is threaded into place through an artery using a catheter - known as transcatheter aortic valve replacement, or TAVR - spares patients chest-cracking surgery, cutting down on recovery time.CoreValve has been available since 2007 in Europe, where it is not uncommon for medical devices to win approval several years ahead of the United States.""We estimate the U.S. TAVR market will be approximately  $450 million in 2014,"" said Glenn Novarro, an analyst with RBC Capital Markets. ""With approval earlier than expected, share loss for Edwards will likely occur sooner than expected,"" added Novarro, who sees Medtronic grabbing 20 percent of the U.S. TAVR market this year, rising to more than 30 percent by 2016.But CoreValve's U.S. sales prospects may hinge on further legal proceedings after a U.S. jury earlier this week found that the Medtronic system infringes a patent held by Edwards and awarded Edwards more than $390 million in damages. .Medtronic vowed to appeal the decision and oppose any request for an injunction. Edwards, meanwhile, said the patent infringement ruling entitled it to seek increased damages of up to three times the value of the award. The FDA approved CoreValve without first requiring an expert advisory panel to review the device and make recommendations to the agency.""The low rates of stroke and valve leakage with the CoreValve System - two of the most concerning complications of valve replacement because they increase the risk of death and have a dramatic impact on quality of life - set a new standard for transcatheter valves,"" Dr. Jeffrey Popma, director of Interventional Cardiology at the Beth Israel Deaconess Medical Center in Boston and one of the lead investigators of the pivotal clinical trial, said in a statement.The CoreValve uses a smaller catheter than the currently approved Sapien, giving it a potential but temporary competitive edge. Edwards is awaiting U.S. approval of a next generation Sapien with a similarly smaller catheter.Both companies are also testing their systems in less high risk patients in hopes of broadening the potential patient population and market for the devices.Medtronic shares were up 18 cents at $59.29 in afternoon trading, while Edwards shares were off $3.49, or 4.8 percent, at $69.18, both on the New York Stock Exchange.",2014-01-17,MDT,"Fri Jan 17, 2014 | 1:49pm EST",UPDATE 2-U.S. FDA approves Medtronic heart valve system early,http://www.reuters.com//article/medtronic-valve-idUSL2N0KR0ZU20140117?type=companyNews
