,Article,Date,Symbol,Time,Title,Url
0,     ,2014-02-13,NI,"Thu Feb 13, 2014 | 6:59am EST",UPDATE 1-Blast rocks NiSource Kentucky Columbia Gulf pipeline,http://www.reuters.com//article/usa-kentucky-explosion-idUSL2N0LI0G220140213?type=companyNews
1,"  Feb 13 U.S. natural gas pipeline company NiSource Inc said it was investigating an explosion on its key Columbia Gulf Transmission interstate natural gas pipeline in Adair County, Kentucky that injured at least one person.The blast early Thursday morning engulfed and destroyed homes and cars, authorities said.The explosion and fire in Knifley, Kentucky, about 90 miles (145 km) south of Louisville, could be seen ""just as plain as day"" from Columbia, about 12 miles from the blaze, a local police officer said.Katherine Dupuis, a spokeswoman for NiSource, said the company was investigating the incident and would provide more details later. She could not say if the pipeline was still operating.Adair County Emergency Management Director Greg Thomas said he believed the gas on that section of the pipeline was turned off. Columbia Gulf Transmission consists of approximately 3,400 miles of pipeline and 11 compressor stations with nearly half-a-million horsepower, located primarily in Louisiana, Mississippi, Tennessee and Kentucky, according to the company website.The Columbia system is interconnected to virtually every major pipeline system operating in the Gulf Coast and interconnects with pipelines serving markets in the Midwest, Southeast and Northeast. Police were notified of an explosion at about 1 a.m. local time (0700 GMT) on Thursday, Thomas, the Adair County official, said.The explosion spawned multiple woodland and structural fires, Thomas said. Three homes were set ablaze, two of them were fully destroyed, as well as two barns and four cars. The one injured person was sent to an area hospital but the extent of injuries was not known, Thomas said.The fires had largely been contained and were being allowed to burn out, Thomas said.Columbia Gulf is part of NiSource's Columbia Pipeline Group, which owns and operates more than 15,700 miles of natural gas pipelines serving customers in more than 16 states and one of the largest underground storage systems in North America.Approximately 1.3 trillion cubic feet of natural gas flows the Columbia Pipeline systems each year, according to the company's website.",2014-02-13,NI,"Thu Feb 13, 2014 | 6:58am EST",UPDATE 1-Blast rocks NiSource Kentucky Columbia Gulf pipeline,http://www.reuters.com//article/usa-kentucky-explosion-idUSL2N0LI0JI20140213?type=companyNews
2,"   By Ryan Vlastelica | NEW YORK  NEW YORK NiSource Inc (NI.N) on Sunday announced its board had approved plans to split into two publicly traded companies, separating its utilities and pipeline businesses.Under the plan, NiSource will list its natural gas pipeline division as Columbia Pipeline Group, which is expected to trade on the New York Stock Exchange under the ticker ""COLP."" NiSource will remain a natural gas and electric utilities business, and its listing will not change.A source briefed on the matter said Lazard was NiSource's financial advisor.NiSource will file for a new master limited partnership (MLP), named Columbia Pipeline Partners LP. The MLP's initial assets are seen consisting of a 14.6 percent interest in CPG OpCo LP, which will own almost all of NiSource's natural gas transmission and storage assets. Noting that NiSource management had stated a need for an equity infusion of $400 to $500 million to fund its growth, Jefferies analyst Christopher Sighinolfi on Sept. 22 wrote that an MLP, which pay no federal income tax, ""represents its most attractive alternative financing solution."" In that note, Jefferies raised its price target on the stock by $3 to $40.In the separation, NiSource shareholders will retain their current shares and receive a pro-rata dividend of stock in Columbia Pipeline Group. NiSource expects to file an S-1 with the Security and Exchange Commission on Monday.The Merrillville, Indiana-based company said the separation is expected to occur in mid-2015. Shares of NiSource closed Friday at $38.58. They have risen about 17 percent thus far this year, outperforming the S&P 500. (story refiled to clarify the structure of the separation) (Additional reporting by Mike Stone; Editing by Nick Zieminski)",2014-09-28,NI,"Sun Sep 28, 2014 | 4:34pm EDT",NiSource to separate into two publicly traded companies,http://www.reuters.com//article/us-nisource-separation-idUSKCN0HN0VI20140928?type=companyNews
3,"  (Clarifies the structure of the separation)By Ryan VlastelicaNEW YORK, Sept 28 NiSource Inc on Sunday announced its board had approved plans to split into two publicly traded companies, separating its utilities and pipeline businesses.Under the plan, NiSource will list its natural gas pipeline division as Columbia Pipeline Group, which is expected to trade on the New York Stock Exchange under the ticker ""COLP."" NiSource will remain a natural gas and electric utilities business, and its listing will not change. A source briefed on the matter said Lazard was NiSource's financial advisor.NiSource will file for a new master limited partnership (MLP), named Columbia Pipeline Partners LP. The MLP's initial assets are seen consisting of a 14.6 percent interest in CPG OpCo LP, which will own almost all of NiSource's natural gas transmission and storage assets. Noting that NiSource management had stated a need for an equity infusion of $400 to $500 million to fund its growth, Jefferies analyst Christopher Sighinolfi on Sept. 22 wrote that an MLP, which pay no federal income tax, ""represents its most attractive alternative financing solution."" In that note, Jefferies raised its price target on the stock by $3 to $40.In the separation, NiSource shareholders will retain their current shares and receive a pro-rata dividend of stock in Columbia Pipeline Group. NiSource expects to file an S-1 with the Security and Exchange Commission on Monday. The Merrillville, Indiana-based company said the separation is expected to occur in mid-2015.Shares of NiSource closed Friday at $38.58. They have risen about 17 percent thus far this year, outperforming the S&P 500.(Additional reporting by Mike Stone; Editing by Nick Zieminski)",2014-09-28,NI,"Sun Sep 28, 2014 | 4:05pm EDT",REFILE-NiSource to separate into two publicly traded companies,http://www.reuters.com//article/nisource-separation-idUSL2N0RT0OE20140928?type=companyNews
4,"  (Adds details)Sept 29 Columbia Pipeline Partners LP, a master limited partnership (MLP) formed by NiSource Inc, filed with U.S. regulators on Monday for an initial public offering of common units.Barclays and Citigroup are underwriting the IPO, which has a nominal fundraising target of about $800 million, the company said in a preliminary prospectus filed with the U.S Securities and Exchange Commission. (1.usa.gov/1vqw4wb)NiSource said on Sunday that it would split into two publicly traded companies, separating its utilities and pipeline businesses. As part of the separation, NiSource shareholders will retain their current shares and receive a pro-rata dividend of stock in Columbia Pipeline Group. Columbia Pipeline Partners, the natural gas pipeline division of NiSource, intends to list on the New York Stock Exchange under the symbol ""CPPL."" The filing did not reveal how many shares the company planned to sell or their expected price.At the completion of the offering, the MLP's assets would include of a 14.6 percent stake in CPG OpCo LP, which will own almost all of NiSource's natural gas transmission and storage assets, Columbia Pipeline Partners said. Columbia Pipeline Partners reported a pro forma net income of $38.4 million on total operating revenue of $688 million for the six months ended June 30.The amount of money a company says it plans to raise in its first IPO filings is used to calculate registration fees. The final size of the IPO could be different.   (Reporting by Avik Das in Bangalore; Editing by Ted Kerr and Simon Jennings)",2014-09-29,NI,"Mon Sep 29, 2014 | 7:03am EDT",UPDATE 1-Columbia Pipeline Partners files for IPO,http://www.reuters.com//article/columbiapipelinepartners-ipo-idUSL3N0RU3ZX20140929?type=companyNews
5,"  April 15 Nisource Inc* Says unit, Columbia Gas Of Maryland, Inc., filed request today with Maryland PSC to adjust its base rates for distribution service  * Says Columbia Gas is seeking an annual revenue increase of approximately $6.5 million  Source text for Eikon:  Further company coverage:    (Bengaluru Newsroom; +1 646 223 8780) ",2016-04-15,NI,"Fri Apr 15, 2016 | 3:16pm EDT",BRIEF-Nisource says unit filed request to adjust base rates,http://www.reuters.com//article/idUSFWN17I0UV?type=companyNews
6,"  May 3 Nisource Inc* Nisource reports first quarter 2016 earnings* Q1 non-GAAP operating earnings per share $0.60 from continuing operations* Q1 GAAP earnings per share $0.56 from continuing operations * Reaffirms FY 2016 non-GAAP operating earnings per share view $1.00 to $1.10* Q1 earnings per share view $0.59 -- Thomson Reuters I/B/E/S * Q1 operating earnings per share $0.60* Nisource Inc qtrly total net revenues $ 957.3 million versus $981.8  million * Q1 earnings per share view $0.59, revenue view $1.77 billion -- Thomson Reuters I/B/E/S* FY2016 earnings per share view $1.06 -- Thomson Reuters I/B/E/S* Expects to make approximately $1.4 billion in planned infrastructure enhancement investments during year  Source text for Eikon:  Further company coverage:    (Bengaluru Newsroom: +1 646 223 8780)",2016-05-03,NI,"Tue May 3, 2016 | 6:45am EDT",BRIEF-Nisource reports Q1 adj. earnings $0.60/shr from continuing operations,http://www.reuters.com//article/idUSASC08M48?type=companyNews
7,"  May 6 Nisource Inc : * Nisource appoints Shawn Anderson to treasurer, chief risk officer  Source text for Eikon:  Further company coverage:    (Bengaluru Newsroom: +1-646-223-8780)  ",2016-05-06,NI,"Fri May 6, 2016 | 9:26am EDT","BRIEF-Nisource names Shawn Anderson treasurer, chief risk officer",http://www.reuters.com//article/idUSASC08NRC?type=companyNews
8,"  May 11 Nisource Inc* Declared a quarterly common dividend payment of 16.5 cents per share payable aug. 19, 2016  * Nisource increases dividend 6.5 percent  Source text for Eikon:  Further company coverage: ",2016-05-11,NI,"Wed May 11, 2016 | 2:44pm EDT",BRIEF-Nisource increases dividend 6.5 percent,http://www.reuters.com//article/idUSASC08OXH?type=companyNews
9,"  Aug 2 Nisource Inc :* Q2 non-gaap operating earnings per share $0.08 from continuing operations* Q2 operating earnings per share $0.08* Q2 earnings per share view $0.07 -- Thomson Reuters I/B/E/S * Nisource reports second quarter 2016 earnings * Q2 gaap earnings per share $0.09 from continuing operations* Sees FY 2016 non-gaap operating earnings per share $1.05 to $1.10 * Now expects to complete nearly $1.5 billion in planned utility infrastructure investments in 2016* 2016 earnings guidance provides starting point for co's long-term annual non-gaap eps, dividend growth projections of 4-6 percent annually  Source text for Eikon:  Further company coverage:",2016-08-02,NI,"Tue Aug 2, 2016 | 6:39am EDT",BRIEF-Nisource reports Q2 non-gaap operating EPS $0.08,http://www.reuters.com//article/idUSASC08ZVK?type=companyNews
