,Article,Date,Symbol,Time,Title,Url
0,"  (The following statement was released by the rating agency) NEW YORK, April 02 (Fitch) Fitch Ratings expects to withdraw its ratings of  Nielsen Holdings, N.V. (Nielsen); Nielsen Finance LLC and Nielsen Finance Co.  (collectively, Nielsen Finance); and The Nielsen Company (Luxembourg) S.ar.l. at  the end of a 30-day period beginning today. Fitch will continue to maintain  coverage of Nielsen and its related entities prior to withdrawal. This advance  notice is provided for the benefit of users in managing their use of Fitch's  ratings.  Fitch has decided to discontinue the ratings in 30 days, which are  uncompensated.  Fitch currently rates Nielsen and related entities as follows:  Nielsen --IDR at 'BB'. Nielsen Finance --IDR at 'BB';  --Senior secured bank facility at 'BB+'; --Senior unsecured notes at 'BB'. The Nielsen Company (Luxembourg) S.ar.l. --IDR at 'BB'; --Senior unsecured notes at 'BB'. The Rating Outlook is Positive. Contact: Business Relationship Managment Ian A. Hodgart Senior Director +1-212-908-0819 Fitch Ratings, Inc. One State Street Plaza New York, NY 10004 Primary Analyst Rolando Larrondo Senior Director +1-212-908-9189 Secondary Analyst Brian Yoo, CFA Associate Director +1-212-908-9175 Media Relations: Brian Bertsch, New York, Tel: +1 212-908-0549, Email:  brian.bertsch@fitchratings.com. Additional information is available at 'www.fitchratings.com'. Applicable Criteria & Related Research:  --'Corporate Rating Methodology' (Aug. 5, 2013); --'The Credit Encyclo-Media Volume VI' (Sept. 19, 2013). Applicable Criteria and Related Research:  Corporate Rating Methodology: Including Short-Term Ratings and Parent and  Subsidiary Linkage here Credit Encyclo-Media VI: Fitchâ€™s Comprehensive Analysis of the U.S. Media &  Entertainment Sector here ALL FITCH CREDIT RATINGS ARE SUBJECT TO CERTAIN LIMITATIONS AND DISCLAIMERS.  PLEASE READ THESE LIMITATIONS AND DISCLAIMERS BY FOLLOWING THIS LINK:  here. IN ADDITION, RATING  DEFINITIONS AND THE TERMS OF USE OF SUCH RATINGS ARE AVAILABLE ON THE AGENCY'S  PUBLIC WEBSITE 'WWW.FITCHRATINGS.COM'. PUBLISHED RATINGS, CRITERIA AND  METHODOLOGIES ARE AVAILABLE FROM THIS SITE AT ALL TIMES. FITCH'S CODE OF  CONDUCT, CONFIDENTIALITY, CONFLICTS OF INTEREST, AFFILIATE FIREWALL, COMPLIANCE  AND OTHER RELEVANT POLICIES AND PROCEDURES ARE ALSO AVAILABLE FROM THE 'CODE OF  CONDUCT' SECTION OF THIS SITE. FITCH MAY HAVE PROVIDED ANOTHER PERMISSIBLE  SERVICE TO THE RATED ENTITY OR ITS RELATED THIRD PARTIES. DETAILS OF THIS  SERVICE FOR RATINGS FOR WHICH THE LEAD ANALYST IS BASED IN AN EU-REGISTERED  ENTITY CAN BE FOUND ON THE ENTITY SUMMARY PAGE FOR THIS ISSUER ON THE FITCH  WEBSITE.   ",2014-04-02,NLSN,"Wed Apr 2, 2014 | 2:36pm EDT",Fitch Expects to Withdraw Ratings of Nielsen and Related Entities,http://www.reuters.com//article/fitch-expects-to-withdraw-ratings-of-nie-idUSFit69592820140402?type=companyNews
1,"  SINGAPORE Feb 5 Singapore sovereign wealth fund GIC has bought a 5 percent stake in Nielsen NV , a leading provider of TV audience ratings data, for an undisclosed amount, according to a regulatory filing.GIC Private Ltd disclosed its holding of common stock in Nielsen, which has a market value of $16.7 billion, in a U.S. Securities and Exchange Commission filing dated Feb 4.  Over the past year, GIC, ranked by the Sovereign Wealth Fund Institute as the world's eighth-largest fund with $320 billion of assets, has taken a series of stakes in businesses in both emerging and developed markets.   (Reporting by Anshuman Daga; Editing by Kenneth Maxwell) ",2015-02-05,NLSN,"Wed Feb 4, 2015 | 11:16pm EST",Singapore's GIC buys 5 pct stake in TV ratings firm Nielsen,http://www.reuters.com//article/gic-nielsen-nv-idUSL4N0VF1VA20150205?type=companyNews
2,"  Nielsen NV, which provides viwership data for TV, said it had signed a deal with video streaming device maker Roku Inc to measure video advertising on Roku devices.Nielsen, the dominant player in television ratings, said the deal was the industry first for over-the-top devices such as Roku's, which offer content through the internet. Nielsen said the deal would help marketers buy video advertising on Roku, which streams up to 250,000 movies and TV episodes.   (Reporting by Sai Sachin R in Bengaluru)",2015-04-30,NLSN,"Thu Apr 30, 2015 | 10:20am EDT",Nielsen to measure ratings on Roku devices,http://www.reuters.com//article/us-nielsen-nv-roku-idUSKBN0NL1V220150430?type=companyNews
3,"  (Corrects to say that Nielsen will bring Digital Ad Ratings to Chinese market, not only Tencent)By Jennifer SabaMay 27 Nielsen NV announced on Wendnesday that it is partnering with Tencent Holdings Ltd  to bring its Digital Ad Ratings service to China in a move that will accelerate growth of digital advertising spend in the marketNielsen said it is launching its Digital Ad Ratings, which  tracks unique users, reach and frequency of a digital ad across computers, tablets and smartphones for the first time in China.Comscore, which offers a similar service and competes with Nielsen, said it is already available in China. The online gaming company Tencent, which also operates the popular mobile messaging app WeChat with 500 million monthly active users, has been making a big push to increase its advertising revenue especially through mobile.""Until now there has been no independent, reliable rating currency by which to measure digital and mobile advertising,"" SY Lau, a senior executive vice president at Tencent, said in a statement.Digital measurement is one of the tools used by advertisers to help plan campaigns and shed light on how well an ad does. It is a major factor in determining the cost of an ad. ""It's something that we have been waiting for,"" Anthony Ho, marketing director of media at Mondelez said in a statement. ""It will make our advertising much more efficient.""Nielsen will measure an ad campaign in a combination of surveys, consisting of 46,000 Chinese consumers, and aggregated, anonymous data from Tencent's hundreds of millions of active users. Pivotal Research Group Senior Research Analyst Brian Wieser wrote in a note in May that ""Nielsen's campaign measurement tools continue to dominate the preferences of the largest brands, likely capturing a greater share of spending.""The company collaborated with publishers and advertisers in China when launching Digital Ad Ratings in the country, according to Megan Clarken, a Nielsen executive vice president of Global Watch Product Leadership.Excluding Hong Kong, advertisers are expected to spend $31 billion on digital ads this year, according to research firm eMarketer.Tencent, which has a market value of $190 billion and reported first-quarter online advertising revenue of $438.41 million competes with Alibaba Group Holding LTD and Baidu Inc.    (Reporting by Jennifer Saba in New York; Editing by Alan Crosby)",2015-05-28,NLSN,"Wed May 27, 2015 | 11:51pm EDT",CORRECTED-Nielsen to measure digital ads in partnership with Tencent,http://www.reuters.com//article/nielsen-nv-tencent-advertising-idUSL1N0YI23W20150528?type=companyNews
4,"   By Jennifer Saba  Nielsen NV announced on Wednesday that it is partnering with Tencent Holdings Ltd to measure its digital audience in a move that could direct more ad dollars from companies in the United States to China's biggest social network.Nielsen said it is launching its Digital Ad Ratings, which  tracks unique users, reach and frequency of a digital ad across computers, tablets and smartphones for the first time in China.Comscore, which offers a similar service and competes with Nielsen, said it is already available in China.The online gaming company Tencent, which also operates the popular mobile messaging app WeChat with 500 million monthly active users, has been making a big push to increase its advertising revenue especially through mobile.""Until now there has been no independent, reliable rating currency by which to measure digital and mobile advertising,"" SY Lau, a senior executive vice president at Tencent, said in a statement. Digital measurement is one of the tools used by advertisers to help plan campaigns and shed light on how well an ad does. It is a major factor in determining the cost of an ad.""It's something that we have been waiting for,"" Anthony Ho, marketing director of media at Mondelez said in a statement. ""It will make our advertising much more efficient."" Nielsen will measure an ad campaign in a combination of surveys, consisting of 46,000 Chinese consumers, and aggregated, anonymous data from Tencent's hundreds of millions of active users. Pivotal Research Group Senior Research Analyst Brian Wieser wrote in a note in May that ""Nielsen's campaign measurement tools continue to dominate the preferences of the largest brands, likely capturing a greater share of spending.""The company collaborated with publishers and advertisers in China when launching Digital Ad Ratings in the country, according to Megan Clarken, a Nielsen executive vice president of Global Watch Product Leadership. It plans to roll out the service to other companies in China.   Excluding Hong Kong, advertisers are expected to spend $31 billion on digital ads this year, according to research firm eMarketer.Tencent, which has a market value of $190 billion and reported first-quarter online advertising revenue of $438.41 million competes with Alibaba Group Holding LTD and Baidu Inc.  (Reporting by Jennifer Saba in New York; Editing by Alan Crosby)",2015-05-28,NLSN,"Wed May 27, 2015 | 9:04pm EDT",Nielsen to measure digital ads in partnership with Tencent,http://www.reuters.com//article/us-nielsen-nv-tencent-advertising-idUSKBN0OD02420150528?type=companyNews
5,"  SHANGHAI Most online consumers in China will spend more during the Nov. 11 ""Singles' Day"" shopping promotion this year than they did last year, according to the results of a survey by consultancy Nielsen Holdings made available to Reuters on Wednesday.In a survey of more than 1,000 internet users in China this month, 56 percent said that they would spend more on Singles Day this year compared to 2014. A third said they were likely to spend about the same on the biggest single day for shopping in China, and 6 percent planned to spend less, Nielsen said.The survey, conducted from Oct. 16 to 21, found the average expected spend amongst all respondents in 2015 was 1,761 yuan ($277.76), Nielsen said, showing an increase of 321 yuan, or 22 percent, compared with 2014.This year's trend on a day also dubbed ""Double 11"" after its date will be watched closely for clues about private consumption as the world's second-biggest economy heads for its slowest growth in more than 20 years. Official data shows retail sales grew more than 10 percent in September from a year earlier, but other indicators, such as auto sales, have shown big drops.""It's not a huge surprise that consumers are planning to spend more during this year's Double 11,"" Yan Xuan, President of Nielsen Greater China, said in a statement. ""Income levels and internet penetration continue to rise throughout China, so this is a natural progression.""  The online sales event has ballooned since it was launched by e-commerce giant Alibaba Group Holding Ltd in 2009, and many retailers, including Alibaba rivals like JD.com Inc, stage sales promotions of their own.Last year, Alibaba reported a record $9.3 billion in sales on its platforms during the event. The thousands of vendors featured on Alibaba's Singles' Day shopping sites hope to boost sales and gain customers. But some retailers have said that hefty discounting can undercut the benefits of increased transactions, and watchdogs monitor the event for potential infractions.Alibaba was fined 800,000 yuan ($126,270) in April by the price bureau in eastern Zhejiang province for violations by third-party sellers during promotions on its e-commerce platforms, including Singles Day.  (Reporting by John Ruwitch; Editing by Kenneth Maxwell)",2015-11-04,NLSN,"Tue Nov 3, 2015 | 9:38pm EST",China consumers to spend more in November 11 'Singles Day' shopping spree: Nielsen,http://www.reuters.com//article/us-china-ecommerce-singles-day-idUSKCN0ST06220151104?type=companyNews
6,"  SHANGHAI Nov 4 Most online consumers in China will spend more during the Nov. 11 ""Singles' Day"" shopping promotion this year than they did last year, according to the results of a survey by consultancy Nielsen Holdings made available to Reuters on Wednesday.In a survey of more than 1,000 internet users in China this month, 56 percent said that they would spend more on Singles Day this year compared to 2014. A third said they were likely to spend about the same on the biggest single day for shopping in China, and 6 percent planned to spend less, Nielsen said.The survey, conducted from Oct. 16 to 21, found the average expected spend amongst all respondents in 2015 was 1,761 yuan ($277.76), Nielsen said, showing an increase of 321 yuan, or 22 percent, compared with 2014.This year's trend on a day also dubbed ""Double 11"" after its date will be watched closely for clues about private consumption as the world's second-biggest economy heads for its slowest growth in more than 20 years. Official data shows retail sales grew more than 10 percent in September from a year earlier, but other indicators, such as auto sales, have shown big drops. ""It's not a huge surprise that consumers are planning to spend more during this year's Double 11,"" Yan Xuan, President of Nielsen Greater China, said in a statement. ""Income levels and internet penetration continue to rise throughout China, so this is a natural progression.""The online sales event has ballooned since it was launched by e-commerce giant Alibaba Group Holding Ltd in 2009, and many retailers, including Alibaba rivals like JD.com Inc , stage sales promotions of their own. Last year, Alibaba reported a record $9.3 billion in sales on its platforms during the event.The thousands of vendors featured on Alibaba's Singles' Day shopping sites hope to boost sales and gain customers. But some retailers have said that hefty discounting can undercut the benefits of increased transactions, and watchdogs monitor the event for potential infractions. Alibaba was fined 800,000 yuan ($126,270) in April by the price bureau in eastern Zhejiang province for violations by third-party sellers during promotions on its e-commerce platforms, including Singles Day.($1 = 6.3400 yuan)(Reporting by John Ruwitch; Editing by Kenneth Maxwell)",2015-11-04,NLSN,"Tue Nov 3, 2015 | 9:07pm EST",China consumers to spend more in Nov 11 'Singles Day' shopping spree -Nielsen,http://www.reuters.com//article/china-ecommerce-singles-day-idUSL3N12Y2I720151104?type=companyNews
7,"  (Repeats to additional subscribers)By Jessica ToonkelMarch 23 Nielsen Holdings Plc is expanding its measurement of digital ad campaigns on mobile devices across the world and is adding seven new countries and Puerto Rico, the company is expected to announce on Wednesday.The U.S.-based advertising tracking company aims to have digital campaign measurement in 25 markets by the end of 2016, representing more than 80 percent of global digital advertising spending, Steve Hasker, chief operating officer at Nielsen, told Reuters in an interview on Tuesday.""For a brand manager interested in a global read of their campaigns, this data is exactly comparable to what we do in television,"" Hasker said, referring to Nielsen's television ratings, for which it is known in the United States. Nielsen is launching its digital ad ratings in Poland, Turkey, Hong Kong, Taiwan, South Africa, Puerto Rico, Ireland and New Zealand.Consumer goods companies looking to expand their reach have shown interest in metrics for South Africa, Poland and Turkey, in particular, Hasker said. Nielsen's global push of its digital ad ratings comes two months after its main competitor in the measurement of digital campaigns, Comscore Inc  acquired Rentrak Corp, which uses set top box data to track TV viewership.Many in the industry have wondered if the newly merged entity will be a threat to Nielsen, the dominant force in the industry. Until now, Comscore's ability to measure digital campaigns internationally has been an advantage, said Brian Wieser, a Pivotal Research analyst.""This is helpful for Nielsen in that sense,"" he said.(Reporting By Jessica Toonkel; Editing by Steve Orlofsky)",2016-03-23,NLSN,"Wed Mar 23, 2016 | 7:00am EDT",RPT-Nielsen expands digital ad ratings to eight new markets,http://www.reuters.com//article/nielsen-digitalads-idUSL2N16U1A7?type=companyNews
8,"   By Jessica Toonkel | March 23  March 23 Nielsen Holdings Plc is expanding its measurement of digital ad campaigns on mobile devices across the world and is adding seven new countries and Puerto Rico, the company is expected to announce on Wednesday.The U.S.-based advertising tracking company aims to have digital campaign measurement in 25 markets by the end of 2016, representing more than 80 percent of global digital advertising spending, Steve Hasker, chief operating officer at Nielsen, told Reuters in an interview on Tuesday.""For a brand manager interested in a global read of their campaigns, this data is exactly comparable to what we do in television,"" Hasker said, referring to Nielsen's television ratings, for which it is known in the United States. Nielsen is launching its digital ad ratings in Poland, Turkey, Hong Kong, Taiwan, South Africa, Puerto Rico, Ireland and New Zealand.Consumer goods companies looking to expand their reach have shown interest in metrics for South Africa, Poland and Turkey, in particular, Hasker said. Nielsen's global push of its digital ad ratings comes two months after its main competitor in the measurement of digital campaigns, Comscore Inc  acquired Rentrak Corp, which uses set top box data to track TV viewership.Many in the industry have wondered if the newly merged entity will be a threat to Nielsen, the dominant force in the industry. Until now, Comscore's ability to measure digital campaigns internationally has been an advantage, said Brian Wieser, a Pivotal Research analyst.""This is helpful for Nielsen in that sense,"" he said.(Reporting By Jessica Toonkel; Editing by Steve Orlofsky)",2016-03-23,NLSN,"Wed Mar 23, 2016 | 3:30am EDT",Nielsen expands digital ad ratings to eight new markets,http://www.reuters.com//article/nielsen-digitalads-idUSL2N16U12X?type=companyNews
9,"  U.S.-based advertising tracking company Nielsen Holdings Plc (NLSN.N) said it signed a multi-year agreement with Dish Network Corp (DISH.O) to use data from Dish households to improve its understanding of viewing habits.The deal, Nielsen's first with a pay-TV network, will also help advertisers and networks improve their marketing and programming decisions, Dish said.Nielsen, which is the dominant player in television ratings, considered the currency used to determine ad rates for commercials, said on Monday data provided by Dish would be used in its Local TV measurement service in 210 market areas. The deal comes after data analytics provider ComScore Inc (SCOR.O) signed a similar agreement with Dish on Friday. ComScore bought viewership rating company Rentrak Corp last year in a deal with an implied value of about $771 million.   (Reporting by Narottam Medhora in Bengaluru; Editing by Anupama Dwivedi)",2016-04-04,NLSN,"Mon Apr 4, 2016 | 9:39am EDT",Nielsen signs deal with Dish for viewing data,http://www.reuters.com//article/us-nielsen-holdings-dish-network-idUSKCN0X111V?type=companyNews
