,Article,Date,Symbol,Time,Title,Url
0,"  HOUSTON, March 11 NRG Energy Inc's said its retail electric U.S. customer base will grow by 30 percent with Tuesday's agreement to acquire the retail power business of Dominion Resources Inc for an undisclosed amount.Princeton, New Jersey-based NRG has about 2 million residential and commercial customers and will add more than 600,000 customer accounts served by Dominion and its Cirro Energy unit, a spokeswoman said.Dominion's retail customers are in Connecticut, Illinois, Maryland, Massachusetts, New Jersey, New York, Ohio and Pennsylvania.Cirro Energy, which was purchased in 2008 by Dominion Retail, serves residential and business customers in Texas.About 80 percent of Dominion's customer base is in the Northeast with the remainder in Texas, according to a spokeswoman. ""We are working to ensure that when the deal closes, the transition of Dominion customers to NRG is smooth and that it paves the way for our special brand of customized electricity plans,"" said Jim Steffes, president of NRG's Northeast retail business.In Texas, NRG will continue to operate Cirro Energy under the Cirro name, which joins NRG's Reliant Energy and Green Mountain units, said Elizabeth Killinger, president of NRG Retail Texas. Terms of the Dominion deal, expected to close by the end of March, were not disclosed.Also on Tuesday, a U.S. bankruptcy court approved Edison International's plan of reorganization for Edison Mission Energy, a merchant generating unit, with power plants across the country. Court approval will allow NRG to buy nearly 8,000 megawatts of coal, gas and wind generation from Edison Mission for $2.64 billion.",2014-03-11,NRG,"Tue Mar 11, 2014 | 6:50pm EDT",NRG Energy's U.S. customer base expands by 30 pct with Dominion deal,http://www.reuters.com//article/utilities-nrg-power-idUSL2N0M82A320140311?type=companyNews
1,"  April 11 The U.S. Nuclear Regulatory Commission's judicial arm ruled in favor of the group looking to build two new reactors at the South Texas nuclear power plant in Texas on the issue of foreign ownership, NRG Energy Inc  said on Friday.Nuclear Innovation North America (NINA), which is 90 percent owned by New Jersey-based NRG and 10 percent owned by Toshiba Corp of Japan, wants to build the new reactors.However, Toshiba has an option to acquire up to 90 percent ownership of NINA, which the NRC staff determined could give Toshiba an 85 percent ownership interest in the new reactors.NINA has been battling staff at the NRC over the issue of foreign ownership since soon after NRG said it would no longer invest additional capital in the project due to U.S. regulatory uncertainty in the wake of the Fukushima nuclear accident in Japan in March 2011. Foreign companies cannot control nuclear plants in the United States.""This ruling clears one of the last remaining items necessary for issuance of a combined license"" for the proposed new reactors, said Mark McBurnett, president and chief executive officer of NINA. Officials at the NRC were not immediately available to comment.The South Texas plant has two existing 1,280-megawatt reactors. In 2007, the South Texas owners applied with the NRC to add two Toshiba 1,350-MW Advanced Boiling Water Reactors at a cost of at least $17 billion. The two operating reactors are owned by NRG (44 percent), the City of San Antonio's CPS Energy utility (40 percent) and the City of Austin's Austin Energy (16 percent).The NRC has said it will not make any final reactor license decisions anywhere in the nation until at least late 2014 due to issues surrounding the long-term storage of spent nuclear fuel.(Reporting by Scott DiSavino in New York; Editing by Lisa Shumaker)",2014-04-11,NRG,"Fri Apr 11, 2014 | 6:25pm EDT",Group seeking to build South Texas nuclear reactors passes NRC test,http://www.reuters.com//article/utilities-nrg-southtexas-idUSL2N0N31VO20140411?type=companyNews
2,"   By Sneha Banerjee  NRG Yield Inc will buy the largest wind farm in North America for $870 million, helping parent NRG Energy Inc bulk up its clean energy portfolio and comply with strict air emission rules.NRG Yield shares rose 5 percent to a life high of $49.38 on the New York Stock Exchange on Wednesday morning.The purchase of California's Alta Wind Energy Center will add 947 megawatt (MW) of capacity — enough to power nearly 400,000 homes — to the companies' wind portfolio.""In a way this purchase dilutes the exposure that NRG Energy investors have to coal or fossil fuel generation,"" said Morningstar analyst Travis Miller.NRG Energy has 22 coal plants, 81 oil and gas plants, one nuclear plant and 46 other clean energy plants. Power utilities are looking to cope with tightening air emission regulations, the latest being the U.S. Environmental Protection Agency's plan to cut carbon emissions to 30 percent by 2030 from 2005 levels.NRG Energy said last December that it would close two coal-fired power plants in Maryland. The company formed NRG Yield to acquire and operate clean energy assets in December 2012.NRG Yield, which has a stable cash flow because of its long-term power-purchase agreements with utilities, will buy the wind farm from an affiliate of private-equity firms Global Infrastructure Partners and Arclight Capital Partners.  The acquisition assumes project financing cost of $1.6 billion, and is expected to close in the third quarter.Alta Wind, located in the Tehachapi Pass in California's Kern County, contracts long-term power purchase agreements with Edison International. The deal, including some land leases associated with the Alta Wind facility, is expected to add $220 million to NRG Yield's annual run-rate earnings before interest, taxes, depreciation and amortization, NRG Yield said on Wednesday.Bank of America Merrill Lynch acted as exclusive financial adviser to NRG Yield while Jones Day served as legal counsel.NRG Energy shares were up slightly at $36.17. (Additional reporting by Narottam Medhora and Ankush Sharma in Bangalore; Editing by Simon Jennings and Joyjeet Das)",2014-06-04,NRG,"Wed Jun 4, 2014 | 12:31pm EDT",NRG Yield to buy largest N America wind farm for $870 million,http://www.reuters.com//article/us-nrg-energy-renewables-idUSKBN0EF14M20140604?type=companyNews
3,"  * To assume project financing cost of $1.6 bln* Deal to add 947 MW operating wind capacity   (Adds analyst comment, background; updates share move)By Sneha BanerjeeJune 4 NRG Yield Inc will buy the largest wind farm in North America for $870 million, helping parent NRG Energy Inc bulk up its clean energy portfolio and comply with strict air emission rules.NRG Yield shares rose 5 percent to a life high of $49.38 on the New York Stock Exchange on Wednesday morning.The purchase of California's Alta Wind Energy Center will add 947 megawatt (MW) of capacity - enough to power nearly 400,000 homes - to the companies' wind portfolio. ""In a way this purchase dilutes the exposure that NRG Energy investors have to coal or fossil fuel generation,"" said Morningstar analyst Travis Miller.NRG Energy has 22 coal plants, 81 oil and gas plants, one nuclear plant and 46 other clean energy plants.Power utilities are looking to cope with tightening air emission regulations, the latest being the U.S. Environmental Protection Agency's plan to cut carbon emissions to 30 percent by 2030 from 2005 levels. NRG Energy said last December that it would close two coal-fired power plants in Maryland. The company formed NRG Yield to acquire and operate clean energy assets in December 2012.NRG Yield, which has a stable cash flow because of its long-term power-purchase agreements with utilities, will buy the wind farm from an affiliate of private-equity firms Global Infrastructure Partners and Arclight Capital Partners. The acquisition assumes project financing cost of $1.6 billion, and is expected to close in the third quarter.Alta Wind, located in the Tehachapi Pass in California's Kern County, contracts long-term power purchase agreements with Edison International.The deal, including some land leases associated with the Alta Wind facility, is expected to add $220 million to NRG Yield's annual run-rate earnings before interest, taxes, depreciation and amortization, NRG Yield said on Wednesday.Bank of America Merrill Lynch acted as exclusive financial adviser to NRG Yield while Jones Day served as legal counsel.NRG Energy shares were up slightly at $36.17.   (Additional reporting by Narottam Medhora and Ankush Sharma in Bangalore; Editing by Simon Jennings and Joyjeet Das)",2014-06-04,NRG,"Wed Jun 4, 2014 | 12:30pm EDT",UPDATE 3-NRG Yield to buy largest N America wind farm for $870 mln,http://www.reuters.com//article/nrg-energy-renewables-idUSL3N0OL2OQ20140604?type=companyNews
4,"   By Ryan Vlastelica | NEW YORK  NEW YORK U.S. stock index futures pointed to a lower open on Wednesday as data on the labor market came in weaker than expected, giving investors reason to sell amid few positive catalysts and with indexes near record levels.About 179,000 private sector jobs were added in May, well below the 210,000 that had been expected, according to the ADP National Employment Report. April's job gains were revised loser by 5,000. The report comes after a string of economic indicators pointed to improving conditions, and it could raise caution for Friday's closely watched non-farm payrolls report. Equities have been strong lately, with the S&P 500 up for seven of the past nine sessions, hitting multiple records over that period. However, the gains have come in anemic trading volume, suggesting the rally lacks conviction.Another potential trading catalyst will come at 10:00 a.m., when the Institute for Supply Management's May read on services will be released. Analysts expect it to rise by 0.3 to 55.5. S&P 500 futures fell 3.6 point and were below fair value, a formula that evaluates pricing by taking into account interest rates, dividends and time to expiration on the contract. Dow Jones industrial average futures fell 19 points and Nasdaq 100 futures lost 9 points.    Roughly 118,000 S&P 500 e-mini contracts traded as of 8:30 a.m., suggesting another light day of trading. On Tuesday, the SPDR S&P 500 ETF, typically one of the most heavily traded securities on a given day, had one of its most thinly traded sessions of 2014. Along with volume, volatility has been light, despite a 4.1 percent pop in the CBOE Volatility index over the past two sessions. The ""fear index"" remains below 12, well below the historical average of 20, which has some investors concerned the market has become complacent. Market action is expected to spike on Thursday, when the European Central Bank meets. Many investors expect bold action by the bank to fight low inflation and high unemployment.In company news, Protective Life jumped 18 percent to $69.30 in heavy premarket trading after Japan's Dai-ichi Life Insurance Co agreed to buy the company for $5.7 billion.Tibco Software Inc was the Nasdaq's most active premarket mover, slumping 13 percent to $18.16 a day after the company gave a second-quarter outlook that was sharply below expectations. The Wall Street Journal reported that NRG Energy Inc is close to a deal worth more than $800 million to buy Alta Wind Energy Center, the largest wind farm in North America.Fuel cell companies were weak in premarket trading, with FuelCell Energy down 14 percent to $2.04 and Plug Power Inc off 4.1 percent to $4.23. Both names were among the Nasdaq's most active before the bell.Financial information service provider Markit Ltd said it expected its initial public offering to be priced at $23-$25 per share, which could value the company at up to $4.47 billion. (Editing by Bernadette Baum)",2014-06-04,NRG,"Wed Jun 4, 2014 | 8:47am EDT",Futures point to lower open as data disappoints,http://www.reuters.com//article/us-markets-stocks-idUSKBN0EF0YY20140604?type=companyNews
5,"  * ADP report shows fewer jobs added in May than expected* Many investors worry about low volume and volatility* Protective Life jumps in premarket, Dai-ichi to buy* Futures down: Dow 19 pts, S&P 3.6 pt, Nasdaq 9 pts   (Adds ADP data)By Ryan VlastelicaNEW YORK, June 4 U.S. stock index futures pointed to a lower open on Wednesday as data on the labor market came in weaker than expected, giving investors reason to sell amid few positive catalysts and with indexes near record levels.* About 179,000 private sector jobs were added in May, well below the 210,000 that had been expected, according to the ADP National Employment Report. April's job gains were revised loser by 5,000. * The report comes after a string of economic indicators pointed to improving conditions, and it could raise caution for Friday's closely watched non-farm payrolls report.* Equities have been strong lately, with the S&P 500  up for seven of the past nine sessions, hitting multiple records over that period. However, the gains have come in anemic trading volume, suggesting the rally lacks conviction.* Another potential trading catalyst will come at 10:00 a.m. (1400 GMT), when the Institute for Supply Management's May read on services will be released. Analysts expect it to rise by 0.3 to 55.5. * S&P 500 futures fell 3.6 point and were below fair value, a formula that evaluates pricing by taking into account interest rates, dividends and time to expiration on the contract. Dow Jones industrial average futures fell 19 points and Nasdaq 100 futures lost 9 points.* Roughly 118,000 S&P 500 e-mini contracts traded as of 8:30 a.m., suggesting another light day of trading. On Tuesday, the SPDR S&P 500 ETF, typically one of the most heavily traded securities on a given day, had one of its most thinly traded sessions of 2014.* Along with volume, volatility has been light, despite a 4.1 percent pop in the CBOE Volatility index over the past two sessions. The ""fear index"" remains below 12, well below the historical average of 20, which has some investors concerned the market has become complacent. * Market action is expected to spike on Thursday, when the European Central Bank meets. Many investors expect bold action by the bank to fight low inflation and high unemployment.* In company news, Protective Life jumped 18 percent to $69.30 in heavy premarket trading after Japan's Dai-ichi Life Insurance Co agreed to buy the company for $5.7 billion.* Tibco Software Inc was the Nasdaq's most active premarket mover, slumping 13 percent to $18.16 a day after the company gave a second-quarter outlook that was sharply below expectations.* The Wall Street Journal reported that NRG Energy Inc  is close to a deal worth more than $800 million to buy Alta Wind Energy Center, the largest wind farm in North America.* Fuel cell companies were weak in premarket trading, with FuelCell Energy down 14 percent to $2.04 and Plug Power Inc off 4.1 percent to $4.23. Both names were among the Nasdaq's most active before the bell.* Financial information service provider Markit Ltd IPO-MRKT.O said it expected its initial public offering to be priced at $23-$25 per share, which could value the company at up to $4.47 billion.    (Editing by Bernadette Baum)",2014-06-04,NRG,"Wed Jun 4, 2014 | 8:42am EDT",US STOCKS-Futures point to lower open as data disappoints,http://www.reuters.com//article/markets-usa-stocks-idUSL1N0OL0N820140604?type=companyNews
6,"  * ADP and ISM non-manufacturing data on tap* Many investors worry about low volume and volatility* Protective Life jumps in premarket, Dai-ichi to buy* Dow up 4 pts, S&P down 1.9 pt, Nasdaq down 4.75 ptsBy Ryan VlastelicaNEW YORK, June 4 U.S. stock index futures mostly edged lower on Wednesday as investors refrained from making large bets, with indexes near record levels, ahead of data on the labor market and services sector. * Equities have been strong lately, with the S&P 500  up for seven of the past nine sessions, hitting multiple records over that period. However, the gains have come in anemic trading volume, suggesting the rally lacks conviction.* Trading catalysts could come with the 8:15 a.m. (1215 GMT) release of ADP's May data on private sector employment, which is expected to show 210,000 jobs added last month, fewer than in April. After the market opens, the Institute for Supply Management's May read on services will be released; analysts expect it to rise by 0.3 to 55.5.* Recent data has pointed to economic improvements, raising hopes for the May jobs report, which will be released on Friday. Analysts expect 218,000 jobs to have been added in May. * S&P 500 futures fell 1.9 point and were below fair value, a formula that evaluates pricing by taking into account interest rates, dividends and time to expiration on the contract. Dow Jones industrial average futures rose 4 points and Nasdaq 100 futures lost 4.75 points.* Roughly 84,500 S&P 500 e-mini contracts traded as of 7:00 a.m., suggesting another light day of trading. On Tuesday, the SPDR S&P 500 ETF, typically one of the most heavily traded securities on a given day, had one of its most thinly traded sessions of 2014. * Along with volume, volatility has been light, despite a 4.1 percent pop in the CBOE Volatility index over the past two sessions. The ""fear index"" remains below 12, well below the historical average of 20, which has some investors concerned the market has become complacent.* Market action is expected to spike on Thursday, when the European Central Bank meets. Many investors expect bold action by the bank to fight low inflation and high unemployment.* In company news, Protective Life jumped 18 percent to $69.55 in heavy premarket trading after Japan's Dai-ichi Life Insurance Co agreed to buy the company for $5.7 billion.* The Wall Street Journal reported that NRG Energy Inc  is close to a deal worth more than $800 million to buy Alta Wind Energy Center, the largest wind farm in North America.* Financial information service provider Markit Ltd IPO-MRKT.O said it expected its initial public offering to be priced at $23-$25 per share, which could value the company at up to $4.47 billion.    (Editing by Bernadette Baum)",2014-06-04,NRG,"Wed Jun 4, 2014 | 7:22am EDT","US STOCKS-Futures dip ahead of data, indexes near records",http://www.reuters.com//article/markets-usa-stocks-idUSL1N0OL0GI20140604?type=companyNews
7,"  (Adds NRG Energy)June 4 The following corporate finance-related stories were reported by media:* American Securities LLC is in advanced talks to acquire specialty chemicals company Emerald Performance Materials LLC from private equity peer Sun Capital Partners Inc for more than $1 billion, people familiar with the matter said on Tuesday.* Hutchison Whampoa has resumed talks with Russian telecoms group Vimpelcom over merging their Italian mobile firms, encouraged by Hutchison's 3 getting the go-ahead last week for an acquisition in Ireland, according to several people familiar with the situation. * NRG Energy Inc is close to a deal worth more than $800 million to buy Alta Wind Energy Center, the largest wind farm in North America, the Wall Street Journal reported citing people familiar with the matter. * Britain's Tragus Group, which runs the Cafe Rouge and Strada chains, will shed more than 260 million pounds ($435.21 million) of debt and offload up to 40 restaurants in a sweeping restructuring by its new private equity owner, the Times reported, without citing sources. * Volkswagen will likely issue new preference shares at 191 euros ($260) each in a transaction aimed at raising 2 billion euros ($2.72 billion), a person familiar with the matter said.For the deals of the day click onFor the Morning News Call-EMEA newsletter click on   ($1 = 0.5974 British Pounds) ($1 = 0.7342 Euros)   (Compiled by Aastha Agnihotri in Bangalore)",2014-06-04,NRG,"Wed Jun 4, 2014 | 1:49am EDT",UPDATE 1-Market Chatter-Corporate finance press digest,http://www.reuters.com//article/market-chatter-idUSL3N0OL10I20140604?type=companyNews
8,"  June 4 NRG Energy Inc is close to a deal worth more than $800 million to buy Alta Wind Energy Center, the largest wind farm in North America, the Wall Street Journal reported citing people familiar with the matter.The deal could be announced as soon as Wednesday, the paper reported citing the people. (r.reuters.com/dyz79v)Tehachapi, California-based Alta Wind is owned by Terra-Gen Power, an affiliate of private-equity firms Global Infrastructure Partners and Arclight Capital Partners. In December 2013, NRG Energy announced its intention to close down two of its coal-fired power plants in Maryland due to tightening air emission regulations. On Tuesday, the Environmental Protection Agency unveiled new regulations that require the U.S. power sector to cut carbon dioxide emissions by 30 percent by 2030. The regulation could transform the sector that relies on coal for nearly 38 percent of electricity generation. NRG Energy and Terra-Gen Power could not be immediately reached for comment outside regular U.S. business hours.   (Reporting By Narottam Medhora and Ankush Sharma in Bangalore; Editing by Gopakumar Warrier)",2014-06-04,NRG,"Wed Jun 4, 2014 | 12:06am EDT",NRG Energy close to buying north America's largest wind farm-WSJ,http://www.reuters.com//article/nrg-energy-renewables-idUSL3N0OL0FT20140604?type=companyNews
9,"  (Adds details of approval)June 12 The New York Public Service Commission approved on Thursday NRG Energy Inc's plan to refuel the 435-megawatt Dunkirk coal-fired power plant in New York with natural gas, the state utility regulator said.The PSC said the project is expected to reduce emissions, ""improve the reliability of the electric system and provide economic benefits to Western New York.""Under the $140 million agreement between NRG and a U.S. unit of UK power company National Grid Plc, the repowered facility will operate for 10 years. It is expected to enter service in the autumn of 2015. The PSC said it will allow National Grid to recover the costs of its agreement with Dunkirk.NRG will refuel three coal units at Dunkirk to generate up to 435 MW. At present, only one 75-MW unit is operating on coal, the PSC said. One megawatt can power about 1,000 homes in New York.The PSC said in a news release that Dunkirk, once repowered,  will still be able to burn coal as a backup fuel in case gas is in short supply, which sometimes happens on the coldest winter days when utilities use most of the gas supplies to heat homes and businesses. NRG said in early 2012 it wanted to mothball Dunkirk, which is more than 50 years old, because it was no longer economical to operate.National Grid, however, said idling the plant would result in significant harm to transmission system reliability in western New York.The PSC said the refueling plan will create about 50 construction jobs, preserve permanent jobs at the site, and restore tax payments to the Dunkirk community to their previous level of about $8 million annually.   (Reporting by Scott DiSavino in New York; editing by Franklin Paul and Matthew Lewis)",2014-06-12,NRG,"Thu Jun 12, 2014 | 1:14pm EDT",UPDATE 1-NY approves NRG plan to refuel Dunkirk coal plant with natgas,http://www.reuters.com//article/utilities-nrg-energy-dunkirk-coal-idUSL2N0OT15N20140612?type=companyNews
