,Article,Date,Symbol,Time,Title,Url
0,"  * IBM shares fall on weak revenue, pressuring Dow* Transport index hit new high, Norfolk rallies* BlackBerry rallies for third straight day* Netflix and eBay rally after market close* Indexes: Dow off 0.3, S&P up 0.1 pct, Nasdaq up 0.4 pctBy Ryan VlastelicaNEW YORK, Jan 22 The S&P 500 closed flat on Wednesday as a mixed bag of corporate earnings failed to give investors the confidence to push equities higher with the index near record levels.For the second day in a row, the Dow posted outsized losses following weak results from one of its components while the Nasdaq climbed, with BlackBerry one of its biggest boosts.International Business Machines Corp lost 3.3 percent to $182.25, the biggest drag on the Dow after the tech giant missed revenue expectations for a fourth straight quarter amid weakening demand, particularly in growth markets like China. The results followed disappointments from Verizon, Travelers and Johnson & Johnson, which weighed on the blue-chip index on Tuesday.IBM's decline offset modest gains from fellow component United Technologies Corp, which rose 1 percent to $116.12 after it reported fourth-quarter earnings that topped Wall Street estimates, although revenue was shy of expectations.""We've seen significant decreases in a company's ability to deliver on earnings this quarter ... however, we've also seen signs that the top-line growth we've been looking for is starting to emerge,"" said Kristina Hooper, head of portfolio strategies at Allianz Global Investors in New York.""Seeing a broad-based top-line growth trend would really speak to the health of the economy ... that's allowed for the market to hang in there despite some disappointments."" With 16 percent of the S&P 500 having reported, about 61 percent have topped profit expectations, according to Thomson Reuters data, compared with the average of 67 percent over the past four quarters. More than 66 percent have topped revenue expectations, above the 55 percent average over that timeframe.About eight companies have issued negative outlooks for every positive one, which would mark the lowest ratio on record should it continue.After the market closed on Wednesday, Netflix Inc  reported a rise in fourth-quarter earnings, helped by subscriber growth. Shares surged 17 percent in after-hours trading.Online auction site eBay Inc surged 11 percent to $60.44 after the bell following its results. The Dow Jones industrial average was down 41.10 points, or 0.25 percent, at 16,373.34. The Standard & Poor's 500 Index was up 1.06 points, or 0.06 percent, at 1,844.86. The Nasdaq Composite Index was up 17.24 points, or 0.41 percent, at 4,243.00.After a 29.6 percent jump in 2013, buoyed by the Federal Reserve's massive stimulus, the S&P 500 is down 0.2 percent this year as investors look to corporate profits to justify current prices. The index is 0.2 percent away from its all-time closing high.""In general, valuations are stretched, though there are still areas of opportunity for investors who are able to be more selective,"" said Hooper, who helps oversee $436 billion in assets under management. ""Focusing on areas with more growth may be worth paying up for.""Also in earnings, Advanced Micro Devices Inc slumped 12 percent to $3.67 after forecasting a steeper-than-expected fall in current quarter revenue, while Coach Inc tumbled 6 percent to $49.38 as the S&P's worst performer after it said sales in North America fell further in the final quarter of 2013.On the upside, Norfolk Southern Corp jumped 4.8 percent to $92.94 after its earnings beat expectations, helping lift the Dow Jones Transportation average to a record high.Nuance Communications rose 7.8 percent to $16.05 after giving a first-quarter outlook, helping to boost the Nasdaq. U.S.-listed shares of BlackBerry also buoyed the tech-heavy index, jumping 8.6 percent to $10.78. Shares of the smartphone maker are up about 26 percent over the past three sessions.About 62 percent of companies traded on the New York Stock Exchange closed higher while 55 percent of Nasdaq-listed shares ended in positive territory. About 6.23 billion shares traded on all U.S. platforms, according to BATS exchange data.",2014-01-22,NSC,"Wed Jan 22, 2014 | 4:35pm EST",US STOCKS-Wall St flat on earnings; IBM pressures Dow,http://www.reuters.com//article/markets-usa-stocks-idUSL2N0KW1T220140122?type=companyNews
1,"  * IBM shares fall on weak revenue, pressuring Dow* Transport index hit new high, Norfolk rallies* BlackBerry rallies for third straight day* Indexes: Dow off 0.2, S&P flat, Nasdaq up 0.4 pctBy Ryan VlastelicaNEW YORK, Jan 22 U.S. stocks were little changed on Wednesday, as a mixed bag of recent corporate earnings failed to give investors confidence to push equities higher, with the S&P 500 near record levels.While the Nasdaq advanced, the Dow fell for a second straight day, again pressured by weak results from one of its components.International Business Machines Corp lost 3.5 percent to $181.88, the biggest drag on both the Dow and S&P 500, after the tech giant missed revenue expectations for a fourth straight quarter amid weakening demand, particularly in growth markets like China. The results followed similar disappointments from Verizon , Travelers and Johnson & Johnson, which weighed on the Dow on Tuesday.IBM's decline offset modest gains from fellow component United Technologies Corp, which rose 0.6 percent to $115.68 after it reported fourth-quarter earnings that topped Wall Street estimates, although revenue fell shy of expectations.""We've seen significant decreases in a company's ability to deliver on earnings this quarter... however, we've also seen signs that the top-line growth we've been looking for is starting to emerge,"" said Kristina Hooper, head of portfolio strategies at Allianz Global Investors in New York. ""Seeing a broad-based top-line growth trend would really speak to the health of the economy... that's allowed for the market to hang in there despite some disappointments.""With 16 percent of the S&P 500 having reported, about 61 percent have topped profit expectations, according to Thomson Reuters data, compared with the long-term average of 63 percent. More than 66 percent have topped revenue expectations, over the 55 percent average over the past four quarters.About eight companies have issued negative outlooks for every positive one, which would mark the lowest ratio on record should it continue.The Dow Jones industrial average was down 40.04 points, or 0.24 percent, at 16,374.40. The Standard & Poor's 500 Index was up 0.47 points, or 0.03 percent, at 1,844.27. The Nasdaq Composite Index was up 15.31 points, or 0.36 percent, at 4,241.07. After a 29.6 percent jump in the S&P 500 in 2013, buoyed by the Federal Reserve's massive stimulus, the S&P has shaved off a mere 0.2 percent so far in 2014 as investors look to corporate profits for evidence of growth as the Federal Reserve winds down its market-friendly bond purchases.""In general valuations are stretched, though there are still areas of opportunity for investors who are able to be more selective,"" aid Hooper, who helps oversee $436 billion in assets under management. ""Focusing on areas with more growth may be worth paying up for.""Also in earnings, Advanced Micro Devices Inc slumped 10.8 percent to $3.72 after forecasting a steeper-than-expected fall in current quarter revenue, while Coach Inc tumbled 6 percent to $49.38 as the S&P's worst performer after it said sales in North America fell further in the final quarter of 2013.On the upside, Norfolk Southern Corp jumped 4.7 percent to $94.39 after its earnings beat expectations, helping lift the Dow Jones Transportation average to a record high.Nuance Communications rose 8.4 percent to $16.15 after giving a first-quarter outlook, helping to boost the Nasdaq. U.S.-listed shares of BlackBerry also buoyed the tech-heavy index, jumping 5.5 percent to $10.47. Shares of the smartphone maker are up more than 22 percent over the past three sessions.Cloud software maker VMWare Inc said it would buy privately-held mobile security company AirWatch, in a deal valued at about $1.54 billion, to tap into rising demand for software security, sending its shares up 2.1 percent to $99.37.",2014-01-22,NSC,"Wed Jan 22, 2014 | 2:35pm EST","US STOCKS-Wall St flat on earnings, IBM pressures Dow",http://www.reuters.com//article/markets-usa-stocks-idUSL2N0KW1H520140122?type=companyNews
2,"  (Adds market reaction, comments, CSX details and updates share movement)Jan 22 Norfolk Southern Corp on Wednesday reported a 24 percent increase in fourth-quarter earnings, beating Wall Street's  expectations, as strong chemicals, construction materials and auto shipments more than offset a dip in coal volumes.Shares of the railroad company rose as much as 7 percent in  morning trading in New York.The railroad, which said it is planning to increase investments in its business  by 12 percent this year, said shipments of crude and higher automotive production helped boost traffic volume by 8 percent in the quarter. Revenue from coal fell 2 percent.Norfolk Southern said it worked on reigning in costs throughout the year. In the quarter, its operating ratio, or operating expenses as a percentage of revenue, was 69.4 percent, a 5 percent improvement over the same quarter in 2012, the company said. The ratio is considered an important measure of a railroad's health.For the year, the ratio improved 1 percent to 71.0 percent. At rival CSX Corp, by comparison, the ratio increased slightly to 71.1 percent. ""That tells me that Norfolk Southern basically took the same operating environment and did a better job of reining in expenses,"" said Houston-based individual investor Ray Merola.Merola said the market reaction to Norfolk Southern's results was more a result of the better operating ratio than revenue and profit gains, because an improvement in costs is an indication of a well run company. For the fourth quarter, Norfolk Southern earned $513 million or $1.64 a share, up from the $413 million, or $1.30 a share, in the year-earlier quarter.Revenue totaled $2.9 billion, an increase of 7 percent.Analysts, on average, expected earnings of $1.50 a share  on revenue of $2.85 billion, according to Thomson Reuters I/B/E/S. Norfolk Southern operates 20,000 route miles in 22 states and the District of Columbia.Weak coal shipment volumes have been a problem for Norfolk Southern and CSX, as the shift to natural gas has caused utility coal stockpiles to surge as demand for coal from power producers declined. Both railroads have been looking at rising demand for shipments of chemicals, autos and agricultural products to make up for the weakness in coal.Earlier in the month, CSX posted a  fourth-quarter profit that fell short of Wall Street's estimates. CSX is also more exposed to coal than is Norfolk Southern. Coal shipments make up 25 percent of CSX's overall shipments. At Norfolk Southern, they account for around 20 percent.Shares of the company were up 5 percent at $93.15 on Wednesday at mid-day.   (Reporting by Nivedita Bhattacharjee in Chicago; Editing by Stephen Powell)",2014-01-22,NSC,"Wed Jan 22, 2014 | 1:03pm EST",UPDATE 2--Norfolk Southern profit rises sharply on strong shipment volumes,http://www.reuters.com//article/norfolksouthern-results-idUSL2N0KW0KD20140122?type=companyNews
3,"  Jan 22 Norfolk Southern Corp posted a higher quarterly income as demand for shipments like chemicals, construction materials and automobiles more than offset a dip in coal volumes.For the fourth quarter, the company earned $513 million, or  $1.64 a share, up from the $413 million, or $1.30 a share it earned last year. Revenue came in at $2.9 billion.  Shares of the company, which operates in the eastern parts of the United States, closed at $88.71 Tuesday on the New York Stock Exchange.",2014-01-22,NSC,"Wed Jan 22, 2014 | 8:14am EST",Norfolk Southern profit jumps on strong shipment volumes,http://www.reuters.com//article/norfolksouthern-results-idUSL3N0KV4TC20140122?type=companyNews
4,"   By Robert Gibbons and Elizabeth Dilts | NEW YORK  NEW YORK A 120-car Norfolk Southern Corp train carrying heavy Canadian crude oil derailed and spilled in western Pennsylvania on Thursday, adding to a string of recent accidents that have prompted calls for stronger safety standards.There were no reports of injury or fire after 21 tank cars came off the track and crashed into a nearby industrial building at a bend by the Kiskiminetas River in the town of Vandergrift.Nineteen of the derailed cars were carrying oil, four of which spilled between 3,000 and 4,000 gallons of oil, Norfolk Southern said. The leaks have since been plugged. The two other derailed tank cars held liquefied petroleum gas.The train, which originated in Chicago, was destined for an asphalt plant in Paulsboro, New Jersey, owned by NuStar, a NuStar spokeswoman said.The clean-up was under way on Thursday as a heavy winter storm gathered pace, leaving about 4 inches of snow on the ground by midday Thursday. An investigator from the Federal Railroad Administration was en route to the scene, the railroad regulator said.""I heard a strange noise, a hollow, screeching sound,"" said Ray Cochran, who watched the train derail from his home on a hill above the tracks. ""I looked out the window and saw three or four tankers turn over and one of them ran into the building."" The train, which was also carrying food products, crashed into a track-side building owned by MSI Corporation that makes metal products.All employees had been accounted for, said Sandy Smythe, a public information officer with Westmoreland County's public safety department, which includes Vandergrift borough.MSI declined to comment. Thursday's accident is the latest in a spate of crude oil train derailments that has prompted calls for more stringent rules regulating crude by rail, shipments of which have soared in recent years as pipelines fail to keep up with growing supply.It comes ahead of a Senate hearing concerning the safety of transporting crude by rail, which has become a major political issue as the incidents pile up. The hearing was scheduled for Thursday, but was delayed by the snow.Thursday's accident was the second in less than a month in Pennsylvania. A train hauling crude on a CSX Corp railroad jumped the tracks and nearly toppled over a bridge in Philadelphia on January 20. There were no injuries or fire in that incident. A train carrying Bakken oil from North Dakota last July derailed and exploded in Lac-Megantic, Quebec, killing 47 people and decimating much of the small town.U.S. and Canadian railroad companies, tank car owners and regulators are investigating ways to transport crude on the rails more safely. Much of the focus is on phasing out older tank cars, known as DOT-111s, that do not meet the latest safety standards.DOT-111s built before 2011 are prone to puncture and fire during accidents, regulators say.It is as yet unclear what type of cars were involved in Thursday's accident.(Additional reporting by Sabina Zawadzki, Scott DiSavino and Cezary Podkul in New York and Ayesha Rascoe in Washington; Writing by Edward McAllister; Editing by Lisa Von Ahn, Marguerita Choy and Jan Paschal)",2014-02-13,NSC,"Thu Feb 13, 2014 | 3:17pm EST","Train carrying Canadian oil derails, leaks in Pennsylvania",http://www.reuters.com//article/us-energy-crude-derailment-idUSBREA1C13120140213?type=companyNews
5,"  By Robert Gibbons and Elizabeth DiltsNEW YORK Feb 13 A 120-car Norfolk Southern Corp  train carrying heavy Canadian crude oil derailed and spilled in western Pennsylvania on Thursday, adding to a string of recent accidents that have prompted calls for stronger safety standards.There were no reports of injury or fire after 21 tank cars came off the track and crashed into a nearby industrial building at a bend by the Kiskiminetas River in the town of Vandergrift.Nineteen of the derailed cars were carrying oil, four of which spilled between 3,000 and 4,000 gallons of oil, Norfolk Southern said. The leaks have since been plugged. The two other derailed tank cars held liquefied petroleum gas.The train, which originated in Chicago, was destined for an asphalt plant in Paulsboro, New Jersey, owned by NuStar, a NuStar spokeswoman said.The clean-up was under way on Thursday as a heavy winter storm gathered pace, leaving about 4 inches (10 cm) of snow on the ground by midday Thursday. An investigator from the Federal Railroad Administration was en route to the scene, the railroad regulator said. ""I heard a strange noise, a hollow, screeching sound,"" said Ray Cochran, who watched the train derail from his home on a hill above the tracks. ""I looked out the window and saw three or four tankers turn over and one of them ran into the building.""The train, which was also carrying food products, crashed into a track-side building owned by MSI Corporation that makes metal products.All employees had been accounted for, said Sandy Smythe, a public information officer with Westmoreland County's public safety department, which includes Vandergrift borough. MSI declined to comment.Thursday's accident is the latest in a spate of crude oil train derailments that has prompted calls for more stringent rules regulating crude by rail, shipments of which have soared in recent years as pipelines fail to keep up with growing supply.It comes ahead of a Senate hearing concerning the safety of transporting crude by rail, which has become a major political issue as the incidents pile up. The hearing was scheduled for Thursday, but was delayed by the snow. Thursday's accident was the second in less than a month in Pennsylvania. A train hauling crude on a CSX Corp  railroad jumped the tracks and nearly toppled over a bridge in Philadelphia on Jan. 20. There were no injuries or fire in that incident.A train carrying Bakken oil from North Dakota last July derailed and exploded in Lac-Megantic, Quebec, killing 47 people and decimating much of the small town.U.S. and Canadian railroad companies, tank car owners and regulators are investigating ways to transport crude on the rails more safely. Much of the focus is on phasing out older tank cars, known as DOT-111s, that do not meet the latest safety standards.DOT-111s built before 2011 are prone to puncture and fire during accidents, regulators say.It is as yet unclear what type of cars were involved in Thursday's accident.",2014-02-13,NSC,"Thu Feb 13, 2014 | 3:17pm EST","UPDATE 4-Train carrying Canadian oil derails, leaks in Pennsylvania",http://www.reuters.com//article/energy-crude-derailment-idUSL2N0LI14J20140213?type=companyNews
6,"  Three tanks cars from a derailed train that had been carrying crude oil through Pennsylvania had leaked oil but the spillage from two of the cars has been stopped, train operator Norfolk Southern Corp said on Thursday.It said 21 cars derailed of which 19 carried heavy crude oil and two carried liquefied petroleum gas. ""During the derailment some of the rail cars struck a building which fabricates metal products. There were no injuries. There was no fire or explosion. There is no fire,"" a statement from the company said.  (Reporting by Sabina Zawadzki; Editing by Jeffrey Benkoe)",2014-02-13,NSC,"Thu Feb 13, 2014 | 12:28pm EST",Derailed cars spilled oil; some leaks stopped: Norfolk Southern,http://www.reuters.com//article/us-energy-crude-derailment-leak-idUSBREA1C1HA20140213?type=companyNews
7,"  Feb 13 Three tanks cars from a derailed train that had been carrying crude oil through Pennsylvania had leaked oil but the spillage from two of the cars has been stopped, train operator Norfolk Southern Corp said on Thursday.It said 21 cars derailed of which 19 carried heavy crude oil and two carried liquefied petroleum gas.  ""During the derailment some of the rail cars struck a building which fabricates metal products. There were no injuries. There was no fire or explosion. There is no fire,"" a statement from the company said.   (Reporting by Sabina Zawadzki; Editing by Jeffrey Benkoe) ",2014-02-13,NSC,"Thu Feb 13, 2014 | 12:23pm EST",U.S. derailed cars spilled oil; some leaks stopped-Norfolk Southern,http://www.reuters.com//article/energy-crude-derailment-leak-idUSL2N0LI1E020140213?type=companyNews
8,"  WASHINGTON Feb 13 A federal investigator was headed to the scene of the derailment of a Norfolk Southern Corp  train carrying crude oil in western Pennsylvania, the Federal Railroad Administration said on Thursday. ""Once on the scene, the Federal Railroad Administration will conduct a thorough investigation  to identify the root cause of the accident,"" said agency spokesman Kevin Thompson.  ",2014-02-13,NSC,"Thu Feb 13, 2014 | 10:56am EST",U.S. investigator headed to site of Pa. crude oil train accident,http://www.reuters.com//article/energy-crude-derailment-investigation-idUSL2N0LI15120140213?type=companyNews
9,"  (Corrects attribution in third paragraph to local official, not Norfolk Southern)By Robert Gibbons and Sabina ZawadzkiNEW YORK Feb 13 A Norfolk Southern Corp  train carrying crude oil derailed in Vandergrift in western Pennsylvania on Thursday, the company confirmed.There were as yet no reports of injuries or fire at the scene, after twenty-one tank cars came off the track near an industrial park, according to a local borough official. The train, that was heading from Pittsburgh to Philadelphia, was mainly carrying crude oil but included one car containing propane gas, the local official said. The train crashed into one building in the industrial complex near the Kiskiminetas River, he said.This is the latest in a string of crude oil train derailments, some fatal, that has prompted calls for more stringent rules regulating the shipment of crude by rail that has soared in recent years. In the most serious incident, a train carrying Bakken oil from North Dakota derailed and exploded in Lac-Megantic, Quebec, killing 47 people and decimating much of the small town.Norfolk Southern Corp's subsidiary Norfolk Southern Railway Co operates approximately 20,000 miles of railroad in 22 states and the District of Columbia, according to the company's website.   (Additional reporting by Elizabeth Dilts and Scott DiSavino in New York; Editing by Lisa Von Ahn and Edward McAllister)",2014-02-13,NSC,"Thu Feb 13, 2014 | 10:14am EST",CORRECTED-UPDATE 1-Norfolk Southern train carrying crude oil derails in Pennsylvania,http://www.reuters.com//article/energy-crude-derailment-idUSL2N0LI0ZE20140213?type=companyNews
