,Article,Date,Symbol,Time,Title,Url
0,  NEW YORK Feb 12 NetApp Inc :  * Shares down 3.7 percent after the bell following results   ,2014-02-12,NTAP,"Wed Feb 12, 2014 | 4:06pm EST",BRIEF-NetApp shares down 3.7 percent after the bell following results,http://www.reuters.com//article/netapp-brief-idUSWEN00CJ720140212?type=companyNews
1,"  (Corrects paragraph 3 to remove extraneous word)* 4th-qtr adj profit/shr $0.84 vs est $0.79* Revenue $1.65 bln vs est $1.67 bln* Sees 1st-qtr adj profit/shr $0.53-$0.58 vs est $0.62* Sees revenue $1.42-$1.52 bln vs est $1.52 blnBy Soham Chatterjee and Sampad PatnaikMay 21 NetApp Inc forecast a current-quarter profit below market estimates after reporting a 4 percent fall in quarterly revenue, hurt by lower sales of data storage products.NetApp said it expects an adjusted profit of 53-58 cents per share on revenue of $1.42-$1.52 billion for the first quarter. Analysts on average were expecting a profit of 62 cents per share on revenue of $1.52 billion, according to Thomson Reuters I/B/E/S.""Revenue was a bit short as our OEM business was a bit weaker and that's reflected in both this quarter's results and our guidance for the next quarter,"" Chief Executive Tom Georgens told Reuters.IBM Corp, NetApp's largest OEM (original equipment manufacturer) customer, reported its lowest quarterly revenue in five years as hardware revenue fell 23 percent.NetApp, which competes with market leader EMC Corp, has been losing market share to newer storage technology vendors such as Nimble Storage Inc and Pure Storage. Some of its enterprise customers have held back spending on hardware to evaluate newer flash and web-based storage and software that can store data on commodity hardware.""(The company) is getting attacked... by all these new emerging companies. NetApp has been late with all flash arrays and does not have a product that is all flash,"" Wunderlich Securities analyst Kaushik Roy told Reuters.While EMC is buying companies, NetApp has not been very acquisitive and is therefore falling behind, Roy said. NetApp's revenue fell to $1.65 billion for the fourth quarter ended April 25.Revenue at the company's OEM business, which accounts for 7 percent of total revenue, fell 30 percent. Product revenue fell 8 percent to $1.04 billion.Net income rose to $197 million, or 59 cents per share, from $173.8 million, or 47 cents per share, a year earlier.Excluding restructuring and other expenses, the company earned 84 cents per share.NetApp said in March it expects to cut about 600 jobs worldwide to save costs.Analysts expected NetApp to earn 79 cents per share on revenue of $1.67 billion.NetApp's shares fell 2 percent in premarket trading. The stock, which has lost 16 percent of its value in the year so far, closed at $34.49 on Wednesday on the Nasdaq.   (Editing by Joyjeet Das)",2014-05-21,NTAP,"Wed May 21, 2014 | 5:34pm EDT","REFILE-UPDATE 2-NetApp forecasts profit below Street, posts lower revenue",http://www.reuters.com//article/netapp-results-idUSL3N0O74IO20140521?type=companyNews
2,"  May 21 NetApp Inc's quarterly revenue fell 4 percent, hurt by lower sales of data storage products.Net income rose to $197 million, or 59 cents per share, for the fourth quarter ended April 25 from $173.8 million, or 47 cents per share, a year earlier.  Revenue fell to $1.65 billion. Product revenue fell 8 percent to $1.04 billion.   (Reporting by Soham Chatterjee; Editing by Joyjeet Das) ",2014-05-21,NTAP,"Wed May 21, 2014 | 4:08pm EDT",NetApp revenue falls 4 pct,http://www.reuters.com//article/netapp-results-idUSL3N0O74I520140521?type=companyNews
3,"  U.S. data storage specialist NetApp could return to $50 a share in the coming year on solid cash flows and signs its revenues might grow again, Barron's said in its latest edition published on Sunday.Its cash flow after subtracting it on its balance sheet is equivalent to 14 percent of its stock market value. That is above the free cash yield of Apple and Microsoft, both at 9 percent, the financial weekly said.As for improved demand for NetApp's products, part of it could come from FlashRay, a new flash-based storage system set to launch in late 2014, the paper said.NetApp has also overhauled its Data Ontap operating system which protects and manages data at both its customers' data centers and cloud vendors such as Amazon, it said. NetApp along with market leader EMC Corp, has been losing business to newer storage technology vendors including Nimble Storage Inc and Pure Storage. ""But profits remain rich, and there's reason to believe NetApp will soon return to revenue growth,"" the paper said.  With its solid cash flows, the Sunnyvale, California company could acquire other companies or become a target itself, Barron's said. NetApp stock closed at $35.48 on Friday, compared with more than $50 three years earlier.      (Reporting by Richard Leong; Editing by Frances Kerry)",2014-06-29,NTAP,"Sun Jun 29, 2014 | 1:27pm EDT",NetApp shares may climb to $50: Barron's,http://www.reuters.com//article/us-tech-netapp-idUSKBN0F40RT20140629?type=companyNews
4,"  June 29 U.S. data storage specialist NetApp  could return to $50 a share in the coming year on solid cash flows and signs its revenues might grow again, Barron's said in its latest edition published on Sunday.Its cash flow after subtracting it on its balance sheet is equivalent to 14 percent of its stock market value. That is above the free cash yield of Apple and Microsoft , both at 9 percent, the financial weekly said.As for improved demand for NetApp's products, part of it could come from FlashRay, a new flash-based storage system set to launch in late 2014, the paper said. NetApp has also overhauled its Data Ontap operating system which protects and manages data at both its customers' data centers and cloud vendors such as Amazon, it said.NetApp along with market leader EMC Corp, has been losing business to newer storage technology vendors including Nimble Storage Inc and Pure Storage. ""But profits remain rich, and there's reason to believe NetApp will soon return to revenue growth,"" the paper said. With its solid cash flows, the Sunnyvale, California company could acquire other companies or become a target itself, Barron's said.NetApp stock closed at $35.48 on Friday, compared with more than $50 three years earlier.        (Reporting by Richard Leong; Editing by Frances Kerry)",2014-06-29,NTAP,"Sun Jun 29, 2014 | 12:56pm EDT",NetApp shares may climb to $50-Barron's,http://www.reuters.com//article/tech-netapp-idUSL2N0PA0AV20140629?type=companyNews
5,"   By Soham Chatterjee and Lehar Maan  NetApp Inc reported better-than-expected first-quarter profit as businesses spent more to replace their ageing storage equipment.The company's shares rose as much as 3 percent after the bell.Increased sales of products sold under the NetApp brand assuaged some investors' concerns that the company was losing business to newer and cheaper flash-based storage technology vendors such as Nimble Storage Inc and Pure Storage.""What's different (this quarter) overall is we got some rebound in enterprise spending in our larger U.S.-based accounts,"" Chief Executive Tom Georgens told Reuters. ""We saw a much larger number of $1 million-plus transactions this quarter than we saw in Q1 a year ago.""NetApp and larger rival EMC Corp are trying to boost growth by focusing on products such as flash-based storage and software-based technologies as businesses cut spending on high-end storage products for cheaper alternatives.EMC last month reported better-than-expected revenue helped by higher sales of newer flash storage products. Analysts expect NetApp to benefit from the launch of its flash-based storage system, FlashRay, in late 2014. NetApp has overhauled its Data Ontap operating system, which protects and manages data at both its customers' data centers and cloud vendors such as Amazon.com Inc, to drive product sales.Revenue from NetApp's branded product business, which accounts for 91 percent of total sales, rose 0.7 percent in the quarter ended July 25.""Branded revenue is going to continue improving on a year-over-year trajectory and I think a lot of investors were doubtful to whether or not that would happen,"" Technology Insights Research analyst Nehal Chokshi told Reuters. NetApp said it expects current-quarter adjusted profit of 66-71 cents per share on revenue of $1.49-$1.59 billion.Analysts were expecting second-quarter adjusted profit of 69 cents per share on revenue of $1.53 billion, according to Thomson Reuters I/B/E/S.In the first quarter, adjusted profit rose 13 percent to 60 cents per share, beating analysts' average estimate of 57 cents per share.Revenue fell about 2 percent to $1.49 billion, but topped the average Wall Street estimate of $1.47 billion.  Adjusted gross margin rose to 64.3 percent from 61.3 percent a year earlier.""Their service gross margin came in quite a bit better than they had guided for,"" Piper Jaffray analyst Andrew Nowinski told Reuters, adding that he viewed NetApp's outlook as lightly conservative.NetApp also said it would pay a dividend of $0.165 per share on Oct. 22.NetApp's shares were marginally up at $39.43 after the bell. (Additional reporting by Lehar Maan; Editing by Saumyadeb Chakrabarty and Feroze Jamal)",2014-08-13,NTAP,"Wed Aug 13, 2014 | 6:58pm EDT",NetApp profit rises on higher enterprise spending,http://www.reuters.com//article/us-netapp-results-idUSKBN0GD1YB20140813?type=companyNews
6,"  (Adds CEO and analyst comments)By Soham Chatterjee and Lehar MaanAug 13 NetApp Inc reported better-than-expected first-quarter profit as businesses spent more to replace their ageing storage equipment.The company's shares rose as much as 3 percent after the bell.Increased sales of products sold under the NetApp brand assuaged some investors' concerns that the company was losing business to newer and cheaper flash-based storage technology vendors such as Nimble Storage Inc and Pure Storage.""What's different (this quarter) overall is we got some rebound in enterprise spending in our larger U.S.-based accounts,"" Chief Executive Tom Georgens told Reuters. ""We saw a much larger number of $1 million-plus transactions this quarter than we saw in Q1 a year ago.""NetApp and larger rival EMC Corp are trying to boost growth by focusing on products such as flash-based storage and software-based technologies as businesses cut spending on high-end storage products for cheaper alternatives. EMC last month reported better-than-expected revenue helped by higher sales of newer flash storage products.Analysts expect NetApp to benefit from the launch of its flash-based storage system, FlashRay, in late 2014.NetApp has overhauled its Data Ontap operating system, which protects and manages data at both its customers' data centers and cloud vendors such as Amazon.com Inc, to drive product sales.Revenue from NetApp's branded product business, which accounts for 91 percent of total sales, rose 0.7 percent in the quarter ended July 25. ""Branded revenue is going to continue improving on a year-over-year trajectory and I think a lot of investors were doubtful to whether or not that would happen,"" Technology Insights Research analyst Nehal Chokshi told Reuters.NetApp said it expects current-quarter adjusted profit of 66-71 cents per share on revenue of $1.49-$1.59 billion.Analysts were expecting second-quarter adjusted profit of 69 cents per share on revenue of $1.53 billion, according to Thomson Reuters I/B/E/S. In the first quarter, adjusted profit rose 13 percent to 60 cents per share, beating analysts' average estimate of 57 cents per share.Revenue fell about 2 percent to $1.49 billion, but topped the average Wall Street estimate of $1.47 billion.Adjusted gross margin rose to 64.3 percent from 61.3 percent a year earlier.""Their service gross margin came in quite a bit better than they had guided for,"" Piper Jaffray analyst Andrew Nowinski told Reuters, adding that he viewed NetApp's outlook as lightly conservative.NetApp also said it would pay a dividend of $0.165 per share on Oct. 22.NetApp's shares were marginally up at $39.43 after the bell.   (Additional reporting by Lehar Maan; Editing by Saumyadeb Chakrabarty and Feroze Jamal)",2014-08-13,NTAP,"Wed Aug 13, 2014 | 6:50pm EDT",UPDATE 2-NetApp profit rises on higher enterprise spending,http://www.reuters.com//article/netapp-results-idUSL4N0QJ5OD20140813?type=companyNews
7,"  Aug 13 NetApp Inc reported better-than-expected quarterly results, helped by higher branded storage equipment sales and increased revenue from hardware maintenance contracts.The company's net income rose to $88 million, or 27 cents per share, in the first quarter ended July 25, from $82 million, or 23 cents per share, a year earlier. Excluding items, the company earned 60 cents per share beating the average analyst estimate of 57 cents per share.  Revenue fell 1.3 percent to $1.49 billion, but topped the average Wall Street estimate of $1.47 billion.   (Reporting by Soham Chatterjee in Bangalore; Editing by Saumyadeb Chakrabarty)",2014-08-13,NTAP,"Wed Aug 13, 2014 | 4:13pm EDT",NetApp results beat estimates on higher storage equipment sales,http://www.reuters.com//article/netapp-results-idUSL4N0QJ5MH20140813?type=companyNews
8,"   By Sai Sachin R and Anya George Tharakan  Data storage equipment maker NetApp Inc reported a 4 percent fall in quarterly profit, hurt by lower sales to original equipment manufacturers, and forecast a third-quarter profit below market estimate.The company's shares were down about 3 percent in extended trading.The company's OEM business includes revenue from the sale of NetApp's products by other companies under their brands, including IBM Corp and Fujitsu Ltd.OEM revenue fell 21.5 percent in the second quarter, contributing 8 percent to total revenue.""IBM has their own storage solutions and they want to get more in-house as opposed to reselling a competitor's products,"" FBN Securities analyst Shebly Seyrafi said.The company is also facing competition from larger rival EMC Corp and newer and cheaper flash-based storage technology vendors such as Nimble Storage Inc and Pure Storage. A stronger dollar will hurt revenue from Europe in the third quarter, Chief Executive Tom Georgens told Reuters. Europe, Middle East and Africa (EMEA) region contributed 28 percent to NetApp's revenue in the second quarter.EMC also cut its full-year profit and revenue forecast in October, hurt by lower bookings at its VMware Inc unit and a strong dollar.  NetApp expects current-quarter adjusted profit of 74-79 cents per share on revenue of $1.56 billion-$1.66 billion. Analysts were expecting third-quarter adjusted profit of 80 cents per share on revenue of $1.62 billion, according to Thomson Reuters I/B/E/S.    The company's net income fell to $159.8 million, or 49 cents per share, in the quarter ended Oct. 24, from $166.8 million, or 48 cents per share, a year earlier. Excluding items, the company earned 70 cents per share, matching expectations.Revenue fell marginally to $1.54 billion from $1.55 billion.Analysts on average had expected $1.55 billion. (Reporting By Sai Sachin R and Anya George Tharakan in Bangalore; Editing by Sriraj Kalluvila and Don Sebastian)",2014-11-12,NTAP,"Wed Nov 12, 2014 | 6:11pm EST",NetApp profit falls on lower sales to OEMs,http://www.reuters.com//article/us-netapp-results-idUSKCN0IW2JO20141112?type=companyNews
9,"  (Adds forecast and comments from CEO, analyst)By Sai Sachin R and Anya George TharakanNov 12 Data storage equipment maker NetApp Inc  reported a 4 percent fall in quarterly profit, hurt by lower sales to original equipment manufacturers, and forecast a third-quarter profit below market estimate.The company's shares were down about 3 percent in extended trading.The company's OEM business includes revenue from the sale of NetApp's products by other companies under their brands, including IBM Corp and Fujitsu Ltd.OEM revenue fell 21.5 percent in the second quarter, contributing 8 percent to total revenue. ""IBM has their own storage solutions and they want to get more in-house as opposed to reselling a competitor's products,"" FBN Securities analyst Shebly Seyrafi said.The company is also facing competition from larger rival EMC Corp and newer and cheaper flash-based storage technology vendors such as Nimble Storage Inc and Pure Storage.A stronger dollar will hurt revenue from Europe in the third quarter, Chief Executive Tom Georgens told Reuters. Europe, Middle East and Africa (EMEA) region contributed 28 percent to NetApp's revenue in the second quarter.EMC also cut its full-year profit and revenue forecast in October, hurt by lower bookings at its VMware Inc unit and a strong dollar.NetApp expects current-quarter adjusted profit of 74-79 cents per share on revenue of $1.56 billion-$1.66 billion. Analysts were expecting third-quarter adjusted profit of 80 cents per share on revenue of $1.62 billion, according to Thomson Reuters I/B/E/S.The company's net income fell to $159.8 million, or 49 cents per share, in the quarter ended Oct. 24, from $166.8 million, or 48 cents per share, a year earlier.Excluding items, the company earned 70 cents per share, matching expectations.Revenue fell marginally to $1.54 billion from $1.55 billion.Analysts on average had expected $1.55 billion.   (Reporting By Sai Sachin R and Anya George Tharakan in Bangalore; Editing by Sriraj Kalluvila and Don Sebastian)",2014-11-12,NTAP,"Wed Nov 12, 2014 | 6:09pm EST",UPDATE 1-NetApp profit falls on lower sales to OEMs,http://www.reuters.com//article/netapp-results-idUSL3N0T27KJ20141112?type=companyNews
