,Article,Date,Symbol,Time,Title,Url
0,"   By Valerie Volcovici and Selam Gebrekidan | WASHINGTON/NEW YORK  WASHINGTON/NEW YORK One of the most important U.S. energy policy lobbying debates this year is shaping up as a remarkably one-sided fight.While a growing number of groups support ending a decades-old U.S. law that effectively bans crude oil exports, few companies and lobbyists publicly oppose the idea.On Tuesday, top oil refiner Valero Energy Corp (VLO.N) became the first major company to publicly oppose relaxing the restrictions, a seemingly predictable stance from an industry that has reaped the huge benefits of buying cheaper U.S. crude oil and selling it as refined fuels, often abroad.But some of Valero's natural allies in the fight are steering clear, not wishing to compromise their free-market ideals in defense of a policy that most energy analysts and experts say has become a remnant of a bygone era.""We don't oppose lifting the crude-oil export ban, as we fully support free markets,"" Marathon Petroleum Corp (MPC.N) spokeswoman Stefanie Griffith said in an emailed statement.Phillips 66 (PSX.N) says exports of crude oil and other products ""are good for our country and contribute to a strong balance of trade,"" a spokesman said on Tuesday. The U.S. trade deficit fell to a four-year low in November thanks to shrinking net petroleum imports, government data showed this week.The refiners' lobby group, which helped lead a highly contentious but successful campaign last year to relax the U.S. ethanol mandates, is sticking to its free-market mantra despite the objections of some of its members, Charles Drevna, president of American Fuel and Petrochemical Manufacturers, told Reuters this month.U.S. domestic shipping industry executives privately voice support for the ban, but the industry at large has been reluctant to take a position. The shipping industry is benefiting from a surge in rates for U.S.-flagged tankers, which are required by law to move petroleum products between U.S. ports.There is still time for more foes to emerge, of course. Environmental groups that have sought to block coal exports and the Keystone XL pipeline may take up the issue more seriously.Ahead of mid-term elections, some politicians may raise the specter of higher gasoline prices, as New Jersey Democratic Senator Robert Menendez did in a letter to President Barack Obama last month.But without a cohesive lobbying force, even industry insiders see little standing in the way of rising exports.LESSONS FROM GAS LOBBY Thanks to the rise in hydraulic fracturing and horizontal drilling technologies, U.S. crude oil production has surged to the highest level in 25 years, threatening to inundate refiners with a light sweet crude that is easy to refine.As a result, domestic oil prices have fallen to a discount versus similar varieties elsewhere, spurring calls to ease an export ban imposed in 1975 after the Arab oil embargo. Understandably, big producers such as independent Continental Resources Inc (CLR.N) and oil major Exxon Mobil Corp (XOM.N) were the first to call for a review of the ban. U.S. Energy Secretary Ernest Moniz last year said the export ban should be reassessed by the Department of Commerce, which regulates licensing.More surprising is the lack of unanimity among refiners.""I would have thought the independent refiners would stay sort of united on this,"" said Chi Chow, refining industry analyst at Macquarie Group. ""It's definitely in their economic interest to keep the ban in place,"" he said.The battle has echoes of a similar war over the past two years, as natural gas producers sought government approval for exporting liquefied natural gas - over the objection of big consumers such as Dow Chemical Co (DOW.N).But while industrial gas users mounted a compelling macro-economic argument to restrain exports - lower domestic prices will create more jobs - refiners are on a shakier footing given bumper profits and gasoline prices that remain high by historical standards. Exporting crude is unlikely to have a major impact on local pump prices, energy experts say.""My interest is not to protect the refineries' bottom line,"" Senator Lisa Murkowski, the top Republican on the Senate Energy Committee, said on Tuesday after urging a review of the ban. ""They are going to have to deal with it within the industry.""America's Energy Advantage, the coalition of companies led by Dow that opposed unfettered LNG exports, has not taken a position yet on crude exports and does not plan to weigh in on the discussion at this point, spokesman Brock Park said. The coalition appears to be losing that battle: the Obama administration has approved four new requests to export LNG to non-free trade countries in the past year, and is expected to approve more this year, analysts say.For refiners, any public effort to oppose exporting crude could draw more attention to their unfettered overseas shipments of refined fuels like gasoline and diesel, sales of which have trebled over the past 10 years to record highs.A Reuters-IPSOS poll conducted in November showed that American voters are almost evenly divided on the question of U.S. oil exports. But a majority believe gasoline exports should be restricted.ENVIRONMENTAL GROUPS KEEP MUM A handful of lawmakers have already spoken out in opposition of the ban, including New Jersey's Menendez and Senator Ed Markey of Massachusetts.But the balance of power in Washington may be shifting.Democratic Senator Mary Landrieu of Louisiana, a major energy state, is expected to take Democratic Oregon Senator Ron Wyden's place on the committee. She recently suggested she would support lifting the ban if ""scientific data"" showed it necessary. While opponents of the Keystone XL pipeline, such as 350.org, are already lining up to oppose crude oil exports, other environmental groups have yet to craft an approach - even as the debate rapidly accelerates in Washington.The Natural Resources Defense Council ""hasn't been engaged on the issue of oil exports specifically,"" said Kate Slusark Kiely, a spokeswoman for the group. She said the group is focused on ""protecting people and the environment from the risks involved with its development and use.""SHIPPERS STEER CLEAR The U.S. shipping industry would seem a likely opponent of change. With overseas shipments restricted, oil producers have scrambled to secure so-called ""Jones Act"" tankers, the small fleet of U.S.-owned, U.S.-made, and U.S.-crewed vessels that are allowed to carry goods between U.S. ports.Rates for Jones Act tankers and barges owned by companies such as Kirby Corp (KEX.N) and American Petroleum Tankers - being bought by Kinder Morgan Energy Partners KMP.N - have surged as a growing glut of south Texas crude is shipped to other U.S. ports. If exports were allowed, demand could wane.One executive at a U.S.-flag ship company, who declined to be named, said that he was ""fully supportive of the law.""Yet the American Maritime Partnership, which represents the U.S. domestic maritime industry, does not have a position on crude exports, spokesman Joe Brenckle said.With Jones Act rates already three times more expensive than foreign-flagged vessels, industry officials may worry about becoming a target of the debate themselves.""I think there's a fear of being seen as anti-competitive or protectionist. It's a challenge when you compare the rates of, say an MR Jones Act tanker versus a similarly sized international vessel,"" said Ben Nolan, director of maritime research at Stifel, Nicolaus & Company in Chicago.The industry would make unlikely bedfellows with refiners, who have long complained that the Jones Act law inflates costs for refiners on the East Coast.""If indeed this is truly the beginning of the debate, let's make sure the debate includes all the parameters so we fully understand the ramifications of other obstacles of economic growth,"" said Drevna of the American Fuel and Petrochemical Manufacturers.""We can't look at crude exports in a vacuum. We should also look at the Jones Act and how that hampers development.""(Additional reporting by Anna Louie Sussman and Cezary Podkul; Editing by Jonathan Leff and Lisa Shumaker)",2014-01-08,OXY,"Wed Jan 8, 2014 | 6:15am EST",Analysis: Lobbying fight over U.S. oil exports may be one-sided battle,http://www.reuters.com//article/us-usa-crude-exports-analysis-idUSBREA070I320140108?type=companyNews
1,"  * 4th-quarter adj EPS $1.72 vs est $1.67* Occidental's U.S. crude selling price up 8 pct* Quarterly sales volumes exceed production* Revenue flat at $6.17 billionJan 30 Occidental Petroleum Corp, the fourth-largest U.S. oil and gas company, posted a better-than-expected quarterly profit after selling more crude than it produced.More efficient drilling and higher domestic crude prices also helped Occidental to increase its profit in the fourth quarter, despite a decline in production from its Middle Eastern fields and severe winter weather in the United States. Occidental, which is looking to sell a minority stake in its Middle East business, said realized U.S. crude prices rose 8 percent in the quarter ended Dec. 31, helping the company to a net profit of $1.64 billion.At $2.04 per share, earnings were significantly higher than the 42 cents per share earned a year earlier, when the company wrote down the value of gas properties in the U.S. midcontinent by $1.1 billion.Even excluding the one-time gain and an after-tax charge of $395 million related to the impairment of some domestic oil and gas assets, Occidental earned $1.72 per share in the quarter ended Dec. 31. Net sales were flat at $6.17 billion. Analysts on average had expected earnings of $1.67 per share on revenue of about $5.79 billion, according to Thomson Reuters I/B/E/S.""Occidental sold more than it produced,"" said Raymond James analyst Pavel Molchanov. ""It took volumes out of inventory, and that's why it beat estimates.""Los Angeles-based Occidental said output in the fourth quarter fell to 750,000 barrels of oil equivalent per day (boe/d) from 779,000 boe/d a year earlier. But sales volumes exceeded production due to the timing of shipments from the company's international operations, mainly in Iraq.Occidental said in October that it planned to sell a minority stake in its Middle East and North African operations, as well as announcing strategic alternatives for some assets in the U.S. Rocky Mountain region, which have lower returns.In the fourth quarter, Occidental also recorded a $665 million after-tax gain from the sale of part of its stake in the general partner of pipeline company Plains All American Pipeline LP.The company's realized price for U.S. crude in the fourth quarter rose to $94.52 per barrel, while worldwide crude gained 3 percent to $99.27 per barrel and domestic gas prices jumped 8 percent.Occidental's shares closed at $87.82 on the New York Stock Exchange on Wednesday.",2014-01-30,OXY,"Thu Jan 30, 2014 | 8:43am EST","UPDATE 1-Higher sales, oil prices boost Occidental profit",http://www.reuters.com//article/occidentalpetroleum-results-idUSL3N0L441320140130?type=companyNews
2,"  Jan 30 Occidental Petroleum Corp said its fourth-quarter profit jumped from a year earlier when it wrote down the value of gas properties in the U.S. midcontinent by $1.1 billion.Net income rose to $1.64 billion, or $2.04 cents per share, in the quarter ended Dec. 31, from $336 million, or 42 cents per share, a year earlier. The profit included a $665 million after-tax gain from the sale of a part of its stake in the general partner of pipeline company Plains All American Pipeline LP and an after-tax charge of $395 million related to the impairment of certain domestic oil and gas assets.  Net sales at the fourth-largest U.S. oil and gas company were flat at $6.17 billion.",2014-01-30,OXY,"Thu Jan 30, 2014 | 7:14am EST",Occidental Petroleum posts higher fourth-quarter profit,http://www.reuters.com//article/occidentalpetroleum-results-idUSL3N0L43H120140130?type=companyNews
3,"  Feb 13 Occidental Petroleum Corp said on Thursday its board voted to increase its share repurchase authorization by 30 million shares to be funded in part by the $1.4 billon sale of natural gas assets in the central United States.Occidental, which is restructuring and under pressure to return more cash to shareholders, also raised its annual dividend by 12.5 percent to $2.88 per share. ""The dividend increase reflects our commitment to growing Occidental's dividend annually, and we will continue to make share repurchases as opportunities arise,"" Chief Executive Officer Stephen I. Chazen said in a statement. Occidental's buyback authorization had 7 million shares remaining at the end of 2013. Occidental plans to sell its 1.4 million acres in the Hugoton field that spans southwestern Kansas and parts of Oklahoma and Colorado. The buyer was not disclosed.In October, Occidental said it planned to sell a minority stake in its Middle East and North African operations and was also reviewing strategic alternatives for some assets in the U.S. Rocky Mountain region that have lower returns.",2014-02-13,OXY,"Thu Feb 13, 2014 | 5:12pm EST","UPDATE 1-Occidental raises buyback, sells some U.S. natgas assets",http://www.reuters.com//article/occidental-shares-buyback-idUSL2N0LI22G20140213?type=companyNews
4,"  Feb 13 Occidental Petroleum Corp on Thursday said it reached a deal to sell its interests in a large natural gas field in the central United States for a pre-tax price of $1.4 billion, with proceeds earmarked for share repurchases.The buyer was not disclosed.Occidental's interest comprises more than 1.4 million acres in the Hugoton field that spans southwestern Kansas and parts of Oklahoma and Colorado.   ",2014-02-13,OXY,"Thu Feb 13, 2014 | 4:18pm EST",Occidental selling U.S. gas assets for $1.4 billion,http://www.reuters.com//article/idUSL2N0LI22B20140213?type=companyNews
5,"  * Expects to complete spinoff by 2014-end or early 2015* To move headquarters to Houston from Los Angeles* Says unit will be state's largest natural gas producer* Says Chazen asked to remain president, CEO through 2016* Shares up 3 pct in late morning tradingBy Swetha GopinathFeb 14 Occidental Petroleum Corp said it would spin off its oil and gas assets in California into a separately traded company and move its headquarters from Los Angeles to Houston, where it will be closer to its largest U.S. operations.Wall Street analysts have estimated the underperforming California unit, which Occidental had talked about splitting from for months, could be worth $19 billion to $22 billion.New York-traded shares of Occidental rose 3.5 percent on Friday to $95.51, giving the fourth-largest U.S. oil company a market capitalization of $72 billion.Occidental said the California unit generated a pretax profit of about $1.5 billion in 2013.""Creating two separate energy companies will result in more focused businesses that will be competitive industry leaders,""  Chief Executive Stephen Chazen said on Friday.The California unit, the largest natural gas producer in the state, has long been seen as a drag on the company because of its limited oil production. Total production growth averaged 3.6 percent between 2010 and 2013. The California fields produced an average 261 million cubic feet of gas and 88,000 barrels of oil per day in 2013.Although natural gas prices have risen recently due to cold weather in North America, prices have been weak over the past few years because of a flood of production from shale fields.Occidental is increasingly focusing on production from fields in the Permian Basis in Texas and New Mexico, far from Los Angeles where the company was founded nearly a century ago.CALIFORNIA VS. TEXAS The formal migration of Occidental to Texas, a move Reuters flagged as likely late last year, follows several other departures from California to the Lone Star state by big companies in the energy industry. Texas Governor Rick Perry welcomed the shift, saying it was only fitting that the state's biggest oil producer should be based in ""the energy capital of the world.""Perry, a Republican, has run television ads in states that are traditional Democratic strongholds to lure companies to Texas, pitching it as a low-tax, low-regulation environment for ""creative renegades.""Fluor Corp, an engineering company now based outside Dallas, had called California's Orange County home until 2006. Calpine Corp, now a Houston-based power company, abandoned San Jose three years later.After Occidental's move, Chevron Corp. will be the only big oil company with headquarters in California. LESS PROPRIETARY TRADING The company has also said it will sell a minority stake in its Middle East and North Africa operations.""We are of the view that the Mid-East/North Africa monetization should be even more needle-moving... reflecting the fact that these assets are perceived by the market as particularly idiosyncratic,"" Raymond James analyst Pavel Molchanov said in an email.Occidental said it expected to complete the separation of the unit, which will likely carry debt of $4 billion to $5 billion, by the end of 2014 or early 2015.The California unit produces oil and gas on holdings covering 2.1 million net acres.Occidental also said on Friday that it would reduce proprietary trading in crude oil and other commodities, which analysts have said create volatility in quarterly earnings.The company did not say how this would affect Phibro, its proprietary business.U.S. oil and gas producers such as Hess Corp and Chesapeake Energy Corp are streamlining their operations and investing more in the most profitable shale fields in North America to increase shareholder returns.Occidental said on Thursday that it would sell $1.4 billion of natural gas assets in the central United States and use part of the funds to buy back another 30 million shares. The company also raised its dividend.The company said Chazen would remain president and CEO through 2016, extending his tenure by two years.It also said that Chairman Edward Djerejian, who was elected last May after the ousting of predecessor Ray Irani, had been asked to remain in the role for another year.",2014-02-14,OXY,"Fri Feb 14, 2014 | 1:22pm EST","UPDATE 4-Occidental to spin off California assets, move HQ to Houston",http://www.reuters.com//article/occidentalpetroleum-california-idUSL3N0LJ4CW20140214?type=companyNews
6,"  Feb 14 Oil and gas producer Occidental Petroleum Corp said it would spin off its California assets into a separately traded company, creating the state's largest natural gas producer. Occidental said the new company, which would hold 2.3 million net acres, would have major operations in the state's high-potential oil and gas basins, including Los Angeles, San Joaquin, Ventura and Sacramento.  ",2014-02-14,OXY,"Fri Feb 14, 2014 | 7:09am EST",Occidental Petroleum to spin off California assets,http://www.reuters.com//article/occidentalpetroleum-california-idUSL3N0LJ4A220140214?type=companyNews
7,"  HOUSTON Occidental Petroleum Corp's (OXY.N) board of directors cut Chief Executive Officer Stephen Chazen's total compensation by about 75 percent in 2013 as part of the U.S. oil company's overhaul of executive pay, according to a regulatory filing on Thursday.Chazen received $6.9 million in salary and stock awards last year, compared with $28.5 million in 2012, according to the company's proxy filing with the U.S. Securities and Exchange Commission.Ray Irani, the longtime chairman of Occidental who was voted out by shareholders last year, received total compensation of $20.6 million, a figure that included a $14 million separation payment and $572,503 for security services, according to the proxy. After the company's 2013 annual meeting where only 63 percent of shareholders supported the company's executive pay package, the board changed the compensation program significantly for Chazen and other executives, the proxy said. For example the board decided to ""narrow the gap"" between the value of Chazen's total compensation with that of other Occidental executives, the filing said. (Reporting by Anna Driver; Editing by Lisa Shumaker)",2014-03-06,OXY,"Thu Mar 6, 2014 | 6:11pm EST",Occidental slashes CEO Chazen's compensation to $6.9 million,http://www.reuters.com//article/us-occidental-pay-idUSBREA252EQ20140306?type=companyNews
8,"  HOUSTON, March 6 Occidental Petroleum Corp's  board of directors cut Chief Executive Officer Stephen Chazen's total compensation by about 75 percent in 2013 as part of the U.S. oil company's overhaul of executive pay, according to a regulatory filing on Thursday.Chazen received $6.9 million in salary and stock awards last year, compared with $28.5 million in 2012, according to the company's proxy filing with the U.S. Securities and Exchange Commission. Ray Irani, the longtime chairman of Occidental who was voted out by shareholders last year, received total compensation of $20.6 million, a figure that included a $14 million separation payment and $572,503 for security services, according to the proxy. After the company's 2013 annual meeting where only 63 percent of shareholders supported the company's executive pay package, the board changed the compensation program significantly for Chazen and other executives, the proxy said. For example the board decided to ""narrow the gap"" between the value of Chazen's total compensation with that of other Occidental executives, the filing said.",2014-03-06,OXY,"Thu Mar 6, 2014 | 6:09pm EST",Occidental slashes CEO Chazen's compensation to $6.9 million,http://www.reuters.com//article/occidental-pay-idUSL1N0M32M320140306?type=companyNews
9,"   By Rory Carroll | SAN FRANCISCO, March 19  SAN FRANCISCO, March 19 The council of the Los Angeles County city of Carson, California, has unanimously approved a 45-day moratorium on new oil and gas drilling, a setback for Occidental Petroleum's plans to drill more than 200 new wells there and the latest example of local governments taking a stand against fracking.Occidental originally presented its plan to drill new wells in the Dominquez Oil Field in Carson in 2012. At the time it said it planned to use hydraulic fracturing, or fracking, to reach an estimated 52 million barrels of oil trapped below ground in the area.Fracking consists of injecting water, sand and chemicals deep underground at high pressure to break apart rock and release oil and gas into a well. Its use has helped spur an energy boom across the United States.Occidental's plans were met with resistance from the Carson community, which voiced concern about the impact fracking could have on local air and water quality.When two test wells currently operating at the Dominquez project showed fracking would not effectively increase production, Occidental withdrew fracking from the project's scope, Occidental spokeswoman Susie Geiger said.Despite that, the city council approved the moratorium on new oil drilling by a vote of 5-0 late Tuesday to give city officials time to consider additional regulations. ""There are too many questions, too many unknowns and too many possible bad consequences that could result from the city engaging in this activity,"" said Albert Robles, the Carson council member who led the moratorium charge.""These questions significantly outweigh any possible benefit to the residents of Carson.""The city council will consider a one-year moratorium after the 45-day period is up, Robles said. Environmental groups, which held a rally outside city hall prior to Tuesday's vote, expressed concerns that Occidental would later decide to frack or use other controversial drilling techniques like acidization.They said they hope the moratorium will eventually lead to an outright ban on all new oil and gas production in Carson.Geiger said it was unclear what impact the moratorium would have on Occidental's plans for the project. She said the project would provide well-paying jobs and increased tax revenue for Carson, Los Angeles County and the state. The vote in Carson is the latest example of local governments moving to take a closer look at fracking after a bill that sought to bring the practice to a halt failed to pass the California state legislature last year. California Governor Jerry Brown has declined to impose a moratorium by executive order, angering many environmentalists in the state.The coastal city of Santa Cruz passed a fracking moratorium in September. Last month, the Los Angeles city council voted unanimously to prohibit fracking and other unconventional oil recovery practices at oil fields in the city. A final vote is required before it goes into effect.""California cities and counties have broad legal and moral authority to stop fracking at the local level,"" said Zack Malitz of progressive group Credo, which has helped organize scores of rallies against fracking in California.""If Governor Brown doesn't stand up to the fracking industry, he should expect a wave of local governments, under intense pressure from their constituents, to take action to protect residents from the toxic effects of fracking,"" he said.(Reporting by Rory Carroll; Editing by Steve Orlofsky)",2014-03-19,OXY,"Wed Mar 19, 2014 | 3:55pm EDT",California city halts new oil drilling over fracking concerns,http://www.reuters.com//article/california-fracking-idUSL2N0MG04020140319?type=companyNews
