,Article,Date,Symbol,Time,Title,Url
0,"  (The following statement was released by the rating agency) NEW YORK, February 05 (Fitch) Fitch Ratings has affirmed People's United  Financial, Inc.'s (PBCT) ratings at 'A-'/'F1'. The Rating Outlook has been  revised to Negative from Stable. The Outlook revision reflects PBCT's weak  earnings and increasing liquidity risk profile. A full list of rating actions  follows at the end of this press release. KEY RATING DRIVERS - IDRS, VRs, AND SENIOR DEBT The revision of PBCT's Outlook to Negative reflects the bank's weak earnings and  increasing liquidity risk profile. PBCT's loan to deposit ratio has increased to  106% percent, while the rest of the industry has typically experienced declining  loan to deposit levels. Fitch believes banks with elevated loan to deposit  ratios could experience deposit pricing pressure once Fed tapers QE and 'surge'  deposits begin to leave the banking system.  An increase in funding costs could impact PBCT's ability to generate sufficient  core earnings improvement in a normalized rate environment commensurate with its  current rating. PBCT's earnings rank amongst the bottom quartile of the peer  group. The Negative Outlook reflects Fitch's view that earnings could remain in  the bottom quartile of the group in a rising rate environment, despite PBCT's  asset sensitive balance sheet. PBCT's 'A-' rating reflects not only its current solid asset quality metrics but  also its demonstrated performance through the cycle. PBCT differentiated itself  from its peers by maintaining net charge offs well below 1% before, during and  after the great recession.  PBCT has solid capital levels. Although capital levels have been declining  through the company's share repurchase program, Fitch anticipated capital  optimization since PBCT historically operated with excess capital levels. As  such, the reductions to capital have been incorporated into Fitch's ratings for  some time. Should capital levels be managed well below its current levels,  negative ratings action could be taken.  RATING SENSITIVITIES - IDRS, VRs, AND SENIOR DEBT PBCT's ratings are sensitive to core earnings levels in a rising rate  environment. Should earnings levels continue to rank in the bottom quartile in a  rising rate environment, a ratings downgrade is possible. Fitch does not  anticipate improvements to PBCT's current rating, which ranks amongst the top of  the mid-tier banks.  KEY RATING DRIVERS - SUBORDINATED DEBT AND OTHER HYBRID SECURITIES PBCT's subordinated debt issued through the Chittenden Corporation is rated one  notch below PBCT's VR . The notch differential reflects loss severity and an  assessment of increment non-performance risk.  RATING SENSITIVITIES - SUBORDINATED DEBT AND OTHER HYBRID SECURITIES PBCT's subordinated debt rating is sensitive to changes in PBTC's VR. The rating  sensitivities for the VR are listed above.  SUBSIDIARY AND AFFILIATED COMPANY KEY RATING DRIVERS People's United Bank is a wholly owned subsidiary of PBCT. People's United  Bank's ratings are aligned with PBCT reflecting Fitch's view that the bank  subsidiary is core to the franchise.  SUBSIDIARY AND AFFILIATED COMPANY RATING SENSITIVITIES People's United Bank's ratings are sensitive to changes to PBCT's VR or any  changes to Fitch's view of structural subordination between bank subsidiaries  and holding companies. Rating sensitivities for the VR are listed above.  KEY RATING DRIVERS - SUPPORT RATING AND SUPPORT RATING FLOOR PBCT's Support Rating and Support Rating Floor of '5' and 'NF' reflect Fitch's  view that the company is unlikely to procure extraordinary support should such  support be needed. KEY RATING SENSITIVITIES- SUPPORT RATING AND SUPPORT RATING FLOOR PBCT's Support Rating and Support Rating Floor are sensitive to Fitch's  assumption around capacity to procure extraordinary support in case of need. Fitch reviewed PBCT's ratings as part of the mid-tier regional bank review. The  19 banks in today's review include: Associated Banc-Corp (ASBC), BOK Financial  Corp (BOKF), Cathay General Bancorp (CATY), City National Bancorp  (CYN),Cullen/Frost Bankers, Inc (CFR), East West Bancorp, Inc. (EWBC), First  Horizon National Corp (FHN), First National of Nebraska, Inc. (FNNI), First  Niagara Financial Group, Inc. (FNFG), First Republic Bank (FRC), First Merit  (FMER), Fulton Financial Corp (FULT), Hancock Holding Company (HBHC), People's  United Financial, Inc. (PBCT), Synovus Financial Corp (SNV), TCF Financial Corp  (TCB), UMB Financial Corporation (UMB), Webster Financial Corp (WBS), Wintrust  (WTFC). Fitch has affirmed the following ratings and revised the Outlook to Negative  from Stable: People's United Financial, Inc. --Long-term IDR at 'A-'; Outlook to Negative from Stable; --Viability rating at 'a-'; --Senior unsecured at 'A-' --Short-term IDR at 'F1'; --Support at '5'; --Support floor at 'NF'.  People's United Bank --Long-term IDR at 'A-'; Outlook to Negative from Stable; --Viability rating at 'a-'; --Long-term deposits at 'A'; --Short-term IDR at 'F1'; --Short-term deposits at 'F1'; --Support at '5'; --Support floor at 'NF'.  Chittenden Corporation --Subordinated debt at 'BBB+'.  Contact: Primary Analyst  Jaymin Berg, CPA Director +1-212-908-0368 Fitch Ratings, Inc. One State Street Plaza New York, NY 10004  Secondary Analyst Ryan Doyle Director +1-212-908-9162  Committee Chairperson Christopher Wolfe Managing Director +1-212-908-0771  Media Relations: Brian Bertsch, New York, Tel: +1 212-908-0549, Email:  brian.bertsch@fitchratings.com. Additional information is available at 'www.fitchratings.com'.  Applicable Criteria and Related Research: --2014 Outlook: U.S. Banks (Nov. 21, 2013) --U.S. Banks: Liquidity and Deposit Funding (Aug. 8, 2013) --U.S. Banks: Interest Rate Risks (What Happens When Rates Rise) (June 18, 2013) --U.S. Bank Mergers and Acquisitions -- When Will The Catalysts Kick In? (July  11, 2013) --Global Trading and Universal Banks - Periodic Review (Dec. 12, 2013) --Fitch Fundamentals Index - U.S.; Index Trend Analysis 4Q13 (Jan. 15, 2014) --Risk Radar Global - Q313 (Sept. 5, 2013) --Fitch Global Corporate Rating Activity â€“ Third Quarter 2013 (Dec. 5, 2013) --U.S. Banking Quarterly Comment: 4Q13 (Earnings Continue to Tick Up, but  Challenges Remain) (Jan. 27, 2014) --Global Financial Institutions Rating Criteria (Jan. 31, 2014) --Assessing and Rating Bank Subordinated and Hybrid Securities (Jan. 31, 2014) Applicable Criteria and Related Research:  2014 Outlook: U.S. Banks here U.S. Banks: Liquidity and Deposit Funding here U.S. Banks: Interest Rate Risks (What Happens When Rates Rise) here U.S. Bank Mergers and Acquisitions -- When Will The Catalysts Kick In? here Global Trading and Universal Banks - Periodic Review here Fitch Fundamentals Index  here Risk Radar Global  - Q313 here Fitch Global Corporate Rating Activity â€”Third-Quarter 2013 here U.S. Banking Quarterly Comment: 4Q13 (Earnings Continue to Tick Up, but  Challenges Remain) here Global Financial Institutions Rating Criteria here Assessing and Rating Bank Subordinated and Hybrid Securities Criteria here Additional Disclosure  Solicitation Status  here ALL FITCH CREDIT RATINGS ARE SUBJECT TO CERTAIN LIMITATIONS AND DISCLAIMERS.  PLEASE READ THESE LIMITATIONS AND DISCLAIMERS BY FOLLOWING THIS LINK:  here. IN ADDITION, RATING  DEFINITIONS AND THE TERMS OF USE OF SUCH RATINGS ARE AVAILABLE ON THE AGENCY'S  PUBLIC WEBSITE 'WWW.FITCHRATINGS.COM'. PUBLISHED RATINGS, CRITERIA AND  METHODOLOGIES ARE AVAILABLE FROM THIS SITE AT ALL TIMES. FITCH'S CODE OF  CONDUCT, CONFIDENTIALITY, CONFLICTS OF INTEREST, AFFILIATE FIREWALL, COMPLIANCE  AND OTHER RELEVANT POLICIES AND PROCEDURES ARE ALSO AVAILABLE FROM THE 'CODE OF  CONDUCT' SECTION OF THIS SITE. FITCH MAY HAVE PROVIDED ANOTHER PERMISSIBLE  SERVICE TO THE RATED ENTITY OR ITS RELATED THIRD PARTIES. DETAILS OF THIS  SERVICE FOR RATINGS FOR WHICH THE LEAD ANALYST IS BASED IN AN EU-REGISTERED  ENTITY CAN BE FOUND ON THE ENTITY SUMMARY PAGE FOR THIS ISSUER ON THE FITCH  WEBSITE.   ",2014-02-05,PBCT,"Wed Feb 5, 2014 | 4:34pm EST",Fitch Revises People's United's Outlook to Negative After Peer Review; Affirms Ratings at 'A1/F1',http://www.reuters.com//article/fitch-revises-peoples-uniteds-outlook-to-idUSFit68985820140205?type=companyNews
1,"  (The following statement was released by the rating agency) NEW YORK, January 30 (Fitch) Fitch Ratings has downgraded People's United  Financial's (PBCT) ratings to 'BBB+/F2'. The Rating Outlook is revised to Stable  from Negative. The downgrade reflects PBCT's declining capital levels, elevated  commercial loan growth and profitability well below its rated peers.  The rating action follows a periodic review of the mid-tier regional banking  group, which includes BOK Financial Corp. (BOKF), Cathay General Bancorp (CATY),  East West Bancorp, Inc. (EWBC), First Horizon National Corp. (FHN), First  National of Nebraska, Inc. (FNNI), First Republic Bank (FRC), Fulton Financial  Corp (FULT), People's United Financial Inc. (PBCT), Synovus Financial Corp.  (SNV), TCF Financial Corp. (TCB), Webster Financial Corp. (WBS), Wintrust  Financial Corp (WTFC), and UMB Financial Corporation (UMB). Company-specific rating rationales for the other banks are published separately.  KEY RATING DRIVERS - IDRs, VRs AND SENIOR DEBT PBCT's 'BBB+' ratings continue to reflect the company's good history of  execution on its strategy, solid management team and low credit costs through  the cycle. However, Fitch has downgraded PBCT's ratings due to capital levels  declining below peer medians combined with elevated commercial loan growth and  continued earnings weakness. Fitch had previously considered capital a relative  rating strength versus peers, and to the extent capital levels were managed  down, PBCT would improve earnings and profitability. PBCT's tangible common equity ratio declined to 7.5% at year-end 2014, which is  lower than Fitch's expectation. Although capital levels are still satisfactory,  the lower capital buffers along with loan growth and relatively weak earnings no  longer compare favorably to peers rated  in the 'A-' category.  Asset quality is the primary ratings strength for the institution. The company  experienced lower levels of problem loans and had much less loss content than  its peer banks. Fitch attributes the superior performance to solid underwriting,  relatively stronger local markets and sound credit risk management. However,  PBCT has experienced very strong commercial loan growth over multiple years,  which Fitch believes could lead to asset quality performance below the company's  very strong historical trends.  Earnings remain a drag on PBCT's ratings. PBCT's earnings rank near the bottom  of the mid-tier bank peer group. Weak earnings are primarily attributable to low  interest rates which have resulted in NIM compression felt by most of the  industry. Although PBCT's balance sheet is asset sensitive and should benefit in  a rising rate environment, Fitch expects earnings to perform below the peer  median over the medium term based on returns on average assets. However, in a  scenario where short-term rates rise significantly, Fitch expects that PBCT's  earnings will improve more dramatically to levels in line with the mid-tier peer  group. RATING SENSITIVITIES - IDRs, VRs AND SENIOR DEBT PBCT's ratings are primarily sensitive to asset quality. Should asset quality  metrics begin to deteriorate, particularly in the commercial loan category,  PBCT's ratings could be downgraded further. Conversely, positive ratings action  would be predicated upon a number of factors, namely seasoning of the loan  portfolio with minimal credit deterioration, material earnings improvement  commensurate with higher rated institutions and moderated loan growth.  RATING SENSITIVITIES - HOLDING COMPANY Should PBCTs holding company begin to exhibit signs of weakness, demonstrate  trouble accessing the capital markets, or have inadequate cash flow coverage to  meet near-term obligations, there is the potential that Fitch could notch the  holding company IDR and VR from the ratings of the operating companies. This is  viewed as unlikely though for PBCT given the strength of the holding company  liquidity profile.  KEY RATING DRIVERS - SUPPORT RATING AND SUPPORT RATING FLOOR  PBCT has a Support Rating of '5' and Support Rating Floor of 'NF'. In Fitch's  view, PBCT is not systemically important and therefore, the probability of  support is unlikely. IDRs and VRs do not incorporate any support.  RATING SENSITVITIES - SUPPORT RATING AND SUPPORT RATING FLOOR  PBCT's Support Rating and Support Rating Floor are sensitive to Fitch's  assumption around capacity to procure extraordinary support in case of need.  KEY RATING DRIVERS - SUBORDINATED DEBT AND OTHER HYBRID SECURITIES Subordinated debt and other hybrid capital issued by PBCT and by various issuing  vehicles are all notched down from PBCT or its bank subsidiaries' VRs in  accordance with Fitch's assessment of each instrument's respective  non-performance and relative loss severity risk profiles.  RATING SENSITIVITIES - SUBORDINATED DEBT AND OTHER HYBRID SECURITIES The ratings of subordinated debt and other hybrid capital issued by PBCT and its  subsidiaries are primarily sensitive to any change in PBCT's VR. To the extent that one of PBCT's subsidiary or affiliated companies is not  considered to be a core business, Fitch could also notch the subsidiary's rating  from PBCT's IDR. KEY RATING DRIVERS - LONG- AND SHORT-TERM DEPOSIT RATINGS PBCT's uninsured deposit ratings are rated one notch higher than the company's  IDR and senior unsecured debt because U.S. uninsured deposits benefit from  depositor preference. U.S. depositor preference gives deposit liabilities  superior recovery prospects in the event of default.  KEY RATING SENSITIVITIES - LONG- AND SHORT-TERM DEPOSIT RATINGS The ratings of long- and short-term deposits issued by PBCT and its subsidiaries  are primarily sensitive to any change in PBCT's long- and short-term IDRs.  Fitch has downgraded the following ratings and revised the Outlook to Stable  from Negative: People's United Financial, Inc. --Long-term IDR to 'BBB+' from 'A-';  --Viability rating to 'bbb+' from 'a-'; --Senior unsecured to 'BBB+' from 'A-'; --Short-term IDR to 'F2' from 'F1;. People's United Bank --Long-term IDR to 'BBB+' from at 'A-';  --Viability rating to 'bbb+' from 'a-'; --Subordinated debt to 'BBB' from 'BBB+' --Long-term deposits to 'A-' from 'A'; --Short-term IDR to 'F2' from 'F1'; --Short-term deposits to 'F2' from 'F1'. Chittenden Corporation --Subordinated debt to 'BBB' from 'BBB+'. Fitch has affirmed the following ratings People's United Financial, Inc. --Support at '5'; --Support floor at 'NF'. People's United Bank --Support at '5'; --Support floor at 'NF'. Contact: Primary Analyst  Jaymin Berg, CPA Director +1-212-908-0368 Fitch Ratings, Inc. 33 Whitehall St. New York, NY 10004 Secondary Analyst Ryan Doyle Director +1-212-908-9162 Committee Chairperson Christopher Wolfe Managing Director +1-212-908-0771 Media Relations: Alyssa Castelli, New York, Tel: +1 (212) 908 0540, Email:  alyssa.castelli@fitchratings.com; Elizabeth Fogerty, New York, Tel: +1 (212) 908  0526, Email: elizabeth.fogerty@fitchratings.com. Additional information is available at 'www.fitchratings.com'. Applicable Criteria and Related Research: --U.S. Banking Quarterly comment: 4Q14 (Jan. 28, 2015); --U.S. Banks: The Risks with Energy Slide (Jan. 16, 2015); --U.S. Basel III and Dodd Frank Act Regulatory Guide (Nov. 21, 2014); --'2015 Outlook: U.S. Banks (Growth in a Challenging Rate Environment)' (Nov.  12, 2014); --'U.S. Banks: Implications of an Interest Rate Shock Scenario' (Oct. 30, 2014); --U.S. Banks: Liquidity and Deposit Funding (Aug. 8, 2013); --U.S. Banks: Interest Rate Risks (What Happens When Rates Rise) (June 18,  2013); --U.S. Bank Mergers and Acquisitions -- When Will The Catalysts Kick In? (July  11, 2013); --'Index Trend Analysis - 4Q14 (Fitch Fundamentals Index Remains Neutral)' (Jan.  15, 2015); --'Risk Radar Global 3Q14' (Sept. 15, 2014); --'Global Financial Institutions Rating Criteria' (Jan. 31, 2014);  --'Rating FI Subsidiaries and Holding Companies' (Aug. 10, 2012); --'Assessing and Rating Bank Subordinated and Hybrid Securities Criteria' (Jan.  31, 2014); --'U.S. Bank HoldCos & OpCos: Evolving Risk Profiles' (March 27, 2014); --'Rating Considerations for U.S. Bank Holdco & Opcos' (Update on Position  Outlined in 1Q14) (Dec. 1, 2014). Additional Disclosure  Solicitation Status  here ALL FITCH CREDIT RATINGS ARE SUBJECT TO CERTAIN LIMITATIONS AND DISCLAIMERS.  PLEASE READ THESE LIMITATIONS AND DISCLAIMERS BY FOLLOWING THIS LINK:  here. IN ADDITION, RATING  DEFINITIONS AND THE TERMS OF USE OF SUCH RATINGS ARE AVAILABLE ON THE AGENCY'S  PUBLIC WEBSITE 'WWW.FITCHRATINGS.COM'. PUBLISHED RATINGS, CRITERIA AND  METHODOLOGIES ARE AVAILABLE FROM THIS SITE AT ALL TIMES. FITCH'S CODE OF  CONDUCT, CONFIDENTIALITY, CONFLICTS OF INTEREST, AFFILIATE FIREWALL, COMPLIANCE  AND OTHER RELEVANT POLICIES AND PROCEDURES ARE ALSO AVAILABLE FROM THE 'CODE OF  CONDUCT' SECTION OF THIS SITE. FITCH MAY HAVE PROVIDED ANOTHER PERMISSIBLE  SERVICE TO THE RATED ENTITY OR ITS RELATED THIRD PARTIES. DETAILS OF THIS  SERVICE FOR RATINGS FOR WHICH THE LEAD ANALYST IS BASED IN AN EU-REGISTERED  ENTITY CAN BE FOUND ON THE ENTITY SUMMARY PAGE FOR THIS ISSUER ON THE FITCH  WEBSITE.   ",2015-01-30,PBCT,"Fri Jan 30, 2015 | 3:15pm EST",Fitch Downgrades People's United Financial's Ratings to 'BBB+/F2'; Outlook Stable,http://www.reuters.com//article/idUSFit91249620150130?type=companyNews
2,"  (The following statement was released by the rating agency) CHICAGO, July 06 (Fitch) Fitch Ratings plans to withdraw the ratings on People's  United Financial, Inc. and subsidiaries on or about Aug. 6, 2015, for commercial  reasons.  Fitch currently rates People's United Financial, Inc. as follows:  People's United Financial, Inc. --Long-term Issuer Default Rating (IDR) 'BBB+';  --Viability rating 'bbb+';  --Senior unsecured 'BBB+'; --Short-term IDR 'F2'. People's United Bank --Long-term IDR 'BBB+'; --Viability rating 'bbb+'; --Subordinated debt 'BBB'; --Long-term deposits 'A-'; --Short-term IDR 'F2'; --Short-term deposits 'F2'.  Chittenden Corporation -Subordinated debt 'BBB'.  People's United Financial, Inc. --Support '5'; --Support floor 'NF'. People's United Bank --Support '5'; --Support floor 'NF'. Fitch reserves the right in its sole discretion to withdraw or maintain any  rating at any time for any reason it deems sufficient. Fitch believes that  investors benefit from increased rating coverage by Fitch and is providing  approximately 30 days' notice to the market on the withdrawal. Ratings are  subject to analytical review and change up to the time Fitch withdraws the  ratings. Fitch's last rating action for the above referenced entities was on Jan. 30,  2015. The ratings were downgraded with a Stable Outlook Contact:  Daniel Whalen Senior Director +1-312-368-2067Fitch Ratings, Inc. 70 West Madison Street Chicago IL 60602 Media Relations: Alyssa Castelli, New York, Tel: +1 (212) 908 0540, Email:  alyssa.castelli@fitchratings.com. Additional information is available at 'www.fitchratings.com'. ALL FITCH CREDIT RATINGS ARE SUBJECT TO CERTAIN LIMITATIONS AND DISCLAIMERS.  PLEASE READ THESE LIMITATIONS AND DISCLAIMERS BY FOLLOWING THIS LINK:  here. IN ADDITION, RATING  DEFINITIONS AND THE TERMS OF USE OF SUCH RATINGS ARE AVAILABLE ON THE AGENCY'S  PUBLIC WEBSITE 'WWW.FITCHRATINGS.COM'. PUBLISHED RATINGS, CRITERIA AND  METHODOLOGIES ARE AVAILABLE FROM THIS SITE AT ALL TIMES. FITCH'S CODE OF  CONDUCT, CONFIDENTIALITY, CONFLICTS OF INTEREST, AFFILIATE FIREWALL, COMPLIANCE  AND OTHER RELEVANT POLICIES AND PROCEDURES ARE ALSO AVAILABLE FROM THE 'CODE OF  CONDUCT' SECTION OF THIS SITE. FITCH MAY HAVE PROVIDED ANOTHER PERMISSIBLE  SERVICE TO THE RATED ENTITY OR ITS RELATED THIRD PARTIES. DETAILS OF THIS  SERVICE FOR RATINGS FOR WHICH THE LEAD ANALYST IS BASED IN AN EU-REGISTERED  ENTITY CAN BE FOUND ON THE ENTITY SUMMARY PAGE FOR THIS ISSUER ON THE FITCH  WEBSITE.   ",2015-07-06,PBCT,"Mon Jul 6, 2015 | 5:06pm EDT","Fitch Plans to Withdraw Ratings of People's United Financial, Inc. and Subsidiaries",http://www.reuters.com//article/idUSFit92799720150706?type=companyNews
3,"  * Oil prices fall more than 4 pct* Saudi oil minister rules out production cut* JPMorgan off as it girds for more energy losses* Fitbit sinks after weak forecast* Indexes down: Dow 1 pct, S&P 1 pct, Nasdaq 1.07 pct   (Updates to late afternoon)By Lewis KrauskopfFeb 23 Wall Street slid on Tuesday on pressure from a renewed drop in oil prices, snapping a rally that had helped the market rebound from its sluggish start to 2016. The major U.S. indexes were off about 1 percent. Crude prices sank more than 4 percent as Saudi Oil Minister Ali Al-Naimi effectively ruled out production cuts anytime soon.Equity markets this year have been tightly linked to the daily fluctuations of battered oil prices. Energy shares  tumbled 2.7 percent on Tuesday, leading declines among S&P sectors.""The markets are really worried that we are missing something here - that the global slowdown may be more significant than we are recognizing and that slowdown could be causing oil prices to drop, and commodities prices in general,"" said Tracie McMillion, head of asset allocation at Wells Fargo Private Bank in Winston-Salem, North Carolina. The Dow Jones industrial average was falling 167.03 points, or 1 percent, at 16,453.63, the S&P 500 was losing 19.47 points, or 1 percent, at 1,926.03 and the Nasdaq Composite was dropping 48.77 points, or 1.07 percent, at 4,521.84.In a sign of the spreading toll from low oil prices, JP Morgan, the largest U.S. bank by assets, said it would  increase provisions for expected losses on bad energy loans by more than 60 percent in the first quarter. Its shares dropped 4 percent.Financial shares, the worst performing group this year, fell another 1.6 percent on Tuesday. Nine of the 10 S&P sectors were negative. After posting its best week of the year last week, the S&P had climbed another 1.5 percent on Monday. It remains down about 6 percent this year.""Having the market take a little bit of profit wasn't a surprise to us,"" said John Traynor, chief investment officer of People's United Wealth Management in Bridgeport, Connecticut. ""We think this is just a small setback in an ongoing recovery. We have been telling clients that we are in a bottoming process.""Fitbit sank 19.4 percent to $13.31 after the wearable fitness device maker forecast profit below estimates.Western Digital dropped 6.5 percent to $43.12 after it cut the price of its planned acquisition of rival U.S. hard-disk maker SanDisk Corp by more than $3 billion after losing a big investment from China's Unisplendour Corp Ltd . SanDisk fell 1.5 percent.Declining issues outnumbered advancing ones on the NYSE by 1,947 to 1,056, for a 1.84-to-1 ratio on the downside; on the Nasdaq, 1,709 issues fell and 998 advanced for a 1.71-to-1 ratio favoring decliners.The S&P 500 posted 9 new 52-week highs and no new lows; the Nasdaq recorded 22 new highs and 37 new lows.     (Reporting by Lewis Krauskopf and Chuck Mikolajczak in New York; additional reporting by Abhiram Nandakumar in Bengaluru; Editing by Saumyadeb Chakrabarty and Chizu Nomiyama)",2016-02-23,PBCT,"Tue Feb 23, 2016 | 2:56pm EST",US STOCKS-Wall St slides as oil prices hit again,http://www.reuters.com//article/usa-stocks-idUSL2N1621TH?type=companyNews
4,"  June 27 People's United Financial Inc* People's United Financial, Inc. to acquire Suffolk Bancorp; transaction valued at approximately $402 million* Sees deal to be accretive to earnings, excluding one-time costs * Suffolk Bancorp shareholders will receive 2.225 shares of People's United Financial stock for each Suffolk Bancorp share * Transaction is valued at $33.55 per Suffolk Bancorp share * Receipt of People's United Financial stock by shareholders of Suffolk Bancorp is expected to be tax-free* Suffolk CEO Howard Bluver will join People's United Bank as New York Market President  Source text for Eikon:  Further company coverage:    (Bengaluru Newsroom; +1 646 223 8780)",2016-06-27,PBCT,"Mon Jun 27, 2016 | 9:23am EDT","BRIEF-People's United Financial, Inc. to acquire Suffolk Bancorp",http://www.reuters.com//article/idUSFWN19J0H4?type=companyNews
5,"  July 21 People's United Financial Inc :* Q2 net interest margin decreased four basis points from 1Q to 2.79%* People's United Financial reports second quarter net income of $68.5 million, or $0.23 per share * Q2 earnings per share $0.23 * Q2 earnings per share view $0.22 -- Thomson Reuters I/B/E/S * Net interest income totaled $240.0 million in Q2 compared to $240.1 million in Q1  Source text for Eikon:  Further company coverage:    (Bengaluru Newsroom: +1-646-223-8780)",2016-07-21,PBCT,"Thu Jul 21, 2016 | 4:26pm EDT",BRIEF-People's United Financial Q2 earnings per share $0.23,http://www.reuters.com//article/idUSASC08XRD?type=companyNews
6,  July 22 People's United Financial Inc : * People's United Financial Inc sees 2016 net interest income growth in the range of 5% to 7% -SEC filing  Source text for Eikon:  Further company coverage:    (Bengaluru Newsroom : +1-646-223-8780)  ,2016-07-22,PBCT,"Fri Jul 22, 2016 | 8:36am EDT",BRIEF-People's United Financial Inc sees 2016 net interest income growth of 5-7 pct,http://www.reuters.com//article/idUSFWN1A80RW?type=companyNews
7,  Sept 20 People's United Financial Inc * Files for mixed shelf by selling securityholders; amount undisclosed  Source text for Eikon:  Further company coverage:  ,2016-09-20,PBCT,"Tue Sep 20, 2016 | 4:26pm EDT",BRIEF-People's United Financial files for mixed shelf by selling securityholders amount undisclosed,http://www.reuters.com//article/idUSFWN1BW0PP?type=companyNews
8,"  Oct 13 Suffolk Bancorp * Suffolk shareholders approve the proposed merger of suffolk bancorp and people's united financial, inc.  Source text for Eikon:  Further company coverage:  ",2016-10-13,PBCT,"Thu Oct 13, 2016 | 1:33pm EDT",BRIEF-Suffolk shareholders approve proposed merger of Suffolk Bancorp and People's United,http://www.reuters.com//article/idUSFWN1CJ0TB?type=companyNews
9,"  Oct 24 People's United Financial Inc* Announces pricing of offering of preferred stock  * Says priced public offering of 10 million shares of fixed-to-floating rate non-cumulative perpetual preferred stock, series a, par value $0.01/share  Source text for Eikon:  Further company coverage: ",2016-10-24,PBCT,"Mon Oct 24, 2016 | 7:23pm EDT",BRIEF-People's United announces pricing of offering of preferred stock,http://www.reuters.com//article/idUSASC09CNM?type=companyNews
