,Article,Date,Symbol,Time,Title,Url
0,"  WARSAW Jan 20 Polish utility PGE has agreed financing guarantees of up to 3.1 billion zlotys ($1 billion) with bank PKO BP for investments such as its Opole project, the company said on Monday.PGE, which is Poland's biggest power producer, said in December that it would start work on the 11.6 billion zloty project to build a coal-fired power plant at Opole in February.The project, which is Poland's biggest investment in the coal-based power sector, was the focus of a row between PGE's former chief executive Krzysztof Kilian and Poland's government. Kilian, who resigned last year, opposed the plan to build two 900 megawatt units at Opole, arguing that it was unprofitable because of low power prices. But Polish Prime Minister Donald Tusk insisted on the project going ahead to improve the country's energy security. ($1 = 3.0670 Polish zlotys) (Reporting By Karolina Slowikowska; Editing by David Goodman)",2014-01-20,PCG,"Mon Jan 20, 2014 | 12:43pm EST",Polish utility PGE secures $1 bln financing guarantees from PKO,http://www.reuters.com//article/pge-guarantees-idUSL5N0KU38H20140120?type=companyNews
1,"  WARSAW Poland's top utility PGE is looking for technology and financial partners for a long-term project to build Poland's first nuclear power plant, expected to be worth up to 60 billion zlotys ($19.5 billion), it said on Wednesday.Poland, which now generates nearly all its electricity from ageing, coal-fired power plants, wants to make its energy sector more efficient and cut carbon emissions.""We now have the period of searching for a partner to provide the technology and a partner to participate financially,"" PGE's chief executive and Poland's former energy market regulator Marek Woszczyk told a news conference.State-controlled PGE, the project's coordinator, has until end-2016 to pick a site and find a technological partner. The government's strategy is to build a 3 gigawatt nuclear power plant, with the first block to be finished by the end of 2024 and the whole project to be finalized by 2030.The nuclear project has had a series of setbacks. PGE has voiced concerns over its financing, especially as the group is also involved in a costly search for shale gas in Poland. But eastern Europe's largest economy is battling to limit its energy sector's dependence on Russia, which only two weeks ago signed a deal to expand the only nuclear power plant in Hungary.PGE said it wanted to control the special investment company set up to run the nuclear plant's construction. Possible partners include Polish state-controlled Tauron, Enea, and KGHM, but no deal has yet been signed. ""PGE wants to have a controlling stake in the company, at least 70 percent,"" PGE's Woszczyk said. ""We do not rule our the scenario of adding partners - financial or strategic.""($1 = 3.0747 Polish zlotys)(Reporting by Karolina Slowikowska; Writing by Adrian Krajewski, editing by David Evans)",2014-01-29,PCG,"Wed Jan 29, 2014 | 7:11am EST",PGE seeks partners for Poland's $19.5 billion first nuclear plant,http://www.reuters.com//article/us-poland-atom-idUSBREA0S0VG20140129?type=companyNews
2,"  WASHINGTON Feb 7 Senate Democrats urged U.S. power regulators on Friday to consider whether additional safety standards were needed to protect power plants after a sniper attack disrupted operations at a California utility last year.Calling the April 2013 attack in California's Silicon Valley a ""wake-up call,"" the lawmakers said the Federal Energy Regulatory Commission and North American Electric Reliability Corporation should weigh enacting mandatory rules to increase protection at utilities. ""We are concerned that voluntary measures may not be sufficient to constitute a reasonable response to the risk of physical attack on the electricity system,"" the senators said in a letter on Friday to the regulators. It was signed by Senate majority leader Harry Reid, outgoing energy committee head Ron Wyden, intelligence committee head Dianne Feinstein and Minnesota Democrat Al Franken. Unknown assailants fired a high-powered rifle at electric transformers owned by PG&E Corp's Pacific Gas and Electric utility, hitting the structures more than 100 times. Last week, the senators met with government and industry officials to discuss the utility sector's response to the shooting incident and efforts to prevent similar physical attacks.",2014-02-08,PCG,"Fri Feb 7, 2014 | 7:34pm EST",Calif. utility attack should prompt U.S. safety review-Democrats,http://www.reuters.com//article/usa-grid-safety-idUSL2N0LC1WB20140208?type=companyNews
3,"  WARSAW Poland's biggest utility group PGE PGE.WA picked a Hitachi-led consortium to build a coal-fired power unit at a price of 3.25 billion zlotys ($1.07 billion), a member of the consortium said.The consortium selected to build the 430-450 megawatt unit at PGE's Turow plant in south-eastern Poland comprises Hitachi Power Europe, MHPS Europe, Tecnicas Reunidas (TRE.MC) and Budimex BDXP.WA , a Polish unit of Spanish firm Ferrovial FERC.MC.Budimex said in a statement on Tuesday that works on the unit are to take 56 months from the moment when construction gets underway. The statement said that Hitachi Power Europe and MHPS Europe's combined share in the consortium was set at 55.4 percent, while Tecnicas Reunidas and Budimex have 22.3 percent each. Poland's coal-reliant energy sector requires heavy investment, because many plants are past their prime. The new unit at PGE's Turow plant is designed to replace older ones at the plant in five years. ($1 = 3.0257 Polish Zlotys)(Reporting by Marcin Goclowski; Editing by Christian Lowe)",2014-03-18,PCG,"Tue Mar 18, 2014 | 2:29pm EDT",Hitachi-led consortium wins $1 billion contract from PGE,http://www.reuters.com//article/us-poland-budimex-hitachi-capital-idUSBREA2H1V820140318?type=companyNews
4,"  WARSAW, March 18 Poland's biggest utility group PGE picked a Hitachi-led consortium to build a coal-fired power unit at a price of 3.25 billion zlotys ($1.07 billion), a member of the consortium said.The consortium selected to build the 430-450 megawatt unit at PGE's Turow plant in south-eastern Poland comprises Hitachi Power Europe, MHPS Europe, Tecnicas Reunidas and Budimex, a Polish unit of Spanish firm Ferrovial . Budimex said in a statement on Tuesday that works on the unit are to take 56 months from the moment when construction gets underway. The statement said that Hitachi Power Europe and MHPS Europe's combined share in the consortium was set at 55.4 percent, while Tecnicas Reunidas and Budimex have 22.3 percent each. Poland's coal-reliant energy sector requires heavy investment, because many plants are past their prime. The new unit at PGE's Turow plant is designed to replace older ones at the plant in five years.     ($1 = 3.0257 Polish Zlotys)   (Reporting by Marcin Goclowski; Editing by Christian Lowe)",2014-03-18,PCG,"Tue Mar 18, 2014 | 2:26pm EDT",Hitachi-led consortium wins $1 bln contract from PGE,http://www.reuters.com//article/poland-budimex-hitachi-capital-idUSL6N0MF4YH20140318?type=companyNews
5,"  March 27 PG&E Corp said it expects the U.S. government to file criminal charges against the company over the deadly 2010 San Bruno gas line rupture and fire that destroyed a neighborhood and killed eight people.The company said it was in discussions with the U.S. attorney's office to reach a fair resolution but expected to be charged with violating the federal Pipeline Safety Act in relation to record keeping, pipeline integrity management and identification of pipeline threats.PG&E said the ""criminal charges are not merited and that PG&E employees did not intentionally violate the federal Pipeline Safety Act."" A natural gas pipeline explosion in the city just south of San Francisco destroyed a neighborhood, killing eight people on Sept. 9, 2010. The National Transportation Safety Board later blamed the utility's lax approach to pipeline safety and weak oversight by state and federal regulators. The company said on Thursday that after the accident, it adopted new pipeline safety standards and committed to spend $2.7 billion of shareholder money to fund safety-related work. PG&E also settled claims amounting to nearly $500 million with the victims and families of the San Bruno accident, the company said.(Reporting by Rohit T. K. in Bangalore; Editing by Richard Chang)",2014-03-27,PCG,"Thu Mar 27, 2014 | 7:50pm EDT",PG&E expects criminal charges over 2010 San Bruno pipeline explosion,http://www.reuters.com//article/pg-e-criminalcharges-idUSL4N0MO4XZ20140327?type=companyNews
6,"  April 1 PG&E Corp was hit on Tuesday with federal criminal charges involving safety violations related to a deadly 2010 natural gas line rupture and fire in San Bruno, California, that destroyed a neighborhood killed eight people.The U.S. Attorney's Office alleges that PG&E knowingly and willfully violated the Pipeline Safety Act between 2003 and 2010.Reuters had earlier reported that the utility provider was in discussions with the U.S. Attorney's office in an attempt to reach a fair settlement but expected to face federal charges related to record keeping, pipeline integrity management and identification of pipeline threats.""PG&E believes that its employees did not intentionally violate the federal Pipeline Safety Act,"" the company said in a statement on Tuesday. The California Public Utilities Commission had also proposed fining the company $2.25 billion over the incident, requiring the utility to spend the entire fine on safety. The charges come more than three years after a rupture in a portion of a high-pressure gas transmission pipeline, Line 132, caused a fire, killing eight people and injuring 58 others in a residential neighbourhood in the city of San Bruno.The incident related to the pipeline operated by the company in the Northern District of California also damaged 108 homes. The company has also settled claims amounting to nearly $500 million with the affected victims and families.The case no. is 14-cr-00175 in the United States District Court for the Northern District of California.   (Reporting by Narottam Medhora in Bangalore; Editing by Lisa Shumaker)",2014-04-02,PCG,"Tue Apr 1, 2014 | 9:53pm EDT",PG&E faces U.S. federal charges over deadly 2010 pipeline explosion,http://www.reuters.com//article/pge-criminalcharges-idUSL4N0MU0C020140402?type=companyNews
7,"  WARSAW, July 1 The Polish state wants to sell around 65 million of its shares in energy firm PGE, with Deutsche Bank, Goldman Sachs and Unicredit to organise the transaction, Deutsche Bank said in a statement on Tuesday.The sale is to take place via accelerated book-building. On the basis of Tuesday's closing price, the 3.47-percent stake in PGE would be worth 1.42 billion zlotys ($468.63 million).  At the moment, the Polish state treasury holds a 61.9 percent stake in the company, according to Reuters data. ($1 = 3.0376 Polish Zlotys)   (Reporting by Simon Jessop; Writing by Marcin Goclowski; Editing by Christian Lowe) ",2014-07-01,PCG,"Tue Jul 1, 2014 | 11:47am EDT",Poland plans to sell $470 mln stake in energy firm PGE,http://www.reuters.com//article/poland-pge-polska-stake-idUSW8N0OU01I20140701?type=companyNews
8,"  A federal grand jury for the Northern District of California charged PG&E Corp on Tuesday alleging it obstructed the investigation of the National Transportation Safety Board (NTSB) into the deadly San Bruno natural gas explosion in 2010.The indictment alleges that the company provided the NTSB with a version of a policy outlining the way in which PG&E addressed manufacturing threats on its gas pipelines during the investigation that was later withdrawn.In addition, the indictment charges the company with 27 counts of ""knowingly and willfully"" violating the Natural Gas Pipeline Safety Act of 1968, according to a statement from the U.S. Attorney's Office. (1.usa.gov/1nFKx5l) A natural gas pipeline explosion in the city just south of San Francisco destroyed a neighborhood and killed eight people on Sept. 9, 2010. The National Transportation Safety Board later blamed the utility's lax approach to pipeline safety and weak oversight by state and federal regulators. PG&E said in March that it expected the U.S. government to file criminal charges against the company.  The utility has been hit with multiple fines connected to the disaster and paid $70 million to settle related claims in 2012.   (Reporting by Narottam Medhora in Bangalore and Daniel Levine in San Francisco; Editing by Eric Walsh)",2014-07-30,PCG,"Wed Jul 30, 2014 | 8:43am EDT",PG&E charged with obstruction in San Bruno natgas blast probe,http://www.reuters.com//article/us-pg-e-charges-sanbruno-idUSKBN0FZ02H20140730?type=companyNews
9,"  July 29 A federal grand jury for the Northern District of California charged PG&E Corp on Tuesday alleging it obstructed the investigation of the National Transportation Safety Board (NTSB) into the deadly San Bruno natural gas explosion in 2010.The indictment alleges that the company provided the NTSB with a version of a policy outlining the way in which PG&E addressed manufacturing threats on its gas pipelines during the investigation that was later withdrawn.In addition, the indictment charges the company with 27 counts of ""knowingly and willfully"" violating the Natural Gas Pipeline Safety Act of 1968, according to a statement from the U.S. Attorney's Office. (1.usa.gov/1nFKx5l) A natural gas pipeline explosion in the city just south of San Francisco destroyed a neighborhood and killed eight people on Sept. 9, 2010. The National Transportation Safety Board later blamed the utility's lax approach to pipeline safety and weak oversight by state and federal regulators. PG&E said in March that it expected the U.S. government to file criminal charges against the company. The utility has been hit with multiple fines connected to the disaster and paid $70 million to settle related claims in 2012.    (Reporting by Narottam Medhora in Bangalore and Daniel Levine in San Francisco; Editing by Eric Walsh)",2014-07-30,PCG,"Tue Jul 29, 2014 | 9:01pm EDT",PG&E charged with obstruction in San Bruno natgas blast probe,http://www.reuters.com//article/pg-e-charges-sanbruno-idUSL4N0Q509920140730?type=companyNews
