,Article,Date,Symbol,Time,Title,Url
0,"  Raptors nip Nets on Patterson's steal, hoopNEW YORK -- Patrick Patterson hasn't played football since he was at Huntington High School in West Virginia, but the 6-foot-9 forward looked like a Pro Bowl defensive back in the waning seconds of the Toronto Raptors' 104-103 victory over the Brooklyn Nets on Monday night at the Barclays Center.""Me, Richard Sherman, Ed Reed, we're all in the same category,"" the playful Patterson said.Patterson not only stole guard Deron Williams inbound pass with 10.9 seconds remaining, but he also sank the game-winning 12-foot jumper for Toronto, which won for the third time in four games.Patterson, who scored 15 points off the bench, gained some personal redemption after an air ball on a 3-point attempt with 42.9 seconds remaining in the fourth quarter that would have given the Raptors the lead.""That felt great,"" Patterson said. ""I was saying to myself after that air ball it would have been a perfect opportunity to pump-fake, one dribble and pull up, but I'm thankful I had another opportunity."" Kyle Lowry torched the Nets for 31 points -- one shy of his season high -- on 10-of-18 shooting, including 4-of-7 from 3-point range. However, the guard's biggest play came on his seventh assist, when he found Patterson in the closing seconds.""Honestly, it would have been tough passes to others,"" said Lowry, who also had five rebounds, five steals and buried a 48-footer to beat the halftime buzzer. ""It was the safest pass for me, and I have confidence in Pat. He shot the air ball earlier in the corner, but I have confidence he is going to make that shot every time.""Toronto center Jonas Valanciunas had 20 points and 13 rebounds while playing stellar defense against future Hall of Famer Kevin Garnett (six points). Guard Greivis Vasquez had 12, and swingman Terrence Ross added 10 points for the Raptors (23-21). Toronto was playing without leading scorer DeMar DeRozan, who missed the game due to a sprained left foot. ""It takes a whole village to win the game, and we did,"" Raptors coach Dwane Casey said. ""We knew that. It took everybody tonight, and everybody that stepped on the court contributed.""Paul Pierce scored a season-high 33 points, including three 3-pointers as part of a 15-2 run for the Nets (20-23) in the fourth quarter. The veteran guard knocked down seven treys, but he missed a desperation heave as time expired.""He was great, he was great on both ends,"" Nets coach Jason Kidd said of Pierce. ""That's a veteran guy understanding the magnitude of a game like this at home against a team that's in front of you. He definitely had a big game."" Forward Andray Blatche came off the bench to score 20 points, and guard Joe Johnson added 12 points for Brooklyn, which had its season-high, five-game winning streak snapped.""It's tough,"" Pierce said. ""We fought so hard to come back, but we put ourselves in a bad position. We got down late, we got down in the fourth quarter and we had to claw our way back. We gave ourselves a chance to win. Sometimes that's all you can ask for. We just didn't execute properly down the stretch.""Toronto did, though, in an airtight battle between the top two teams in the Atlantic Division that featured 18 lead changes and nine ties.""It's just all about our toughness, our resiliency,"" Patterson said. ""No matter who is out there during the course of the game, no matter who's not playing, the guys on this team, we step up every single night and we put our hearts on the line.""NOTES: Toronto G DeMar DeRozan, who sprained his left foot in the third quarter Saturday against the Los Angeles Clippers, missed his first game since April 26, 2012. The Raptors' leading scorer (21.8 points per game) did not make the trip, snapping a streak of 125 consecutive starts dating back to Oct. 31, 2012. DeRozan has missed just eight games in five seasons with the Raptors. ... Also out for Toronto was F Landry Fields (right wrist surgery). ... Several players from the Seattle Seahawks watched the game from a Barclays Center suite. Cornerback Richard Sherman sat courtside. ... The Nets are the first team since the 1995-96/1996-97 Chicago Bulls to start January 10-1 or better in back-to-back years, according to Elias Sports Bureau. ... The Nets remain in Brooklyn to take on the Oklahoma City Thunder on Friday night. ... The Raptors return to Toronto to play the Orlando Magic on Wednesday.",2014-01-28,PDCO,"Mon Jan 27, 2014 | 10:34pm EST","Raptors nip Nets on Patterson's steal, hoop",http://www.reuters.com//article/bkn-raptors-nets-writethru-idUSMTZEA1S3CRDQC20140128?type=companyNews
1,"   By Liana B. Baker | April 17  April 17 George Patterson, a managing director at Barclays Plc who was co-head of software, has left the bank, sources familiar with the matter said on Friday.Patterson joined the bank when Lehman Brothers was acquired in 2008. His most recent title was co-Head of Global Software, Systems & Solutions Investment Banking, according to his LinkedIn page. It wasn't yet clear what Patterson would do next. Patterson had spent about five years in London as a technology investment banker for Barclays until 2013 when he moved to New York.The sources did not want to speak on the record because the matter is not yet public. A Barclays spokesman declined to comment. Patterson did not respond to a request for comment. The tech, media and telecom group at Barclays has been hiring in recent months. In March it said it had brought on former Blackstone Group LP advisory banker Peter Cohen as its global head of media banking.  .(Editing by Ted Botha)",2015-04-17,PDCO,"Fri Apr 17, 2015 | 4:28pm EDT",MOVES-Senior software banker leaves Barclays -sources,http://www.reuters.com//article/moves-barclays-george-patterson-idUSL2N0XE26Y20150417?type=companyNews
2,"   By Greg Roumeliotis and Olivia Oran  Medical device supplier Patterson Companies Inc is looking to sell its rehabilitation supply business in a deal that could fetch between $500 million and $600 million, people familiar with the matter said on Friday.Saint Paul, Minnesota-based Patterson has hired investment bank Bank of America Corp to assist with the potential sale, the people said, asking not be named because the matter is private.Patterson and Bank of America declined to comment. Patterson, which has a market capitalization of around $4.9 billion, makes dental products, veterinary supplies and rehabilitation medical supplies for hospitals and long-term care facilities. Its rehabilitation unit, called Patterson Medical and headquartered in Warrenville, Illinois, had net sales of $478 million in fiscal year 2014, comprising 12 percent of Patterson's annual revenue. Net sales for the rehabilitation unit fell 5 percent in 2014 compared with the same period in the year before, while net sales for Patterson's dental and veterinary businesses grew.  On Patterson's most recent earnings call, Chief Executive Officer Scott Anderson said, ""We continue to evaluate the strategic fit of Patterson Medical inside our portfolio but feel really good about where that business sits today in terms of the execution of the team's focus in Chicago and overseas."" Morningstar analyst Michael Waterhouse said in a research note in December that, while Patterson operates in the attractive dental and animal health markets, he is ""less enthusiastic"" about the medical segment because of government-based reimbursement risk.  Patterson acquired its rehabilitation business, then called AbilityOne, in 2003 from JPMorgan Chase & Co's former private equity arm. (Reporting by Greg Roumeliotis and Olivia Oran in New York; Editing by Diane Craft and Jonathan Oatis)",2015-04-17,PDCO,"Fri Apr 17, 2015 | 3:46pm EDT",Patterson seeks sale of rehabilitation supply unit: sources,http://www.reuters.com//article/us-patterson-m-a-pattersonmedical-idUSKBN0N829I20150417?type=companyNews
3,"  (Adds details on the company)By Greg Roumeliotis and Olivia OranApril 17 Medical device supplier Patterson Companies Inc is looking to sell its rehabilitation supply business in a deal that could fetch between $500 million and $600 million, people familiar with the matter said on Friday.Saint Paul, Minnesota-based Patterson has hired investment bank Bank of America Corp to assist with the potential sale, the people said, asking not be named because the matter is private. Patterson and Bank of America declined to comment.Patterson, which has a market capitalization of around $4.9 billion, makes dental products, veterinary supplies and rehabilitation medical supplies for hospitals and long-term care facilities. Its rehabilitation unit, called Patterson Medical and headquartered in Warrenville, Illinois, had net sales of $478 million in fiscal year 2014, comprising 12 percent of Patterson's annual revenue.Net sales for the rehabilitation unit fell 5 percent in 2014 compared with the same period in the year before, while net sales for Patterson's dental and veterinary businesses grew. On Patterson's most recent earnings call, Chief Executive Officer Scott Anderson said, ""We continue to evaluate the strategic fit of Patterson Medical inside our portfolio but feel really good about where that business sits today in terms of the execution of the team's focus in Chicago and overseas.""Morningstar analyst Michael Waterhouse said in a research note in December that, while Patterson operates in the attractive dental and animal health markets, he is ""less enthusiastic"" about the medical segment because of government-based reimbursement risk.Patterson acquired its rehabilitation business, then called AbilityOne, in 2003 from JPMorgan Chase & Co's former private equity arm.   (Reporting by Greg Roumeliotis and Olivia Oran in New York; Editing by Diane Craft and Jonathan Oatis)",2015-04-17,PDCO,"Fri Apr 17, 2015 | 3:44pm EDT",UPDATE 1-Patterson seeks sale of rehabilitation supply unit-sources,http://www.reuters.com//article/patterson-ma-pattersonmedical-idUSL2N0XE1V020150417?type=companyNews
4,"  April 17 Medical device supplier Patterson Companies Inc is looking to sell its rehabilitation supply business in a deal that could fetch between $500 million to $600 million, people familiar with the matter said on Friday.Saint Paul, Minnesota-based Patterson has hired investment bank Bank of America Corp to assist with the potential sale, the people said, asking not be named because the matter is private. Patterson and Bank of America declined to comment.  The rehabilitation unit, called Patterson Medical and headquartered in Warrenville, Illinois, had net sales of $478 million in fiscal year 2014, comprising 12 percent of Patterson's annual revenue.    (Reporting by Olivia Oran and Greg Roumeliotis in New York; Editing by Diane Craft)",2015-04-17,PDCO,"Fri Apr 17, 2015 | 3:29pm EDT",Patterson Companies seeks sale of rehabilitation supply unit-sources,http://www.reuters.com//article/patterson-ma-pattersonmedical-idUSL2N0XE1U720150417?type=companyNews
5,"  (Adds Exor, Sika, ANZ, Holcim)May 4 The following bids, mergers, acquisitions and disposals were reported by 2000 GMT on Monday:** Patterson Cos Inc said it would buy privately held veterinary products maker Animal Health International Inc for $1.1 billion. The company also said it was looking to sell its medical rehabilitation business.** Luxembourg-based metals trader Traxys Group offered 294 million rand ($24.42 million) to buy South African rival Metmar Ltd. Shortly after the market closed on Thursday, Traxys said it had offered Metmar 1.10 cents per share - a 23 percent premium on Thursday's closing price.** Swedish buyout group EQT said it has bought the rest of E.ON's waste-burning unit Energy from Waste, using more of its cash to invest in the infrastructure sector. The value of the transaction was not disclosed.** Italy's Exor said on Monday it remained fully committed to its $6.4 billion offer for PartnerRe after the Bermuda-based reinsurer rejected its attempt to trump a bid by Axis Capital Holdings.** The Swiss financial regulator on Monday denied an appeal by investors including Bill Gates over a proposed 2.75 billion Swiss franc ($3 billion) takeover of Swiss firm Sika by French rival Saint-Gobain.** Australia and New Zealand Banking Group said it plans to sell its car and equipment finance business, which has $6.5 billion worth of outstanding customer loans, in a bid to cut its capital requirements under tough new rules. ** The third-largest shareholder in Holcim said on Monday that it has backed the Swiss cement maker's merger with French rival Lafarge.** Australia's Macquarie Group Ltd is looking to recruit precious metals trading team of Jefferies Group LLC's  commodities brokerage, two sources familiar with the matter said on Friday. Jefferies, which is owned by Leucadia National Corp, said last month that it would sell most of its Bache unit's commodities and financial derivatives accounts to Societe Generale.** German business software company SAP said on Friday that it was not considering acquiring online rival Salesforce.com Inc, after a news report suggested the leaders of the two companies had held talks about strategic alliances last year. ** Malaysian construction firm IJM Corp Bhd is considering buying Edra Global Energy Bhd, the power assets owned by debt-laden state investment arm 1Malaysia Development Bhd (1MDB), financial weekly the Edge Malaysia reported on Saturday, citing industry sources.** The Irish government does not need to sell part of its 99-percent stake in Allied Irish Banks before parliamentary elections due to be held early next year, Finance Minister Michael Noonan said on Sunday. ""This is not being dictated by any political agenda. It looks now like the earliest opportunity will be November, December, and I'm not going to rush it. I don't need to sell any bit of AIB before the election,"" Noonan told national broadcaster RTE.** Fosun International Ltd, an investment company controlled by Chinese billionaire Guo Guangchang, said it had offered to buy the 80 percent it does not already own in U.S. insurer Ironshore Inc for $1.8 billion. The move follows Fosun's decision to buy a 20 percent stake in the casualty and property insurer for $464 million in August 2014 in a bid to expand its global insurance network. ** Areva has attracted the interest of three Chinese groups in its technology and parts of its business as the loss-making, majority state-owned French nuclear reactor company restructures, Le Journal du Dimanche reported. China General Nuclear Power Corp and China National Nuclear Corp are open to all forms of cooperation, including joint ventures and taking stakes in Areva, the Sunday newspaper said.** Swiss bank UBS could combine its investment banking arm with that of Credit Suisse to create a top player, Eric Knight, head of activist investor Knight Vinke, was quoted as saying in an interview with a Swiss paper on Sunday. Knight Vinke said last month that UBS should look at spinning off or merging its investment bank so the group can focus on its wealth and asset management businesses.** Top executives close to Charter Communications Inc  have reached out to management at Time Warner Cable Inc  to discuss a possible merger of the cable operators, the Wall Street Journal reported on Sunday. John Malone, chairman of Charter's biggest shareholder Liberty Broadband Corp  called Time Warner Cable's Chief Executive Rob Marcus ""in recent days"" to express Charter's interest in pursuing friendly deal talks, people familiar with the matter told the Wall Street Journal.** BHP Billiton's shareholders are expected to approve the biggest ever spin-off in the mining industry on Wednesday, seeking to wring more value out of a string of long-neglected aluminum, manganese, silver and nickel assets. But the new company, South32, risks a tough May 18 debut on the Australian bourse, with investors nervous about weak commodity prices, short mine life spans and declining ore grades.** M&T Bank Corp shares could rise 20 percent as its acquisition of Hudson City Bancorp Inc is likely to be approved, allowing cost cuts and growth, Barron's reported in its latest issue, citing analysts. The bank has a good chance to reach double-digit earnings growth in the next few years, helped by Hudson City, a $3.7 billion merger first announced in 2012 that hit a regulatory roadblock in 2013, the financial newspaper reported.** Australia and New Zealand Banking Group said on Monday that it planned to sell its Esanda dealer finance business, which includes A$8.3 billion ($6.50 billion) in loans to motor vehicle dealers. ""The sale of the Esanda Dealer Finance business is part of a broader group priority to actively manage our portfolio of businesses to ensure we use capital efficiently, as well as a focus on ANZ-branded products,"" ANZ Australia Chief Executive Mark Whelan said.** Top oil firms Royal Dutch Shell and Total  are bringing their refining and trading operations closer together, seeking alternative ways to drive profits as oil prices fall and independent trading houses expand into their territory. The restructuring will enable the Anglo-Dutch and French companies' in-house traders to capture profits faster from the fluctuating prices of the different crude oil sources and products coming through their refineries.        ($1 = 1.28 Australian dollars) ($1 = 12.0395 rand) ($1 = 0.9356 Swiss francs)   (Compiled by Rosmi Shaji and Neha Dimri in Bengaluru)",2015-05-04,PDCO,"Mon May 4, 2015 | 3:58pm EDT",Deals of the day- Mergers and acquisitions,http://www.reuters.com//article/deals-day-idUSL4N0XV27S20150504?type=companyNews
6,"  (Adds details, shares)May 4 Patterson Cos Inc said it would buy privately held Animal Health International Inc for $1.1 billion to expand in the fast-growing veterinary products market.Animal Health makes feed and health products for pets and farm animals, and generated sales of $1.5 billion in the 12 months ended March 2015.Patterson also said it was looking to sell its medical rehabilitation business. Reuters reported last month that Patterson had hired Bank of America Corp to assist with the sale. A sale of the rehabilitation business could fetch between $500 million and $600 million, people familiar with the matter had said.The $22-billion industry for animal medicines and vaccines is expected to grow 5.7 percent per year from 2011 to 2016, according to a report by Technology Acceleration Partners, a private capital development firm targeting animal health, food and agriculture ventures. Patterson, which makes dental products, veterinary supplies and rehabilitation medical supplies for hospitals and long-term care facilities, said the Animal Health deal would more than double the size of its veterinary business.Patterson said it planned to use proceeds from the potential sale of its medical rehabilitation business to reduce the debt incurred to fund the Animal Health deal. The company said it expects the Animal Health deal and the sale of then medical rehabilitation business to be neutral to its 2016 profit.BofA Merrill Lynch was Patterson's adviser and Piper Jaffray advised Animal Health International.Patterson's shares were unchanged in premarket trading after closing at $47.08 on Friday on the Nasdaq.   (Reporting by Vidya L Nathan in Bengaluru; Editing by Saumyadeb Chakrabarty)",2015-05-04,PDCO,"Mon May 4, 2015 | 9:26am EDT",UPDATE 1-Patterson to buy private veterinary products maker for $1.1 bln,http://www.reuters.com//article/animalhealth-ma-pattersonco-idUSL4N0XV2GJ20150504?type=companyNews
7,"  May 4 Patterson Cos Inc said it would buy privately held veterinary products maker Animal Health International Inc for $1.1 billion.The company also said it was looking to sell its medical rehabilitation business.  Patterson, which makes dental products, veterinary supplies and rehabilitation medical supplies for hospitals and long-term care facilities, said the Animal Health deal would more than double the size of its veterinary business.    (Reporting by Vidya L Nathan in Bengaluru) ",2015-05-04,PDCO,"Mon May 4, 2015 | 8:44am EDT",Patterson to buy private veterinary products maker for $1.1 bln,http://www.reuters.com//article/animalhealth-ma-pattersonco-idUSL4N0XV2FH20150504?type=companyNews
8,"  (Adds GE, ACE, Vodacom, Intesa Sanpaolo, Lufthansa, Patterson Companies, Playtech, Pininfarina, Carlyle Group, Suez)July 1 The following bids, mergers, acquisitions and disposals were reported by 2000 GMT on Wednesday:** Swiss insurance giant ACE Ltd will buy upmarket property insurer Chubb Corp for $28.3 billion to get access to wealthy clients who pay higher premiums at a time when fierce competition has cut deeply into the industry's profit margins.** FourPoint Energy LLC, a private exploration and production company, said it would buy oil and gas assets from units of Chesapeake Energy Corp for $840 million to increase its footprint in the Western Anadarko basin in Oklahoma.** U.S. Justice Department antitrust lawyers have opposed Electrolux AB's plan to buy General Electric Co's  household appliance business, a source familiar with the investigation told Reuters.** Italian bank Intesa Sanpaolo has received expressions of interest to buy its majority stake in highway operator A4 Holding, sources close to the matter said on Wednesday.** Lufthansa is considering selling its 13 percent stake in Luxair and has been in touch with other shareholders, including the Luxembourg government, to discuss the matter.** Medical device supplier Patterson Companies Inc  said it would sell its business that makes products that assist in a patient's recovery to private equity firm Madison Dearborn Partners for $715 million.** The chief executive of Indonesia's Surya Semesta  said on Wednesday that he was considering buying Rajawali Group's entire 21 pct stake in Nusantara Infrastructure  and that any deal may include a partnership with Malaysia's Plus Expressways.** Playtech Plc, founded by Israeli billionaire Teddy Sagi, said it had agreed to buy currency trading platform Ava Trade for $105 million to expand its online trading platform.** Brazilian sugar and ethanol producer Sao Martinho SA  said on Wednesday that it had canceled plans for a joint venture running a plant with U.S. renewable polymers company Amyris Inc, according to a securities filing.** Power group UIL Holdings said on Wednesday it would quickly address regulators' concerns after its $3 billion takeover by Spain's Iberdrola IBE.MC was rejected by a U.S. antitrust watchdog in a preliminary decision. ** The key investor in Pininfarina and its creditor banks are still seeking to agree a sale of the indebted Italian car designer to Indian vehicle maker Mahindra & Mahindra , two sources close to the matter said.** Kazakh state oil company KazMunaiGas (KMG) said on Wednesday it plans to sell 50 percent of its stake in the Kashagan oilfield to the sovereign wealth fund Samruk-Kazyna  and use the proceeds to reduce its debt.** Montagu Private Equity is preparing a sale of its healthcare packaging group Centor in a potential up to $700 million deal, two sources familiar with the matter told Reuters.** U.S. private equity firm Carlyle Group has raised its stake in Italy's Twin-Set to 90 percent and named a new chief executive, stepping up efforts to promote the fashion brand's retail expansion.** French environmental services company Suez said on Wednesday it aims to enlarge its Chinese water and waste business and is looking for opportunities outside China through a new partnership with the city of Chongqing. ** Canada's Brookfield Asset Management Inc has approached Australia's Asciano Ltd with a $6.8 billion takeover bid, but uncertainty about whether the deal would go through capped gains in the stock price of the rail freight firm.** South Africa's government has sold its stake in mobile phone firm Vodacom at a 10 percent discount to market prices to raise funds for cash-strapped power utility Eskom , the Treasury said on Wednesday.** Chambers Street Properties said it would merge with Gramercy Property Trust Inc to create the largest U.S. industrial and office net lease real estate investment trust. Gramercy shareholders will get 3.1898 shares of Chambers Street for each Gramercy share held. The deal is worth $1.45 billion, according to Reuters calculations.** The family that owns German car-parts maker Getrag is in advanced talks to sell a stake in the company to a North American parts maker, two sources familiar with the matter said on Tuesday. Getrag, one of the world's largest suppliers of automatic transmission systems, was approached recently by a North American company with an offer of about 1 billion euros ($1.11 billion) for the stake, the sources said.** CVC Capital Partners will back its acquisition of French smart card connector manufacturer Linxens with around 1 billion euros ($1.11 billion) of debt financing, banking sources said.** Indian jeweler Rajesh Exports Ltd said it would finalize an acquisition on Thursday from a handful of targets that have been identified, after a local daily reported the company could buy a stake in a Swiss gold refinery for about $400 million. ** Constellation Brands Inc said it would buy the Meiomi wine brand for about $315 million.** Fiat Chrysler Automobiles NV will invest $280 million to begin Jeep production in India through an expanded joint venture with Tata Motors Ltd, the carmaker said on Wednesday.** Global private equity fund CVC and Poland's fourth-largest power firm Energa SA have submitted the highest offers to buy PKP Energetyka, an utility arm of Polish state rail company PKP, sources close to the transaction said. Both offers for PKP Energetyka are similar and exceed 1 billion zlotys ($266.4 million) as of enterprise value, the sources said.** French gas and power group Engie said it bought 95 percent of French solar park developer and operator Solairedirect for just under 200 million euros ($222 million), which would make it the leading solar operator in France and bring it a portfolio of projects abroad.** Teva Pharmaceutical Industries Ltd and Philips  are together investing up to 100 million shekels ($26.5 million) over eight years in medical device and health technology start-ups in Israel.** Oman's Bank Sohar SAOG and Bank Dhofar SAOG  have entered into a non-binding agreement on a proposed merger, the duo said, in the latest move towards consolidation in the country's bloated banking sector. The two lenders agreed to proceed with due diligence, subject to receiving regulatory approvals, they said in separate statements.** Spanish bank Santander SA and British mobile banking software provider Monitise Plc have launched a joint venture to invest in fintech businesses, they said on Wednesday.** Slovenia is seeking expressions of interest in the purchase of 91.58 percent of state-owned national air carrier Adria Airways, state investment company SDH, which is coordinating the privatization, said on Wednesday.** Tanzania's competition commission has initiated a process to cancel approval for East African Breweries Ltd's  2010 acquisition of a controlling stake in Serengeti Breweries.** Janus Capital Group Inc said on Wednesday that it had acquired a majority interest in Kapstream Capital Pty Ltd and that Kapstream's Kumar Palghat would support Bill Gross as co-portfolio manager of the Janus Global Unconstrained Bond strategy.($1 = 0.90 euros)  ($1 = A$1.30)  ($1 = 3.75 zlotys)  ($1 = 3.7730 shekels)   (Compiled by Anet Josline Pinto and Lehar Maan in Bengaluru)",2015-07-01,PDCO,"Wed Jul 1, 2015 | 4:10pm EDT",Deals of the day- Mergers and acquisitions,http://www.reuters.com//article/deals-day-idUSL3N0ZH2ZY20150701?type=companyNews
9,"  Medical device supplier Patterson Companies Inc (PDCO.O) said it would sell its business that makes products that assist in a patient's recovery to private equity firm Madison Dearborn Partners for $715 million.Reuters reported in April that the company had hired Bank of America to help sell the business in a deal that could fetch $500 million to $600 million.Shares of Patterson, which had previously said it was looking to sell the rehabilitation business, rose about 1.3 percent to $49.29 in early trading on Wednesday. The company, which also makes dental products and veterinary supplies, said it would use the proceeds from the sale to pay down debt from its acquisition of privately held Animal Health International Inc.Patterson had bought Animal Health International in May for $1.1 billion to expand in the fast-growing veterinary products market. At the time, the St. Paul, Minnesota-based company had said it expected the net effect of the acquisition and the sale of the rehabilitation business to be neutral to profit in fiscal 2016.Patterson said on Wednesday that it would update its adjusted profit forecast for 2016 on August 27. Net sales for the rehabilitation business fell 5 percent in 2014 from a year earlier, while net sales for Patterson's dental and veterinary businesses grew.The company acquired the rehabilitation business, then called AbilityOne, in 2003 from JPMorgan Chase & Co's (JPM.N) former private equity arm. Through Tuesday's close, Patterson's stock has risen 2.2 percent since Reuters reported of a potential sale on April 17. (Reporting by Vidya L Nathan in Bengaluru; Editing by Savio D'Souza)",2015-07-01,PDCO,"Wed Jul 1, 2015 | 9:42am EDT",Patterson Cos to sell rehab business to PE firm for $715 million,http://www.reuters.com//article/us-patterson-deals-madison-dearborn-idUSKCN0PB4U620150701?type=companyNews
