,Article,Date,Symbol,Time,Title,Url
0,"   By Chikafumi Hodo | TOKYO, March 11  TOKYO, March 11 The head of New York-based Principal Global Investors said on Tuesday the $311 billion fund manager is looking into buying boutique asset management firms that invest in emerging markets and real estate to expand its portfolio of assetsPGI's chief executive, Jim McCaughan, said his firm, the asset management arm of Iowa-based financial services company Principal Financial Group Inc, hopes to finalise an acquisition, possibly in real estate, by the end of the year. He didn't identify potential targets.""It's hard to say, but I would be a little disappointed if we don't close at least one during the remainder of this year,"" McCaughan told Reuters in an interview. McCaughan is in Japan to meet clients.McCaughan said PGI, which bills itself as the 19th-largest pension manager in the United States, attaches more importance to doing the right deals than forcing the pace. PGI wants to acquire boutique fund management firms that invest in Europe and Asia as it already has strong presence in the United States, he said. A new acquisition would follow last year's purchase of London-based Liongate Capital Management, a hedge fund of funds  with assets of $1 billion. Boosted by inflows from equities, fixed income and real estate as well as the Liongate purchase, assets under management at PGI grew 10 percent last year.Emerging markets remain a focus for PGI, McCaughan said. While they may have appeared to look less attractive based on their performance over the past year, they continue to provide a strong long-term investment theme as middle-class populations grow in countries around the world, he said. ""We are actively looking not only at emerging, but at so-called 'frontier' markets, the smaller and newer markets. So that would be a second broader area and that would be fixed income or equities,"" he said.Currently, four asset management companies within the PGI group invest in fixed income or equities in emerging markets, with about $20 billion in assets in total. With regard to Japan, McCaughan said PGI is happy with its business in the world's third-largest economy, despite losing a mandate to manage foreign equities from the $1.26 trillion Government Pension Investment Fund (GPIF) last year.PGI has garnered more than 1 trillion yen ($10 billion) in assets over the last five years in Japan as institutional investors seek to diversify into foreign assets, such as U.S. high-yield bonds and international real estate investment trusts, he said.The firm also saw strong demand in international equities management from Japanese institutional investors in 2013, McCaughan said.",2014-03-11,PFG,"Tue Mar 11, 2014 | 3:38am EDT",Principal Global Investors CEO says firm seeking to acquire boutique asset managers,http://www.reuters.com//article/principal-finl-japan-idUSL3N0M71AF20140311?type=companyNews
1,"  Principal Financial Group Inc (PFG.N) shares could rise 25 percent if the company is valued more as a global money manager, as opposed to an insurance company, according to an article in the March 24 edition of Barron's.The current stock price does not reflect Principal's position as a money manager with $483 billion in assets, the article said. ""This is an asset manager in an insurance company's clothing,"" the article quotes Tim Call, chief investment officer at Capital Management, as saying.  (Reporting by Lewis Krauskopf)",2014-03-23,PFG,"Sun Mar 23, 2014 | 11:40am EDT",Principal Financial shares primed to rise: Barron's,http://www.reuters.com//article/us-principal-barrons-idUSBREA2M0FU20140323?type=companyNews
2,"  March 23 Principal Financial Group Inc  shares could rise 25 percent if the company is valued more as a global money manager, as opposed to an insurance company, according to an article in the March 24 edition of Barron's.The current stock price does not reflect Principal's position as a money manager with $483 billion in assets, the article said.  ""This is an asset manager in an insurance company's clothing,"" the article quotes Tim Call, chief investment officer at Capital Management, as saying.   (Reporting by Lewis Krauskopf) ",2014-03-23,PFG,"Sun Mar 23, 2014 | 11:03am EDT",Principal Financial shares primed to rise - Barron's,http://www.reuters.com//article/principal-barrons-idUSL1N0MK03D20140323?type=companyNews
3,"  (The following statement was released by the rating agency) CHICAGO, June 12 (Fitch) Fitch Ratings has affirmed Principal Financial Group,  Inc.'s (PFG) long-term Issuer Default Rating (IDR) at 'A'. Fitch has also  affirmed the 'AA-' Insurer Financial Strength (IFS) ratings of PFG's U.S.  operating subsidiaries. The Rating Outlook has been revised to Stable from  Negative.  Fitch has also affirmed and withdrawn the ratings of PFG's funding  agreement-backed notes issuance programs, as the ratings are no longer  considered by Fitch to be relevant to the agency's coverage. A full list of  rating actions is shown below. KEY RATING DRIVERS The ratings affirmation reflects PFG's strong capitalization and stable,  balanced operating profitability, partially offset by increased financial  leverage and above-average exposure to direct mortgages and structured mortgage  securities. The revision in the company's Rating Outlook to Stable from Negative primarily  reflects diminishing concerns related to execution risk associated with PFG's  integration of AFP Cuprum S.A. (Cuprum), which it acquired in February 2013. To  date, the acquisition has exceeded expectations in terms of its contribution to  overall operating profitability. The revision in the Rating Outlook also  reflects a gradual decline in PFG's financial leverage. PFG's financial leverage was approximately 22.6% at March 31, 2014, down from a  recent high of 24.2% at Dec. 31, 2012 as the company issued debt to help fund  its acquisition of Cuprum. In the first quarter of 2014 (1Q'14), the company  redeemed the $100 million of surplus notes issued by Principal Life Insurance  Company (PLIC). As PLIC no longer has publicly-held debt outstanding, Fitch has  withdrawn the IDR of the company. In 1Q'14, PFG reported pre-tax operating earnings of $411 million, up from $304  million in 1Q'13. For the full year 2013, the company reported pre-tax operating  earnings of $1.4 billion, up from $1 billion in 2012. In addition to the  earnings contribution from Cuprum, the recent improvement in operating earnings  has been driven by higher fee-based revenue from growing account values and  tight expense management.  As a result of improving earnings, fixed charge coverage increased to  approximately 8.5x in 2013 from approximately 6.8x in 2012. In 1Q'14, fixed  charge coverage was 10.0x. While Fitch expects PFG to continue to generate  solid, stable earnings on its growing fee-based businesses, low market interest  rates, continued competitive pressures and less robust capital market conditions  are likely to restrain earnings growth in the intermediate term. PFG's strong capitalization is supported by the organization's primary insurance  operating company, PLIC, which reported a risk-based capital ratio (RBC) of 438%  at Dec. 31, 2013, up from 415% at year-end 2012. The company targets RBC in a  range of 415% to 425%, and Fitch expects the company to finish 2014 in that  range. Fitch considers PFG's allocation to direct mortgages to be above average  relative to the life insurance sector as a whole. In addition to $10.3 billion  in direct commercial loans and $1.2 billion in residential loans, the company  reported $4.1 billion in CMBS holdings at March 31, 2014. Although there has  been some recovery in these asset classes within the industry, Fitch views this  level of exposure to be a credit negative.  PFG, headquartered in Des Moines, IA, markets a range of retirement savings,  investment and insurance products and services primarily in the small- to  medium-sized business segment. The company reported consolidated assets of $211  billion, and total shareholders' equity of $10.1 billion at March 31, 2014. RATING SENSITIVITIES The key rating triggers that could result in an upgrade include: --Improved diversification of the company's sources of revenue and earnings; --Sustainable return on equity of 12% or higher and fixed-charge coverage above  12x; --Low volatility in earnings and capital over an extended period of time; --Financial leverage below 20%; --Reported RBC ratio above 475%. The key rating triggers that could result in a downgrade include: --Run-rate return on equity below 10% and a GAAP-based fixed-charge coverage  ratio below 7x; --A decline in the company's reported RBC ratio to a level below 375%; --Increase in financial leverage to a level above 25% debt-to-total capital. Fitch has affirmed the following ratings and revised the Outlook to Stable from  Negative: Principal Financial Group, Inc.  --IDR at 'A';  --$300 million 1.850% notes due Nov. 2017 at 'A-'; --$350 million 8.875% notes due May 2019 at 'A-'; --$300 million 3.300% notes due Sept. 2022 at 'A-'; --$300 million 3.125% notes due May 2023 at 'A-'; --$600 million 6.050% notes due Oct. 2036 at 'A-'; --$300 million 4.625% notes due Sept. 2042 at 'A-'; --$300 million 4.350% notes due May 2043 at 'A-'; --5.563% preferred stock due 2015, series A at 'BBB';  --6.518% preferred stock due 2035, series B at 'BBB'.  Principal Financial Services, Inc.  --Long-term IDR at 'A';  --Short-term IDR at 'F1; --Commercial paper at 'F1'.  Insurance subsidiaries:  Principal Life Insurance Company  --IFS at 'AA-'.  Principal National Life Insurance Company --IFS at 'AA-'.  Fitch has affirmed and withdrawn the following rating as the company has  redeemed all surplus notes issued by Principal Life Insurance Company: --IDR at 'A+'. Fitch has also affirmed and withdrawn the ratings on the following funding  agreement-backed notes issuance programs and their outstanding issues at 'AA-':  --Principal Financial Global Funding LLC --Principal Life Income Fundings Trust --Principal Life Global Funding I  --Principal Financial Global Funding II, LLC Contact: Primary Analyst Bradley S. Ellis, CFA Director +1-312-368-2089 Fitch Ratings, Inc. 70 W. Madison St. 13th Floor Chicago, IL 60602 Secondary Analyst Julie A. Burke, CPA, CFA Managing Director +1-312-368-3158 Committee Chairperson Martha M. Butler, CFA Senior Director +1-312-368-3191 Media Relations: Brian Bertsch, New York, Tel: +1 212-908-0549, Email:  brian.bertsch@fitchratings.com. Additional information is available at 'www.fitchratings.com'.  Applicable Criteria and Related Research:  --'Insurance Rating Methodology' (November 2013); --'Life Insurance (U.S.) Sector Credit Factors' (Oct. 9, 2012). Applicable Criteria and Related Research:  Insurance Rating Methodology  here Life Insurance (U.S.) Sector Credit Factors here Additional Disclosure  Solicitation Status  here ALL FITCH CREDIT RATINGS ARE SUBJECT TO CERTAIN LIMITATIONS AND DISCLAIMERS.  PLEASE READ THESE LIMITATIONS AND DISCLAIMERS BY FOLLOWING THIS LINK:  here. IN ADDITION, RATING  DEFINITIONS AND THE TERMS OF USE OF SUCH RATINGS ARE AVAILABLE ON THE AGENCY'S  PUBLIC WEBSITE 'WWW.FITCHRATINGS.COM'. PUBLISHED RATINGS, CRITERIA AND  METHODOLOGIES ARE AVAILABLE FROM THIS SITE AT ALL TIMES. FITCH'S CODE OF  CONDUCT, CONFIDENTIALITY, CONFLICTS OF INTEREST, AFFILIATE FIREWALL, COMPLIANCE  AND OTHER RELEVANT POLICIES AND PROCEDURES ARE ALSO AVAILABLE FROM THE 'CODE OF  CONDUCT' SECTION OF THIS SITE. FITCH MAY HAVE PROVIDED ANOTHER PERMISSIBLE  SERVICE TO THE RATED ENTITY OR ITS RELATED THIRD PARTIES. DETAILS OF THIS  SERVICE FOR RATINGS FOR WHICH THE LEAD ANALYST IS BASED IN AN EU-REGISTERED  ENTITY CAN BE FOUND ON THE ENTITY SUMMARY PAGE FOR THIS ISSUER ON THE FITCH  WEBSITE.   ",2014-06-12,PFG,"Thu Jun 12, 2014 | 2:08pm EDT",Fitch Affirms Principal Financial Group's IDR at 'A'; Outlook Revised to Stable,http://www.reuters.com//article/fitch-affirms-principal-financial-groups-idUSFit70461020140612?type=companyNews
4,"  Dec 23 The following financial services industry appointments were announced on Tuesday. To inform us of other job changes, email moves@thomsonreuters.com.U.S. BANK WEALTH MANAGEMENT The wealth management division of U.S. Bancorp said it hired Ena Licina as vice president, trust relationship manager, for its Private Client Reserve in Las Vegas. Prior to this, Licina worked as a trust officer with Wells Fargo Wealth Management, U.S Bank said. PRINCIPAL FINANCIAL GROUP The investment management company appointed Thomas Cheong vice president of North Asia for Principal International. Cheong will join in early January from Manulife Asset Management in Taiwan, where he was CEO and executive director. LEGAL & GENERAL GROUP PLC  The insurance and investment management company said group merger and acquisition and strategy director Wadham Downing would leave at the end of June. He will step down from his posts, effective Dec. 31, the company said.LONDON CAPITAL GROUP LTD The online trading services provider appointed Nicholas Lee and Rebecca Fuller non-executive directors with immediate effect. Lee is currently executive chairman of Paternoster Resources Plc and non-executive director of MX Oil Plc . Fuller is an independent non-executive director at BATS Trading Ltd and director of Anico Financial Service Ltd, which she co-founded, London Capital said.    (Compiled by Rohit T.K. in Bengaluru)",2014-12-23,PFG,"Tue Dec 23, 2014 | 10:51am EST","MOVES- U.S. Bancorp, Legal & General, Principal Financial",http://www.reuters.com//article/financial-moves-idUSL3N0U73CH20141223?type=companyNews
5,"  Dec 23 Investment management company Principal Financial Group appointed Thomas Cheong as vice president of North Asia for Principal International.Cheong will join in early January from Manulife Asset Management in Taiwan where he was CEO and executive director. He will report to Rex Auyeung, president, Principal International (Asia). Cheong will oversee Principal International operations and relationships in mainland China and Hong Kong.  Principal International offers long-term savings and retirement solutions in select Latin American and Asian emerging markets and is a business unit of Principal Financial Group.   (Reporting by Shivam Srivastava in Bengaluru; Editing by Sunil Nair)",2014-12-23,PFG,"Tue Dec 23, 2014 | 4:06am EST",MOVES-Principal names Thomas Cheong VP of North Asia for Principal International,http://www.reuters.com//article/principal-finl-moves-thomascheong-idUSL3N0U71Z920141223?type=companyNews
6,"  (Corrects to Helly Pilavachi from Helly Pilavach in the second and third paragraphs)March 30 Principal Global Investors, the asset management arm of Principal Financial Group Inc, appointed Helly Pilavachi as director of European fund distribution.The New York-based company said Pilavachi will be based in London and will focus on sales and business development in French-speaking Europe. Pilavachi, who was appointed in January, will report to Nicholas Lyster, Principal Global's chief executive and Andrea Muller, head of international distribution. She has over 19 years of experience in developing sales in Europe and the Middle East and was previously director of European sales at J O Hambro Capital Management Ltd. Principal Global has assets under management of $331.1 billion as at Dec. 31.   (Reporting by Anet Josline Pinto in Bengaluru)",2015-03-30,PFG,"Mon Mar 30, 2015 | 11:45am EDT",CORRECTED-MOVES-Principal Global Investors names Helly Pilavachi director of European fund distribution,http://www.reuters.com//article/principalglobalinvestors-moves-hellypila-idUSL3N0WW4M520150330?type=companyNews
7,"  (The following statement was released by the rating agency) CHICAGO, April 13 (Fitch) Fitch Ratings has affirmed Principal Financial Group,  Inc.'s (PFG) long-term Issuer Default Rating (IDR) at 'A'. Fitch has also  affirmed the 'AA-' Insurer Financial Strength (IFS) ratings of PFG's U.S.  operating subsidiaries. The Rating Outlook is Stable. KEY RATING DRIVERS Today's ratings affirmations reflect PFG's strong capitalization and stable,  balanced operating profitability, partially offset by above-average exposure to  direct mortgages and structured mortgage securities. PFG's financial leverage was 22% at Dec. 31, 2014, down from a recent high of  24.2% at Dec. 31, 2012 as the company issued debt to help fund its acquisition  of Administradora de Fondos de Pensiones Cuprum S.A. (Cuprum), a leading pension  manager in Chile. For full-year 2014, PFG reported pre-tax operating earnings of $1.7 billion,  continuing a gradual improvement from $1.4 million in 2013 and $1 billion in  2012. In addition to the earnings contribution from Cuprum, the recent  improvement in operating earnings has been driven by higher fee-based revenue  from growing account values and tight expense management. Fitch notes that the  company's operating performance exhibited significantly more stability relative  to many of its industry peers during the financial crisis. As a result of improving earnings, fixed charge coverage (FCC) increased to  approximately 10.4x in 2014 from approximately 8.5x in 2013 and 6.8x in 2012.  While Fitch expects PFG to continue to generate solid, stable earnings on its  growing fee-based businesses, low market interest rates, continued competitive  pressures and less robust capital market conditions are likely to restrain  earnings growth in the intermediate term. PFG's strong capitalization is supported by the organization's primary insurance  operating company, PLIC, which reported a risk-based capital ratio (RBC) of 423%  at Dec. 31, 2014, down from 439% at Dec. 31, 2013. The company targets  consolidated RBC in a range of 415% to 425%. Fitch considers PFG's allocation to direct mortgages to be above average  relative to the life insurance sector as a whole. In addition to $10.7 billion  in direct commercial loans and $1.1 billion in residential loans, the company  reported $4 billion in CMBS holdings at Dec. 31, 2014. Although there has been  significant recovery in these asset classes within the industry since the  financial crisis, Fitch views this level of exposure to be a credit negative.  PFG, headquartered in Des Moines, IA, markets a range of retirement savings,  investment and insurance products and services primarily in the small- to  medium-sized business segment. The company reported consolidated assets of $219  billion, and total shareholders' equity of $10.2 billion at Dec. 31, 2014. RATING SENSITIVITIES The key rating triggers that could result in an upgrade include: --Improved diversification of the company's sources of revenue and earnings; --Sustainable return on equity of 12% or higher and FCC above 12x; --Low volatility in earnings and capital over an extended period of time; --Financial leverage below 20%; --Reported RBC ratio above 475%. The key rating triggers that could result in a downgrade include: --Run-rate return on equity below 10% and a GAAP-based FCC ratio below 7x; --A decline in the company's reported RBC ratio to a level below 375%; --Sustained increase in financial leverage to a level above 25%. Fitch has affirmed the following ratings with a Stable Outlook: Principal Financial Group, Inc.  --IDR at 'A';  --$300 million 1.850% notes due Nov. 2017 at 'A-'; --$350 million 8.875% notes due May 2019 at 'A-'; --$300 million 3.300% notes due Sept. 2022 at 'A-'; --$300 million 3.125% notes due May 2023 at 'A-'; --$600 million 6.050% notes due Oct. 2036 at 'A-'; --$300 million 4.625% notes due Sept. 2042 'A-'; --$300 million 4.350% notes due May 2043 at 'A-'; --5.563% preferred stock due 2015, series A at 'BBB';  --6.518% preferred stock due 2035, series B at 'BBB'.  Principal Financial Services, Inc.  --Long-term IDR at 'A';  --Short-term IDR at 'F1; --Commercial paper at 'F1'.  Insurance subsidiaries:  Principal Life Insurance Company  --IFS at 'AA-'.  Principal National Life Insurance Company --IFS at 'AA-'.  Contact: Primary Analyst Bradley S. Ellis, CFA Director +1-312-368-2089 Fitch Ratings, Inc. 70 W. Madison St. Chicago, IL 60602 Secondary Analyst Nelson Ma, CFA Director +1-212-908-0273 Committee Chairperson Martha M. Butler, CFA Senior Director +1-312-368-3191 Media Relations: Alyssa Castelli, New York, Tel: +1 (212) 908 0540, Email:  alyssa.castelli@fitchratings.com; Elizabeth Fogerty, New York, Tel: +1 (212) 908  0526, Email: elizabeth.fogerty@fitchratings.com. Additional information is available at 'www.fitchratings.com'.  Applicable Criteria and Related Research:  --'Insurance Rating Methodology' (September 2014); --'Life Insurance (U.S.) Sector Credit Factors' (Oct. 9, 2012). Applicable Criteria and Related Research:  Insurance Rating Methodology here Life Insurance (U.S.) Sector Credit Factors here Additional Disclosure  Solicitation Status  here ALL FITCH CREDIT RATINGS ARE SUBJECT TO CERTAIN LIMITATIONS AND DISCLAIMERS.  PLEASE READ THESE LIMITATIONS AND DISCLAIMERS BY FOLLOWING THIS LINK:  here. IN ADDITION, RATING  DEFINITIONS AND THE TERMS OF USE OF SUCH RATINGS ARE AVAILABLE ON THE AGENCY'S  PUBLIC WEBSITE 'WWW.FITCHRATINGS.COM'. PUBLISHED RATINGS, CRITERIA AND  METHODOLOGIES ARE AVAILABLE FROM THIS SITE AT ALL TIMES. FITCH'S CODE OF  CONDUCT, CONFIDENTIALITY, CONFLICTS OF INTEREST, AFFILIATE FIREWALL, COMPLIANCE  AND OTHER RELEVANT POLICIES AND PROCEDURES ARE ALSO AVAILABLE FROM THE 'CODE OF  CONDUCT' SECTION OF THIS SITE. FITCH MAY HAVE PROVIDED ANOTHER PERMISSIBLE  SERVICE TO THE RATED ENTITY OR ITS RELATED THIRD PARTIES. DETAILS OF THIS  SERVICE FOR RATINGS FOR WHICH THE LEAD ANALYST IS BASED IN AN EU-REGISTERED  ENTITY CAN BE FOUND ON THE ENTITY SUMMARY PAGE FOR THIS ISSUER ON THE FITCH  WEBSITE.   ",2015-04-13,PFG,"Mon Apr 13, 2015 | 10:21am EDT",Fitch Affirms Principal Financial Group's IDR at 'A'; Outlook Stable,http://www.reuters.com//article/idUSFit91951120150413?type=companyNews
8,"  (The following statement was released by the rating agency) CHICAGO, May 05 (Fitch) Fitch Ratings has assigned an 'A-' rating to Principal  Financial Group, Inc.'s (PFG) issuance of approximately $400 million of 10-year  senior unsecured notes. Fitch has also assigned a 'BBB' rating to PFG's issuance  of approximately $400 million of 40-year junior subordinated debentures. PFG's  Long-term Issuer Default Rating (IDR) is unaffected by this rating action. KEY RATING DRIVERS The notes are guaranteed by Principal Financial Services, Inc., PFG's  intermediate holding company, whose Long-term IDR is currently 'A'. Fitch  affirmed the ratings of PFG and its insurance operating subsidiaries with a  Stable Outlook on April 13, 2015. Approximately $550 million of the proceeds from the issuance are expected to be  used to redeem PFG's series A non-cumulative perpetual preferred stock and  series B non-cumulative perpetual preferred stock, with the remainder expected  to be used for general corporate purposes. PFG's ratings are supported by the company's strong competitive position in  several key markets and product lines, strong capitalization, and stable and  balanced earnings profile, partially offset by above-average exposure to direct  mortgages and structured mortgage securities. The company's recent operating  performance has been strong. Fitch expects PFG's financial leverage to increase on a pro forma basis to  approximately 27% from 21% at March 31, 2015, as a result of newly issued debt  and the pending redemption of the preferred stock. Whereas the existing  preferred stock receives full equity credit in accordance with Fitch's rating  criteria, the newly issued subordinated debt receives no equity credit. The  increase in financial leverage exceeds Fitch's rating tolerance of 25%. Fitch  expects financial leverage to decline to approximately 25% within the next 12  months. RATING SENSITIVITIES The key rating triggers that could result in an upgrade include: --Improved diversification of the company's sources of revenue and earnings; --Sustainable return on equity of 12% or higher and fixed-charge coverage above  12x; --Low volatility in earnings and capital over an extended period of time; --Financial leverage below 20%; --Reported RBC ratio above 475%. The key rating triggers that could result in a downgrade include: --Run-rate return on equity below 10% and a GAAP-based fixed charge coverage  ratio below 7x; --A decline in the company's reported RBC ratio to a level below 375%; --Sustained increase in financial leverage to a level above 25%. Fitch has assigned the following ratings: Principal Financial Group, Inc.  --$400 million senior unsecured notes due 2025 'A-'; --$400 million junior subordinated debentures due 2055 'BBB'. Contact: Primary Analyst Bradley S. Ellis, CFA Director +1-312-368-2089 Fitch Ratings, Inc. 70 W. Madison St. 13th Floor Chicago, IL 60602 Secondary Analyst Nelson Ma, CFA Director +1-212-908-0273 Committee Chairperson Martha M. Butler, CFA Senior Director +1-312-368-3191 Media Relations: Alyssa Castelli, New York, Tel: +1 (212) 908 0540, Email:  alyssa.castelli@fitchratings.com; Elizabeth Fogerty, New York, Tel: +1 (212) 908  0526, Email: elizabeth.fogerty@fitchratings.com. Additional information is available at 'www.fitchratings.com'.  Applicable Criteria and Related Research:  --'Insurance Rating Methodology' (September 2014); --'Life Insurance (U.S.) Sector Credit Factors' (October 2012). Applicable Criteria and Related Research:  Insurance Rating Methodology here Life Insurance (U.S.) Sector Credit Factors here Additional Disclosure  Solicitation Status  here ALL FITCH CREDIT RATINGS ARE SUBJECT TO CERTAIN LIMITATIONS AND DISCLAIMERS.  PLEASE READ THESE LIMITATIONS AND DISCLAIMERS BY FOLLOWING THIS LINK:  here. IN ADDITION, RATING  DEFINITIONS AND THE TERMS OF USE OF SUCH RATINGS ARE AVAILABLE ON THE AGENCY'S  PUBLIC WEBSITE 'WWW.FITCHRATINGS.COM'. PUBLISHED RATINGS, CRITERIA AND  METHODOLOGIES ARE AVAILABLE FROM THIS SITE AT ALL TIMES. FITCH'S CODE OF  CONDUCT, CONFIDENTIALITY, CONFLICTS OF INTEREST, AFFILIATE FIREWALL, COMPLIANCE  AND OTHER RELEVANT POLICIES AND PROCEDURES ARE ALSO AVAILABLE FROM THE 'CODE OF  CONDUCT' SECTION OF THIS SITE. FITCH MAY HAVE PROVIDED ANOTHER PERMISSIBLE  SERVICE TO THE RATED ENTITY OR ITS RELATED THIRD PARTIES. DETAILS OF THIS  SERVICE FOR RATINGS FOR WHICH THE LEAD ANALYST IS BASED IN AN EU-REGISTERED  ENTITY CAN BE FOUND ON THE ENTITY SUMMARY PAGE FOR THIS ISSUER ON THE FITCH  WEBSITE.   ",2015-05-05,PFG,"Tue May 5, 2015 | 11:12am EDT",Fitch Rates Principal Financial Group's Senior Unsecured Notes 'A-',http://www.reuters.com//article/idUSFit92175920150505?type=companyNews
9,  April 28 Principal Financial Group Inc :* Q1 operating earnings per share $0.97 * Q1 revenue rose 15 percent to $2.938 billion* qtr-end record assets under management (aum) of $547.7 billion * Principal financial group inc says declares q2 2016 common stock dividend of $0.39 per share * Q1 earnings per share $1.25* Q1 earnings per share view $0.99 -- Thomson Reuters I/B/E/S  Source text for Eikon:  Further company coverage:    (Bengaluru Newsroom),2016-04-28,PFG,"Thu Apr 28, 2016 | 6:30pm EDT",BRIEF-Principal Financial Group Q1 operating EPS $0.97,http://www.reuters.com//article/idUSASD08G1U?type=companyNews
10,"  July 29 Principal Financial Group Inc* Principal financial group announces second quarter 2016 results* Q2 operating earnings per share $1.15 * Q2 earnings per share $1.10 * Q2 earnings per share view $1.06 -- Thomson Reuters I/B/E/S * Qtrly dividend of $0.41/share for q3 2016 authorized by board , up 7 percent compared to prior year trailing 12 month period  Source text for Eikon:  Further company coverage:",2016-07-28,PFG,"Thu Jul 28, 2016 | 5:03pm EDT",BRIEF-Principal financial Group says Q2 earnings per share $1.10,http://www.reuters.com//article/idUSASC08ZB7?type=companyNews
