,Article,Date,Symbol,Time,Title,Url
0,"  U.S. homebuilder PulteGroup Inc's (PHM.N) fourth-quarter revenue rose 9 percent after the company raised selling prices, taking advantage of the shrinking supply of existing homes and a shortage of land ready to build on.The No.2 U.S. homebuilder, whose shares rose as much as 5 percent in premarket trading, said it would step up spending on land in 2014 even though orders have fallen.When demand slowed recently due to higher mortgage rates, No.1 U.S. homebuilder D.R. Horton Inc (DHI.N) and PulteGroup were hit more than some smaller peers due to their lower presence in city centers.Orders booked by PulteGroup, which caters to first-time buyers and first move-up buyers, fell 18 percent to 3,214 homes in the quarter ended December 31.However, as consumer confidence grows in the economy and Americans get comfortable with higher interest rates, PulteGroup plans to spend about $700 million more on land compared with last year, bringing the total investment in 2014 to $2 billion. Larger peer D.R. Horton Inc (DHI.N) reported a 4 percent rise in quarterly orders on Tuesday and said it expected a ""very strong"" spring home-selling season.PulteGroup has slowed the pace at which it builds houses and has instead relied on raising selling prices to drive revenue.PulteGroup's average sales price rose 13 percent to $325,000 in the quarter, more than offsetting the impact of a 4 percent fall in homes completed. The company's net income jumped nearly four times to $220.1 million, or 57 cents per share, in the fourth quarter from $58.7 million, or 15 cents per share, a year earlier.Analysts on average had expected 44 cents per share, according to Thomson Reuters I/B/E/S. Home sale revenue rose to $1.61 billion from $1.48 billion.PulteGroup shares have dropped 9 percent in the past year while Dow Jones Home Construction index .DJUSHB fell 5 percent.The stock, which closed at $19.43 on the New York Stock Exchange on Wednesday, was up at $20.40 in premarket trading on Thursday.(Reporting by Sagarika Jaisinghani in Bangalore; Editing by Kirti Pandey and Don Sebastian)",2014-01-30,PHM,"Thu Jan 30, 2014 | 8:38am EST",Higher home prices boost PulteGroup revenue,http://www.reuters.com//article/us-pultegroup-results-idUSBREA0T11420140130?type=companyNews
1,"  * Fourth-quarter earnings $0.57 vs est $0.44* Home sale revenue rises 9 pct* Average selling price climbs 13 pct* To spend $700 mln more on land in 2014* Shares rise as much as 5 pct premarketJan 30 U.S. homebuilder PulteGroup Inc's  fourth-quarter revenue rose 9 percent after the company raised selling prices, taking advantage of the shrinking supply of existing homes and a shortage of land ready to build on.The No.2 U.S. homebuilder, whose shares rose as much as 5 percent in premarket trading, said it would step up spending on land in 2014 even though orders have fallen. When demand slowed recently due to higher mortgage rates, No.1 U.S. homebuilder D.R. Horton Inc and PulteGroup were hit more than some smaller peers due to their lower presence in city centers.Orders booked by PulteGroup, which caters to first-time buyers and first move-up buyers, fell 18 percent to 3,214 homes in the quarter ended Dec. 31.However, as consumer confidence grows in the economy and Americans get comfortable with higher interest rates, PulteGroup plans to spend about $700 million more on land compared with last year, bringing the total investment in 2014 to $2 billion. Larger peer D.R. Horton Inc reported a 4 percent rise in quarterly orders on Tuesday and said it expected a ""very strong"" spring home-selling season.PulteGroup has slowed the pace at which it builds houses and has instead relied on raising selling prices to drive revenue.PulteGroup's average sales price rose 13 percent to $325,000 in the quarter, more than offsetting the impact of a 4 percent fall in homes completed. The company's net income jumped nearly four times to $220.1 million, or 57 cents per share, in the fourth quarter from $58.7 million, or 15 cents per share, a year earlier.Analysts on average had expected 44 cents per share, according to Thomson Reuters I/B/E/S.Home sale revenue rose to $1.61 billion from $1.48 billion.PulteGroup shares have dropped 9 percent in the past year while Dow Jones Home Construction index fell 5 percent.The stock, which closed at $19.43 on the New York Stock Exchange on Wednesday, was up at $20.40 in premarket trading on Thursday.",2014-01-30,PHM,"Thu Jan 30, 2014 | 8:36am EST",UPDATE 2-Higher home prices boost PulteGroup revenue,http://www.reuters.com//article/pultegroup-results-idUSL3N0L43SU20140130?type=companyNews
2,"  PulteGroup Inc (PHM.N), the No.2 U.S. homebuilder, reported a 9 percent rise in revenue from home sales as low supply allowed the company to sell houses at higher prices, sending its shares up 5 percent before the bell.U.S. homebuilders have been able to raise selling prices over the past two years due to a shortage of land ready to build on and a shrinking supply of existing homes.PulteGroup, which caters to first-time buyers and first-move up buyers, said its average selling price rose 13 percent to $325,000 in the fourth quarter ended December 31, more than offsetting the impact of a 4 percent fall in homes completed.U.S. housing demand has slowed over the past few months due to higher mortgage rates. Orders booked by PulteGroup fell 18 percent to 3,214 homes in the quarter. The company, however, reiterated on Thursday that it expected the housing recovery to continue in 2014.PulteGroup said in October that the weakness in demand would be ""short-lived."" The company's net income jumped to $220.1 million, or 57 cents per share, in the fourth quarter from $58.7 million, or 15 cents per share, a year earlier.Home sale revenue rose to $1.61 billion from $1.48 billion. PulteGroup shares have dropped 9 percent in the past 12 months and have underperformed the Dow Jones Home Construction index .DJUSHB, which has fallen 5 percent.The stock, which closed at $19.43 on the New York Stock Exchange on Wednesday, was at $20.48 in premarket trading on Thursday.(Reporting by Sagarika Jaisinghani in Bangalore; Editing by Kirti Pandey)",2014-01-30,PHM,"Thu Jan 30, 2014 | 7:13am EST",Higher selling prices boost PulteGroup's home sale revenue,http://www.reuters.com//article/us-pultegroup-results-idUSBREA0T0SU20140130?type=companyNews
3,"  Jan 30 PulteGroup Inc, the No.2 U.S. homebuilder, reported a 9 percent rise in revenue from home sales as low supply allowed the company to sell houses at higher prices.The company's net income jumped to $220.1 million, or 57 cents per share, in the fourth quarter ended Dec. 31 from $58.7 million, or 15 cents per share, a year earlier. Home sale revenue rose to $1.61 billion in the quarter from $1.48 billion, a year earlier.  PulteGroup's average selling price rose 13 percent in the fourth quarter.",2014-01-30,PHM,"Thu Jan 30, 2014 | 6:45am EST",PulteGroup home sale revenue rises 9 pct as selling prices climb,http://www.reuters.com//article/pultegroup-results-idUSL3N0L43S620140130?type=companyNews
4,"  March 10 (The following statement was released by the rating agency)Fitch Ratings has upgraded the Issuer Default Rating  (IDR) of PulteGroup, Inc. (NYSE: PHM) to 'BB+' from 'BB'.  The Rating Outlook is  Stable. A complete list of rating actions follows this release.KEY RATING DRIVERS The upgrade of the IDR reflects PHM's solid operating performance in 2013 and  current financial ratios which compare well with those of its peers, substantial  liquidity position and favorable prospects for the housing sector in 2014 and  2015.  Fitch believes that the housing recovery is firmly in place (although the  rate of recovery remains well below historical levels and the upturn will likely  continue to occur in fits and starts).The rating for PHM also reflects the company's broad geographic and product  diversity, a long track record of adhering to a disciplined financial strategy  and, somewhat more recently, an at times, aggressive growth strategy.  The  merger with Centex in August 2009 further enhanced the company's broad  geographic and product line diversity.  Centex's significant presence in the  first move-up and especially in the entry-level categories complements PHM's  strength in both the move-up and active adult segment.  PHM's Del Webb (active  adult) segment is perhaps the best recognized brand name in the homebuilding  business. The company also did a good job in reducing its inventory and  generating positive operating cash flow during the severe housing downturn from  2007 through 2011 and since then.  The Stable Outlook takes into account the  solid housing outlook for 2014 and 2015.PHM's future ratings and Outlook will be influenced by broad housing market  trends as well as company-specific activity such as land and development  spending, general inventory levels, speculative inventory activity (including  the impact of high cancellation rates on such activity), gross and net new-order  activity, debt levels and free cash flow trends and uses.DEBT AND LIQUIDITY The ratings upgrade also takes into account the company's successful execution  of its debt repayment strategy following the merger with Centex in August 2009  and more recently.  Subsequent to the merger the company repurchased $1.5  billion of senior notes through a tender offer.  PHM also retired $898.5 million  in debt in 2010, $323.9 million in 2011, $592.4 million in 2012 and $461.4  million in 2013. On Feb. 21, 2014, the company announced the redemption of the  $95.6 million outstanding 5.20% unsecured senior notes due February 2015 and the  redemption of $150 million outstanding 7.375% unsecured senior notes due June  2046.  The redemptions will occur on March 26, 2014.  The company's remaining  debt maturities are well laddered with $238 million scheduled to mature in 2015  and $465.2 million due in 2016.The reduced debt and growing profitability have enabled the company to improve  its debt/EBITDA ratio from 14.3x at the end of 2010 to 2.3x at the conclusion of  2013.  During that same period, interest coverage improved to 5.7x from 0.9x. PHM ended the December 2013 quarter with $1.58 billion of unrestricted cash and  equivalents and $2.06 billion of senior notes.As a cost saving measure and to provide increased operational flexibility, PHM  voluntarily terminated its $250 million unsecured revolving credit facility  effective March 30, 2011.  Fitch anticipates that PHM will re-establish a credit  facility over the next 12-18 months.As is the case with other public homebuilders, PHM is using the liquidity  accumulated over the past few years to expand its land position and trying to  opportunistically acquire land at attractive prices.In late July 2013 the board of directors reinstituted a quarterly dividend  ($0.05 per share).  The board had eliminated the $0.04 per share quarterly  dividend in November 2008 to conserve cash.  During 2013, PHM repurchased  $127.66 million of its common stock; $234.3 million remains under the current  share repurchase authorization. Even with substantial land and development spending in 2014 as well as some  moderate share repurchase activity and about $51 million paid out in dividends,  Fitch expects PHM will end the year with a cash position between $900 million  and $1.4 billion.MARGIN ENHANCEMENT AND COST-REDUCTION EFFORT PHM has realized considerable improvement in gross profit margins, before real  estate charges, from 8.7% in 2009 to 20.4% in 2013 and on-going operational  initiatives which are expected to at least maintain and potentially generate  further margin expansion.  Those initiatives include a rising share of closings  from the implementation of common plans to help drive construction efficiency,  favorable product mix benefiting from move-up and active adult closings, pushing  design, engineering and purchasing activities out to field operations to drive  local costs lower, and working to ensure proper balance of dirt vs. lower margin  speculative sales (currently 76.4% pre-sold, 23.6% spec).REAL ESTATE As of Dec. 31, 2013, PHM controlled 123,478 lots, of which 77.1% are owned and  the remaining 22.9% are controlled through options. Total lots controlled  represent an approximately seven-year supply of total lots based on LTM closings  and the company owns 5.4 years of lots. The company's land position has  historically been longer compared to other public homebuilders due to its Del  Webb operations. PHM's active adult and certain master-planned communities can  extend from five to seven years or longer during their build-out.During the past few years, the company has been relatively subdued in committing  to incremental land purchases because of its already sizeable land position. Of  course, the acquisition of Centex in 2009 allowed the company to sharply  increase its land position. PHM spent $750 million on land and development in 2009, while Centex spent  roughly $200 million.  PHM spent $980 million on land and development in 2010  and $1.04 billion in 2011.  The company paid out $924 million for land and  development in 2012 - roughly 1/3 for land and 2/3 for development activities.   PHM expended approximately $1.3 billion on real estate in 2013 with roughly 40%  for land and 60% for development.  The preliminary management projection for  spending in 2014 is $2 billion with 45% targeted for land and 55% for  development activities. (For perspective, PHM alone spent $4.6 billion on land  and development in 2006.)PHM continues to have meaningful development expenditures, partially due to its  Del Webb active adult (retiree) operations, but largely related to its Pulte  brand. Currently, fewer developed lots are available to buy; thus, more raw  land, which will require development spending, is being acquired for its Pulte  and Centex brands. This is also the case for other homebuilders.Fitch is comfortable with PHM's land strategy given the company's cash position,  debt maturity schedule, proven access to the capital markets, and management's  demonstrated discipline in pulling back on its land and development activities  during periods of distress. Additionally, Fitch expects management to be  disciplined with the uses of its cash, refraining from significant share  repurchases or one-time dividends to its stockholders that would meaningfully  deplete its liquidity position.THE INDUSTRY Housing metrics showed improvement in 2013. Single-family housing starts grew  15.5%, while new-home sales increased 16.3%. Existing home sales advanced 9.2%  in 2013. The most recent Freddie Mac 30-year interest rate was 4.28%, 97 bps  above the all-time low of 3.31% set the week of Nov. 21, 2012. The NAR's latest  monthly existing home affordability index was 168.1, well below the all-time  high of 213.6, but still meaningfully above the 20-year average.  Housing  metrics should increase in 2014 due to faster economic growth (prompted by  improved household net worth, industrial production and consumer spending), and  consequently, some acceleration in job growth (as unemployment rates decrease to  6.9% for 2014 from an average of 7.5% in 2013), despite somewhat higher interest  rates as well as more measured home price inflation. A combination of tax  increases and spending cuts in 2013 shaved about 1.5pp off annual economic  growth, according to the Congressional Budget Office. Many forecasters expect  the fiscal drag in 2014 to be one-third that amount or less.Fitch's housing estimates for 2014 are as follows: Single-family starts are  forecast to grow almost 20% to 741,000, while multifamily starts expand about 9%  to 333,000; single-family new-home sales should grow approximately 20% to  513,000 as existing home sales advance 2.0% to 5.19 million.  Average  single-family new-home prices (as measured by the Census Bureau), which dropped  1.8% in 2011, increased 8.7% in 2012. Median new-home prices expanded 2.4% in  2011 and grew 7.9% in 2012. Average and median new-home prices improved 9.8% and  8.4%, respectively, in 2013.  New-home price inflation should moderate in 2014,  at least partially because of higher interest rates. Average and median new-home  prices should rise about 3.5% this year. RATING SENSITIVITIES Additional positive rating actions leading to a low investment-grade rating,  although unlikely in the near term, may be considered if the recovery in housing  is maintained and is better than Fitch's current outlook; PHM shows continuous  improvement in credit metrics (particularly debt-to-EBITDA of 2x or lower and  interest coverage in excess of 8.5x and then maintains those metrics); and the  company maintains a substantial liquidity position.A negative rating action could be triggered if the industry recovery dissipates;  PHM's 2014 revenues drop sharply while the EBITDA margins decline below 10%; and  PHM's liquidity position falls sharply, perhaps below $500 million.Fitch has upgraded the following ratings for PHM:PulteGroup, Inc.:--Long-term IDR to 'BB+' from 'BB';--Senior unsecured notes to 'BB+' from 'BB'.Centex Corp.:--Long-term IDR to 'BB+' from 'BB';--Senior unsecured debt to 'BB+' from 'BB'.",2014-03-10,PHM,"Mon Mar 10, 2014 | 8:53am EDT",RPT-Fitch upgrades PulteGroup's IDR to 'BB+'; outlook stable,http://www.reuters.com//article/fitch-upgrades-pultegroups-idr-to-bb-out-idUSFit69268220140310?type=companyNews
5,"   By Sagarika Jaisinghani  D.R. Horton Inc (DHI.N) and PulteGroup Inc (PHM.N), the two biggest U.S. homebuilders, said a tight supply of homes is helping them to raise prices, suggesting that the market is regaining strength ahead of the crucial spring selling season.Spring sales are to the real estate market what holiday season sales are to retailers, and the industry is hoping home buyers will return in force after a bleak winter and as mortgage rates stabilize.A dwindling number of existing homes for resale and a scarcity of ready-to-build land is allowing U.S. homebuilders to hike their prices.D.R. Horton's shares rose as much as 9 percent on Thursday, while PulteGroup's stock gained as much as 4 percent after the companies reported a 10 percent rise in average selling price for the first three months of the year.With prices ranging between $100,000 and $1 million, D.R. Horton primarily targets first-time buyers, the group considered most sensitive to interest rates.PulteGroup focuses on buyers trading up for the first time, as well as first-time buyers. Fixed 30-year mortgage rates averaged 4.49 percent last week, the Mortgage Bankers Association said, down from a high of 4.80 in September - another indication that demand could pick up after weak sales in March.The run-up in prices, coupled with the unusually cold winter and the higher rates, pushed sales of new U.S. single-family homes in March to their lowest level in eight months, according to Commerce Department data.D.R. Horton's orders rose 9 percent in the quarter compared with a year earlier and 57 percent from the preceding quarter. PulteGroup's orders fell 6 percent from a year earlier, but analysts said that did not reflect weakness in the wider housing market.The company is slowing the pace of new-home building to focus on raising prices and improving margins.RBC Capital Markets analyst Robert Wettenhall said in a note this week he expected PulteGroup's orders to fall 14 percent in the latest quarter. D.R. Horton's revenue from home sales, excluding land sales, rose 22.7 percent to $1.68 billion. Net income rose to $131.0 million, or 38 cents per share, from $111.0 million, or 32 cents per share, a year earlier.PulteGroup's net income dropped to $74.8 million, or 19 cents per share, from $81.8 million, or 21 cents per share, in the same quarter of 2013. Home sales revenue fell 1 percent to $1.09 billion.D.R. Horton's shares, which had fallen about 4 percent this year up to Wednesday, were up 7.6 percent at $22.98 in midday trading on the New York Stock Exchange.PulteGroup's shares, which had dropped 9 percent since the start of the year, were up 2 percent at $18.94.The Dow Jones U.S. Home Construction index .DJUSHB had fallen about 6 percent up to Wednesday's close.(Reporting by Sagarika Jaisinghani in Bangalore; Editing by Saumyadeb Chakrabarty and Ted Kerr)",2014-04-24,PHM,"Thu Apr 24, 2014 | 12:31pm EDT","D.R. Horton, PulteGroup raise prices in tight U.S. home market",http://www.reuters.com//article/us-dr-horton-results-idUSBREA3N1L220140424?type=companyNews
6,"  * Average selling prices rise 10 pct* D.R. Horton shares rise 9 pct, PulteGroup 4 pct* Horton's orders rise 57 pct from preceding quarter   (Adds details, background; updates shares)By Sagarika JaisinghaniApril 24 D.R. Horton Inc and PulteGroup Inc, the two biggest U.S. homebuilders, said a tight supply of homes is helping them to raise prices, suggesting that the market is regaining strength ahead of the crucial spring selling season.Spring sales are to the real estate market what holiday  season sales are to retailers, and the industry is hoping home buyers will return in force after a bleak winter and as mortgage rates stabilize.A dwindling number of existing homes for resale and a scarcity of ready-to-build land is allowing U.S. homebuilders to hike their prices.D.R. Horton's shares rose as much as 9 percent on Thursday, while PulteGroup's stock gained as much as 4 percent after the companies reported a 10 percent rise in average selling price for the first three months of the year. With prices ranging between $100,000 and $1 million, D.R. Horton primarily targets first-time buyers, the group considered most sensitive to interest rates.PulteGroup focuses on buyers trading up for the first time, as well as first-time buyers.Fixed 30-year mortgage rates averaged 4.49 percent last week, the Mortgage Bankers Association said, down from a high of 4.80 in September - another indication that demand could pick up after weak sales in March. The run-up in prices, coupled with the unusually cold winter and the higher rates, pushed sales of new U.S. single-family homes in March to their lowest level in eight months, according to Commerce Department data.D.R. Horton's orders rose 9 percent in the quarter compared with a year earlier and 57 percent from the preceding quarter.PulteGroup's orders fell 6 percent from a year earlier, but analysts said that did not reflect weakness in the wider housing market.The company is slowing the pace of new-home building to focus on raising prices and improving margins. RBC Capital Markets analyst Robert Wettenhall said in a note this week he expected PulteGroup's orders to fall 14 percent in the latest quarter.D.R. Horton's revenue from home sales, excluding land sales, rose 22.7 percent to $1.68 billion. Net income rose to $131.0 million, or 38 cents per share, from $111.0 million, or 32 cents per share, a year earlier.PulteGroup's net income dropped to $74.8 million, or 19 cents per share, from $81.8 million, or 21 cents per share, in the same quarter of 2013. Home sales revenue fell 1 percent to $1.09 billion.D.R. Horton's shares, which had fallen about 4 percent this year up to Wednesday, were up 7.6 percent at $22.98 in midday trading on the New York Stock Exchange.PulteGroup's shares, which had dropped 9 percent since the start of the year, were up 2 percent at $18.94.The Dow Jones U.S. Home Construction index had  fallen about 6 percent up to Wednesday's close.   (Reporting by Sagarika Jaisinghani in Bangalore; Editing by Saumyadeb Chakrabarty and Ted Kerr)",2014-04-24,PHM,"Thu Apr 24, 2014 | 12:31pm EDT","UPDATE 2-D.R. Horton, PulteGroup raise prices in tight U.S. home market",http://www.reuters.com//article/dr-horton-results-idUSL3N0NG3R520140424?type=companyNews
7,"  * First-quarter home sales revenue drops 1 pct* Earnings $0.19/share vs $0.21/share a year earlier* Home closings fall 10 pct* Average selling price rises 10 pct   (Adds details, background, shares) April 24 PulteGroup Inc, the No. 2 U.S. homebuilder, reported an 8 percent drop in first-quarter profit as a shortage of developed land constrained its ability to build more homes.The company also reported a 6 percent drop in orders as it slows the pace of new-home building to focus on raising selling prices and improving margins. PulteGroup's average selling price rose 10 percent to $317,000, but was not enough to offset a 10 percent drop in the number of completed homes. Home sales revenue fell 1 percent to $1.09 billion.The company's net income dropped to $74.8 million, or 19 cents per share, in the quarter ended March 31, from $81.8 million, or 21 cents per share, a year earlier.PulteGroup's shares closed at $18.57 on the New York Stock Exchange on Wednesday. They have dropped 9 percent so far this year, compared with a 6 percent decline in the Dow Jones U.S. Home Construction index.   (Reporting by Sagarika Jaisinghani in Bangalore; Editing by Sriraj Kalluvila and Maju Samuel)",2014-04-24,PHM,"Thu Apr 24, 2014 | 7:18am EDT",UPDATE 1-Shortage of developed land hits PulteGroup profit,http://www.reuters.com//article/pultegroup-results-idUSL3N0NG3K620140424?type=companyNews
8,"  PulteGroup Inc (PHM.N), the No. 2 U.S. homebuilder, reported an 8 percent drop in quarterly profit as it handed over fewer homes to buyers and said orders fell 6 percent.The company's net income dropped to $74.8 million, or 19 cents per share, in the first quarter ended March 31 from $81.8 million, or 21 cents per share, a year earlier. PulteGroup finished 3,436 homes in the quarter, down 10 percent from a year earlier.  (Reporting by Sagarika Jaisinghani in Bangalore; Editing by Sriraj Kalluvila)",2014-04-24,PHM,"Thu Apr 24, 2014 | 6:46am EDT",PulteGroup profit falls 8 percent as home deliveries fall,http://www.reuters.com//article/us-pultegroup-results-idUSBREA3N0SU20140424?type=companyNews
9,"  April 24 PulteGroup Inc, the No. 2 U.S. homebuilder, reported an 8 percent drop in quarterly profit as it handed over fewer homes to buyers and said orders fell 6 percent.The company's net income dropped to $74.8 million, or 19 cents per share, in the first quarter ended March 31 from $81.8 million, or 21 cents per share, a year earlier.  PulteGroup finished 3,436 homes in the quarter, down 10 percent from a year earlier.   (Reporting by Sagarika Jaisinghani in Bangalore; Editing by Sriraj Kalluvila) ",2014-04-24,PHM,"Thu Apr 24, 2014 | 6:44am EDT",PulteGroup profit falls 8 pct as home deliveries fall,http://www.reuters.com//article/pultegroup-results-idUSL3N0NG3F820140424?type=companyNews
