,Article,Date,Symbol,Time,Title,Url
0,"  Jan 29 U.S. refining company Phillips 66  said on Wednesday its fourth-quarter profit rose, topping Wall Street estimates, as refining margins were better than anticipated.The Houston-based company had a quarterly profit of $826 million, or $1.37 per share, compared with $708 million, or $1.11 per share in the same quarter a year earlier. Adjusting for certain items, Phillips 66 had a per share profit of $1.34. Analysts on average had expected a profit of $1.10 per share, according to Thomson Reuters I/B/E/S. Analysts at Houston-based energy investment bank Simmons & Co said Phillips earnings beat was driven by robust refining gross margins. Still, the company's marketing, chemical and transportation and processing businesses fell short of Simmons' expectations, the firm said in a note to clients.Shares of Phillips fell to $73.01 in premarket trade from Tuesday's New York Stock Exchange close of $75.08.",2014-01-29,PSX,"Wed Jan 29, 2014 | 9:29am EST",UPDATE 1-Phillips 66 quarterly profit up on improved refining margins,http://www.reuters.com//article/phillips66-earnings-idUSL2N0L30WI20140129?type=companyNews
1,"  U.S. refining company Phillips 66 (PSX.N) said on Wednesday its fourth-quarter profit rose, helped by stronger results in its transportation and processing and chemicals businesses.The Houston company had a quarterly profit of $826 million, or $1.37 per share, compared with $708 million, or $1.11 per share in the same quarter a year earlier.  (Reporting by Anna Driver; Editing by Jeffrey Benkoe) ",2014-01-29,PSX,"Wed Jan 29, 2014 | 8:30am EST",Phillips 66 4th-quarter profit higher,http://www.reuters.com//article/us-phillips66-earnings-idUSBREA0S11920140129?type=companyNews
2,"  Jan 29 U.S. refining company Phillips 66  said on Wednesday its fourth-quarter profit rose, helped by stronger results in its transportation and processing and chemicals businesses. The Houston company had a quarterly profit of $826 million, or $1.37 per share, compared with $708 million, or $1.11 per share in the same quarter a year earlier.  ",2014-01-29,PSX,"Wed Jan 29, 2014 | 8:17am EST",Phillips 66 4th-quarter profit higher,http://www.reuters.com//article/phillips66-earnings-idUSL2N0L211H20140129?type=companyNews
3,"  WASHINGTON, March 17 Five oil companies submitted winning bids for the 5 million barrels of crude offered in the first test sale of the U.S. strategic oil reserve in more than two decades, the U.S. Department of Energy said on Monday.     Phillips 66 bought the most oil from the auction, which wrapped up on Friday, successfully bidding on 2.04 million barrels of oil.     The Obama administration offered up 5 million barrels of sour crude from the Strategic Petroleum Reserve last week. Federal officials said the auction was designed to assess the country's ability to respond to changing energy markets in case of a disruption in oil supplies.      The government-owned emergency stockpile can hold up to 727 million barrels of oil in deep underground storage caverns created in salt domes under the Texas and Louisiana Gulf Coasts.     The federal government should earn nearly $500 million dollars from the sale, based on the winning bids.     Royal Dutch Shell bought the second largest amount of oil from the sale, purchasing 1.22 million barrels, followed by Marathon Petroleum Corp, which bought 1.2 million barrels.     Exxon Mobil bought 500,000 barrels of crude in the sale, while Mercuria Energy Trading bought 40,000 barrels.     Successful bids in the auction ranged from around $95.40 a barrel to as much as $103.012 a barrel.     The DOE has said it would deliver the fuel to the buyers between April 1 and May 10.     It was the first test sale from the reserve since 1990.                  Company  Unit price  Volume    Delivery  Total                      ($/barrel)                      price   ExxonMobil             98.1762            pipeline                                            250,000               24.544  ExxonMobil             97.1777            pipeline                                            250,000               24.294  Marathon Petroleum       99.57            pipeline                                            300,000               29.871  Marathon Petroleum       99.32            pipeline                                            250,000               24.830  Marathon Petroleum       99.07            pipeline                                            200,000               19.814  Marathon Petroleum       98.27            pipeline                                            250,000               24.568  Marathon Petroleum       98.97            pipeline                                            200,000               19.794  Mercuria Energy        95.4038            barge               Trading                          40,000                3.816  Phillips 66              98.75            barge                                                40,000                3.950  Phillips 66            103.012            pipeline                                            200,000               20.602  Phillips 66              99.25            barge                                                40,000                3.970  Phillips 66            102.162            pipeline                                            200,000               20.432  Phillips 66             97.602            barge                                                40,000                3.904  Phillips 66            102.012            pipeline                                            200,000               20.402  Phillips 66              98.12            barge                                                40,000                3.924  Phillips 66            100.612            pipeline                                            200,000               20.122  Phillips 66            101.012            pipeline                                            200,000               20.202  Phillips 66             96.952            barge                                                40,000                3.878  Phillips 66             99.212            pipeline                                            200,000               19.842  Phillips 66            100.512            pipeline                                            200,000               20.102  Phillips 66             95.802            barge                                                40,000                3.832  Phillips 66              99.01            pipeline                                            200,000               19.802  Phillips 66             97.512            pipeline                                            200,000               19.502  Shell Trading           96.932            vessel                                              520,000               50.404  Shell Trading           97.302            barge                                               100,000                9.730  Shell Trading           98.702            pipeline                                            300,000               29.610  Shell Trading           97.452            pipeline                                            300,000               29.235   ",2014-03-17,PSX,"Mon Mar 17, 2014 | 5:07pm EDT","UPDATE 1-U.S. Energy Dept. releases ""test"" oil reserve sales details",http://www.reuters.com//article/usa-energy-reserves-idUSL2N0ME18220140317?type=companyNews
4,"  * China bought first U.S. LPG in 2013* But Sinopec-Phillips 66 deal signals involvement of big oil* China now looking at using fuel to make petrochemicals* U.S. exports of LPG could roughly triple by 2020-analyst* To heat up competition with Middle East suppliers to AsiaBy Chen AizhuBEIJING, April 10 A deal between China's top refiner Sinopec Corp and Phillips 66 could be a game changer that signals the United States is on track to become one of the top suppliers of liquefied petroleum gas (LPG) to the world's second-biggest economy.China is the biggest consumer of LPG, a compressed mix of propane and butane, used for heating and transport, and now increasingly being considered for making petrochemicals.As demand in China soars, the U.S. shale boom has led to a surge in production of LPG, which is bringing down global prices and challenging established suppliers in the Middle East.Washington restricts exports of crude and has only slowly opening up liquefied natural gas shipments for energy security reasons, but there are no such limits on LPG sales.China's first purchases of U.S. LPG were made last year, amounting to 3,530 barrels per day, according to Chinese customs' data, in deals done by little known private firms.But marking the entry of big oil Sinopec Corp and U.S. refining company Phillips 66 struck a deal last month to supply U.S. LPG for delivery likely to start in 2016 and put by traders at about 34,000 bpd worth around $850 million at current prices.Sinopec, China's top ethylene producer, is looking at using U.S. LPG for making petrochemicals due to cheaper pricing and shortages of the traditional feedstock naphtha, a product from processing crude oil. ""The U.S. shale boom could lead to a fresh way of developing China's petrochemical sector,"" said Mao Jiaxiang, deputy head of Sinopec's research arm, China Petrochemical Consulting Corp.""We're evaluating the competitiveness of U.S. light-end feedstocks versus naphtha as a petrochemical feedstock,"" added Mao.U.S. exports of LPG could roughly triple by 2020 from last year to around 635,000-795,000 barrels per day, energy consultancy FACTS Global Energy estimated.China has lined up about 100,000 bpd of long-term U.S. LPG imports with supplies mostly starting in 2015-16, including the Sinopec deal and otherwise mainly involving smaller firms, traders said. China's total LPG imports could reach half-a-million bpd by 2020, up nearly four-fold from last year and overtaking other key Asian importers such as Singapore and Indonesia, they said.""The supply overhang of U.S. LPG...would put America in direct competition against the Middle East, vying for the China market,"" said Al Troner of Houston-based Asia Pacific Energy Consulting.Middle East suppliers such as Qatar, the United Arab Emirates and Saudi Arabia together supplied 80 percent of China's LPG imports of 132,000 bpd in 2013. PETROCHEMICAL FEEDSTOCK China is the world's largest LPG consumer, using about 874,000 bpd, though the bulk of this is for heating or transportand only 5 percent is used in the petrochemical sector.Most of China's own LPG supplies come as a by-product in refineries and normally contain olefins containing coke that can create unwanted residue in steam crackers that makes it more dirty and expensive to use as a feedstock for petrochemicals. LPG from gas fields contains no olefins.Colin Shelley of FACTS Global Energy said that China's imports had the potential to rise sharply now that LPG was being increasingly looked at as a feedstock to make petrochemicals. ""Sinopec is taking the lead. We may see CNOOC, we may also see PetroChina,"" he said.Last June, Sinopec proposed building a $3.1 billion ethylene plant in eastern China, which would be the company's first to use natural gas and LPG as a feedstock.CNOOC, parent of CNOOC Ltd, is also considering using LPG for its new 1 million tonne-per-year cracker in Guangdong province, said a company official.ATTRACTIVE PRICING Currently traders estimate U.S. LPG costs roughly $850 per tonne, $50-100 per tonne lower than Middle East supplies for May delivery to China.It is also cheaper than naphtha for China delivery at about $1,000-1,200 per tonne.The bulk of China's 100,000 bpd U.S. LPG orders is due for delivery from 2015-2016 when U.S. export facilities are completed and after an expansion of the Panama Canal to allow through bigger tankers, known as very large gas containers (VLGC), to cut the journey time to Asia by more than two weeks.LPG is transported in tankers at around minus 40 degrees Celsius, although not super-chilled to the extent of LNG at about minus 160 degree Celsius.Apart from Sinopec, other Chinese buyers of LPG are mostly private investors in propane dehydrogenation (PDH) plants, which process propane into propylene, used in plastic products.China's Tianjin Bohai Chemical Industry Group launched in September a 600,000 tonne-per-year PDH plant in the northern city of Tianjin, the first of about 10 such plants being built or planned to cash in on a shortage of propylene.The plants have been tying up with U.S. LPG firms such as Enterprise Product Partners and Targa Resources Corp .    (Additional reporting by Seng Li Peng in Singapore; Editing by Ed Davies)",2014-04-09,PSX,"Wed Apr 9, 2014 | 5:00pm EDT","Riding shale boom, U.S to become major LPG supplier to China",http://www.reuters.com//article/usa-lpg-china-idUSL4N0MO20820140409?type=companyNews
5,"  NEW YORK, April 11 Phillips 66 joined a long list of companies exporting U.S. oil to Canada after it secured a license to do so last year, the company said late on Thursday.The Houston-based company does not own a refinery in Canada, unlike other exporters like Valero Energy, which sends U.S. oil to its Quebec refinery.""A Phillips 66 spokesman declined to say where in Canada its exports are headed and in what volume.  He also didn't disclose if the oil will reach its destination via rail or barges.""""As a matter of practice, Phillips 66 does not comment on commercial activity,"" spokesman Dennis Nuss said.The United States does not allow exports of its own oil, but makes exceptions such as barrels going to Canada and re-exports of foreign oil.Nonetheless, the U.S. Department of Commerce has issued 43 licenses over the last six months allowing companies to export U.S. oil for use by Canadian refineries. Earlier this year, Houston-based Phillips 66 came out in support of lifting the decades-old ban on exports. The company is among the few independent refiners advocating for exports while other refiners like Valero oppose them.Phillips 66 Chief Executive Greg Garland said on Thursday the United States is unlikely to make meaningful policy changes anytime soon, with American consumers still concerned that exports will result in higher gasoline prices. His company is making a bet on that projection. Phillips 66 plans to build a condensate splitter at its 247,000 barrels-per-day Sweeny refinery in Texas, which will allow it to process condensates into fuel components that can be exported.Last week, Enbridge Inc became the first company to confirm plans to re-export Canadian oil from the United States followed by Valero Energy. (Reporting by Selam Gebrekidan; Editing by Alden Bentley)",2014-04-11,PSX,"Fri Apr 11, 2014 | 10:27am EDT",Phillips 66 says exporting U.S. oil to Canada,http://www.reuters.com//article/usa-exports-oil-idUSL2N0N30UM20140411?type=companyNews
6,"  (Repeats to additional subscribers)DUBLIN, April 13 U.S. independent refiner Phillips 66 has pulled the sale of its Irish refinery after receiving limited interest since putting it on the block last year, Chief Executive Greg Garland was quoted as saying on Sunday.Garland said last September that potential buyers were interested in the 71,000 barrels-per-day (bpd) Whitegate plant - the only refinery operating in the country - but said on Sunday that Phillips had told the Irish government that it had ""laid down"" the sales process.""In Whitegate, we gave it a good try. We had the asset on the market for more than a year and I would say we've got limited to negative interest in that facility,"" Garland was quoted as saying in the Sunday Independent newspaper. Garland said that the company would continue with the sale of a nearby refined products storage terminal, adding that it was committed to running the Whitegate refinery in the southern county of Cork until mid-2016.Phillips 66 could not be immediately reached for comment. Analysts had speculated that buyers would be hard to find. Europe's refineries have struggled because of overcapacity and as cheap U.S. fuel imports and more competitive plants in Asia and the Middle East erode their margins. Ireland's energy minister said last year that given the country's complete reliance on oil imports, the continued operation of a single refinery was ""highly desirable"" to give it flexibility in the event of an oil supply disruption.(Reporting by Padraic Halpin; editing by Keiron Henderson)",2014-04-13,PSX,"Sun Apr 13, 2014 | 7:14am EDT",RPT-Phillips 66 cancels sale of Irish refinery-report,http://www.reuters.com//article/phillips66-ireland-idUSL6N0N50D020140413?type=companyNews
7,"  DUBLIN, April 13 U.S. independent refiner Phillips 66 has pulled the sale of its Irish refinery after receiving limited interest since putting it on the block last year, Chief Executive Greg Garland was quoted as saying on Sunday.Garland said last September that potential buyers were interested in the 71,000 barrels-per-day (bpd) Whitegate plant - the only refinery operating in the country - but said on Sunday that Phillips had told the Irish government that it had ""laid down"" the sales process.""In Whitegate, we gave it a good try. We had the asset on the market for more than a year and I would say we've got limited to negative interest in that facility,"" Garland was quoted as saying in the Sunday Independent newspaper.Garland said that the company would continue with the sale of a nearby refined products storage terminal, adding that it was committed to running the Whitegate refinery in the southern county of Cork until mid-2016. Phillips 66 could not be immediately reached for comment. Analysts had speculated that buyers would be hard to find. Europe's refineries have struggled because of overcapacity and as cheap U.S. fuel imports and more competitive plants in Asia and the Middle East erode their margins.Ireland's energy minister said last year that given the country's complete reliance on oil imports, the continued operation of a single refinery was ""highly desirable"" to give it flexibility in the event of an oil supply disruption. (Reporting by Padraic Halpin; editing by Keiron Henderson)",2014-04-13,PSX,"Sun Apr 13, 2014 | 7:05am EDT",Phillips 66 cancels sale of Irish refinery-report,http://www.reuters.com//article/phillips66-ireland-idUSL6N0N50C620140413?type=companyNews
8,"  * Profit up as focus increases on midstream and chemicals* Company ordering more railcars to keep up with crude by rail growth* Project to process more oil at Illinois refinery announced   (Adds financial details, executive comments, updates share price)By Kristen Hays and Anna DriverApril 30 Phillips 66, the second-largest independent U.S. oil refiner, reported a higher-than-expected quarterly profit on Wednesday, helped by a big gain from a share exchange and its chemicals and midstream businesses.Crude oil and natural gas pumped from shale formations in the United States have lowered feedstock costs for companies such as Phillips, which is expanding its network of pipelines and processing facilities for increasing onshore output.Phillips, based in Houston, had a first-quarter profit of $1.6 billion, or $2.67 per share, compared with $1.41 billion, or $2.23 a share, in the same quarter of 2013.Excluding a one-time gain of $706 million primarily related to Berkshire Hathaway Inc's deal to swap its Phillips 66 shares for ownership of the company's specialty products unit, Phillips 66 earned $1.47 per share. Analysts, on average, had expected a profit of $1.34 per share, according to Thomson Reuters I/B/E/S.The results topped expectations on the performance of the chemicals and midstream businesses, analysts at Credit Suisse said in a note to clients.Earnings in the company's refining business slumped to $306 million from $904 million in the first quarter of 2013, hurt by plant maintenance and lower margins.Profit from the company's interest in Chevron Phillips Chemical company was $316 million, up 12 percent from a year earlier. MORE RAILCARS Phillips 66 is increasing its capability to receive North Dakota crude via rail at its New Jersey and West Coast refineries, and has ordered 1,200 new tank railcars to move it.That is in addition to 2,000 railcars the company received last year. A spate of fiery crude train crashes last year has increased regulatory scrutiny of the safety of the oil-by-rail movement, which has boomed in tandem with growing U.S. inland oil production.Last week Canadian regulators ordered that all tank railcars that do not meet the industry's latest safety standards adopted in October 2011 be phased out in three years, and U.S. regulators are expected to recommend similar or possibly tougher rules.Phillips 66's new fleet and the railcars on order meet the latest standard, Tim Taylor, executive vice president of  commercial, marketing, transportation and business development for Phillips 66, told analysts on Wednesday. The company also is working with contractors and shippers to ensure their fleets do the same.""Certainly we will comply, but we want them to meet the newest specification,"" he said.Also on Wednesday, Cenovus Energy Inc announced a $100 million project to expand capacity at its joint-venture 333,000 barrels-per-day (bpd) refinery in Wood River, Illinois, which Phillips 66 operates as part of the 50-50 agreement.The project, which will allow the plant to fully utilize processing capabilities after a $4 billion expansion to run more Canadian heavy crude, will start up in the first quarter of 2016.Shares of Phillips were up 4 cents at $83.79 on Wednesday afternoon on the New York Stock Exchange.   (Reporting by Anna Driver; editing by Bernadette Baum and Matthew Lewis)",2014-04-30,PSX,"Wed Apr 30, 2014 | 2:07pm EDT","UPDATE 2-Phillips 66 profit tops street, shale boom helps",http://www.reuters.com//article/phillips-66-results-idUSL2N0NM0NY20140430?type=companyNews
9,"  May 7 Phillips 66, the second-largest independent U.S. oil refiner, raised its quarterly dividend on Wednesday by 28 percent.The company declared a dividend of 50 cents payable on June 2 to common shareholders of record by May 19.  Shares of Phillips 66 rose 0.8 percent to $84.93 in Wednesday afternoon trading.   (Reporting by Ernest Scheyder; Editing by David Gregorio) ",2014-05-07,PSX,"Wed May 7, 2014 | 1:21pm EDT",Phillips 66 boosts dividend by 28 percent,http://www.reuters.com//article/phillips-66-dividends-idUSL2N0NT1N120140507?type=companyNews
