,Article,Date,Symbol,Time,Title,Url
0,"  (For more market insights, including options activity, click on  ; for the Day Ahead newsletter link.reuters.com/mex49s)** BOEING CO, Tuesday close $137.09The planemaker's reported strong fourth-quarter results.** DOW CHEMICAL CO, Tuesday close $43.06, +7.76 pct premarketThe largest U.S. chemical maker by sales raised its dividend 15 percent and expanded its share buyback program to $4.5 billion from $1.5 billion after posting a fourth-quarter profit.** TUPPERWARE BRANDS CORP, Tuesday close $83.77The kitchen storage container maker reported lower-than-expected quarterly results hurt by weak sales in established markets such as Germany, United States and Canada.** ROCKWELL AUTOMATION INC, Tuesday close $115.01The company, which makes systems that help factories run smoothly, posted a 23 percent rise in quarterly profit, partly due to sales increases in the United States and Asia Pacific.** EMC CORP, Tuesday close $25.38, -2.13 pct premarketProfit rose 17 percent in the fourth quarter due to higher sales of the company's data storage equipment.** BIOGEN IDEC INC, Tuesday close $305.65, -0.21 pct premarketThe company said fourth-quarter profit soared 57 percent, helped by strong sales of its new multiple sclerosis drug, Tecfidera.** PRAXAIR INC, Tuesday close $125.7, +0.37 pct premarketThe largest industrial gas supplier in the Americas raised its dividend by 8 percent and said it would buy back stock worth $1.5 billion, after reporting a 15 percent rise in quarterly profit.** SOUTHERN CO, Tuesday close $83.77The power company reported a 6 percent rise in fourth-quarter revenue.** AT&T INC, Tuesday close $33.7, -2.94 pct premarketThe telecom company's fourth-quarter wireless subscriber growth and its free cash flow target lagged well behind analyst estimates. Chief Executive Randall Stephenson said a U.S. spying scandal was hurting the company's business.At least one brokerage cut its rating on the stock.** FORD MOTOR CO, Tuesday close $15.72, -0.57 pct premarket The company reported higher-than-expected quarterly results on Tuesday as earnings in its core North American market fell less steeply than Wall Street expected, but declining vehicle prices there raised concerns about 2014.Ford joined a growing number of multinational companies expressing concern that economic turmoil in Venezuela and Argentina could spell trouble for 2014 profits. High inflation in the two countries, along with concern about how their governments will try to steady their economies has Ford rethinking its annual forecasts for South America.** PFIZER INC, Tuesday close $30.42The company reported better-than-expected fourth-quarter results on Tuesday, helped by higher sales of drugs for cancer, nerve pain and arthritis, and forecast 2014 earnings in line with Wall Street estimates.** VERIZON COMMUNICATIONS INC, Tuesday close $47.36** VODAFONE GROUP PLC, Tuesday close $37.17, +0.35 pct premarketShareholders of both Vodafone and Verizon approved Verizon's $130 billion takeover of their Verizon Wireless venture on Tuesday, paving the way for the third-biggest deal in corporate history.** WAL-MART STORES INC, Tuesday close $74.67, +1.25 pct premarketThe U.S. retailer said it will upgrade its vendor compliance process in China, requiring more documentation and making use of a computer-based system to help suppliers manage associated paperwork.** APPLE INC, Tuesday close $506.5, +0.15 pct premarketThe company may have to wait a little longer for its watershed moment in China. A disappointing March-quarter revenue forecast, coupled with surprisingly weak holiday iPhone sales, suggest pundits may have over-estimated initial demand from China Mobile's 700 million-plus subscribers, a key factor that has pushed its shares 18 percent higher in the fourth quarter. ** CIRRUS LOGIC INC, Tuesday close $18.74, -5 pct after marketThe company, whose audio chips are used in Apple's iPhones and iPads, forecast current-quarter revenue that missed analysts' average estimate.** VMWARE INC, Tuesday close $94.94, +0.06 pct premarketThe virtualization software maker reported a slightly better-than-expected quarterly profit helped by higher revenue from license sales.At least four brokerages raised their price targets on the stock.** ELECTRONIC ARTS INC, Tuesday close $24.87, +4.54 pct premarketThe videogame publisher lowered its 2015 revenue forecast on Tuesday as the arrival of new Xbox One and PlayStation 4 consoles has hurt sales of games for older consoles sooner than the industry had anticipated.At least two brokerages raised their price targets on the stock.** CHECK POINT SOFTWARE TECHNOLOGIES LTD, Tuesday close $65.93, +3.14 pct premarketThe computer security specialist topped fourth-quarter profit and revenue forecasts and said it sees growth continuing into 2014 on strong demand for high-end products that protect data centers.** AMGEN INC, Tuesday close $120.7, +2.4 pct after market The world's biggest biotechnology company on Tuesday reported a quarterly profit that beat Wall Street forecasts as it gained full control of its blockbuster rheumatoid arthritis drug Enbrel and recorded solid growth in sales of newer products. The company also announced another positive result from a late-stage study of its high-profile experimental cholesterol drug, evolocumab.At least four brokerages raised their price targets on the stock.** ABERCROMBIE & FITCH CO, Tuesday close $36.27The teen apparel retailer stripped Chief Executive Mike Jeffries of his chairman duties, bowing to investor pressure to reduce his control over the struggling company.** YAHOO INC, Tuesday close $38.22, -4.50 pct premarketThe company's online ad prices slid again in the fourth quarter and Alibaba, the Chinese e-commerce giant in which it owns a big stake, saw revenue growth decelerate from its recent rip-roaring pace. Overall revenue fell 6 percent in the last three months of the year, the company said.At least two brokerages cut their price targets on the stock.** QUALCOMM INC, Tuesday close $71.99, -1.93 pct premarketThe world's biggest cellphone chip maker may be hit with a record fine exceeding $1 billion in a Chinese antitrust probe, raising the specter of harsh penalties for foreign firms facing an increasingly aggressive regulator.** NOVARTIS AG, Tuesday close $79.56, -100.00 pct premarketThe Basel-based company is looking at options, such as joint ventures, for three smaller businesses to bring them in line with its world-leading pharmaceutical operations, it said, in a review due to be completed by the end of summer.** TEVA PHARMACEUTICAL INDUSTRIES, Tuesday close $44.1, +3.40 pct premarketTeva's shares open higher after the company said  U.S. regulators approved its three-times-a-week multiple sclerosis drug Copaxone. The world's largest generics drugmaker has been banking on a three-times-a-week version of Copaxone ahead of possible competition from generic rivals of the drug this year.** MEDIVATION INC, Tuesday close $75.78, +13.49 pct premarketThe company's drug for advanced prostate cancer significantly delayed progression of the disease and extended survival in a large, late stage study of patients who had not yet received chemotherapy, likely paving the way for an expanded approval of the medicine.** FACEBOOK INC, Tuesday close $55.14, +0.11 pct premarketThe company's executive in charge of revolutionizing data centers on Tuesday lauded low-energy server technology that is expected to compete against heavyweight Intel Corp.** COMMVAULT SYSTEMS, Tuesday close $76.1The company, which makes software applications to manage data and information, is scheduled to report third-quarter results before the bell.** MEREDITH CORP, Tuesday close $44.49The media and marketing company is expected to report second-quarter results before the bell.   (Compiled by Natalie Grover in Bangalore; Editing by Joyjeet Das)",2014-01-29,PX,"Wed Jan 29, 2014 | 7:43am EST","MARKET PULSE-Boeing, Dow, Tupperware, EMC, Biogen, Praxair, Rockwell",http://www.reuters.com//article/markets-usa-stocks-pulse-idUSL3N0L24SU20140129?type=companyNews
1,"  Jan 29 Praxair Inc, the largest industrial gas supplier in the Americas, raised its dividend by 8 percent and said it would buy back stock worth $1.5 billion, after reporting a 15 percent rise in quarterly profit.The company's net income rose to $474 million, or $1.59 per share, in the fourth quarter ended Dec. 31 from $414 million, or $1.38 per share, a year earlier.  Sales climbed 7.5 percent to $3.01 billion. ",2014-01-29,PX,"Wed Jan 29, 2014 | 6:13am EST","Praxair raises dividend, to buy back $1.5 bln in stock",http://www.reuters.com//article/praxair-results-idUSL3N0L33CL20140129?type=companyNews
2,"  Mar 04 (Reuters) -Following are terms and conditionsof a bond priced on Tuesday.Borrower                Praxair IncIssue Amount            600 million euroMaturity Date           March 11, 2020Coupon                  1.5 pctReoffer price           99.494Reoffer yield           1.589 pctSpread                  40 basis pointsUnderlying govt bond    Over Mid-swaps, equivalent to 83.8bp Over the DBRPayment Date            March 11, 2014Lead Manager(s)         Credit Suisse, Deutsche Bank & HSBCRatings                 A2 (Moody's)Listing                 New York Full fees               UndisclosedDenoms (K)              100 - 1Governing Law           New YorkISIN                    XS1043498382  Security details and RIC, when available, will beonCustomers can right-click on the code forperformance analysis of this new issueFor all bonds data, double click onFor Top international bonds newsFor news about this issuer, double click on the issuer RIC,where assigned, and hit the newskey (F9 on Reuters terminals)",2014-03-04,PX,"Tue Mar 4, 2014 | 10:09am EST",New Issue-Praxair prices 600 mln euro 2020 bond,http://www.reuters.com//article/idUSL3N0M145A20140304?type=companyNews
3,"  July 23 Industrial gas supplier Praxair Inc  reported a 5 percent rise in quarterly profit, buoyed by increased prices and higher sales to the energy, chemicals and manufacturing industries.Net income rose to $467 million, $1.58 per share, in the second quarter ended June 30, from $445 million, or $1.49 per share, a year earlier.  Total sales rose 3 percent to $3.11 billion, driven mainly by higher sales from project start-ups in North America and Asia.   (Reporting By Kanika Sikka and Sneha Banerjee in Bangalore; Editing by Savio D'Souza) ",2014-07-23,PX,"Wed Jul 23, 2014 | 6:12am EDT",Industrial gas supplier Praxair's profit rises 5 pct,http://www.reuters.com//article/praxair-results-idUSL4N0PY2NR20140723?type=companyNews
4,"  (Adds details from conference call, analyst comment, background, share movement)By Kanika Sikka and Anannya PramanickJuly 23 Air Products and Chemicals' new chief executive said he would aim to improve the operational performance of the company's businesses and generate cash before deciding on the sale of any unit.The industrial gas supplier's shares rose 4 percent to a life-high of $135.97.Seifi Ghasemi, who successfully executed a number of deals as CEO of Rockwood Holdings Inc, was appointed to the top position at Air Products last month and analysts expect him to divest some of the company's businesses.""Nothing is on sale right now. We are focused on improving performance of all of our businesses"", Ghasemi said on a conference call on Wednesday. The CEO's messages were ""well-received by investors who were looking for changes in the company and ways to improve margins,"" SunTrust Robinson analyst James Sheehan said.Air Products reported a 9 percent rise in third-quarter profit to $314 million, or $1.46 per share. The company, however, tightened its continuing operations profit forecast range for 2014. Air Products expects profit of $5.72 to $5.77 per share, compared with $5.70 to $5.85 it forecast earlier.Lower industrial activity in Latin America and moderating growth in emerging markets is expected to weigh on the company's profit this year, Sheehan said.Bigger rival Praxair Inc, also cut the upper end of its full-year profit forecast. The company's second-quarter growth was hurt by weak sales volume in South America, mainly due to negative industrial production in Brazil. Industrial output in Brazil, once one of the most dynamic of emerging economies, has slumped over the last three months and is on track to shrink more than 1 percent this year.Praxair earned 16 percent of its total quarterly revenue from Latin American countries.Air Products, which has a relatively lower exposure to the region, is depending on improvement of economic activity in the United States.Air Products shares were trading up 3 percent at $134.56 on Wednesday on the New York Stock Exchange, while that of Praxair were down less than a percent.   (Additional reporting by Sneha Banerjee, Writing by Sayantani Ghosh in Bangalore; Editing by Savio D'Souza and Sriraj Kalluvila)",2014-07-23,PX,"Wed Jul 23, 2014 | 3:14pm EDT","UPDATE 1-Air Products CEO to focus on performance for now, not sale",http://www.reuters.com//article/praxair-results-idUSL4N0PY2YN20140723?type=companyNews
5,"  Nov 21 (Reuters) -Following are terms and conditionsof a bond priced on Friday.Borrower                Praxair, Inc.Issue Amount            500 million euroMaturity Date           December 1, 2025Coupon                  1.625 pctReoffer price           99.134Yield                   1.172 pctSpread                  63 basis pointsUnderlying govt bond    over midswaps, equivalent to 93.8bp over 1.0 pct August 2024 DBRPayment Date            December 01, 2014Lead Manager(s)         Deutsche Bank, Bank of America, Citi & HSBCRatings                 A2 (Moody's) & A (S&P)Listing                 NYSE Denoms (K)              100-1Governing Law           New YorkFull fees               undisclosedISIN                    XS1143916465  Security details and RIC, when available, will beonCustomers can right-click on the code forperformance analysis of this new issueFor ratings information, double click onFor all bonds data, double click onFor Top international bonds newsFor news about this issuer, double click on the issuer RIC,where assigned, and hit the newskey (F9 on Reuters terminals)",2014-11-21,PX,"Fri Nov 21, 2014 | 9:50am EST",New Issue-Praxair prices 500 mln euro 2025 bond,http://www.reuters.com//article/idUSL3N0TB4V920141121?type=companyNews
6,"   By Nita Bhalla  BHOPAL, India (Thomson Reuters Foundation) - Hundreds of protesters gathered on Wednesday outside the abandoned factory which caused the world's deadliest industrial disaster in the Indian city of Bhopal, burning effigies and demanding justice for survivors suffering 30 years later.Elderly women and men, some of whom were injured by the toxic cyanide gas leak, together with activists, supporters and children - some born with physical and mental disabilities - held up banners and chanted ""We want justice!""In the early hours of Dec. 3, 1984, around 40 tons of methyl isocyanate gas accidentally leaked from a pesticide factory owned by U.S. multinational Union Carbide Corp. and was carried by the wind into the surrounding slums.The government recorded 5,295 deaths. Activists estimate 25,000 deaths from illnesses since the leak. Many people still suffer from cancer, blindness, respiratory problems and immune and neurological disorders, with little support, they say.""I was pregnant and living ... near the factory on that night. We woke up with our eyes burning and could hear people outside screaming,"" said Rambhai Kailash, 50, whose daughter was born with muscular dystrophy and whose husband died from cancer five years after the disaster. ""The compensation I received at the time was so little that it was immediately used up on medical treatment for my husband and daughter,"" she said as protesters lit a massive diamond-shaped effigy with a skull and ""Dow Chemical"" painted on it. Activists accuse the Indian and U.S. governments and the Dow Chemical Company, which now owns Union Carbide, of not doing enough to support victims of the disaster. They want more financial compensation for the victims and the removal of thousands of tons of toxic waste around the plant, which has seeped into the ground with activists saying this is poisoning the water of 50,000 people.     CALLS FOR FURTHER ACTION Dow Chemical has denied liability, saying it bought Union Carbide a decade after the firm settled its liabilities to the Indian government in 1989 by paying $470 million.But activists said that was a paltry sum based on the extent of human suffering and various petitions to hold Dow to account and insist on increased compensation and cleaning up the waste are being pressed in Indian and U.S. courts.""The time has come to bring Dow and Carbide to justice. No more hiding behind share ownership and legal loopholes,"" said Salil Shetty, Secretary-General of Amnesty International. A spokeswoman for Dow declined to comment, referring calls to the company's subsidiary Union Carbide Corp. An email from Tomm Sprick of the Union Carbide Information Centre said the company was not doing any interviews and referred to information on its website which features many facts ""which have been forgotten or overlooked in the past 30 years.""In an email last week, Sprick said UCC had the ""utmost respect and sympathy for the victims"" but many of the issues ""have already been resolved and responsibilities assigned.""The government of central Madhya Pradesh state, where Bhopal is located, held a prayer meeting on Wednesday to mark the 30th anniversary of the leak and the Indian parliament in New Delhi observed a two-minute silence for the victims of the disaster.  Government officials deny neglecting victims and failing to help many survivors. They say the Supreme Court decides who is eligible for compensation and free healthcare after receiving a list of the affected people.""This has been put before the Supreme Court and the court has decided, after extensive examination of their cases, what is to be paid and to whom,"" Pravir Krishn, the state's principal secretary at the department in charge of rehabilitation for Bhopal's victims, told the Thomson Reuters Foundation.Krishn said some families seeking compensation or medical help were not from contaminated locations, suggesting they falsely claimed to be victims of the tragedy.He said the state had provided 40 billion rupees ($650 million) to 575,000 people identified by the Supreme Court as being affected by the disaster, built state-of-the art hospitals and provided houses for many survivors.While many events surrounding the disaster's anniversary have focused on issues such as the lack of healthcare, compensation and job opportunities for survivors and their families, some have asked whether another Bhopal could happen.The Delhi-based think-tank Centre for Science and Environment released a book on Monday that said that while India has laws covering hazardous waste management and industrial disasters, there is no compliance.""While we have thankfully not witnessed another major Bhopal-type disaster in the last 30 years, we have a number of mini Bhopals - small types of gas leaks from industry - all over the country,"" said Sunita Narain, CSE's director.(This story was refiled to add dropped words in paragraph 19)",2014-12-03,PX,"Wed Dec 3, 2014 | 1:01pm EST",Victims call for justice 30 years after Bhopal disaster,http://www.reuters.com//article/us-india-bhopal-anniversary-idUSKCN0JH1RN20141203?type=companyNews
7,"  Sept 15 Yara International ASA :* Says signs a non-binding agreement with U.S.-based Praxair, Inc. to sell its European CO2 business for 218 million euros.* Says agreement also includes sale of Yara's remaining 34 pct stake in Yara Praxair Holding AS joint venture to Praxair for an estimated 94 million euros. * Says the transaction is expected to close in the first quarter of 2016, pending approval from competition authorities. * Says expects estimated post-tax gain of 150 million euros, including the sale of Yara Praxair Holding AS stake. * Says the deal includes an agreement for Yara to supply Praxair with raw CO2, gas and continue to operate three of the CO2 liquefaction units integrated with Yara's fertilizers plants.   Source text for Eikon:  Further company coverage:    (Reporting By Nerijus Adomaitis)",2015-09-15,PX,"Tue Sep 15, 2015 | 2:23am EDT","BRIEF-Norway's Yara to sell its European CO2 business to U.S Praxair, sees gain of EUR 150 mln",http://www.reuters.com//article/idUSASN000A5A20150915?type=companyNews
8,  April 19 Praxair Inc* Says signed a long term agreement to source carbon dioxide in US * Term agreement to purchase by-product carbon dioxide from US Nitrogen LLC  * Expects to start-up a previously announced carbon dioxide purification plant in late 2016 at a refinery in delaware  Source text for Eikon:  Further company coverage:    (Bengaluru Newsroom: +1-646-223-8780),2016-04-19,PX,"Tue Apr 19, 2016 | 9:37am EDT",BRIEF-Praxair signs long-term agreement to source carbon dioxide in US,http://www.reuters.com//article/idUSFWN17M07V?type=companyNews
9,"  April 27 Praxair Inc :* Praxair invests in the expansion of its Geismar, Louisiana facility  * Announced an investment in excess of $100 million in its Geismar, Louisiana, facility to expand its carbon monoxide production  Source text for Eikon:  Further company coverage: ",2016-04-27,PX,"Wed Apr 27, 2016 | 1:35pm EDT","BRIEF-Praxair invests in expansion of Geismar, Louisiana facility",http://www.reuters.com//article/idUSFWN17U17M?type=companyNews
