,Article,Date,Symbol,Time,Title,Url
0,"  Red Hat Inc (RHT.N) reported better-than-expected quarterly results, helped by strong subscription growth for its Linux operating system, but forecast full-year adjusted profit below average analyst estimate.Shares of the company, which rose as much as 4 percent in extended trading on the results, were down about 1 percent after the company said it expected adjusted earnings of $1.54-$1.56 per share for the year started March 1.Analysts on average were expecting $1.63 per share, according to Thomson Reuters I/B/E/S.Red Hat also said on a call with analysts that it expected full-year revenue to rise 14 percent to $1.73-$1.755 billion, compared with average estimate of $1.76 billion.The company said foreign exchange rate fluctuations and higher U.S. tax rate would affect its profit.Red Hat forecast adjusted operating margin of 23.5 percent, down from 24.5 percent in 2014, as it expects to invest more in its OpenStack and other technologies.For the first quarter, the company said it expected an adjusted profit of 32-33 cents per share on revenue of $412-$415 million. Analysts were expecting a profit of 38 cents per share on revenue of $415.9 million. Red Hat's Linux competes with Microsoft Corp's (MSFT.O) Windows operating systems in corporate markets, especially for use in servers.Linux servers are in demand as more companies use the operating system in their cloud infrastructure. Red Hat's customers include Amazon Inc (AMZN.O), Dell Inc 4331.HK, Alcatel Lucent SA ALUA.PA.Linux hardware revenue rose 14.4 percent to $4.1 billion in the fourth quarter of 2013 and share of Linux servers rose 4.6 points to represent 28.5 percent of all server revenue, according to IDC research. (r.reuters.com/huh97v)Q4 BEATS  Red Hat's net income rose to $45.07 million, or 24 cents per share, for the quarter ended February 28, from $42.97 million, or 22 cents per share, a year earlier.""The fourth quarter was ... highlighted by a record number of deals over $1 million and 24 percent growth in our billings proxy to $565 million,"" Chief Executive Jim Whitehurst said in a statement.Billings proxy is defined by the company as total revenue plus change in deferred revenue. On an adjusted basis, the company earned 39 cents per share, above analysts' consensus estimates of 37 cents per share.Revenue rose 15 percent to $400.4 million.Subscription revenue rose to $351 million.Analysts had expected revenue of $398.9 million, according to Thomson Reuters I/B/E/S.Shares of the company have gained 14 percent over the last year up to Thursday's close of $56.13.(Reporting by Soham Chatterjee; Editing by Don Sebastian)",2014-03-27,RHT,"Thu Mar 27, 2014 | 6:42pm EDT",Red Hat forecasts disappointing full-year profit,http://www.reuters.com//article/us-redhat-results-idUSBREA2Q21Z20140327?type=companyNews
1,"  * Q4 adj earnings $0.39/share vs est $0.37* Q4 rev rises 15 pct to $400.4 mln* Sees 2015 adj earnings $1.54-$1.56/share* Sees 2015 rev $1.73-$1.755 bln vs est $1.76 bln   (Adds forecast; updates shares)March 27 Red Hat Inc reported better-than-expected quarterly results, helped by strong subscription growth for its Linux operating system, but forecast full-year adjusted profit below average analyst estimate.Shares of the company, which rose as much as 4 percent in extended trading on the results, were down about 1 percent after the company said it expected adjusted earnings of $1.54-$1.56 per share for the year started March 1.Analysts on average were expecting $1.63 per share, according to Thomson Reuters I/B/E/S.Red Hat also said on a call with analysts that it expected full-year revenue to rise 14 percent to $1.73-$1.755 billion, compared with average estimate of $1.76 billion.The company said foreign exchange rate fluctuations and higher U.S. tax rate would affect its profit. Red Hat forecast adjusted operating margin of 23.5 percent, down from 24.5 percent in 2014, as it expects to invest more in its OpenStack and other technologies.For the first quarter, the company said it expected an adjusted profit of 32-33 cents per share on revenue of $412-$415 million. Analysts were expecting a profit of 38 cents per share on revenue of $415.9 million.Red Hat's Linux competes with Microsoft Corp's  Windows operating systems in corporate markets, especially for use in servers.Linux servers are in demand as more companies use the operating system in their cloud infrastructure. Red Hat's customers include Amazon Inc, Dell Inc, Alcatel Lucent SA. Linux hardware revenue rose 14.4 percent to $4.1 billion in the fourth quarter of 2013 and share of Linux servers rose 4.6 points to represent 28.5 percent of all server revenue, according to IDC research. (r.reuters.com/huh97v)Q4 BEATS Red Hat's net income rose to $45.07 million, or 24 cents per share, for the quarter ended Feb. 28, from $42.97 million, or 22 cents per share, a year earlier. ""The fourth quarter was ... highlighted by a record number of deals over $1 million and 24 percent growth in our billings proxy to $565 million,"" Chief Executive Jim Whitehurst said in a statement.Billings proxy is defined by the company as total revenue plus change in deferred revenue.On an adjusted basis, the company earned 39 cents per share, above analysts' consensus estimates of 37 cents per share.Revenue rose 15 percent to $400.4 million.Subscription revenue rose to $351 million.Analysts had expected revenue of $398.9 million, according to Thomson Reuters I/B/E/S.Shares of the company have gained 14 percent over the last year up to Thursday's close of $56.13.   (Reporting by Soham Chatterjee; Editing by Don Sebastian)",2014-03-27,RHT,"Thu Mar 27, 2014 | 6:38pm EDT",UPDATE 2-Red Hat forecasts disappointing full-year profit,http://www.reuters.com//article/redhat-results-idUSL4N0MO4IK20140327?type=companyNews
2,"  March 27 Red Hat Inc, the world's largest commercial distributor of the Linux operating system, reported a 5 percent rise in fourth-quarter profit as subscription revenue increased.Net income rose to $45.07 million, or 24 cents per share, for the quarter ended Feb. 28, from $42.97 million, or 22 cents per share, a year earlier.  Revenue rose 15 percent to $400.4 million.   (Reporting by Soham Chatterjee; Editing by) ",2014-03-27,RHT,"Thu Mar 27, 2014 | 4:08pm EDT",Red Hat fourth-quarter profit rises 5 pct,http://www.reuters.com//article/redhat-results-idUSL4N0MO4GS20140327?type=companyNews
3,"  * Markets in broad rally on hopes for China stimulus* Momentum stocks still in focus, Netflix edges lower* Red Hat down after outlook, BlackBerry up on results* Indexes up: Dow 0.8 pct, S&P 0.8 pct, Nasdaq 1 pct   (Updates to open, adds sentiment data)By Ryan VlastelicaNEW YORK, March 28 U.S. stocks climbed on Friday, with all 10 major S&P 500 sectors gaining in a broad rally after comments from a Chinese official indicated that the country's government was ready to take steps to support its slowing economy.With the day's gain, the Dow turned positive for the week and the S&P sharply cut its weekly losses and returned to solidly positive territory for 2014. The Nasdaq, however, remained on track for a negative week following an extended period of investors taking profits in some of the market's biggest outperformers. China's Premier Li Keqiang said the government had the necessary accommodative policies in place and would push ahead with infrastructure investment. ""We cannot neglect the increasing downward pressure and difficulties,"" he said in a speech on Wednesday, reported by the Xinhua news agency early on Friday.The prospect of slowing growth in China, the world's second-largest economy, has long been a market headwind. Recent data has pointed to the weakest growth there since the global financial crisis, raising hopes that Beijing would step in with support for the economy.""This could avert a slowdown in China, and any stimulus that helps growth somewhere should help growth globally,"" said Jack Ablin, chief investment officer at BMO Private Bank in Chicago.Red Hat Inc reported fourth-quarter earnings that beat expectations late Thursday, though the company gave a full-year profit view that was below forecasts. Shares fell 5.7 percent to $52.95. U.S. shares of BlackBerry  rose 1.7 percent to $9.20 after reporting an adjusted fourth-quarter loss that was much narrower than expected. It also reported revenue that was below forecasts as smartphone sales continued to slide in all regions.The Dow Jones industrial average was up 132.39 points, or 0.81 percent, at 16,396.62. The Standard & Poor's 500 Index was up 14.94 points, or 0.81 percent, at 1,863.98. The Nasdaq Composite Index was up 42.69 points, or 1.03 percent, at 4,193.93.For the week, the Dow is up 0.6 percent, the S&P is down 0.1 percent and the Nasdaq is down 1.9 percent. The week's losses were concentrated in the Nasdaq as investors took profit in some of the market's biggest outperformers, primarily in the Internet and biotech space. Some analysts say the selloff in ""momentum"" stocks has yet to run its course, though this could benefit more value-orientated names. A move to such companies helped limit the Dow's weekly decline.One of the more prominent momentum names, Netflix Inc , continued its downward trend, slipping 0.5 percent to $362.50. If the online movie renter closes lower on Friday, it will have dropped for 16 of the last 18 session, a period over which it has lost about a fifth of its value.In the latest economic data, personal income and consumption both rose 0.3 percent in February, the latest indication that weak data earlier this year was due to bad weather rather than worsening fundamentals.U.S. consumer sentiment fell in March as consumers were less hopeful about the prospects for the overall economy, according to the Thomson Reuters/University of Michigan's final March reading on the overall index on consumer sentiment. While the report was up by 0.1 from the preliminary read, it was also slightly under expectations.""Sentiment was off a bit, but still reasonably high, which is encouraging,"" Ablin said. ""It seems like we're getting past weather issues, which will allow us to look at fundamentals again.""As the first quarter draws to a close, trading may be influenced by ""window dressing,"" when money managers adjust positions to improve the look of their portfolios.    (Editing by Bernadette Baum)",2014-03-28,RHT,"Fri Mar 28, 2014 | 10:42am EDT","US STOCKS-Wall St rallies, S&P 500 cuts losses for the week",http://www.reuters.com//article/markets-usa-stocks-idUSL1N0MP0UL20140328?type=companyNews
4,"  * Nasdaq on track for biggest weekly fall since 2012* Momentum stocks still in focus, Netflix down in premarket* Red Hat down after outlook, BlackBerry up on results* Futures up: Dow 42 pts, S&P 5.1 pts, Nasdaq 14.25 pts   (Updates prices, adds economic data)By Ryan VlastelicaNEW YORK, March 28 U.S. stock index futures indicated a higher opening on Wall Street Friday, lifted by remarks from China's Premier Li Keqiang that the Chinese government was ready to take steps to support its economy.* Despite the gain implied by futures, major indexes are on track for a negative week, with the Nasdaq set for its biggest weekly decline since 2012 as investors sharply took profit in high-growth names. Trading has been volatile throughout the week, with sentiment largely driven by geopolitical uncertainty. The S&P 500 turned nearly flat for the year on Thursday.* The prospect of slowing growth in China, the world's second-largest economy, has long been a market headwind. Recent economic data has pointed to the weakest growth there since the global financial crisis, raising hopes that Beijing would step in with support. * Keqiang said the government had the necessary policies in place and would push ahead with infrastructure investment. ""We cannot neglect the increasing downward pressure and difficulties,"" he said in a speech on Wednesday, reported by the Xinhua news agency early on Friday.* Red Hat Inc reported fourth-quarter earnings that beat expectations late Thursday, though the company gave a full-year profit view that was below forecasts. Shares fell 0.9 percent to $55.60 in premarket trading.* U.S. shares of BlackBerry  rose 4.1 percent to $9.42 in premarket trading after reporting an adjusted fourth-quarter loss that was much narrower than expected. It also reported revenue that was below forecasts as smartphone sales continued to slide in all regions.* S&P 500 futures rose 5.1 points and were above fair value, a formula that evaluates pricing by taking into account interest rates, dividends and time to expiration on the contract. Dow Jones industrial average futures added 42 points and Nasdaq 100 futures rose 14.25 points. * While the S&P lost most of its 2014 gains in Thursday's session, the benchmark index managed to hold above the 1,840 level, which has recently acted as support.* For the week thus far, the Dow is down 0.2 percent, the S&P is down 0.9 percent and the Nasdaq is down 2.9 percent, its biggest weekly decline since October 2012.* Losses were concentrated in the Nasdaq as investors took profit in some of the market's biggest outperformers, primarily in the Internet and biotech space. Some analysts say the selloff in ""momentum"" stocks has yet to run its course, though this could benefit more value-orientated names. A move to such companies helped limit the Dow's weekly decline. * One of the more prominent momentum names, Netflix Inc , continued its recent decline, falling 1.1 percent to $360.31 in premarket trading. The online movie renter has fallen for 15 of the past 17 sessions, losing about a fifth of its value over that period.* In the latest economic data, personal income and consumption both rose 0.3 percent in February, the latest indication that weak data earlier this year was due to bad weather rather than worsening fundamentals.* The final March read on sentiment from the Thomson Reuters/University of Michigan Surveys of Consumers is due at 9:55 a.m. EDT (1355 GMT), and is expected to show a rise to 80.5 from 79.9.* Wal-Mart Stores Inc this week sued Visa Inc  for $5 billion, accusing the credit and debit card network of excessively high card-swipe fees, several months after the retailer opted out of a class action settlement between merchants and Visa and MasterCard Inc. Shares of Visa, a Dow component, slid 0.8 percent to $214 in premarket trading.* As the first quarter draws to a close, trading may be influenced by ""window dressing,"" when money managers adjust positions to improve the look of their portfolios.    (Editing by Bernadette Baum)",2014-03-28,RHT,"Fri Mar 28, 2014 | 8:53am EDT",US STOCKS-Futures point to Wall St gains on hopes for China stimulus,http://www.reuters.com//article/markets-usa-stocks-idUSL1N0MP0JM20140328?type=companyNews
5,"  (Adds Shell, Vale, Etihad Etisalat, America Movil and others; updates Exelon Corp)April 30 The following bids, mergers, acquisitions and disposals were reported by 2000 GMT on Wednesday:** Bayer AG is offering to swap its animal health assets for Merck & Co Inc's consumer healthcare business, people familiar with the matter said on Tuesday, in a move that could give the German drugmaker a leg-up in the $14 billion auction of the Merck business.** Exelon Corp said it would buy Pepco Holdings Inc  for $6.83 billion, helping it overtake Duke Energy Corp  as the biggest power distribution company in the United States.** Sanofi SA is looking to sell a portfolio of older drugs that could fetch $7 billion-$8 billion, according to people familiar with the matter, yet another example of drugmakers trying to shed non-core assets and focus on high-growth areas.** Australian mining firm Padbury Mining Ltd's $6.5 billion deal to fund a new iron ore port and rail development on the resource-rich western coast has fallen through, the company said on Wednesday.** French Economy Minister Arnaud Montebourg said on Wednesday that his government would examine a request from Alstom SA unions to raise the state's shareholding in the company, which is the subject of takeover talks.Separately, the head of General Electric said that talks with the French government on its offer for Alstom's  energy assets had been ""productive"" and he expressed confidence that the deal would go through despite a potential rival offer from Germany's Siemens.** Swiss private bank J. Safra Sarasin has agreed to buy Morgan Stanley's Swiss private banking unit, beefing up its business with the wealthy in the Middle East and Latin America.** China Petrochemical Corp (Sinopec Group) said on Wednesday that it and state-owned power group China Huadian Corp have agreed to take a combined 15 percent stake in a liquefied natural gas project controlled by Malaysian state oil firm Petronas in Canada.** Iran has terminated China National Petroleum Corp's  contract to develop the Azadegan oilfield after the Chinese energy giant ignored repeated appeals to work on it, Iranian news agency Shana said on Wednesday.** India's Jindal Steel and Power Ltd and JSW Steel Ltd are in competing talks to buy parts of insolvent Italian steelmaker Lucchini, sources with direct knowledge of the matter said.** German auto parts and tire maker Continental AG  plans to buy the remainder of Emitec, a supplier of emissions technology, from GKN Plc.** Linux operating system vendor Red Hat Inc said it would buy privately held storage systems provider Inktank Ceph Enterprise for $175 million to expand in the fast growing market for software-defined storage.** An Indian court has temporarily halted generic drugmaker Sun Pharmaceutical Industries Ltd's $3.2 billion takeover of rival Ranbaxy Laboratories Ltd until it decides on a petition for a probe into alleged insider trading. ** Mapletree Group, owned by Singapore's state investor Temasek Holdings Pte Ltd, plans to partner with U.S-based Oakwood Worldwide in forming a joint venture in the serviced apartment business.** Etihad Airways has signaled that it was ready to continue talks on a potential investment in Italy's troubled Alitalia but it refuses to budge on tough conditions on debt restructuring and job cuts, a source close to the talks said on Wednesday.** Israeli geothermal energy producer Ormat Industries  said its U.S. subsidiary is examining the possibility of raising money by bringing in equity partners for a small number of assets in the United States.** The banking foundation that is top shareholder in Banca Carige is awaiting clearance from Italy's Treasury to cut its stake to 19 percent from 43.4 percent at present, the chairman of the not-for-profit entity said on Wednesday.** Volkswagen AG is edging closer toward taking full control of its Swedish truck division Scania, after its buyout offer won broad support from shareholders and fell just short of an acceptance threshold.** Hastings Funds Management and China Merchants Group have won a state government auction for a 98-year lease on Australia's Port of Newcastle, the world's biggest coal export terminal, paying a higher-than-expected A$1.75 billion ($1.62 billion). ** Indonesia's PT Perusahaan Gas Negara Tbk said it will buy liquefied natural gas from BP Plc's Tangguh plant for its two floating storage facilities to meet rising demand in Southeast Asia's biggest economy.** A consortium of RRJ Capital and Temasek Holdings have agreed to invest 1.3 billion euros ($1.80 billion) in ING Groep's European and Japanese insurance and investment management unit ahead of its planned IPO, the Dutch financial services firm said in a statement on Wednesday.** Africa-focused oil and gas explorer Tullow Oil  has sold majority stakes in two UK North Sea gas assets to Faroe Petroleum Plc for $75.6 million and said it was looking for buyers of other North Sea assets.** The biggest investor in Salini Impregilo will reduce its stake in the Italian builder to around 75 percent from 90 percent by the end of the summer, Chief Financial Officer Massimo Ferrari said on Wednesday.** Israeli mobile operator Pelephone signed a deal with Sweden's Ericsson to supply equipment and build a fourth-generation (4G) network, its parent company said on Wednesday.** Croatia's state power board Hrvatska Elektroprivreda (HEP) said on Wednesday that it had received qualified bids for the construction of a 500-megawatt thermal power plant on the northern Adriatic, but declined to offer details until the bids were assessed.** Royal Dutch Shell Plc's proposed LNG Canada liquefied natural gas export plant in British Columbia tiptoed closer to reality on Wednesday, with the company signing a formalized partnership agreement with its three Asian partners, nudging the project into the next stage of development. Shell also boosted its stake in the project to 50 percent from 40 percent. ** Guinea's President Alpha Conde said on Wednesday he hoped Brazilian miner Vale would bid to reclaim two iron ore permits, because the company had not been involved in the alleged corruption that led to their cancellation.** Saudi Arabia's Etihad Etisalat (Mobily) is in talks to acquire 20 percent of Etihad Atheeb Telecommunications  through a rights issue by the loss-making telecom operator, according to a bourse statement on Wednesday.** India's Piramal Enterprises Ltd has agreed to buy a 9.99 percent stake in Shriram City Union Finance Ltd  valued at about $130 million, its latest investment in a firm linked to the Chennai-based Shriram group.** Latin America's biggest phone company America Movil  expects regulators to approve its deal to take control of Telekom Austria within two months, it said on Wednesday.** Charter Communications, which lost out to Comcast Corp in a bid to acquire Time Warner Cable Inc , has withdrawn its slate of nominees to Time Warner Cable's board. As part of a deal with Comcast announced on Monday to swap customers, Charter had withdrawn its slate, a Charter spokesman said on Wednesday.** Grupo Argos, a Colombian holding company, is looking to invest in the energy sector elsewhere in Latin America later this year, its chief executive said on Wednesday.** Lithuanian state-owned companies said they had asked the competition authority for approval to buy stakes in the Baltic state's gas and power utilities from Germany's E.ON .** Reckitt Benckiser Group said on Wednesday it was no longer in active talks with Merck & Co about buying its consumer health business, leaving Germany's Bayer  as the leading contender for the $14 billion business.** Lloyds Banking Group has reached an agreement to sell $500 million of shipping loans from its remaining ship finance portfolio as the British bank cuts sector exposure, finance and banking sources familiar with the matter said on Wednesday.** China's commerce ministry has approved with conditions German liquid crystal maker Merck KGaA's planned $2.6 billion takeover of UK-listed AZ Electronic Materials.** Energizer Holdings Inc said it planned to separate into two publicly traded companies, one for batteries and other household products and the other for personal care brands such as Schick razors and Stayfree female hygiene products.** The three brothers who own Fratelli Rossetti would consider selling part of the Italian luxury shoemaker to fund future expansion, while keeping the business founded by their father firmly under family control.** ArcelorMittal SA, the world's largest steelmaker, and Bekaert Group on Wednesday agreed to swap their stakes in their Brazil, Costa Rica and Ecuador ventures, part of a broader plan to extend a four-decade partnership in fast-growing markets, an executive said.   ($1 = 0.59 British pounds)  ($1 = 1.08 Australian dollars)  ($1 = 0.72 euros)   (Compiled by Avik Das and Ankit Ajmera in Bangalore)",2014-04-30,RHT,"Wed Apr 30, 2014 | 4:07pm EDT",Deals of the day- Mergers and acquisitions,http://www.reuters.com//article/deals-day-idUSL3N0NM3J320140430?type=companyNews
6,"   By Soham Chatterjee  Red Hat Inc, the world's largest commercial distributor of the Linux operating system, raised its full-year adjusted profit and revenue forecast, helped by strong growth in subscription revenue.Shares of Red Hat rose 4.5 percent in extended trading.""... We are benefiting from an improved IT spending environment for open source and cloud enabling technologies,"" Chief Executive Jim Whitehurst said on a conference call on Wednesday.Whitehurst said Red Hat was able to renew all of the top 25 deals up for renewal in the first quarter ended May 31 and signed a record number of deals worth a million dollars or more.Red Hat raised its full-year adjusted earnings forecast to $1.59-$1.61 per share from $1.54-$1.56.The company lifted its revenue forecast to $1.76-$1.785 billion from $1.73-$1.755 billion.Analysts on average were expecting an adjusted profit of $1.55 on revenue of $1.75 billion, according to Thomson Reuters I/B/E/S.Red Hat is benefiting from higher enterprise demand for its software used in data-centers, for cloud computing and to create virtual computers within an operating system. The company counts 90 percent of Fortune Global 500 companies as customers, including Amazon.com Inc, Dell Inc and Alcatel-Lucent SA.Red Hat - whose products competes with those of Microsoft Corp and VMware Inc - is investing in developing OpenStack open-source cloud software as companies increasingly subscribe to storage, software and computing services hosted on remote servers.The company also said on Wednesday it was buying eNovance, a provider of OpenStack-based cloud computing services, for $95 million.In April, Red Hat bought data-center storage software maker Inktank for $175 million. Q1 BEATS Red Hat's net income fell to $37.7 million, or 20 cents per share, in the first quarter, from $40.4 million, or 21 cents per share, a year earlier.Excluding items, the company earned 34 cents per share beating analysts' expectations of 33 cents per share. Revenue rose 17 percent to $423.8 million, above expectations of $414 million.""Red Hat delivered solid first-quarter results as subscription revenue, and more importantly, billings outperformed expectations,"" Evercore Partners analyst Kirk Materne told Reuters.Billings rose 17 percent in the quarter ended May 31, above analysts' expectations of growth of 15 percent.    Subscription revenue increased 16 percent to $372 million. ""Given that Red Hat's business can tend to be a little slow in their first fiscal quarter, this would appear to be a really solid start to fiscal year 2015,"" Materne said.The company's shares were at $55.50 in extended trading after closing at $53.10 on the New York Stock Exchange. (Reporting by Soham Chatterjee in Bangalore; Editing by Maju Samuel)",2014-06-18,RHT,"Wed Jun 18, 2014 | 6:23pm EDT",Red Hat raises revenue forecast on strong subscription growth,http://www.reuters.com//article/us-red-hat-results-idUSKBN0ET2TE20140618?type=companyNews
7,"  * 1st-qtr adjusted profit $0.34/shr vs est $0.33/shr* Revenue up 17 pct* Sees full-year revenue $1.76-$1.785 bln vs est $1.75 bln* Shares up 4.5 pct in extended trading   (Adds forecast; conference call comments)By Soham ChatterjeeJune 18 Red Hat Inc, the world's largest commercial distributor of the Linux operating system, raised its full-year adjusted profit and revenue forecast, helped by strong growth in subscription revenue.Shares of Red Hat rose 4.5 percent in extended trading.""... We are benefiting from an improved IT spending environment for open source and cloud enabling technologies,"" Chief Executive Jim Whitehurst said on a conference call on Wednesday.Whitehurst said Red Hat was able to renew all of the top 25 deals up for renewal in the first quarter ended May 31 and signed a record number of deals worth a million dollars or more.Red Hat raised its full-year adjusted earnings forecast to $1.59-$1.61 per share from $1.54-$1.56. The company lifted its revenue forecast to $1.76-$1.785 billion from $1.73-$1.755 billion.Analysts on average were expecting an adjusted profit of $1.55 on revenue of $1.75 billion, according to Thomson Reuters I/B/E/S.Red Hat is benefiting from higher enterprise demand for its software used in data-centers, for cloud computing and to create virtual computers within an operating system.The company counts 90 percent of Fortune Global 500 companies as customers, including Amazon.com Inc, Dell Inc and Alcatel-Lucent SA. Red Hat - whose products competes with those of Microsoft Corp and VMware Inc - is investing in developing OpenStack open-source cloud software as companies increasingly subscribe to storage, software and computing services hosted on remote servers.The company also said on Wednesday it was buying eNovance, a provider of OpenStack-based cloud computing services, for $95 million.In April, Red Hat bought data-center storage software maker Inktank for $175 million.Q1 BEATS  Red Hat's net income fell to $37.7 million, or 20 cents per share, in the first quarter, from $40.4 million, or 21 cents per share, a year earlier.Excluding items, the company earned 34 cents per share beating analysts' expectations of 33 cents per share.Revenue rose 17 percent to $423.8 million, above expectations of $414 million.""Red Hat delivered solid first-quarter results as subscription revenue, and more importantly, billings outperformed expectations,"" Evercore Partners analyst Kirk Materne told Reuters.Billings rose 17 percent in the quarter ended May 31, above analysts' expectations of growth of 15 percent.Subscription revenue increased 16 percent to $372 million.""Given that Red Hat's business can tend to be a little slow in their first fiscal quarter, this would appear to be a really solid start to fiscal year 2015,"" Materne said.The company's shares were at $55.50 in extended trading after closing at $53.10 on the New York Stock Exchange.   (Reporting by Soham Chatterjee in Bangalore; Editing by Maju Samuel)",2014-06-18,RHT,"Wed Jun 18, 2014 | 6:20pm EDT",UPDATE 2-Red Hat raises revenue forecast on strong subscription growth,http://www.reuters.com//article/red-hat-results-idUSL4N0OZ4AK20140618?type=companyNews
8,"  June 18 Red Hat Inc, the world's largest commercial distributor of the Linux operating system, reported better-than-expected adjusted profit and revenue for the first quarter, helped by growth in subscriptions.Net income fell to $37.7 million, or 20 cents per share, in the quarter ended May 31, from $40.4 million, or 21 cents per share, a year earlier. Excluding items, the company earned 34 cents per share beating analysts' expectations of 33 cents per share, according to Thomson Reuters I/B/E/S.  Revenue rose 17 percent to $423.8 million, above Wall Street estimate of $414 million.   (Reporting by Soham Chatterjee in Bangalore; Editing by Maju Samuel)",2014-06-18,RHT,"Wed Jun 18, 2014 | 4:15pm EDT",Red Hat 1st-qtr results beat estimates on subscription growth,http://www.reuters.com//article/red-hat-results-idUSL4N0OZ49Y20140618?type=companyNews
9,"  (In June 18 story, corrects paragraph 1 to say company raised full-year revenue, not adjusted profit, forecast. Corrects paragraph 5 to say company cut its full-year adjusted profit forecast to $1.52-$1.54 per share, not raised it to $1.59-$1.61)* 1st-qtr adjusted profit $0.34/shr vs est $0.33/shr* Revenue up 17 pct* Sees full-year revenue $1.76-$1.785 bln vs est $1.75 bln* Shares up 4.5 pct in extended tradingBy Soham ChatterjeeJune 18 Red Hat Inc, the world's largest commercial distributor of the Linux operating system, raised its full-year revenue forecast, helped by strong growth in subscription revenue.Shares of Red Hat rose 4.5 percent in extended trading.""... We are benefiting from an improved IT spending environment for open source and cloud enabling technologies,"" Chief Executive Jim Whitehurst said on a conference call on Wednesday.Whitehurst said Red Hat was able to renew all of the top 25 deals up for renewal in the first quarter ended May 31 and signed a record number of deals worth a million dollars or more. Red Hat cut its full-year adjusted profit forecast to $1.52-$1.54 per share from $1.54-$1.56.The company lifted its revenue forecast to $1.76-$1.785 billion from $1.73-$1.755 billion.Analysts on average were expecting an adjusted profit of $1.55 on revenue of $1.75 billion, according to Thomson Reuters I/B/E/S.Red Hat is benefiting from higher enterprise demand for its software used in data-centers, for cloud computing and to create virtual computers within an operating system.The company counts 90 percent of Fortune Global 500 companies as customers, including Amazon.com Inc, Dell Inc and Alcatel-Lucent SA. Red Hat - whose products competes with those of Microsoft Corp and VMware Inc - is investing in developing OpenStack open-source cloud software as companies increasingly subscribe to storage, software and computing services hosted on remote servers.The company also said on Wednesday it was buying eNovance, a provider of OpenStack-based cloud computing services, for $95 million.In April, Red Hat bought data-center storage software maker Inktank for $175 million. Q1 BEATS Red Hat's net income fell to $37.7 million, or 20 cents per share, in the first quarter, from $40.4 million, or 21 cents per share, a year earlier.Excluding items, the company earned 34 cents per share beating analysts' expectations of 33 cents per share.Revenue rose 17 percent to $423.8 million, above expectations of $414 million.""Red Hat delivered solid first-quarter results as subscription revenue, and more importantly, billings outperformed expectations,"" Evercore Partners analyst Kirk Materne told Reuters.Billings rose 17 percent in the quarter ended May 31, above analysts' expectations of growth of 15 percent.Subscription revenue increased 16 percent to $372 million.""Given that Red Hat's business can tend to be a little slow in their first fiscal quarter, this would appear to be a really solid start to fiscal year 2015,"" Materne said.The company's shares were at $55.50 in extended trading after closing at $53.10 on the New York Stock Exchange.   (Reporting by Soham Chatterjee in Bangalore; Editing by Maju Samuel)",2014-06-19,RHT,"Thu Jun 19, 2014 | 1:01pm EDT",CORRECTED-UPDATE 2-Red Hat raises revenue forecast on strong subscription growth (June 18),http://www.reuters.com//article/red-hat-results-idUSL4N0OZ4AK20140619?type=companyNews
