,Article,Date,Symbol,Time,Title,Url
0,"  Rockwell Automation Inc (ROK.N) lifted the lower end of its 2014 forecast as sales in Asia Pacific rose for the first time in six quarters and spending in Europe picked up.Rockwell shares rose as much as 3 percent after the maker of motion control and industrial safety systems also reported a better-than-expected 23 percent jump in first-quarter profit.""It was great to see Asia return to growth, led by China,"" Chief Executive Keith Nosbusch said on a conference call.Sales growth at Rockwell and its peers has been subdued over the past two years as weak spending in China and Europe more than offset higher revenue from the United States.Rockwell said sales in the Asia-Pacific region rose 5 percent in the quarter ended December 31, boosted by a 21 percent increase in China.The company, however, said that it could not tell if growth in China would be stable through the rest of the year. ""We certainly believe now that we are in a stable point in the China market, but they have a number of potential issues that continue to be concerning,"" Nosbusch said.Revenue from the Europe, Middle East and Africa operating region jumped 10 percent to $324.4 million in the first quarter.Milwaukee, Wisconsin-based Rockwell raised the low end of its earnings forecast to $6.00 per share from $5.95. It maintained the high end of the range at $6.35. Analysts on average forecast earnings of $6.23 per share, according to Thomson Reuters I/B/E/S.Rockwell's net income rose to $198.1 million, or $1.41 per share, from $161.4 million, or $1.14 per share, a year earlier. Excluding items, the company earned $1.47 per share, comfortably beating the average analyst estimate of $1.39.Revenue rose 7 percent to $1.59 billion.Rockwell shares were trading up 1.7 percent at $117.02 in morning trading on the New York Stock Exchange on Wednesday.They have gained 28 percent in the past 12 months, outperforming the S&P 500 index .SPX, which has risen about 19 percent.(Reporting by Sagarika Jaisinghani in Bangalore; Editing by Savio D'Souza and Saumyadeb Chakrabarty)",2014-01-29,ROK,"Wed Jan 29, 2014 | 10:03am EST","Rockwell Auto results boosted by improving Asia, Europe",http://www.reuters.com//article/us-rockwellautomation-results-idUSBREA0S18E20140129?type=companyNews
1,"  * Raises low end of 2014 earnings forecast* First-quarter revenue rises 7 pct* Europe region sales jump 10 pct, Asia up 5 pct* Adjusted earnings $1.47 vs est $1.39* Shares rise 3 pctJan 29 Rockwell Automation Inc lifted the lower end of its 2014 forecast as sales in Asia Pacific rose for the first time in six quarters and spending in Europe picked up.Rockwell shares rose as much as 3 percent after the maker of motion control and industrial safety systems also reported a better-than-expected 23 percent jump in first-quarter profit. ""It was great to see Asia return to growth, led by China,"" Chief Executive Keith Nosbusch said on a conference call.Sales growth at Rockwell and its peers has been subdued over the past two years as weak spending in China and Europe more than offset higher revenue from the United States.Rockwell said sales in the Asia-Pacific region rose 5 percent in the quarter ended Dec. 31, boosted by a 21 percent increase in China.The company, however, said that it could not tell if growth in China would be stable through the rest of the year. ""We certainly believe now that we are in a stable point in the China market, but they have a number of potential issues that continue to be concerning,"" Nosbusch said.Revenue from the Europe, Middle East and Africa operating region jumped 10 percent to $324.4 million in the first quarter.Milwaukee, Wisconsin-based Rockwell raised the low end of its earnings forecast to $6.00 per share from $5.95. It maintained the high end of the range at $6.35. Analysts on average forecast earnings of $6.23 per share, according to Thomson Reuters I/B/E/S.Rockwell's net income rose to $198.1 million, or $1.41 per share, from $161.4 million, or $1.14 per share, a year earlier.Excluding items, the company earned $1.47 per share, comfortably beating the average analyst estimate of $1.39.Revenue rose 7 percent to $1.59 billion.Rockwell shares were trading up 1.7 percent at $117.02 in morning trading on the New York Stock Exchange on Wednesday.They have gained 28 percent in the past 12 months, outperforming the S&P 500 index, which has risen about 19 percent.",2014-01-29,ROK,"Wed Jan 29, 2014 | 10:02am EST","UPDATE 2-Rockwell Auto results boosted by improving Asia, Europe",http://www.reuters.com//article/rockwellautomation-results-idUSL3N0L33OH20140129?type=companyNews
2,"  Industrial automation company Rockwell Automation Inc (ROK.N) lifted the lower end of its 2014 forecast after reporting a 23 percent jump in first-quarter profit due to sales increases in Europe, Asia Pacific and the United States.Rockwell, which makes motion control and machine safety systems and software, raised the low end of its earnings forecast to $6.00 per share from $5.95. It maintained the high end of the range at $6.35.Analysts on average forecast earnings of $6.23 per share, according to Thomson Reuters I/B/E/S.Sales growth at Rockwell and its peers was rocky over the past two years as weak spending in Asia and Europe more than offset higher revenue from the United States.However, revenue from Rockwell's Europe, Middle East and Africa operating region jumped 10 percent to $324.4 million in the first quarter ended December 31. Sales in Asia Pacific rose 5 percent. ""Sales in the United States were robust and I was pleased to see the Asia Pacific region return to growth,"" Chief Executive Keith Nosbusch said in a statement on Wednesday.Rockwell's net income rose to $198.1 million, or $1.41 per share, from $161.4 million, or $1.14 per share, a year earlier. Excluding items, the company earned $1.47 per share, comfortably beating the average analyst estimate of $1.39.Revenue rose 7 percent to $1.59 billion. Rockwell shares have gained 28 percent in the past 12 months, outperforming the S&P 500 index .SPX, which has risen about 19 percent.They closed at $115.01 on the New York Stock Exchange on Tuesday.(Reporting by Sagarika Jaisinghani in Bangalore; Editing by Savio D'Souza)",2014-01-29,ROK,"Wed Jan 29, 2014 | 7:44am EST","Rockwell Auto lifts low end of forecast as Europe, Asia improve",http://www.reuters.com//article/us-rockwellautomation-results-idUSBREA0S0VO20140129?type=companyNews
3,"  (For more market insights, including options activity, click on  ; for the Day Ahead newsletter link.reuters.com/mex49s)** BOEING CO, Tuesday close $137.09The planemaker's reported strong fourth-quarter results.** DOW CHEMICAL CO, Tuesday close $43.06, +7.76 pct premarketThe largest U.S. chemical maker by sales raised its dividend 15 percent and expanded its share buyback program to $4.5 billion from $1.5 billion after posting a fourth-quarter profit.** TUPPERWARE BRANDS CORP, Tuesday close $83.77The kitchen storage container maker reported lower-than-expected quarterly results hurt by weak sales in established markets such as Germany, United States and Canada.** ROCKWELL AUTOMATION INC, Tuesday close $115.01The company, which makes systems that help factories run smoothly, posted a 23 percent rise in quarterly profit, partly due to sales increases in the United States and Asia Pacific.** EMC CORP, Tuesday close $25.38, -2.13 pct premarketProfit rose 17 percent in the fourth quarter due to higher sales of the company's data storage equipment.** BIOGEN IDEC INC, Tuesday close $305.65, -0.21 pct premarketThe company said fourth-quarter profit soared 57 percent, helped by strong sales of its new multiple sclerosis drug, Tecfidera.** PRAXAIR INC, Tuesday close $125.7, +0.37 pct premarketThe largest industrial gas supplier in the Americas raised its dividend by 8 percent and said it would buy back stock worth $1.5 billion, after reporting a 15 percent rise in quarterly profit.** SOUTHERN CO, Tuesday close $83.77The power company reported a 6 percent rise in fourth-quarter revenue.** AT&T INC, Tuesday close $33.7, -2.94 pct premarketThe telecom company's fourth-quarter wireless subscriber growth and its free cash flow target lagged well behind analyst estimates. Chief Executive Randall Stephenson said a U.S. spying scandal was hurting the company's business.At least one brokerage cut its rating on the stock.** FORD MOTOR CO, Tuesday close $15.72, -0.57 pct premarket The company reported higher-than-expected quarterly results on Tuesday as earnings in its core North American market fell less steeply than Wall Street expected, but declining vehicle prices there raised concerns about 2014.Ford joined a growing number of multinational companies expressing concern that economic turmoil in Venezuela and Argentina could spell trouble for 2014 profits. High inflation in the two countries, along with concern about how their governments will try to steady their economies has Ford rethinking its annual forecasts for South America.** PFIZER INC, Tuesday close $30.42The company reported better-than-expected fourth-quarter results on Tuesday, helped by higher sales of drugs for cancer, nerve pain and arthritis, and forecast 2014 earnings in line with Wall Street estimates.** VERIZON COMMUNICATIONS INC, Tuesday close $47.36** VODAFONE GROUP PLC, Tuesday close $37.17, +0.35 pct premarketShareholders of both Vodafone and Verizon approved Verizon's $130 billion takeover of their Verizon Wireless venture on Tuesday, paving the way for the third-biggest deal in corporate history.** WAL-MART STORES INC, Tuesday close $74.67, +1.25 pct premarketThe U.S. retailer said it will upgrade its vendor compliance process in China, requiring more documentation and making use of a computer-based system to help suppliers manage associated paperwork.** APPLE INC, Tuesday close $506.5, +0.15 pct premarketThe company may have to wait a little longer for its watershed moment in China. A disappointing March-quarter revenue forecast, coupled with surprisingly weak holiday iPhone sales, suggest pundits may have over-estimated initial demand from China Mobile's 700 million-plus subscribers, a key factor that has pushed its shares 18 percent higher in the fourth quarter. ** CIRRUS LOGIC INC, Tuesday close $18.74, -5 pct after marketThe company, whose audio chips are used in Apple's iPhones and iPads, forecast current-quarter revenue that missed analysts' average estimate.** VMWARE INC, Tuesday close $94.94, +0.06 pct premarketThe virtualization software maker reported a slightly better-than-expected quarterly profit helped by higher revenue from license sales.At least four brokerages raised their price targets on the stock.** ELECTRONIC ARTS INC, Tuesday close $24.87, +4.54 pct premarketThe videogame publisher lowered its 2015 revenue forecast on Tuesday as the arrival of new Xbox One and PlayStation 4 consoles has hurt sales of games for older consoles sooner than the industry had anticipated.At least two brokerages raised their price targets on the stock.** CHECK POINT SOFTWARE TECHNOLOGIES LTD, Tuesday close $65.93, +3.14 pct premarketThe computer security specialist topped fourth-quarter profit and revenue forecasts and said it sees growth continuing into 2014 on strong demand for high-end products that protect data centers.** AMGEN INC, Tuesday close $120.7, +2.4 pct after market The world's biggest biotechnology company on Tuesday reported a quarterly profit that beat Wall Street forecasts as it gained full control of its blockbuster rheumatoid arthritis drug Enbrel and recorded solid growth in sales of newer products. The company also announced another positive result from a late-stage study of its high-profile experimental cholesterol drug, evolocumab.At least four brokerages raised their price targets on the stock.** ABERCROMBIE & FITCH CO, Tuesday close $36.27The teen apparel retailer stripped Chief Executive Mike Jeffries of his chairman duties, bowing to investor pressure to reduce his control over the struggling company.** YAHOO INC, Tuesday close $38.22, -4.50 pct premarketThe company's online ad prices slid again in the fourth quarter and Alibaba, the Chinese e-commerce giant in which it owns a big stake, saw revenue growth decelerate from its recent rip-roaring pace. Overall revenue fell 6 percent in the last three months of the year, the company said.At least two brokerages cut their price targets on the stock.** QUALCOMM INC, Tuesday close $71.99, -1.93 pct premarketThe world's biggest cellphone chip maker may be hit with a record fine exceeding $1 billion in a Chinese antitrust probe, raising the specter of harsh penalties for foreign firms facing an increasingly aggressive regulator.** NOVARTIS AG, Tuesday close $79.56, -100.00 pct premarketThe Basel-based company is looking at options, such as joint ventures, for three smaller businesses to bring them in line with its world-leading pharmaceutical operations, it said, in a review due to be completed by the end of summer.** TEVA PHARMACEUTICAL INDUSTRIES, Tuesday close $44.1, +3.40 pct premarketTeva's shares open higher after the company said  U.S. regulators approved its three-times-a-week multiple sclerosis drug Copaxone. The world's largest generics drugmaker has been banking on a three-times-a-week version of Copaxone ahead of possible competition from generic rivals of the drug this year.** MEDIVATION INC, Tuesday close $75.78, +13.49 pct premarketThe company's drug for advanced prostate cancer significantly delayed progression of the disease and extended survival in a large, late stage study of patients who had not yet received chemotherapy, likely paving the way for an expanded approval of the medicine.** FACEBOOK INC, Tuesday close $55.14, +0.11 pct premarketThe company's executive in charge of revolutionizing data centers on Tuesday lauded low-energy server technology that is expected to compete against heavyweight Intel Corp.** COMMVAULT SYSTEMS, Tuesday close $76.1The company, which makes software applications to manage data and information, is scheduled to report third-quarter results before the bell.** MEREDITH CORP, Tuesday close $44.49The media and marketing company is expected to report second-quarter results before the bell.   (Compiled by Natalie Grover in Bangalore; Editing by Joyjeet Das)",2014-01-29,ROK,"Wed Jan 29, 2014 | 7:43am EST","MARKET PULSE-Boeing, Dow, Tupperware, EMC, Biogen, Praxair, Rockwell",http://www.reuters.com//article/markets-usa-stocks-pulse-idUSL3N0L24SU20140129?type=companyNews
4,"  Jan 29 Rockwell Automation Inc, which makes systems that help factories run smoothly, posted a 23 percent rise in quarterly profit, partly due to sales increases in the United States and Asia Pacific.Net income rose to $198.1 million, or $1.41 per share, in the first quarter ended Dec. 31 from $161.4 million, or $1.14 per share, a year earlier. Excluding items, the company earned $1.47 per share.  Revenue rose 7 percent to $1.59 billion. Sales in the United States jumped 10 percent to $836.4 million, while Asia Pacific sales increased 5 percent.",2014-01-29,ROK,"Wed Jan 29, 2014 | 7:13am EST","Rockwell Automation profit up 23 pct on strong U.S., Asia sales",http://www.reuters.com//article/rockwellautomation-results-idUSL3N0L24WM20140129?type=companyNews
5,"   By Sagarika Jaisinghani  Rockwell Automation Inc (ROK.N), which makes systems that help factories run smoothly, reported a lower-than-expected quarterly profit as higher costs and a strong dollar hurt margins.The company's shares fell as much as 7 percent on Tuesday.Rockwell said in January that it would ramp up spending on product development this year and that costs would grow faster than sales.The company also spent more on employee variable pay in the second quarter ended March 31, Chief Financial Officer Theodore Crandall told Reuters on Tuesday.Margins at the company's control products business, which makes motor starters, push buttons and condition sensors, fell to 12.2 percent in the quarter from 13 percent a year earlier.The business accounts for more than half of Rockwell's total revenue. ""We already knew about the increased spending and variable compensation expense, so it seems like the culprit might be (foreign exchange) hit in (Rockwell's) control products and solutions business,"" Nomura Equity Research analyst Shannon O'Callaghan wrote in a note.The control products business has significant exposure to countries such as Brazil, Argentina, and Canada, Rockwell said.Currencies of these countries weakened against the U.S. dollar in the first three months of the year. Rockwell maintained its adjusted earnings forecast of $6.00-$6.35 per share and revenue of $6.6 billion for 2014.Analysts on average were expecting a profit of $6.27 per share on revenue of $6.69 billion, according to Thomson Reuters I/B/E/S.Rockwell's net income rose to $180.3 million, or $1.28 per share, in the second quarter from $175.9 million, or $1.24 per share, a year earlier. Excluding items, Rockwell earned $1.35 per share.Revenue rose 5 percent to $1.60 billion.Analysts had expected earnings of $1.44 per share on revenue of $1.61 billion.Rockwell's shares were down 6 percent at $117.12 on Tuesday afternoon on the New York Stock Exchange.The stock had gained about 47 percent in the year to Monday's close, compared with a 17 percent rise in the S&P 500 index .SPX.(Editing by Joyjeet Das and Kirti Pandey)",2014-04-29,ROK,"Tue Apr 29, 2014 | 1:02pm EDT",Rockwell Auto misses estimates as strong dollar hits margins,http://www.reuters.com//article/us-rockwell-automat-results-idUSBREA3S0UI20140429?type=companyNews
6,"  * Second-quarter revenue $1.60 bln vs est. $1.61 bln* Adjusted earnings $1.35/share vs est. $1.44* Keeps 2014 revenue, earnings forecast* Shares fall as much as 7 pct   (Adds CFO, analyst comments; updates shares)By Sagarika JaisinghaniApril 29 Rockwell Automation Inc, which makes systems that help factories run smoothly, reported a lower-than-expected quarterly profit as higher costs and a strong dollar hurt margins.The company's shares fell as much as 7 percent on Tuesday.Rockwell said in January that it would ramp up spending on product development this year and that costs would grow faster than sales. The company also spent more on employee variable pay in the second quarter ended March 31, Chief Financial Officer Theodore Crandall told Reuters on Tuesday.Margins at the company's control products business, which makes motor starters, push buttons and condition sensors, fell to 12.2 percent in the quarter from 13 percent a year earlier.The business accounts for more than half of Rockwell's total revenue.""We already knew about the increased spending and variable compensation expense, so it seems like the culprit might be (foreign exchange) hit in (Rockwell's) control products and solutions business,"" Nomura Equity Research analyst Shannon O'Callaghan wrote in a note. The control products business has significant exposure to countries such as Brazil, Argentina, and Canada, Rockwell said.Currencies of these countries weakened against the U.S. dollar in the first three months of the year.Rockwell maintained its adjusted earnings forecast of $6.00-$6.35 per share and revenue of $6.6 billion for 2014. Analysts on average were expecting a profit of $6.27 per share on revenue of $6.69 billion, according to Thomson Reuters I/B/E/S.Rockwell's net income rose to $180.3 million, or $1.28 per share, in the second quarter from $175.9 million, or $1.24 per share, a year earlier.Excluding items, Rockwell earned $1.35 per share.Revenue rose 5 percent to $1.60 billion.Analysts had expected earnings of $1.44 per share on revenue of $1.61 billion.Rockwell's shares were down 6 percent at $117.12 on Tuesday afternoon on the New York Stock Exchange.The stock had gained about 47 percent in the year to Monday's close, compared with a 17 percent rise in the S&P 500 index.   (Editing by Joyjeet Das and Kirti Pandey)",2014-04-29,ROK,"Tue Apr 29, 2014 | 1:01pm EDT",UPDATE 2-Rockwell Auto misses estimates as strong dollar hits margins,http://www.reuters.com//article/rockwell-automat-results-idUSL3N0NL2UV20140429?type=companyNews
7,"  Rockwell Automation Inc (ROK.N), which makes systems that help factories run smoothly, reported a 2.5 percent rise in quarterly profit due to higher sales of its motion control and industrial safety products in the United States.Net income rose to $180.3 million, or $1.28 per share, in the second quarter ended March 31, from $175.9 million, or $1.24 per share, a year earlier. Excluding items, Rockwell earned $1.35 per share. Revenue rose 5 percent to $1.60 billion. (Reporting by Sagarika Jaisinghani in Bangalore; Editing by Joyjeet Das)",2014-04-29,ROK,"Tue Apr 29, 2014 | 7:11am EDT",Strong U.S. sales boost Rockwell Automation profit,http://www.reuters.com//article/us-rockwell-automat-results-idUSBREA3S0CM20140429?type=companyNews
8,"  April 29 Rockwell Automation Inc, which makes systems that help factories run smoothly, reported a 2.5 percent rise in quarterly profit due to higher sales of its motion control and industrial safety products in the United States.Net income rose to $180.3 million, or $1.28 per share, in the second quarter ended March 31, from $175.9 million, or $1.24 per share, a year earlier. Excluding items, Rockwell earned $1.35 per share.  Revenue rose 5 percent to $1.60 billion.   (Reporting by Sagarika Jaisinghani in Bangalore; Editing by Joyjeet Das)",2014-04-29,ROK,"Tue Apr 29, 2014 | 7:09am EDT",Strong U.S. sales boost Rockwell Automation profit,http://www.reuters.com//article/rockwell-automat-results-idUSL3N0NL2U720140429?type=companyNews
9,"  Rockwell Automation Inc (ROK.N), whose automated systems help factories run smoothly, reported a steeper-than-expected fall in quarterly profit, hurt by lower sales outside the United States and in its largest business.The company's shares fell about 5 percent to $114.32 in premarket trading on Wednesday after Rockwell also cut the top end of its full-year earnings forecast.Rockwell narrowed its 2014 adjusted earnings forecast to $6.10-$6.25 per share from $6.00-$6.35. It also narrowed its organic sales growth forecast to 4-6 percent, from 3-6 percent.Analysts on average were expecting a profit of $6.20 per share, according to Thomson Reuters I/B/E/S.Milwaukee, Wisconsin-based Rockwell gets about half its revenue from outside the United States and has been affected by the strengthening U.S. dollar. The company's revenue from Latin America and Canada fell 7.1 and 14 percent, respectively, in the third quarter ended June 30, weighed down by subdued economic activity and weak spending in Brazil and Canada. Sales from Asia Pacific fell 1.2 percent.Revenue from Europe, Middle East and Africa rose 5.6 percent, and, along with a 5 percent rise in revenue from its largest market, the United States, helped Rockwell's total revenue rise 1.56 percent to $1.65 billion in the quarter.  Lower sales and margins at Rockwell's control products business – which makes motor starters, push buttons, condition sensors, and accounts for more than half of total sales – weighed on the company's profitability.Rockwell's net income fell 2 percent to $199.7 million, or $1.43 per share, also pulled down by a higher effective tax rate. Excluding items, Rockwell earned $1.49 per share. Analysts on average had expected earnings of $1.56 per share, on revenue $1.68 billion.Up to Tuesday's close, Rockwell's stock has risen about 1.5 percent this year, compared with a 6.6 percent rise in the S&P 500 index. (Reporting by Ankit Ajmera in Bangalore; Editing by Savio D'Souza)",2014-07-30,ROK,"Wed Jul 30, 2014 | 8:30am EDT",Rockwell Automation's profit hit by lower sales outside U.S,http://www.reuters.com//article/us-rockwell-automat-results-idUSKBN0FZ14320140730?type=companyNews
