,Article,Date,Symbol,Time,Title,Url
0,"   By David DeKok | HARRISBURG Pa.  HARRISBURG Pa. Oil and gas producer Range Resources did not properly monitor leaks from a wastewater containment pond in Pennsylvania and the state has begun enforcement action that could lead to a fine, state officials said on Wednesday.A leak was detected earlier this year at the Yeager impoundment in Amwell Township in Washington County, in southwestern Pennsylvania, according to the Notice of Violation issued by the state Department of Environmental Protection on July 24. The pond contains a briny mixture of fluids, including drilling water that returns to the surface after fracking, the process that involves pumping chemical-laced water and sand underground to fracture rock to release oil or gas, said Range Resources spokesman Matt Pitzarella.""During its operation of the (pond), flow was often detected in the leak detection zone, but Range did not satisfy the permit's weekly chlorides testing requirements,"" the notice said. The Yeager pond was opened by Range Resources in 2010 and has been the subject of ongoing litigation by neighbors upset at the company's refusal to reveal the exact makeup of the fluids in the containment pond. Range is not required to say what it holds in the wastewater pond, said John Poister, a spokesman for the southwest regional office of DEP in Pittsburgh. He did not specify the level of a possible fine. DEP is also investigating leakage at two other Range Resources containment ponds in Washington County. The company  has 23 ponds in the county, said Pitzarella, the spokesman. He said it has drained and is closing the Yeager pond, but denied that was because of the leakage.  (Reporting by David DeKok in Harrisburg; Editing by Edward McAllister and Dan Grebler)",2014-08-06,RRC,"Wed Aug 6, 2014 | 5:45pm EDT",Range Resources faces fine over Pennsylvania fracking wastewater leak,http://www.reuters.com//article/us-usa-fracking-pennsylvania-idUSKBN0G62G220140806?type=companyNews
1,"   By David DeKok | HARRISBURG, Pa.  HARRISBURG, Pa. Aug 6 Oil and gas producer Range Resources did not properly monitor leaks from a wastewater containment pond in Pennsylvania and the state has begun enforcement action that could lead to a fine, state officials said on Wednesday.A leak was detected earlier this year at the Yeager impoundment in Amwell Township in Washington County, in southwestern Pennsylvania, according to the Notice of Violation issued by the state Department of Environmental Protection on July 24.The pond contains a briny mixture of fluids, including drilling water that returns to the surface after fracking, the process that involves pumping chemical-laced water and sand underground to fracture rock to release oil or gas, said Range Resources spokesman Matt Pitzarella. ""During its operation of the (pond), flow was often detected in the leak detection zone, but Range did not satisfy the permit's weekly chlorides testing requirements,"" the notice said. The Yeager pond was opened by Range Resources in 2010 and has been the subject of ongoing litigation by neighbors upset at the company's refusal to reveal the exact makeup of the fluids in the containment pond.Range is not required to say what it holds in the wastewater pond, said John Poister, a spokesman for the southwest regional office of DEP in Pittsburgh. He did not specify the level of a possible fine. DEP is also investigating leakage at two other Range Resources containment ponds in Washington County. The company  has 23 ponds in the county, said Pitzarella, the spokesman. He said it has drained and is closing the Yeager pond, but denied that was because of the leakage.(Reporting by David DeKok in Harrisburg; Editing by Edward McAllister and Dan Grebler)",2014-08-06,RRC,"Wed Aug 6, 2014 | 5:44pm EDT",Range Resources faces fine over Pennsylvania fracking wastewater leak,http://www.reuters.com//article/usa-fracking-pennsylvania-idUSL2N0QC27120140806?type=companyNews
2,"  Nov 3 Oil and gas producer Range Resources Corp  said it would sell its Nora assets in Southwest Virginia for about $876 million, to cut its debt by nearly a quarter.The company said the sale, which is scheduled to close by year-end, will help the company cut total debt by an expected 24 percent and also help it cut costs for 2016. No information was given on a potential buyer.  The assets, which produced 109 million cubic feet equivalents per day (mmcfpd) in the third quarter, represented 7.5 percent of Range Resources' net production, the company said on Tuesday.   (Reporting by Anet Josline Pinto in Bengaluru; Editing by Alan Crosby) ",2015-11-03,RRC,"Tue Nov 3, 2015 | 6:59pm EST",Range Resources to sell Nora assets to reduce debt,http://www.reuters.com//article/range-resource-sale-idUSL3N12Y5UL20151103?type=companyNews
3,"  Oil and gas producer Range Resources Corp (RRC.N) said it would sell its Nora assets in Southwest Virginia for about $876 million, to cut its debt by nearly a quarter.The company said the sale, which is scheduled to close by year-end, will help the company cut total debt by an expected 24 percent and also help it cut costs for 2016. No information was given on a potential buyer. The assets, which produced 109 million cubic feet equivalents per day (mmcfpd) in the third quarter, represented 7.5 percent of Range Resources' net production, the company said on Tuesday.   (Reporting by Anet Josline Pinto in Bengaluru; Editing by Alan Crosby)",2015-11-04,RRC,"Tue Nov 3, 2015 | 7:11pm EST",Range Resources to sell Nora assets to reduce debt,http://www.reuters.com//article/us-range-resource-sale-idUSKCN0ST00920151104?type=companyNews
4,"  April 28 Range Resources Corp :* Sees q1 2016 non-gaap loss per share $0.10* Q1 earnings per share view $-0.19 -- Thomson Reuters I/B/E/S* Range announces first quarter 2016 results* Q1 loss per share $0.55* Range resources corp says existing $3 billion bank credit facility borrowing base unanimously reaffirmed by all 29 banks* Says Q1 Marcellus Production Up 17% Over Prior-Year quarter * Q1 average natural gas price, before all hedging settlements, was $1.68 per mcf* Range is on target with its $495 million capital budget for 2016* Company expects to average three rigs running throughout 2016.* Range resources corp says  existing $3 billion borrowing base and $2 billion commitment amount under bank credit facility unanimously reaffirmed by lenders * Range resources corp says  gaap revenues for q1 of 2016 totaled $331 million, 28% decrease compared to q1 2015* Gaap revenues for q1 of 2016 totaled $331 million, 28% decrease compared to q1 2015* Gaap revenues for q1 2016 totaled $354 million, 19% decrease compared to q1 2015 * Non-Gaap revenues for q1 2016 totaled $354 million, 19% decrease compared to q1 2015* Qtrly adjusted loss per share $0.10* Production for entire 2016 year has been increased to high-end of previous guidance to average 1,410 to 1,420 mmcfe per day* Qtrly earnings per share on target with its $495 million capital budget for 2016* Production for q2 of 2016 is expected to be approximately 1,410 mmcfe per day with 32% to 35% liquids* Range has begun hedging its 2017 and 2018 production  Source text for Eikon:  Further company coverage:    (Bengaluru Newsroom: +1-646-223-8780)",2016-04-28,RRC,"Thu Apr 28, 2016 | 6:08pm EDT",BRIEF-Range Resources Q1 loss per share $0.55,http://www.reuters.com//article/idUSASD08G2P?type=companyNews
5,"   By Anet Josline Pinto and Mike Stone  Range Resources Corp (RRC.N) said on Monday it will buy fellow natural gas producer Memorial Resource Development Corp MRD.O for about $3.3 billion in stock, at a time of almost no mergers and a rising tide of bankruptcies in the energy sector.The deal combines Range's prime natural gas resources in Appalachia with Memorial's assets in Louisiana, which has ample pipeline connections to the U.S. Gulf Coast and its growing liquefied natural gas (LNG) export plants.Hefty debt loads and disagreements over valuations between buyers and sellers have stymied scores of potential mergers since oil and gas prices tumbled in mid-2014, but this deal was reached thanks to Memorial's light debt load and strong hedge book that allows it to sell gas at above spot market prices.The deal will markedly add to Range's cash-flows and improve its bottom line, while improving its credit profile.""In contrast to significant dilutive asset sales or equity dilution, this merger looks like an inventive solution,"" analysts at Sanford C. Bernstein said in a note to clients.A person familiar with the matter said the deal does not mean a largely frozen M&A market has thawed and that there will soon be a flurry of transactions. ""This is a one-off,"" said the person, who compared it to the last notable merger in the U.S. fracking industry - Noble Energy's (NBL.N) purchase of Rosetta Resources one year ago.With U.S. benchmark natural gas prices NGc1 plumbing near-record lows of $2 per million BTU, companies are under pressure to slash expenses and be creative.Jeff Ventura, Range's CEO, said the combined company will be able to sell gas into cold Northern U.S. markets in the winter, and supply power plants in the Southern United States and export platforms along the Gulf Coast.""(This is) an operationally led transaction that really makes us a better, stronger company but it also helps significantly with the balance sheet,"" he said. Under the terms of the deal, Memorial Resource Development's shareholders will receive 0.375 of a Range Resources share for each share they hold.The all-stock deal is valued at $15.75 per share, a 17 percent premium to Memorial Resource Development's Friday close. Including the assumption of $1.1 billion in debt, the deal is valued at $4.4 billion.Shares of Memorial Resource Development were up 9 percent at $14.66 on Monday. Range Resources was down 6.6 percent at $39.28. Memorial's shareholders are expected to own about 31 percent of Range Resources after the close of the deal in the second half of the year.Memorial will also have the right to nominate an independent director to Range Resources' board.Credit Suisse was financial adviser to Range Resources, while Sidley Austin was its legal adviser.Morgan Stanley and Barclays Capital were Memorial's financial advisers and Vinson & Elkins and Akin Gump were its legal advisers. (Reporting by Anet Josline Pinto in Bengaluru and Mike Stone in New York; Editing by Terry Wade and Nick Zieminski)",2016-05-16,RRC,"Mon May 16, 2016 | 11:29am EDT",Range Resources buying Memorial in rare energy merger,http://www.reuters.com//article/us-mem-resource-dev-m-a-range-resource-idUSKCN0Y70ZS?type=companyNews
6,"   By Anet Josline Pinto and Mike Stone  Range Resources Corp (RRC.N) said on Monday it will buy fellow natural gas producer Memorial Resource Development Corp MRD.O for about $3.3 billion in stock, at a time of almost no mergers and a rising tide of bankruptcies in the energy sector.The deal combines Range's prime natural gas resources in Appalachia with Memorial's assets in Louisiana, which has ample pipeline connections to the U.S. Gulf Coast and its growing liquefied natural gas (LNG) export plants.Hefty debt loads and disagreements over valuations between buyers and sellers have stymied scores of potential mergers since oil and gas prices tumbled in mid-2014, but this deal was reached thanks to Memorial's light debt load and strong hedge book that allows it to sell gas at above spot market prices.The deal will markedly add to Range's cash-flows and improve its bottom line, while improving its credit profile.""In contrast to significant dilutive asset sales or equity dilution, this merger looks like an inventive solution,"" analysts at Sanford C. Bernstein said in a note to clients.A person familiar with the matter said the deal does not mean a largely frozen M&A market has thawed and that there will soon be a flurry of transactions. ""This is a one-off,"" said the person, who compared it to the last notable merger in the U.S. fracking industry - Noble Energy's (NBL.N) purchase of Rosetta Resources one year ago.With U.S. benchmark natural gas prices NGc1 plumbing near-record lows of $2 per million BTU, companies are under pressure to slash expenses and be creative.Jeff Ventura, Range's CEO, said the combined company will be able to sell gas into cold Northern U.S. markets in the winter, and supply power plants in the Southern United States and export platforms along the Gulf Coast.""(This is) an operationally led transaction that really makes us a better, stronger company but it also helps significantly with the balance sheet,"" he said. Under the terms of the deal, Memorial Resource Development's shareholders will receive 0.375 of a Range Resources share for each share they hold.The all-stock deal is valued at $15.75 per share, a 17 percent premium to Memorial Resource Development's Friday close. Including the assumption of $1.1 billion in debt, the deal is valued at $4.4 billion.Shares of Memorial Resource Development were up 9 percent at $14.66 on Monday. Range Resources was down 6.6 percent at $39.28. Memorial's shareholders are expected to own about 31 percent of Range Resources after the close of the deal in the second half of the year.Memorial will also have the right to nominate an independent director to Range Resources' board.Credit Suisse was financial adviser to Range Resources, while Sidley Austin was its legal adviser.Morgan Stanley and Barclays Capital were Memorial's financial advisers and Vinson & Elkins and Akin Gump were its legal advisers. (Reporting by Anet Josline Pinto in Bengaluru and Mike Stone in New York; Editing by Terry Wade and Nick Zieminski)",2016-05-16,RRC,"Mon May 16, 2016 | 11:29am EDT",UPDATE 3-Range Resources buying Memorial in rare energy merger,http://www.reuters.com//article/mem-resource-dev-ma-range-resource-idUSL3N18D3RE?type=companyNews
7,"  (In paragraph 2, corrects to Range Resources from Range Resource)May 16 Oil and gas producer Range Resources Corp  said it would buy Memorial Resource Development Corp  in an all-stock deal valued at $4.4 billion, including $1.1 billion in debt. Memorial Resource's shareholders will receive 0.375 of a Range Resources share for each share they hold, the companies said on Monday.  The deal, valued at $15.75 per share, represents a 17 percent premium to Memorial Resource's Friday close.   (Reporting by Anet Josline Pinto in Bengaluru; Editing by Sayantani Ghosh)",2016-05-16,RRC,"Mon May 16, 2016 | 6:24am EDT",REFILE-Range Resources to buy Memorial Resource in deal worth $4.4 bln,http://www.reuters.com//article/mem-resource-dev-ma-range-resource-corre-idUSL3N18D3PV?type=companyNews
8,"  May 16 Memorial Resource Development Corp* Range Resources Corporation announces merger with Memorial Resource Development Corp* Deal for $4.4 billion* MRD shareholders will receive 0.375 shares of range common stock for each share of mrd common stock held* Deal valuation includes assumption of MRD's net debt, which was $1.1 billion as of March 31, 2016 * Boards of directors of both companies have unanimously approved terms of agreement* Says MRD will have right to nominate an independent director from mrd to a seat on range's board * Following transaction, shareholders of MRD are expected to own approximately 31% of outstanding shares of range* Based on range closing price on May 13, 2016, transaction has an implied value to MRD shareholders of $15.75 per share * MRD will have right to nominate an independent director from MRD to a seat on Range's board* Range to acquire all of outstanding shares of common stock of MRD in an all-stock transaction valued at $4.4 billion* Range resources CEO says, ""transaction is also accretive to our cash flow""  Source text for Eikon:  Further company coverage:    (Bengaluru Newsroom: +1-646-223-8780)",2016-05-16,RRC,"Mon May 16, 2016 | 6:19am EDT",BRIEF-Range Resources to buy Memorial Resource for $4.4 bln,http://www.reuters.com//article/idUSASC08PP1?type=companyNews
9,"  May 19 Range Resources Corp* Upon termination of merger agreement, either party may be required to make expense reimbursement payment of $25 million to other party * In certain other circumstances, MRD may be required to pay range a termination fee of $75 million  * In certain other circumstances, Range may be required to pay MRD a termination fee of either $125 million or $300 million  Source text for Eikon:  Further company coverage:    (Bengaluru Newsroom: +1-646-223-8780)",2016-05-19,RRC,"Thu May 19, 2016 | 6:21am EDT",BRIEF-Range Resources says may be required to pay MRD termination fee of $125 mln or $300 mln,http://www.reuters.com//article/idUSFWN18G0E0?type=companyNews
10,"  May 24 Range Resources Corp * Range Resources Corporation reports 47.6 percent stake in Memorial Resource Development Corp, as of May 15, 2016 - SEC filing    Source text for Eikon:    Further company coverage:    (Bengaluru Newsroom: +1 646 223 8780)  ",2016-05-24,RRC,"Tue May 24, 2016 | 5:25pm EDT",BRIEF-Range Resources reports 47.6 pct stake in Memorial Resource Development,http://www.reuters.com//article/idUSFWN18L0J4?type=companyNews
11,  June 1 Range Resources Corp * Declared a quarterly cash dividend of $0.02 on its common stock for q2  Source text for Eikon:  Further company coverage:    (Bengaluru Newsroom: +1-646-223-8780)  ,2016-06-01,RRC,"Wed Jun 1, 2016 | 6:14am EDT",BRIEF-Range Resources declares Q2 cash dividend of $0.02 on its common stock,http://www.reuters.com//article/idUSFWN18T053?type=companyNews
