,Article,Date,Symbol,Time,Title,Url
0,"   By Lisa Baertlein  Starbucks Corp (SBUX.O) on Thursday reported that sales at established stores in its U.S.-dominated Americas region cooled more than analysts expected in its latest quarter as consumers spent more time holiday shopping online than at physical stores.Nevertheless, the world's biggest coffee chain boosted its fiscal 2014 earnings per share forecast to a range of $2.59 to $2.67, from $2.55 to $2.65 previously, sending shares up 0.9 percent to $74.02 in after-hours trade.Global sales at Starbucks cafes open at least 13 months were up 5 percent, versus analysts' average estimate for a 5.9 percent rise, according to Consensus Metrix. That figure included a 5 percent increase for the Americas region that contributes the lion's share of Starbucks revenue. Analysts, on average, expected a 6.4 percent rise from the region.Last fiscal year, Starbucks' Americas region sales at restaurants open at least 13 months were up 8 percent in the fourth quarter and up 9 percent in the third quarter.""It's hard to really be too critical, especially when you compare what we've seen and what we're about to see in the coming weeks,"" Edward Jones analyst Jack Russo said, referring to the recent spate of disappointing earnings reports and profit warnings from restaurants and retailers.Those included McDonald's Corp (MCD.N), which earlier on Thursday reported a steeper-than-expected drop in December sales at established restaurants in the United States and put some of the blame on frigid winter weather. ""Growth is hard to find,"" Russo said.SHIFT TO ONLINE SHOPPING Expectations had been muted ahead of the release of Starbucks' results, in part because the Seattle company has been on a growth tear that many analysts said could not go on forever.""Holiday 2013 was the first in which many traditional brick and mortar retailers experienced in-store foot traffic give way to online shopping in a major way,"" Starbucks President and Chief Executive Howard Schultz said in a statement. Data firm ShopperTrak last week said U.S. shopper traffic fell 14.6 percent during the holiday season.Starbucks' net earnings increased 25 percent to $540.7 million, or 71 cents per share, for the fiscal first quarter ended on December 29.Excluding a litigation credit of 2 cents a share, Starbucks' profit matched Wall Street's average estimate of 69 cents per share, according to Thomson Reuters I/B/E/S. There has been a growing concern among analysts that the U.S. roll-out of pastries from La Boulange, a San Francisco-area bakery Starbucks bought in 2012, has slowed service because workers are taking the time to warm up baked goods.La Boulange products are sold in half of Starbucks' company-operated stores in the United States, which works out to about 3,500 stores.Chief Financial Officer Troy Alstead told Reuters that Starbucks has added staff and revamped workers' duties to accommodate the additional labor.""There may be a perception that there is a slowdown, but when we measure it, there is no change,"" Alstead told Reuters.Starbucks is one of the best-performing companies in the restaurant category and its shares have run up more than 30 percent in 12 months.(Additional reporting by Dhanya Skariachan in New York; Editing by Cynthia Osterman)",2014-01-23,SBUX,"Thu Jan 23, 2014 | 5:13pm EST",Starbucks' growth cooled in latest quarter,http://www.reuters.com//article/us-starbucks-results-idUSBREA0M1WG20140123?type=companyNews
1,"  By Lisa BaertleinJan 23 Starbucks Corp on Thursday reported that sales at established stores in its U.S.-dominated Americas region cooled more than analysts expected in its latest quarter as consumers spent more time holiday shopping online than at physical stores.Nevertheless, the world's biggest coffee chain boosted its fiscal 2014 earnings per share forecast to a range of $2.59 to $2.67, from $2.55 to $2.65 previously, sending shares up 0.9 percent to $74.02 in after-hours trade.Global sales at Starbucks cafes open at least 13 months were up 5 percent, versus analysts' average estimate for a 5.9 percent rise, according to Consensus Metrix. That figure  included a 5 percent increase for the Americas region that contributes the lion's share of Starbucks revenue. Analysts, on average, expected a 6.4 percent rise from the region.Last fiscal year, Starbucks' Americas region sales at restaurants open at least 13 months were up 8 percent in the fourth quarter and up 9 percent in the third quarter.""It's hard to really be too critical, especially when you compare what we've seen and what we're about to see in the coming weeks,"" Edward Jones analyst Jack Russo said, referring to the recent spate of disappointing earnings reports and profit warnings from restaurants and retailers.Those included McDonald's Corp, which earlier on Thursday reported a steeper-than-expected drop in December sales at established restaurants in the United States and put some of the blame on frigid winter weather. ""Growth is hard to find,"" Russo said.SHIFT TO ONLINE SHOPPING  Expectations had been muted ahead of the release of Starbucks' results, in part because the Seattle company has been on a growth tear that many analysts said could not go on forever.""Holiday 2013 was the first in which many traditional brick and mortar retailers experienced in-store foot traffic give way to online shopping in a major way,"" Starbucks President and Chief Executive Howard Schultz said in a statement.Data firm ShopperTrak last week said U.S. shopper traffic fell 14.6 percent during the holiday season.Starbucks' net earnings increased 25 percent to $540.7 million, or 71 cents per share, for the fiscal first quarter ended on Dec. 29. Excluding a litigation credit of 2 cents a share, Starbucks' profit matched Wall Street's average estimate of 69 cents per share, according to Thomson Reuters I/B/E/S.There has been a growing concern among analysts that the  U.S. roll-out of pastries from La Boulange, a San Francisco-area bakery Starbucks bought in 2012, has slowed service because workers are taking the time to warm up baked goods.La Boulange products are sold in half of Starbucks' company-operated stores in the United States, which works out to about 3,500 stores.Chief Financial Officer Troy Alstead told Reuters that Starbucks has added staff and revamped workers' duties to accommodate the additional labor.""There may be a perception that there is a slowdown, but when we measure it, there is no change,"" Alstead told Reuters.Starbucks is one of the best-performing companies in the restaurant category and its shares have run up more than 30 percent in 12 months.",2014-01-23,SBUX,"Thu Jan 23, 2014 | 5:12pm EST",REFILE-UPDATE 2-Starbucks' growth cooled in latest quarter,http://www.reuters.com//article/starbucks-results-idUSL2N0KX2BL20140123?type=companyNews
2,"  * Microsoft profit up on strong commercial sales; shares up in extended trade* U.S.-listed Chinese stocks fall after audit ruling* Netflix shares jump after earnings* Indexes off: Dow 1.1 pct; S&P 0.9 pct; Nasdaq 0.6 pctBy Angela MoonNEW YORK, Jan 23 U.S. stocks fell on Thursday, with the Dow Jones industrial average recording its third consecutive day of losses, as risky assets sold off in wake of disappointing manufacturing data in China.Financials and materials stocks were the day's biggest losers while telecom services was the only positive sector as investors sold growth-oriented stocks and bought defensive ones. Trading volume was heavier than in recent sessions.The market sentiment was dented by a report on manufacturing in China which showed a mild slowdown at the end of 2013 in the world's second-largest economy had continued into the new year. U.S.-traded Chinese stocks were down sharply after a U.S. Securities and Exchange Commission judge ruled that the Chinese units of the world's top accounting firms should be suspended from auditing those companies.Among the biggest losers were Internet services provider Baidu Inc, down 6.2 percent, and SINA Corp, down 5.9 percent, on heavier-than-usual volume. The U.S. shares of Petrochina , the country's largest stock by market value, fell 3.1 percent.The CBOE Volatility index VIX often used as a fear gauge on Wall Street, closed up 7.2 percent at 13.77 after rising more than 11 percent earlier.""The day's panic was largely associated with China and I think it's a temporary reaction,"" said Randy Frederick, managing director of active trading and derivatives at Charles Schwab in Austin, Texas. ""If we have good corporate earnings from a couple of big names or good economic reports, I think we will be right back up to where we were a couple days ago.""The Dow Jones industrial average fell 175.99 points or 1.07 percent, to 16,197.35, the S&P 500 lost 16.4 points or 0.89 percent, to 1,828.46 and the Nasdaq Composite  dropped 24.126 points or 0.57 percent, to 4,218.875.Trading volume was higher than usual with 7.4 billion shares traded on all U.S. platforms compared to a five-day average of 6.7 billion shares, according to BATS exchange data. Both on the NYSE and Nasdaq, decliners beat advancers by a ratio of about 2 to 1. After the bell, Microsoft Corp said fiscal second-quarter profit rose 3 percent, as strong sales of its Office software to businesses offset another weak quarter for its flagship Windows system, and as consumers increasingly favor tablets over personal computers. The stock rose 3.7 percent in extended trade.Starbucks Corp's sales at established stores in its U.S.-dominated Americas region cooled more than analysts expected in its latest quarter as consumers spent more time holiday shopping online than at physical stores.  The stock rose 1 percent in extended trade.Apple Inc rose 0.8 percent to $556.18. Activist investor Carl Icahn picked up another $500 million of Apple shares, taking the billionaire's total investment in the iPhone maker to $3.6 billion.In other earnings, McDonald's Corp reported weaker-than-expected revenue as fewer customers ate at its restaurants. Shares rebounded from earlier losses to close up 0.5 percent to $95.32.Netflix Inc shares surged 16.5 percent to $388.72 as the best performer on the S&P 500. The world's largest video-streaming company said Wednesday it added more than 2.3 million U.S. customers in the fourth quarter.Shares of Herbalife fell 10.3 percent to $65.92 in heavy volume after Massachusetts Senator Edward Markey asked for more information about its business practices. The nutrition company has been accused by prominent hedge fund manager William Ackman of running a pyramid scheme.Thomson Reuters data through Thursday morning shows earnings for the fourth quarter are expected to grow 7 percent. Of the 102 companies in the benchmark that have reported, 63 percent beat expectations, in line with the long-term average.",2014-01-23,SBUX,"Thu Jan 23, 2014 | 5:02pm EST",US STOCKS-Wall St falls as China data trigger selloff in risky assets,http://www.reuters.com//article/markets-usa-stocks-idUSL2N0KX2DW20140123?type=companyNews
3,"   By Lisa Baertlein  Jan 23 Starbucks Corp on Thursday reported that sales at established stores in its U.S.-dominated Americas region cooled more than analysts expected in its latest quarter as consumers spent more time holiday shopping online than at physical stores.Expectations had been muted ahead of the release of the results, in part because the Seattle company has been on a growth tear that many analysts said could not go on forever. The world's biggest coffee chain posted net earnings of $540.7 million, or 71 cents per share, for the fiscal first quarter ended on Dec. 29. That compares with net profit of $432.2 million, or 57 cents per share, a year earlier. Global sales at Starbucks cafes open at least 13 months were up 5 percent, versus analysts' average estimate for a 5.9 percent rise, according to Consensus Metrix. That figure  included a 5 percent increase for the Americas region that contributes the lion's share of Starbucks revenue. Analysts, on average, expected a 6.4 percent rise from the region. Last fiscal year, Starbucks' Americas region sales at restaurants open at least 13 months were up 8 percent in the fourth quarter and up 9 percent in the third quarter.",2014-01-23,SBUX,"Thu Jan 23, 2014 | 4:16pm EST",Starbucks' growth cooled in latest quarter,http://www.reuters.com//article/starbucks-results-idUSL2N0KW1FL20140123?type=companyNews
4,  NEW YORK Jan 23 Starbucks Corp :  * Shares down 1.4 percent after the bell   ,2014-01-23,SBUX,"Thu Jan 23, 2014 | 4:12pm EST",BRIEF-Starbucks shares down 1.4 percent after the bell following results,http://www.reuters.com//article/starbucks-brief-idUSWEN00C9A20140123?type=companyNews
5,"   By Lisa Baertlein  Starbucks Corp (SBUX.O) on Thursday reported that sales at established restaurants in its U.S.-dominated Americas region cooled more than analysts expected in its latest quarter as online shopping kept more consumers at home and reduced their visits to its coffee bars.With fewer shoppers going to all types of stores to buy gifts, Starbucks executives said sales at its cafes open at least 13 months softened, particularly in DecemberNevertheless, the world's biggest coffee chain boosted its fiscal 2014 earnings per share forecast to a range of $2.59 to $2.67, from $2.55 to $2.65 previously, sending shares up more than 1 percent to $74.15 in after-hours trade.Global sales at Starbucks cafes open at least 13 months were up 5 percent, versus analysts' average estimate for a 5.9 percent rise, according to Consensus Metrix. That figure included a 5 percent increase for the Americas region, which contributes 70 percent of Starbucks revenue. Analysts, on average, expected a 6.4 percent rise from the region.In the two prior quarters, Starbucks' Americas region same-restaurant sales were up 8 percent and 9 percent.""It's hard to really be to critical, especially when you compare what we've seen and what we're about to see in the coming weeks,"" Edward Jones analyst Jack Russo said, referring to the recent spate of disappointing earnings reports and profit warnings from restaurants and retailers.Those included McDonald's Corp (MCD.N), which earlier on Thursday reported a steeper-than-expected drop in December sales at established restaurants in the United States and put some of the blame on frigid winter weather.""Growth is hard to find,"" Russo said. SHIFT TO ONLINE SHOPPING Expectations had been muted ahead of the release of Starbucks' results, in part because the Seattle company has been on a growth tear that many analysts said could not go on forever.In a conference call with analysts, Starbucks Chairman and Chief Executive Howard Schultz predicted that December 2013 would go down as the turning point in the way consumers shop.""People spent much more time on the web than ever before,"" Schultz said.Overall U.S. online sales in the period between November 2 and December 23 grew 10 percent compared with a year earlier, according to data firm comScore (SCOR.O). ShopperTrak last week said U.S. shopper traffic at brick and mortar stores fell 14.6 percent during the holiday season.Schultz pointed to the Americas region's 4 percent traffic increase in the latest quarter as proof that Starbucks would successfully weather the change - in large part because online sellers can't replicate the experience of having a croissant and coffee at one of its shops.Starbucks' net earnings increased 25 percent to $540.7 million, or 71 cents per share, for the fiscal first quarter ended on December 29.Excluding a litigation credit of 2 cents a share, Starbucks' profit matched Wall Street's average estimate of 69 cents per share, according to Thomson Reuters I/B/E/S. The company also has $1 billion in deferred revenue on the books from Starbucks gift cards purchases and reloads in the first quarter. That money will be booked as revenue as it is spent.There has been a growing concern among analysts that the U.S. roll-out of pastries from La Boulange, a San Francisco-area bakery Starbucks bought in 2012, has slowed service because workers are taking the time to warm up baked goods.La Boulange products are sold in half of Starbucks' company-operated stores in the United States, which works out to about 3,500 stores.Chief Financial Officer Troy Alstead told Reuters that Starbucks has added staff and revamped workers' duties to accommodate the additional labor.""This is a myth that absolutely has no legs,"" Schultz said on the call.""There may be a perception that there is a slowdown, but when we measure it, there is no change,"" Alstead told Reuters.Starbucks is one of the best-performing companies in the restaurant category and its shares have run up more than 30 percent in the last 12 months.(Additional reporting by Dhanya Skariachan and Phil Wahba in New York; Editing by Cynthia Osterman)",2014-01-24,SBUX,"Thu Jan 23, 2014 | 7:14pm EST",Starbucks boosts profit forecast despite slower growth,http://www.reuters.com//article/us-starbucks-results-idUSBREA0M1WG20140124?type=companyNews
6,"  By Lisa BaertleinLOS ANGELES Jan 29 Starbucks Corp Chief Executive Officer Howard Schultz on Wednesday said he was promoting Chief Financial Officer Troy Alstead to the new position of chief operating officer, allowing Schultz to focus on keeping the coffee shop chain ahead of the curve in retail technology including mobile payments.Alstead will assume oversight of the company's day-to-day operations. Scott Maw, senior vice president of corporate finance, will succeed Alstead as CFO.Starbucks, already a leader in mobile payments, gift cards, loyalty programs and digital marketing, for years has been finding ways to strengthen results by linking its cafe business and product sales through grocery stores and other retailers.Schultz said such efforts helped the Seattle-based company  outshine other U.S. retailers during the 2013 holiday season, when shopper visits to overall brick-and-mortar stores dropped and online sales increased.Starbucks' traffic rose 4 percent during the quarter that included the holiday season. The chain also saw a record $1.4 billion loaded onto gift cards during that quarter. The CEO expects the company's latest move to further strengthen Starbucks' business.It is an opportunity for Starbucks ""to create new channels of revenue and profit outside four walls of stores .. amid a seismic shift"" in the way consumers are shopping, Schultz who is also chairman, told Reuters in a telephone interview.Schultz, who will be working closely with executives  including Chief Digital Officer Adam Brotman and Chief Strategy Officer Matt Ryan, declined to give specifics on the company's plans. ""This is not about succession planning and this is not about me in any planning to or even thinking about leaving he company,"" he said.Starbucks is an investor in mobile payments provider Square. When asked if Starbucks would buy Square, which counts the coffee company among its users, Schultz said Starbucks has no near-term acquisition plans.He did say that future efforts would include the use of ""Starbucks currency in other retailers outside Starbucks."" Starbucks already allows registered Starbucks card users to earn ""stars,"" or points, when they buy coffee at a participating grocery store. Those stars can then be redeemed at a Starbucks cafe.Starbucks has mobile payment applications in eight countries  including the United States and Canada. It offers Starbucks cards in 28 countries.The company reaps 70 percent of its total revenue from its U.S.-dominated Americas business, which includes sales from 11,500 U.S. cafes.Its forecast for this fiscal year includes opening 1,500 new units around the globe - including 600 in the U.S.-dominated Americas region.Shares in Starbucks inched up 0.2 percent to $71.70 in after-hours trade.",2014-01-29,SBUX,"Wed Jan 29, 2014 | 6:12pm EST",UPDATE 2-Starbucks strengthens technology brew with executive shift,http://www.reuters.com//article/starbucks-management-idUSL2N0L329W20140129?type=companyNews
7,"   By Lisa Baertlein | LOS ANGELES  LOS ANGELES Jan 29 Starbucks Corp  Chief Executive Howard Schultz on Wednesday said he was promoting Chief Financial Officer Troy Alstead to the new position of chief operating officer, allowing Schultz to focus on expanding the coffee shop chain's e-commerce business.Alstead will take over oversight of the brick-and-mortar shops, where traffic rose 4 percent during the quarter that included the holiday season. Starbucks also saw a record $1.4 billion loaded onto gift cards during that quarter.The company, a leader is mobile payments and digital marketing, for years has been finding ways to link and strengthen its sales by tying together its cafe business with selling its products at grocery stores and other retailers. ""This is not about succession planning and this is not about me in any planning to or even thinking about leaving he company,"" Schultz, Starbucks founder and chief executive, told Reuters in a telephone interview.The intensified emphasis on e-commerce, including mobile payments and gift cards, is an opportunity for Starbucks ""to create new channels of revenue and profit outside four walls of stores .. amid a seismic shift"" in the way consumers are shopping, Schultz said. The new initiative includes mobile payments projects, said Schultz, who declined to elaborate. Seattle-based Starbucks is an investor in mobile payments provider Square. When asked if Starbucks planned to buy that company, which processes mobile payments for Starbucks and  other retailers, Schultz said Wednesday's announcement was not about an acquisition.Schultz did say that future programs would include the use of ""Starbucks currency in other retailers outside Starbucks.""Starbucks already allows users of its loyalty and payment card to earn ""stars"" - or points - when they buy coffee at a participating grocery store. Those stars can then be redeemed at a Starbucks cafe.",2014-01-29,SBUX,"Wed Jan 29, 2014 | 4:06pm EST",Starbucks promotes CFO to new post in e-commerce push,http://www.reuters.com//article/starbucks-management-idUSL2N0L31RL20140129?type=companyNews
8,"  By Lisa BaertleinLOS ANGELES Feb 11 Raymond Tremblay, a loyal McDonald's Corp customer from Los Angeles, thinks the fast-food chain sells tasty food at reasonable prices and he cannot think of a quick fix that would help end the company's disappointing U.S. performance.""I know it's there and it's always good,"" Tremblay, 46,  said of McDonald's. ""Maybe we just kind of take it for granted.""Such customer feedback underscores the challenges faced by the world's biggest restaurant company, which has reported 19 months of turbulent sales at established U.S. restaurants amid sluggish economic growth, stepped-up competition and internal missteps that have complicated its menus and slowed service.In a recent call with analysts, McDonald's Chief Executive Officer Don Thompson vowed to ""create more of a coffee culture through high-quality McCafe products"" as well as to double-down on breakfast and sales of food priced around $1 -- in a bid to bolster sales.Once or twice a week, Tremblay makes a slight detour from his morning commute to pick up coffee and a sausage McMuffin with egg or a sausage burrito.He has bought the company's flavored coffees, but never orders the espresso drinks made from pricey McCafe machines that McDonald's franchisees installed to compete with Starbucks Corp .Tremblay, a production artist for an animation firm, is happy when his favorite items are on sale - but he and other customers say that discounts are not enough to change their morning routines.Mel Yu, a 32-year-old automotive industry consultant from Grand Blanc, Michigan, still goes to McDonald's three to four times a week -- but that is down significantly from a decade ago, when McDonald's was just about the only place to grab a quick morning meal.These days, breakfast competition is fierce. Starbucks is introducing new pastries, fast-food chains Burger King  and Dunkin' Donuts have come on strong with food and drinks, and bakery chain Panera Bread has rapidly expanded.McDonald's owners in Yu's area have been couponing and matching discounts from competitors. Still, Yu said that has not increased the frequency of his visits to the Golden Arches: ""I'm going there anyhow."" McDonald's did not immediately respond to requests for comment via telephone or email.DOMESTIC RESTAURANT SALES FALL McDonald's on Monday said U.S. sales at restaurants open at least 13 months fell 3.3 percent in January - more than twice as steep as the drop that analysts polled by Consensus Metrix expected.McDonald's blamed the frigid cold and snow that hit large parts of the United States, but analysts said McDonald's domestic patrons continue to be pinched by the slow economy.It is a trend playing out across the industry. McDonald's and other restaurants that cater to the financially strapped low-to-middle income masses -- including Darden Restaurant Inc's Olive Garden and Red Lobster chains -- are struggling to bring in sales.At the same time, Starbucks, Panera, Chipotle Mexican Grill  and Darden's Capital Grille steak house, which cater to somewhat wealthier diners, are outperforming.KING OF BREAKFAST McDonald's was the undisputed leader in the U.S. quick-service breakfast category with 19 percent market share in 2013, according to Nielsen Co consumer data firm Scarborough.Its closest rivals last year were Starbucks and Dunkin' Donuts, each with 7 percent market share. ""When you're No. 1, you've got one direction to go and that's down. Everybody's got a target on your back,"" Investment Technology Group restaurant analyst Steve West said.Some analysts expect investors to give Thompson, McDonald's CEO who took the helm in July 2012, most of this year to turn the ship.Thompson championed the McCafe push during his tenure as president of McDonald's USA from 2006 to 2010. That program required franchisees to renovate restaurants to create space for equipment, such as an espresso machine that cost between $10,000 and $15,000 per restaurant.The McCafe expansion -- which also included blended fruit smoothies and other drinks -- is widely viewed as a success.While regular coffee sales are reported to be brisk, some franchisees have complained in surveys that sales of espresso drinks fall far short of covering the cost of the high-maintenance machines that crank out lattes and mochas with the press of a button.Howard Penney, restaurant analyst at Hedgeye Risk Management, said McCafe is at the heart of McDonald's operational woes.Contrary to conventional wisdom, Penney says the McCafe business has been slowing down service and that the recent roll-outs of too many new food products and limited-time offers have only exaggerated the problem.For now, McDonald's is focusing on making its food preparation more efficient. It has called on restaurant operators to install a $25,000 to $50,000 ""high density table"" that stores sandwich toppings and other items. Executives say that new equipment will help workers turn out sandwiches and other food faster.If that investment does not boost sales at established restaurants in the second half of 2014, Penney said McDonald's would be forced to look at McCafe.""McCafe is a sacred cow right now,"" Penney said.",2014-02-11,SBUX,"Tue Feb 11, 2014 | 1:03pm EST","FEATURE-McDonald's looking to heat up U.S. sales with breakfast, coffee",http://www.reuters.com//article/mcdonalds-breakfast-idUSL2N0LG1G520140211?type=companyNews
9,"   By Lisa Baertlein | LOS ANGELES  LOS ANGELES Feb 11 Raymond Tremblay, a loyal McDonald's Corp customer from Los Angeles, thinks the fast-food chain sells tasty food at reasonable prices and he cannot think of a quick fix that would help end the company's disappointing U.S. performance.""I know it's there and it's always good,"" Tremblay, 46,  said of McDonald's. ""Maybe we just kind of take it for granted.""Such customer feedback underscores the challenges faced by the world's biggest restaurant company, which has reported 19 months of turbulent sales at established U.S. restaurants amid sluggish economic growth, stepped-up competition and internal missteps that have complicated its menus and slowed service.In a recent call with analysts, McDonald's Chief Executive Officer Don Thompson vowed to ""create more of a coffee culture through high-quality McCafe products"" as well as to double-down on breakfast and sales of food priced around $1 - in a bid to bolster sales.Once or twice a week, Tremblay makes a slight detour from his morning commute to pick up coffee and a sausage McMuffin with egg or a sausage burrito.He has bought the company's flavored coffees, but never orders the espresso drinks made from pricey McCafe machines that McDonald's franchisees installed to compete with Starbucks Corp .Tremblay, a production artist for an animation firm, is happy when his favorite items are on sale - but he and other customers say that discounts are not enough to change their morning routines.Mel Yu, a 32-year-old automotive industry consultant from Grand Blanc, Michigan, still goes to McDonald's three to four times a week - but that is down significantly from a decade ago, when McDonald's was just about the only place to grab a quick morning meal.These days, breakfast competition is fierce. Starbucks is introducing new pastries, fast-food chains Burger King  and Dunkin' Donuts have come on strong with food and drinks, and bakery chain Panera Bread has rapidly expanded.McDonald's owners in Yu's area have been couponing and matching discounts from competitors. Still, Yu said that has not increased the frequency of his visits to the Golden Arches: ""I'm going there anyhow."" McDonald's did not immediately respond to requests for comment via telephone or email.DOMESTIC RESTAURANT SALES FALL McDonald's on Monday said U.S. sales at restaurants open at least 13 months fell 3.3 percent in January - more than twice as steep as the drop that analysts polled by Consensus Metrix expected.McDonald's blamed the frigid cold and snow that hit large parts of the United States, but analysts said McDonald's domestic patrons continue to be pinched by the slow economy.It is a trend playing out across the industry.McDonald's and other restaurants that cater to the financially strapped low-to-middle income masses - including Darden Restaurant Inc's Olive Garden and Red Lobster chains - are struggling to bring in sales. At the same time, Starbucks, Panera, Chipotle Mexican Grill  and Darden's Capital Grille steak house, which cater to somewhat wealthier diners, are outperforming.KING OF BREAKFAST McDonald's was the undisputed leader in the U.S. quick-service breakfast category with 19 percent market share in 2013, according to Nielsen Co consumer data firm Scarborough.Its closest rivals last year were Starbucks and Dunkin' Donuts, each with 7 percent market share. ""When you're No. 1, you've got one direction to go and that's down. Everybody's got a target on your back,"" Investment Technology Group restaurant analyst Steve West said.Some analysts expect investors to give Thompson, McDonald's CEO who took the helm in July 2012, most of this year to turn the ship.Thompson championed the McCafe push during his tenure as president of McDonald's USA from 2006 to 2010. That program required franchisees to renovate restaurants to create space for equipment, such as an espresso machine that cost between $10,000 and $15,000 per restaurant.The McCafe expansion - which also included blended fruit smoothies and other drinks - is widely viewed as a success.While regular coffee sales are reported to be brisk, some franchisees have complained in surveys that sales of espresso drinks fall far short of covering the cost of the high-maintenance machines that crank out lattes and mochas with the press of a button.Howard Penney, restaurant analyst at Hedgeye Risk Management, said McCafe is at the heart of McDonald's operational woes.Contrary to conventional wisdom, Penney says the McCafe business has been slowing down service and that the recent roll-outs of too many new food products and limited-time offers have only exaggerated the problem.For now, McDonald's is focusing on making its food preparation more efficient. It has called on restaurant operators to install a $25,000 to $50,000 ""high density table"" that stores sandwich toppings and other items. Executives say that new equipment will help workers turn out sandwiches and other food faster.If that investment does not boost sales at established restaurants in the second half of 2014, Penney said McDonald's would be forced to look at McCafe.""McCafe is a sacred cow right now,"" Penney said.",2014-02-11,SBUX,"Tue Feb 11, 2014 | 7:00am EST","FEATURE-McDonald's looking to heat up U.S. sales with breakfast, coffee",http://www.reuters.com//article/mcdonalds-breakfast-idUSL2N0LF1D620140211?type=companyNews
