,Article,Date,Symbol,Time,Title,Url
0,"  Discount broker Charles Schwab Corp (SCHW.N) reported a higher-than-expected quarterly profit as it earned more from trading commissions and fees for managing client assets.Schwab's revenue jumped 18 percent to $1.43 billion in the fourth quarter and net interest margin was higher than its own forecast.The increase in revenue more than offset a 7.5 percent rise in expenses.Asset management and administration fees soared 13 percent to $608 million in the fourth quarter ended December 31.Trading revenue grew to $231 million from $202 million a year earlier. Customer's daily trading volume, Schwab's traditional measure of client confidence and risk-taking, rose 8 percent to an average 487,800 trades per day.The U.S. Federal Reserve, which has kept interest rates artificially low to boost spending, will begin tapering its $85 billion monthly bond buying program by $10 billion starting 2014, boosting net interest income at giant retail brokerages. Net income available to common stockholders rose to $297 million, or 23 cents per share, from $189 million, or 15 cents per share, a year earlier.Analysts on average expected earnings of 21 cents per share, according to Thomson Reuters I/B/E/S. The beat was ""driven by across-the-board topline strength, reinforcing our 'increased retail engagement' thesis,"" Sandler O'Neill analyst Richard Repetto wrote in a report to investors. Repetto has a 'buy"" rating on Schwab stock.Shares of the company were marginally up at $26.10 in late morning trading on the New York Stock Exchange on Thursday.The stock has jumped 13 percent since the company last reported results. The broader S&P 500 Financials Sector Index .SPSY has gained 9 percent in past three months.(Reporting By Neha Dimri in Bangalore; Editing by Saumyadeb Chakrabarty and Joyjeet Das)",2014-01-16,SCHW,"Thu Jan 16, 2014 | 11:39am EST",Discount broker Charles Schwab's profit beats estimates,http://www.reuters.com//article/us-charlesschwab-results-idUSBREA0F0ZI20140116?type=companyNews
1,"  * 4th-qtr profit $0.23/share vs est $0.21* Rev up 18 pct to $1.43 blnJan 16 Discount broker Charles Schwab Corp  reported a higher-than-expected quarterly profit as it earned more from trading commissions and fees for managing client assets.Schwab's revenue jumped 18 percent to $1.43 billion in the fourth quarter and net interest margin was higher than its own forecast.The increase in revenue more than offset a 7.5 percent rise in expenses. Asset management and administration fees soared 13 percent to $608 million in the fourth quarter ended Dec. 31.Trading revenue grew to $231 million from $202 million a year earlier.Customer's daily trading volume, Schwab's traditional measure of client confidence and risk-taking, rose 8 percent to an average 487,800 trades per day. The U.S. Federal Reserve, which has kept interest rates artificially low to boost spending, will begin tapering its $85 billion monthly bond buying program by $10 billion starting 2014, boosting net interest income at giant retail brokerages.Net income available to common stockholders rose to $297  million, or 23 cents per share, from $189 million, or 15 cents per share, a year earlier. Analysts on average expected earnings of 21 cents per share, according to Thomson Reuters I/B/E/S.The beat was ""driven by across-the-board topline strength, reinforcing our 'increased retail engagement' thesis,"" Sandler O'Neill analyst Richard Repetto wrote in a report to investors.   Repetto has a 'buy"" rating on Schwab stock.Shares of the company were marginally up at $26.10 in late morning trading on the New York Stock Exchange on Thursday.The stock has jumped 13 percent since the company last reported results. The broader S&P 500 Financials Sector Index  has gained 9 percent in past three months.",2014-01-16,SCHW,"Thu Jan 16, 2014 | 11:37am EST",UPDATE 2-Discount broker Charles Schwab's profit beats estimates,http://www.reuters.com//article/charlesschwab-results-idUSL3N0KQ40X20140116?type=companyNews
2,"   By Jed Horowitz | NEW YORK  NEW YORK A strong January prompted brokerage Charles Schwab Corp (SCHW.N) on Wednesday to raise its forecasts for revenue and profit margins for 2014.Revenue, which totaled $5.4 billion in 2013, will likely grow at a ""high single-digit rate"" this year, Chief Financial Officer Joe Martinetto said in a ""business update"" conference with analysts on Wednesday. In late October, Martinetto more cautiously estimated the rise would be in the ""mid-to-high single digits.""Robust trading volume and the addition of almost $12 billion in new money to customer accounts last month spurred his rosier projections.The forecast assumes that the S&P 500 index will gain 6.5 percent this year, client trades will grow 5 to 6 percent over last year and short-term U.S. interest rates will stay at rock-bottom levels.Martinetto did not make a direct earnings forecast but said pretax profit margin, a key indicator of profitability, should jump to ""around 34 percent"" this year from 31.4 percent in 2013. Three months ago he was vaguer, saying the margin would likely top 30 percent.Merrill Lynch, Bank of America Corp's (BAC.N) wealth and investment management unit, had a pretax profit margin of 26.6 percent last quarter, and senior executives said Tuesday that the margin should rise above 30 percent if interest rates rise to more ""normal"" levels. Most economists expect rates to remain low through most of 2014. Morgan Stanley's (MS.N) wealth business had a margin of 19 percent last quarter and aims to elevate it to between 22 and 25 percent by the end of 2015.Low interest rates remain a key factor depressing profit at Schwab and other large brokerage firms that make much of their money by investing the cash that clients keep in their brokerage accounts. Although longer-term rates have inched up slowly in a reviving U.S. economy, Schwab remains captive to short-term rates that remain stalled well below 1 percent, Martinetto said.Out of about $252 billion of interest-rate sensitive assets, some $240 billion is invested in short-term markets keyed to the federal funds rate that sits at 0.25 percent. ""There is still pressure at the short end, and we're very levered to short rates,"" Martinetto said. Last year, for one example, Schwab waived $674 million of fees on clients' money-market accounts because the charge would have led to a negative return.In a more normal rate environment, Schwab makes more money on cash kept in its bank than in money market funds. Chief Executive Walt Bettinger said Tuesday that when rates rise the firm is likely to make it more difficult for clients to have their cash swept into money funds. ""There may be opportunities to modify money fund eligibility and free up significant dollars that can be moved into the bank, with wider spreads and very attractive returns on equity,"" he said.Schwab currently opens money-market funds to clients who have minimum accounts per household of $500,000, or $100,000 for clients of independent investment advisers who use Schwab for trades and custodial services. Schwab's upbeat 2014 forecast was underscored by its report that clients averaged 588,000 trades a day in January, up 17 percent from December and January 2013. Total clients assets at the end of January were $2.2 trillion, up 10 percent from a year earlier.If Schwab has excess cash to use going forward, priorities will be to raise employee compensation, which had been constrained since 2009, Martinetto said. Bettinger said the firm also hopes to open more full-service branches in wealthy areas of the United States, and singled out Charlotte, North Carolina, the headquarters of Bank of America, as one area where it needs representation.Schwab, which has been shifting its emphasis from do-it-yourself traders to people who want advice on their investments, has about 200 full-service branches, well below the more than 500 that competitors such as Morgan Stanley and Merrill Lynch boast.Shares of Schwab, up 52.4 percent over the past 12 months, inched up 16 cents, or .62 percent, in trading on Wednesday.(Reporting By Jed Horowitz; Editing by Cynthia Osterman)",2014-02-12,SCHW,"Wed Feb 12, 2014 | 5:44pm EST",Schwab raises revenue and profit outlook for 2014,http://www.reuters.com//article/us-schwab-revenue-forecast-idUSBREA1B29Z20140212?type=companyNews
3,"   By Jed Horowitz | NEW YORK  NEW YORK Feb 12 A strong January prompted brokerage Charles Schwab Corp on Wednesday to raise its forecasts for revenue and profit margins for 2014.Revenue, which totaled $5.4 billion in 2013, will likely grow at a ""high single-digit rate"" this year, Chief Financial Officer Joe Martinetto said in a ""business update"" conference with analysts on Wednesday. In late October, Martinetto more cautiously estimated the rise would be in the ""mid-to-high single digits.""Robust trading volume and the addition of almost $12 billion in new money to customer accounts last month spurred his rosier projections.The forecast assumes that the S&P 500 index will gain 6.5 percent this year, client trades will grow 5 to 6 percent over last year and short-term U.S. interest rates will stay at rock-bottom levels.Martinetto did not make a direct earnings forecast but said pretax profit margin, a key indicator of profitability, should jump to ""around 34 percent"" this year from 31.4 percent in 2013. Three months ago he was vaguer, saying the margin would likely top 30 percent. Merrill Lynch, Bank of America Corp's  wealth and investment management unit, had a pretax profit margin of 26.6 percent last quarter, and senior executives said Tuesday that the margin should rise above 30 percent if interest rates rise to more ""normal"" levels. Most economists expect rates to remain low through most of 2014.Morgan Stanley's wealth business had a margin of 19 percent last quarter and aims to elevate it to between 22 and 25 percent by the end of 2015.Low interest rates remain a key factor depressing profit at Schwab and other large brokerage firms that make much of their  money by investing the cash that clients keep in their brokerage accounts. Although longer-term rates have inched up slowly in a reviving U.S economy, Schwab remains captive to short-term rates that remain stalled well below 1 percent, Martinetto said. Out of about $252 billion of interest-rate sensitive assets, some $240 billion is invested in short-term markets keyed to the federal funds rate that sits at 0.25 percent.  ""There is still pressure at the short end, and we're very levered to short rates,"" Martinetto said.Last year, for one example, Schwab waived $674 million of fees on clients' money-market accounts because the charge would have led to a negative return.In a more normal rate environment, Schwab makes more money on cash kept in its bank than in money market funds. Chief Executive Walt Bettinger said Tuesday that when rates rise the firm is likely to make it more difficult for clients to have their cash swept into money funds. ""There may be opportunities to modify money fund eligibility and free up significant dollars that can be moved into the bank, with wider spreads and very attractive returns on equity,"" he said. Schwab currently opens money-market funds to clients who have minimum accounts per household of $500,000, or $100,000 for clients of independent investment advisers who use Schwab for trades and custodial services.Schwab's upbeat 2014 forecast was underscored by its report that clients averaged 588,000 trades a day in January, up 17 percent from December and January 2013. Total clients assets at the end of January were $2.2 trillion, up 10 percent from a year earlier.If Schwab has excess cash to use going forward, priorities will be to raise employee compensation, which had been constrained since 2009, Martinetto said. Bettinger said the firm also hopes to open more full-service branches in wealthy areas of the United States, and singled out Charlotte, North Carolina, the headquarters of Bank of America, as one area where it needs representation.Schwab, which has been shifting its emphasis from do-it-yourself traders to people who want advice on their investments, has about 200 full-service branches, well below the more than 500 that competitors such as Morgan Stanley and Merrill Lynch boast.Shares of Schwab, up 52.4 percent over the past 12 months, inched up 16 cents, or .62 percent, in trading on Wednesday.",2014-02-12,SCHW,"Wed Feb 12, 2014 | 5:41pm EST",Schwab raises revenue and profit outlook for 2014,http://www.reuters.com//article/schwab-revenue-forecast-idUSL2N0LH1L320140212?type=companyNews
4,"   By Jed Horowitz | NEW YORK  NEW YORK Feb 20 A family brokerage team who had been at Wells Fargo Advisors for more than a decade and manage more than $300 million of assets for wealthy clients resigned on Wednesday to start an independent registered investment advisory firm.Gerald Strid, his sons Erik and Paul and two other brokers folded the Strid Wealth Management Group at Wells' Berwyn, Pennsylvania, branch to form Concentus Wealth Advisors in King of Prussia. The group offers planning services and has discretion to select investment managers for about 150 wealthy families. They plan to continue requiring clients to have a minimum of $1 million of assets and plan to start a family office with a higher minimum.""We were already a long way to feeling independent but we got to the point where it was time to take the last step and be totally objective and transparent (about the practice),"" said Erik Strid, who joined his father's team in 1992 when they were at Merrill Lynch.""There were certain instances where there was a shadow of doubt in clients' minds about where the 'vig' was for the bank,"" he said, using a gambling term for interest kept by the house or lender.The Strids also wanted more equity in their practice and to be less tied to long-term bank stock incentives whose value they cannot control. Despite some incentives that bank-owned brokerage firms give advisers to sell products, the Strid team was successful enough to do what was best for clients without bank interference and benefited from Wells' vast resources, said Erik Strid. Wells Fargo Advisors is a broker-dealer subsidiary of Wells Fargo & Co., the fourth-biggest U.S. bank company.The Strids are part of a small but growing trend of traditional stockbrokers who are becoming independent advisers, typically offering fee-based investment accounts and broad financial planning services.The number of wealth managers who registered as investment advisers grew at an annual rate of 8 percent between 2004 and 2012, while brokers at traditional firms fell an average of 1.2 percent in those years, according to Cerulli Associates, a Boston-based wealth management consulting firm. To help structure their new business, including creating an equity structure to help them expand, the Strids have affiliated with Dynasty Financial Partners, a New York firm founded by former Smith Barney and Citigroup executives that designs technology and investment products for independent advisers.Dynasty helps manage 20 independent wealth management firms with 63 advisers and about $20 billion in assets. It charges a small percentage of the non-cash assets managed by its advisory firms. Concentus, Latin for ""harmony,"" is using Charles Schwab Corp  to hold client assets and execute transactions. The group will continue to buy research and tactical strategies from Dorsey Wright & Associates, a Richmond, Virginia-based ""technical"" money manager. It will retain web-based financial planning software from eMoney Advisor, and use Envestnet's  reporting and portfolio balancing tools.The Strids were part of a small unit at Wells called ""Profit Formula"" that allows brokers to keep about 75 percent of the revenue they collect from clients but charges them for the costs of running their practices. Most big brokerage firms pay top brokers about 45 percent of the commissions and fees collected from clients, but provide overhead and other services gratis.Wells is not allowing new advisers into Profit Formula, said brokerage spokeswoman Rachelle Rowe, because it has separate ""channels"" to accommodate those who want to be completely independent and others who are full-time employees. Many of the most successful of Wells' more than 15,000 retail brokers are in Profit Formula and tend to move less often, she added.The bank is likely restricting growth of Profit Formula to maintain better risk control, since advisers in the unit have more latitude to manage clients' money, or for reasons related to profit margin but the Strids did not feel pinched by any changes, Erik Strid said.The spokeswoman declined to comment on the Strids or on the number of Profit Formula advisers. A headhunter and two Wells Fargo insiders estimated the unit has 350 teams with 1,000 advisers.",2014-02-20,SCHW,"Thu Feb 20, 2014 | 10:00am EST",ON THE MOVE-Veteran Pennsylvania Wells Fargo brokers go independent,http://www.reuters.com//article/wellsfargo-strid-idUSL2N0LO2BD20140220?type=companyNews
5,"  NEW YORK Charles Schwab Corp awarded its namesake chairman and its chief executive, Walt Bettinger, a pay increase of 23.7 percent last year, the brokerage firm said in a regulatory filing on Friday.The compensation reflected a year in which the executives' long-term strategy of expanding beyond simple inexpensive stock commissions into a broader range of services bore fruit, the company's compensation committee wrote.Bettinger, 53, who has been president and chief executive of the San Francisco-based firm since 2008, was paid $12.73 million, including $4.4 million in cash and $8.3 million in stock and option awards.Charles Schwab, 76, who has licensed the use of his name to the company as a corporate trademark, earned $5.48 million, including $2.8 million of stock and option awards.His daughter, Carolyn ""Carrie"" Schwab-Pomerantz, earned about $458,000 last year in her role as president of the Charles Schwab Foundation, and also received nearly 4,000 shares of restricted company stock and more than 8,600 stock options. The company's revenue last year grew 11 percent, its stock price jumped 83 percent, including reinvested dividends, and assets it manages for clients in its 9.1 million active brokerage accounts rose 25 percent to $140.8 billion, on both stock market gains and new sales.""After a long period of progress masked by environmental headwinds,"" the firm's proxy statement said, referring to years of low interest rates that deprived Schwab of making much money on its clients' cash, ""our financial performance in 2013 more clearly reflected the significant growth we have achieved with our strategy.""Schwab said its board's compensation committee compared performance and executive pay against eight asset management companies, including Ameriprise Financial Inc and T. Rowe Price Group, five regional banks and more traditional discount brokerage competitors such as TD Ameritrade Holding Corp and E*Trade Financial Corp. E*Trade earlier this week said in its 2013 proxy filing that its chief executive, Paul Idzik, earned $13.5 million in his first year on the job, including a signing bonus of $9 million. TD Ameritrade Chief Executive Fred Tomczyk was paid $6.5 million in the firm's fiscal 2013 year, which ended on September 30.Schwab will hold its annual meeting in San Francisco on May 15 and also broadcast it over the web as a ""virtual"" event, the proxy said. In addition to voting on approving executive compensation and election of directors, shareholders will consider proposals by several New York City employee pension funds that would require Schwab to issue reports on its policies for making political contributions and to disclose a breakdown of its workforce by race and gender, a report that is privately submitted to the U.S. government's Equal Employment Opportunity Commission.Schwab directors recommended voting against the proposals.Shares of Schwab, which are up 4.7 percent this year, were down 2 cents at $27.14 in afternoon trading Friday on the New York Stock Exchange.(Reporting by Jed Horowitz; Editing by Bernadette Baum)",2014-03-28,SCHW,"Fri Mar 28, 2014 | 2:39pm EDT","Charles Schwab awards 24 percent pay hike to chairman, CEO for 2013",http://www.reuters.com//article/us-schwab-compensation-idUSBREA2R1HW20140328?type=companyNews
6,"  (Adds stock price and information on annual meeting)NEW YORK, March 28 Charles Schwab Corp  awarded its namesake chairman and its chief executive, Walt Bettinger, a pay increase of 23.7 percent last year, the brokerage firm said in a regulatory filing on Friday.The compensation reflected a year in which the executives' long-term strategy of expanding beyond simple inexpensive stock commissions into a broader range of services bore fruit, the company's compensation committee wrote.Bettinger, 53, who has been president and chief executive of the San Francisco-based firm since 2008, was paid $12.73 million, including $4.4 million in cash and $8.3 million in stock and option awards.Charles Schwab, 76, who has licensed the use of his name to the company as a corporate trademark, earned $5.48 million, including $2.8 million of stock and option awards. His daughter, Carolyn ""Carrie"" Schwab-Pomerantz, earned about $458,000 last year in her role as president of the Charles Schwab Foundation, and also received nearly 4,000 shares of restricted company stock and more than 8,600 stock options.The company's revenue last year grew 11 percent, its stock price jumped 83 percent, including reinvested dividends, and assets it manages for clients in its 9.1 million active brokerage accounts rose 25 percent to $140.8 billion, on both stock market gains and new sales."" fter a long period of progress masked by environmental headwinds,"" the firm's proxy statement said, referring to years of low interest rates that deprived Schwab of making much money on its clients' cash, ""our financial performance in 2013 more clearly reflected the significant growth we have achieved with our strategy."" Schwab said its board's compensation committee compared performance and executive pay against eight asset management companies, including Ameriprise Financial Inc and T. Rowe Price Group, five regional banks and more traditional discount brokerage competitors such as TD Ameritrade Holding Corp and E*Trade Financial Corp.E*Trade earlier this week said in its 2013 proxy filing that its chief executive, Paul Idzik, earned $13.5 million in his first year on the job, including a signing bonus of $9 million. TD Ameritrade Chief Executive Fred Tomczyk was paid $6.5 million in the firm's fiscal 2013 year, which ended on Sept. 30. Schwab will hold its annual meeting in San Francisco on May 15 and also broadcast it over the web as a ""virtual"" event, the proxy said.In addition to voting on approving executive compensation and election of directors, shareholders will consider proposals by several New York City employee pension funds that would require Schwab to issue reports on its policies for making political contributions and to disclose a breakdown of its workforce by race and gender, a report that is privately submitted to the U.S. government's Equal Employment Opportunity Commission.Schwab directors recommended voting against the proposals.Shares of Schwab, which are up 4.7 percent this year, were down 2 cents at $27.14 in afternoon trading Friday on the New York Stock Exchange.   (Reporting by Jed Horowitz; Editing by Bernadette Baum)",2014-03-28,SCHW,"Fri Mar 28, 2014 | 2:37pm EDT","UPDATE 1-Charles Schwab awards 24 pct pay hike to chairman, CEO for 2013",http://www.reuters.com//article/schwab-compensation-idUSL1N0MP1JE20140328?type=companyNews
7,"  NEW YORK, March 28 Charles Schwab Corp  awarded both its namesake chairman and its chief executive, Walt Bettinger, a pay increase of 23.7-percent last year, the brokerage firm said in a regulatory filing on Friday.The compensation reflected a year in which the executives' long-term strategy - of expanding beyond simple inexpensive stock commissions into a broader range of services - bore fruit, the company's compensation committee wrote.Bettinger, 53, who has been president and chief executive of the San Francisco-based firm since 2008, was paid $12.73 million, including $4.4 million in cash and $8.3 million in stock and option awards.Charles Schwab, 76, who has licensed the use of his name to the company as a corporate trademark, earned $5.48 million, including $2.8 million of stock and option awards.His daughter, Carolyn ""Carrie"" Schwab-Pomerantz, earned about $458,000 last year in her role as president of the Charles Schwab Foundation, and also received nearly 4,000 shares of restricted company stock and more than 8,600 stock options. The company's revenue last year grew 11 percent, its stock price jumped 83 percent, including reinvested dividends, and assets it manages for clients in its 9.1 million active brokerage accounts rose 25 percent to $140.8 billion, on both stock market gains and new sales."" fter a long period of progress masked by environmental headwinds,"" the firm's proxy statement said, referring to years of low interest rates that deprived Schwab of making much money on its clients' cash, ""our financial performance in 2013 more clearly reflected the significant growth we have achieved with our strategy."" Schwab said its board's compensation committee compared performance and executive pay against eight asset management companies, including Ameriprise Financial Inc and T. Rowe Price Group, five regional banks and more traditional discount brokerage competitors such as TD Ameritrade Holding Corp and E*Trade Financial Corp.E*Trade earlier this week said in its 2013 proxy filing that its chief executive, Paul Idzik, earned $13.5 million in his first year on the job, including a signing bonus of $9 million. TD Ameritrade Chief Executive Fred Tomczyk was paid $6.5 million in the firm's fiscal 2013 year, which ended on Sept. 30. Schwab will hold its annual meeting on May 15 as a ""virtual"" online event, the proxy said.In addition to voting on approving executive compensation and election of directors, shareholders will consider proposals by several New York City employee pension funds that would require Schwab to issue reports on its policies for making political contributions and to disclose a breakdown of its workforce by race and gender, a report that is privately submitted to the U.S. government's Equal Employment Opportunity Commission.Schwab directors recommended voting against the proposals.   (Reporting by Jed Horowitz; Editing by Bernadette Baum)",2014-03-28,SCHW,"Fri Mar 28, 2014 | 1:56pm EDT","Charles Schwab awards 24-pct pay hike to chairman, CEO for 2013",http://www.reuters.com//article/schwab-compensation-idUSL1N0MP18F20140328?type=companyNews
8,"  Discount broker Charles Schwab Corp (SCHW.N) reported a higher-than-expected quarterly profit due to a rise in trading commissions and fees for managing client assets.Net income available to common stockholders rose to $318 million, or 24 cents per share, in the first quarter ended March 31 from $198 million, or 15 cents per share, a year earlier.Schwab's revenue jumped 15 percent to $1.48 billion. Analysts on average had expected earnings of 22 cents per share on revenue of $1.47 billion, according to Thomson Reuters I/B/E/S.Schwab's asset management and administration fees rose 11 percent to $611 million, while trading revenue also increased 11 percent to $247 million. The company's customer daily trading volume rose 11 percent to an average 553,600 trades. Schwab's shares were up 5 percent at $26.50 before the bell.(Reporting by Neha Dimri in Bangalore; Editing by Joyjeet Das and Kirti Pandey)",2014-04-15,SCHW,"Tue Apr 15, 2014 | 11:30am EDT",Charles Schwab's profit beats estimates as commissions rise,http://www.reuters.com//article/us-charles-schwab-results-idUSBREA3E0ZO20140415?type=companyNews
9,"  * First-quarter profit $0.24/share vs est. $0.22* Revenue up 15 pct at $1.48 bln* Shares up 5 pct premarket   (Adds details, shares)April 15 Discount broker Charles Schwab Corp  reported a higher-than-expected quarterly profit due to a rise in trading commissions and fees for managing client assets. Net income available to common stockholders rose to $318 million, or 24 cents per share, in the first quarter ended March 31 from $198 million, or 15 cents per share, a year earlier.Schwab's revenue jumped 15 percent to $1.48 billion. Analysts on average had expected earnings of 22 cents per share on revenue of $1.47 billion, according to Thomson Reuters I/B/E/S. Schwab's asset management and administration fees rose 11 percent to $611 million, while trading revenue also increased 11 percent to $247 million.The company's customer daily trading volume rose 11 percent to an average 553,600 trades.Schwab's shares were up 5 percent at $26.50 before the bell.   (Reporting by Neha Dimri in Bangalore; Editing by Joyjeet Das and Kirti Pandey)",2014-04-15,SCHW,"Tue Apr 15, 2014 | 9:26am EDT",UPDATE 1-Charles Schwab's profit beats estimates as commissions rise,http://www.reuters.com//article/charles-schwab-results-idUSL3N0N73CC20140415?type=companyNews
