,Article,Date,Symbol,Time,Title,Url
0,"  By Ernest Scheyder and Swetha GopinathJan 17 Schlumberger Ltd, the world's largest oilfield services company, posted a better-than-expected fourth-quarter profit on Friday as robust international activity offset stiff competition in North America.Fracking, drilling seismic studies and other lucrative services for oil producers across most of the Middle East, Asia and Latin America helped the company's profit top analysts' estimates for the ninth straight quarter.Intense competition with Halliburton Co and Baker Hughes Inc for work in North America's vast shale fields, though, combined with weak natural gas prices, eroded regional results.Without strong sales from the U.S. Gulf of Mexico, North American revenue would have dipped.""The main challenge in the North America land market is still pricing,"" Chief Executive Paal Kibsgaard said on a conference call with investors.Negotiations for new contracts with several key North American customers should further dent results, with pricing falling, he said. Statoil and other international energy firms are Schlumberger's largest North American customers and have used the oversupply of oilfield services to their advantage.Despite tepid North American growth, Schlumberger expects the global economy to improve in 2014 and oil demand to rise, with double-digit earnings growth across the company for the year, Kibsgaard said.Schlumberger has the lowest exposure to North America among the big four oilfield service providers. International markets brought in about two-thirds of Schlumberger's 2013 revenue of $45.27 billion. Middle Eastern revenue jumped 5 percent in the quarter, helped by activity in Saudi Arabia and the United Arab Emirates, but a temporary shutdown of operations in southern Iraq in November, following a protest, slightly dented fourth-quarter results, the company said.Schlumberger suspended activity in Iraq in November after dozens of Shi'ite Muslim workers and tribesmen, accusing a foreign security adviser of insulting their religion, stormed the Schlumberger camp in North Rumaila and wrecked offices.Seasonal slowdowns in North America, the North Sea, Russia and China also weighed on results. The company expects oil producers' exploration and production spending, the lion's share of its business, to increase this year for international markets and the U.S. Gulf of Mexico.Barclays expects oil and gas companies to spend about $723 billion on exploration and production this year, an increase of 6.1 percent from 2013, according to report released last month.Schlumberger's net income rose to $1.66 billion, or $1.26 per share, in the fourth quarter ended Dec.31, from $1.36 billion, or $1.02 per share, a year earlier.Excluding items, profit from continuing operations was $1.35 per share.Revenue rose about 7 percent to $11.91 billion. Analysts on average had expected earnings of $1.32 per share on revenue of $12.01 billion, according to Thomson Reuters I/B/E/S.The results come the day after Schlumberger boosted its quarterly dividend by 28 percent to 40 cents.The company, which reviews its dividend every January, has no set level for future dividend payouts, Kibsgaard said.""There is no target number,"" he said.Baker Hughes and Halliburton are scheduled to report their fourth-quarter results on Jan. 21.Baker Hughes, considered the smallest of the ""big three"" oil service providers, earlier this month estimated a smaller-than-expected quarterly profit, citing the suspension of its operations in Iraq.Schlumberger shares rose 1.1 percent to $89.61 in morning trading on Friday.Schlumberger shares have risen 21 percent in the past year, compared with a 17 percent rise in the Philadelphia oil service index.",2014-01-17,SLB,"Fri Jan 17, 2014 | 10:38am EST","UPDATE 3-Schlumberger profit surges, helped by Middle East & Asia",http://www.reuters.com//article/schlumberger-results-idUSL3N0KR3DL20140117?type=companyNews
1,"  Schlumberger Ltd (SLB.N), the world's largest oilfield services company, posted a better-than-expected fourth-quarter profit on Friday as robust international activity offset stiff competition in North America.Fracking, drilling seismic studies and other lucrative services for oil producers across most of the Middle East, Asia and Latin America helped the company's profit top analysts' estimates for the ninth straight quarter.Intense competition with Halliburton Co (HAL.N) and Baker Hughes Inc (BHI.N) for work in North America's vast shale fields, though, combined with weak natural gas prices, eroded regional results. Without strong sales from the U.S. Gulf of Mexico, North American revenue would have dipped.""In the United States, we see no change in fundamentals, with any meaningful recovery in dry gas drilling activity some way out in the future,"" Chief Executive Paal Kibsgaard said in a statement.Schlumberger has the lowest exposure to North America among the big four oilfield service providers. International markets brought in about two-thirds of Schlumberger's 2013 revenue of $45.27 billion.Middle Eastern revenue jumped 5 percent in the quarter, helped by activity in Saudi Arabia and the United Arab Emirates, but a temporary shutdown of operations in southern Iraq in November, following a protest, slightly dented fourth-quarter results, the company said.Schlumberger suspended activity in Iraq in November after dozens of Shi'ite Muslim workers and tribesmen, accusing a foreign security adviser of insulting their religion, stormed the Schlumberger camp in North Rumaila and wrecked offices. Seasonal slowdowns in North America, the North Sea, Russia and China also weighed on results.The company expects oil producers' exploration and production spending, the lion's share of its business, to increase this year for international markets and the U.S. Gulf of Mexico.Barclays (BARC.L) expects oil and gas companies to spend about $723 billion on exploration and production this year, an increase of 6.1 percent from 2013, according to report released last month.Schlumberger's net income rose to $1.66 billion, or $1.26 per share, in the fourth quarter ended December31, from $1.36 billion, or $1.02 per share, a year earlier. Excluding items, profit from continuing operations was $1.35 per share.Revenue rose about 7 percent to $11.91 billion.Analysts on average had expected earnings of $1.32 per share on revenue of $12.01 billion, according to Thomson Reuters I/B/E/S. Baker Hughes and Halliburton are scheduled to report their fourth-quarter results on January 21.Baker Hughes, considered the smallest of the ""big three"" oil service providers, earlier this month estimated a smaller-than-expected quarterly profit, citing the suspension of its operations in Iraq.Schlumberger shares rose 1.1 percent to $89.53 in premarket trading on Friday.Schlumberger shares have risen 21 percent in the past year, compared with a 17 percent rise in the Philadelphia oil service index .OSX.(Reporting by Ernest Scheyder in New York and Swetha Gopinath in Bangalore; Editing by Saumyadeb Chakrabarty and Chizu Nomiyama)",2014-01-17,SLB,"Fri Jan 17, 2014 | 8:58am EST","Schlumberger profit surges, helped by Middle East & Asia",http://www.reuters.com//article/us-schlumberger-results-idUSBREA0G0K820140117?type=companyNews
2,"  Jan 17 Schlumberger Ltd, the world's largest oilfield services company, reported a 22 percent jump in quarterly profit, helped by robust drilling activity outside North America. Net income rose to $1.66 billion, or $1.26 per share, in the fourth quarter ended Dec.31, from $1.36 billion, or $1.02 per share, a year earlier.  Revenue rose about 7 percent to $11.91 billion.",2014-01-17,SLB,"Fri Jan 17, 2014 | 6:14am EST",REFILE-Schlumberger profit jumps as drilling demand outside N.America rises,http://www.reuters.com//article/schlumberger-results-idUSL3N0KO3MV20140117?type=companyNews
3,"  By Guillermo Parra-Bernal     SAO PAULO, Jan 24 Bankrupt oil producer Óleo e Gás Participações SA will delay presenting its restructuring plan to creditors, initially scheduled for Friday, by about a week as the company attempts to secure more funding, two sources familiar with the situation told Reuters.     Óleo e Gás, formerly known as OGX Petróleo e Gas Participações SA, and creditors are discussing terms of a potential $200 million debtor-in-possession loan, said the sources, who declined to be identified because the talks are private. The delay is unlikely to disrupt operations, and the company has enough funds to stay afloat, both sources added.     Management wants to convince the maximum number of creditors to back the recovery plan, which has to be filed with a Brazilian bankruptcy court, the first source said. Óleo e Gás owes about $5.1 billion to investors such as bond fund Pimco, dozens of suppliers including Schlumberger NV, and sister company and shipbuilder OSX Brasil SA.     Óleo e Gás and OSX are both controlled by Brazilian tycoon Eike Batista, the former billionaire whose empire of commodities and industrial companies collapsed last year in dramatic fashion under a mountain of debt after disappointing output at the oil company's wells sent investors running for the exits.     Calls to Óleo e Gás in Rio de Janeiro were not immediately answered. Lawyers working on behalf of the company and creditors declined to comment.     Once Óleo e Gás delivers the restructuring plan to the bankruptcy court, creditors will then have between 30 days and 60 days to endorse or reject the plan. Bankers and creditors have moved slowly with the DIP loan because they are uneasy with the lack of precedent for such a structure in Brazil, the second source said.     In the United States, DIP loans are the first debt that gets repaid. As a result, such loans tend to be a regular feature of bankruptcy cases and are credited with saving companies and their employees from fire-sale liquidations.      In recent weeks, Óleo e Gás obtained a bridge loan to pay for operations while it seeks the DIP loan.      The company, which filed for bankruptcy protection on Oct. 30, stands to lose offshore exploration rights in Brazil's Espírito Santo state should it fail to meet capital spending commitments by the end of this week, a source with direct knowledge of the situation told Reuters on Thursday.   ",2014-01-24,SLB,"Fri Jan 24, 2014 | 8:00am EST",Batista oil firm delays restructure plan to secure more funding -sources,http://www.reuters.com//article/brazil-batista-ogx-idUSL2N0KY0GU20140124?type=companyNews
4,"  Feb 7 Brazil's Óleo e Gás Participações SA creditors, led by bond firm Pimco, have agreed to about $200 million in financing for the oil company, which began Latin America's largest corporate debt default in October, Bloomberg reported on Friday.The deal would take control of the company, formerly OGX , out of the hands of Eike Batista, the former Brazilian billionaire whose swift rise to vast wealth was matched by his fall from those same ranks.Citing people with knowledge of the talks, Bloomberg reported that Deutsche Bank AG will act as an intermediary. Representatives from Pimco did not immediately return a phone message. Deutsche Bank declined to comment, and Óleo e Gás did not immediately respond to emails. The Brazilian company was expected to submit a debt restructuring plan this month after having delayed the plan in January. Óleo e Gás owes about $5.1 billion to investors such as bond fund Pimco, suppliers including Schlumberger NV, and sister company and shipbuilder OSX Brasil SA.Batista, who controls OSX which is also in bankruptcy proceedings, saw his commodities and industrial conglomerate collapse last year under huge debts after disappointing output at its oil wells sent investors fleeing.",2014-02-08,SLB,"Fri Feb 7, 2014 | 7:35pm EST",Creditors of Brazil's Oleo e Gas agree to $200 mln deal -Bloomberg,http://www.reuters.com//article/pimco-ogx-financing-idUSL2N0LC22H20140208?type=companyNews
5,"   By Ernest Scheyder | NEW ORLEANS  NEW ORLEANS Schlumberger Ltd (SLB.N), the world's largest oilfield services company, said on Monday it expects first-quarter earnings to be much higher than in the same period last year, as it takes market share from rivals and cuts costs.Much of the growth will come from state-owned and independent energy companies that are spending to develop shale and other resources around the world, rather than multinational energy companies, most of whom are cutting spending, Schlumberger Chief Executive Paal Kibsgaard said at an energy conference in New Orleans.""We still expect strong, year-over-year growth in earnings per share compared to the first quarter of 2013, which further supports our positive view for the year,"" Kibsgaard said.Analysts expect first-quarter earnings of $1.22 per share, according to Thomson Reuters I/B/E/S. The company earned $1.01 per share in the first quarter of 2013. The positive outlook came despite cold, wintry weather in North America and Russia that dented demand for the company's drilling, completion and other services for oil and natural gas producers. Kibsgaard, who touted the company's use of technology to boost efficiency and take market share from rivals, said he would update Wall Street next month on the outlook.Schlumberger, with an extensive international reach, gets almost 70 percent of its revenue from outside North America and is less exposed to North America than rivals Halliburton Co (HAL.N) and Baker Hughes Inc (BHI.N). The North American natural gas glut has forced many drillers to idle rigs until natural gas prices recover from recent lows. While prices jumped sharply last winter in the United States due to cold weather, they fell when temperatures rose.Kibsgaard said he does not expect the winter price spike to cause a sudden surge in new natural gas drilling. As of the end of last week, the number of U.S. rigs drilling for natural gas fell by 18 to 326 rigs, the lowest level since May 1995, according to Baker Hughes data.Shares of Schlumberger rose 2 percent to $95.52 in morning trading on Monday.(Reporting by Ernest Scheyder; Editing by Jeffrey Benkoe and Paul Simao)",2014-03-24,SLB,"Mon Mar 24, 2014 | 9:57am EDT",Schlumberger expects Q1 earnings to jump from last year,http://www.reuters.com//article/us-schlumberger-estimates-idUSBREA2N0QZ20140324?type=companyNews
6,"  (Adds forecast details, stock price)By Ernest ScheyderNEW ORLEANS, March 24 Schlumberger Ltd, the world's largest oilfield services company, said on Monday it expects first-quarter earnings to be much higher than in the same period last year, as it takes market share from rivals and cuts costs.Much of the growth will come from state-owned and independent energy companies that are spending to develop shale and other resources around the world, rather than multinational energy companies, most of whom are cutting spending, Schlumberger Chief Executive Paal Kibsgaard said at an energy conference in New Orleans.""We still expect strong, year-over-year growth in earnings per share compared to the first quarter of 2013, which further supports our positive view for the year,"" Kibsgaard said. Analysts expect first-quarter earnings of $1.22 per share, according to Thomson Reuters I/B/E/S. The company earned $1.01 per share in the first quarter of 2013.The positive outlook came despite cold, wintry weather in North America and Russia that dented demand for the company's drilling, completion and other services for oil and natural gas producers. Kibsgaard, who touted the company's use of technology to boost efficiency and take market share from rivals, said he would update Wall Street next month on the outlook. Schlumberger, with an extensive international reach, gets almost 70 percent of its revenue from outside North America and is less exposed to North America than rivals Halliburton Co  and Baker Hughes Inc.The North American natural gas glut has forced many drillers to idle rigs until natural gas prices recover from recent lows. While prices jumped sharply last winter in the United States due to cold weather, they fell when temperatures rose. Kibsgaard said he does not expect the winter price spike to cause a sudden surge in new natural gas drilling.As of the end of last week, the number of U.S. rigs drilling for natural gas fell by 18 to 326 rigs, the lowest level since May 1995, according to Baker Hughes data.Shares of Schlumberger rose 2 percent to $95.52 in morning trading on Monday.   (Reporting by Ernest Scheyder; Editing by Jeffrey Benkoe and Paul Simao)",2014-03-24,SLB,"Mon Mar 24, 2014 | 9:56am EDT",UPDATE 1-Schlumberger expects Q1 earnings to jump from last year,http://www.reuters.com//article/schlumberger-estimates-idUSL1N0ML0JX20140324?type=companyNews
7,"  NEW ORLEANS, March 24 Schlumberger Ltd, the world's largest oilfield services company, said on Monday it expects first-quarter earnings to be much higher than in the same period last year.The positive outlook came despite cold, wintry weather in North America and Russia that dented demand for the company's drilling, completion and other services for oil and natural gas producers.  Analysts expected first-quarter earnings of $1.22 per share, according to Thomson Reuters I/B/E/S. The company earned $1.01 per share in the first quarter of 2013.   (Reporting by Ernest Scheyder; Editing by Jeffrey Benkoe) ",2014-03-24,SLB,"Mon Mar 24, 2014 | 9:34am EDT",Schlumberger expects 'strong' Q1 earnings bump,http://www.reuters.com//article/schlumberger-estimates-idUSL1N0ML01P20140324?type=companyNews
8,"  * Schlumberger first-quarter profit $1.21/share vs est. $1.20* Baker Hughes first-quarter adjusted profit $0.84/shr est. $0.78* Both upbeat on Gulf of Mexico deepwater drilling   (Recasts to adds details on outlook risks, new share prices)By Sayantani Ghosh and Ashutosh PandeyApril 17 Oilfield services providers Schlumberger Ltd and Baker Hughes Inc each posted better-than-expected quarterly profit on Thursday, though they said pockets of weakness loom in Brazil, Canada, Russia and other drilling regions.The results highlight a rapidly changing landscape for the oilfield service industry, where companies are competing for a smaller number of new contracts in North American shale fields. At the same time, they are moving into newer, more-lucrative Eastern Hemisphere regions that have higher logistical risks.Schlumberger and Baker Hughes, which provide drilling technology and equipment, well construction services and seismic surveys for oil and natural gas companies, have for months been complaining of market weakness in North America.Additionally, Royal Dutch Shell and other large, international oil companies, after a decade of double-digit growth in capital budgets, have begun cutting spending as oil prices stagnate and project costs rise, a bad sign for oilfield service companies.Executives from Schlumberger, the world's No. 1 oilfield services company by revenue, and Baker Hughes told analysts on conference calls they expect results to slightly improve this year in parts of North America but they warned of potential problems in other regions.Schlumberger said deepwater drilling off Brazil should decline 20 percent this year compared with last year and that revenue could drop in Russia due to weakness in the rouble. Both countries are important markets for Schlumberger.""Brazil revenue for us this year is going to be significantly down versus 2013,"" Schlumberger Chief Executive Officer Paal Kibsgaard said on a call with analysts, citing slipping demand and less-lucrative contracts signed last year.Baker Hughes said its revenue this quarter would decline slightly in North America, where it gets half its annual revenue, partly due to a slowdown in Canada. GULF OF MEXICO HOLDS PROMISE Three years after the worst offshore oil spill in U.S. history, large oil and gas companies are ramping up operations in the Gulf of Mexico, which they expect to yield more than 700,000 barrels per day of crude.""The Gulf of Mexico will play a big role in our North American margin growth,"" Baker Hughes Chief Executive Officer Martin Craighead said.While Schlumberger's revenue from deepwater drilling in the region fell in the first quarter due to operational delays, it  expects the situation to normalize this quarter. ""The outlook for deepwater drilling activity in the Gulf of Mexico remains strong for the full year,"" Kibsgaard said.Baker Hughes, which said it had a good first quarter in the Gulf, expects business in the region to continue to improve and boost margins particularly in the second half of the year.The company's North American revenue rose 12 percent to $3.68 billion in the first quarter. Baker Hughes posted a 7 percent rise in revenue to $2.78 billion from the region.Baker Hughes' shares rose 4.1 percent to $69.05 in afternoon trading.Schlumberger's shares, which hit their highest point in nearly six years on Thursday morning, fell 0.4 percent to $100.53. The stock has risen about 12 percent in the past month, outperforming shares of Halliburton Co and Baker Hughes.In the past few quarters, unusually cold weather in North America and Russia disrupted drilling, hurting oil and gas companies while pushing up natural gas prices in North America and depleted stockpiles to their lowest level since 2003. Kibsgaard said the fundamentals of the global economic recovery were intact despite the harsh winter, slowing growth in China, and problems in Ukraine.Schlumberger, which cut its 2014 capital spending budget by about 3 percent to $3.8 billion, said it expected spending on well-related activity to rise by more than 6 percent this year.WEAK LATAM Schlumberger's first-quarter revenue fell short of analysts' average estimate due to reduced drilling activity and pricing pressure in Latin America.Revenue from the region declined 8 percent to $1.76 billion, the lowest in eight quarters. Latin America accounted for nearly 16 percent of Schlumberger's total sales in the first quarter ended March 31.Schlumberger's profit from continuing operations rose 32.5 percent to $1.59 billion, or $1.21 per share, in the first quarter. Analysts had expected a profit of $1.20 per share.The company's total revenue rose about 6 percent to $11.24 billion, but missed an average estimate of $11.49 billion, according to Thomson Reuters I/B/E/S.Baker Hughes also posted a 10 percent drop in quarterly revenue from Latin America.The company's adjusted profit rose 27 percent to 84 cents per share, while revenue rose nearly 10 percent to $5.73 billion. Analysts on average had expected earnings of 78 cents on revenue of $5.71 billion.   (Writing by Sayantani Ghosh in Bangalore and Ernest Scheyder in New York; Editing by Saumyadeb Chakrabarty,  Terry Wade and Tom Brown)",2014-04-17,SLB,"Thu Apr 17, 2014 | 3:43pm EDT",UPDATE 4-Schlumberger & Baker Hughes results point to improving North America,http://www.reuters.com//article/schlumberger-results-idUSL3N0N92C220140417?type=companyNews
9,"   By Sayantani Ghosh and Ashutosh Pandey  Oilfield services companies Schlumberger Ltd (SLB.N) and Baker Hughes Inc (BHI.N) reported better-than-expected quarterly profits and signaled an improvement in the North American market, driven by increased drilling in the Gulf of Mexico.Schlumberger, the world's largest oilfield services company, gets a third of its revenue from North America. The region accounts for half of rival Baker Hughes' annual revenue.The companies provide drilling technology and equipment, well construction services and seismic surveys to oil and gas companies such as Exxon Mobil Corp (XOM.N).Three years after the worst offshore oil spill in U.S. history, large oil and gas companies are ramping up operations in the Gulf, which is poised to deliver more than 700,000 barrels per day of crude.While Schlumberger's revenue from deepwater drilling in the region fell in the first quarter due to operational delays, the company expects the situation to normalize in the current quarter.""The outlook for deepwater drilling activity in the Gulf of Mexico remains strong for the full year,"" Chief Executive Paal Kibsgaard said on a conference call with analysts.Baker Hughes, which said it had a good first quarter in the Gulf, expects business to continue to improve in the region and boost margins, particularly in the second half of the year.Barclays analysts were upbeat on both stocks, saying the companies had done well in North America despite a colder-than-usual winter.""The industry bellwether posted a solid earnings number in a tough quarter (and) signaled a 'robust' North American market ...,"" they said in a research note, referring to Schlumberger.The company's North American revenue rose 12 percent to $3.68 billion in the first quarter. Baker Hughes posted a 7 percent rise in revenue to $2.78 billion from the region. Baker Hughes' shares rose as much as 5 percent to $69.43 on the New York Stock Exchange - their highest since August 2011.Schlumberger's shares, which rose less than 1 percent in morning trade to their highest in nearly six years, were marginally down at $100.34 in morning trading.The stock has risen about 12 percent in the past month, outperforming shares of Halliburton Co (HAL.N) and Baker Hughes.SPENDING CUTS In the past couple of quarters, colder-than-usual weather in North America and Russia disrupted drilling, hurting oil and gas companies. The cold weather, however, pushed up natural gas prices in North America and depleted stockpiles to their lowest level since 2003, after years of glut that forced many drillers to idle rigs.Kibsgaard said the fundamentals of the global economic recovery were intact despite the harsh winter, slowing growth in China, and problems in Ukraine.""These factors, however, are likely temporary in nature ... but supply and demand is expected to normalize over the coming months,"" he said in a statement.Oilfield services companies are expected to feel the heat as large oil companies, after a decade of double-digit growth, cut spending amid stagnating oil prices and higher project costs.The company has already seen a reduction in spending from integrated oil companies, Kibsgaard said, adding that he expects them to cut spending more on infrastructure and less on well-related projects. Schlumberger, which cut its 2014 capital spending budget by about 3 percent to $3.8 billion, said it expected spending on well-related activity to rise by more than 6 percent this year.WEAK LATAM Schlumberger's first-quarter revenue fell short of the average analyst estimate due to reduced drilling activity and pricing pressure in Latin America.Revenue from the region declined 8 percent to $1.76 billion, the lowest in eight quarters. Latin America accounted for nearly 16 percent of Schlumberger's total sales in the first quarter ended March 31.Schlumberger's profit from continuing operations rose 32.5 percent to $1.59 billion, or $1.21 per share, in the first quarter. Analysts had expected a profit of $1.20 per share.The company's total revenue rose about 6 percent to $11.24 billion, but missed the average analyst estimate of $11.49 billion, according to Thomson Reuters I/B/E/S.The company expects deepwater drilling in Brazil to be down more than 20 percent in 2014.Baker Hughes also posted a 10 percent drop in quarterly revenue from Latin America.The company's adjusted profit rose 27 percent to 84 cents per share, while revenue rose nearly 10 percent to $5.73 billion. Analysts on average had expected earnings of 78 cents on revenue of $5.71 billion.(Writing by Sayantani Ghosh in Bangalore; Editing by Joyjeet Das, Kirti Pandey and Saumyadeb Chakrabarty)",2014-04-17,SLB,"Thu Apr 17, 2014 | 11:55am EDT","Schlumberger, Baker Hughes results point to improving North America",http://www.reuters.com//article/us-schlumberger-results-idUSBREA3G1K120140417?type=companyNews
